gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
PMN2A_RS02995,,PMN2A_RS02995,PMN2A_0011,Protein Homology,559542.0,559874.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293545.1,hypothetical protein,WP_011293545.1,PMN2A_0011,559542.0,559874.0,-,CK_Pro_NATL2A_00011,,,CK_00001276,R.2,Conserved hypothetical proteins,"NOG44314,COG1271,bactNOG70125,cyaNOG07378","COG: POORLY CHARACTERIZED [S] Function unknown,COG: METABOLISM [C] Energy production and conversion,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
PMN2A_RS03000,,PMN2A_RS03000,PMN2A_0012,Protein Homology,559871.0,560236.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293546.1,YkvA family protein,WP_011293546.1,PMN2A_0012,559871.0,560236.0,-,CK_Pro_NATL2A_00012,,,CK_00001275,R.2,Conserved hypothetical proteins,"COG3339,bactNOG41883,cyaNOG07211","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein (DUF1232),"PF06803,IPR010652,IPR016983","Protein of unknown function (DUF1232),Domain of unknown function DUF1232,Uncharacterised conserved protein UCP031804",156,Hypothetical proteins / Conserved
PMN2A_RS03005,,PMN2A_RS03005,PMN2A_0013,Protein Homology,560239.0,561162.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293547.1,sigma-70 family RNA polymerase sigma factor,WP_011293547.1,PMN2A_0013,560239.0,561162.0,-,CK_Pro_NATL2A_00013,rpoD7,"GO:0006352,GO:0016987,GO:0003700,GO:0003677",CK_00009059,P.3,Transcription factors,"COG0568,bactNOG63394,cyaNOG06117","COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"DNA-templated transcription%2C initiation,DNA-templated transcription%2C initiation,sigma factor activity,DNA-binding transcription factor activity,DNA binding",RNA polymerase sigma factor%2C type II,"TIGR02937,PF04539,PF04542,PF04545,PF00140,IPR007624,IPR007627,IPR007630,IPR009042,IPR014284","RNA polymerase sigma factor%2C sigma-70 family,Sigma-70 region 3,Sigma-70 region 2,Sigma-70%2C region 4,Sigma-70 factor%2C region 1.2,RNA polymerase sigma-70 region 3,RNA polymerase sigma-70 region 2,RNA polymerase sigma-70 region 4,RNA polymerase sigma-70 region 1.2,RNA polymerase sigma-70 like domain","141,165,92","Transport and binding proteins / Unknown substrate,Transcription / Transcription factors,Cellular processes / Other"
hisIE,hisIE,PMN2A_RS03010,PMN2A_0014,Protein Homology,561625.0,562269.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293548.1,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,WP_011293548.1,PMN2A_0014,561625.0,562269.0,-,CK_Pro_NATL2A_00014,hisIE,"GO:0000105,GO:0004636,GO:0004636",CK_00000942,A.4,Histidine family,"COG0140,COG0139,bactNOG05094,bactNOG24702,bactNOG36877,cyaNOG01730","COG: METABOLISM [E] Amino acid transport and metabolism,COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism","3.6.1.31,3.5.4.19","phosphoribosyl-ATP diphosphatase%3B phosphoribosyl-ATP pyrophosphatase%3B phosphoribosyladenosine triphosphate pyrophosphatase%3B 1-(5-phosphoribosyl)-ATP diphosphohydrolase,phosphoribosyl-AMP cyclohydrolase%3B PRAMP-cyclohydrolase%3B phosphoribosyladenosine monophosphate cyclohydrolase%3B 1-(5-phospho-D-ribosyl)-AMP 1%2C6-hydrolase","histidine biosynthetic process,histidine biosynthetic process,phosphoribosyl-ATP diphosphatase activity,phosphoribosyl-ATP diphosphatase activity",bifunctional phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase,"TIGR03188,PF01503,PF01502,IPR021130,IPR008179,IPR002496","phosphoribosyl-ATP diphosphatase,Phosphoribosyl-ATP pyrophosphohydrolase,Phosphoribosyl-AMP cyclohydrolase,Phosphoribosyl-ATP pyrophosphohydrolase-like,Phosphoribosyl-ATP pyrophosphohydrolase,Phosphoribosyl-AMP cyclohydrolase domain",161,Amino acid biosynthesis / Histidine family
PMN2A_RS03015,,PMN2A_RS03015,PMN2A_0015,Protein Homology,562347.0,562817.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293549.1,6-carboxytetrahydropterin synthase,WP_011293549.1,PMN2A_0015,562347.0,562817.0,+,CK_Pro_NATL2A_00015,,"GO:0006729,GO:0046872,GO:0016829,GO:0003874",CK_00000941,,,"COG0720,NOG41014,bactNOG36339,cyaNOG06371","COG: METABOLISM [H] Coenzyme transport and metabolism,COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",,,"tetrahydrobiopterin biosynthetic process,tetrahydrobiopterin biosynthetic process,metal ion binding,lyase activity,6-pyruvoyltetrahydropterin synthase activity",putative 6-pyruvoyl tetrahydropterin synthase,"PF01242,IPR007115","6-pyruvoyl tetrahydropterin synthase,6-pyruvoyl tetrahydropterin synthase/QueD family","92,141,703","Cellular processes / Other,Transport and binding proteins / Unknown substrate,Unknown function / Enzymes of unknown specificity"
clpB,clpB,PMN2A_RS03020,PMN2A_0016,Protein Homology,562873.0,565464.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293550.1,ATP-dependent chaperone ClpB,WP_011293550.1,PMN2A_0016,562873.0,565464.0,-,CK_Pro_NATL2A_00016,clpB1,"GO:0009408,GO:0016485,GO:0019538,GO:0051082,GO:0005524,GO:0005737",CK_00000011,"D.1.2,D.1.6,D.1.7,D.4,L.3","Light,Temperature,Trace metals,Chaperones,Protein folding and stabilization","COG0542,bactNOG01756,cyaNOG02183","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"response to heat,protein processing,protein metabolic process,response to heat,protein processing,protein metabolic process,unfolded protein binding,ATP binding,response to heat,protein processing,protein metabolic process,unfolded protein binding,ATP binding,cytoplasm",ATP-dependent Clp protease ATP-binding subunit ClpB,"TIGR03346,PF02861,PF00004,PF07724,PF10431,PS00871,PS00870,IPR028299,IPR004176,IPR003959,IPR019489,IPR017730,IPR018368,IPR001270,IPR027417,IPR003593","ATP-dependent chaperone protein ClpB,Clp amino terminal domain%2C pathogenicity island component,ATPase family associated with various cellular activities (AAA),AAA domain (Cdc48 subfamily),C-terminal%2C D2-small domain%2C of ClpB protein,Chaperonins clpA/B signature 2.,Chaperonins clpA/B signature 1.,ClpA/B%2C conserved site 2,Clp%2C N-terminal,ATPase%2C AAA-type%2C core,Clp ATPase%2C C-terminal,Chaperonin ClpB,ClpA/B%2C conserved site 1,ClpA/B family,P-loop containing nucleoside triphosphate hydrolase,AAA+ ATPase domain",95,Protein fate / Protein folding and stabilization
petE,petE,PMN2A_RS03025,PMN2A_0017,Protein Homology,565844.0,566194.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011823363.1,plastocyanin,WP_011293551.1,PMN2A_0017,565844.0,566194.0,-,CK_Pro_NATL2A_00017,petE,"GO:0009767,GO:0005507,GO:0009055",CK_00001274,"D.1.1,G.2,J.10","Iron,Electron transport,Soluble electron carriers","COG3794,bactNOG37495,bactNOG41375,bactNOG50443,cyaNOG03558","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthetic electron transport chain,photosynthetic electron transport chain,copper ion binding,electron transfer activity",plastocyanin,"TIGR02656,PF00127,IPR002387,IPR000923","plastocyanin,Copper binding proteins%2C plastocyanin/azurin family,Plastocyanin,Blue (type 1) copper domain","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
PMN2A_RS03030,,PMN2A_RS03030,PMN2A_0018,Protein Homology,566249.0,567235.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011823364.1,NAD-dependent epimerase/dehydratase family protein,WP_011293552.1,PMN2A_0018,566249.0,567235.0,-,CK_Pro_NATL2A_00018,,"GO:0003824,GO:0050662",CK_00000940,,,"COG0451,bactNOG99691,bactNOG01929,cyaNOG01110","COG: MG,bactNOG: M,bactNOG: M,cyaNOG: M",,,"catalytic activity,coenzyme binding",short chain dehydrogenase family protein,"PF01370,IPR001509","NAD dependent epimerase/dehydratase family,NAD-dependent epimerase/dehydratase",703,Unknown function / Enzymes of unknown specificity
hemE,hemE,PMN2A_RS03035,PMN2A_0019,Protein Homology,567232.0,568290.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293553.1,uroporphyrinogen decarboxylase,WP_011293553.1,PMN2A_0019,567232.0,568290.0,-,CK_Pro_NATL2A_00019,hemE,"GO:0006779,GO:0004853",CK_00000939,"B.5.2,B.5.3","Chlorophylls and porphyrins,Hemes and phycobilins","COG0407,bactNOG00480,cyaNOG00406","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",4.1.1.37,uroporphyrinogen decarboxylase%3B uroporphyrinogen III decarboxylase%3B porphyrinogen carboxy-lyase%3B porphyrinogen decarboxylase%3B uroporphyrinogen-III carboxy-lyase,"porphyrin-containing compound biosynthetic process,porphyrin-containing compound biosynthetic process,uroporphyrinogen decarboxylase activity",uroporphyrinogen decarboxylase,"TIGR01464,PF01208,PS00907,PS00906,IPR000257,IPR006361","uroporphyrinogen decarboxylase,Uroporphyrinogen decarboxylase (URO-D),Uroporphyrinogen decarboxylase signature 2.,Uroporphyrinogen decarboxylase signature 1.,Uroporphyrinogen decarboxylase (URO-D),Uroporphyrinogen decarboxylase HemE",79,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Heme%2C porphyrin%2C and cobalamin
glgB,glgB,PMN2A_RS03040,PMN2A_0020,Protein Homology,568452.0,570719.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293554.1,1%2C4-alpha-glucan branching protein GlgB,WP_011293554.1,PMN2A_0020,568452.0,570719.0,-,CK_Pro_NATL2A_00020,glgB,"GO:0005978,GO:0003844",CK_00000938,G.8, Glycogen and sugar metabolism,"COG0296,bactNOG00259,bactNOG01776,cyaNOG06606,cyaNOG00694","COG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",2.4.1.18,1%2C4-alpha-glucan branching enzyme%3B branching enzyme%3B amylo-(1%2C4->1%2C6)-transglycosylase%3B Q-enzyme%3B alpha-glucan-branching glycosyltransferase%3B amylose isomerase%3B enzymatic branching factor%3B branching glycosyltransferase%3B enzyme Q%3B glucosan transglycosylase%3B glycogen branching enzyme%3B plant branching enzyme%3B alpha-1%2C4-glucan:alpha-1%2C4-glucan-6-glycosyltransferase%3B starch branching enzyme%3B 1%2C4-alpha-D-glucan:1%2C4-alpha-D-glucan 6-alpha-D-(1%2C4-alpha-D-glucano)-transferase,"glycogen biosynthetic process,glycogen biosynthetic process,1%2C4-alpha-glucan branching enzyme activity",1%2C4-alpha-glucan branching enzyme,"TIGR01515,PF00128,PF02806,PF02922,IPR006047,IPR006048,IPR004193,IPR006407","1%2C4-alpha-glucan branching enzyme,Alpha amylase%2C catalytic domain,Alpha amylase%2C C-terminal all-beta domain,Carbohydrate-binding module 48 (Isoamylase N-terminal domain),Glycosyl hydrolase%2C family 13%2C catalytic domain,Alpha-amylase/branching enzyme%2C C-terminal all beta,Glycoside hydrolase%2C family 13%2C N-terminal,1%2C4-alpha-glucan-branching enzyme%2C GlgB",105,Energy metabolism / Biosynthesis and degradation of polysaccharides
PMN2A_RS03045,,PMN2A_RS03045,PMN2A_0021,Protein Homology,570776.0,572353.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011823367.1,CocE/NonD family hydrolase,WP_011293555.1,PMN2A_0021,570776.0,572353.0,-,CK_Pro_NATL2A_00021,,"GO:0016787,GO:0008239",CK_00000937,L.4,Degradation of proteins%2C peptides%2C and glycopeptides,"COG2936,bactNOG01090,cyaNOG01130","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"hydrolase activity,dipeptidyl-peptidase activity",X-Pro dipeptidyl-peptidase%2C S15 family,"TIGR00976,PF02129,PF08530,IPR000383,IPR013736,IPR005674,IPR008979,IPR029058","hydrolase CocE/NonD family protein,X-Pro dipeptidyl-peptidase (S15 family),X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain,Xaa-Pro dipeptidyl-peptidase-like domain,Xaa-Pro dipeptidyl-peptidase%2C C-terminal,CocE/Serine esterase,Galactose-binding-like domain superfamily,Alpha/Beta hydrolase fold",138,Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides
PMN2A_RS03050,,PMN2A_RS03050,PMN2A_0022,Protein Homology,572361.0,572630.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293556.1,hypothetical protein,WP_011293556.1,PMN2A_0022,572361.0,572630.0,-,CK_Pro_NATL2A_00022,,,CK_00000936,R.2,Conserved hypothetical proteins,"NOG126110,bactNOG74825,cyaNOG08064","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved
