Gene Name,Protein ID,log2-fold change,p_value,adjusted p_value,Protein.names,resolved_locus_tag,resolution_method
Synpcc7942_1101,Q31P88,-1.99,0.000394,0.00167, PDZ/DHR/GLGF OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1101 PE=4 SV=1,Synpcc7942_1101,locus_tag:Gene Name
Synpcc7942_2383,Q31KK6,-1.98,0.000845,0.00326," Nucleotide binding protein, PINc OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2383 PE=4 SV=1",Synpcc7942_2383,locus_tag:Gene Name
Synpcc7942_0139,Q31RZ8,-1.97,1.38e-05,0.000137, Acetolactate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0139 PE=3 SV=1,Synpcc7942_0139,locus_tag:Gene Name
carA,Q31LB7,-1.96,0.00574,0.016, Carbamoyl-phosphate synthase small chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=carA PE=3 SV=1,Synpcc7942_2122,tier1:Gene Name
Synpcc7942_2156,Q31L83,-1.88,1.9e-07,5.14e-06, Glutamine synthetase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glnA PE=3 SV=1,Synpcc7942_2156,locus_tag:Gene Name
Synpcc7942_1870,Q31M19,-1.87,1.26e-06,2.09e-05, Secretion protein HlyD OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1870 PE=3 SV=1,Synpcc7942_1870,locus_tag:Gene Name
ilvC,Q31MY7,-1.85,6.21e-08,1.86e-06, Ketol-acid reductoisomerase (NADP(+)) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ilvC PE=3 SV=2,Synpcc7942_1552,tier1:Gene Name
Synpcc7942_0537,Q31QV0,-1.82,0.0327,0.0741, 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0537 PE=3 SV=1,Synpcc7942_0537,locus_tag:Gene Name
Synpcc7942_1324,Q31NL5,-1.79,5.48e-05,0.00037, DEAD/DEAH box helicase-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1324 PE=4 SV=1,Synpcc7942_1324,locus_tag:Gene Name
Synpcc7942_2326,Q31KR3,-1.78,0.000405,0.0017, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2326 PE=4 SV=1,Synpcc7942_2326,locus_tag:Gene Name
Synpcc7942_0877,Q31PW2,-1.77,8.66e-07,1.64e-05, Elongator protein 3/MiaB/NifB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0877 PE=4 SV=1,Synpcc7942_0877,locus_tag:Gene Name
Synpcc7942_0842,Q31PZ6,-1.76,5.04e-05,0.000353, Glutathione reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0842 PE=3 SV=1,Synpcc7942_0842,locus_tag:Gene Name
sek0027,Q8GMR4,-1.69,1.3e-09,1.06e-07, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sek0027 PE=4 SV=1,Synpcc7942_0443,tier1:Gene Name
fusA,Q31PV4,-1.68,3.3e-06,4.36e-05, Elongation factor G OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=fusA PE=3 SV=1,Synpcc7942_0885,multi:Gene Name
tr|Q31LD2|Q31LD2_SYNE7 ABC-type nitrate/sulfonate/bicarbonate transport systems,Q31LD2,-1.67,7.45e-06,8.63e-05, Periplasmic substrate binding protein OS=Sy,Synpcc7942_2107,multi:Protein ID
gap2,Q9R6W2,-1.63,0.000108,0.000612, Glyceraldehyde-3-phosphate dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gap2 PE=1 SV=1,Synpcc7942_1742,multi:Protein ID
Synpcc7942_1372,Q31NG7,-1.63,0.000239,0.00121, Methionine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1372 PE=4 SV=1,Synpcc7942_1372,locus_tag:Gene Name
Synpcc7942_1259,Q31NT0,-1.62,0.00128,0.00453, Arsenite-activated ATPase (ArsA) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1259 PE=4 SV=1,Synpcc7942_1259,locus_tag:Gene Name
topA,P34185,-1.62,2.67e-07,6.57e-06, DNA topoisomerase 1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=topA PE=3 SV=2,Synpcc7942_1416,tier1:Gene Name
Synpcc7942_0640,Q31QJ7,-1.61,4.15e-06,4.95e-05, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0640 PE=4 SV=1,Synpcc7942_0640,locus_tag:Gene Name
Synpcc7942_1258,Q31NT1,-1.61,0.00123,0.00443, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1258 PE=4 SV=1,Synpcc7942_1258,locus_tag:Gene Name
Synpcc7942_2588,Q31K01,-1.59,0.000177,0.000944, 3-octaprenyl-4hydroxybenzoate decarboxylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2588 PE=3 SV=1,Synpcc7942_2588,locus_tag:Gene Name
Synpcc7942_1019,Q31PH0,-1.54,0.0304,0.0699, 4-alpha-glucanotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1019 PE=3 SV=1,Synpcc7942_1019,locus_tag:Gene Name
Synpcc7942_1224,Q31NW5,-1.54,5.71e-05,0.000381, DevB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=devB PE=4 SV=1,Synpcc7942_1224,locus_tag:Gene Name
hemA,Q31QY3,-1.5,0.000982,0.00366, Glutamyl-tRNA reductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemA PE=3 SV=1,Synpcc7942_0504,tier1:Gene Name
gnd,P21577,-1.48,6.94e-07,1.46e-05," 6-phosphogluconate dehydrogenase, decarboxylating OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gnd PE=1 SV=4",Synpcc7942_0039,tier1:Gene Name
Synpcc7942_0928,Q31PR1,-1.45,4.6e-05,0.000338, Outer envelope membrane protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0928 PE=4 SV=1,Synpcc7942_0928,locus_tag:Gene Name
Synpcc7942_1464,Q31N75,-1.45,5.18e-05,0.000357, Probable porin OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1464 PE=3 SV=1,Synpcc7942_1464,locus_tag:Gene Name
Synpcc7942_0269,Q31RL8,-1.44,0.000107,0.000612, AB hydrolase-1 domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0269 PE=4 SV=1,Synpcc7942_0269,locus_tag:Gene Name
ileS,Q31KF2,-1.42,2.62e-05,0.000229, Isoleucine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ileS PE=3 SV=1,Synpcc7942_2437,multi:Protein ID
Synpcc7942_1635,Q31MQ4,-1.42,1.05e-06,1.8e-05, Probable porin major outer membrane protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1635 PE=3 SV=1,Synpcc7942_1635,locus_tag:Gene Name
Synpcc7942_1706,Q31MI3,-1.42,1.23e-05,0.000129, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1706 PE=4 SV=1,Synpcc7942_1706,locus_tag:Gene Name
ilvE,Q31PG0,-1.41,4.78e-08,1.69e-06, Branched-chain-amino-acid aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ilvE PE=3 SV=1,Synpcc7942_1029,multi:Protein ID
lysS,Q31KH4,-1.41,1.36e-06,2.21e-05, Lysine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=lysS PE=3 SV=1,Synpcc7942_2415,tier1:Gene Name
hemB,P43087,-1.4,6.22e-08,1.86e-06, Delta-aminolevulinic acid dehydratase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemB PE=3 SV=2,Synpcc7942_1792,tier1:Gene Name
leuS,Q31LW9,-1.4,0.00211,0.00696, Leucine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=leuS PE=3 SV=1,Synpcc7942_1920,tier1:Gene Name
Synpcc7942_0354,Q31RD3,-1.39,0.00224,0.00729, Beta-glucosidase-related glycosidases-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0354 PE=4 SV=1,Synpcc7942_0354,locus_tag:Gene Name
secA,Q55357,-1.36,3.19e-06,4.36e-05, Protein translocase subunit SecA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=secA PE=3 SV=1,Synpcc7942_0289,tier1:Gene Name
ftsH,Q31RJ0,-1.35,9.17e-06,0.000104, ATP-dependent zinc metalloprotease FtsH OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ftsH PE=3 SV=1,Synpcc7942_0942,tier1:Gene Name
ftsH.1,Q31PP7,-1.35,5.59e-08,1.86e-06, ATP-dependent zinc metalloprotease FtsH OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ftsH PE=3 SV=1,Synpcc7942_0942,multi:Protein ID
pheT,P74764,-1.35,3.04e-07,7.19e-06, Phenylalanine--tRNA ligase beta subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pheT PE=3 SV=2,Synpcc7942_1293,tier1:Gene Name
dc11,P72543,-1.32,0.000356,0.00155, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0360 PE=,,unresolved
SEA0027,Q54704,-1.32,0.000932,0.00355, Band 7 protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEA0027 PE=4 SV=1,Synpcc7942_2498,tier1:Gene Name
asnS,Q31Q07,-1.31,0.000839,0.00326, Asparagine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=asnS PE=3 SV=1,Synpcc7942_0830,tier1:Gene Name
pds,P26294,-1.31,0.00296,0.00938, 15-cis-phytoene desaturase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pds PE=1 SV=1,Synpcc7942_1983,tier1:Gene Name
Synpcc7942_1394,Q31NE5,-1.31,0.00625,0.0174, PDZ/DHR/GLGF OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1394 PE=4 SV=1,Synpcc7942_1394,locus_tag:Gene Name
glyS,Q31SB9,-1.29,0.000116,0.000638, Glycine--tRNA ligase beta subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glyS PE=3 SV=1,Synpcc7942_0018,tier1:Gene Name
Synpcc7942_0501,Q31QY6,-1.29,0.00247,0.00801, Nucleoside-diphosphate-sugar epimerases-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0501 PE=4 SV=1,Synpcc7942_0501,locus_tag:Gene Name
Synpcc7942_1831,Q31M58,-1.28,0.000107,0.000612, Uncharacterized protein SEM0017 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEM0017 PE=4,Synpcc7942_1831,locus_tag:Gene Name
infB,Q31LL9,-1.26,1.44e-05,0.000141, Translation initiation factor IF-2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=infB PE=3 SV=1,Synpcc7942_2020,tier1:Gene Name
Synpcc7942_2137,Q31LA2,-1.26,0.000325,0.00145," Hydrogenobyrinic acid a,c-diamide cobaltochelatase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2137 PE=4 SV=1",Synpcc7942_2137,locus_tag:Gene Name
dnaK3,P50022,-1.25,0.00563,0.0159, Chaperone protein dnaK3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dnaK3 PE=3 SV=1,Synpcc7942_2580,tier1:Gene Name
eno,Q31QJ8,-1.24,1.6e-05,0.000151, Enolase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=eno PE=3 SV=1,Synpcc7942_0639,tier1:Gene Name
gatA,Q31LC2,-1.23,3.86e-05,0.000308, Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gatA PE=3 SV=1,Synpcc7942_2117,tier1:Gene Name
glnN,Q9KHM5,-1.23,1.09e-05,0.000121," Glutamate-ammonia ligase, glutamine synthetase type III OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Sy",Synpcc7942_0169,multi:Gene Name
hisD,Q31N20,-1.22,9.13e-07,1.66e-05, Histidinol dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hisD PE=3 SV=1,Synpcc7942_1519,tier1:Gene Name
dnaK2,P50021,-1.21,7.26e-07,1.47e-05, DnaK (Fragment) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dnaK PE=4 SV=1,Synpcc7942_2468,tier1:Gene Name
Synpcc7942_2085,Q31LF4,-1.2,0.000498,0.00206, Probable anion transporting ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2085 PE=4 SV=1,Synpcc7942_2085,locus_tag:Gene Name
polA,Q31RU3,-1.19,0.000117,0.000639, DNA polymerase I OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=polA PE=3 SV=1,Synpcc7942_0194,tier1:Gene Name
Synpcc7942_0622,Q31QL5,-1.19,0.00455,0.0133, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0622 PE=4 SV=1,Synpcc7942_0622,locus_tag:Gene Name
leuC,Q31LZ1,-1.18,0.00566,0.0159, 3-isopropylmalate dehydratase large subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=leuC PE=3 SV=1,Synpcc7942_1898,tier1:Gene Name
zds,Q31N27,-1.18,0.00127,0.00453, Probable zeta-carotene desaturase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=zds PE=3 SV=1,Synpcc7942_1512,tier1:Gene Name
zwf,P29686,-1.18,2.22e-05,0.0002, Glucose-6-phosphate 1-dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=zwf PE=3 SV=2,Synpcc7942_2334,tier1:Gene Name
mnmE,Q8KPU2,-1.17,0.00433,0.0128, tRNA modification GTPase MnmE OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=mnmE PE=3 SV=3,Synpcc7942_1582,tier1:Gene Name
secD,Q31RZ5,-1.17,2.67e-05,0.00023, Protein translocase subunit SecD OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=secD PE=3 SV=1,Synpcc7942_0142,tier1:Gene Name
ndhH,Q31ME6,-1.15,3.23e-06,4.36e-05, NAD(P)H-quinone oxidoreductase subunit H OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhH PE=3 SV=1,Synpcc7942_1743,tier1:Gene Name
hisC,Q31PF9,-1.11,0.143,0.25, Histidinol-phosphate aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hisC PE=3 SV=1,Synpcc7942_1030,tier1:Gene Name
petB,Q54711,-1.09,0.000361,0.00156, Cytochrome b6 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=petB PE=3 SV=1,Synpcc7942_2331,tier1:Gene Name
tr|Q7X4K8|Q7X4K8_SYNE7 Thioredoxin,Q7X4K8,-1.09,0.000211,0.00108, Thioredoxin peroxidase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=tpxA PE=4 SV=1,Synpcc7942_2309,multi:Protein ID
Synpcc7942_0675,Q31QG2,-1.07,0.00374,0.0115, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0675 PE=4 SV=1,Synpcc7942_0675,locus_tag:Gene Name
ftsH.3,Q31PJ1,-1.06,0.00732,0.0199, ATP-dependent zinc metalloprotease FtsH OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ftsH PE=3 SV=1,Synpcc7942_0998,multi:Protein ID
Synpcc7942_0694,Q31QE3,-1.06,0.00445,0.0131, SSU ribosomal protein S1P OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0694 PE=4 SV=1,Synpcc7942_0694,locus_tag:Gene Name
Synpcc7942_0878,Q31PW1,-1.06,5.93e-05,0.000391," Ribonuclease, Rne/Rng family OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0878 PE=4 SV=1",Synpcc7942_0878,locus_tag:Gene Name
Synpcc7942_1810,Q31M79,-1.06,2.79e-05,0.000236, Flavoprotein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1810 PE=3 SV=1,Synpcc7942_1810,locus_tag:Gene Name
cysE,Q56002,-1.05,0.0126,0.0321, Serine acetyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cysE PE=3 SV=1,Synpcc7942_2420,multi:Gene Name
argS,Q8KPU9,-1.04,0.000716,0.00286, Arginine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=argS PE=3 SV=2,Synpcc7942_1577,tier1:Gene Name
rpoC1,P42079,-1.04,0.000194,0.00102, DNA-directed RNA polymerase subunit gamma OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpoC1 PE=3 SV=2,,unresolved
rpoC2,Q31N15,-1.04,0.000141,0.000762, DNA-directed RNA polymerase subunit beta OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpoC2 PE=3 SV=1,,unresolved
leuA,Q31NC9,-1.03,3.74e-06,4.82e-05, 2-isopropylmalate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=leuA PE=3 SV=1,Synpcc7942_1410,tier1:Gene Name
Synpcc7942_0977,Q31PL2,-1.02,0.000178,0.000944, Phosphoribulokinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=prk PE=3 SV=1,Synpcc7942_0977,locus_tag:Gene Name
ndhA,Q31NJ6,-1.01,0.185,0.306, NAD(P)H-quinone oxidoreductase subunit 1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhA PE=3 SV=1,Synpcc7942_1343,tier1:Gene Name
cbbL,Q31NB3,-0.999,4.43e-05,0.000335, Ribulose bisphosphate carboxylase large chain OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cbbL PE=1 SV=1,Synpcc7942_1426,tier1:Gene Name
gyrA,Q31RN3,-0.999,0.000248,0.00122, DNA gyrase subunit A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=gyrA PE=3 SV=1,Synpcc7942_0254,tier1:Gene Name
purH,Q31R91,-0.991,0.000386,0.00165, Bifunctional purine biosynthesis protein PurH OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purH PE=3 SV=1,Synpcc7942_0396,multi:Gene Name
Synpcc7942_0255,Q31RN2,-0.991,0.00115,0.00418, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0255 PE=4 SV=1,Synpcc7942_0255,locus_tag:Gene Name
Synpcc7942_0448,Q31R39,-0.991,0.00105,0.00387, Zinc metalloprotease OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sek0022 PE=3 SV=1,Synpcc7942_0448,locus_tag:Gene Name
pnp,Q31KE9,-0.988,0.000198,0.00103, Polyribonucleotide nucleotidyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pnp PE=3 SV=1,Synpcc7942_2440,tier1:Gene Name
rpoB,Q31N17,-0.983,0.000115,0.000638, DNA-directed RNA polymerase subunit beta OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpoB PE=3 SV=1,Synpcc7942_1522,tier1:Gene Name
hemH,Q31S00,-0.982,0.000113,0.000633, Ferrochelatase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemH PE=3 SV=1,Synpcc7942_0137,tier1:Gene Name
sir,P30008,-0.982,0.0124,0.0316, Sulfite reductase [ferredoxin] OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sir PE=3 SV=2,Synpcc7942_0019,tier1:Gene Name
pheS,Q31LH5,-0.981,0.0014,0.00488, Phenylalanine--tRNA ligase alpha subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pheS PE=3 SV=1,Synpcc7942_2064,tier1:Gene Name
Synpcc7942_1760,Q31MC9,-0.978,0.00971,0.0254, Alanine dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1760 PE=3 SV=1,Synpcc7942_1760,locus_tag:Gene Name
Synpcc7942_0216,Q31RS1,-0.975,0.00323,0.0101, Putative zinc-binding oxidoreductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0216 PE=4 SV=1,Synpcc7942_0216,locus_tag:Gene Name
nrtC,P38045,-0.974,8.85e-05,0.000545, Nitrate import ATP-binding protein NrtC OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nrtC PE=1 SV=1,Synpcc7942_1237,tier1:Gene Name
Synpcc7942_1065,Q31PC4,-0.971,0.00273,0.00874, DEAD/DEAH box helicase-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1065 PE=4 SV=1,Synpcc7942_1065,locus_tag:Gene Name
Synpcc7942_1501,Q31N38,-0.965,4.67e-05,0.000338, D-3-phosphoglycerate dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1501 PE=3 SV=1,Synpcc7942_1501,locus_tag:Gene Name
pepA,O06865,-0.964,0.000831,0.00325, Probable cytosol aminopeptidase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pepA PE=3 SV=2,Synpcc7942_1190,tier1:Gene Name
ilvD,Q31QL1,-0.952,0.0655,0.134, Dihydroxy-acid dehydratase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ilvD PE=3 SV=1,Synpcc7942_0626,tier1:Gene Name
Synpcc7942_0538,Q31QU9,-0.951,0.00397,0.012, Transketolase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0538 PE=3 SV=1,Synpcc7942_0538,locus_tag:Gene Name
Synpcc7942_0050,Q31S87,-0.933,0.00206,0.00684, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0050 PE=4 SV=1,Synpcc7942_0050,locus_tag:Gene Name
Synpcc7942_0082,Q31S55,-0.931,0.00264,0.00851, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0082 PE=4 SV=1,Synpcc7942_0082,locus_tag:Gene Name
Synpcc7942_0315,Q31RH2,-0.925,0.0171,0.0421, Adenylosuccinate lyase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purB PE=3 SV=1,Synpcc7942_0315,locus_tag:Gene Name
guaA,Q31RU8,-0.924,1.84e-05,0.000171, GMP synthase [glutamine-hydrolyzing] OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=guaA PE=3 SV=1,Synpcc7942_0189,multi:Gene Name
Synpcc7942_1198,Q31NZ1,-0.913,9.2e-05,0.000555, Dihydrolipoyl dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=phdD PE=3 SV=1,Synpcc7942_1198,locus_tag:Gene Name
Synpcc7942_2349,Q31KP0,-0.905,0.0705,0.142, Twitching motility protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2349 PE=4 SV=1,Synpcc7942_2349,locus_tag:Gene Name
Synpcc7942_1068,Q31PC1,-0.901,0.000334,0.00148, Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1068 PE=3 SV=1,Synpcc7942_1068,locus_tag:Gene Name
Synpcc7942_1297,Q31NP2,-0.897,0.000423,0.00176, Malate dehydrogenase (Oxaloacetate decarboxylating) OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1297 PE=4 SV=1,Synpcc7942_1297,locus_tag:Gene Name
Synpcc7942_2109,Q31LD0,-0.896,0.0486,0.105, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2109 PE=4 SV=1,Synpcc7942_2109,locus_tag:Gene Name
thrS,Q31JY3,-0.893,9.17e-05,0.000555, Threonine--tRNA ligase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=thrS PE=3 SV=1,Synpcc7942_2606,tier1:Gene Name
Synpcc7942_1901,Q31LY8,-0.89,0.00307,0.00968, Putative glycosyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1901 PE=4 SV=1,Synpcc7942_1901,locus_tag:Gene Name
Synpcc7942_0181,Q31RV6,-0.882,0.0227,0.0541, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0181 PE=4 SV=1,Synpcc7942_0181,locus_tag:Gene Name
