Gene Name,Protein ID,log2_FC,adjusted p_value,Protein names,resolved_locus_tag,resolution_method
spuD PP_5181,Q88CJ9,2.37,5.57e-07,Spermidine/putrescine ABC transporter-periplasmic subunit,M8001_27175,tier1:Gene Name
serA PP_5155,Q88CM5,-1.36,0.000394,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.399) (EC 1.1.1.95) (2-oxoglutarate reductase),M8001_27045,tier1:Gene Name
argS PP_5089,Q88CU1,0.121,0.665,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS),M8001_26710,tier1:Gene Name
maeB PP_5085,Q88CU5,0.261,0.159,"Malic enzyme B (EC 1.1.1.40, EC 2.3.1.8)",M8001_26690,tier1:Gene Name
gltB PP_5076,Q88CV4,-1.29,1.33e-05,L-glutamate synthase(NADPH) alpha subunit (EC 1.4.1.13),M8001_26645,tier1:Gene Name
glnA PP_5046,Q88CY3,0.071,0.813,Glutamine synthetase (EC 6.3.1.2),M8001_26495,tier1:Gene Name
glgP PP_5041,Q88CY8,0.583,0.0903,"Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)",M8001_26470,tier1:Gene Name
PP_5024,Q88D05,0.0884,0.867,"Amino acid ABC transporter, periplasmic amino acid-binding protein",M8001_26385,tier1:Gene Name
mcpQ PP_5020,Q88D09,1.68,9.43e-05,Methyl-accepting chemotaxis protein McpQ,,unresolved
phaA PP_5003,Q88D25,0.188,0.525,Poly(3-hydroxyalkanoate) polymerase 1 (EC 2.3.1.-),M8001_26280,tier1:Gene Name
tktA PP_4965,Q88D62,-0.58,0.0214,Transketolase (EC 2.2.1.1),M8001_26090,tier1:Gene Name
hflK PP_4892,Q88DD5,-0.469,0.279,Protein HflK,M8001_25720,tier1:Gene Name
purA PP_4889,Q88DD8,-0.327,0.277,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),M8001_25705,tier1:Gene Name
rplI PP_4874,Q88DF1,1.15,0.0196,Large ribosomal subunit protein bL9 (50S ribosomal protein L9),M8001_25615,tier1:Gene Name
PP_4867,Q88DF8,0.513,0.436,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein (BraC-like)",M8001_25580,tier1:Gene Name
livF-II PP_4863,Q88DG2,0.463,0.359,High-affinity branched-chain amino acid transport ATP-binding protein,M8001_25560,tier1:Gene Name
PP_4798,Q88DM7,1.52,0.00374,Membrane-bound lytic murein transglycosylase,M8001_25220,tier1:Gene Name
dnaK PP_4727,Q88DU2,-1.14,0.0135,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),M8001_24830,tier1:Gene Name
carB PP_4723,Q88DU6,-0.251,0.326,Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain),M8001_24810,tier1:Gene Name
ftsH PP_4718,Q88DV1,1.07,0.000306,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-),M8001_24785,tier1:Gene Name
nusA PP_4713,Q88DV6,-0.304,0.33,Transcription termination/antitermination protein NusA,M8001_24745,tier1:Gene Name
infB PP_4712,Q88DV7,0.0953,0.649,Translation initiation factor IF-2,M8001_24740,tier1:Gene Name
pnp PP_4708,Q88DW0,0.538,0.0343,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),,unresolved
PP_4684,Q88DY4,-1.01,0.00137,Aminoglycoside phosphotransferase domain-containing protein,M8001_24595,tier1:Gene Name
ilvC PP_4678,Q88DZ0,0.56,0.00884,Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I),M8001_24565,tier1:Gene Name
ggt PP_4659,Q88E09,1.61,0.00621,Glutathione hydrolase proenzyme (EC 2.3.2.2) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain],M8001_18495,tier1:Gene Name
mscL PP_4645,Q88E23,0.549,0.0308,Large-conductance mechanosensitive channel,M8001_24375,tier1:Gene Name
fabV PP_4635,Q88E33,1.54,1.72e-05,Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (EC 1.3.1.9),M8001_24325,tier1:Gene Name
cysK PP_4571,Q88E95,-0.847,0.000386,Cysteine synthase (EC 2.5.1.47),M8001_23980,tier1:Gene Name
tolC PP_4519,Q88EE6,1.09,2.21e-05,Agglutination protein,M8001_23700,tier1:Gene Name
acsA1 PP_4487,Q88EH6,1.22,0.0442,Acetyl-coenzyme A synthetase 1 (AcCoA synthetase 1) (Acs 1) (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1),M8001_23540,tier1:Gene Name
argT PP_4486,Q88EH7,0.912,0.0453,Lysine / arginine / ornithine ABC transporter-periplasmic binding protein (EC 3.6.3.21),M8001_23535,tier1:Gene Name
PP_4448,Q88EL4,-0.964,0.00155,Helicase HerA central domain-containing protein,M8001_23245,tier1:Gene Name
fliC PP_4378,Q88ES5,-1.43,0.0963,Flagellin,M8001_22890,tier1:Gene Name
PP_4332,Q88EX0,1.86,1.89e-05,Chemotaxis protein CheW,M8001_22650,tier1:Gene Name
zipA PP_4275,Q88F24,1.37,0.00969,Cell division protein ZipA,M8001_22365,tier1:Gene Name
etfB PP_4202,Q88F96,-0.881,0.00549,Electron transfer flavoprotein subunit beta (Electron transfer flavoprotein small subunit),M8001_21975,tier1:Gene Name
etfA PP_4201,Q88F97,0.263,0.615,Electron transfer flavoprotein subunit alpha,M8001_21970,tier1:Gene Name
gltA PP_4194,Q88FA4,0.249,0.307,Citrate synthase,M8001_21930,tier1:Gene Name
sdhA PP_4191,Q88FA7,-0.314,0.509,Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1),M8001_21915,tier1:Gene Name
sdhB PP_4190,Q88FA8,0.316,0.46,Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1),M8001_21910,tier1:Gene Name
sucA PP_4189,Q88FA9,-1.5,3.4e-05,oxoglutarate dehydrogenase (succinyl-transferring) (EC 1.2.4.2),M8001_21905,tier1:Gene Name
sucB PP_4188,Q88FB0,-1.35,0.00045,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2),M8001_21900,tier1:Gene Name
lpdG PP_4187,Q88FB1,0.289,0.0775,Dihydrolipoyl dehydrogenase (EC 1.8.1.4),M8001_21895,tier1:Gene Name
sucC PP_4186 PP4186,Q88FB2,-0.524,0.00454,Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta),M8001_21890,tier1:Gene Name
sucD PP_4185,Q88FB3,-2.46,2.6e-08,Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha),M8001_21885,tier1:Gene Name
fabB PP_4175,Q88FC3,-0.214,0.286,3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.41) (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I),M8001_21835,tier1:Gene Name
nuoG PP_4124,Q88FH2,-0.028,0.93,NADH-quinone oxidoreductase subunit G (EC 7.1.1.-) (NADH dehydrogenase I subunit G) (NDH-1 subunit G),M8001_21585,tier1:Gene Name
nuoC nuoCD nuoD PP_4121,Q88FH5,0.761,0.00218,NADH-quinone oxidoreductase subunit C/D (EC 7.1.1.-) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D),M8001_21570,tier1:Gene Name
aceA PP_4116,Q88FI0,2.01,6.71e-07,Isocitrate lyase (EC 4.1.3.1) (Isocitrase) (Isocitratase),M8001_21550,tier1:Gene Name
fusB fusA-2 PP_4111,Q88FI4,1.87,3.01e-06,Elongation factor G 2 (EF-G 2),M8001_21525,tier1:Gene Name
pydA PP_4038,Q88FQ0,1.7,2.49e-05,Dihydrothymine dehydrogenase (Dihydrouracil dehydrogenase),M8001_21140,tier1:Gene Name
pydX PP_4037,Q88FQ1,2.14,5.2e-07,NADP-dependent dihydropyrimidine dehydrogenase subunit (EC 1.3.1.2),M8001_21135,tier1:Gene Name
hyuC PP_4034,Q88FQ3,2.09,7.28e-05,"N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase 2 (EC 3.5.1.6, EC 3.5.3.9)",M8001_21120,tier1:Gene Name
idh PP_4012,Q88FS1,-4.28,6.12e-09,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42) (Oxalosuccinate decarboxylase),M8001_21015,tier1:Gene Name
icd PP_4011,Q88FS2,0.57,0.0685,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),M8001_21010,tier1:Gene Name
clpA PP_4008,Q88FS5,-0.861,0.00013,ATP-dependent serine protease (EC 3.4.21.92),M8001_20995,tier1:Gene Name
PP_3954,Q88FX3,2.39,0.0101,C4-dicarboxylate ABC transporter,M8001_20715,tier1:Gene Name
adhP PP_3839,Q88G86,0.319,0.518,alcohol dehydrogenase (EC 1.1.1.1),M8001_20115,tier1:Gene Name
galU PP_3821,Q88GA4,1.01,0.0108,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase),M8001_20020,tier1:Gene Name
PP_3692,Q88GM9,-0.034,0.951,RecF/RecN/SMC N-terminal domain-containing protein,M8001_19335,tier1:Gene Name
PP_3691,Q88GN0,1.23,1.97e-06,DNA helicase-related protein,M8001_19330,tier1:Gene Name
katG PP_3668,Q88GQ0,1.43,0.000612,Catalase-peroxidase (CP) (EC 1.11.1.21) (Peroxidase/catalase),M8001_19165,tier1:Gene Name
PP_3611,Q88GV6,0.993,0.0107,Uncharacterized protein,M8001_18880,tier1:Gene Name
tpx PP_3587,Q88GY0,1.13,0.0316,Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin),M8001_18755,tier1:Gene Name
PP_3557,Q88H08,3.1,3.41e-10,Methyl-accepting chemotaxis transducer,,unresolved
ilvE PP_3511,Q88H54,-0.606,0.0326,Branched-chain-amino-acid aminotransferase (EC 2.6.1.42),M8001_18375,tier1:Gene Name
PP_3443,Q88HB7,0.197,0.495,Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.59),M8001_18030,tier1:Gene Name
PP_3431,Q88HC9,0.629,0.156,ThiJ/PfpI family protein,M8001_17975,tier1:Gene Name
PP_3127,Q88I74,1.64,3.74e-05,Exopolysaccharide transport protein,M8001_16420,tier1:Gene Name
PP_3089,Q88IB0,2.87,3.21e-05,"Type VI secretion system effector, Hcp1 family",M8001_16105,tier1:Gene Name
PP_2947,Q88IQ2,0.597,0.243,"Transcriptional regulator MvaT, P16 subunit",M8001_15370,tier1:Gene Name
mqo3 mqo-3 PP_2925,Q88IS4,2.31,1.92e-08,Probable malate:quinone oxidoreductase 3 (EC 1.1.5.4) (MQO 3) (Malate dehydrogenase [quinone] 3),M8001_15250,tier1:Gene Name
aldB-II PP_2680,Q88JG9,2.38,1.15e-05,Aldehyde dehydrogenase (EC 1.2.1.3),M8001_14040,tier1:Gene Name
qedH-II PP_2679,Q88JH0,2.38,0.000142,Quinoprotein ethanol dehydrogenase (EC 1.1.2.8),M8001_14035,tier1:Gene Name
qedH-I PP_2674,Q88JH5,1.82,0.00266,Quinoprotein ethanol dehydrogenase (EC 1.1.2.8),M8001_14010,tier1:Gene Name
PP_2662,Q88JI7,3.32,2.58e-09,Porin domain-containing protein,M8001_13950,tier1:Gene Name
pheT PP_2470,Q88K22,0.546,0.143,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),M8001_12955,tier1:Gene Name
infC PP_2466,Q88K26,-0.0139,0.966,Translation initiation factor IF-3,M8001_12935,tier1:Gene Name
cspA-II PP_2463,Q88K29,1.01,0.307,Nucleic acid cold-shock chaperone,M8001_12920,tier1:Gene Name
ansB PP_2453,Q88K39,3.91,4.66e-05,Glutaminase-asparaginase (EC 3.5.1.38) (L-ASNase/L-GLNase) (L-asparagine/L-glutamine amidohydrolase),M8001_12870,tier1:Gene Name
acnB PP_2339,Q88KF1,0.622,0.000739,Aconitate hydratase B (EC 4.2.1.3) (EC 4.2.1.99) (2-methylisocitrate dehydratase),M8001_12280,tier1:Gene Name
prpC PP_2335,Q88KF5,0.421,0.0831,Citrate synthase,M8001_12260,tier1:Gene Name
cysB PP_2327,Q88KG3,-1.42,0.00216,Transcriptional dual regulator / CysB-O-acetyl-L-serine,M8001_12220,tier1:Gene Name
PP_2304,Q88KI6,-0.635,0.00625,Periplasmic chaperone PpiD (Periplasmic folding chaperone),M8001_12110,tier1:Gene Name
hupB PP_2303,Q88KI7,0.309,0.158,"DNA binding regulator, beta subunit B",M8001_12105,tier1:Gene Name
lon-II lon PP_2302,Q88KI8,-2.13,4.83e-07,Lon protease (EC 3.4.21.53) (ATP-dependent protease La),M8001_07495,tier1:Gene Name
clpX PP_2301,Q88KI9,-0.738,0.194,ATP-dependent Clp protease ATP-binding subunit ClpX,M8001_12095,tier1:Gene Name
tig PP_2299,Q88KJ1,0.307,0.0831,Trigger factor (TF) (EC 5.2.1.8) (PPIase),M8001_12085,tier1:Gene Name
ugpQ PP_2152,Q88KY7,1.1,0.0989,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),M8001_11240,tier1:Gene Name
gapB PP_2149,Q88KZ0,-0.126,0.672,Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-),M8001_11225,tier1:Gene Name
fadB PP_2136,Q88L02,1.28,0.014,Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)],M8001_11160,tier1:Gene Name
acnA-I PP_2112,Q88L24,0.595,0.028,Aconitate hydratase (Aconitase) (EC 4.2.1.3),M8001_11035,tier1:Gene Name
oprF PP_2089,Q88L46,2.65,2.81e-09,Outer membrane porin F,M8001_10915,tier1:Gene Name
ppsA PP_2082,Q88L53,-0.956,0.0178,"Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)",M8001_10880,tier1:Gene Name
gdhB PP_2080,Q88L55,0.0314,0.897,NAD-specific glutamate dehydrogenase (EC 1.4.1.2),M8001_10870,tier1:Gene Name
pepN PP_2017,Q88LB8,-0.32,0.413,Aminopeptidase N (EC 3.4.11.2),M8001_10545,tier1:Gene Name
PP_2006,Q88LC9,2.39,4.66e-05,TULIP family P47-like protein,M8001_10490,tier1:Gene Name
metZ PP_2001,Q88LD4,-0.156,0.445,O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-),M8001_10445,tier1:Gene Name
gltX PP_1977,Q88LF6,0.724,0.0308,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS),M8001_10300,tier1:Gene Name
rne PP_1905,Q88LM4,-1.15,6.29e-05,Ribonuclease E (RNase E) (EC 3.1.26.12),M8001_09880,tier1:Gene Name
deaD csdA PP_1868,Q88LR1,0.548,0.0335,ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A),M8001_07915,multi:Gene Name
PP_1845,Q88LT2,0.444,0.253,Enoyl-CoA hydratase/isomerase family protein,M8001_09545,tier1:Gene Name
rpsA PP_1772,Q88M03,-0.809,3.7e-05,30S ribosomal protein S1,M8001_09165,tier1:Gene Name
aroA PP_1770,Q88M05,0.894,0.000128,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),M8001_09155,tier1:Gene Name
gyrA PP_1767,Q88M08,0.249,0.413,DNA gyrase subunit A (EC 5.6.2.2),M8001_09140,tier1:Gene Name
PP_1726,Q88M48,2.59,2.18e-05,"ABC transporter, periplasmic binding protein",M8001_08935,tier1:Gene Name
PP_1661,Q88MB3,2.95,1.46e-06,Dehydrogenase subunit,M8001_08610,tier1:Gene Name
recA PP_1629,Q88ME4,-2.38,1.03e-06,Protein RecA (Recombinase A),M8001_08450,tier1:Gene Name
eno PP_1612,Q88MF9,-1.2,0.000193,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),M8001_08365,tier1:Gene Name
pyrG PP_1610,Q88MG1,0.408,0.0773,CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase),M8001_08355,tier1:Gene Name
accA PP_1607,Q88MG4,1.75,0.000156,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15),M8001_08345,tier1:Gene Name
tsf PP_1592,Q88MH9,0.755,0.00232,Elongation factor Ts (EF-Ts),M8001_08270,tier1:Gene Name
rpsB PP_1591,Q88MI0,0.545,0.00669,Small ribosomal subunit protein uS2 (30S ribosomal protein S2),M8001_08265,tier1:Gene Name
dapD PP_1530,Q88MP1,1.31,1.46e-06,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)",M8001_07920,tier1:Gene Name
ydcS PP_1486,Q88MT2,2.06,0.00018,"Polyamine ABC transporter, periplasmic polyamine-binding protein",M8001_07705,tier1:Gene Name
PP_1478,Q88MU0,-0.119,0.686,Xenobiotic reductase,M8001_07670,tier1:Gene Name
hom PP_1470,Q88MU8,-0.66,0.124,Homoserine dehydrogenase (EC 1.1.1.3),M8001_07630,tier1:Gene Name
rplS PP_1465,Q88MV3,1.01,0.000106,Large ribosomal subunit protein bL19 (50S ribosomal protein L19),M8001_07605,tier1:Gene Name
rpsP PP_1462,Q88MV6,0.386,0.0847,Small ribosomal subunit protein bS16 (30S ribosomal protein S16),M8001_07590,tier1:Gene Name
PP_1423,Q88MZ5,2.14,1.15e-05,Aminomethyltransferase folate-binding domain-containing protein,M8001_07395,tier1:Gene Name
groEL groL PP_1361,Q88N55,0.155,0.437,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60),M8001_07070,tier1:Gene Name
groES groS PP_1360,Q88N56,0.932,0.134,Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10),M8001_07065,tier1:Gene Name
petC PP_1319,Q88N93,0.141,0.811,"Ubiquinol--cytochrome c reductase, cytochrome c1",M8001_06860,tier1:Gene Name
yhdW PP_1297,Q88NB5,2.0,0.00066,Amino-acid ABC transporter-binding protein YhdW,M8001_06750,tier1:Gene Name
PP_1291,Q88NC1,0.577,0.0685,PhoH family protein,M8001_06720,tier1:Gene Name
purC PP_1240,Q88NG9,-1.83,0.000136,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),M8001_06465,tier1:Gene Name
aspS PP_1213,Q88NJ4,-0.355,0.401,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),M8001_06325,tier1:Gene Name
dps PP_1210,Q88NJ7,0.679,0.0352,DNA-binding stress protein (EC 1.16.3.1),M8001_06310,tier1:Gene Name
PP_1207,Q88NK0,1.34,0.0143,HIT domain-containing protein,M8001_06295,tier1:Gene Name
oprD PP_1206,Q88NK1,0.0642,0.746,Basic-amino-acid specific porin OprD (EC 3.4.21.-),M8001_06290,tier1:Gene Name
nrdA PP_1179,Q88NM8,-0.968,0.000154,Ribonucleoside-diphosphate reductase (EC 1.17.4.1),M8001_06140,tier1:Gene Name
livK PP_1141,Q88NR4,2.54,0.000254,Branched-chain amino acids ABC transporter-periplasmic leucine binding subunit,M8001_05965,tier1:Gene Name
slyB PP_1131,Q88NS3,0.518,0.453,Outer membrane lipoprotein,M8001_05915,tier1:Gene Name
tsaA PP_1084,Q88NW9,1.87,1.8e-08,Alkyl hydroperoxide reductase C (EC 1.11.1.26) (Peroxiredoxin) (Thioredoxin peroxidase),M8001_06185,tier1:Gene Name
gltI PP_1071,Q88NY2,3.6,2.79e-06,Glutamate / aspartate ABC transporter-periplasmic binding protein (EC 3.6.3.21),M8001_05600,tier1:Gene Name
purL PP_1037,Q88P16,-0.832,0.00689,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT),M8001_05430,tier1:Gene Name
guaB PP_1031,Q88P22,-1.24,0.000912,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),M8001_05400,tier1:Gene Name
leuA PP_1025,Q88P28,-0.778,0.0146,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase),M8001_05370,tier1:Gene Name
oprB-I PP_1019,Q88P34,-0.0114,0.96,Carbohydrate-selective porin,M8001_05340,tier1:Gene Name
gtsA PP_1015,Q88P38,-1.28,0.0257,"Mannose/glucose ABC transporter, glucose-binding periplasmic protein",M8001_05320,tier1:Gene Name
edd PP_1010,Q88P43,-1.57,3.06e-05,Phosphogluconate dehydratase (EC 4.2.1.12),M8001_05295,tier1:Gene Name
gapA PP_1009,Q88P44,0.0799,0.895,Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-),M8001_05290,tier1:Gene Name
arcA PP_1001,Q88P52,-1.19,0.0124,Arginine deiminase (ADI) (EC 3.5.3.6) (Arginine dihydrolase) (AD),M8001_05250,tier1:Gene Name
arcB PP_1000,Q88P53,-0.7,0.201,"Ornithine carbamoyltransferase, catabolic (OTCase) (EC 2.1.3.3)",M8001_05245,tier1:Gene Name
pepA PP_0980,Q88P73,0.218,0.466,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),M8001_05150,tier1:Gene Name
mreB PP_0933,Q88PB7,-0.166,0.648,Cell shape-determining protein MreB,M8001_04920,tier1:Gene Name
dppA-III PP_0885,Q88PG5,0.707,0.17,Dipeptide ABC transporter-periplasmic binding protein (EC 3.6.3.23),M8001_04685,tier1:Gene Name
fruA PP_0795,Q88PQ3,-0.0875,0.895,protein-N(pi)-phosphohistidine--D-fructose phosphotransferase (EC 2.7.1.202),M8001_04235,tier1:Gene Name
fruB PP_0793,Q88PQ5,1.43,5.9e-06,phosphoenolpyruvate--protein phosphotransferase (EC 2.7.3.9),M8001_04225,tier1:Gene Name
PP_0766,Q88PT2,3.23,3.9e-07,DUF1329 domain-containing protein,M8001_04100,tier1:Gene Name
PP_0765,Q88PT3,2.22,3.37e-07,Adhesin,M8001_04095,tier1:Gene Name
PP_0763,Q88PT5,-1.5,8.77e-05,Medium-chain-fatty-acid CoA ligase,M8001_04090,tier1:Gene Name
PP_0753,Q88PU5,0.32,0.301,Lipoprotein,M8001_04035,tier1:Gene Name
