seq_id,Name,gene,gene_synonym,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
NZ_CP012202.1,elbB,elbB,,ACZ81_RS00075,ACZ81_00075,Protein Homology,18101,18754,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975251.1,isoprenoid biosynthesis glyoxalase ElbB,WP_061438863.1,653,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00080,"(trkH,trkG,ktrB,ktrD)",,ACZ81_RS00080,ACZ81_00080,Protein Homology,19020,20471,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516540.1,TrkH family potassium uptake protein,WP_014947725.1,1451,K03498,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03498  trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",Membrane transport,Membrane transport,"trkH, trkG, ktrB, ktrD","(trkH,trkG,ktrB,ktrD)"
NZ_CP012202.1,trkA,trkA,,ACZ81_RS00085,ACZ81_00085,Protein Homology,20587,21966,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982135.1,Trk system potassium transporter TrkA,WP_014947726.1,1379,K03499,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03499  trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",Membrane transport,Membrane transport,"trkA, ktrA, ktrC","(trkA,ktrA,ktrC)"
NZ_CP012202.1,rsmB,rsmB,,ACZ81_RS00090,ACZ81_00090,Protein Homology,22031,23350,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975252.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_061438869.1,1319,K03500,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],"K03500  rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]",Genetic Info,,"rsmB, sun","(rsmB,sun)"
NZ_CP012202.1,fmt,fmt,,ACZ81_RS00095,ACZ81_00095,Protein Homology,23353,24303,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947728.1,methionyl-tRNA formyltransferase,WP_061438871.1,950,K00604,09100 Metabolism;09120 Genetic Information Processing,09108 Metabolism of cofactors and vitamins;09122 Translation,00670 One carbon pool by folate [PATH:ko00670];00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K00604  MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]",Genetic Info,,"MTFMT, fmt",(fmt)
NZ_CP012202.1,def,def,,ACZ81_RS00100,ACZ81_00100,Protein Homology,24312,24821,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982132.1,peptide deformylase,WP_014947729.1,509,K01462,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K01462  PDF, def; peptide deformylase [EC:3.5.1.88]",Metabolism,,"PDF, def",(def)
NZ_CP012202.1,ACZ81_RS00105,,,ACZ81_RS00105,ACZ81_00105,Protein Homology,25029,26111,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996778.1,LysM peptidoglycan-binding domain-containing protein,WP_232376028.1,1082,,,,,,Other,,,
NZ_CP012202.1,dprA,dprA,,ACZ81_RS00110,ACZ81_00110,Protein Homology,26151,27260,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947731.1,DNA-processing protein DprA,WP_014975255.1,1109,K04096,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing;09193 Unclassified: signaling and cellular processes,99976 Replication and repair;99979 Unclassified viral proteins,K04096  smf; DNA processing protein,Genetic Info,,smf,(smf)
NZ_CP012202.1,ACZ81_RS00115,(smg),,ACZ81_RS00115,ACZ81_00115,Protein Homology,27262,27738,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_000460680.1,DUF494 family protein,WP_014947732.1,476,K03747,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K03747  smg; Smg protein,Uncharacterized,,smg,(smg)
NZ_CP012202.1,ACZ81_RS00120,(yrdD),,ACZ81_RS00120,ACZ81_00120,Protein Homology,27824,28366,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977866.1,topoisomerase DNA-binding C4 zinc finger domain-containing protein,WP_014975256.1,542,K07479,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99976 Replication and repair,K07479  yrdD; putative DNA topoisomerase,Genetic Info,,yrdD,(yrdD)
NZ_CP012202.1,ACZ81_RS00125,"(tsaC,rimN)",,ACZ81_RS00125,ACZ81_00125,Protein Homology,28412,29017,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947734.1,Sua5/YciO/YrdC/YwlC family protein,WP_014975257.1,605,K07566,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009];03016 Transfer RNA biogenesis [BR:ko03016],"K07566  tsaC, rimN, SUA5; L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]",Genetic Info,,"tsaC, rimN, SUA5","(tsaC,rimN)"
NZ_CP012202.1,hemF,hemF,,ACZ81_RS00130,ACZ81_00130,Protein Homology,29014,29946,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996781.1,oxygen-dependent coproporphyrinogen oxidase,WP_049586350.1,932,K00228,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],"K00228  CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]",Metabolism,,"CPOX, hemF",(hemF)
NZ_CP012202.1,ACZ81_RS00135,(ompW),,ACZ81_RS00135,ACZ81_00135,Protein Homology,30181,30861,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516551.1,outer membrane beta-barrel protein,WP_061438872.1,680,K07275,09190 Not Included in Pathway or Brite,09193 Unclassified: signaling and cellular processes,99992 Structural proteins,K07275  ompW; outer membrane protein,Env. Info/Cellular Process,,ompW,(ompW)
NZ_CP012202.1,ACZ81_RS00140,(glbN),,ACZ81_RS00140,ACZ81_00140,Protein Homology,30987,31418,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977869.1,group II truncated hemoglobin,WP_014947737.1,431,K06886,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K06886  glbN; hemoglobin,Uncharacterized,,glbN,(glbN)
NZ_CP012202.1,aroE,aroE,,ACZ81_RS00145,ACZ81_00145,Protein Homology,31417,32256,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516553.1,shikimate dehydrogenase,WP_061438874.1,839,K00014,09100 Metabolism,09105 Amino acid metabolism;09110 Biosynthesis of other secondary metabolites,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400];00999 Biosynthesis of various plant secondary metabolites [PATH:ko00999]",K00014  aroE; shikimate dehydrogenase [EC:1.1.1.25],AA/Nucleotide,,aroE,(aroE)
NZ_CP012202.1,ACZ81_RS00150,,,ACZ81_RS00150,ACZ81_00150,Protein Homology,32253,32795,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947739.1,gamma carbonic anhydrase family protein,WP_014977871.1,542,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00155,,,ACZ81_RS00155,ACZ81_00155,Protein Homology,32972,34015,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975261.1,UDP-N-acetylglucosamine 2-epimerase,WP_014977872.1,1043,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00180,,,ACZ81_RS00180,ACZ81_00180,Protein Homology,39908,40438,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947741.1,acyloxyacyl hydrolase,WP_014975262.1,530,K12976,09100 Metabolism;09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism;09181 Protein families: metabolism,00540 Lipopolysaccharide biosynthesis [PATH:ko00540];01005 Lipopolysaccharide biosynthesis proteins [BR:ko01005],K12976  pagL; lipid A 3-O-deacylase [EC:3.1.1.-],Energy/Carbohydrate/Glycan,,nan,nan
NZ_CP012202.1,ACZ81_RS00185,,,ACZ81_RS00185,ACZ81_00185,Protein Homology,40575,41405,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975263.1,hypothetical protein,WP_061438876.1,830,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS00190,,,ACZ81_RS00190,ACZ81_00190,Protein Homology,41386,42177,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975264.1,hypothetical protein,WP_061438878.1,791,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS00195,,,ACZ81_RS00195,ACZ81_00195,Protein Homology,42319,45408,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516560.1,error-prone DNA polymerase,WP_061438880.1,3089,K14162,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K14162  dnaE2; error-prone DNA polymerase [EC:2.7.7.7],Genetic Info,,nan,nan
NZ_CP012202.1,ACZ81_RS00200,,,ACZ81_RS00200,ACZ81_00200,Protein Homology,45445,46932,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996790.1,DNA polymerase Y family protein,WP_061438881.1,1487,K14161,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K14161  imuB; protein ImuB,Genetic Info,,nan,nan
NZ_CP012202.1,ACZ81_RS00205,,,ACZ81_RS00205,ACZ81_00205,Protein Homology,46932,47681,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065854.1,recombinase RecA,WP_061438884.1,749,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00210,,,ACZ81_RS00210,ACZ81_00210,Protein Homology,47929,48438,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977879.1,hypothetical protein,WP_061438886.1,509,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS00215,,,ACZ81_RS00215,ACZ81_00215,Protein Homology,48441,50192,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977880.1,DUF885 domain-containing protein,WP_061438888.1,1751,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00220,,,ACZ81_RS00220,ACZ81_00220,Protein Homology,50231,50566,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 family protein,WP_061438894.1,335,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00225,,,ACZ81_RS00225,ACZ81_00225,Protein Homology,50755,52392,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996794.1,M28 family metallopeptidase,WP_049587523.1,1637,,,,,,Other,,,
NZ_CP012202.1,slmA,slmA,,ACZ81_RS00230,ACZ81_00230,Protein Homology,52636,53223,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996795.1,nucleoid occlusion factor SlmA,WP_012516568.1,587,K05501,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000];03036 Chromosome and associated proteins [BR:ko03036],"K05501  slmA, ttk; TetR/AcrR family transcriptional regulator",Genetic Info,,"slmA, ttk","(slmA,ttk)"
NZ_CP012202.1,coaBC,coaBC,,ACZ81_RS00235,ACZ81_00235,Protein Homology,53339,54568,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_061438895.1,1229,K13038,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],"K13038  coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]",Metabolism,,nan,nan
NZ_CP012202.1,radC,radC,,ACZ81_RS00240,ACZ81_00240,Protein Homology,54778,55455,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947752.1,DNA repair protein RadC,WP_014947752.1,677,K03630,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99976 Replication and repair,K03630  radC; DNA repair protein RadC,Genetic Info,,radC,(radC)
NZ_CP012202.1,ACZ81_RS00245,,,ACZ81_RS00245,ACZ81_00245,Protein Homology,55548,55901,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977885.1,hypothetical protein,WP_014947753.1,353,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS00250,,,ACZ81_RS00250,ACZ81_00250,Protein Homology,55996,56685,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947754.1,YjbF family lipoprotein,WP_014947754.1,689,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00255,,,ACZ81_RS00255,ACZ81_00255,Protein Homology,56685,57434,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996800.1,capsule biosynthesis GfcC family protein,WP_039236677.1,749,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00260,,,ACZ81_RS00260,ACZ81_00260,Protein Homology,57431,59533,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996801.1,YjbH domain-containing protein,WP_014977887.1,2102,,,,,,Other,,,
NZ_CP012202.1,rpmB,rpmB,,ACZ81_RS00265,ACZ81_00265,Protein Homology,59871,60107,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,WP_014947757.1,236,K02902,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09182 Protein families: genetic information processing,03010 Ribosome [PATH:ko03010];03011 Ribosome [BR:ko03011],"K02902  RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28",Genetic Info,,"RP-L28, MRPL28, rpmB",(rpmB)
NZ_CP012202.1,rpmG,rpmG,,ACZ81_RS00270,ACZ81_00270,Protein Homology,60119,60274,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011470150.1,50S ribosomal protein L33,WP_012516577.1,155,K02913,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09182 Protein families: genetic information processing,03010 Ribosome [PATH:ko03010];03011 Ribosome [BR:ko03011],"K02913  RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33",Genetic Info,,"RP-L33, MRPL33, rpmG",(rpmG)
NZ_CP012202.1,ACZ81_RS00275,,,ACZ81_RS00275,ACZ81_00275,Protein Homology,60541,61005,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977888.1,hypothetical protein,WP_039226967.1,464,,,,,,Uncharacterized,,,
NZ_CP012202.1,mutM,mutM,,ACZ81_RS00280,ACZ81_00280,Protein Homology,61006,61815,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996803.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_061438898.1,809,K10563,09120 Genetic Information Processing;09180 Brite Hierarchies,09124 Replication and repair;09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400];03410 Base excision repair [PATH:ko03410],"K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]",Genetic Info,,nan,nan
NZ_CP012202.1,coaD,coaD,,ACZ81_RS00285,ACZ81_00285,Protein Homology,61834,62322,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996804.1,pantetheine-phosphate adenylyltransferase,WP_061438900.1,488,K00954,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],"K00954  E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]",Metabolism,,"E2.7.7.3A, coaD, kdtB","(coaD,kdtB)"
NZ_CP012202.1,ACZ81_RS00290,,,ACZ81_RS00290,ACZ81_00290,Protein Homology,62421,63143,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996805.1,3-deoxy-D-manno-octulosonic acid kinase,WP_231506375.1,722,K11211,09100 Metabolism;09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism;09181 Protein families: metabolism,00540 Lipopolysaccharide biosynthesis [PATH:ko00540];01005 Lipopolysaccharide biosynthesis proteins [BR:ko01005],K11211  kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166],Energy/Carbohydrate/Glycan,,nan,nan
NZ_CP012202.1,ACZ81_RS00295,,,ACZ81_RS00295,ACZ81_00295,Protein Homology,63632,64105,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977891.1,hypothetical protein,WP_039226966.1,473,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS00300,,,ACZ81_RS00300,ACZ81_00300,Protein Homology,64102,65277,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977892.1,hypothetical protein,WP_061438903.1,1175,,,,,,Uncharacterized,,,
NZ_CP012202.1,ACZ81_RS00305,,,ACZ81_RS00305,ACZ81_00305,Protein Homology,65287,67731,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947764.1,EAL domain-containing protein,WP_061438906.1,2444,,,,,,Other,,,
NZ_CP012202.1,ACZ81_RS00310,(kbl),,ACZ81_RS00310,ACZ81_00310,Protein Homology,67895,69091,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516586.1,glycine C-acetyltransferase,WP_014977894.1,1196,K00639,09100 Metabolism;09180 Brite Hierarchies,09105 Amino acid metabolism;09181 Protein families: metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260];01007 Amino acid related enzymes [BR:ko01007]","K00639  kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]",AA/Nucleotide,,"kbl, GCAT",(kbl)
NZ_CP012202.1,tdh,tdh,,ACZ81_RS00315,ACZ81_00315,Protein Homology,69088,70113,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065862.1,L-threonine 3-dehydrogenase,WP_014947766.1,1025,K00060,09100 Metabolism,09105 Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260]",K00060  tdh; threonine 3-dehydrogenase [EC:1.1.1.103],AA/Nucleotide,,tdh,(tdh)
NZ_CP012202.1,glpE,glpE,,ACZ81_RS00320,ACZ81_00320,Protein Homology,70113,70424,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977895.1,thiosulfate sulfurtransferase GlpE,WP_014947767.1,311,K02439,09100 Metabolism,09102 Energy metabolism,00920 Sulfur metabolism [PATH:ko00920],K02439  glpE; thiosulfate sulfurtransferase [EC:2.8.1.1],Energy/Carbohydrate/Glycan,,glpE,(glpE)
NZ_CP012202.1,glpG,glpG,,ACZ81_RS00325,ACZ81_00325,Protein Homology,70565,71428,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977896.1,rhomboid family intramembrane serine protease GlpG,WP_014977896.1,863,K02441,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K02441  glpG; rhomboid protease GlpG [EC:3.4.21.105],Metabolism,,glpG,(glpG)
NZ_CP012202.1,fliL,fliL,,ACZ81_RS00330,ACZ81_00330,Protein Homology,71484,71897,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516590.1,flagellar basal body-associated protein FliL,WP_014977897.1,413,K02415,09140 Cellular Processes;09180 Brite Hierarchies,09142 Cell motility;09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035];02040 Flagellar assembly [PATH:ko02040],K02415  fliL; flagellar protein FliL,Motility,,fliL,(fliL)
NZ_CP012202.1,ACZ81_RS00335,(ubiC),,ACZ81_RS00335,ACZ81_00335,Protein Homology,72046,72615,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065863.1,chorismate lyase,WP_014975276.1,569,K03181,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],K03181  ubiC; chorismate lyase [EC:4.1.3.40],Metabolism,,ubiC,(ubiC)
NZ_CP012202.1,ubiA,ubiA,,ACZ81_RS00340,ACZ81_00340,Protein Homology,72612,73469,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996815.1,4-hydroxybenzoate octaprenyltransferase,WP_061438908.1,857,K03179,09100 Metabolism;09180 Brite Hierarchies,09108 Metabolism of cofactors and vitamins;09181 Protein families: metabolism,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130];01006 Prenyltransferases [BR:ko01006],K03179  ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39],Metabolism,,ubiA,(ubiA)
NZ_CP012202.1,ACZ81_RS00345,(ubiK),,ACZ81_RS00345,ACZ81_00345,Protein Homology,73571,73822,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975278.1,accessory factor UbiK family protein,WP_014947772.1,251,K09806,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99987 Cofactor metabolism,K09806  ubiK; ubiquinone biosynthesis accessory factor UbiK,Metabolism,,ubiK,(ubiK)
NZ_CP012202.1,rep,rep,,ACZ81_RS00350,ACZ81_00350,Protein Homology,73935,75950,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947773.1,DNA helicase Rep,WP_061438910.1,2015,K03656,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K03656  rep; ATP-dependent DNA helicase Rep [EC:5.6.2.4],Genetic Info,,rep,(rep)
NZ_CP012202.1,ACZ81_RS00355,,,ACZ81_RS00355,ACZ81_00355,Protein Homology,75996,78596,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516597.1,GGDEF domain-containing protein,WP_014977899.1,2600,,,,,,Other,,,
