Sheet 2 Classification of all Prochlorococcus MED4 CDS genes by expression level,,,,,,,,,,,,,,,
sysNamea,locus tagb,start,stop,strand,Core/Flexiblec,ExpressionLeveld,name,desc,COG,COGFun,COGDesc,,,,
PMM0040,PMED4_00401,38231,40021,+,Core,LEG,PMM0040,Putative penicillin-binding protein (NCBI),COG768,M,Cell division protein FtsI/penicillin-binding protein 2,,,,
PMM0041,PMED4_00411,40052,40576,-,Core,VEG,PMM0041,possible reductase (NCBI),COG431,R,Predicted flavoprotein,,,,
PMM0042,PMED4_00421,40595,42397,-,Core,VEG,PMM0042,flavoprotein (NCBI),COG426,C,Uncharacterized flavoproteins,,,,
PMM0043,PMED4_00431,42415,44190,-,Core,HEG,PMM0043,flavoprotein (NCBI),COG426,C,Uncharacterized flavoproteins,,,,
PMM0044,PMED4_00441,44305,46965,+,Core,MEG,alaS,Alanyl-tRNA synthetase (NCBI),COG13,J,Alanyl-tRNA synthetase,,,,
PMM0045,PMED4_00451,46950,48896,-,Core,VEG,speA,Orn/DAP/Arg decarboxylases family 2 (NCBI),COG1166,E,Arginine decarboxylase (spermidine biosynthesis),,,,
PMM0046,PMED4_00461,49017,49475,+,Core,VEG,ndk,Nucleoside diphosphate kinase (NCBI),COG105,F,Nucleoside diphosphate kinase,,,,
PMM0047,PMED4_00471,49482,50591,-,Core,MEG,dadA,putative thiamine biosynthesis oxidoreductase (NCBI),COG665,E,Glycine/D-amino acid oxidases (deaminating),,,,
PMM0048,PMED4_00481,50672,52144,+,Core,MEG,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B (NCBI),COG64,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog),,,,
PMM0049,PMED4_00491,52148,52762,-,Core,MEG,coaE,putative dephospho-CoA kinase (NCBI),COG237,H,Dephospho-CoA kinase,,,,
PMM0050,PMED4_00501,52867,54075,+,Core,VEG,argJ,ArgJ family (NCBI),COG1364,E,N-acetylglutamate synthase (N-acetylornithine aminotransferase),,,,
HyPMM2,PMED4_00502,54068,54310,-,Flexible,HEG,Protein-coding gene,protein family PM-16  (Katherine Huang),,,,,,,
PMM0051,PMED4_00511,54244,54915,-,Flexible,HEG,PMM0051,ATPases involved in chromosome partitioning  (Katherine Huang),COG1192,D,ATPases involved in chromosome partitioning,,,,
PMM0052,PMED4_00521,55066,56028,+,Flexible,LEG,tas,Aldo/keto reductase family (NCBI),COG667,C,Predicted oxidoreductases (related to aryl-alcohol dehydrogenases),,,,
HyPMM3,PMED4_00531,56047,56181,-,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
RNA_43,--,56335,56592,-,,--,tmRNA,"tmRNA, 10Sa RNA, SsrA (RefSeq)",,,,,,,
PMM0053,PMED4_00541,56663,57787,+,Core,MEG,PMM0053,Putative RNA methylase family UPF0020 (NCBI),COG116,L,Predicted N6-adenine-specific DNA methylase,,,,
PMM0054,PMED4_00551,57789,58175,-,Core,VEG,PMM0054,conserved hypothetical protein (NCBI),,,,,,,
PMM0055,PMED4_00561,58176,58637,-,Core,HEG,PMM0055,conserved hypothetical protein (NCBI),,,,,,,
HyPMM4,PMED4_00571,58826,58963,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0056,PMED4_00581,59051,59413,+,Core,VEG,PMM0056,conserved hypothetical protein (NCBI),,,,,,,
PMM0057,PMED4_00591,59496,63080,+,Core,MEG,smc,"putative chromosome segregation protein, SMC ATPase superfamily (NCBI)",COG1196,D,Chromosome segregation ATPases,,,,
PMM0058,PMED4_00601,63132,64148,+,Core,MEG,PMM0058,Uncharacterized conserved protein (Katherine Huang),COG1873,S,Uncharacterized conserved protein,,,,
PMM0059,PMED4_00611,64160,65449,-,Core,VEG,PMM0059,cyanobacteria-specific protein related to lipid A disaccharide synthetase (Katherine Huang),,,,,,,
RNA_37,--,65454,65535,-,,--,tRNACys1,tRNA-Cys (RefSeq),,,,,,,
PMM0060,PMED4_00621,65841,67190,+,Core,VEG,accC,"acetyl-CoA carboxylase, biotin carboxylase subunit (NCBI)",COG4770,I,"Acetyl/propionyl-CoA carboxylase, alpha subunit",,,,
PMM0061,PMED4_00631,67208,67513,-,Core,VEG,PMM0061,"YGGT family, conserved hypothetical integral membrane protein (NCBI)",,,,,,,
asRNA_00641,--,67629,67875,-,,--,Antisense RNA,,,,,,,,
PMM0062,PMED4_00641,67652,67792,+,Flexible,HEG,psbX,photosystem II PsbX protein (NCBI),,,,,,,
PMM0063,PMED4_00651,67870,68802,+,Core,HEG,PMM0063,conserved hypothetical protein (NCBI),,,,,,,
PMM0064,PMED4_00661,68803,69036,-,Core,HEG,hli2,possible high light inducible protein (NCBI),,,,,,,
PMM0065,PMED4_00671,69046,71028,-,Core,MEG,PMM0065,"ABC transporter, ATP binding protein (NCBI)",COG4178,R,"ABC-type uncharacterized transport system, permease and ATPase components",,,,
PMM0066,PMED4_00681,71066,71353,-,Flexible,VEG,PMM0066,conserved hypothetical protein (NCBI),,,,,,,
PMM0067,PMED4_00691,71401,71742,-,Core,VEG,hit,HIT (Histidine triad) family protein (NCBI),COG537,FGR,Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,,,,
PMM0068,PMED4_00701,71763,72368,-,Core,MEG,def,putative formylmethionine deformylase (NCBI),COG242,J,N-formylmethionyl-tRNA deformylase,,,,
PMM0069,PMED4_00711,72448,74376,+,Core,VEG,dap2,Esterase/lipase/thioesterase family active site (NCBI),COG1506,E,Dipeptidyl aminopeptidases/acylaminoacyl-peptidases,,,,
PMM0070,PMED4_00721,74373,75650,-,Core,VEG,PMM0070,putative cysteine desulfurase or selenocysteine lyase (NCBI),COG520,E,Selenocysteine lyase,,,,
PMM0071,PMED4_00731,75650,76867,-,Core,VEG,PMM0071,"ABC transporter, membrane component (NCBI)",COG719,O,"ABC-type transport system involved in Fe-S cluster assembly, permease component",,,,
PMM0072,PMED4_00741,76872,77657,-,Core,MEG,sufC,"ABC transporter, ATP binding component (NCBI)",COG396,O,"ABC-type transport system involved in Fe-S cluster assembly, ATPase component",,,,
PMM0073,PMED4_00751,77679,79121,-,Core,VEG,PMM0073,"ABC transporter, membrane component (NCBI)",COG719,O,"ABC-type transport system involved in Fe-S cluster assembly, permease component",,,,
PMM0074,PMED4_00761,79219,79581,+,Flexible,VEG,PMM0074,conserved hypothetical (NCBI),,,,,,,
asRNA_00771,--,79767,79930,-,,--,Antisense RNA,,,,,,,,
PMM0075,PMED4_00771,79845,80951,+,Core,VEG,PMM0075,Uncharacterized protein conserved in bacteria (Katherine Huang),COG3330,S,Uncharacterized protein conserved in bacteria,,,,
HyPMM5,PMED4_00781,80967,81137,+,Flexible,VEG,Protein-coding gene,membrane protein  (Katherine Huang),,,,,,,
PMM0076,PMED4_00791,81171,82808,+,Core,VEG,pgm,Phosphoglucomutase (NCBI),COG33,G,Phosphoglucomutase,,,,
PMM0077,PMED4_00801,82844,84133,+,Flexible,VEG,mgs1,"putative ATPase, AAA family (NCBI)",COG2256,L,ATPase related to the helicase subunit of the Holliday junction resolvase,,,,
PMM0078,PMED4_00811,84130,84786,-,Flexible,MEG,PMM0078,possible 4'-phosphopantetheinyl transferase family protein (NCBI),,,,,,,
PMM0079,PMED4_00821,84786,85253,+,Core,HEG,bcp,putative bacterioferritin comigratory (BCP) protein (NCBI),COG1225,O,Peroxiredoxin,,,,
PMM0080,PMED4_00831,85259,85939,-,Core,HEG,PMM0080,Predicted transcriptional regulator (Katherine Huang),,,,,,,
PMM0081,PMED4_00841,85958,86680,-,Core,VEG,cysH,Phosphoadenosine phosphosulfate reductase (NCBI),COG175,EH,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,,,,
PMM0082,PMED4_00851,86776,87960,+,Core,VEG,PMM0082,"putative NADH dehydrogenase, transport associated (NCBI)",COG1252,C,"NADH dehydrogenase, FAD-containing subunit",,,,
PMM0083,PMED4_00861,88020,89828,+,Core,MEG,citT,"putative sodium/sulfate transporter, DASS family (NCBI)",COG471,P,Di- and tricarboxylate transporters,,,,
PMM0084,PMED4_00871,89838,91241,+,Core,LEG,trkG,"possible sodium transporter, Trk family (NCBI)",COG168,P,"Trk-type K+ transport systems, membrane components",,,,
PMM0085,PMED4_00881,91260,91964,+,Core,VEG,PMM0085,"putative potassium channel, VIC family (NCBI)",COG569,P,"K+ transport systems, NAD-binding component",,,,
PMM0086,PMED4_00891,91965,92273,-,Core,HEG,PMM0086,Conserved hypothetical protein (NCBI),,,,,,,
PMM0087,PMED4_00901,92390,92728,+,Core,VEG,PMM0087,conserved hypothetical protein (NCBI),,,,,,,
PMM0088,PMED4_00911,92764,92994,+,Core,HEG,PMM0088,conserved hypothetical protein (NCBI),,,,,,,
HyPMM6,PMED4_00921,92962,93144,-,Flexible,HEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0089,PMED4_00931,93215,94837,+,Core,MEG,PMM0089,"ABC transporter, ATP binding component (NCBI)",COG488,R,ATPase components of ABC transporters with duplicated ATPase domains,,,,
HyPMM7,PMED4_00941,94992,95147,+,Flexible,VEG,Protein-coding gene,Conserved hypothetical protein (Katherine Huang),,,,,,,
PMM0090,PMED4_00951,95155,96303,-,Core,MEG,PMM0090,possible serine protease (NCBI),COG265,O,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",,,,
PMM0091,PMED4_00961,96452,96715,+,Core,HEG,PMM0091,conserved hypothetical protein (NCBI),,,,,,,
PMM0092,PMED4_00971,96820,97131,+,Core,VEG,PMM0092,conserved hypothetical protein (NCBI),,,,,,,
PMM0093,PMED4_00981,97200,97346,+,Core,VEG,hli1,possible high light inducible protein (NCBI),,,,,,,
PMM0094,PMED4_00991,97375,97701,-,Core,MEG,PMM0094,conserved hypothetical protein (NCBI),,,,,,,
PMM0095,PMED4_01001,97734,98660,-,Core,VEG,rbn,similar to serum resistance locus BrkB (NCBI),COG1295,S,Predicted membrane protein,,,,
PMM0096,PMED4_01011,98735,99532,-,Core,MEG,PMM0096,inositol monophosphate family protein (NCBI),COG483,G,"Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family",,,,
PMM0097,PMED4_01021,99535,100965,-,Core,VEG,PMM0097,possible RND family outer membrane efflux protein (NCBI),COG1538,MU,Outer membrane protein,,,,
PMM0098,PMED4_01031,100958,102370,-,Core,VEG,PMM0098,possible Fe-S oxidoreductase (NCBI),COG1625,C,"Fe-S oxidoreductase, related to NifB/MoaA family",,,,
PMM0099,PMED4_01041,102557,103324,+,Core,VEG,PMM0099,conserved hypothetical protein (NCBI),,,,,,,
PMM0100,PMED4_01051,103324,104991,+,Core,VEG,nadB,L-aspartate oxidase (NCBI),COG29,H,Aspartate oxidase,,,,
PMM0101,PMED4_01061,104981,105916,-,Core,MEG,PMM0101,Predicted membrane protein (Katherine Huang),COG4243,S,Predicted membrane protein,,,,
PMM0102,PMED4_01071,106023,107387,+,Flexible,VEG,PMM0102,possible Fe-S oxidoreductase (NCBI),COG621,J,2-methylthioadenine synthetase,,,,
PMM102a,PMED4_01081,107394,107486,-,Flexible,VEG,petL,cytochrome b6f complex subunit PetL (Katherine Huang),,,,,,,
PMM0103,PMED4_01091,107552,107938,-,Core,VEG,PMM0103,conserved hypothetical protein (NCBI),,,,,,,
PMM0104,PMED4_01101,108003,109157,-,Core,VEG,PMM0104,Uncharacterized protein conserved in bacteria (Katherine Huang),COG3146,S,Uncharacterized protein conserved in bacteria,,,,
PMM0105,PMED4_01111,109169,109831,-,Core,VEG,ribG,RibD/ribG C-terminal domain (NCBI),COG1985,H,"Pyrimidine reductase, riboflavin biosynthesis",,,,
PMM0106,PMED4_01121,109828,110754,-,Core,HEG,PMM0106,6-pyruvoyl tetrahydropterin synthase (NCBI),COG720,H,6-pyruvoyl-tetrahydropterin synthase,,,,
PMM0107,PMED4_01131,110805,111362,+,Core,VEG,aroK,Shikimate kinase (NCBI),COG703,E,Shikimate kinase,,,,
PMM0108,PMED4_01141,111359,111616,-,Core,VEG,PMM0108,conserved hypothetical protein (NCBI),,,,,,,
PMM0109,PMED4_01151,111615,112325,+,Flexible,LEG,PMM0109,possible POLO box duplicated region. (NCBI),,,,,,,
PMM0110,PMED4_01161,112312,113037,-,Core,VEG,PMM0110,putative glutathione S-transferase (NCBI),COG625,O,Glutathione S-transferase,,,,
PMM0111,PMED4_01171,113083,113295,+,Core,VEG,PMM0111,conserved hypothetical protein (NCBI),,,,,,,
PMM0112,PMED4_01181,113301,113699,+,Core,VEG,rbfA,Ribosome-binding factor A (NCBI),COG858,J,Ribosome-binding factor A,,,,
PMM0113,PMED4_01191,113674,114483,+,Core,VEG,hemD,putative uroporphyrinogen III synthase (NCBI),COG1587,H,Uroporphyrinogen-III synthase,,,,
PMM0114,PMED4_01201,114476,114946,-,Core,MEG,PMM0114,Predicted integral membrane protein  (Katherine Huang),COG5637,S,Predicted integral membrane protein,,,,
PMM0115,PMED4_01211,114949,116403,-,Core,MEG,crtQ,zeta-carotene desaturase (NCBI),COG3349,S,Uncharacterized conserved protein,,,,
PMM0116,PMED4_01221,116503,116895,+,Core,HEG,PMM0116,Uncharacterized conserved protein (Katherine Huang),COG316,S,Uncharacterized conserved protein,,,,
PMM0117,PMED4_01231,116904,117332,+,Core,HEG,PMM0117,conserved hypothetical protein (NCBI),,,,,,,
PMM0118,PMED4_01241,117334,118533,+,Flexible,VEG,PMM0118,Uncharacterized protein conserved in bacteria (Katherine Huang),COG4370,S,Uncharacterized protein conserved in bacteria,,,,
PMM0119,PMED4_01251,118530,118799,+,Flexible,MEG,PMM0119,conserved hypothetical protein (NCBI),,,,,,,
PMM0120,PMED4_01261,118750,119682,-,Core,MEG,PMM0120,putative cell division inhibitor (NCBI),COG1090,R,Predicted nucleoside-diphosphate sugar epimerase,,,,
PMM0121,PMED4_01271,119826,120068,+,Core,VEG,PMM0121,conserved hypothetical protein (NCBI),,,,,,,
PMM0122,PMED4_01281,120073,120750,-,Core,VEG,PMM0122,possible heat shock protein DnaJ (NCBI),COG2214,O,DnaJ-class molecular chaperone,,,,
PMM0123,PMED4_01291,120767,121735,-,Core,MEG,cysK2,O-acetylserine (thiol)-lyase A (NCBI),COG31,E,Cysteine synthase,,,,
PMM0124,PMED4_01301,121892,122161,+,Core,MEG,PMM0124,conserved hypothetical protein in cyanobacteria (NCBI),,,,,,,
PMM0125,PMED4_01311,122163,122846,+,Core,MEG,PMM0125,"possible ABC transporter, ATP-binding component (NCBI)",COG1122,P,"ABC-type cobalt transport system, ATPase component",,,,
RNA_1,--,122896,122967,+,,--,tRNA-Asn1,tRNA-Asn (NCBI),,,,,,,
PMM0126,PMED4_01321,123319,124260,+,Flexible,MEG,PMM0126,possible Herpesvirus UL6 like (NCBI),,,,,,,
PMM0127,PMED4_01331,124573,124932,-,Flexible,VEG,PMM0127,possible Signal peptide binding domain (NCBI),,,,,,,
PMM0128,PMED4_01341,125358,126113,+,Core,HEG,rpaA,two-component response regulator (NCBI),COG745,TK,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,,,,
PMM0129,PMED4_01351,126143,127102,-,Core,VEG,holB,"DNA polymerase III, delta prime subunit (NCBI)",COG470,L,ATPase involved in DNA replication,,,,
PMM0130,PMED4_01361,127095,127739,-,Core,VEG,tmk,Thymidylate kinase (NCBI),COG125,F,Thymidylate kinase,,,,
PMM0131,PMED4_01371,127740,130037,-,Core,MEG,zntA,putative P-type ATPase transporter for copper (NCBI),COG2217,P,Cation transport ATPase,,,,
PMM0132,PMED4_01381,130155,130676,+,Core,MEG,PMM0132,cyanobacterial conserved hypothetical (NCBI),,,,,,,
PMM0133,PMED4_01391,130689,132041,-,Core,MEG,sms,putative DNA repair protein RadA (NCBI),COG1066,O,Predicted ATP-dependent serine protease,,,,
PMM0134,PMED4_01401,132148,132894,+,Core,MEG,rpaB,two-component response regulator (NCBI),COG745,TK,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,,,,
PMM0135,PMED4_01411,132895,134295,+,Core,MEG,plsX,fatty acid/phospholipid synthesis protein PlsX (NCBI),COG416,I,Fatty acid/phospholipid biosynthesis enzyme,,,,
PMM0136,PMED4_01421,134349,135356,+,Core,MEG,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III (NCBI),COG332,I,3-oxoacyl-[acyl-carrier-protein] synthase III,,,,
PMM0137,PMED4_01431,135371,136267,+,Core,MEG,fabD,Malonyl coenzyme A-acyl carrier protein transacylase (NCBI),COG331,I,(acyl-carrier-protein) S-malonyltransferase,,,,
PMM0138,PMED4_01441,136272,136892,+,Core,MEG,plsC,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase (NCBI),COG204,I,1-acyl-sn-glycerol-3-phosphate acyltransferase,,,,
PMM0139,PMED4_01451,136897,137547,-,Core,VEG,PMM0139,"Inactive homolog of metal-dependent proteases, putative molecular chaperone  (Katherine Huang)",COG1214,O,"Inactive homolog of metal-dependent proteases, putative molecular chaperone",,,,
PMM0140,PMED4_01461,137554,137805,-,Core,MEG,ycf34,putative Ycf34 (NCBI),,,,,,,
PMM0141,PMED4_01471,137792,139039,+,Core,VEG,PMM0141,Poly A polymerase family (NCBI),COG617,J,tRNA nucleotidyltransferase/poly(A) polymerase,,,,
PMM0142,PMED4_01481,139098,139517,+,Core,HEG,PMM0142,RNA-binding region RNP-1 (RNA recognition motif) (NCBI),,,,,,,
PMM0143,PMED4_01491,139518,140426,-,Core,VEG,"crtB,pys",Squalene and phytoene synthases (NCBI),COG1562,I,Phytoene/squalene synthetase,,,,
PMM0144,PMED4_01501,140446,141867,-,Core,MEG,pds,phytoene desaturase (NCBI),COG3349,S,Uncharacterized conserved protein,,,,
PMM0145,PMED4_01511,141958,142305,+,Core,HEG,PMM0145,NADH dehydrogenase I subunit M (Katherine Huang),,,,,,,
PMM0146,PMED4_01521,142302,142919,+,Core,HEG,PMM0146,conserved hypothetical protein (NCBI),,,,,,,
PMM0147,PMED4_01531,142916,143869,-,Core,HEG,rbcR,putative Rubisco transcriptional regulator (NCBI),COG583,K,Transcriptional regulator,,,,
PMM0148,PMED4_01541,143954,144682,+,Core,VEG,PMM0148,Predicted membrane protein (Katherine Huang),COG4094,S,Predicted membrane protein,,,,
PMM0149,PMED4_01551,144716,146728,+,Core,MEG,ndhF,putative NADH Dehydrogenase (complex I) subunit (chain 5) (NCBI),COG1009,CP,"NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit",,,,
PMM0150,PMED4_01561,146813,148453,+,Core,MEG,ndhD,putative NADH dehydrogenase subunit (chain 4) (NCBI),COG1008,C,NADH:ubiquinone oxidoreductase subunit 4 (chain M),,,,
PMM0151,PMED4_01571,148684,149397,+,Core,VEG,PMM0151,Uncharacterized conserved protein (Katherine Huang),COG1354,S,Uncharacterized conserved protein,,,,
PMM0152,PMED4_01581,149447,150625,+,Core,MEG,PMM0152,Putative sugar-phosphate nucleotidyl transferase (NCBI),COG1208,MJ,"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",,,,
PMM0153,PMED4_01591,150609,151499,-,Core,VEG,metF,Methylenetetrahydrofolate reductase (Katherine Huang),COG685,E,"5,10-methylenetetrahydrofolate reductase",,,,
PMM0154,PMED4_01601,151577,151855,+,Core,HEG,csgD,"Bacterial regulatory protein, LuxR family (NCBI)",COG2771,K,DNA-binding HTH domain-containing proteins,,,,
PMM0155,PMED4_01611,152080,152556,-,Core,VEG,PMM0155,Uncharacterized protein conserved in bacteria (Katherine Huang),COG2954,S,Uncharacterized protein conserved in bacteria,,,,
PMM0156,PMED4_01621,152557,153456,-,Core,VEG,PMM0156,predicted inorganic polyphosphate / ATP-NAD+ kinase (NCBI),COG61,G,Predicted sugar kinase,,,,
PMM0157,PMED4_01631,153482,153802,-,Core,VEG,ndhE,putative NADH Dehydrogenase subunit (NCBI),COG713,C,NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K),,,,
PMM0158,PMED4_01641,153804,154403,-,Core,MEG,ndhG,putative NADH Dehydrogenase (complex I) subunit (chain 6) (NCBI),COG839,C,NADH:ubiquinone oxidoreductase subunit 6 (chain J),,,,
PMM0159,PMED4_01651,154417,155043,-,Core,HEG,ndhI,putative NADH Dehydrogenase subunit (NCBI),COG1143,C,Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I),,,,
PMM0160,PMED4_01661,155113,156231,-,Core,MEG,ndhA,putative respiratory-chain NADH dehydrogenase subunit (NCBI),COG1005,C,NADH:ubiquinone oxidoreductase subunit 1 (chain H),,,,
