gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
ALT831_RS00060,,ALT831_RS00060,MIT1002_00012,Protein Homology,13037,13660,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,c-type cytochrome,WP_014947721.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MIT1002_00012
yihA,yihA,ALT831_RS00065,MIT1002_00013,Protein Homology,13835,14470,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975249.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_014947722.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,MIT1002_00013
polA,polA,ALT831_RS00070,MIT1002_00014,Protein Homology,14887,17679,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516538.1,DNA polymerase I,WP_049586361.1,"GO:0006261,GO:0003676,GO:0003677,GO:0003887,GO:0008408",,"nucleic acid binding|0003676||IEA,DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA-templated DNA replication|0006261||IEA,,MIT1002_00014
elbB,elbB,ALT831_RS00075,MIT1002_00015,Protein Homology,18101,18754,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975251.1,isoprenoid biosynthesis glyoxalase ElbB,WP_049586360.1,,,,,,MIT1002_00015
ALT831_RS00080,,ALT831_RS00080,MIT1002_00016,Protein Homology,19020,20471,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516540.1,TrkH family potassium uptake protein,WP_014947725.1,"GO:0015379,GO:0016020",membrane|0016020||IEA,potassium:chloride symporter activity|0015379||IEA,,,MIT1002_00016
trkA,trkA,ALT831_RS00085,MIT1002_00017,Protein Homology,20587,21966,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982135.1,Trk system potassium transporter TrkA,WP_014947726.1,"GO:0006813,GO:0015079,GO:0016020",membrane|0016020||IEA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA,,MIT1002_00017
rsmB,rsmB,ALT831_RS00090,MIT1002_00018,Protein Homology,22031,23350,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975252.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_049586358.1,"GO:0001510,GO:0006355,GO:0006364,GO:0003723,GO:0008649",,"RNA binding|0003723||IEA,rRNA methyltransferase activity|0008649||IEA","RNA methylation|0001510||IEA,regulation of DNA-templated transcription|0006355||IEA,rRNA processing|0006364||IEA",,MIT1002_00018
fmt,fmt,ALT831_RS00095,MIT1002_00019,Protein Homology,23353,24303,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947728.1,methionyl-tRNA formyltransferase,WP_039228916.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,,MIT1002_00019
def,def,ALT831_RS00100,MIT1002_00020,Protein Homology,24312,24821,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982132.1,peptide deformylase,WP_014977863.1,"GO:0036211,GO:0042586",,peptide deformylase activity|0042586||IEA,protein modification process|0036211||IEA,,MIT1002_00020
ALT831_RS00105,,ALT831_RS00105,MIT1002_00021,Protein Homology,25038,26111,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516545.1,LysM peptidoglycan-binding domain-containing protein,WP_049586356.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,,MIT1002_00021
dprA,dprA,ALT831_RS00110,MIT1002_00022,Protein Homology,26151,27260,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947731.1,DNA-processing protein DprA,WP_049586354.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,MIT1002_00022
ALT831_RS00115,,ALT831_RS00115,MIT1002_00023,Protein Homology,27262,27738,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107314.1,DUF494 family protein,WP_014947732.1,,,,,,MIT1002_00023
ALT831_RS00120,,ALT831_RS00120,MIT1002_00024,Protein Homology,27824,28366,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977866.1,DNA topoisomerase family protein,WP_014975256.1,"GO:0006265,GO:0003677,GO:0003916,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase activity|0003916||IEA",DNA topological change|0006265||IEA,,MIT1002_00024
ALT831_RS00125,,ALT831_RS00125,MIT1002_00025,Protein Homology,28411,29016,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947734.1,Sua5/YciO/YrdC/YwlC family protein,WP_049586351.1,GO:0003725,,double-stranded RNA binding|0003725||IEA,,,MIT1002_00025
hemF,hemF,ALT831_RS00130,MIT1002_00026,Protein Homology,29013,29945,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996781.1,oxygen-dependent coproporphyrinogen oxidase,WP_049586350.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,MIT1002_00026
ALT831_RS00135,,ALT831_RS00135,MIT1002_00027,Protein Homology,30180,30860,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516551.1,OmpW family outer membrane protein,WP_049586348.1,GO:0019867,outer membrane|0019867||IEA,,,,MIT1002_00027
ALT831_RS00140,,ALT831_RS00140,MIT1002_00028,Protein Homology,30985,31416,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977869.1,group II truncated hemoglobin,WP_049586347.1,"GO:0005344,GO:0019825,GO:0020037,GO:0046872",,"oxygen carrier activity|0005344||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MIT1002_00028
aroE,aroE,ALT831_RS00145,MIT1002_00029,Protein Homology,31415,32254,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516553.1,shikimate dehydrogenase,WP_039228930.1,"GO:0019632,GO:0004764",,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA,,MIT1002_00029
ALT831_RS00150,,ALT831_RS00150,MIT1002_00030,Protein Homology,32251,32793,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947739.1,gamma carbonic anhydrase family protein,WP_014947739.1,GO:0046872,,metal ion binding|0046872||IEA,,,MIT1002_00030
ALT831_RS00155,,ALT831_RS00155,MIT1002_00031,Protein Homology,33137,34048,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996786.1,UDP-N-acetylglucosamine 2-epimerase,WP_080986386.1,,,,,,MIT1002_00031
ALT831_RS00180,,ALT831_RS00180,ALT831_RS00180,Protein Homology,40257,40711,-,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_076611923.1,IS630 family transposase,WP_197047964.1,GO:0004803,,transposase activity|0004803||IEA,,,
ALT831_RS00180,,ALT831_RS00180,ALT831_RS00180,Protein Homology,39682,40258,-,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_076611923.1,IS630 family transposase,WP_197047964.1,GO:0004803,,transposase activity|0004803||IEA,,,
ALT831_RS00185,,ALT831_RS00185,MIT1002_00037,Protein Homology,40852,41382,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947741.1,acyloxyacyl hydrolase,WP_049587508.1,,,,,,MIT1002_00037
ALT831_RS00190,,ALT831_RS00190,MIT1002_00038,Protein Homology,41519,42349,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975263.1,type 2 periplasmic-binding domain-containing protein,WP_049587509.1,,,,,,MIT1002_00038
ALT831_RS00195,,ALT831_RS00195,MIT1002_00039,Protein Homology,42330,43055,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013786167.1,hypothetical protein,WP_230962185.1,,,,,,MIT1002_00039
ALT831_RS00200,,ALT831_RS00200,MIT1002_00040,Protein Homology,43264,46353,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516560.1,error-prone DNA polymerase,WP_049587513.1,"GO:0006260,GO:0003887,GO:0008408",,"DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA replication|0006260||IEA,,MIT1002_00040
ALT831_RS00205,,ALT831_RS00205,MIT1002_00041,Protein Homology,46390,47877,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996790.1,Y-family DNA polymerase,WP_049587515.1,"GO:0006260,GO:0006281,GO:0003684,GO:0003887,GO:0046872",,"damaged DNA binding|0003684||IEA,DNA-directed DNA polymerase activity|0003887||IEA,metal ion binding|0046872||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA",,MIT1002_00041
ALT831_RS00210,,ALT831_RS00210,MIT1002_00042,Protein Homology,47877,48626,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065854.1,recombinase RecA,WP_049587517.1,,,,,,MIT1002_00042
ALT831_RS00215,,ALT831_RS00215,MIT1002_00043,Protein Homology,48874,49383,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977879.1,hypothetical protein,WP_049587518.1,,,,,,MIT1002_00043
ALT831_RS00220,,ALT831_RS00220,MIT1002_00044,Protein Homology,49386,51137,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977880.1,DUF885 domain-containing protein,WP_049587520.1,,,,,,MIT1002_00044
ALT831_RS00225,,ALT831_RS00225,MIT1002_00045,Protein Homology,51176,51511,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 family protein,WP_049587521.1,,,,,,MIT1002_00045
ALT831_RS00230,,ALT831_RS00230,MIT1002_00046,Protein Homology,51700,53337,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996794.1,M28 family metallopeptidase,WP_049587523.1,"GO:0008237,GO:0008270,GO:0016020",membrane|0016020||IEA,"metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",,,MIT1002_00046
slmA,slmA,ALT831_RS00235,MIT1002_00047,Protein Homology,53594,54181,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996795.1,nucleoid occlusion factor SlmA,WP_012516568.1,"GO:0010974,GO:0003677",,DNA binding|0003677||IEA,negative regulation of division septum assembly|0010974||IEA,,MIT1002_00047
coaBC,coaBC,ALT831_RS00240,MIT1002_00048,Protein Homology,54297,55526,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_049587528.1,"GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181",,"phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA","coenzyme A biosynthetic process|0015937||IEA,pantothenate catabolic process|0015941||IEA",,MIT1002_00048
radC,radC,ALT831_RS00245,MIT1002_00049,Protein Homology,55736,56413,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947752.1,RadC family protein,WP_014947752.1,,,,,,MIT1002_00049
ALT831_RS00250,,ALT831_RS00250,MIT1002_00050,Protein Homology,56506,56859,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977885.1,hypothetical protein,WP_014977885.1,,,,,,MIT1002_00050
ALT831_RS00255,,ALT831_RS00255,MIT1002_00051,Protein Homology,56954,57643,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947754.1,YjbF family lipoprotein,WP_014947754.1,,,,,,MIT1002_00051
ALT831_RS00260,,ALT831_RS00260,MIT1002_00052,Protein Homology,57643,58392,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996800.1,capsule biosynthesis GfcC family protein,WP_039236677.1,,,,,,MIT1002_00052
ALT831_RS00265,,ALT831_RS00265,MIT1002_00053,Protein Homology,58389,60491,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996801.1,YjbH domain-containing protein,WP_049587529.1,,,,,,MIT1002_00053
rpmB,rpmB,ALT831_RS00270,MIT1002_00054,Protein Homology,60829,61065,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,WP_014947757.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,MIT1002_00054
rpmG,rpmG,ALT831_RS00275,MIT1002_00055,Protein Homology,61077,61232,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011470150.1,50S ribosomal protein L33,WP_012516577.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,MIT1002_00055
ALT831_RS00280,,ALT831_RS00280,MIT1002_00056,Protein Homology,61499,61963,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977888.1,hypothetical protein,WP_049587531.1,,,,,,MIT1002_00056
mutM,mutM,ALT831_RS00285,MIT1002_00057,Protein Homology,61964,62773,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996803.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_014947759.1,"GO:0006281,GO:0006284,GO:0003676,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0016799,GO:0019104",,"nucleic acid binding|0003676||IEA,damaged DNA binding|0003684||IEA,DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA,zinc ion binding|0008270||IEA,oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,DNA N-glycosylase activity|0019104||IEA","DNA repair|0006281||IEA,base-excision repair|0006284||IEA",,MIT1002_00057
coaD,coaD,ALT831_RS00290,MIT1002_00058,Protein Homology,62792,63280,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996804.1,pantetheine-phosphate adenylyltransferase,WP_014947760.1,"GO:0015937,GO:0004595",,pantetheine-phosphate adenylyltransferase activity|0004595||IEA,coenzyme A biosynthetic process|0015937||IEA,,MIT1002_00058
ALT831_RS00295,,ALT831_RS00295,MIT1002_00059,Protein Homology,63379,64110,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996805.1,3-deoxy-D-manno-octulosonic acid kinase,WP_014977890.1,GO:0016773,,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,,,MIT1002_00059
ALT831_RS00300,,ALT831_RS00300,MIT1002_00060,Protein Homology,64590,65063,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977891.1,hypothetical protein,WP_049587532.1,,,,,,MIT1002_00060
ALT831_RS00305,,ALT831_RS00305,MIT1002_00061,Protein Homology,65060,66235,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977892.1,hypothetical protein,WP_049587534.1,,,,,,MIT1002_00061
ALT831_RS00310,,ALT831_RS00310,MIT1002_00062,Protein Homology,66245,68689,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947764.1,putative bifunctional diguanylate cyclase/phosphodiesterase,WP_049587535.1,"GO:0005525,GO:0046872,GO:0052621,GO:0071111,GO:0005886",plasma membrane|0005886||IEA,"GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA",,,MIT1002_00062
ALT831_RS00315,,ALT831_RS00315,MIT1002_00063,Protein Homology,68853,70049,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516586.1,glycine C-acetyltransferase,WP_014977894.1,"GO:0009058,GO:0008890,GO:0030170",,"glycine C-acetyltransferase activity|0008890||IEA,pyridoxal phosphate binding|0030170||IEA",biosynthetic process|0009058||IEA,,MIT1002_00063
tdh,tdh,ALT831_RS00320,MIT1002_00064,Protein Homology,70046,71071,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065862.1,L-threonine 3-dehydrogenase,WP_049587537.1,"GO:0006567,GO:0008743",,L-threonine 3-dehydrogenase activity|0008743||IEA,L-threonine catabolic process|0006567||IEA,,MIT1002_00064
glpE,glpE,ALT831_RS00325,MIT1002_00065,Protein Homology,71071,71382,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977895.1,thiosulfate sulfurtransferase GlpE,WP_014947767.1,GO:0004792,,thiosulfate-cyanide sulfurtransferase activity|0004792||IEA,,,MIT1002_00065
glpG,glpG,ALT831_RS00330,MIT1002_00066,Protein Homology,71524,72387,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977896.1,rhomboid family intramembrane serine protease GlpG,WP_049587538.1,"GO:0019538,GO:0004252,GO:0005886",plasma membrane|0005886||IEA,serine-type endopeptidase activity|0004252||IEA,protein metabolic process|0019538||IEA,,MIT1002_00066
ALT831_RS00335,,ALT831_RS00335,MIT1002_00067,Protein Homology,72443,72856,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516590.1,flagellar basal body-associated protein FliL,WP_049587539.1,,,,,,MIT1002_00067
ALT831_RS00340,,ALT831_RS00340,MIT1002_00068,Protein Homology,73005,73574,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065863.1,chorismate--pyruvate lyase family protein,WP_049587578.1,"GO:0006744,GO:0008813,GO:0005737",cytoplasm|0005737||IEA,chorismate lyase activity|0008813||IEA,ubiquinone biosynthetic process|0006744||IEA,,MIT1002_00068
ubiA,ubiA,ALT831_RS00345,MIT1002_00069,Protein Homology,73571,74428,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996815.1,4-hydroxybenzoate octaprenyltransferase,WP_014975277.1,"GO:0006744,GO:0008412",,4-hydroxybenzoate polyprenyltransferase activity|0008412||IEA,ubiquinone biosynthetic process|0006744||IEA,,MIT1002_00069
ubiK,ubiK,ALT831_RS00350,MIT1002_00070,Protein Homology,74530,74781,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975278.1,ubiquinone biosynthesis accessory factor UbiK,WP_014975278.1,"GO:0006744,GO:0042802",,identical protein binding|0042802||IEA,ubiquinone biosynthetic process|0006744||IEA,yqiC,MIT1002_00070
rep,rep,ALT831_RS00355,MIT1002_00071,Protein Homology,74894,76909,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947773.1,DNA helicase Rep,WP_049587540.1,"GO:0006260,GO:0003677,GO:0003678,GO:0005524",,"DNA binding|0003677||IEA,DNA helicase activity|0003678||IEA,ATP binding|0005524||IEA",DNA replication|0006260||IEA,,MIT1002_00071
ALT831_RS00360,,ALT831_RS00360,MIT1002_00072,Protein Homology,76955,79555,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516597.1,sensor domain-containing diguanylate cyclase,WP_049587542.1,,,,,,MIT1002_00072
ALT831_RS00365,,ALT831_RS00365,MIT1002_00073,Protein Homology,79659,80066,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996819.1,c-type cytochrome,WP_049587544.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MIT1002_00073
ALT831_RS00375,,ALT831_RS00375,MIT1002_00075,Protein Homology,80425,81618,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013462868.1,type II toxin-antitoxin system HipA family toxin,WP_049587545.1,"GO:0016310,GO:0004674,GO:0110001",toxin-antitoxin complex|0110001||IEA,protein serine/threonine kinase activity|0004674||IEA,phosphorylation|0016310||IEA,,MIT1002_00075
ALT831_RS00380,,ALT831_RS00380,MIT1002_00076,Protein Homology,81608,81898,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516600.1,helix-turn-helix domain-containing protein,WP_049587547.1,GO:0003677,,DNA binding|0003677||IEA,,,MIT1002_00076
nhaC,nhaC,ALT831_RS00385,MIT1002_00077,Protein Homology,82199,83611,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947776.1,Na+/H+ antiporter NhaC,WP_049587550.1,"GO:0006814,GO:1902600,GO:0015297,GO:0015385,GO:0016020",membrane|0016020||IEA,"antiporter activity|0015297||IEA,sodium:proton antiporter activity|0015385||IEA","sodium ion transport|0006814||IEA,proton transmembrane transport|1902600||IEA",,MIT1002_00077
ALT831_RS00390,,ALT831_RS00390,MIT1002_00078,Protein Homology,83715,85484,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516626.1,BCCT family transporter,WP_049587551.1,"GO:0071705,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,nitrogen compound transport|0071705||IEA,,MIT1002_00078
ALT831_RS00395,,ALT831_RS00395,MIT1002_00079,Protein Homology,85624,86253,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947778.1,hypothetical protein,WP_049587552.1,,,,,,MIT1002_00079
ALT831_RS00400,,ALT831_RS00400,MIT1002_00080,Protein Homology,86389,86637,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947779.1,DUF2960 family protein,WP_014947779.1,,,,,,MIT1002_00080
ALT831_RS20830,,ALT831_RS20830,MIT1002_00081,Protein Homology,86968,87483,-,,,COORDINATES: protein motif:HMM:NF013964.6,HNH endonuclease signature motif containing protein,WP_080986425.1,"GO:0003676,GO:0004519,GO:0008270",,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA",,,MIT1002_00081
ALT831_RS00405,,ALT831_RS00405,MIT1002_00082,Protein Homology,87384,88580,-,,,COORDINATES: protein motif:HMM:NF024783.6,HNH endonuclease,WP_080986426.1,"GO:0003677,GO:0004519",,"DNA binding|0003677||IEA,endonuclease activity|0004519||IEA",,,MIT1002_00082
ALT831_RS00410,,ALT831_RS00410,MIT1002_00083,Protein Homology,88859,89476,-,,,COORDINATES: protein motif:HMM:NF024880.6,class I SAM-dependent methyltransferase,WP_053103821.1,"GO:0032259,GO:0008168,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,MIT1002_00083
ALT831_RS00415,,ALT831_RS00415,MIT1002_00084,Protein Homology,89712,91805,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065896.1,TonB-dependent siderophore receptor,WP_049587556.1,"GO:0015891,GO:0055085,GO:0015267,GO:0046872,GO:0009279,GO:0016020","cell outer membrane|0009279||IEA,membrane|0016020||IEA","channel activity|0015267||IEA,metal ion binding|0046872||IEA","siderophore transport|0015891||IEA,transmembrane transport|0055085||IEA",,MIT1002_00084
ALT831_RS00420,,ALT831_RS00420,MIT1002_00085,Protein Homology,91973,92494,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996836.1,hypothetical protein,WP_049587558.1,,,,,,MIT1002_00085
ALT831_RS00425,,ALT831_RS00425,MIT1002_00086,Protein Homology,92569,93789,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516655.1,acyl-CoA dehydrogenase family protein,WP_014947786.1,GO:0016627,,oxidoreductase activity%2C acting on the CH-CH group of donors|0016627||IEA,,,MIT1002_00086
ALT831_RS00430,,ALT831_RS00430,MIT1002_00087,Protein Homology,94003,94926,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975302.1,LysR family transcriptional regulator,WP_049587583.1,"GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",,,MIT1002_00087
