Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light + 100 nM 1,Light + 100 nM 2,Light + 100 nM 3,Light + 5mM 1,Light + 5mM 2,Light + 5mM 3,Darkness 1,Darkness 2,Darkness 3,Dark + 100 nM 1,Dark + 100 nM 2,Dark + 100 nM 3,Dark + 5mM 1,Dark + 5mM 2,Dark + 5mM 3,Light1,Light2,Light3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Description.1,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D,resolved_locus_tag,resolution_method
E4PJH3,3,3,9.311542273,Chaperone protein HtpG OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=htpG PE=3 SV=1,255829.2741,257983.9507,102003.2241,842071.3966,328051.087,417542.7962,2658448.086,778854.9789,1173532.533,220100.9446,100114.2307,226972.415,869657.8192,386423.4845,607313.5937,1656664.44,685872.8941,853723.9945,0.00387,0.00231,0.00169,0.00465,0.00122,0.00237,0.01427,0.00326,0.00336,0.0034,0.00069,0.00365,0.0071,0.00187,0.00246,0.01474,0.0056,0.0032,Chaperone protein HtpG OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=htpG PE=3 SV=1,0.00262397,0.0027438,0.00696293,0.00257986,0.00380905,0.00784926,1.05,2.65,1.48,3.04,0.431,0.145,0.238,0.131,0.070389327891398,1.4059923596758368,0.5655971758542251,1.6040713236688608,HP15_1395,tier1:Description
E4PLY9,2,2,7.57569623,50S ribosomal protein L4 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplD PE=3 SV=1,862301.6365,666354.6634,459242.8961,6842499.542,2210633.518,6877187.234,2067394.194,2808736.968,13585548.24,839963.9919,1058578.206,158734.0503,3366977.905,8409761.369,10309035.69,932164.2247,2237787.795,17756242.13,0.01306,0.00596,0.00761,0.03775,0.00821,0.03898,0.0111,0.01175,0.03891,0.01297,0.00734,0.00255,0.02749,0.04061,0.04179,0.0083,0.01828,0.06658,50S ribosomal protein L4 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplD PE=3 SV=1,0.0088762,0.0283154,0.02058472,0.0076203,0.03662892,0.03105163,3.19,2.32,4.81,4.07,0.079,0.182,0.03,0.188,1.6735564239901446,1.2141248053528473,2.266036893995317,2.0250287944915226,HP15_381,tier1:Description
E4PLZ3,2,2,8.061353922,50S ribosomal protein L22 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplV PE=3 SV=1,211605.6639,405545.5779,34101.74874,106050.2018,1809522.65,45061.07636,682693.5962,3104826.244,143353.8106,203491.7849,378614.4255,48714.69792,232076.8981,38615.17538,300868.6417,350883.1879,34652.07182,192549.41,0.0032,0.00363,0.00057,0.00059,0.00672,0.00026,0.00366,0.01298,0.00041,0.00314,0.00262,0.00078,0.00189,0.00019,0.00122,0.00312,0.00028,0.00072,50S ribosomal protein L22 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplV PE=3 SV=1,0.00246565,0.0025203,0.0056865,0.00218327,0.00110022,0.00137596,1.02,2.31,0.5,0.63,0.488,0.202,0.162,0.201,0.0285691521967709,1.207892851641333,-1.0,-0.6665762662748083,HP15_385,tier1:Description
E4PMS3,2,2,6.127327681,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_437 PE=4 SV=1,13171.90203,1065.245221,2539.385353,2103.071957,25229.00021,14272.49663,2815.285386,128489.9681,4768.856064,3694.275432,4131.234145,6977.657178,6472.339769,22250.66353,7772.460842,12388.0165,1594.563709,7645.81343,0.0002,9.5e-06,4.2e-05,1.2e-05,9.4e-05,8.1e-05,1.5e-05,0.00054,1.4e-05,5.7e-05,2.9e-05,0.00011,5.3e-05,0.00011,3.2e-05,0.00011,1.3e-05,2.9e-05,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_437 PE=4 SV=1,8.37e-05,6.21e-05,0.0001887,6.59e-05,6.39e-05,5.06e-05,0.74,2.26,0.97,0.77,0.411,0.338,0.485,0.368,-0.4344028241457749,1.1763227726404628,-0.043943347587597,-0.3770696490798233,HP15_437,locus_tag:Description
E4PJE4,3,3,14.40343833,30S ribosomal protein S1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1366 PE=3 SV=1,94526.00717,194961.3268,50937.48829,84150.30039,976909.4257,181350.1939,137135.6365,1902800.987,116503.3751,53615.47642,144745.3148,121354.9346,53678.58813,198833.8536,296101.9637,33264.53776,70329.87306,47381.48021,0.00143,0.00174,0.00084,0.00046,0.00363,0.00103,0.00074,0.00796,0.00033,0.00083,0.001,0.00195,0.00044,0.00096,0.0012,0.0003,0.00057,0.00018,30S ribosomal protein S1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1366 PE=3 SV=1,0.00133985,0.0017068,0.00300908,0.00126024,0.00086623,0.0003494,1.27,2.25,0.69,0.28,0.35,0.27,0.096,0.085,0.3448284969974411,1.1699250014423124,-0.5353317329965558,-1.8365012677171204,HP15_1366,locus_tag:Description
E4PLZ8,2,2,7.160422564,50S ribosomal protein L14 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplN PE=3 SV=1,7602569.841,8894865.643,4330468.084,48081603.69,23076445.39,43120406.93,49480372.41,38140908.32,38032241.73,5768941.066,7587166.035,5587574.564,38059323.64,52110181.19,33387776.66,45529373.39,38723319.01,37417704.26,0.1151,0.07957,0.07178,0.2653,0.0857,0.24442,0.26561,0.1595,0.10893,0.08911,0.05258,0.08976,0.31068,0.25163,0.13535,0.40521,0.3163,0.1403,50S ribosomal protein L14 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplN PE=3 SV=1,0.08881838,0.1984725,0.17801407,0.0771498,0.23255607,0.28727157,2.23,2.0,3.01,3.72,0.085,0.057,0.053,0.061,1.15704371014558,1.0,1.5897634869849773,1.8953026213333068,HP15_390,tier1:Description
E4PMT9,2,2,6.498911381,Phosphomethylpyrimidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=thiC PE=3 SV=1,838608.082,686032.7257,552702.4586,2202236.34,3063299.334,1694975.043,1924309.469,700595.5686,14413499.83,418681.2171,601067.041,352795.955,686548.1493,2748800.618,5333055.996,375152.6431,1182386.188,7076215.547,0.0127,0.00614,0.00916,0.01215,0.01138,0.00961,0.01033,0.00293,0.04128,0.00647,0.00417,0.00567,0.0056,0.01327,0.02162,0.00334,0.00966,0.02653,Phosphomethylpyrimidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=thiC PE=3 SV=1,0.00933168,0.0110451,0.01818043,0.00543335,0.01349926,0.01317676,1.18,1.95,2.48,2.43,0.219,0.263,0.12,0.192,0.2387868595871164,0.963474123974886,1.3103401206121503,1.2809563138310562,HP15_453,tier1:Description
E4PLZ9,2,2,7.640309811,50S ribosomal protein L24 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplX PE=3 SV=1,866.6254204,50759.80229,4842.984137,1570.027161,306215.472,0.0,1647.702349,240870.8823,6708.806274,7339.854343,51129.68921,1207.453796,3776.349304,2082.876829,17317.09778,5380.628052,0.010459301,9120.077902,1.3e-05,0.00045,8e-05,8.7e-06,0.00114,0.0,8.8e-06,0.00101,1.9e-05,0.00011,0.00035,1.9e-05,3.1e-05,1e-05,7e-05,4.8e-05,8.5e-11,3.4e-05,50S ribosomal protein L24 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplX PE=3 SV=1,0.00018249,0.000382,0.00034512,0.00016238,3.7e-05,2.74e-05,2.09,1.89,0.23,0.17,0.249,0.247,0.197,0.176,1.063502942306158,0.918386234446348,-2.120294233717712,-2.5563933485243853,HP15_391,tier1:Description
E4PMG7,2,2,7.321898222,S-adenosylmethionine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=metK PE=3 SV=1,79807.39416,27074.39658,44251.1838,67168.32303,293540.4616,50881.52004,44055.56707,825270.9346,139570.99,133848.8179,4672.045754,36863.06669,45389.00439,8984.56006,190226.7503,18633.19725,7632.420025,126707.9874,0.00121,0.00024,0.00073,0.00037,0.00109,0.00029,0.00024,0.00345,0.0004,0.00207,3.2e-05,0.00059,0.00037,4.3e-05,0.00077,0.00017,6.2e-05,0.00048,S-adenosylmethionine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=metK PE=3 SV=1,0.00072799,0.0005831,0.00136249,0.00089733,0.00039502,0.00023443,0.8,1.87,0.44,0.26,0.401,0.337,0.245,0.199,-0.3219280948873623,0.903038270112912,-1.1844245711374275,-1.9434164716336324,HP15_2915,tier1:Description
E4PHB2,3,3,9.352993727,Ribonucleoside-diphosphate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3649 PE=3 SV=1,2653.786848,4167.806949,57869.68879,29587.12456,223125.5077,40665.94401,24560.4795,359690.7714,96842.86673,6764.734369,8494.165984,30312.10798,46659.73891,146493.9227,111999.6636,18238.83283,49454.71963,33875.98336,4e-05,3.7e-05,0.00096,0.00016,0.00083,0.00023,0.00013,0.0015,0.00028,0.0001,5.9e-05,0.00049,0.00038,0.00071,0.00045,0.00016,0.0004,0.00013,Ribonucleoside-diphosphate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3649 PE=3 SV=1,0.00034556,0.0004075,0.00063781,0.00021676,0.00051411,0.0002311,1.18,1.85,2.37,1.07,0.45,0.344,0.135,0.475,0.2387868595871164,0.8875252707415875,1.2448870591235344,0.0976107966264223,HP15_3649,locus_tag:Description
E4PK62,2,2,5.931912184,Thioredoxin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=trxA PE=3 SV=1,111447.8154,89804.52399,113307.0865,121922.5602,860933.67,238942.8698,344849.5108,1322943.645,192827.0454,109650.9936,110612.6483,144174.5672,137415.1272,332014.4865,393008.4432,173742.5173,211521.3704,294796.5503,0.00169,0.0008,0.00188,0.00067,0.0032,0.00135,0.00185,0.00553,0.00055,0.00169,0.00077,0.00232,0.00112,0.0016,0.00159,0.00155,0.00173,0.00111,Thioredoxin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=trxA PE=3 SV=1,0.00145627,0.0017415,0.0026453,0.00159209,0.00143941,0.00145982,1.2,1.82,0.9,0.92,0.407,0.29,0.394,0.426,0.2630344058337938,0.8639384504239717,-0.1520030934450499,-0.1202942337177117,HP15_229,tier1:Description
E4PLZ1,5,5,19.28203797,50S ribosomal protein L2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplB PE=3 SV=1,1744081.825,2194364.143,2902549.212,14843635.0,4018949.465,12739783.26,10052074.28,6190679.511,28806663.14,1467974.16,3195071.682,1686161.372,7450818.828,14425466.23,19982899.38,2794231.832,8075151.048,25152759.79,0.02641,0.01963,0.04811,0.0819,0.01493,0.07221,0.05396,0.02589,0.08251,0.02267,0.02214,0.02709,0.06082,0.06966,0.08101,0.02487,0.06596,0.09431,50S ribosomal protein L2 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplB PE=3 SV=1,0.03138224,0.0563467,0.05411796,0.02396819,0.07049664,0.06171427,1.8,1.72,2.94,2.57,0.144,0.058,0.005,0.093,0.8479969065549501,0.7824085649273732,1.5558161550616396,1.3617683594191534,HP15_383,tier1:Description
E4PH19,10,10,35.79114032,60 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groL PE=3 SV=1,943145.9008,1395382.856,1183276.94,1324635.615,7410908.569,396754.7805,3281796.297,13782571.84,1522650.612,967193.3683,1813434.678,431600.7613,808041.004,619376.7534,2525533.109,914063.6123,1169817.287,2639998.236,0.01428,0.01248,0.01961,0.00731,0.02752,0.00225,0.01762,0.05764,0.00436,0.01494,0.01257,0.00693,0.0066,0.00299,0.01024,0.00814,0.00956,0.0099,60 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groL PE=3 SV=1,0.01545847,0.0123602,0.02653857,0.01148033,0.00660846,0.00919653,0.8,1.72,0.58,0.8,0.388,0.299,0.179,0.253,-0.3219280948873623,0.7824085649273732,-0.7858751946471527,-0.3219280948873623,HP15_2358,tier1:Description
E4PF58,5,5,16.51660681,Phosphogluconate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=edd PE=3 SV=1,169415.1549,248496.8589,260028.2391,491049.4993,3617505.66,537811.0806,378771.098,2879314.381,486077.8856,231200.826,245933.8934,429483.4952,288709.0445,296985.9437,448860.5808,529315.4306,94126.63599,260176.137,0.00256,0.00222,0.00431,0.00271,0.01343,0.00305,0.00203,0.01204,0.00139,0.00357,0.0017,0.0069,0.00236,0.00143,0.00182,0.00471,0.00077,0.00098,Phosphogluconate dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=edd PE=3 SV=1,0.00303268,0.0063976,0.00515552,0.00405823,0.00187018,0.00215176,2.11,1.7,0.46,0.53,0.242,0.321,0.138,0.23,1.0772429989324603,0.765534746362977,-1.1202942337177118,-0.9159357352115256,HP15_2174,tier1:Description
E4PP80,2,2,5.213115931,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,4850.299445,17326.81997,66180.2117,11449.55766,155966.4911,184405.4311,82343.92951,64517.93214,521997.8902,9255.345883,50566.01328,41385.40341,21687.16349,203111.0936,49956.10502,20557.8655,37824.35968,321442.4514,7.3e-05,0.00016,0.0011,6.3e-05,0.00058,0.00105,0.00044,0.00027,0.0015,0.00014,0.00035,0.00066,0.00018,0.00098,0.0002,0.00018,0.00031,0.00121,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,0.0004418,0.0005626,0.00073563,0.00038607,0.00045345,0.00056574,1.27,1.67,1.17,1.47,0.255,0.041,0.425,0.214,0.3448284969974411,0.7398481026993274,0.2265085298086797,0.5558161550616397,HP15_628,tier1:Description
