Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Marinobacter_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,FC G nM/L,FC GmM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O
E4PQI5,3,3,15.2441,Homoserine dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hom PE=3 SV=1,39299.4,18579.8,54347.7,7906.33,17583.7,67692.6,93001.1,73246.8,207237,2326899,139050,486120,992640,8850.29,53408.1,13123.8,41538.8,29865.5,209261,70386.6,25931.3,49166.4,26028,12327.6,73909.4,147036,272173,4.80E-05,3.20E-05,1.10E-05,6.70E-05,6.90E-05,5.50E-05,0.00172,0.00015,0.00042,9.90E-06,2.80E-05,5.40E-05,8.30E-05,5.90E-05,9.50E-06,7.10E-05,0.00023,0.00044,Homoserine dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hom PE=3 SV=1,3.10E-05,6.40E-05,0.00076,3.10E-05,5.00E-05,0.00025,2.08,25.01,1.65,8.1,0.02,0.1,0.24,0.06
E4PQB5,4,4,19.3804,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,203481,239590,181494,161694,148309,304614,1424870,217472,660012,8096420,2050519,3353501,9090014,33660.1,184837,32246.6,96393.2,43506.7,636326,53944.1,240080,59272.6,215786,126789,2937249,1959376,823906,0.00025,0.00011,9.40E-05,0.0003,0.00021,0.00017,0.00599,0.00104,0.00384,3.70E-05,6.90E-05,7.90E-05,6.40E-05,7.10E-05,9.80E-05,0.00283,0.00313,0.00133,Inorganic pyrophosphatase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppa PE=3 SV=1,0.00015,0.00023,0.00362,6.20E-05,7.80E-05,0.00243,1.51,24.09,1.26,39.33,0.14,0.04,0.19,0.01
E4PRE3,2,2,5.30726,Adenylosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purB PE=3 SV=1,104023,105466,88059.3,45324,120703,35777.1,350138,9588.79,142820,2466169,2934763,1.10E+07,479051,21076.7,57123.5,6004.85,64597.8,20240.3,1432758,36168.5,581304,13343.7,69686.4,60506.5,1674776,3537280,2069945,0.00013,5.20E-05,7.60E-05,3.50E-05,9.00E-06,3.80E-05,0.00183,0.00332,0.0002,2.30E-05,1.30E-05,3.70E-05,4.30E-05,1.60E-05,4.70E-05,0.00161,0.00564,0.00334,Adenylosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purB PE=3 SV=1,8.50E-05,2.70E-05,0.00178,2.40E-05,3.50E-05,0.00353,0.32,20.87,1.44,145.21,0.04,0.07,0.21,0.02
E4PNM8,3,3,27.4747,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1758 PE=3 SV=1,210746,196847,348414,70781.6,162730,441037,1078895,416441,280743,8632722,1246688,2703703,1.10E+07,89769.8,159251,115246,136761,364238,2879882,320377,320360,366413,303689,465626,966957,421828,1250068,0.00026,0.00021,0.0001,0.00044,0.00039,7.40E-05,0.00639,0.00084,0.00445,1.00E-04,0.00025,0.00066,0.00038,0.00044,0.00036,0.00093,0.00067,0.00202,Peptidyl-prolyl cis-trans isomerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1758 PE=3 SV=1,0.00019,0.0003,0.00389,0.00034,0.00039,0.00121,1.59,20.53,1.17,3.6,0.21,0.04,0.38,0.06
E4PKP5,4,4,14.2267,Outer membrane receptor for transport of vitamin B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3953 PE=3 SV=1,18922.5,7936.86,27139.6,10227.6,33080.6,4905.05,55898.2,13517.5,101785,838965,20663.5,445728,1127375,3998.36,22231.1,6840.35,4486.31,9491.72,431447,18365.2,139551,9469.83,18925.2,11342.2,94114.4,394449,432402,2.30E-05,1.60E-05,2.10E-05,4.90E-06,1.30E-05,2.70E-05,0.00062,0.00014,0.00048,4.50E-06,1.50E-05,1.70E-05,2.20E-05,1.10E-05,8.80E-06,9.10E-05,0.00063,0.0007,Outer membrane receptor for transport of vitamin B OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3953 PE=3 SV=1,2.00E-05,1.50E-05,0.00041,1.20E-05,1.40E-05,0.00047,0.74,20.5,1.15,39.1,0.24,0.03,0.38,0.04
E4PP80,3,3,11.1176,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,80067.7,241139,38514.8,16493.3,31451.8,62558.7,194703,9670.75,163056,2268592,491060,2382150,577251,19173.8,14655.7,4085.7,26838.7,6193.09,23515.9,14147.8,48982,7126.97,8206.23,26836.2,502717,265306,150091,9.80E-05,2.30E-05,2.00E-05,6.20E-05,9.10E-06,4.30E-05,0.00168,0.00074,0.00024,2.10E-05,8.70E-06,1.10E-05,1.70E-05,8.50E-06,2.10E-05,0.00048,0.00042,0.00024,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,4.70E-05,3.80E-05,0.00089,1.40E-05,1.50E-05,0.00038,0.81,18.88,1.11,27.83,0.39,0.06,0.39,0
E4PLZ2,3,3,16.8147,30S ribosomal protein S19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsS PE=3 SV=1,65058.8,38356.7,13169.1,34741.4,72116.2,89085.4,263841,46104.7,180149,410829,2472695,3307053,2732172,7393.53,29125.2,6256.25,16200,59714.4,847896,17692.2,75878.6,7025.46,35915.1,72486.2,2944532,618419,946516,8.00E-05,7.80E-06,4.60E-05,8.80E-05,4.40E-05,4.80E-05,0.0003,0.00103,0.00115,8.20E-06,1.30E-05,0.00011,2.10E-05,8.40E-06,5.60E-05,0.00283,0.00099,0.00153,30S ribosomal protein S19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsS PE=3 SV=1,4.40E-05,6.00E-05,0.00083,4.30E-05,2.80E-05,0.00178,1.35,18.64,0.66,41.19,0.29,0.02,0.35,0.02
E4PNR5,3,3,11.0471,"Sulfite reductase hemoprotein, beta subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1795 PE=4 SV=1",0,110640,7326.94,99529.3,47399.9,7149.15,11582.5,175796,133067,108204,73562.7,209633,1096889,59478,455236,3106.11,519.787,86055.2,20636.8,48704.2,18197.4,17663,9299.55,188890,13456.9,114569,12061.1,0,4.40E-06,3.00E-05,7.10E-06,0.00017,3.50E-05,8.00E-05,6.50E-05,0.00046,6.60E-05,6.60E-06,0.00016,5.80E-05,2.10E-05,0.00015,1.30E-05,0.00018,1.90E-05,"Sulfite reductase hemoprotein, beta subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1795 PE=4 SV=1",1.10E-05,6.90E-05,0.0002,7.60E-05,7.50E-05,7.20E-05,6.06,17.73,0.98,0.94,0.15,0.11,0.49,0.48
E4PJ21,5,5,20.6532,Diaminobutyrate--2-oxoglutarate transaminase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3855 PE=3 SV=1,18544.4,29799.4,31303.1,16714.5,96710.9,7207.61,117106,29544.4,112145,1105339,163639,471991,1840952,8430.92,59574,8858.53,38749.8,14272.7,106994,15061.7,108678,14778.1,81779,25856.2,222179,395532,401966,2.30E-05,1.90E-05,6.10E-05,7.10E-06,2.80E-05,3.00E-05,0.00082,0.00015,0.00078,9.40E-06,1.90E-05,2.60E-05,1.80E-05,1.80E-05,2.00E-05,0.00021,0.00063,0.00065,Diaminobutyrate--2-oxoglutarate transaminase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3855 PE=3 SV=1,3.40E-05,2.20E-05,0.00058,1.80E-05,1.80E-05,0.0005,0.63,17,1.02,27.57,0.23,0.03,0.47,0.01
E4PN89,10,10,49.1283,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,2599332,4556018,6936495,2158694,7393436,9269769,3.40E+07,3758537,1.30E+07,9.70E+07,2.90E+07,9.10E+07,2.30E+08,1674567,6123634,1252627,3183329,2100521,1.30E+07,4742199,1.80E+07,3550334,9189517,3967174,3.90E+07,5.60E+07,4.40E+07,0.00319,0.00413,0.00467,0.00918,0.00355,0.00346,0.0717,0.02816,0.0983,0.00186,0.00267,0.00381,0.0056,0.00425,0.00307,0.03757,0.08907,0.07179,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,0.004,0.00539,0.06605,0.00278,0.0043,0.06614,1.35,16.53,1.55,23.78,0.26,0.02,0.09,0.01
E4PF59,4,4,18.043,Glyceraldehyde-3-phosphate dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2175 PE=3 SV=1,113978,82117.1,137032,47604.4,120481,365182,708701,36126.6,261663,295033,240096,312943,1.10E+07,40452.6,119110,39586.5,88955,42663.7,127487,78123.7,42667.8,56934,47670.6,91658.3,1196378,696546,273714,0.00014,8.20E-05,7.60E-05,0.00036,3.40E-05,6.90E-05,0.00022,9.70E-05,0.00447,4.50E-05,8.40E-05,7.70E-05,9.20E-05,6.80E-05,7.10E-05,0.00115,0.00111,0.00044,Glyceraldehyde-3-phosphate dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2175 PE=3 SV=1,9.90E-05,0.00015,0.00159,6.90E-05,7.70E-05,0.0009,1.56,16.08,1.12,13.07,0.31,0.18,0.3,0.01
E4PLY8,4,4,26.4649,50S ribosomal protein L3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplC PE=3 SV=1,284018,333850,343950,146394,508341,434135,1227064,353310,1718136,5620085,5677476,2.20E+07,6685302,140812,309785,108622,447185,248611,572464,305030,656572,215935,729363,354287,614390,1690675,173438,0.00035,0.0002,0.00032,0.00043,0.00033,0.00045,0.00416,0.00676,0.00282,0.00016,0.00023,0.00045,0.00036,0.00026,0.00027,0.00059,0.0027,0.00028,50S ribosomal protein L3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplC PE=3 SV=1,0.00029,0.00041,0.00458,0.00028,0.0003,0.00119,1.39,15.72,1.06,4.25,0.06,0.01,0.43,0.15
E4PFQ8,3,3,15.5395,Malonyl CoA-acyl carrier protein transacylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2214 PE=3 SV=1,69845.1,25365.8,17853.5,2731.27,74109.1,9086.39,357579,29462.3,138212,1740578,226647,1700619,877212,2650.34,12319.2,52015.2,5140.86,4306.72,216536,9301.38,88930.7,1889.98,46142.9,5010.25,169700,231817,139765,8.60E-05,1.10E-05,4.70E-05,9.00E-06,2.80E-05,3.70E-05,0.00129,0.00053,0.00037,3.00E-06,0.00011,7.80E-06,1.10E-05,2.30E-06,3.90E-06,0.00016,0.00037,0.00023,Malonyl CoA-acyl carrier protein transacylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2214 PE=3 SV=1,4.80E-05,2.40E-05,0.00073,4.10E-05,5.70E-06,0.00025,0.51,15.27,0.14,6.23,0.19,0.04,0.19,0.02
E4PMT9,8,8,32.2624,Phosphomethylpyrimidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=thiC PE=3 SV=1,265510,423293,672303,204410,895090,305215,1278533,1786140,7780204,1.30E+07,8877692,1.90E+07,9073479,283512,1949644,131100,313181,470952,3179892,304609,796705,989172,2274696,182510,1.10E+07,3240233,2960299,0.00033,0.0004,0.00057,0.0003,0.00169,0.00206,0.0099,0.00585,0.00383,0.00032,0.00028,0.00085,0.00036,0.00118,0.00014,0.01062,0.00517,0.00478,Phosphomethylpyrimidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=thiC PE=3 SV=1,0.00043,0.00135,0.00653,0.00048,0.00056,0.00685,3.13,15.17,1.16,14.19,0.08,0.01,0.42,0.01
E4PL81,6,6,28.864,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=sucD PE=3 SV=1,1506127,2207669,2098889,869031,2811130,2190892,9423829,1141408,5789330,3.60E+07,2.70E+07,8.10E+07,4.90E+07,591417,2233225,298558,1731604,920379,5091775,1550565,6594732,921634,3677974,1691791,4.00E+07,1.30E+07,1.20E+07,0.00185,0.00125,0.00178,0.00217,0.00108,0.00153,0.0268,0.02525,0.02067,0.00066,0.00064,0.00167,0.00183,0.0011,0.00131,0.03853,0.02046,0.01956,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=sucD PE=3 SV=1,0.00162,0.00159,0.02424,0.00099,0.00141,0.02618,0.98,14.92,1.43,26.5,0.47,0,0.18,0.01
E4PF74,2,2,6.41907,Glutamine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=glnS PE=3 SV=1,8285.76,6491.63,10753,5628.47,5297.6,2035.94,14125,94.3421,90348.9,378279,21371.2,9517.18,11279.8,2498.34,1717.18,1136.32,0,1476.82,18477.8,769.308,5808.5,0,9531.3,1523.72,27906.2,9477.28,34411.7,1.00E-05,6.40E-06,3.30E-06,2.00E-06,8.90E-08,2.40E-05,0.00028,3.00E-06,4.80E-06,2.80E-06,2.40E-06,2.70E-06,9.10E-07,0,1.20E-06,2.70E-05,1.50E-05,5.60E-05,Glutamine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=glnS PE=3 SV=1,6.60E-06,8.70E-06,9.60E-05,2.60E-06,7.00E-07,3.30E-05,1.31,14.45,0.26,12.37,0.4,0.19,0,0.03
E4PN90,7,7,47.6621,"Porin, LamB type OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2959 PE=3 SV=1",620063,471772,411027,230575,570153,652739,1320771,273907,1135309,7413891,1845735,6496302,2.60E+07,283384,2062706,169249,296104,255373,388271,1304788,1519096,345691,2137414,511183,1977243,6473288,1.30E+07,0.00076,0.00024,0.00036,0.00065,0.00026,0.0003,0.00549,0.00202,0.01105,0.00032,0.00036,0.00046,0.00154,0.00041,0.0004,0.0019,0.01033,0.02079,"Porin, LamB type OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2959 PE=3 SV=1",0.00046,0.0004,0.00618,0.00038,0.00078,0.01101,0.88,13.58,2.06,28.97,0.4,0.05,0.17,0.06
E4PF67,2,2,6.58825,Lon protease OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=lon PE=2 SV=1,1.43363,0,1988.39,15.7168,9658.6,16546.7,1352.73,15807.8,57158.8,5472.16,10703.8,12371.7,201315,10273.7,7481.41,2199.84,0,6565.35,3764.42,2128.35,0,2252.7,2997.37,1.8364,0,5427.21,24754.3,1.80E-09,1.20E-06,6.10E-06,1.60E-05,1.50E-05,1.50E-05,4.10E-06,3.80E-06,8.50E-05,1.10E-05,4.70E-06,1.20E-05,2.50E-06,2.70E-06,1.40E-09,0,8.70E-06,4.00E-05,Lon protease OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=lon PE=2 SV=1,2.40E-06,1.50E-05,3.10E-05,9.30E-06,1.70E-06,1.60E-05,6.37,12.75,0.19,1.73,0,0.18,0.02,0.3
E4PF70,4,4,14.5636,Trigger factor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tig PE=3 SV=1,183990,283048,126033,67958,75325.6,272375,464813,88041.1,247389,1550850,539065,1388904,6625202,42720.6,168425,37812.7,91949.5,33145.2,319107,70384.9,149601,45691.2,40346.8,124630,475462,523190,1088859,0.00023,7.50E-05,4.80E-05,0.00027,8.30E-05,6.50E-05,0.00115,0.00043,0.0028,4.80E-05,8.10E-05,6.00E-05,8.30E-05,5.50E-05,9.60E-05,0.00046,0.00083,0.00176,Trigger factor OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tig PE=3 SV=1,0.00012,0.00014,0.00146,6.30E-05,7.80E-05,0.00102,1.2,12.57,1.24,16.19,0.4,0.06,0.19,0.03
