Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM,extracted_gn,resolved_locus_tag,resolution_method
Q7V1N2,PMM0831,18,18,0.001227124,0.001186485,0.00224523,0.001984621,0.001257829,0.002329083,0.000770873,0.00133062,0.001089441,0.001292448,0.000639977,0.002331572,0.000879154,0.000785632,0.002368228,0.000716917,0.001178418,0.001769116,0.001552947,0.001857177,0.001063644,0.001421332,0.001344338,0.001221484,0.275816295,1.195905637,0.134938586,0.684920239,0.348367177,0.945829456,0.373696417,0.859393475,"Protoporphyrin IX magnesium chelatase, subunit chlH OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=chlH PE=4 SV=1",0.2581035580954226,-0.5459921031631977,-0.0803480224896255,-0.2186092714884249,chlH,PMM0831,locus_tag:KEGG
Q7V106,PMM1088,17,17,0.002749188,0.003878794,0.002008615,0.002054195,0.004481075,0.002054302,0.002349388,0.00304814,0.002896862,0.002242924,0.003835216,0.00164985,0.002555304,0.003873228,0.001797827,0.002050277,0.003240226,0.00287396,0.002878866,0.00286319,0.002764796,0.002575997,0.00274212,0.002721488,0.493969617,0.994555097,0.427294255,0.960377017,0.086280524,1.064488747,0.426985677,1.056479531,ClpC OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=clpC PE=3 SV=1,-0.0078767982709183,-0.0583272163678365,0.0901606987492437,0.0792648157244738,clpC,PMM1088,locus_tag:KEGG
Q7V1F3,PMM0920,16,16,0.066610528,0.052549198,0.037087003,0.073335195,0.058008242,0.045765584,0.075810278,0.037651461,0.057172373,0.080595872,0.078381596,0.029547514,0.070381226,0.082682637,0.035710128,0.07221715,0.043337939,0.047164121,0.052082243,0.059036341,0.056878037,0.062841661,0.062924664,0.054239736,0.291733994,1.133521471,0.373990373,1.092081181,0.494331589,1.001320831,0.336803401,0.863117492,Glutamine synthetase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=glnA PE=3 SV=1,0.1808117186586269,0.1270801044930298,0.0019042989816579,-0.2123711350332304,glnA,PMM0920,locus_tag:KEGG
Q7V115,PMM1075,16,16,0.034746103,0.058381648,0.029152658,0.052160162,0.059581063,0.02364831,0.031247327,0.046850669,0.022182618,0.048078279,0.054535033,0.026137785,0.057846211,0.049962935,0.026860443,0.033637343,0.036648971,0.021035742,0.040760137,0.045129845,0.033426871,0.042917032,0.044889863,0.030440686,0.386430746,1.107205438,0.279096894,0.820087326,0.341938206,1.045968479,0.136700388,0.709291482,Ferredoxin--NADP reductase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=petH PE=3 SV=1,0.1469229338498892,-0.2861505533526967,0.0648393756043661,-0.4955494727565719,petH,PMM1075,locus_tag:KEGG
Q7UZY3,PMM1512,15,15,0.001237061,0.001153485,0.001686194,0.00194226,0.000990312,0.002203139,0.001615841,0.001920661,0.005405902,0.001097152,0.000622822,0.001691335,0.000834246,0.000747228,0.002340173,0.001249412,0.001804971,0.004636504,0.001358914,0.001711904,0.002980801,0.001137103,0.001307215,0.002563629,0.21578305,1.259759119,0.128365737,2.193518113,0.292809923,1.149601732,0.130997184,2.254526943,"Ferredoxin-dependent glutamate synthase, Fd-GOGAT OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=glsF PE=4 SV=1",0.3331478995610586,1.133246619476535,0.2011341404864609,1.1728247511820082,glsF,PMM1512,locus_tag:KEGG
Q7V2R2,PMM0407,15,15,0.004300798,0.003157339,0.007220333,0.004549699,0.00314718,0.009455554,0.002689723,0.00477644,0.004193784,0.002386191,0.002380918,0.009550181,0.002523325,0.0025441,0.009576626,0.002294862,0.003158188,0.005056655,0.004892823,0.005717477,0.003886649,0.00477243,0.00488135,0.003503235,0.366992383,1.168543557,0.250241931,0.794357087,0.060830791,1.022822897,0.320766744,0.734056968,Cysteine synthase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=cysK1 PE=3 SV=1,0.2247115110113872,-0.3321404076259724,0.0325563623470726,-0.4460360641596865,cysK1,PMM0407,locus_tag:KEGG
Q7V1S0,PMM0785,15,15,0.058838294,0.028806754,0.042800985,0.042719029,0.03307811,0.045936076,0.026466111,0.026883487,0.03530764,0.054975343,0.022812228,0.043082781,0.049411662,0.017368158,0.040113471,0.030476508,0.023930715,0.044033239,0.043482011,0.040577738,0.029552413,0.040290117,0.035631097,0.032813488,0.38750481,0.933207491,0.101121806,0.679646876,0.01569766,0.884363196,0.268740138,0.814430179,Phosphoribulokinase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=cbbP PE=3 SV=1,-0.099730206783879,-0.5571427346540727,-0.1772891082374309,-0.2961370729052978,cbbP,PMM0785,locus_tag:KEGG
Q7V230,PMM0661,13,13,0.003502159,0.001990717,0.004104093,0.003044611,0.002493095,0.004494454,0.001605042,0.00201816,0.002288279,0.002212084,0.002547895,0.004467825,0.002504132,0.002389823,0.004343701,0.001733467,0.00237454,0.001636841,0.00319899,0.003344054,0.001970494,0.003075935,0.003079219,0.001914949,0.437606553,1.045346807,0.067932013,0.615973823,0.491978578,1.001067544,0.095830333,0.622558418,Ribonucleotide reductase (Class II) OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=nrdJ PE=4 SV=1,0.0639816540127139,-0.6990590527829834,0.0015393189354965,-0.6837188755306076,nrdJ,PMM0661,locus_tag:KEGG
Q7V313,PMM0282,13,13,0.013119483,0.003876035,0.023632823,0.012215068,0.003221245,0.023016739,0.003747617,0.003458616,0.005138015,0.007611987,0.002868639,0.017893743,0.006025361,0.002823637,0.018472691,0.003323472,0.002900512,0.010028551,0.01354278,0.012817684,0.00411475,0.009458123,0.00910723,0.005417512,0.466412141,0.946458823,0.08763944,0.303833452,0.320140257,0.962900336,0.232149325,0.572789318,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=fabI PE=3 SV=1,-0.0793883540359803,-1.7186473758780263,-0.0545416137443229,-0.8039235069851323,fabI,PMM0282,locus_tag:KEGG
Q7V0J2,PMM1264,12,12,0.001031379,0.000778431,0.002089622,0.001219551,0.000430876,0.001831965,0.003623411,0.002366931,0.00237144,0.000562373,0.00038395,0.00199718,0.000517341,0.000403211,0.001990793,0.001932338,0.00124851,0.002022966,0.001299811,0.001160797,0.002787261,0.000981168,0.000970448,0.001734604,0.409772266,0.893050854,0.031126569,2.144358786,0.31205432,0.989074747,0.127007966,1.76789783,ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ftsH3 PE=3 SV=1,-0.1631857641940947,1.1005463122684078,-0.0158485414951401,0.8220349011934249,ftsH3,PMM1264,locus_tag:KEGG
Q7UZN3,PMM1625,12,12,0.003601685,0.001950517,0.003062055,0.002555556,0.002051704,0.003052114,0.002833388,0.001571596,0.00370167,0.001383737,0.000783069,0.003068279,0.001965969,0.000886263,0.002784117,0.001833541,0.001790866,0.002222178,0.002871419,0.002553124,0.002702218,0.001745028,0.001878783,0.001948862,0.301763615,0.889150775,0.420100769,0.941074182,0.323433643,1.076648989,0.392333721,1.116808032,Adenosylhomocysteinase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ahcY PE=3 SV=1,-0.1695000145264598,-0.0876196442127173,0.106547976558967,0.1593812224525553,ahcY,PMM1625,locus_tag:KEGG
Q7V1U5,PMM0760,11,11,0.000809864,0.000574259,0.00121113,0.000828604,0.00039047,0.001414588,0.000572022,0.000879684,0.000572591,0.000669137,0.000395627,0.001204025,0.000357505,0.000400035,0.001252244,0.00036739,0.001018981,0.000890626,0.000865084,0.000877887,0.000674766,0.000756263,0.000669928,0.000758999,0.486290366,1.014799657,0.210315869,0.779999888,0.262919756,0.885840038,0.496689422,1.00361825,Aromatic-ring hydroxylase (Flavoprotein monooxygenase) OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=chlP PE=4 SV=1,0.0211949368868955,-0.3584541780687023,-0.1748818895825612,0.0052106103606269,chlP,PMM0760,locus_tag:KEGG
Q7UZM1,PMM1639,11,11,0.000817018,0.000933673,0.002113586,0.001115404,0.001023451,0.001956083,0.000543444,0.001105066,0.001041391,0.001430428,0.00043268,0.002214532,0.000673529,0.000463379,0.001815791,0.000559771,0.000511624,0.001495453,0.001288093,0.001364979,0.000896633,0.001359213,0.000984233,0.000855616,0.443672526,1.059690501,0.216989291,0.69609397,0.120653061,0.724119843,0.226673422,0.629493464,Protein translocase subunit SecA OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=secA PE=3 SV=1,0.0836429649096264,-0.5226460174026354,-0.4656996094661219,-0.667736696297701,secA,PMM1639,locus_tag:KEGG
Q7V007,PMM1484,11,11,0.002032992,0.000896908,0.002432331,0.003245137,0.001153041,0.002912178,0.000712433,0.000886892,0.00109211,0.001885787,0.000397541,0.001684748,0.001375406,0.000422586,0.002569552,0.000484428,0.000792339,0.002079608,0.00178741,0.002436785,0.000897145,0.001322692,0.001455848,0.001118792,0.230065532,1.36330509,0.06642492,0.501924646,0.387139465,1.100670348,0.388873648,0.84584464,DNA-directed RNA polymerase subunit gamma OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=rpoC1 PE=3 SV=1,0.4471084547155471,-0.9944573064129844,0.1383824448169276,-0.2415353933440465,rpoC1,PMM1484,locus_tag:KEGG
Q7V124,PMM1063,11,11,0.000935452,0.000516562,0.00137498,0.001097134,0.000494785,0.001309177,0.00021191,0.000689646,0.000418763,0.000498874,0.000278122,0.001142568,0.000573711,0.000274664,0.00152942,0.000160218,0.000351227,0.000921804,0.000942331,0.000967032,0.000440106,0.000639855,0.000792598,0.00047775,0.473390317,1.026212559,0.075760107,0.467039615,0.164298146,1.238715597,0.331816379,0.746653517,DNA gyrase subunit A OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=gyrA PE=3 SV=1,0.0373295867481322,-1.0983831682070253,0.3088449898220822,-0.4214891761962342,gyrA,PMM1063,locus_tag:KEGG
Q7V1T6,PMM0769,11,11,0.013431724,0.010010905,0.01061991,0.010053666,0.014163182,0.009046757,0.002746095,0.006877085,0.002108396,0.010584624,0.008133459,0.009645325,0.012169939,0.008257201,0.009442582,0.002666161,0.005764407,0.004087869,0.011354179,0.011087868,0.003910525,0.009454469,0.009956574,0.004172813,0.447280724,0.976545101,0.007607891,0.344412865,0.228738129,1.053107657,0.004970615,0.441358736,Glucose-1-phosphate adenylyltransferase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=glgC PE=3 SV=1,-0.034241419452734,-1.5377890615456022,0.0746529276085678,-1.1799763410083195,glgC,PMM0769,locus_tag:KEGG
Q7V0F0,PMM1315,10,10,0.004183747,0.012486453,0.006512034,0.010283334,0.015856036,0.00760592,0.003693426,0.014401485,0.004807264,0.005875242,0.0061174,0.010531957,0.006342205,0.007482598,0.013223124,0.004093368,0.007142143,0.005271229,0.007727411,0.01124843,0.007634059,0.0075082,0.009015976,0.005502246,0.183619909,1.455653084,0.491672117,0.98791929,0.072376406,1.200817221,0.15835301,0.73283163,Ketol-acid reductoisomerase (NADP(+)) OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ilvC PE=3 SV=1,0.5416665687043635,-0.0175349120581928,0.2640165720055736,-0.4484463214479336,ilvC,PMM1315,locus_tag:KEGG
Q7V1T1,PMM0774,10,10,0.002526453,0.003268528,0.001565496,0.000959279,0.003331019,0.00094631,0.001245242,0.003096042,0.002598756,0.002069779,0.002722782,0.001080509,0.002273182,0.002548477,0.000927946,0.001248963,0.002154342,0.001836263,0.002453492,0.001745536,0.002313347,0.00195769,0.001916535,0.001746523,0.245229899,0.711449665,0.429584851,0.942879224,0.384383542,0.978977894,0.359339143,0.892134413,Dihydroxy-acid dehydratase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ilvD PE=3 SV=1,-0.4911664050698043,-0.0848551109386458,-0.0306518117454659,-0.1646670054148831,ilvD,PMM0774,locus_tag:KEGG
Q7UZZ9,PMM1494,10,10,0.001308483,0.001452716,0.001358806,0.001074195,0.001641288,0.001251479,0.00156918,0.000954105,0.000976993,0.001388757,0.000787243,0.001055422,0.001357528,0.000682032,0.001327834,0.001102995,0.001092061,0.001238664,0.001373335,0.001322321,0.001166759,0.001077141,0.001122465,0.001144573,0.391223139,0.962853643,0.186046768,0.849581014,0.366349245,1.042078077,0.363661128,1.062603442,Translation initiation factor IF-2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=infB PE=3 SV=1,-0.0546115746638299,-0.2351765689925935,0.0594633746229616,0.0876032911292374,infB,PMM1494,locus_tag:KEGG
Q7UZG3,PMM1704,10,10,0.005567254,0.004860167,0.004213229,0.007962432,0.004248029,0.003950616,0.004384204,0.005403385,0.002165748,0.006104616,0.00196332,0.003213298,0.00513356,0.001857684,0.003687946,0.003141439,0.005473175,0.002555267,0.004880217,0.005387025,0.003984446,0.003760411,0.00355973,0.003723294,0.363061721,1.103849602,0.217317589,0.816448523,0.339967814,0.94663311,0.490819493,0.990129334,Chaperone protein dnaK2 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=dnaK2 PE=3 SV=1,0.1425436202776789,-0.292566168015016,-0.0791227113728651,-0.014311107742171,dnaK2,PMM1704,locus_tag:KEGG
Q7UZT0,PMM1575,10,10,0.000578006,0.000370157,0.001236566,0.00071103,0.000311842,0.001320658,0.000297911,0.00075618,0.000535872,0.000905146,0.000214274,0.001053829,0.000370331,0.000232744,0.001348306,0.000182234,0.001027586,0.000712541,0.000728243,0.000781177,0.000529988,0.000724416,0.00065046,0.000640787,0.449646357,1.072687102,0.267712408,0.72776197,0.395142334,0.897909518,0.413241827,0.884556436,Phosphoenolpyruvate carboxylase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=ppc PE=3 SV=1,0.1012293098087231,-0.4584614313498735,-0.15535802242606,-0.1769739029722882,ppc,PMM1575,locus_tag:KEGG
Q7TUC3,PMM0642,10,10,0.005454829,0.003358923,0.010184504,0.006398951,0.002342938,0.011081667,0.002666907,0.006310599,0.003983498,0.002600966,0.001527999,0.00926665,0.003452344,0.00153531,0.011114607,0.002879798,0.003643059,0.006962222,0.006332752,0.006607852,0.004320335,0.004465205,0.00536742,0.004495026,0.46813495,1.043440869,0.213874317,0.682220754,0.115984467,1.202054609,0.495897399,1.006678571,Putative O-Acetyl homoserine sulfhydrylase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=cysD PE=3 SV=1,0.0613488463841047,-0.5516894506991026,0.2655024387644813,0.0096031093137526,cysD,PMM0642,locus_tag:KEGG
Q7TU82,PMM1055,10,10,0.001369816,0.000934654,0.003761826,0.001597099,0.000761211,0.00353196,0.00121482,0.001495666,0.000773718,0.001080743,0.001384658,0.003819511,0.000925537,0.001330268,0.00332548,0.000752027,0.001200851,0.001393973,0.002022098,0.001963423,0.001161401,0.002094971,0.001860428,0.001115617,0.481709532,0.97098299,0.197398857,0.574354459,0.109899783,0.888044912,0.165826306,0.532521468,Mg-protoporphyrin IX chelatase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=chlI PE=3 SV=1,-0.0424820726286788,-0.7999867335738214,-0.1712954535809064,-0.909088407759528,chlI,PMM1055,locus_tag:KEGG
Q7V038,PMM1450,10,10,0.001159251,0.000770028,0.002657433,0.001488888,0.000797193,0.002862184,0.000635617,0.000478135,0.001310576,0.001438137,0.000745984,0.00233264,0.000870787,0.000694806,0.003117037,0.00059397,0.000584577,0.001350332,0.001528904,0.001716088,0.000808109,0.001505587,0.001560877,0.00084296,0.416923149,1.122430554,0.158008665,0.528554655,0.450607332,1.036723174,0.137611967,0.559887718,ATP synthase gamma chain OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=atpG PE=3 SV=1,0.166626186615278,-0.9198754342149464,0.052030716896268,-0.8367905622285616,atpG,PMM1450,locus_tag:KEGG
Q7V3N1,PMM0043,10,10,0.000794085,0.000724134,0.000479769,0.000834383,0.000774698,0.00037669,0.000262996,0.000452147,0.00014465,0.0008372,0.000480995,0.000368057,0.001065792,0.000452453,0.000574802,0.000318682,0.000199332,0.000194123,0.000665996,0.000661924,0.000286598,0.000562084,0.000697682,0.000237379,0.491142041,0.993885463,0.022023349,0.430329875,0.12062007,1.241242213,0.045951252,0.422319165,Flavoprotein OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=PMM0043 PE=3 SV=1,-0.0088484920765721,-1.2164850942055598,0.3117846669568535,-1.2435943762277055,PMM0043,PMM0043,locus_tag:KEGG
Q7V2M3,PMM0452,10,10,0.000933934,0.000449091,0.004430206,0.001278187,0.000558179,0.00377607,0.000523548,0.000782095,0.000736029,0.000565246,0.000429312,0.005857433,0.00053993,0.000455056,0.003865696,0.000477725,0.000638885,0.000934537,0.001937744,0.001870812,0.000680557,0.002283997,0.001620227,0.000683715,0.484205352,0.965459024,0.186848786,0.351211223,0.211434354,0.709382452,0.211177712,0.29935033,60 kDa chaperonin 1 OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=groL1 PE=3 SV=1,-0.0507130652572422,-1.5095891477710883,-0.4953644521328694,-1.7400932342370896,groL1,PMM0452,locus_tag:KEGG
Q7V1S4,PMM0781,10,10,0.002480122,0.001111306,0.011240928,0.003200714,0.001243308,0.010925955,0.000752519,0.000984308,0.001298325,0.001756461,0.000738025,0.012409437,0.001525593,0.000787558,0.011834165,0.000502649,0.001195531,0.002954578,0.004944119,0.005123326,0.001011717,0.004967974,0.004715772,0.00155092,0.484508633,1.03624654,0.141747262,0.204630494,0.148765379,0.94923437,0.209854361,0.312183524,"Fructose-1,6-bisphosphate aldolase OS=Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4) OX=59919 GN=cbbA,cfxA,fbaA,fda PE=3 SV=1",0.0513672846081909,-2.288906943623969,-0.0751637561224138,-1.6795336961709288,"cbbA,cfxA,fbaA,fda",PMM0781,locus_tag:KEGG
