Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D
E4PF82,2.0,2.0,6.35686207,Thioesterase superfamily protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2198 PE=4 SV=1,217.89923,6818.26006,730.139302,283.034503,165.871615,2237.01854,25905.4833,5723.60673,70418.9392,75.2195115,430.007304,713.496905,3.19319223,492.129211,796.788653,8832.96889,12404.8856,37382.8143,3.29e-06,3.42e-05,4.19e-06,3.2e-06,2.3e-06,1.3e-05,6.44e-05,1.47e-05,0.000131,5.58e-07,5.21e-06,7.12e-06,4.38e-08,6.21e-06,7.27e-06,2.76e-05,3.23e-05,0.000133256,Thioesterase superfamily protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2198 PE=4 SV=1,1.39e-05,6.15e-06,7e-05,4.3e-06,4.51e-06,6.44e-05,0.44,5.04,1.05,14.98,0.297,0.158,0.34,0.105,-1.1844245711374275,2.333423733725192,0.070389327891398,3.9049657186840263
E4PQZ3,3.0,3.0,13.0622114,Ribulose-phosphate 3-epimerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpe PE=3 SV=1,12335.554,34394.8677,17428.1529,8000.56172,15917.252,73131.8136,380412.83,196283.105,451667.809,15008.8509,26396.6654,39454.9848,16099.1574,29054.2119,22629.7955,297645.023,221280.969,58508.3115,0.00018633,0.000172525,0.000100026,9.04e-05,0.000220377,0.000423487,0.000945442,0.0005058,0.000840232,0.000111275,0.000319911,0.000393831,0.000220704,0.000366395,0.000206448,0.00093006,0.000575315,0.00020856,Ribulose-phosphate 3-epimerase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpe PE=3 SV=1,0.000152961,0.000244771,0.000763825,0.000275006,0.000264515,0.000571312,1.6,4.99,0.96,2.08,0.267,0.024,0.459,0.208,0.6780719051126377,2.319039815562536,-0.058893689053568565,1.0565835283663676
E4PNM7,2.0,2.0,5.42922187,Electron transfer flavoprotein-ubiquinone oxidoreductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1757 PE=4 SV=1,2336.47458,6125.7567,6536.02752,334.129182,143.331341,4614.76926,60843.2412,118228.27,29496.1831,7195.37146,2411.27158,832.320753,211.925811,793.693267,3964.77344,10139.974,182814.052,6308.72038,3.53e-05,3.07e-05,3.75e-05,3.78e-06,1.98e-06,2.67e-05,0.000151214,0.000304661,5.49e-05,5.33e-05,2.92e-05,8.31e-06,2.91e-06,1e-05,3.62e-05,3.17e-05,0.000475304,2.25e-05,Electron transfer flavoprotein-ubiquinone oxidoreductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1757 PE=4 SV=1,3.45e-05,1.08e-05,0.000170249,3.03e-05,1.64e-05,0.000176492,0.31,4.93,0.54,5.83,0.034,0.105,0.301,0.217,-1.6896598793878495,2.3015876466031866,-0.888968687611256,2.5434958834257717
E4PNR1,2.0,2.0,5.28452849,Fe/S biogenesis protein NfuA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=nfuA PE=3 SV=1,4121.9278,16883.2219,1575.32972,699.287804,3202.81448,5404.24525,33611.1421,28120.4818,310332.579,9055.06527,1029.474,616.14383,2283.64225,4499.83674,3936.14318,55836.3042,24630.4474,22944.3092,6.23e-05,8.47e-05,9.04e-06,7.91e-06,4.43e-05,3.13e-05,8.35e-05,7.25e-05,0.000577308,6.71e-05,1.25e-05,6.15e-06,3.13e-05,5.67e-05,3.59e-05,0.000174473,6.4e-05,8.18e-05,Fe/S biogenesis protein NfuA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=nfuA PE=3 SV=1,5.2e-05,2.78e-05,0.000244435,2.86e-05,4.13e-05,0.000106766,0.54,4.7,1.45,3.73,0.207,0.207,0.328,0.02,-0.888968687611256,2.232660756790275,0.5360529002402097,1.899175630480513
E4PIR7,2.0,2.0,8.7475884,2-oxoglutarate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=serA PE=3 SV=1,10.5741402,1030.36075,10222.8855,4.6384032,0.0,1279.53503,59699.4777,51113.354,10263.7325,0.0,0.0,40.3428132,0.0,13.106337,119.015988,2748.61342,10307.3657,55426.2324,1.6e-07,5.17e-06,5.87e-05,5.24e-08,0.0,7.41e-06,0.000148371,0.000131714,1.91e-05,0.0,0.0,4.03e-07,0.0,1.65e-07,1.09e-06,8.59e-06,2.68e-05,0.000197574,2-oxoglutarate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=serA PE=3 SV=1,2.13e-05,2.49e-06,9.97e-05,1.34e-07,4.17e-07,7.77e-05,0.12,4.67,3.11,578.51,0.183,0.159,0.152,0.163,-3.0588936890535687,2.2234225499349374,1.6369145803558778,9.176198087440623
E4PFS5,2.0,2.0,5.62399006,Pitrilysin metallopeptidase 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2231 PE=3 SV=1,1552.79955,1129.66831,174.833121,0.0,3385.67361,0.0,1591.8165,43306.416,10902.3525,916.859382,2020.58658,650.829521,1302.53878,721.948774,0.0,2460.99558,9473.05453,747.536666,2.35e-05,5.67e-06,1e-06,0.0,4.69e-05,0.0,3.96e-06,0.000111596,2.03e-05,6.8e-06,2.45e-05,6.5e-06,1.79e-05,9.1e-06,0.0,7.69e-06,2.46e-05,2.66e-06,Pitrilysin metallopeptidase 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2231 PE=3 SV=1,1e-05,1.56e-05,4.53e-05,1.26e-05,8.99e-06,1.17e-05,1.56,4.51,0.71,0.93,0.398,0.221,0.344,0.295,0.6415460290875237,2.1731274334806563,-0.4941090702700427,-0.10469737866669324
E4PRE3,8.0,8.0,22.8758686,Adenylosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purB PE=3 SV=1,19503.8119,71785.582,24803.166,26553.9118,50024.4086,36119.9717,339672.014,422750.148,882882.469,53874.9459,80609.8139,8295.91977,30341.3507,73458.0949,16914.3781,209126.679,201314.326,934056.814,0.000294607,0.000360078,0.000142354,0.000300203,0.000692596,0.000209161,0.000844188,0.001089381,0.001642416,0.000399426,0.00097694,8.28e-05,0.00041595,0.00092636,0.000154307,0.000653464,0.000523403,0.003329561,Adenylosuccinate lyase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purB PE=3 SV=1,0.00026568,0.000400653,0.001191995,0.000486392,0.000498872,0.001502143,1.51,4.49,1.03,3.09,0.155,0.043,0.379,0.232,0.5945485495503542,2.1667154449664223,0.04264433740849372,1.6276068381296498
E4PN89,11.0,11.0,57.617419,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,595204.735,13604590.2,918000.6,1006159.16,684385.602,1107571.95,55103234.0,36663597.0,73731144.8,1167311.84,523604.292,539933.046,480315.445,496297.574,795980.411,39433187.7,45388718.9,32454431.9,0.008990628,0.068240906,0.005268735,0.011375034,0.009475431,0.006413658,0.136948311,0.094478131,0.137161205,0.008654398,0.006345756,0.005389491,0.006584651,0.006258674,0.007261587,0.123217979,0.118007477,0.11568783,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,0.02750009,0.009088041,0.122862549,0.006796548,0.006701638,0.118971095,0.33,4.47,0.99,17.5,0.229,0.055,0.471,0.0,-1.5994620704162712,2.160274831408593,-0.014499569695115089,4.129283016944966
E4PGF9,2.0,2.0,5.89256322,Uracil phosphoribosyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=upp PE=3 SV=1,297.200072,13374.0668,13754.7398,1536.85882,2225.77812,33301.2469,1418.98509,245288.397,18978.4789,511.314929,1255.24002,3140.74498,709.779789,913.805471,4113.94948,330.112244,9174.72166,320.146021,4.49e-06,6.71e-05,7.89e-05,1.74e-05,3.08e-05,0.000192839,3.53e-06,0.000632082,3.53e-05,3.79e-06,1.52e-05,3.14e-05,9.73e-06,1.15e-05,3.75e-05,1.03e-06,2.39e-05,1.14e-06,Uracil phosphoribosyltransferase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=upp PE=3 SV=1,5.02e-05,8.03e-05,0.000223638,1.68e-05,1.96e-05,8.68e-06,1.6,4.46,1.17,0.52,0.283,0.235,0.239,0.277,0.6780719051126377,2.15704371014558,0.22650852980867975,-0.9434164716336325
E4PN90,9.0,9.0,63.0633931,"Porin, LamB type OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2959 PE=3 SV=1",236202.37,6302577.06,625737.918,417886.953,390162.134,570609.236,32200313.2,5238019.51,42586885.5,350273.309,294377.928,499278.241,356282.907,231483.22,275656.794,26281531.1,31942094.8,4547600.15,0.003567861,0.031613857,0.003591335,0.00472438,0.005401859,0.003304248,0.080027581,0.013497811,0.079223896,0.002596911,0.003567676,0.004983683,0.004884288,0.002919172,0.002514768,0.082122632,0.0830472,0.016210482,"Porin, LamB type OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2959 PE=3 SV=1",0.012924351,0.004476829,0.057583096,0.00371609,0.003439409,0.060460105,0.35,4.46,0.93,16.27,0.221,0.145,0.43,0.065,-1.5145731728297582,2.15704371014558,-0.10469737866669324,4.024142345897803
E4PPH2,3.0,3.0,15.3215983,4-hydroxy-tetrahydrodipicolinate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapB PE=3 SV=1,5310.00589,36087.8674,15563.6521,17230.1459,3620.65613,20684.6164,143065.037,214855.384,349632.996,5482.88385,15050.5249,3965.75129,2892.35295,7086.78295,10279.3237,144408.086,58095.8965,157169.618,8.02e-05,0.000181017,8.93e-05,0.000194794,5.01e-05,0.000119779,0.00035556,0.000553659,0.000650418,4.06e-05,0.000182403,3.96e-05,3.97e-05,8.94e-05,9.38e-05,0.000451236,0.000151045,0.000560251,4-hydroxy-tetrahydrodipicolinate reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapB PE=3 SV=1,0.00011685,0.000121567,0.000519879,8.75e-05,7.43e-05,0.000387511,1.04,4.45,0.85,4.43,0.477,0.02,0.393,0.109,0.056583528366367514,2.1538053360790355,-0.23446525363702297,2.1473066987802936
E4PQI5,3.0,3.0,11.4741316,Homoserine dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hom PE=3 SV=1,3230.46077,170906.203,5185.53996,7303.26401,11363.9746,9018.31246,354891.617,513458.464,1023844.51,21287.5382,31795.2928,2766.87862,6661.77474,30128.8372,3039.3914,198823.634,557826.546,61827.5481,4.88e-05,0.000857269,2.98e-05,8.26e-05,0.000157336,5.22e-05,0.000882014,0.001323127,0.001904646,0.000157825,0.000385339,2.76e-05,9.13e-05,0.000379947,2.77e-05,0.00062127,0.00145031,0.000220392,Homoserine dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=hom PE=3 SV=1,0.000311942,9.74e-05,0.001369929,0.000190261,0.000166334,0.00076399,0.31,4.39,0.87,4.02,0.235,0.065,0.189,0.078,-1.6896598793878495,2.1342209397606333,-0.2009126939259964,2.0071955014042038
E4PLZ6,4.0,4.0,17.2315413,50S ribosomal protein L29 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpmC PE=3 SV=1,1693.33132,145529.351,25381.1648,1844.67902,6285.38164,24202.4999,1228450.89,333004.363,23385.5124,20904.9786,3009.90306,13778.4938,1202.88748,873.689193,1387.86594,320821.283,1103431.0,438510.55,2.56e-05,0.000729978,0.000145672,2.09e-05,8.7e-05,0.00014015,0.003053074,0.000858116,4.35e-05,0.000154989,3.65e-05,0.000137534,1.65e-05,1.1e-05,1.27e-05,0.001002479,0.002868843,0.001563125,50S ribosomal protein L29 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpmC PE=3 SV=1,0.000300409,8.27e-05,0.001318232,0.000109667,1.34e-05,0.001811482,0.28,4.39,0.12,16.52,0.207,0.209,0.057,0.051,-1.8365012677171204,2.1342209397606333,-3.0588936890535687,4.046141781644721
E4PLW6,5.0,5.0,21.8523831,Tyrosine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tyrS PE=3 SV=1,1639.65414,47100.9436,21689.9312,1160.17119,2546.58595,37559.8478,21962.7645,158572.259,621156.653,10677.7898,23575.2008,16112.3853,2540.08177,15879.8128,7572.52952,34152.2171,69924.292,343164.791,2.48e-05,0.000236259,0.000124486,1.31e-05,3.53e-05,0.000217499,5.46e-05,0.000408624,0.001155531,7.92e-05,0.000285717,0.00016083,3.48e-05,0.000200256,6.91e-05,0.000106716,0.000181798,0.001223253,Tyrosine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=tyrS PE=3 SV=1,0.000128504,8.86e-05,0.000539579,0.000175237,0.000101387,0.000503923,0.69,4.2,0.58,2.88,0.344,0.16,0.019,0.233,-0.5353317329965558,2.070389327891398,-0.7858751946471527,1.5260688116675876
E4PG97,2.0,2.0,5.6829989,Phenylalanine--tRNA ligase alpha subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pheS PE=3 SV=1,3218.35118,35908.9387,11963.3101,46448.709,11675.3359,3977.32204,63621.22,233620.258,206990.185,8517.60936,8764.5159,4785.89621,6518.68045,9593.9238,3181.67673,54116.5776,47831.0889,148904.782,4.86e-05,0.00018012,6.87e-05,0.000525121,0.000161647,2.3e-05,0.000158118,0.000602014,0.000385061,6.31e-05,0.00010622,4.78e-05,8.94e-05,0.000120986,2.9e-05,0.0001691,0.000124357,0.000530789,Phenylalanine--tRNA ligase alpha subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=pheS PE=3 SV=1,9.91e-05,0.0002366,0.000381731,7.24e-05,7.98e-05,0.000274749,2.39,3.85,1.1,3.8,0.251,0.046,0.319,0.146,1.2570106182060239,1.944858445807539,0.13750352374993502,1.925999418556223
E4PKB4,4.0,4.0,9.51909995,Vitamin B12-dependent ribonucleotide reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1447 PE=3 SV=1,27749.6031,59454.0474,5277.80391,6022.42054,49790.3017,53841.4808,21845.3812,696533.175,481694.824,42967.4114,14665.1552,16826.3988,31895.5434,16733.4045,18418.1634,278579.984,323664.45,63704.2624,0.000419161,0.000298223,3.03e-05,6.81e-05,0.000689355,0.000311782,5.43e-05,0.001794891,0.000896091,0.000318558,0.000177732,0.000167957,0.000437256,0.00021102,0.000168026,0.000870487,0.000841505,0.000227082,Vitamin B12-dependent ribonucleotide reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1447 PE=3 SV=1,0.000249225,0.000356408,0.000915092,0.000221416,0.000272101,0.000646358,1.43,3.67,1.23,2.92,0.344,0.174,0.144,0.075,0.5160151470036647,1.875780063068488,0.29865831556451516,1.5459683691052926
