Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light + 100 nM 1,Light + 100 nM 2,Light + 100 nM 3,Light + 5mM 1,Light + 5mM 2,Light + 5mM 3,Darkness 1,Darkness 2,Darkness 3,Dark + 100 nM 1,Dark + 100 nM 2,Dark + 100 nM 3,Dark + 5mM 1,Dark + 5mM 2,Dark + 5mM 3,Light1,Light2,Light3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_BL107,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O
A0A2D5LJN7,3,3,16.84867954,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,1851387.482,5849152.335,#################,#################,8163695.496,55200215.22,15152137.49,#################,88615484.89,################,4339656.768,3131695.324,18579096.63,49880508.04,74822849.34,10292386.63,##################,################,0.00450936,0.015056968,0.006479165,0.052781692,0.032047019,0.096152196,0.060904232,0.164362096,0.118942905,0.002387151,0.006659555,0.028817529,0.038610718,0.086867842,0.085863606,0.090305768,0.119334361,0.109113302,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,0.008681831,0.060326969,0.114736411,0.012621412,0.070447389,0.106251144,6.95,13.22,5.58,8.42,0.067,0.03,0.023,0.005
A0A359K159,2,2,5.742040396,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,147115.747,89424.86802,49974.54169,1280800.634,274238.7805,1674836.304,747109.3742,206708.7874,3353486.591,159778.1732,87019.91885,236056.0995,251388.7427,1772648.617,5026624.636,407301.5733,427543.1008,1896593.333,0.000358325,0.000230199,0.000183426,0.001697325,0.001076539,0.002917365,0.003003017,0.002233078,0.004501171,0.000336548,0.000133539,0.002172163,0.000522431,0.003087101,0.005768346,0.003573679,0.002367439,0.003388656,Alkyl hydroperoxide reductase C OS=Alteromonas sp. OX=232 GN=DEH24_01620 PE=3 SV=1,0.000257316,0.001897076,0.003245755,0.00088075,0.00312596,0.003109924,7.37,12.61,3.55,3.53,0.051,0.025,0.083,0.031
A0A359JZE8,2,2,6.018559933,50S ribosomal protein L28 OS=Alteromonas sp. OX=232 GN=rpmB PE=3 SV=1,9611.751263,12849.58195,21951.18285,83230.91931,357101.6466,128600.2256,74678.61336,96992.72744,183558.4244,7497.161351,73862.16425,38712.32883,29162.65775,99148.18296,381086.2132,22342.36434,25799.68657,114455.6012,2.34E-05,3.31E-05,8.06E-05,0.000110298,0.001401821,0.000224006,0.000300172,0.001047814,0.000246379,1.58E-05,0.000113347,0.000356227,6.06E-05,0.000172668,0.000437319,0.000196033,0.000142861,0.000204499,50S ribosomal protein L28 OS=Alteromonas sp. OX=232 GN=rpmB PE=3 SV=1,4.57E-05,0.000578709,0.000531455,0.000161789,0.000223531,0.000181131,12.67,11.63,1.38,1.12,0.165,0.105,0.014,0.429
A0A359K020,3,3,8.51222086,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,422656.9871,244494.7256,364144.7343,4834560.407,1013323.582,2638944.689,2213932.175,669677.7329,13814063.18,967405.4166,167402.5472,607373.5686,1672256.401,3013718.278,7666218.199,637822.5954,1328823.486,7651848.949,0.001029451,0.000629382,0.00133655,0.00640679,0.003977855,0.004596727,0.008898932,0.007234539,0.018541735,0.002037691,0.000256893,0.005588987,0.003475251,0.005248447,0.008797435,0.005596278,0.007358108,0.013671608,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,0.000998461,0.004993791,0.011558402,0.002627857,0.005840378,0.008875331,5,11.58,2.22,3.38,0.014,0.044,0.044,0.023
A0A359K9E1,2,2,6.703835249,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,43110.79321,31686.61994,50974.90179,386516.5043,312815.356,555857.8177,122704.2488,138794.3461,1148040.912,65406.12058,36165.09346,48530.3788,115491.4228,846144.6045,751023.165,201122.7027,273770.7628,349969.3148,0.000105003,8.16E-05,0.000187097,0.000512214,0.001227973,0.000968238,0.000493211,0.001499397,0.001540942,0.000137768,5.55E-05,0.000446571,0.000240012,0.001473577,0.000861843,0.001764658,0.001515954,0.000625292,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,0.000124556,0.000902808,0.00117785,0.000213279,0.000858477,0.001301968,7.25,9.46,4.03,6.1,0.034,0.044,0.123,0.07
A0A359K8E7,2,2,6.534251928,Citrulline--aspartate ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_14245 PE=4 SV=1,39068.77935,14877.99118,7567.939439,12670.5304,654.8439235,28699.10151,#################,72644.98444,163362.6281,13382.54602,347028.7355,70841.72094,73094.89972,24675.66967,191203.1794,34823.45104,56486.41559,################,9.52E-05,3.83E-05,2.78E-05,1.68E-05,2.57E-06,5.00E-05,0.000463798,0.000784785,0.000219271,2.82E-05,0.000532544,0.000651878,0.000151904,4.30E-05,0.000219417,0.000305542,0.000312783,0.000260473,Citrulline--aspartate ligase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_14245 PE=4 SV=1,5.37E-05,2.31E-05,0.000489285,0.000404203,0.000138098,0.000292933,0.43,9.1,0.34,0.72,0.202,0.058,0.153,0.317
A0A359K7S7,4,4,13.14770865,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,287716.3463,455111.2809,393071.8764,6890024.237,1493452.106,16928329.77,1227410.06,1263369.988,8012837.802,383881.5333,517912.9357,378029.775,2586105.683,16173716.36,23160469.61,2247403.561,2178190.504,6192460.123,0.000700781,0.001171554,0.001442724,0.009130704,0.005862625,0.029487133,0.004933592,0.013648206,0.01075512,0.000808588,0.000794779,0.00347859,0.005374395,0.028166831,0.026577997,0.019718799,0.012061316,0.011064109,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,0.001105019,0.014826821,0.009778973,0.001693986,0.020039741,0.014281408,13.42,8.85,11.83,8.43,0.099,0.034,0.06,0.032
A0A359KBP7,7,7,24.26043189,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1,1527053.502,1544991.875,#################,23386639.22,7947498.234,30359186.34,6380085.263,4215175.754,37312823.87,1427239.851,1884427.869,2490015.617,9960745.796,26367968.07,35767581.92,4450034.271,10700099.78,33980720.76,0.003719391,0.003977139,0.00677698,0.030992123,0.031198325,0.052882084,0.025644843,0.045536609,0.05008262,0.003006262,0.002891807,0.02291286,0.020700229,0.045920312,0.041045397,0.03904476,0.059249772,0.060713574,Ketol-acid reductoisomerase (NADP(+)) OS=Alteromonas sp. OX=232 GN=ilvC PE=3 SV=1,0.004824503,0.038357511,0.040421357,0.009603643,0.035888646,0.053002702,7.95,8.38,3.74,5.52,0.017,0.018,0.044,0.011
A0A359K867,4,4,10.83679605,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,462075.6561,302625.2426,140121.2192,3860015.507,632769.2042,1950027.895,1455833.665,142072.7804,7569410.513,597104.2592,567260.1698,186563.1942,813493.7414,1640052.062,1625833.096,387004.2649,774870.9569,4718663.279,0.001125462,0.000779022,0.000514298,0.005115317,0.002483969,0.003396716,0.005851744,0.001534814,0.010159936,0.001257709,0.000870507,0.001716735,0.001690587,0.002856181,0.001865739,0.003395589,0.004290701,0.008430866,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,0.000806261,0.003665334,0.005848832,0.00128165,0.002137502,0.005372385,4.55,7.25,1.67,4.19,0.025,0.094,0.136,0.048
A0A359K863,3,3,11.12247467,Pyruvate kinase OS=Alteromonas sp. OX=232 GN=pyk PE=3 SV=1,424667.3651,661005.2271,126575.9054,482328.8426,314446.2042,921924.3968,1904156.034,290617.0243,8680352.971,649880.0829,237700.1328,126324.9168,626163.3304,284254.7516,2055228.089,894724.8591,336643.6292,4316740.886,0.001034348,0.001701569,0.000464582,0.000639185,0.001234375,0.001605882,0.007653782,0.00313954,0.011651083,0.001368873,0.00036477,0.001162429,0.00130128,0.000495035,0.002358495,0.007850348,0.0018641,0.007712749,Pyruvate kinase OS=Alteromonas sp. OX=232 GN=pyk PE=3 SV=1,0.001066833,0.001159814,0.007481469,0.000965357,0.001384937,0.005809066,1.09,7.01,1.43,6.02,0.438,0.075,0.198,0.051
A0A359K358,2,2,6.023208857,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,604236.5784,405415.9114,491486.62,8127098.465,832818.8664,1318011.099,2350827.516,409024.5132,10559896.91,628633.76,657324.7909,513343.776,2871654.709,5740582.266,7465319.734,1301997.642,1743441.91,6699072.834,0.001471718,0.001043627,0.001803944,0.010770082,0.003269275,0.002295818,0.009449185,0.004418698,0.014173875,0.001324121,0.001008718,0.004723735,0.005967817,0.009997332,0.008566892,0.011423774,0.009653979,0.011969277,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,0.001439763,0.005445058,0.009347253,0.002352191,0.008177347,0.011015676,3.78,6.49,3.48,4.68,0.138,0.047,0.034,0.004
A0A359K8U3,2,2,5.769393682,Glutamine synthetase OS=Alteromonas sp. OX=232 GN=glnA PE=3 SV=1,388888.1291,131404.2287,265049.3733,3897129.664,1225401.561,3740827.235,1514746.978,388137.1676,2201062.602,424259.2975,127540.2551,186268.2935,1069050.972,4421295.326,5959048.539,559139.2539,1032426.312,1241951.538,0.000947201,0.000338263,0.000972833,0.005164501,0.004810379,0.006516075,0.006088547,0.004193052,0.002954346,0.000893637,0.000195721,0.001714021,0.002221681,0.007699769,0.006838358,0.004905908,0.005716865,0.002219003,Glutamine synthetase OS=Alteromonas sp. OX=232 GN=glnA PE=3 SV=1,0.000752765,0.005496985,0.004411982,0.00093446,0.005586602,0.004280592,7.3,5.86,5.98,4.58,0.004,0.029,0.061,0.077
A0A359KA31,4,4,10.26321387,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,660956.0221,727671.2257,494326.1555,609320.9928,676950.1345,1065130.239,3552820.982,730538.5534,3364775.276,741819.9721,792857.7706,937250.289,701895.1888,852069.4707,5430725.286,743410.8194,535453.3531,1588400.365,0.001609868,0.001873181,0.001814366,0.000807476,0.002657404,0.00185533,0.014280614,0.007892019,0.004516323,0.00156253,0.001216705,0.008624478,0.001458665,0.001483895,0.006232076,0.006522713,0.002964971,0.002838005,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,0.001765805,0.001773403,0.008896319,0.003801237,0.003058212,0.004108563,1,5.04,0.8,1.08,0.494,0.068,0.233,0.466
A0A359KA81,4,4,12.9673059,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,700906.7255,634274.6477,#################,8138903.344,#################,15834358.1,#################,#################,12627184.28,793501.4185,1074478.385,488312.5226,3124672.498,18133085.42,19552993.39,1159326.248,3254953.682,################,0.001707174,0.001632758,0.006248314,0.010785726,0.008976835,0.027581565,0.014652655,0.014471755,0.016948663,0.001671389,0.001648874,0.0044934,0.006493634,0.031579109,0.022438206,0.01017197,0.018023688,0.018478875,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,0.003196082,0.015781375,0.015357691,0.002604554,0.020170316,0.015558178,4.94,4.81,7.74,5.97,0.052,0.002,0.068,0.015
A0A359K1P7,2,2,5.187021732,3-oxoacyl-[acyl-carrier-protein] reductase OS=Alteromonas sp. OX=232 GN=fabG PE=3 SV=1,65497.1146,300908.9099,68450.63209,33027.14467,96844.90143,275730.7039,213884.3082,50612.35371,2990910.195,78263.74821,18747.20418,115134.9928,26226.98519,388191.551,2126443.455,26334.57375,91634.4028,1440485.569,0.000159529,0.000774604,0.00025124,4.38E-05,0.00038017,0.00048029,0.000859711,0.000546766,0.004014508,0.000164851,2.88E-05,0.00105946,5.45E-05,0.000676043,0.002440219,0.00023106,0.000507408,0.002573725,3-oxoacyl-[acyl-carrier-protein] reductase OS=Alteromonas sp. OX=232 GN=fabG PE=3 SV=1,0.000395124,0.000301409,0.001806995,0.000417693,0.001056922,0.001104064,0.76,4.57,2.53,2.64,0.328,0.181,0.138,0.126
A0A359K6L5,2,2,8.460966587,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1,78527.17217,201660.9909,216724.2694,1107619.474,254243.3,2041703.249,528244.7303,144310.603,2333755.812,112873.6311,255762.8016,155234.5018,120375.3829,2500773.465,3101838.648,227460.1559,290208.6468,1151587.917,0.000191266,0.000519118,0.000795461,0.001467824,0.000998046,0.003556404,0.002123287,0.00155899,0.003132451,0.000237751,0.000392489,0.001428451,0.000250162,0.004355144,0.003559542,0.001995744,0.001606975,0.00205755,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1,0.000501948,0.002007425,0.002271576,0.00068623,0.002721616,0.001886756,4,4.53,3.97,2.75,0.077,0.022,0.108,0.033
A0A359K482,7,7,23.92792082,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,2385290.508,2058816.177,757913.9216,1591618.201,1465597.521,9739981.343,4697316.736,3605764.44,3041661.727,3373259.417,2019414.215,1588444.102,3059896.472,6954161.869,12546240.63,5086102.654,1977681.339,2945475.138,0.005809769,0.005299833,0.002781834,0.002109223,0.005753281,0.016965887,0.018880931,0.038953129,0.004082628,0.007105254,0.003098955,0.014616694,0.006359017,0.012110804,0.014397547,0.044625646,0.010951035,0.005262699,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,0.004630479,0.00827613,0.020638896,0.008273634,0.010955789,0.020279794,1.79,4.46,1.32,2.45,0.285,0.116,0.243,0.236
A0A359K340,2,2,7.211941004,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,967925.2351,601366.7324,641851.3492,1368758.236,1571316.876,2478548.394,2861440.435,839361.8232,3919850.891,611021.2687,632241.2915,1035533.761,858477.9142,1259934.773,2764621.08,1144880.465,955753.2167,4729683.946,0.002357542,0.001548046,0.00235584,0.001813887,0.006168288,0.004317336,0.0115016,0.009067639,0.005261365,0.001287023,0.000970225,0.009528872,0.001784072,0.0021942,0.003172565,0.010045222,0.005292302,0.008450557,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,0.002087143,0.004099837,0.008610202,0.003928707,0.002383612,0.00792936,1.96,4.13,0.61,2.02,0.155,0.037,0.294,0.147
A0A359K9M7,3,3,9.926580667,Two-component system response regulator ArcA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_16415 PE=4 SV=1,2803600.241,844712.696,1751062.172,4563843.876,2354470.745,2906481.577,5028980.32,1734354.266,13919817.23,2291629.444,861743.373,1252386.247,4014504.575,3484467.971,5962244.86,2621513.893,5249367.658,10552174.64,0.006828632,0.002174471,0.006427068,0.006048035,0.009242599,0.005062745,0.020214058,0.018736256,0.018683682,0.004826966,0.001322415,0.011524326,0.008342865,0.006068266,0.006842026,0.023001257,0.029067377,0.018853639,Two-component system response regulator ArcA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_16415 PE=4 SV=1,0.00514339,0.00678446,0.019211332,0.005891236,0.007084386,0.023640757,1.32,3.74,1.2,4.01,0.304,0.004,0.363,0.047
A0A359K8V9,2,2,8.329458237,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,144585.1284,1174424.685,152139.9806,4275735.824,744237.7322,19293725.62,491225.7937,612742.0634,3549656.125,206002.4762,2477979.306,115324.2595,267689.8256,19449224.55,22585344.39,244374.6516,952101.2582,1704751.589,0.000352161,0.00302322,0.000558412,0.005666232,0.002921545,0.033607371,0.001974489,0.006619462,0.004764477,0.000433913,0.00380266,0.001061202,0.000556308,0.03387119,0.025918007,0.002144152,0.00527208,0.003045891,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,0.001311264,0.014065049,0.004452809,0.001765925,0.020115168,0.003487374,10.73,3.4,11.39,1.97,0.17,0.028,0.093,0.004
A0A359KBF7,7,7,26.75824904,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,6732903.703,5112097.901,7199564.73,26396803.16,5644704.902,38948275.73,15002157.37,2961358.937,59034365.77,4824362.712,4815426.212,2911177.876,14845910.09,44288994.96,65985085.23,5261305.907,8780018.451,38959245.24,0.016399099,0.013159632,0.026425155,0.034981211,0.022158588,0.067843254,0.060301384,0.031991606,0.079238059,0.010161781,0.007389662,0.02678835,0.030852482,0.077130117,0.075721754,0.046162886,0.048617686,0.069608735,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,0.018661296,0.041661018,0.057177016,0.014779931,0.061234784,0.054796436,2.23,3.06,4.14,3.71,0.07,0.032,0.041,0.001
A0A359K6K0,2,2,6.39964509,Succinate dehydrogenase flavoprotein subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11265 PE=3 SV=1,24589.32532,6851.347634,7797.071513,83766.82809,3099.519553,145178.9631,27592.41076,2134.407938,133825.3384,14665.8216,11997.87928,4932.404889,16247.73662,127188.456,151091.3132,12937.97308,22136.76156,148217.9657,5.99E-05,1.76E-05,2.86E-05,0.000111008,1.22E-05,0.000252884,0.000110908,2.31E-05,0.000179625,3.09E-05,1.84E-05,4.54E-05,3.38E-05,0.000221501,0.000173386,0.000113518,0.000122578,0.000264822,Succinate dehydrogenase flavoprotein subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11265 PE=3 SV=1,3.54E-05,0.000125353,0.00010453,3.16E-05,0.000142884,0.000166973,3.54,2.95,4.53,5.29,0.161,0.125,0.098,0.043
