Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,Unnamed: 37,log2FC.L.LGnM,log2FC.L.LGmM,log2FC.D.LGnM,log2FC.D.LGmM
Q7U768,SYNW1118,26.0,26.0,0.001082771,0.001925573,0.00208073,0.001672247,0.001568066,0.002526821,0.001472666,0.001702176,0.002514935,0.001557251,0.001671522,0.002004799,0.000855038,0.001026037,0.001249435,0.001617326,0.00149179,0.002080378,0.001696358,0.001922378,0.001896592,0.001744524,0.001043503,0.001729831,0.261628747,1.133238221,0.222487838,1.118037804,0.001020886,0.59815923,0.437632348,0.991577754,Glucose-1-phosphate adenylyltransferase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=agp PE=3 SV=1,,0.18045116577434833,0.16096897057935547,-0.7413985138872784,-0.012202189894648049
Q7U3C4,SYNW2508,26.0,26.0,0.00021802,0.000266358,0.000526169,0.000306894,0.00047509,0.000373641,0.000514324,0.000978122,0.000755589,0.000215135,0.000197045,0.000438499,0.000439792,0.000833962,0.000382847,0.000430453,0.000719858,0.001306121,0.000336849,0.000385208,0.000749345,0.00028356,0.0005522,0.000818811,0.346801224,1.143563477,0.055895002,2.224574241,0.156689855,1.94738725,0.0523929,2.887613225,Chaperone protein dnaK2 OS=Synechococcus sp. (strain WH8102) OX=84588 GN=dnaK2 PE=3 SV=1,,0.1935364491876318,1.1535292465628166,0.9615398014193025,1.5298775165524026
Q7U8E7,SYNW0673,25.0,25.0,0.012545883,0.009889429,0.015344788,0.014990747,0.012823579,0.016417607,0.010531184,0.007542139,0.019925524,0.012402187,0.006577014,0.017653653,0.014356605,0.010240654,0.009791541,0.015423729,0.007053607,0.021607653,0.012593367,0.014743977,0.012666282,0.012210952,0.011462933,0.014694996,0.03051245,1.170773276,0.488575677,1.005789983,0.42714177,0.938742027,0.0696731,1.203427626,Cysteine synthase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cysK1 PE=3 SV=1,,0.22746172036537254,0.008329090316780008,-0.09119934542307166,0.26714938090627144
Q7U7B2,SYNW1073,25.0,25.0,0.00072314,0.000199459,0.001115674,0.001108052,0.001643874,0.000942549,0.002885878,0.002689505,0.001472106,0.000702232,0.000361308,0.000999298,0.001360464,0.002580857,0.000623067,0.001239761,0.001831688,0.001999157,0.000679424,0.001231492,0.002349163,0.000687613,0.001521463,0.001690202,0.182283213,1.812551967,0.064098932,3.457578922,0.192114553,2.212673942,0.032585862,2.458072613,Glutamine synthetase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=glnA PE=3 SV=1,,0.8580223586908411,1.7897621824180052,1.1457908723241912,1.297527534452509
Q7U448,SYNW2224,25.0,25.0,0.00081909,0.001269927,0.000277259,0.000732797,0.00183345,0.000213335,0.002024164,0.003235016,0.000397659,0.000494894,0.001851208,0.00031118,0.00149422,0.011421533,0.000333746,0.001908446,0.006245699,0.000706557,0.000788759,0.000926527,0.001885613,0.000885761,0.0044165,0.002953567,0.292018968,1.174665414,0.088484354,2.39060859,0.182229509,4.986110141,0.11348622,3.334498302,Possible porin OS=Synechococcus sp. (strain WH8102) OX=84588 GN=som PE=3 SV=1,,0.23224988504373825,1.2573779395472915,2.3179147516861067,1.7374697144341464
Q7U3R0,SYNW2369,24.0,24.0,0.097934159,0.096515963,0.053531731,0.090226415,0.059878769,0.052414105,0.062591983,0.039809665,0.071651391,0.081585012,0.055943222,0.058646395,0.064733382,0.088099977,0.06171085,0.083274405,0.074338043,0.055381627,0.082660618,0.06750643,0.05801768,0.065391543,0.071514736,0.070998025,0.149616709,0.816669793,0.191738283,0.70187813,0.354452898,1.093638916,0.241165338,1.085737113,Rubrerythrin OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW2369 PE=4 SV=1,,-0.29217522863172296,-0.5107075437137006,0.12913648576810285,0.11867482903281035
Q7U4S4,SYNW1989,24.0,24.0,0.001104512,0.000403729,0.00326373,0.001909223,0.003228749,0.00235442,0.003793815,0.004889814,0.002672032,0.001276463,0.001345531,0.00254094,0.001985505,0.002962633,0.00231607,0.001950067,0.002975582,0.002742587,0.001590657,0.002497464,0.00378522,0.001720978,0.002421403,0.002556079,0.244605663,1.570082894,0.138938886,2.379657922,0.159217556,1.406992251,0.092607639,1.485247717,Possible phycobilisome linker polypeptide OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1989 PE=3 SV=1,,0.6508407295663995,1.250754199707984,0.4926143829634597,0.5707035709472349
Q7U8U7,SYNW0512,23.0,23.0,0.001398617,0.001548714,0.001964553,0.001112164,0.001961006,0.002394187,0.001696994,0.003690984,0.00330151,0.000828144,0.001431144,0.001087547,0.000776128,0.001572406,0.000354773,0.001036187,0.002119534,0.001551351,0.001637295,0.001822452,0.002896496,0.001115612,0.000901102,0.001569024,0.257329109,1.1130875,0.071140949,1.76907442,0.251668866,0.80772028,0.041133498,1.406424631,ATP synthase subunit beta OS=Synechococcus sp. (strain WH8102) OX=84588 GN=atpD PE=3 SV=1,,0.15456700764324902,0.8229947394396948,-0.3080723322632433,0.49203224202625284
Q7U5Q1,SYNW1650,23.0,23.0,0.00184957,0.001933951,0.001143338,0.00168384,0.001604691,0.001923927,0.001122022,0.002155949,0.001640092,0.001659306,0.002430539,0.001292585,0.001780682,0.003549733,0.000702463,0.003167698,0.001628825,0.003072321,0.001642286,0.001737486,0.001639354,0.001794144,0.002010959,0.002622948,0.404493863,1.057967903,0.497205234,0.998214781,0.352273622,1.120846267,0.209037953,1.461949785,Ketol-acid reductoisomerase (NADP(+)) OS=Synechococcus sp. (strain WH8102) OX=84588 GN=ilvC PE=3 SV=1,,0.08129585912949361,-0.002577828277452006,0.16458841458745407,0.5478937585026404
Q7U5C2,SYNW1785,23.0,23.0,0.003548009,0.005534838,0.003249306,0.003425254,0.00504155,0.004129934,0.003349604,0.006290043,0.00497754,0.004661711,0.004444763,0.00575025,0.006534431,0.00865696,0.003450351,0.005643105,0.006613301,0.007946192,0.004110718,0.004198913,0.004872395,0.004952241,0.006213914,0.0067342,0.424883768,1.021454891,0.152173687,1.185290696,0.287903623,1.25476799,0.023475986,1.359828608,Porphobilinogen deaminase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=hemC PE=3 SV=1,,0.030625493872842136,0.2452409276852401,0.3274206306144401,0.44342482649734355
Q7U9T7,SYNW0166,22.0,22.0,6.80474e-05,0.000690731,0.00016586,7.70567e-05,0.000168137,0.000139694,0.000130287,0.000206834,0.000394974,5.68774e-05,0.00019789,8.87725e-05,8.35982e-05,0.000173707,2.36406e-05,0.00013446,0.000149951,0.000176219,0.000308213,0.000128296,0.000244032,0.000114513,9.36484e-05,0.000153543,0.202264989,0.416257823,0.396879186,0.791764291,0.257255113,0.817796209,0.232479451,1.340833085,Isocitrate dehydrogenase [NADP] OS=Synechococcus sp. (strain WH8102) OX=84588 GN=icd PE=4 SV=1,,-1.2644507089563157,-0.33685709238285916,-0.2901867198068654,0.4231296530285835
Q7U3N4,SYNW2396,22.0,22.0,6.21728e-05,9.77936e-05,0.000207023,0.000110125,0.000109779,0.000124051,0.000148028,0.000153597,0.000194737,8.70931e-05,9.86777e-05,7.50044e-05,5.56329e-05,6.68604e-05,2.63855e-05,0.000108293,0.000108716,0.000124292,0.00012233,0.000114652,0.000165454,8.69251e-05,4.96262e-05,0.000113767,0.431151525,0.937236065,0.137870104,1.352526639,0.011134411,0.570908408,0.074132487,1.308793916,Valine--tRNA ligase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=valS PE=3 SV=1,,-0.09351562447252819,0.43565700926445206,-0.8086687852419919,0.38823794696119474
Q7U4Q6,SYNW2010,21.0,21.0,0.00152017,0.00036215,0.004174005,0.002357903,0.004648638,0.003626764,0.004112304,0.003682675,0.002786465,0.001462665,0.001675892,0.002523527,0.001589949,0.001512401,0.002365373,0.001933925,0.001848548,0.002815717,0.002018775,0.003544435,0.003527148,0.001887361,0.001822574,0.002199397,0.19983177,1.755735219,0.205467182,1.747172242,0.284748997,0.965673279,0.034687383,1.165329078,"C-phycoerythrin class II gamma chain, linker polypeptide OS=Synechococcus sp. (strain WH8102) OX=84588 GN=mpeC PE=3 SV=1",,0.8120752896121121,0.8050218408993298,-0.050392937395703476,0.22073741595988422
Q7U712,SYNW1174,21.0,21.0,0.000443337,0.000578354,0.000369391,0.000470461,0.000458731,0.000415919,0.000381323,0.000592735,0.000634933,0.000388677,0.000393345,0.000342347,0.000446422,0.000350245,0.000129901,0.000466121,0.000445596,0.000561708,0.000463694,0.00044837,0.00053633,0.00037479,0.000308856,0.000491141,0.398843264,0.966953585,0.269634031,1.156647667,0.245466466,0.824077641,0.077379796,1.310444562,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) OS=Synechococcus sp. (strain WH8102) OX=84588 GN=ispG PE=3 SV=1,,-0.048481454717246165,0.20994946385470722,-0.2791478266428862,0.39005632213682134
Q7U657,SYNW1483,20.0,19.0,0.000172021,0.000185416,0.000279497,0.000536888,0.000591172,0.000276479,0.003064339,0.005030164,0.000915857,0.000250716,0.000248191,0.000255798,0.001369971,0.002690554,0.000373788,0.001318294,0.003100543,0.000868326,0.000212312,0.00046818,0.003003453,0.000251568,0.001478104,0.001762388,0.093927708,2.205155592,0.074302326,14.14644631,0.105008238,5.875558417,0.078826577,7.005604296,Putative oligopeptidase A OS=Synechococcus sp. (strain WH8102) OX=84588 GN=opdA PE=3 SV=1,,1.1408804534641759,3.822367777991018,2.5547259728949725,2.808509501368504
Q7U873,SYNW0751,20.0,20.0,0.002334226,0.003240444,0.002101891,0.003130031,0.003144887,0.003050256,0.003117372,0.004338075,0.003505268,0.002272794,0.002769298,0.002674566,0.002693322,0.002884998,0.001432376,0.002530186,0.003439365,0.003290439,0.002558854,0.003108392,0.003653572,0.002572219,0.002336899,0.003086663,0.116725925,1.214759455,0.012861925,1.427815918,0.345204736,0.908514601,0.028947893,1.200000232,Ferredoxin--NADP reductase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=petH PE=3 SV=1,,0.2806706616204802,0.5138099910564842,-0.13841839427384686,0.2630346847548082
Q7U7G6,SYNW1018,20.0,20.0,0.001490142,0.001223071,0.000122489,0.00142178,0.001046425,0.0001381,0.003030891,0.001890168,0.00049302,0.0002383,0.000914756,0.000132982,0.002507742,0.009754842,7.47228e-05,0.002365631,0.009943018,0.000872053,0.000945234,0.000868769,0.001804693,0.000428679,0.004112435,0.004393567,0.151568065,0.919104296,0.06710001,1.909255527,0.150460114,9.593271073,0.130980284,10.24907999,Phosphate-binding protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1018 PE=3 SV=1,,-0.12169951325937514,0.9330102001045896,3.262022823183373,3.3574225067219725
Q7U654,SYNW1486,20.0,20.0,0.000298584,0.000287747,0.00042233,0.000373006,0.000466624,0.000402104,0.00043835,0.00093224,0.000562091,0.000396943,0.000400209,0.000349606,0.000403396,0.00053144,0.000326922,0.000482464,0.000714563,0.000663497,0.00033622,0.000413911,0.000644227,0.000382253,0.000420586,0.000620175,0.154597206,1.231072591,0.104312041,1.916085999,0.25101788,1.100283008,0.04454167,1.622420278,Gamma-glutamyl phosphate reductase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=proA PE=3 SV=1,,0.2999158337866384,0.9381623144908353,0.1378746525900876,0.6981475892507447
Q7U515,SYNW1897,20.0,20.0,0.000193145,0.000143068,0.00054388,0.000423235,0.000424992,0.000386618,0.001015928,0.000679456,0.002301511,0.000187284,0.000235429,0.000383976,0.000582104,0.000340392,0.000487509,0.001222482,0.000439567,0.000613005,0.000293364,0.000411615,0.001332298,0.000268896,0.000470002,0.000758351,0.241671714,1.403084882,0.053131883,4.541447166,0.086753562,1.747891133,0.107410787,2.820235777,Polyribonucleotide nucleotidyltransferase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=pnp PE=3 SV=1,,0.4886022898816954,2.183152096310601,0.8056153297056757,1.4958157796770797
Q7U9F4,SYNW0304,20.0,20.0,0.000822653,0.001264659,0.001103358,0.00106833,0.001086635,0.001323366,0.001022778,0.001336586,0.001604869,0.000689499,0.000848492,0.000698221,0.000803901,0.001127308,0.000329017,0.000998788,0.001332001,0.001000996,0.001063557,0.001159444,0.001321411,0.000745404,0.000753408,0.001110595,0.278422407,1.090157237,0.090060504,1.242445666,0.485454272,1.010738853,0.012638582,1.48992413,ATP-sulfurylase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cysD PE=4 SV=1,,0.12453623470867015,0.3131827619635572,0.015410292840080598,0.5752388675601887
Q7U4Q1,SYNW2016,20.0,20.0,0.191890785,0.193975825,0.13957563,0.144562388,0.152943083,0.17368893,0.109271452,0.072981484,0.13090742,0.213146994,0.22202996,0.205083515,0.093221477,0.086746182,0.154258938,0.106404218,0.10180578,0.104531805,0.175147413,0.1570648,0.104386785,0.213420156,0.111408866,0.104247268,0.280444296,0.896757749,0.082465682,0.595993872,0.029570213,0.522016605,0.001408892,0.488460274,C-phycoerythrin class I alpha chain OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cpeA PE=3 SV=1,,-0.15720978813576375,-0.7466305978923099,-0.9378323961953854,-1.0336868609101117
Q7U770,SYNW1116,20.0,19.0,0.000752658,0.000806822,0.000882431,0.00073082,0.001141068,0.000778303,0.001032547,0.001865177,0.001553449,0.000729696,0.000651053,0.000419342,0.000693194,0.000725482,0.000111887,0.000926511,0.00083688,0.000795572,0.000813971,0.000883397,0.001483724,0.00060003,0.000510188,0.000852988,0.328591328,1.08529352,0.048276555,1.822823164,0.255661669,0.850270393,0.027345355,1.42157543,"D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1116 PE=3 SV=1",,0.11808527546276741,0.866174609213174,-0.23400639174648413,0.5074906516709285
Q7UA35,SYNW0065,19.0,19.0,0.000412016,0.000475605,0.000481721,0.000342728,0.000391036,0.000380412,0.000675118,0.001387602,0.000383588,0.000447756,0.000608329,0.0002559,0.000714499,0.001376145,0.000350937,0.000814222,0.000622487,0.000436934,0.000456447,0.000371392,0.000815436,0.000437328,0.00081386,0.000624547,0.005807031,0.813658272,0.174200833,1.786485006,0.101540194,1.860982778,0.103566528,1.428097708,Trigger factor OS=Synechococcus sp. (strain WH8102) OX=84588 GN=tig PE=3 SV=1,,-0.29750509008358694,0.8371238054092056,0.8960647043981607,0.5140946894683619
Q7U592,SYNW1815,19.0,19.0,0.001746749,0.002846996,0.000206802,0.001061543,0.00061216,0.000173321,0.001453887,0.00228815,0.000885466,0.000255407,0.001371312,0.000233527,0.001924553,0.003084865,0.000849585,0.001415825,0.002398938,0.000576599,0.001600182,0.000615675,0.001542501,0.000620082,0.001953001,0.001463787,0.135288092,0.384752784,0.446092047,0.963953457,0.032691143,3.149586665,0.039746808,2.360636406,Phosphate-binding protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW1815 PE=3 SV=1,,-1.3779963292215633,-0.052964605046560094,1.6551625094120122,1.239175849421024
Q7U4S6,SYNW1987,19.0,19.0,0.000581324,0.002672939,0.000778054,0.000545243,0.00092671,0.000821224,0.001025006,0.001363948,0.000872723,0.000621617,0.001284838,0.000611954,0.000535068,0.001255745,0.000403659,0.000711783,0.0009666,0.000831663,0.001344106,0.000764392,0.001087226,0.000839469,0.000731491,0.000836682,0.212645863,0.568699565,0.339419633,0.808884159,0.08882724,0.871372581,0.493920898,0.996679614,S-adenosylmethionine synthase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=metK PE=3 SV=1,,-0.8142613941185519,-0.30599498704371886,-0.19863837740853307,-0.004798274894163001
Q7U833,SYNW0791,19.0,18.0,0.003485389,0.003803321,0.002922896,0.004505668,0.007381487,0.002013641,0.006103497,0.008224369,0.00658345,0.003166096,0.003179054,0.001438992,0.003185265,0.006446907,0.000540964,0.003315445,0.006221623,0.005898316,0.003403869,0.004633599,0.006970438,0.002594714,0.003391045,0.005145128,0.221957785,1.361274223,0.010400597,2.047798888,0.296508691,1.306905152,0.091012955,1.982926669,"Fructose-1,6-bisphosphate aldolase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cbbA,cfxA,fbaA,fda PE=3 SV=1",,0.4449577210017224,1.0340740368555312,0.3861544420479997,0.9876313259650369
Q7U6T0,SYNW1256,19.0,19.0,0.000424067,0.000336305,0.000682528,0.000618537,0.000685196,0.000542432,0.000777839,0.000800092,0.00084245,0.000478591,0.000479257,0.000391118,0.000388045,0.000523987,0.000273884,0.000582648,0.000688423,0.000607789,0.000480967,0.000615388,0.000806794,0.000449655,0.000395305,0.000626287,0.224978416,1.27948187,0.033470242,1.677442586,0.195813699,0.879129709,0.019920878,1.392814524,Glucose-6-phosphate isomerase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=pgi PE=3 SV=1,,0.3555597048244843,0.7462633879988763,-0.18585205497314722,0.47800315232445684
Q7U5E8,SYNW1759,19.0,18.0,0.000762829,0.000719106,0.001275191,0.000998307,0.001351029,0.001047103,0.001360032,0.001933312,0.002545223,0.000906495,0.000657644,0.000571484,0.001417046,0.001667648,0.000258103,0.001624834,0.001674041,0.002002812,0.000919042,0.001132146,0.001946189,0.000711874,0.001114266,0.001767229,0.240758857,1.231876196,0.02066834,2.117627449,0.203243154,1.565256642,0.018149719,2.482501323,Transaldolase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=tal PE=3 SV=1,,0.3008572719485632,1.0824488004935136,0.6463992231547807,1.3117944866096536
P0A318,SYNW2008,19.0,19.0,0.042033012,0.013458277,0.124015689,0.070275616,0.087062167,0.082180729,0.113106715,0.076090482,0.080973201,0.053719517,0.045305106,0.080793306,0.055016661,0.043881865,0.150418816,0.060308835,0.059434738,0.064353086,0.059835659,0.079839504,0.090056799,0.05993931,0.083105781,0.061365553,0.305892684,1.33431309,0.248470455,1.505069052,0.211957824,1.386498798,0.445484615,1.023794797,C-phycoerythrin class 2 subunit beta OS=Synechococcus sp. (strain WH8102) OX=84588 GN=mpeB PE=3 SV=1,,0.41609722753628425,0.589829678807331,0.4714463656596197,0.03392657957890037
Q7U4P5,SYNW2022,19.0,19.0,0.072902984,0.074808503,0.041803485,0.074483436,0.068648665,0.057658774,0.056697943,0.043022055,0.047169461,0.076022333,0.061997127,0.05281329,0.075608712,0.06203135,0.039766424,0.084133876,0.086560953,0.051873387,0.063171658,0.066930292,0.048963153,0.063610917,0.059135496,0.074189405,0.309456337,1.05949874,0.158955554,0.775081019,0.203080498,0.929643817,0.146086835,1.166299886,R-phycocyanin II beta chain OS=Synechococcus sp. (strain WH8102) OX=84588 GN=rpcB PE=3 SV=1,,0.08338187199811246,-0.3675809721130163,-0.10525002584497029,0.22193879061238223
Q7U925,SYNW0434,19.0,19.0,0.001507466,0.002236883,0.001897231,0.001994206,0.001239956,0.001679054,0.002051431,0.001465155,0.001639632,0.001248543,0.000909187,0.001162455,0.001302529,0.001712959,0.000407711,0.002368326,0.001553264,0.002458968,0.001880527,0.001637739,0.001718739,0.001106728,0.001141067,0.002126853,0.314036464,0.870893607,0.356836086,0.913966932,0.473061193,1.031026852,0.017295794,1.921747833,Uncharacterized protein OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW0434 PE=4 SV=1,,-0.1994316126060967,-0.1297861264340389,0.044081906656334074,0.9424190416539081
Q7U4B7,SYNW2154,18.0,17.0,0.001454196,0.001176078,0.001500481,0.001595457,0.001476609,0.001838097,0.001436138,0.002179359,0.001897815,0.001368683,0.001068625,0.001349856,0.001699385,0.001955445,0.001343614,0.001679061,0.001413963,0.001799847,0.001376918,0.001636721,0.00183777,0.001262388,0.001666148,0.001630957,0.024883325,1.188684167,0.130195999,1.334698211,0.130567074,1.319838229,0.006352082,1.291961513,Phosphoglucomutase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=pgm PE=3 SV=1,,0.2493654423917175,0.41651357059222427,0.40036111100659927,0.3695630933824075
Q7U8W5,SYNW0494,18.0,18.0,0.000856769,0.001421321,0.001390865,0.000896337,0.001597943,0.002675096,0.000846329,0.001699443,0.002396743,0.00045573,0.000897616,0.001129638,0.000339807,0.00065504,0.000616345,0.000468029,0.000797817,0.001440728,0.001222985,0.001723125,0.001647505,0.000827661,0.000537064,0.000902191,0.166029487,1.408950259,0.147739028,1.347117721,0.065676466,0.648893908,0.302576277,1.090049149,ATP synthase subunit alpha OS=Synechococcus sp. (strain WH8102) OX=84588 GN=atpA PE=3 SV=1,,0.49462068023468514,0.42987592955445375,-0.6239454732328507,0.12439318584622425
