Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 2.1,Light 3.1,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness 1.1,Darkness 2.1,Darkness 3.1,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_WH7803,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D,extracted_gn,resolved_locus_tag,resolution_method
E4PP80,2.0,2.0,7.299518108,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,645.2278477,2011.292312,2116.022666,2279.81808,1373.282712,2161.664022,19684.27875,3285.008625,134325.7688,2212.163518,1705.166287,3841.340876,3982.256383,3891.868065,4907.722615,2124.721849,4831.388478,165169.6483,9.2e-06,4.4e-05,2.1e-05,3e-05,1.8e-05,1.8e-05,0.00011,4.5e-05,0.00048,2.3e-05,1.5e-05,7.5e-05,4.1e-05,3.1e-05,8.1e-05,8.4e-06,7.2e-05,0.00044,50S ribosomal protein L9 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplI PE=3 SV=1,2.5e-05,2.22e-05,0.000211727,3.78e-05,5.12e-05,0.000174211,0.9,8.56,1.35,4.61,0.434,0.155,0.035,0.182,-0.1520030934450499,3.097610796626422,0.4329594072761062,2.2047667506546134,rplI,HP15_628,tier1:extracted_gn
E4PF84,3.0,3.0,11.45751762,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,18776.14006,8024.822197,7861.108232,6406.299373,2713.591874,12206.67705,578427.9212,26789.5018,205457.2102,2779.174527,11896.40963,0.0,38986.79984,10762.28901,114.4969138,574730.9057,11689.26989,173506.3028,0.00027,0.00017,7.9e-05,8.5e-05,3.5e-05,0.0001,0.0033,0.00036,0.00073,2.9e-05,0.00011,0.0,0.0004,8.6e-05,1.9e-06,0.00227,0.00017,0.00046,Ferredoxin--NADP reductase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2200 PE=3 SV=1,0.00017,7.48e-05,0.001463657,4.53e-05,0.000163552,0.000968346,0.43,8.44,3.61,21.38,0.13,0.14,0.227,0.15,-1.217591435072627,3.0772429989324603,1.8519988371124465,4.418189947945766,HP15_2200,HP15_2200,locus_tag:extracted_gn
E4PLZ0,3.0,3.0,8.202559948,50S ribosomal protein L23 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplW PE=3 SV=1,28363.05116,39957.74581,179374.2467,48144.22403,50096.60715,429536.4586,618937.2699,696699.3145,3520434.271,150155.6305,61933.39226,92368.5564,70286.04596,14500.10265,41836.94427,1331754.301,1072562.477,3744256.986,0.0004,0.00087,0.0018,0.00064,0.00065,0.00367,0.00353,0.00944,0.01254,0.00155,0.00056,0.00181,0.00073,0.00012,0.00069,0.00525,0.01598,0.01003,50S ribosomal protein L23 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplW PE=3 SV=1,0.00102,0.001653967,0.008502658,0.001305034,0.000511622,0.01041967,1.62,8.3,0.39,7.98,0.213,0.04,0.028,0.058,0.6959938131099002,3.0531113364595623,-1.3584539709124763,2.996388746447621,rplW,HP15_382,tier1:extracted_gn
E4PIZ3,2.0,2.0,13.37380862,Secreted protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3827 PE=4 SV=1,223905.7742,261620.1369,260468.1401,179416.8367,98941.53876,184097.6795,9661878.57,1163946.677,6647971.494,1851858.748,1013129.06,84371.82414,215889.6675,3931952.051,154602.3856,9237570.401,715585.8455,10342846.93,0.00318,0.0057,0.00261,0.00238,0.00129,0.00157,0.05506,0.01577,0.02368,0.01911,0.00913,0.00165,0.00223,0.03142,0.00256,0.03643,0.01066,0.02769,Secreted protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3827 PE=4 SV=1,0.00383,0.001745125,0.031503359,0.009962747,0.012070635,0.024927533,0.46,8.22,1.21,2.5,0.108,0.079,0.435,0.086,-1.1202942337177118,3.0391383939069585,0.2750070474998697,1.3219280948873624,HP15_3827,HP15_3827,locus_tag:extracted_gn
E4PFS3,5.0,5.0,14.73933291,Phosphoenolpyruvate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppsA PE=3 SV=1,7214.33065,5317.066142,11704.75879,20803.9251,4964.989253,15808.70827,256080.2685,60026.9709,111442.1911,48353.81304,7072.727299,4162.665919,12179.83742,14299.28455,4184.086135,238310.0566,22215.36502,72261.45196,0.0001,0.00012,0.00012,0.00028,6.5e-05,0.00014,0.00146,0.00081,0.0004,0.0005,6.4e-05,8.1e-05,0.00013,0.00011,6.9e-05,0.00094,0.00033,0.00019,Phosphoenolpyruvate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ppsA PE=3 SV=1,0.00011,0.000158375,0.000889865,0.00021472,0.00010313,0.000488072,1.42,7.95,0.48,2.27,0.278,0.066,0.243,0.051,0.5058909297299573,2.990954860396993,-1.0588936890535685,1.1826922975161902,ppsA,HP15_2229,tier1:extracted_gn
E4PMT9,3.0,3.0,11.2877655,Phosphomethylpyrimidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=thiC PE=3 SV=1,42128.34997,53638.63977,50324.53356,53221.21247,25325.88928,65846.23124,551365.0221,800447.8128,900740.219,61919.67771,31597.1761,13418.09926,39301.0846,253750.2593,429727.9236,777520.6021,213660.8022,1086075.037,0.0006,0.00117,0.0005,0.0007,0.00033,0.00056,0.00314,0.01085,0.00321,0.00064,0.00028,0.00026,0.00041,0.00203,0.00712,0.00307,0.00318,0.00291,Phosphomethylpyrimidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=thiC PE=3 SV=1,0.00076,0.000532267,0.005732254,0.000395405,0.003183615,0.003052571,0.7,7.57,8.05,7.72,0.27,0.084,0.159,0.001,-0.5145731728297583,2.920293300211007,3.0089887832272546,2.948600847493356,thiC,HP15_453,tier1:extracted_gn
E4PFR6,3.0,3.0,9.06441021,Ribonuclease E OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rne PE=3 SV=1,478.4571553,1113.898485,2404.752006,1457.87685,516.8547131,4665.080199,16768.53366,3678.343168,63408.83596,3168.711818,1025.125324,194.097297,1045.778901,3470.166635,625.5762837,24779.15492,4900.417513,76434.69673,6.8e-06,2.4e-05,2.4e-05,1.9e-05,6.7e-06,4e-05,9.6e-05,5e-05,0.00023,3.3e-05,9.2e-06,3.8e-06,1.1e-05,2.8e-05,1e-05,9.8e-05,7.3e-05,0.0002,Ribonuclease E OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rne PE=3 SV=1,1.8e-05,2.2e-05,0.000123758,1.52e-05,1.63e-05,0.000125131,1.19,6.73,1.07,8.21,0.384,0.089,0.469,0.069,0.2509615735332187,2.7506065048355923,0.0976107966264223,3.0373822220030804,rne,HP15_2222,tier1:extracted_gn
E4PLY1,5.0,5.0,14.60739017,DNA-directed RNA polymerase subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoB PE=3 SV=1,16019.74498,7925.983925,12404.3042,12383.55436,16076.5166,174977.7932,244988.107,31072.11981,398166.6312,29766.71564,10780.91769,3525.829848,53592.43605,41229.70047,5010.998227,497720.1747,17008.52464,388849.0236,0.00023,0.00017,0.00012,0.00016,0.00021,0.0015,0.0014,0.00042,0.00142,0.00031,9.7e-05,6.9e-05,0.00055,0.00033,8.3e-05,0.00196,0.00025,0.00104,DNA-directed RNA polymerase subunit beta OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoB PE=3 SV=1,0.00017,0.000623108,0.001078475,0.000157766,0.000322036,0.001085747,3.56,6.17,2.04,6.88,0.218,0.056,0.08,0.083,1.831877241191673,2.625270489374693,1.0285691521967708,2.782408564927373,rpoB,HP15_373,tier1:extracted_gn
E4PQV4,5.0,5.0,19.99301052,Twin-arginine translocation pathway signal OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3247 PE=3 SV=1,101733.2092,147375.2983,278356.1283,149242.4267,97570.60111,152201.4153,3025226.768,435265.4941,5669822.556,272218.6558,193850.9306,66696.52678,292431.8734,166347.9395,96642.82387,4609836.651,287503.0141,8170725.377,0.00145,0.00321,0.00279,0.00198,0.00127,0.0013,0.01724,0.0059,0.0202,0.00281,0.00175,0.00131,0.00302,0.00133,0.0016,0.01818,0.00428,0.02188,Twin-arginine translocation pathway signal OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3247 PE=3 SV=1,0.00248,0.001515109,0.01444466,0.001953578,0.001983633,0.014779896,0.61,5.82,1.02,7.57,0.165,0.062,0.453,0.07,-0.7131188522118385,2.541019153133559,0.0285691521967709,2.920293300211007,HP15_3247,HP15_3247,locus_tag:extracted_gn
E4PH20,4.0,4.0,17.3357935,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,95189.57479,10286.19528,29370.26278,112345.0144,13238.4994,33373.96595,723029.2461,150766.9639,1304655.747,98796.32108,52963.78797,16671.33638,120061.1401,110129.9814,12681.88575,1418630.193,103752.867,2021584.412,0.00135,0.00022,0.00029,0.00149,0.00017,0.00029,0.00412,0.00204,0.00465,0.00102,0.00048,0.00033,0.00124,0.00088,0.00021,0.00559,0.00155,0.00541,10 kDa chaperonin OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=groS PE=3 SV=1,0.00062,0.000648224,0.003603496,0.000607638,0.000776804,0.004184328,1.04,5.77,1.28,6.89,0.354,0.028,0.191,0.053,0.0565835283663675,2.5285713188707577,0.3561438102252753,2.7845039829295666,groS,,unresolved
E4PLY8,3.0,3.0,21.59483075,50S ribosomal protein L3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplC PE=3 SV=1,37899.5381,151357.3561,45713.37667,80637.09224,84637.95662,109328.4563,621839.4063,799276.594,2794135.83,45190.10876,81598.30075,28660.79113,165646.8513,59293.06969,107800.3111,1190799.813,770441.5181,3119936.323,0.00054,0.0033,0.00046,0.00107,0.0011,0.00094,0.00354,0.01083,0.00995,0.00047,0.00074,0.00056,0.00171,0.00047,0.00179,0.0047,0.01148,0.00835,50S ribosomal protein L3 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplC PE=3 SV=1,0.00143,0.001034136,0.008109069,0.000587442,0.001323474,0.008176565,0.72,5.67,2.25,13.92,0.351,0.037,0.139,0.028,-0.4739311883324124,2.503348735167504,1.1699250014423124,3.799087306074004,rplC,HP15_380,tier1:extracted_gn
E4PLZ3,3.0,3.0,22.12532568,50S ribosomal protein L22 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplV PE=3 SV=1,110934.0308,148239.1093,176273.9342,255287.1146,136418.9763,131358.7764,1478340.585,224874.1408,4560907.094,450210.6508,158081.2313,97290.40501,179030.3329,287423.222,149957.7921,1958876.084,235434.307,6164864.551,0.00158,0.00323,0.00177,0.00338,0.00177,0.00112,0.00842,0.00305,0.01625,0.00465,0.00142,0.0019,0.00185,0.0023,0.00248,0.00772,0.00351,0.01651,50S ribosomal protein L22 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplV PE=3 SV=1,0.00219,0.002091914,0.009239408,0.002657993,0.002209975,0.009246539,0.95,4.22,0.83,3.48,0.464,0.119,0.37,0.121,-0.0740005814437769,2.0772429989324603,-0.2688167584278,1.7990873060740036,rplV,HP15_385,tier1:extracted_gn
E4PKZ7,3.0,3.0,10.23018909,Nitrogen regulatory protein PII OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_275 PE=3 SV=1,7956.619583,18567.8661,11481.0267,17235.20088,16165.98212,18779.98356,130306.9491,67591.73189,267101.5437,10052.49682,4114.17425,1269.809773,20425.18755,1555.294086,1428.69574,244319.7796,48188.17986,555528.0145,0.00011,0.0004,0.00012,0.00023,0.00021,0.00016,0.00074,0.00092,0.00095,0.0001,3.7e-05,2.5e-05,0.00021,1.2e-05,2.4e-05,0.00096,0.00072,0.00149,Nitrogen regulatory protein PII OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_275 PE=3 SV=1,0.00021,0.00019962,0.000869965,5.52e-05,8.24e-05,0.001056313,0.95,4.13,1.49,19.13,0.458,0.01,0.286,0.026,-0.0740005814437769,2.0461417816447205,0.5753123306874368,4.257764968571387,HP15_275,HP15_275,locus_tag:extracted_gn
E4PQI2,5.0,5.0,22.93242145,50S ribosomal protein L19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplS PE=3 SV=1,50703.26401,93644.15338,59542.4772,30898.85661,41949.52829,54553.43209,696880.846,228930.471,1886619.277,64718.97329,65011.93588,35396.52318,56611.81308,72298.97453,42717.70944,1061228.425,161552.3683,2487869.601,0.00072,0.00204,0.0006,0.00041,0.00055,0.00047,0.00397,0.0031,0.00672,0.00067,0.00059,0.00069,0.00058,0.00058,0.00071,0.00418,0.00241,0.00666,50S ribosomal protein L19 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplS PE=3 SV=1,0.00112,0.000473586,0.004597904,0.000648749,0.000623358,0.004417825,0.42,4.11,0.96,6.81,0.135,0.07,0.24,0.044,-1.2515387669959646,2.0391383939069585,-0.0588936890535685,2.7676547982373463,rplS,HP15_761,tier1:extracted_gn
E4PPH8,2.0,2.0,6.495890856,Ferric uptake regulation protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=fur PE=3 SV=1,0.542709927,7348.157452,355.2920289,2962.885608,2404.604308,912.4586839,85812.19644,2353.608783,36341.20185,18897.06072,8254.299919,1805.972671,3602.480447,3281.624354,12753.32337,10766.98354,1129.401674,97475.5783,7.7e-09,0.00016,3.6e-06,3.9e-05,3.1e-05,7.8e-06,0.00049,3.2e-05,0.00013,0.0002,7.4e-05,3.5e-05,3.7e-05,2.6e-05,0.00021,4.2e-05,1.7e-05,0.00026,Ferric uptake regulation protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=fur PE=3 SV=1,5.5e-05,2.61e-05,0.000216778,0.00010157,9.16e-05,0.000106763,0.48,3.98,0.9,1.05,0.317,0.23,0.464,0.484,-1.0588936890535685,1.992768430768924,-0.1520030934450499,0.070389327891398,fur,HP15_3085,tier1:extracted_gn
E4PN89,8.0,8.0,36.45684028,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,1387566.953,1358094.285,1061173.261,1685875.736,1102370.355,949821.4918,10019430.6,3169683.084,37281721.04,1209853.269,1156233.804,928665.8549,960353.8701,1530427.093,1509409.131,25084828.91,2507584.746,59625969.45,0.01973,0.02957,0.01064,0.02232,0.01433,0.00812,0.05709,0.04295,0.13281,0.01248,0.01042,0.01817,0.00992,0.01223,0.025,0.09891,0.03736,0.15966,Extracellular solute-binding protein family 1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2958 PE=4 SV=1,0.01998,0.014922226,0.077616813,0.013691709,0.015716515,0.098645212,0.75,3.88,1.15,7.2,0.22,0.111,0.267,0.062,-0.4150374992788438,1.956056652412403,0.2016338611696504,2.84799690655495,HP15_2958,HP15_2958,locus_tag:extracted_gn
