Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
Q05ZB0,NA,13,13,0.009903726,0.018309,0.009873172,0.010103045,0.019344448,0.012526948,0.017173484,0.022970099,0.019968093,0.017929786,0.008043848,0.00953234,0.011039999,0.009690943,0.026750006,0.016001674,0.010296381,0.022171563,0.012695299,0.01399148,0.020037225,0.011835325,0.015826983,0.016156539,0.37936728,1.102099305,0.043986998,1.57831847,0.279814286,1.33726645,0.200700228,1.365111636,"Phycocyanin, beta subunit OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08881 PE=3 SV=1"
Q066D0,NA,13,13,0.007612494,0.011206245,0.012603593,0.006137367,0.011704064,0.008223298,0.007292994,0.015469642,0.012110308,0.004452874,0.007584537,0.00884804,0.006302184,0.008026312,0.006293503,0.014387822,0.011766692,0.01114383,0.010474111,0.008688243,0.011624315,0.006961817,0.006874,0.012432781,0.231371998,0.829496911,0.351144744,1.109813981,0.476954114,0.98738585,0.014514214,1.785852887,Carotenoid binding protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_14105 PE=3 SV=1
Q062E4,NA,12,12,0.002180294,0.001926216,0.002204124,0.002322819,0.003030751,0.005293847,0.018026027,0.019255771,0.003194389,0.002691983,0.002730509,0.0032136,0.004079031,0.004455917,0.0013576,0.022299025,0.006591992,0.003237495,0.002103545,0.003549139,0.013492062,0.002878698,0.003297516,0.010709504,0.091822564,1.68721845,0.04600242,6.413965556,0.347058821,1.145488768,0.126793659,3.720260041,Chaperone protein DnaK OS=Synechococcus sp. BL107 OX=313625 GN=dnaK PE=2 SV=1
Q05Z97,NA,12,12,0.002795295,0.003971709,0.00716931,0.001443793,0.00521576,0.003211989,0.005287358,0.007965868,0.006724396,0.001985863,0.002094758,0.005809125,0.001537744,0.00320992,0.005212829,0.005041866,0.004430702,0.007256886,0.004645438,0.003290514,0.006659207,0.003296582,0.003320164,0.005576484,0.235215719,0.70833232,0.127760763,1.433493903,0.494626005,1.007153627,0.104241884,1.691595894,"C-phycoerythrin class II gamma chain, linker polypeptide OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08946 PE=3 SV=1"
Q066P7,NA,11,11,0.003038249,0.003105422,0.002331563,0.003426581,0.004735704,0.001874021,0.00731951,0.00928519,0.003449312,0.003001131,0.002110524,0.002855388,0.003556904,0.002050905,0.001651155,0.00549828,0.003169103,0.0031742,0.002825078,0.003345436,0.00668467,0.002655681,0.002419655,0.003947195,0.28959598,1.18419242,0.044890946,2.366190028,0.365968706,0.911123917,0.095860445,1.486320867,Dihydroxy-acid dehydratase OS=Synechococcus sp. BL107 OX=313625 GN=ilvD PE=3 SV=1
Q064Q4,NA,10,10,0.000205574,0.000105528,0.000404441,0.000157202,0.000261293,0.000318506,0.000637616,0.000536638,0.000283955,0.000273296,0.0000857,0.00026775,0.000259033,0.000422828,0.000579184,0.000410918,0.000179703,0.00026487,0.000238514,0.000245667,0.00048607,0.000208915,0.000420348,0.000285163,0.473133159,1.029989377,0.072570176,2.037906622,0.064875263,2.012050893,0.225565149,1.364971141,Anchor polypeptide LCM OS=Synechococcus sp. BL107 OX=313625 GN=BL107_16740 PE=3 SV=1
Q060D9,NA,10,10,0.004782913,0.006559312,0.004520718,0.007555389,0.008439874,0.006842594,0.009431792,0.011167241,0.009531746,0.006155974,0.002959836,0.008754234,0.006595928,0.006644408,0.003031269,0.009279895,0.01203307,0.009454682,0.005287648,0.007612619,0.010043593,0.005956682,0.005423868,0.010255882,0.021098518,1.439698585,0.002528864,1.899444475,0.404287282,0.910552014,0.043059419,1.721744279,Putative nickel-containing superoxide dismutase (NISOD) OS=Synechococcus sp. BL107 OX=313625 GN=BL107_11116 PE=4 SV=1
Q05YJ9,NA,10,10,0.001416174,0.001595324,0.001002759,0.000921383,0.000756316,0.001621025,0.002815437,0.002326725,0.001735375,0.001055553,0.000997481,0.000696141,0.001235151,0.001557609,0.000849243,0.00151351,0.001241782,0.001493658,0.001338085,0.001099575,0.002292512,0.000916392,0.001214001,0.001416317,0.247380174,0.821752216,0.028057606,1.713278066,0.135387729,1.324761897,0.012115548,1.545536531,Porphobilinogen deaminase OS=Synechococcus sp. BL107 OX=313625 GN=hemC PE=3 SV=1
Q060X5,NA,10,10,0.003074201,0.003088205,0.001201653,0.003687468,0.005898091,0.039825915,0.004472847,0.0047906,0.002804446,0.001876107,0.000497986,0.045733041,0.00300282,0.04444694,0.001029698,0.003801381,0.031030752,0.001567877,0.002454686,0.016470491,0.004022631,0.016035711,0.016159819,0.012133337,0.148747953,6.709815571,0.074443483,1.638755772,0.497731785,1.007739486,0.417768309,0.756644743,Flavodoxin OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08339 PE=3 SV=1
Q05ZB1,NA,10,10,0.013286137,0.017715923,0.00615889,0.008149814,0.008611875,0.004395478,0.011914295,0.01369117,0.011573497,0.013053409,0.011409275,0.005655779,0.014420558,0.005167658,0.00907847,0.012511614,0.007142271,0.012529495,0.012386983,0.007052389,0.012392987,0.010039487,0.009555562,0.010727793,0.107366628,0.569338686,0.499343544,1.000484705,0.448295728,0.951797802,0.411161045,1.06855984,"Phycocyanin, alpha subunit OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08876 PE=3 SV=1"
Q066K3,NA,10,10,0.011605677,0.00896139,0.007588962,0.008558389,0.009842361,0.01029026,0.011983274,0.010864647,0.004961031,0.009714659,0.008374426,0.009734864,0.010682931,0.01065471,0.006883332,0.017458575,0.00802408,0.006544126,0.009385343,0.00956367,0.009269651,0.00927465,0.009406991,0.010675594,0.448284424,1.019000548,0.482491852,0.987673067,0.463032175,1.014269166,0.352650164,1.15105088,Glutamine synthetase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_13740 PE=3 SV=1
Q060Z1,NA,9,9,0.001952396,0.003107343,0.004276387,0.001725772,0.003891849,0.004951572,0.006145246,0.013214646,0.005534697,0.002139211,0.001150189,0.003993422,0.002152804,0.004393126,0.002242173,0.006619504,0.008713522,0.003699444,0.003112042,0.003523064,0.008298196,0.002427608,0.002929368,0.006344157,0.370747607,1.13207493,0.056078938,2.666479911,0.337254903,1.2066891,0.039817754,2.613337025,Elongation factor Tu OS=Synechococcus sp. BL107 OX=313625 GN=tuf PE=3 SV=1
Q065I2,NA,9,9,0.005329164,0.005018986,0.005382446,0.007186865,0.007269518,0.00400546,0.012639525,0.007169141,0.010868635,0.004726621,0.006984957,0.004249263,0.007411662,0.004817215,0.004031554,0.011798637,0.006608287,0.010418686,0.005243532,0.006153948,0.010225767,0.00532028,0.005420144,0.009608537,0.223440042,1.173626395,0.018394571,1.950167804,0.471763201,1.018770301,0.036090885,1.806020745,Phosphoribulokinase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15095 PE=3 SV=1
Q065Q7,NA,9,9,0.001067119,0.0010764,0.001150541,0.001731051,0.00159952,0.000702791,0.002358183,0.001868702,0.001360021,0.000913616,0.000444176,0.00075016,0.001490841,0.000441126,0.000717002,0.002096469,0.001136106,0.000642838,0.00109802,0.001344454,0.001862302,0.000702651,0.00088299,0.001291804,0.244724104,1.224434709,0.028753993,1.696054299,0.313418839,1.256655345,0.129589498,1.838473355,O-acetylhomoserine/O-acetylserine sulfhydrylase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_14720 PE=3 SV=1
Q067B0,NA,9,9,0.002957295,0.003323148,0.00231881,0.00269633,0.003852273,0.003437702,0.002376315,0.002310169,0.003117317,0.002401122,0.003424155,0.002310919,0.001925507,0.004072662,0.002377782,0.001952347,0.00267929,0.002928699,0.002866418,0.003328769,0.002601267,0.002712066,0.002791984,0.002520112,0.180042475,1.161299189,0.267560323,0.907497522,0.459851006,1.029467589,0.349480163,0.929222297,Uncharacterized protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_12955 PE=4 SV=1
Q065I1,NA,9,9,0.004317494,0.003957913,0.001472575,0.003191194,0.002819716,0.002003398,0.003892075,0.002177913,0.002728931,0.003971759,0.003061457,0.001504513,0.004862292,0.002116233,0.001125778,0.006017094,0.003126285,0.00373437,0.003249328,0.002671436,0.002932973,0.00284591,0.002701435,0.004292583,0.289968744,0.822150495,0.386741145,0.902639887,0.459353671,0.949234087,0.136122029,1.508334137,3-isopropylmalate dehydrogenase OS=Synechococcus sp. BL107 OX=313625 GN=leuB PE=3 SV=1
Q063V9,NA,8,8,0.001146251,0.001414559,0.000870631,0.001198028,0.001530503,0.001555408,0.00249815,0.004577873,0.001366724,0.000990144,0.001054759,0.001621308,0.00092991,0.001541608,0.001059254,0.002847412,0.001050693,0.000831885,0.001143814,0.00142798,0.002814249,0.001222071,0.001176924,0.001576663,0.109146207,1.248437511,0.077315883,2.460408553,0.43846239,0.963057266,0.312133498,1.290157335,Ribose-5-phosphate isomerase A OS=Synechococcus sp. BL107 OX=313625 GN=rpiA PE=3 SV=1
Q060T6,NA,8,8,0.000448891,0.000675129,0.002868119,0.000151531,0.000429071,0.001161926,0.000955375,0.001087966,0.003714819,0.00022815,0.000691085,0.001736938,0.000206631,0.000861286,0.001567901,0.000526079,0.001058866,0.002672874,0.001330713,0.000580843,0.001919387,0.000885391,0.000878606,0.001419273,0.208237362,0.436489767,0.322609694,1.44237426,0.495721461,0.992336615,0.266795653,1.602990086,Ribosome-recycling factor OS=Synechococcus sp. BL107 OX=313625 GN=frr PE=3 SV=1
Q061A0,NA,8,8,0.001384567,0.001338496,0.001660005,0.001599304,0.001264323,0.000473711,0.002510421,0.00178143,0.002026734,0.000961354,0.000443213,0.000460339,0.002070904,0.000478298,0.000775307,0.002864864,0.001371847,0.001383273,0.001461023,0.001112446,0.002106195,0.000621635,0.00110817,0.001873328,0.186876521,0.761416071,0.026280423,1.441589578,0.200236622,1.782668717,0.037653241,3.013548073,LL-diaminopimelate aminotransferase OS=Synechococcus sp. BL107 OX=313625 GN=dapL PE=3 SV=1
Q064T3,NA,8,8,0.002498374,0.002746271,0.002869883,0.002120438,0.00180907,0.002801776,0.004951496,0.001839596,0.004245711,0.003300158,0.002435874,0.002061111,0.002583642,0.002926701,0.002712014,0.002791342,0.002701923,0.003381411,0.002704842,0.002243761,0.003678934,0.002599048,0.002740786,0.002958225,0.107250007,0.82953492,0.181186496,1.360128836,0.364130615,1.054534519,0.222468455,1.138195765,10 kDa chaperonin OS=Synechococcus sp. BL107 OX=313625 GN=groS PE=3 SV=1
Q067V1,NA,8,8,0.022928751,0.023387447,0.014889903,0.015984406,0.017066614,0.018850313,0.032886794,0.024856514,0.020963805,0.017618628,0.017220551,0.013583029,0.019940461,0.018793945,0.011181844,0.026628635,0.021392327,0.022142839,0.020402034,0.017300444,0.026235705,0.016140736,0.01663875,0.023387934,0.171283259,0.84797645,0.130710486,1.285935741,0.438780755,1.030854488,0.012603139,1.44900042,Thioredoxin OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15460 PE=3 SV=1
Q064A1,NA,8,8,0.011850641,0.009142071,0.009255459,0.01136897,0.006184542,0.005694,0.008041958,0.006032843,0.012328741,0.006888606,0.00561627,0.004847183,0.008882662,0.006701149,0.004849006,0.011211597,0.006874266,0.010753645,0.010082724,0.007749171,0.008801181,0.00578402,0.006810939,0.00961317,0.156098622,0.768559272,0.283485211,0.872897156,0.238282237,1.177544238,0.03150672,1.662022313,Histone-like DNA-binding protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_16210 PE=3 SV=1
Q066X0,NA,8,8,0.00926106,0.01232755,0.010049323,0.010343841,0.015767869,0.022971859,0.006824487,0.012612881,0.006972616,0.00785942,0.014873694,0.023218493,0.008390742,0.024691261,0.013022005,0.007914313,0.010083481,0.005798775,0.010545978,0.01636119,0.008803328,0.015317202,0.015368003,0.00793219,0.098968112,1.551415167,0.228178956,0.834756923,0.497102515,1.003316556,0.092152501,0.517861526,Thioredoxin peroxidase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_13155 PE=4 SV=1
Q064T4,NA,8,8,0.000921262,0.000440188,0.003359429,0.000070307,0.000261231,0.000198296,0.000357385,0.000550254,0.000484218,0.000658993,0.000597574,0.001149049,0.000134952,0.000144513,0.000760642,0.00047288,0.000304974,0.000399399,0.001573626,0.000176611,0.000463952,0.000801872,0.000346703,0.000392417,0.09884893,0.112232147,0.143786124,0.294829987,0.083998888,0.432366771,0.043314963,0.489376755,60 kDa chaperonin OS=Synechococcus sp. BL107 OX=313625 GN=groL PE=3 SV=1
Q060E3,NA,7,7,0.000641486,0.000476122,0.000643475,0.00108025,0.001191159,0.001509945,0.002650926,0.003715213,0.001492291,0.000914505,0.000461405,0.001172172,0.001653337,0.001537184,0.0009891,0.002972047,0.002271412,0.001239713,0.000587028,0.001260452,0.002619477,0.000849361,0.001393207,0.002161058,0.004316019,2.147175553,0.017181287,4.462271338,0.067871789,1.640300714,0.036786089,2.544334842,Dihydrolipoyl dehydrogenase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_11096 PE=3 SV=1
Q064Q2,NA,7,7,0.005429776,0.006621348,0.004734785,0.00402763,0.006723433,0.002359106,0.01119919,0.012596056,0.010885837,0.006751627,0.005348851,0.0022,0.004280429,0.002116401,0.003413693,0.008399413,0.009277302,0.01192515,0.005595303,0.004370056,0.011560361,0.006050239,0.003270175,0.009867288,0.213258054,0.781022268,0.000716874,2.06608306,0.03178455,0.540503347,0.039968661,1.63089225,"Allophycocyanin, beta subunit OS=Synechococcus sp. BL107 OX=313625 GN=BL107_16750 PE=3 SV=1"
Q05Z30,NA,7,7,0.001005362,0.000577566,0.000679335,0.000758757,0.000704699,0.000485435,0.000634521,0.003045438,0.000756631,0.001081822,0.000596224,0.000694593,0.00136679,0.000535493,0.000249281,0.001430756,0.000754139,0.000527096,0.000754088,0.00064963,0.001478863,0.00079088,0.000717188,0.000903997,0.267051826,0.861478118,0.206658113,1.961128618,0.425218723,0.906822932,0.366524771,1.143026851,Delta-aminolevulinic acid dehydratase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_09281 PE=3 SV=1
Q060X4,NA,7,7,0.002132988,0.002637455,0.001500699,0.002079234,0.002272271,0.003234775,0.003807,0.004212907,0.002733807,0.002629883,0.002577159,0.005538397,0.003688916,0.004086761,0.001409876,0.005264416,0.004933269,0.002569413,0.002090381,0.00252876,0.003584572,0.003581813,0.003061851,0.004255699,0.208874019,1.209712786,0.026622839,1.714793788,0.353285731,0.854832847,0.315152769,1.188141071,Thioredoxin-disulfide reductase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_08344 PE=4 SV=1
Q066N9,NA,7,7,0.003069121,0.003679158,0.00234704,0.002844145,0.003439021,0.002948268,0.005982581,0.004360639,0.0041536,0.003455224,0.003519342,0.001952057,0.003425397,0.003275047,0.00376762,0.005075143,0.00332953,0.004574357,0.003031773,0.003077145,0.004832273,0.002975541,0.003489355,0.004326343,0.460197262,1.014965342,0.030284898,1.593877055,0.194581471,1.172678954,0.068771644,1.45396846,Ribulose-phosphate 3-epimerase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_13560 PE=3 SV=1
Q066P2,NA,7,7,0.000194325,0.000262676,0.000594754,0.000038809,0.000191066,0.000142153,0.000780438,0.000174891,0.000389586,0.000183269,0.000128,0.000389209,0.000067011,0.00012434,0.000386636,0.000320056,0.000340264,0.000271806,0.000350585,0.00012401,0.000448305,0.000233493,0.000192663,0.000310708,0.080066841,0.353721537,0.337304536,1.27873401,0.38149962,0.825132826,0.199919913,1.330698837,Glucose-1-phosphate adenylyltransferase OS=Synechococcus sp. BL107 OX=313625 GN=glgC PE=3 SV=1
Q064Q3,NA,7,7,0.007529374,0.01870236,0.033845951,0.009103184,0.024029098,0.001671063,0.014121972,0.024841979,0.033524575,0.006867012,0.006284211,0.004303458,0.00652068,0.00136394,0.01675016,0.008261202,0.002771773,0.033093608,0.020025895,0.011601115,0.024162842,0.005818227,0.008211593,0.014708861,0.224899236,0.579305691,0.342350266,1.206579875,0.314710475,1.411356655,0.19799047,2.528065888,Allophycocyanin alpha chain OS=Synechococcus sp. BL107 OX=313625 GN=BL107_16745 PE=3 SV=1
Q05ZG2,NA,7,7,0.000251851,0.000187299,0.000563286,0.000337615,0.000261703,0.000257924,0.000358578,0.000394673,0.00017653,0.00018572,0.000172247,0.000298011,0.000284835,0.000194287,0.00013642,0.000506025,0.000334242,0.000183657,0.000334145,0.000285747,0.000309927,0.000218659,0.00020518,0.000341308,0.352456964,0.855159757,0.432821594,0.927523124,0.414931266,0.938356811,0.146320345,1.560912453,50S ribosomal protein L2 OS=Synechococcus sp. BL107 OX=313625 GN=rplB PE=3 SV=1
Q05ZX4,NA,7,7,0.002535948,0.000583122,0.003574139,0.000099981,0.000296203,0.000465359,0.002449959,0.001669413,0.000647131,0.001494059,0.000877007,0.002793494,0.000210635,0.000420192,0.000434924,0.001315699,0.000597167,0.000327267,0.00223107,0.000287181,0.001588834,0.00172152,0.00035525,0.000746711,0.04626623,0.12871885,0.281624849,0.712139977,0.037204932,0.206358457,0.100398096,0.433750985,Uncharacterized protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_11441 PE=4 SV=1
Q066A2,NA,6,6,0.001879614,0.002695153,0.002461461,0.002447772,0.002236254,0.002053438,0.008486398,0.002739105,0.004530903,0.001368663,0.001371307,0.001411058,0.002254785,0.001581549,0.001299634,0.004391377,0.005131277,0.004153568,0.002345409,0.002245821,0.005252135,0.001383676,0.001711989,0.004558741,0.36447437,0.957539092,0.082678046,2.23932552,0.155760882,1.237275821,0.000210433,3.294658045,Putative redox protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_14245 PE=4 SV=1
Q065I8,NA,6,6,0.000925912,0.002282416,0.000398759,0.001280484,0.002455675,0.003231354,0.001865937,0.002992723,0.000945089,0.000975195,0.000605221,0.00374539,0.001282273,0.002697333,0.000283677,0.001012697,0.005149681,0.000831315,0.001202362,0.002322504,0.001934583,0.001775269,0.001421094,0.002331231,0.116476545,1.931617424,0.210056771,1.608984849,0.39243269,0.800495144,0.381585299,1.313170664,Fructose-bisphosphate aldolase OS=Synechococcus sp. BL107 OX=313625 GN=BL107_15065 PE=3 SV=1
Q05ZT2,NA,6,6,0.001646142,0.003287141,0.003678242,0.000700934,0.005229435,0.001257432,0.002006215,0.003282149,0.007747928,0.001448625,0.004158238,0.001354224,0.0007894,0.00116613,0.00092503,0.000941097,0.0012415,0.002098178,0.002870509,0.002395934,0.004345431,0.002320362,0.000960187,0.001426925,0.387775841,0.834672124,0.234821347,1.513819073,0.107880757,0.413808901,0.207306459,0.614958005,Uncharacterized protein OS=Synechococcus sp. BL107 OX=313625 GN=BL107_11651 PE=4 SV=1
Q066M1,NA,6,6,0.00179977,0.002556619,0.001892155,0.00145196,0.00265136,0.001205138,0.003430949,0.003004678,0.002745285,0.001321007,0.001636581,0.001380179,0.001632435,0.001364568,0.00101046,0.003439952,0.002284789,0.002696863,0.002082848,0.001769486,0.003060304,0.001445923,0.001335821,0.002807201,0.284732434,0.84955128,0.017389845,1.469288356,0.309441319,0.923853939,0.008984076,1.941460258,Elongation factor Ts OS=Synechococcus sp. BL107 OX=313625 GN=tsf PE=3 SV=1
Q064P4,NA,6,6,0.007469424,0.010752255,0.009403271,0.011501862,0.007631869,0.013749977,0.015241925,0.00971475,0.015483079,0.0056463,0.013242901,0.012190671,0.009811355,0.016657785,0.006798151,0.010997337,0.007595448,0.013672552,0.009208317,0.010961236,0.013479918,0.010359957,0.011089097,0.010755112,0.217741663,1.190362609,0.05652668,1.463885149,0.427890501,1.070380591,0.450059654,1.038142538,"Nitrogen regulatory protein P-II (GlnB, GlnK) OS=Synechococcus sp. BL107 OX=313625 GN=BL107_16790 PE=3 SV=1"
Q066K4,NA,6,6,0.000741786,0.001509003,0.001450264,0.000413407,0.000872036,0.000748859,0.001632623,0.001157107,0.002135236,0.000923728,0.000850553,0.000850845,0.00044087,0.000662387,0.00167909,0.001547265,0.000738494,0.002026275,0.001233684,0.0006781,0.001641655,0.000875042,0.000927449,0.001437344,0.06010348,0.549654708,0.168821617,1.330693028,0.448753626,1.059891139,0.104840583,1.642600724,Phycobilisome core component-allophycocyanin beta-18 subunit OS=Synechococcus sp. BL107 OX=313625 GN=BL107_13735 PE=3 SV=1
Q065U6,NA,6,6,0.003651996,0.002908003,0.001063753,0.002583084,0.00288145,0.001764882,0.004398935,0.001538213,0.002509057,0.003425358,0.001405749,0.00115265,0.003501314,0.001482436,0.000675106,0.003103255,0.00285735,0.002959671,0.002541251,0.002409805,0.002815401,0.001994586,0.001886285,0.002973426,0.441521202,0.948275408,0.410812509,1.107880338,0.463356989,0.945702857,0.123511006,1.490748415,Dihydroorotase OS=Synechococcus sp. BL107 OX=313625 GN=pyrC PE=3 SV=1
Q060B0,NA,5,5,0.000268636,0.000231735,0.00038311,0.000308327,0.000297937,0.000130335,0.001585447,0.000695817,0.000539354,0.000169057,0.000115955,0.000087237,0.000270198,0.000106794,0.000149899,0.001486194,0.000284279,0.001013246,0.000294493,0.000245533,0.000940206,0.000124083,0.00017563,0.000927906,0.270908363,0.833746477,0.06056731,3.192622205,0.198708433,1.415424633,0.041742781,7.478106344,5'-nucleotidase SurE OS=Synechococcus sp. BL107 OX=313625 GN=surE PE=3 SV=1
