Accession,Peptide count,Unique peptides,Confidence score,Description,Control Light 1,Control Light 2,Control Light 3,Light+100 nM glucose 1,Light+100 nM glucose 2,Light+100 nM glucose 3,Light+5 mM glucose 1,Light+5 mM glucose 2,Light+5 mM glucose 3,Control Dark 1,Control Dark 2,Control Dark 3,Dark + 100 nM glucose 1,Dark + 100 nM glucose 2,Dark + 100 nM glucose 3,Dark + 5 mM glucose 1,Dark + 5 mM glucose 2,Dark + 5 mM glucose 3,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_8102,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness avg,Darkness Glu nM avg,Darkness Glu mM avg,t.test G nM/L,FC G nM/L,t.test G mM/L,FC G mM/L,t.test G nM/D,FC G nM/D,t.test G mM/D,FC G mM/D,Alteromonas_8102.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359K1K0,3,3,12.16417456,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Alteromonas sp. OX=232 GN=fabH PE=3 SV=1,255634.009561844,330217.612166212,30583.6247932759,1056100.12899143,1675834.63718928,140174.61146585,2182851.29743608,4531718.5695968,278450.9632303,328244.92918559,450399.204257511,244578.170266445,1659565.28416063,3710262.02730164,3007.68548517946,1789155.90961705,4196069.57920848,571799.63041152,0.000272249,0.000425291,1.80587e-05,0.000614016,0.000728515,0.000113079,0.001025561,0.001289057,0.000382176,0.000301317,0.000441934,0.000217421,0.000864745,0.001365674,3.78595e-05,0.000921714,0.001287848,0.000799272,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Alteromonas sp. OX=232 GN=fabH PE=3 SV=1,0.000238533,0.000485203,0.000898931,0.000320224,0.000756093,0.001002944,0.042,2.03,0.024,3.77,0.156,2.36,0.007,3.13,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Alteromonas sp. OX=232 GN=fabH PE=3 SV=1,,1.0214797274104515,1.9145645234939397,1.2387868595871165,1.6461626571578936,0.042,0.024,0.156,0.007
A0A359K8U1,2,2,6.412187338,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Alteromonas sp. OX=232 GN=ribB PE=3 SV=1",23360.65637,44310.7487,73415.63562,1070210.903,1134485.824,125360.1647,2562421.631,3510152.998,225881.515,87361.59938,63373.19599,120452.0513,2338898.067,2649284.203,3051.678973,1980908.457,4243905.634,198415.7619,2.4879e-05,5.70683e-05,4.33496e-05,0.00062222,0.000493181,0.000101128,0.001203894,0.00099847,0.000310024,8.01949e-05,6.21822e-05,0.000107077,0.001218724,0.000975149,3.84132e-05,0.001020498,0.001302529,0.000277349,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Alteromonas sp. OX=232 GN=ribB PE=3 SV=1",4.17656e-05,0.00040551,0.000837463,8.31514e-05,0.000744095,0.000866792,0.075,9.71,0.05,20.05,0.108,8.95,0.067,10.42,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Alteromonas sp. OX=232 GN=ribB PE=3 SV=1",,3.2794712956444676,4.325530331567558,3.1618876823768938,3.3812833725037836,0.075,0.05,0.108,0.067
A0A359K950,2,2,5.45042491,"3'(2'),5'-bisphosphate nucleotidase CysQ OS=Alteromonas sp. OX=232 GN=cysQ PE=3 SV=1",43730.54527,33936.70201,183016.1289,80046.23011,110433.121,211287.8446,464671.5342,463852.0306,199903.3286,73667.3493,37234.12939,91867.83339,485227.1985,257056.7568,1503.758298,289355.2102,270777.879,388456.9866,4.65728e-05,4.37075e-05,0.000108065,4.65388e-05,4.80072e-05,0.000170446,0.000218315,0.000131944,0.000274369,6.76241e-05,3.65343e-05,8.1667e-05,0.000252836,9.46175e-05,1.89287e-05,0.000149066,8.31065e-05,0.000542992,"3'(2'),5'-bisphosphate nucleotidase CysQ OS=Alteromonas sp. OX=232 GN=cysQ PE=3 SV=1",6.61152e-05,8.83306e-05,0.000208209,6.19418e-05,0.000122127,0.000258388,0.192,1.34,0.017,3.15,0.244,1.97,0.139,4.17,"3'(2'),5'-bisphosphate nucleotidase CysQ OS=Alteromonas sp. OX=232 GN=cysQ PE=3 SV=1",,0.4222330006830478,1.6553518286125541,0.9781956296816515,2.060047383669939,0.192,0.017,0.244,0.139
A0A359K3G1,5,5,27.53846955,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,377441.412,824335.4994,552587.3357,5735742.253,20913212.74,900725.0623,11211741.44,22842391.33,2446239.506,439344.3392,975029.8708,1301706.725,6613125.003,21917397.64,57279.62059,10067027.62,19138389.77,1275396.786,0.000401974,0.001061671,0.000326285,0.003334758,0.009091345,0.000726614,0.005267573,0.006497565,0.003357481,0.000403303,0.000956705,0.001157167,0.003445884,0.008067358,0.000721012,0.005186197,0.005873909,0.001782772,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,0.000596643,0.004384239,0.005040873,0.000839058,0.004078084,0.004280959,0.117,7.35,0.013,8.45,0.138,4.86,0.067,5.1,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,,2.877744249949002,3.0789513413948217,2.2809563138310565,2.350497247084133,0.117,0.013,0.138,0.067
A0A359K5U3,3,3,20.70234871,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,268488.3051,374019.2639,670376.2097,29884250.24,27379139.64,1102055.444,26061461.4,28706541.87,4428038.433,486383.4714,632853.9461,212692.8036,16745051.66,28065590.52,5991.735419,11892701.6,50445330.06,1898558.967,0.000285939,0.000481704,0.000395836,0.017374689,0.011902198,0.000889027,0.012244365,0.008165635,0.006077514,0.000446483,0.00062096,0.000189076,0.008725301,0.010330385,7.54214e-05,0.006126724,0.015482561,0.002653839,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,0.000387826,0.010055305,0.008829172,0.00041884,0.006377036,0.008087708,0.093,25.93,0.022,22.77,0.096,15.23,0.087,19.31,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,,4.69655030107857,4.509062386361898,3.9288440367125674,4.2712762591759255,0.093,0.022,0.096,0.087
A0A359K4K0,2,2,7.502518892,30S ribosomal protein S18 OS=Alteromonas sp. OX=232 GN=rpsR PE=3 SV=1,179867.2636,431575.2713,182206.035,5759017.634,5964001.976,160251.814,3508488.594,10674491.42,885498.7289,151142.6488,289387.7122,241603.1333,8620381.711,11313634.09,4468.52843,7273177.34,7421865.39,774956.7912,0.000191558,0.000555831,0.000107587,0.00334829,0.002592658,0.000129275,0.001648381,0.003036381,0.001215353,0.000138744,0.000283949,0.000214776,0.0044918,0.004164324,5.62479e-05,0.003746899,0.002277901,0.001083248,30S ribosomal protein S18 OS=Alteromonas sp. OX=232 GN=rpsR PE=3 SV=1,0.000284992,0.002023408,0.001966705,0.00021249,0.002904124,0.002369349,0.099,7.1,0.028,6.9,0.1,13.67,0.057,11.15,30S ribosomal protein S18 OS=Alteromonas sp. OX=232 GN=rpsR PE=3 SV=1,,2.8278190246173196,2.786596361890807,3.7729413378313352,3.4789718050329426,0.099,0.028,0.1,0.057
A0A359KAH9,3,3,17.4199996,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,589489.6142,814742.0405,625697.4125,3546294.712,4119046.335,552822.2439,877494.1647,4676227.388,583242.5503,499884.264,1045892.996,176391.0366,2948951.445,10969675.94,21578.28318,4348607.878,4974082.28,731991.8777,0.000627804,0.001049315,0.000369455,0.002061814,0.001790623,0.000445961,0.00041227,0.001330163,0.000800505,0.000458876,0.001026236,0.000156805,0.001536603,0.004037719,0.000271618,0.002240258,0.001526633,0.001023191,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,0.000682191,0.001432799,0.000847646,0.000547306,0.001948647,0.001596694,0.098,2.1,0.243,1.24,0.121,3.56,0.055,2.92,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,,1.070389327891398,0.3103401206121505,1.831877241191673,1.5459683691052926,0.098,0.243,0.121,0.055
A0A359K9S6,2,2,7.608636856,30S ribosomal protein S9 OS=Alteromonas sp. OX=232 GN=rpsI PE=3 SV=1,162328.5117,81006.14063,95246.3028,2905026.056,3883201.792,48759.91321,1026306.344,2207728.474,575998.4567,326562.5962,209739.5443,43631.75386,4648562.805,7444644.964,3143.598111,5038169.67,1424548.551,742011.7154,0.000172879,0.000104329,5.62399e-05,0.001688981,0.001688097,3.93346e-05,0.000482186,0.000627993,0.000790562,0.000299773,0.000205798,3.8787e-05,0.002422215,0.002740226,3.95703e-05,0.002595497,0.000437219,0.001037197,30S ribosomal protein S9 OS=Alteromonas sp. OX=232 GN=rpsI PE=3 SV=1,0.000111149,0.001138804,0.00063358,0.000181453,0.001734004,0.001356638,0.094,10.25,0.025,5.7,0.093,9.56,0.095,7.48,30S ribosomal protein S9 OS=Alteromonas sp. OX=232 GN=rpsI PE=3 SV=1,,3.357552004618084,2.5109619192773796,3.257010618206024,2.903038270112912,0.094,0.025,0.093,0.095
A0A359K9D0,4,4,15.49777579,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,219710.8819,100074.7778,643317.4408,262916.7668,838103.2211,326303.4097,875954.5282,2177482.208,800495.897,380130.3604,333302.6589,144754.8581,791512.1156,1367769.799,1937.141276,651264.7816,2508771.191,1013368.904,0.000233991,0.000128887,0.000379859,0.00015286,0.000364338,0.000263229,0.000411547,0.000619389,0.001098686,0.000348946,0.000327039,0.000128682,0.000412431,0.000503449,2.43839e-05,0.00033551,0.000769986,0.001416505,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,0.000247579,0.000260142,0.000709874,0.000268222,0.000313421,0.000840667,0.46,1.05,0.049,2.87,0.318,1.17,0.136,3.13,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,,0.070389327891398,1.5210507369009632,0.22650852980867975,1.6461626571578936,0.46,0.049,0.318,0.136
A0A359K6Q3,2,2,6.13634038,5-methyltetrahydrofolate--homocysteine methyltransferase OS=Alteromonas sp. OX=232 GN=DEH24_14150 PE=4 SV=1,9684.80551488,6536.60851629,3641.706983031,85293.201410159,119430.14130224,7356.931274412,430111.21559659,707265.55436294,24717.978901684,1166.45142619,5886.31478694,28699.0762931309,332712.35708088,538673.83214545,97.986023431,485672.44408941,465837.31347531,6789.830823335,1.03143e-05,8.41857e-06,2.15031e-06,4.95894e-05,5.19184e-05,5.93483e-06,0.000202078,0.000201183,3.39256e-05,1.07076e-06,5.77569e-06,2.55124e-05,0.000173366,0.000198275,1.23341e-06,0.000250202,0.000142974,9.49095e-06,5-methyltetrahydrofolate--homocysteine methyltransferase OS=Alteromonas sp. OX=232 GN=DEH24_14150 PE=4 SV=1,6.96105e-06,3.58142e-05,0.000145729,1.07863e-05,0.000124291,0.000134222,0.075,5.14,0.061,20.93,0.121,11.52,0.125,12.44,5-methyltetrahydrofolate--homocysteine methyltransferase OS=Alteromonas sp. OX=232 GN=DEH24_14150 PE=4 SV=1,DEH24_14150,2.361768359419153,4.387500406480984,3.526068811667588,3.636914580355878,0.075,0.061,0.121,0.125
A0A359KCF1,3,3,19.00507927,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,1021822.811,584372.5479,1084544.565,13826852.32,25356124.81,963969.5431,10492321.88,38196870.21,5319671.243,1559400.691,983353.5465,1765051.445,16837481.07,32461559.21,13341.37642,15431569.87,25484962.44,6134053.445,0.001088237,0.00075262,0.000640389,0.008038925,0.011022758,0.000777634,0.004929571,0.010865178,0.007301287,0.001431475,0.000964872,0.001569063,0.008773463,0.011948454,0.000167936,0.007949831,0.007821784,0.008574289,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,0.000827082,0.006613105,0.007698679,0.001321804,0.006963284,0.008115301,0.096,8.0,0.032,9.31,0.132,5.27,0.0,6.14,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,,3.0,3.218781167784069,2.3978029618624896,2.6182386555954547,0.096,0.032,0.132,0.0
A0A2D5LJN7,4,4,20.19702983,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,4684510.33273858,8027292.49662797,8601542.92725602,43085090.1717896,67980783.1258827,7855366.00504442,49130468.8174349,130259590.529755,7759882.64148204,4804182.426957649,6823022.89628836,2045812.08378657,60524475.034011,100119341.236245,112588.417696152,47561872.1536616,115469488.296163,6657756.1960763,0.004988984,0.010338439,0.005078939,0.025049651,0.029552454,0.006336918,0.023082796,0.037052609,0.010650494,0.004410072,0.006694791,0.001818648,0.031537333,0.036851937,0.001417215,0.024502292,0.03543962,0.00930633,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,0.006802121,0.020313007,0.0235953,0.004307837,0.023268828,0.023082747,0.079,2.99,0.056,3.47,0.095,5.4,0.047,5.36,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,,1.5801454844233804,1.7949356628035362,2.4329594072761065,2.4222330006830477,0.079,0.056,0.095,0.047
A0A359KA81,6,6,30.80010521,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,2994349.285,6347687.108,1998311.385,32458605.08,50021510.59,2125567.719,23504459.41,91942901.54,4313899.371,2657398.503,3031179.648,3157057.898,45652556.86,57871170.24,182087.842,36870739.3,55073101.87,5456197.203,0.00318897,0.008175257,0.00117994,0.018871417,0.021745239,0.001714694,0.011043018,0.026153348,0.005920858,0.002439399,0.002974211,0.002806503,0.02378806,0.021301226,0.002292045,0.018994576,0.016902905,0.007626769,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,0.004181389,0.01411045,0.014372408,0.002740038,0.015793777,0.014508084,0.086,3.37,0.063,3.44,0.098,5.76,0.04,5.29,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,,1.752748591407134,1.7824085649273733,2.526068811667588,2.403267722339301,0.086,0.063,0.098,0.04
