Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose
A0A359K8A9,2.0,2.0,8.418833017,Molecular chaperone HtpG (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_13095 PE=3 SV=1,12987.19756,12348.74454,26982.18784,68400.57686,21002.16103,32803.02998,73905.57116,20927.56889,1422897.841,103836.2923,101216.1573,17937.55652,15980.11054,35546.63676,32517.3343,85140.80315,46324.73467,667867.9257,0.00070654,0.00044,0.00073,0.00272,0.00097,0.00098,0.00135,0.00061,0.01224,0.00236,0.00432,0.00077,0.00071,0.00145,0.00121,0.00171,0.00122,0.00838,Molecular chaperone HtpG (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_13095 PE=3 SV=1,0.00062561,0.00155514,0.0047335,0.00248231,0.00112351,0.00377017,2.5,7.6,0.5,1.5,0.116,0.192,0.147,0.365,DEH24_13095,1.3219280948873624,2.925999418556223,-1.0,0.5849625007211562,0.116,0.192,0.147,0.365
A0A359K867,4.0,4.0,12.82456684,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,13165.1177,19600.91544,42151.9596,37097.31954,25421.73814,41368.13268,314914.1436,31208.55428,1303275.125,51967.72846,67038.69057,17702.79129,12277.73708,31743.57902,12228.5998,265064.4227,114442.9724,673674.18,0.00071622,0.0007,0.00114,0.00148,0.00117,0.00123,0.00576,0.0009,0.01121,0.00118,0.00286,0.00076,0.00054,0.0013,0.00046,0.00533,0.00301,0.00846,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,0.00085185,0.00129249,0.0059587,0.00160077,0.000765,0.0055961,1.5,7.0,0.5,3.5,0.075,0.108,0.078,0.104,,0.5849625007211562,2.807354922057604,-1.0,1.8073549220576042,0.075,0.108,0.078,0.104
A0A359K8V9,2.0,2.0,9.115094662,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,25974.18073,28438.31303,55265.9043,23434.98082,49474.70064,14220.95631,567806.5445,45806.33475,1630991.062,83244.07246,25774.61838,44048.16921,54379.31814,21366.50116,21172.21192,568870.2863,218242.7922,888938.7008,0.00141306,0.00102,0.00149,0.00093,0.00228,0.00042,0.01038,0.00133,0.01403,0.00189,0.0011,0.0019,0.0024,0.00087,0.00079,0.01143,0.00573,0.01116,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,0.00130754,0.00121052,0.008581,0.00162983,0.00135457,0.00944063,0.9,6.6,0.8,5.8,0.451,0.092,0.309,0.02,DEH24_17975,-0.15200309344504995,2.722466024471091,-0.3219280948873623,2.5360529002402097,0.451,0.092,0.309,0.02
A0A359K825,3.0,3.0,8.969163895,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,18784.70331,################,18654.68595,23979.90603,44918.21569,29104.17467,276715.4422,################,913959.6696,66822.25209,80415.50434,23179.69507,29512.36485,70507.05118,15310.18253,228165.3328,153316.5625,920229.1923,0.00102194,0.00208,0.0005,0.00095,0.00207,0.00087,0.00506,0.00673,0.00786,0.00152,0.00343,0.001,0.0013,0.00288,0.00057,0.00459,0.00403,0.01155,Adenylosuccinate lyase OS=Alteromonas sp. OX=232 GN=DEH24_15900 PE=3 SV=1,0.00120259,0.0012956,0.0065525,0.00198209,0.00158483,0.00672078,1.1,5.4,0.8,3.4,0.282,0.017,0.028,0.127,DEH24_15900,0.13750352374993502,2.4329594072761065,-0.3219280948873623,1.765534746362977,0.282,0.017,0.028,0.127
A0A359K1Y4,2.0,2.0,7.929454565,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,289.7437528,1033.103362,674.6107031,347.2266408,73.11491422,760.9283727,3785.880421,677.5379933,30233.80817,752.4785084,887.6550949,885.6963641,220.2335929,817.0713781,922.0304409,1514.54426,5199.998297,175116.1356,1.58e-05,3.7e-05,1.8e-05,1.4e-05,3.4e-06,2.3e-05,6.9e-05,2e-05,0.00026,1.7e-05,3.8e-05,3.8e-05,9.7e-06,3.3e-05,3.4e-05,3e-05,0.00014,0.0022,Citrate synthase OS=Alteromonas sp. OX=232 GN=gltA PE=3 SV=1,2.36e-05,1.33e-05,0.0001163,3.11e-05,2.58e-05,0.00078833,0.6,4.9,0.8,25.4,0.236,0.177,0.02,0.197,,-0.7369655941662062,2.292781749227846,-0.3219280948873623,4.666756591884804,0.236,0.177,0.02,0.197
A0A359K9N3,2.0,2.0,5.350061893,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1,18483.07648,36652.10175,91193.20534,39768.91754,74561.96334,144465.8874,433400.0598,15807.61702,1681324.043,77726.60992,166889.138,87726.7787,38576.24742,188530.0304,80477.5356,449640.6963,39123.99277,1335425.931,0.00100553,0.00131,0.00246,0.00158,0.00343,0.0043,0.00792,0.00046,0.01447,0.00176,0.00712,0.00379,0.0017,0.0077,0.003,0.00904,0.00103,0.01676,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1,0.00159299,0.00310431,0.0076164,0.0042226,0.00413554,0.00894189,1.9,4.8,1.0,2.1,0.043,0.124,0.423,0.246,,0.925999418556223,2.263034405833794,0.0,1.070389327891398,0.043,0.124,0.423,0.246
A0A359K400,2.0,2.0,5.098778963,Uncharacterized protein OS=Alteromonas sp. OX=232 GN=DEH24_09265 PE=4 SV=1,10.94616031,7706.042328,1378.8538,0.014768719,564.4284787,2226.655225,25150.26524,17797.88603,48195.32671,0.0,451.9116763,622.554189,0.0,159.8694654,61.39056649,18895.18346,19411.54614,55254.85102,5.96e-07,0.00028,3.7e-05,5.9e-10,2.6e-05,6.6e-05,0.00046,0.00052,0.00041,0.0,1.9e-05,2.7e-05,0.0,6.5e-06,2.3e-06,0.00038,0.00051,0.00069,Uncharacterized protein OS=Alteromonas sp. OX=232 GN=DEH24_09265 PE=4 SV=1,0.0001045,3.07e-05,0.0004634,1.54e-05,2.94e-06,0.00052769,0.3,4.4,0.2,34.3,0.246,0.015,0.111,0.013,DEH24_09265,-1.7369655941662063,2.137503523749935,-2.321928094887362,5.1001366712854495,0.246,0.015,0.111,0.013
A0A359K020,2.0,2.0,6.852423191,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,19814.27811,68652.68977,20690.83001,19824.29035,26923.1653,38619.52832,238926.0739,210269.3187,891778.4196,25848.25949,64545.14714,10753.91002,22303.21012,42293.4834,19455.48012,212021.3356,239145.6728,623905.5989,0.00107795,0.00246,0.00056,0.00079,0.00124,0.00115,0.00437,0.00609,0.00767,0.00059,0.00275,0.00046,0.00098,0.00173,0.00073,0.00426,0.00628,0.00783,Adenylate kinase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02300 PE=3 SV=1,0.00136416,0.00105902,0.006045,0.00126778,0.00114607,0.00612422,0.8,4.4,0.9,4.8,0.309,0.031,0.407,0.03,DEH24_02300,-0.3219280948873623,2.137503523749935,-0.15200309344504995,2.263034405833794,0.309,0.031,0.407,0.03
A0A359KBF7,5.0,5.0,26.64926004,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,162139.8578,85694.4574,616117.9173,172012.8226,87059.36014,306135.2296,2867359.01,148445.4979,7456364.592,164207.9007,165792.8892,358305.8852,185238.8175,168178.657,221106.9007,2601504.9,343468.7333,4224456.237,0.00882082,0.00307,0.01664,0.00685,0.004,0.00911,0.05243,0.0043,0.06416,0.00373,0.00707,0.01547,0.00818,0.00687,0.00825,0.05228,0.00902,0.05302,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,0.00950741,0.00665505,0.0402957,0.00875453,0.00776546,0.03810886,0.7,4.2,0.9,4.4,0.185,0.087,0.399,0.086,,-0.5145731728297583,2.070389327891398,-0.15200309344504995,2.137503523749935,0.185,0.087,0.399,0.086
A0A359JZP2,3.0,3.0,11.24113417,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,36915.39198,121616.3293,47102.49321,43210.44858,19816.24835,61840.02931,624011.6266,420671.9368,732051.4809,48334.8838,24224.09801,54991.75801,27954.25456,21943.8313,41707.86367,132442.5088,274796.8362,52899.43928,0.00200829,0.00435,0.00127,0.00172,0.00091,0.00184,0.01141,0.01219,0.0063,0.0011,0.00103,0.00237,0.00123,0.0009,0.00156,0.00266,0.00722,0.00066,Chaperone protein DnaK OS=Alteromonas sp. OX=232 GN=dnaK PE=2 SV=1,0.00254352,0.00149083,0.0099663,0.00150122,0.00122879,0.00351421,0.6,3.9,0.8,2.3,0.239,0.014,0.219,0.236,,-0.7369655941662062,1.9634741239748859,-0.3219280948873623,1.2016338611696504,0.239,0.014,0.219,0.236
A0A359K0R4,2.0,2.0,7.115783691,Inorganic pyrophosphatase OS=Alteromonas sp. OX=232 GN=ppa PE=3 SV=1,21503.51387,83649.78775,74858.01724,15978.64314,19991.79639,107598.2214,351920.1029,55294.21145,1825698.416,50959.88312,25393.9057,54725.61244,10032.88171,21361.44717,68881.97679,538200.3212,357382.704,803853.4171,0.00116985,0.00299,0.00202,0.00064,0.00092,0.0032,0.00643,0.0016,0.01571,0.00116,0.00108,0.00236,0.00044,0.00087,0.00257,0.01082,0.00939,0.01009,Inorganic pyrophosphatase OS=Alteromonas sp. OX=232 GN=ppa PE=3 SV=1,0.00206114,0.00158623,0.0079152,0.00153388,0.00129491,0.01009726,0.8,3.8,0.8,6.6,0.332,0.156,0.232,0.002,,-0.3219280948873623,1.925999418556223,-0.3219280948873623,2.722466024471091,0.332,0.156,0.232,0.002
A0A359K334,2.0,2.0,7.728927255,Inosine-5'-monophosphate dehydrogenase OS=Alteromonas sp. OX=232 GN=guaB PE=3 SV=1,50104.6458,214530.8726,28694.6505,27879.66816,68146.31829,33996.10399,987877.3396,416944.3356,1310336.847,109674.8273,77634.19991,9773.672022,49118.07842,90469.47371,7401.595096,655721.0131,596833.2834,789453.7295,0.00272582,0.00767,0.00077,0.00111,0.00313,0.00101,0.01806,0.01208,0.01127,0.00249,0.00331,0.00042,0.00217,0.0037,0.00028,0.01318,0.01567,0.00991,Inosine-5'-monophosphate dehydrogenase OS=Alteromonas sp. OX=232 GN=guaB PE=3 SV=1,0.00372494,0.00175197,0.0138066,0.00207377,0.00204691,0.01292051,0.5,3.7,1.0,6.2,0.146,0.043,0.455,0.003,,-1.0,1.8875252707415875,0.0,2.6322682154995127,0.146,0.043,0.455,0.003
A0A359K7E3,2.0,2.0,6.630477905,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,7468.182507,72987.73075,9885.218215,7531.965201,2678.923469,8822.561234,201800.4631,238840.3759,126994.2692,6250.726425,6641.881941,4454.551882,1947.67457,2470.014374,7264.947835,160078.8181,197524.0114,136413.6063,0.00040629,0.00261,0.00027,0.0003,0.00012,0.00026,0.00369,0.00692,0.00109,0.00014,0.00028,0.00019,8.6e-05,0.0001,0.00027,0.00322,0.00519,0.00171,ATP-sulfurylase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11560 PE=3 SV=1,0.00109471,0.00022856,0.0039012,0.00020579,0.00015262,0.00337229,0.2,3.6,0.7,16.4,0.199,0.057,0.277,0.042,DEH24_11560,-2.321928094887362,1.84799690655495,-0.5145731728297583,4.035623909730721,0.199,0.057,0.277,0.042
A0A359K737,2.0,2.0,12.3800261,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,23919.67723,326189.9635,101118.3489,23175.45407,19145.39378,83510.83087,715808.8267,796667.0717,2010739.516,33881.77349,88324.06552,54746.99009,22571.04664,69100.96102,76091.06843,935575.0116,892885.9284,1219281.065,0.00130129,0.01167,0.00273,0.00092,0.00088,0.00249,0.01309,0.02309,0.0173,0.00077,0.00377,0.00236,0.001,0.00282,0.00284,0.0188,0.02345,0.0153,Chemotaxis protein CheW OS=Alteromonas sp. OX=232 GN=DEH24_14130 PE=4 SV=1,0.00523336,0.00142973,0.017825,0.00229959,0.00221915,0.01918533,0.3,3.4,1.0,8.3,0.195,0.003,0.436,0.007,DEH24_14130,-1.7369655941662063,1.765534746362977,0.0,3.0531113364595623,0.195,0.003,0.436,0.007
A0A359K9X1,4.0,4.0,11.92463684,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1,996.3799621,74123.37634,57520.64488,11925.13058,2615.953408,69741.42922,63812.35273,230400.5123,743778.8898,57.85925069,2276.172316,22796.48281,1815.209203,2841.401196,25576.90635,46951.99345,105438.1991,655050.8516,5.42e-05,0.00265,0.00155,0.00047,0.00012,0.00208,0.00117,0.00668,0.0064,1.3e-06,9.7e-05,0.00098,8e-05,0.00012,0.00095,0.00094,0.00277,0.00822,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1,0.00141963,0.00089041,0.0047476,0.00036082,0.00038339,0.00397822,0.6,3.3,1.1,11.0,0.325,0.049,0.274,0.097,DEH24_15880,-0.7369655941662062,1.722466024471091,0.13750352374993502,3.4594316186372973,0.325,0.049,0.274,0.097
A0A359JZI0,2.0,2.0,9.466167927,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,7371.693278,8632.11571,1314.899722,6079.655536,5456.985483,5557.042136,92555.86604,7976.338161,43313.57702,10776.85943,2053.596948,1271.916003,2363.285878,2454.884438,11764.45671,7228.649338,3471.469023,331503.5763,0.00040104,0.00031,3.6e-05,0.00024,0.00025,0.00017,0.00169,0.00023,0.00037,0.00024,8.8e-05,5.5e-05,0.0001,0.0001,0.00044,0.00015,9.1e-05,0.00416,50S ribosomal protein L20 (Fragment) OS=Alteromonas sp. OX=232 GN=rplT PE=4 SV=1,0.00024844,0.00021947,0.0007654,0.00012901,0.00021447,0.00146578,0.9,3.1,1.7,11.4,0.382,0.165,0.319,0.218,,-0.15200309344504995,1.632268215499513,0.765534746362977,3.5109619192773796,0.382,0.165,0.319,0.218
A0A359K0D0,7.0,7.0,37.81219745,TonB-dependent receptor OS=Alteromonas sp. OX=232 GN=DEH24_02850 PE=3 SV=1,111705.7453,231674.2778,114268.7573,147313.8708,243111.652,76463.10139,419864.533,178007.7652,4732044.703,318474.5289,297280.7864,77996.91995,132826.4972,244857.504,94858.27439,608721.0053,135776.4349,5788917.924,0.00607708,0.00829,0.00309,0.00586,0.01118,0.00228,0.00768,0.00516,0.04071,0.00723,0.01268,0.00337,0.00587,0.01,0.00354,0.01223,0.00357,0.07266,TonB-dependent receptor OS=Alteromonas sp. OX=232 GN=DEH24_02850 PE=3 SV=1,0.00581664,0.00644041,0.0178501,0.00775707,0.0064686,0.02948651,1.1,3.1,0.8,3.8,0.321,0.224,0.129,0.231,DEH24_02850,0.13750352374993502,1.632268215499513,-0.3219280948873623,1.925999418556223,0.321,0.224,0.129,0.231
A0A359K690,2.0,2.0,6.259749651,Isocitrase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_09340 PE=4 SV=1,151906.3628,################,688849.9078,58112.12063,127780.3961,729392.0402,4079914.153,1907291.934,4294455.877,282656.2206,131089.1193,80448.65232,160122.5673,70959.24818,108498.9963,3306417.549,2706558.205,1173239.855,0.00826409,0.03734,0.0186,0.00231,0.00588,0.02171,0.0746,0.05527,0.03695,0.00641,0.00559,0.00347,0.00707,0.0029,0.00405,0.06645,0.07108,0.01473,Isocitrase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_09340 PE=4 SV=1,0.02140092,0.00996792,0.055607,0.00515895,0.00467197,0.05075242,0.5,2.6,0.9,9.8,0.192,0.084,0.351,0.059,DEH24_09340,-1.0,1.3785116232537298,-0.15200309344504995,3.292781749227846,0.192,0.084,0.351,0.059
