 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SputW3181_2498,,9.3,4.1,0.0,0.44,0.01,0.03,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2498,locus_tag_ci: Locus tag
SputW3181_2499,,9.3,1.4,6.4,0.15,0.69,4.74,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2499,locus_tag_ci: Locus tag
SputW3181_2504,,14.0,5.4,17.6,0.39,1.26,3.26,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2504,locus_tag_ci: Locus tag
SputW3181_2512,,10.2,4.1,16.0,0.4,1.56,3.95,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2512,locus_tag_ci: Locus tag
SputW3181_2513,,16.7,5.4,0.0,0.32,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2513,locus_tag_ci: Locus tag
SputW3181_2517,,8.4,4.1,0.0,0.48,0.01,0.03,LambdaSo-like protein of unknown function DUF1317,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2517,locus_tag_ci: Locus tag
SputW3181_2518,,15.8,5.4,0.0,0.34,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2518,locus_tag_ci: Locus tag
SputW3181_2520,,7.4,1.4,20.8,0.18,2.8,15.41,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2520,locus_tag_ci: Locus tag
SputW3181_2521,,14.9,6.8,8.8,0.45,0.59,1.3,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2521,locus_tag_ci: Locus tag
SputW3181_2525,,13.0,4.1,12.8,0.31,0.98,3.16,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,,Sputw3181_2525,locus_tag_ci: Locus tag
SputW3181_3730,bpfA,54.9,129.7,201.0,2.36,3.66,1.55,biofilm-promoting protein BpfA,Cellular structures and extracellular matrix,Cell adhesion,BpfA adhesion system,Extracellular,,Sputw3181_3730,locus_tag_ci: Locus tag
SputW3181_1756,,27.9,104.0,50.4,3.73,1.81,0.49,invasin domain protein,Cellular structures and extracellular matrix,Cell adhesion,BpfA adhesion system,Extracellular Lipoprotein,,Sputw3181_1756,locus_tag_ci: Locus tag
SputW3181_3687,,14.0,78.3,14.4,5.61,1.03,0.18,bifunctional autotransporter / adhesin cadherin family,Cellular structures and extracellular matrix,Cell adhesion,BpfA adhesion system,Outer Membrane & Extracellular,,Sputw3181_3687,locus_tag_ci: Locus tag
SputW3181_3738,,59.5,270.1,76.9,4.54,1.29,0.28,bifunctional diguanylate cyclase/phosphodiesterase with GAF sensory domain,Regulatory functions,Small molecule interactions,BpfA adhesion system,Cytoplasm,,Sputw3181_3738,locus_tag_ci: Locus tag
SputW3181_3751,ilvA,689.5,240.4,851.9,0.35,1.24,3.54,threonine dehydratase IlvA,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,ArgR,Sputw3181_3751,tier1:Gene abbreviation
SputW3181_3755,ilvC,693.2,244.5,427.6,0.35,0.62,1.75,ketol-acid reductoisomerase IlvC,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,IlvY,Sputw3181_3755,tier1:Gene abbreviation
SputW3181_3752,ilvD,560.1,210.7,835.9,0.38,1.49,3.97,dihydroxy-acid dehydratase IlvD,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,ArgR,Sputw3181_3752,tier1:Gene abbreviation
SputW3181_1872,ilvH,791.8,279.6,96.9,0.35,0.12,0.35,acetolactate synthase III small subunit IlvH,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,MetR,Sputw3181_1872,locus_tag_ci: Locus tag
SputW3181_1873,ilvI,857.0,263.4,104.1,0.31,0.12,0.4,acetolactate synthase III large subunit IlvI,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosyntheiss,Cytoplasm,MetR,Sputw3181_1873,locus_tag_ci: Locus tag
SputW3181_2612,tig,156.3,313.4,530.1,2.0,3.39,1.69,trigger factor peptidyl-prolyl cis-trans isomerase Tig,Protein fate,Protein folding and stabilization,Cell division,Cytoplasm,,Sputw3181_2612,tier1:Gene abbreviation
SputW3181_0032,aroE,84.7,16.2,52.0,0.19,0.61,3.21,shikimate 5-dehydrogenase AroE,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,,Sputw3181_0032,tier1:Gene abbreviation
SputW3181_2992,aroF,55.8,121.6,15.2,2.18,0.27,0.13,phospho-2-dehydro-3-deoxyheptonate aldolase tyr-sensitive AroF,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,TrpR,Sputw3181_2992,locus_tag_ci: Locus tag
SputW3181_2987,pheA,76.3,23.0,36.0,0.3,0.47,1.57,multifunctional chorismate mutase P/prephenate dehydratase/DAHP synthetase PheA,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,,Sputw3181_2987,locus_tag_ci: Locus tag
SputW3181_2991,tyrA,82.8,198.6,53.6,2.4,0.65,0.27,bifunctional chorismate mutase T/prephenate dehydrogenase TyrA,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,TrpR,Sputw3181_2991,tier1:Gene abbreviation
SputW3181_0985,btuC,103.3,39.2,36.0,0.38,0.35,0.92,ABC-type cobalamin uptake system permease component BtuC,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane (10 transmembrane spans),,Sputw3181_0985,locus_tag_ci: Locus tag
SputW3181_0984,btuD,72.6,21.6,7.2,0.3,0.1,0.33,ABC-type cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,Sputw3181_0984,locus_tag_ci: Locus tag
SputW3181_0983,cobC,85.6,16.2,4.0,0.19,0.05,0.25,alpha-ribazole-5-phosphate phosphatase CobC,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,Sputw3181_0983,locus_tag_ci: Locus tag
SputW3181_0987,cobS,214.0,104.0,78.5,0.49,0.37,0.75,cobalamin 5-phosphate synthase CobS,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Inner Membrane (7 transmembrane spans),,Sputw3181_0987,locus_tag_ci: Locus tag
SputW3181_0986,cobT,160.0,67.5,68.1,0.42,0.43,1.01,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase CobT,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,Sputw3181_0986,tier1:Gene abbreviation
SputW3181_3640,,5.6,2.7,12.0,0.48,2.15,4.45,bifunctional deaminase-reductase domain protein,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD",Cofactor folate (B9) biosynthesis and salvage,Cytoplasm,,Sputw3181_3640,locus_tag_ci: Locus tag
SputW3181_1139,htdT,50.2,14.9,29.6,0.3,0.59,1.99,IncJ-type conjugative transfer system disulfide bond isomerase HtdT,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Periplasm,,Sputw3181_1139,locus_tag_ci: Locus tag
SputW3181_1107,traB,26.1,8.1,4.8,0.31,0.18,0.59,IncJ-type conjugative transfer system assembly protein TraB,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (1 transmembrane span),,Sputw3181_1107,locus_tag_ci: Locus tag
SputW3181_1140,traC,27.9,9.5,6.4,0.34,0.23,0.68,IncJ-type conjugative transfer system protein TraC,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,Sputw3181_1140,tier1:Gene abbreviation
SputW3181_1099,traD,13.0,5.4,1.6,0.41,0.12,0.3,IncJ-type conugative system coupling protein TraD,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (2 transmembrane spans),,Sputw3181_1099,tier1:Gene abbreviation
SputW3181_1105,traE,32.6,12.2,16.0,0.37,0.49,1.32,IncJ-type conjugative transfer system assembly protein TraE,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Periplasm,,Sputw3181_1105,locus_tag_ci: Locus tag
SputW3181_1142,traF,16.7,6.8,12.8,0.4,0.76,1.9,IncJ-type conjugative transfer system signal peptidase TraF,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (1 transmembrane span),,Sputw3181_1142,locus_tag_ci: Locus tag
SputW3181_1106,traK,27.9,9.5,11.2,0.34,0.4,1.19,IncJ-type conjugative transfer system secretin TraK,Transport and binding proteins,Porins and secretins,Conjugation,Outer Membrane,,Sputw3181_1106,locus_tag_ci: Locus tag
SputW3181_1104,traL,42.8,14.9,24.0,0.35,0.56,1.62,IncJ-type conjugative transfer system assembly protein TraL,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (1 transmembrane span),,Sputw3181_1104,tier1:Gene abbreviation
SputW3181_1145,traN,12.1,5.4,4.8,0.45,0.4,0.89,IncJ-type conjugative transfer system mating pair stabilization protein TraN,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Outer Membrane,,Sputw3181_1145,tier1:Gene abbreviation
SputW3181_1144,traU,14.0,6.8,3.2,0.48,0.23,0.47,IncJ-type conjugative transfer system protein TraU,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Periplasm,,Sputw3181_1144,locus_tag_ci: Locus tag
SputW3181_1100,,6.5,1.4,5.6,0.21,0.86,4.15,IncJ-type conjugative system protein 234,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,Sputw3181_1100,locus_tag_ci: Locus tag
SputW3181_1101,,11.2,5.4,0.0,0.48,0.01,0.02,IncJ-type integrating conjugative element protein PFL4697-type,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (4 transmembrane spans),,Sputw3181_1101,locus_tag_ci: Locus tag
SputW3181_1141,,24.2,9.5,29.6,0.39,1.22,3.13,IncJ-type conjugative transfer system protein 345,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (1 transmembrane span),,Sputw3181_1141,locus_tag_ci: Locus tag
SputW3181_1173,traF,8.4,4.1,14.4,0.48,1.72,3.56,IncJ-type conjugative transfer system assembly protein TraF,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Periplasm,,Sputw3181_1173,locus_tag_ci: Locus tag
SputW3181_1175,traG,11.2,5.4,2.4,0.48,0.22,0.44,IncJ-type conjugative transfer system assembly protein TraG,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Inner Membrane (2 transmembrane spans),,Sputw3181_1175,locus_tag_ci: Locus tag
SputW3181_1174,traH,14.9,6.8,2.4,0.45,0.16,0.36,IncJ-type conjugative transfer system assembly protein TraH,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Outer Membrane,,Sputw3181_1174,locus_tag_ci: Locus tag
SputW3181_1481,nlpE,133.1,32.4,61.7,0.24,0.46,1.9,Cpx pathway activator NlpE,Regulatory functions,Protein interactions,Cpx pathway envelope stress response,Outer Membrane Lipoprotein,,Sputw3181_1481,locus_tag_ci: Locus tag
SputW3181_1480,,23.3,4.1,0.0,0.17,0.01,0.03,hypothetical protein,Unknown function,General,Cpx pathway envelope stress response (same operon),Cytoplasm,,Sputw3181_1480,locus_tag_ci: Locus tag
SputW3181_2190,cas3,14.0,37.8,10.4,2.71,0.75,0.28,CRISPR type I-F/YPEST-associated helicase Cas3,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,,Sputw3181_2190,locus_tag_ci: Locus tag
SputW3181_0807,csgA,16.7,663.2,36.8,39.6,2.2,0.06,major curlin subunit CsgA,Cell envelope,Surface structures,Curli amyloid fibers,Surface structure,,Sputw3181_0807,locus_tag_ci: Locus tag
SputW3181_0808,csgB,4.7,216.1,0.0,46.45,0.03,0.0,minor curlin subunit CsgB,Cell envelope,Surface structures,Curli amyloid fibers,Surface structure,,Sputw3181_0808,locus_tag_ci: Locus tag
SputW3181_0806,csgD,19.5,95.9,27.2,4.91,1.39,0.28,transcriptional activator of curli operon CsgD,Regulatory functions,DNA interactions,Curli amyloid fibers,Cytoplasm,,Sputw3181_0806,locus_tag_ci: Locus tag
SputW3181_0961,csgE,3.7,114.8,0.0,30.85,0.03,0.0,curli secretion apparatus substrate specificity factor CsgE,Protein fate,Protein and peptide secretion and trafficking,Curli amyloid fibers,Periplasm,,Sputw3181_0961,locus_tag_ci: Locus tag
SputW3181_0962,csgF,2.8,66.2,0.0,23.71,0.04,0.0,curli secretion system chaperone CsgF,Protein fate,Protein and peptide secretion and trafficking,Curli amyloid fibers,Outer Membrane,,Sputw3181_0962,locus_tag_ci: Locus tag
SputW3181_0963,csgG,2.8,44.6,4.0,15.97,1.43,0.09,curli secretion system secretin CsgG,Transport and binding proteins,Porins and secretins,Curli amyloid fibers,Outer Membrane Lipoprotein,,Sputw3181_0963,locus_tag_ci: Locus tag
SputW3181_3155,rstA,47.5,21.6,48.0,0.46,1.01,2.22,two component signal transduction system controlling curli production response regulator RstA,Signal transduction,Two-component systems,Curli amyloid fibers,Cytoplasm,,Sputw3181_3155,locus_tag_ci: Locus tag
SputW3181_0575,sirF,0.9,0.0,16.0,0.13,17.21,130.2,cytochrome c maturation system haem lyase subunit SirF,Protein fate,Protein modification and repair,Cytochrome c biogenesis,Inner Membrane (1 transmembrane span),,Sputw3181_0575,locus_tag_ci: Locus tag
SputW3181_3918,cusF,11.2,4.1,65.7,0.36,5.88,16.2,copper efflux pump periplasmic metallochaperone CusF,Cellular processes,Non-protein molecular trafficking,Detoxification - heavy metals,Periplasm,,Sputw3181_3918,locus_tag_ci: Locus tag
SputW3181_2593,comEA,77.2,329.6,53.6,4.27,0.69,0.16,DNA competence protein ComEA,Cellular processes,DNA transformation,DNA competence,Periplasm,,Sputw3181_2593,locus_tag_ci: Locus tag
SputW3181_2400,exeS,5.6,13.5,10.4,2.42,1.86,0.77,extracellular nuclease ExeS,DNA metabolism,Degradation of DNA,DNA degradation,Extracelllular,,Sputw3181_2400,locus_tag_ci: Locus tag
SputW3181_2088,yqfA,7.4,16.2,190.6,2.18,25.6,11.76,hemolysin III family channel protein YqfA,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (7 transmembrane spans),FabR,Sputw3181_2088,locus_tag_ci: Locus tag
SputW3181_0301,,13.0,27.0,3.2,2.07,0.25,0.12,acyltransferase family protein,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (1 transmembrane span),,Sputw3181_0301,locus_tag_ci: Locus tag
SputW3181_1978,acdS,107.9,44.6,295.5,0.41,2.74,6.63,butyryl-CoA dehydrogenase AcdS,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA,Sputw3181_1978,locus_tag_ci: Locus tag
SputW3181_0012,fadA,116.3,37.8,318.7,0.33,2.74,8.43,aerobic fatty oxidation complex 3-ketoacyl-CoA thiolase beta subunit FadA,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA and Crp,Sputw3181_0012,tier1:Gene abbreviation
SputW3181_0013,fadB,115.4,39.2,414.0,0.34,3.59,10.57,aerobic fatty oxidation complex 3-hydroxyacyl-CoA epimerase alpha subunit FadB,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA and Crp,Sputw3181_0013,tier1:Gene abbreviation
SputW3181_2146,fadE1,289.4,128.3,580.5,0.44,2.01,4.52,acyl-CoA dehydrogenase FadE1,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Inner Membrane (1 transmembrane span),PsrA,Sputw3181_2146,locus_tag_ci: Locus tag
SputW3181_2234,fadE2,243.8,75.6,331.5,0.31,1.36,4.38,acyl-CoA dehydrogenase FadE2,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Inner Membrane (2 transmembrane spans),PsrA,Sputw3181_2234,locus_tag_ci: Locus tag
SputW3181_1935,fadH,46.5,16.2,72.9,0.35,1.57,4.5,NADP-dependent 24-dienoyl-CoA reductase FadH,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,PsrA,Sputw3181_1935,locus_tag_ci: Locus tag
SputW3181_1548,fadI,65.1,28.4,112.9,0.44,1.73,3.98,anaerobic fatty oxidation complex beta subunit FadI,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,FadR and PsrA,Sputw3181_1548,tier1:Gene abbreviation
SputW3181_1549,fadJ,95.8,39.2,88.9,0.41,0.93,2.27,anaerobic fatty oxidation complex alpha subunit FadJ,Fatty acid and phospholipid metabolism,Degradation,Fatty acid degradation,Cytoplasm,FadR and PsrA,Sputw3181_1549,tier1:Gene abbreviation
SputW3181_2147,psrA,203.8,87.8,562.9,0.43,2.76,6.41,transcriptional repressor of fatty acid degradation PsrA,Regulatory functions,DNA interactions,Fatty acid degradation,Cytoplasm,PsrA,Sputw3181_2147,locus_tag_ci: Locus tag
SputW3181_1538,,18.6,5.4,17.6,0.29,0.95,3.26,outer membrane long-chain fatty acid receptor FadL family,Transport and binding proteins,Porins and secretins,Fatty acid degradation,Outer Membrane,FabR and FadR,Sputw3181_1538,locus_tag_ci: Locus tag
SputW3181_3804,ygbA,74.4,33.8,68.1,0.45,0.91,2.02,nitrosative stress induced protein YgbA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,IscR,Sputw3181_3804,locus_tag_ci: Locus tag
