 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_2231,adaA,36.3,24.3,16.0,0.67,0.44,0.66,O-6-methylguanine-DNA-alkyltransferase AdaA,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,,,,unresolved
SputW3181_2860,adhB,42.8,113.5,14.4,2.65,0.34,0.13,alcohol dehydrogenase II AdhB,Energy metabolism,Glycolysis/gluconeogenesis,,Cytoplasm,HexR,,,unresolved
SputW3181_1711,adk,233.5,364.7,710.2,1.56,3.04,1.95,adenylate kinase Adk,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide and nucleoside interconversions,,Cytoplasm,,,,unresolved
SputW3181_1252,aguA,10.2,8.1,40.0,0.79,3.91,4.94,agmatine deiminase AguA,Central intermediary metabolism,Amino acids and amines,,Cytoplasm,,,,unresolved
SputW3181_1999,ald,232.6,771.3,554.9,3.32,2.39,0.72,alanine dehydrogenase Ald,Central intermediary metabolism,Amino acids and amines,,Cytoplasm,,,,unresolved
SputW3181_2642,altA,5.6,6.8,0.0,1.21,0.02,0.02,transcriptional regulator AltA,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_0524,ampE,62.3,45.9,28.0,0.74,0.45,0.61,AmpD signaling modulator AmpE,Regulatory functions,Protein interactions,Peptidoglycan biosynthesis,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_3230,apbE,69.8,68.9,32.8,0.99,0.47,0.48,Mg-dependent flavin transferase ApbE,Protein fate,Protein modification and repair,,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_3080,aptA,6.5,5.4,20.0,0.83,3.07,3.71,beta-alanine-pyruvate transaminase AptA,Central intermediary metabolism,General,Pyruvate-alanine-serine interconversions,Cytoplasm,,,,unresolved
SputW3181_1950,araC,6.5,8.1,1.6,1.24,0.25,0.2,L-arabonate dehydratase AraC,Central intermediary metabolism,Sugars,Arabinose degradation,Cytoplasm,,,,unresolved
SputW3181_1952,araM,7.4,13.5,3.2,1.81,0.43,0.24,L-arabinose-specific 1-epimerase (mutarotase) AraM,Central intermediary metabolism,Sugars,Arabinose degradation,Cytoplasm,,,,unresolved
SputW3181_1955,araW,3.7,4.1,8.8,1.09,2.37,2.17,ABC-type L-arabinose uptake system permease component 1 AraW,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Arabinose degradation,Inner Membrane (9 transmembrane spans),,,,unresolved
SputW3181_1947,araX,8.4,12.2,28.0,1.45,3.35,2.31,phosphoglucomutase family hydrolase in arabinose utilization locus AraX,Central intermediary metabolism,Sugars,Arabinose degradation,Cytoplasm,,,,unresolved
SputW3181_0089,arcD,44.7,5.4,0.0,0.12,0.0,0.02,arginine:ornithine antiporter ArcD,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (12 transmembrane spans),MetJ,,,unresolved
SputW3181_3858,argF,250.3,368.7,113.7,1.47,0.45,0.31,ornithine carbamoyltransferase ArgF,Amino acid biosynthesis,Glutamate family,Arginine metabolism,Cytoplasm,ArgR,,,unresolved
SputW3181_3857,argG,336.8,432.2,168.1,1.28,0.5,0.39,argininosuccinate synthase ArgG,Amino acid biosynthesis,Glutamate family,Arginine metabolism,Cytoplasm,ArgR,,,unresolved
SputW3181_2327,argP,1.9,1.4,7.2,0.73,3.87,5.34,arginine/lysine-responsive transcriptional regulator ArgP,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_1969,aroA,54.9,60.8,246.6,1.11,4.49,4.06,3-phosphoshikimate 1-carboxyvinyltransferase AroA,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,TyrR,,,unresolved
SputW3181_2992,aroF,55.8,121.6,15.2,2.18,0.27,0.13,phospho-2-dehydro-3-deoxyheptonate aldolase tyr-sensitive AroF,Amino acid biosynthesis,Aromatic amino acid family,Chorismate biosynthesis,Cytoplasm,TrpR,,,unresolved
SputW3181_2945,arrB,6.5,9.5,0.0,1.45,0.02,0.01,respiratory arsenate reductase FeS subunit ArrB,Energy metabolism,Electron transport,Electron transfer - Arsenate,Periplasm,,,,unresolved
SputW3181_2927,arsC,50.2,64.8,24.0,1.29,0.48,0.37,thioredoxin-dependent arsenate reductase ArsC,Cellular processes,Detoxification,Detoxification - Arsenate,Cytoplasm,,,,unresolved
SputW3181_2331,arsC,11.2,10.8,39.2,0.97,3.51,3.63,glutaredoxin-dependent arsenate reductase ArsC,Cellular processes,Detoxification,Detoxification - Arsenate,Cytoplasm,,,,unresolved
SputW3181_1565,asd,1214.3,347.1,422.8,0.29,0.35,1.22,aspartate semialdehyde dehydrogenese Asd,Amino acid biosynthesis,Aspartate family,Lysine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_3340,asnC,10.2,16.2,48.0,1.58,4.69,2.96,asparagine-responsive transcriptional regulator AsnC,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_2222,asnS,134.0,114.8,299.5,0.86,2.24,2.61,asparaginyl-tRNA synthetase AsnS,Protein synthesis,tRNA aminoacylation,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_4058,atpE,392.7,360.6,880.0,0.92,2.24,2.44,ATP synthase F0 C subunit AtpE,Energy metabolism,ATP-proton motive force interconversion,ATP-proton motive force interconversion,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0799,attE,100.5,28.4,25.6,0.28,0.25,0.9,ABC-type export system ATPase component AttE,Transport and binding proteins,Unknown substrate,,Cytoplasm,,,,unresolved
SputW3181_0798,attFG,51.2,14.9,25.6,0.29,0.5,1.72,ABC-type export system permease component AttFG,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_0797,attH,51.2,17.6,19.2,0.34,0.38,1.09,hydroxyneurosporene synthase AttH,Unknown function,Enzymes of unknown specificity,,Extracelllular,,,,unresolved
SputW3181_3148,azr,16.7,8.1,0.0,0.48,0.01,0.02,NADPH-dependent azoreductase Azr,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,AzR,,,unresolved
SputW3181_2481,B,50.2,21.6,18.4,0.43,0.37,0.85,LambdaSo-like portal protein B,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Bacteriophage,,,,unresolved
SputW3181_2873,bamE,105.1,245.8,236.2,2.34,2.25,0.96,beta barrel protein translocation component BamE,Protein fate,Protein and peptide secretion and trafficking,Outer membrane protein trafficking,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_3809,bauC,7.4,8.1,3.2,1.09,0.43,0.4,ABC-type catecholate ferric siderophore uptake system permease component 1 BauC,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (8 transmembrane spans),Fur,,,unresolved
SputW3181_2325,bcp,464.3,170.2,191.4,0.37,0.41,1.12,thioredoxin-dependent thiol peroxidase Bcp,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_0279,benE,2.8,4.1,8.0,1.45,2.87,1.98,benzoate:protein symporter BenE,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_3471,bfe,7.4,6.8,34.4,0.91,4.63,5.1,flavin adenine dinucleotide (FAD) exporter Bfe,Transport and binding proteins,Cofactors and prosthetic groups,Riboflavin,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_1662,bioA,6.5,6.8,32.8,1.04,5.04,4.86,adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Biotin,Biotin (B7) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0267,bipA,54.0,78.3,256.2,1.45,4.75,3.27,GTP-binding protein BipA,Regulatory functions,General,,Cytoplasm,,,,unresolved
SputW3181_0786,blaA,20.5,6.8,109.7,0.33,5.36,16.24,class D carbapenem-hydrolyzing beta-lactamase BlaA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Periplasm,,,,unresolved
SputW3181_3730,bpfA,54.9,129.7,201.0,2.36,3.66,1.55,biofilm-promoting protein BpfA,Cellular structures and extracellular matrix,Cell adhesion,BpfA adhesion system,Extracellular,,,,unresolved
SputW3181_1784,bpt,27.0,17.6,4.0,0.65,0.15,0.23,leucyl-tRNA-protein transferase Bpt,Protein synthesis,tRNA biogenesis,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_0767,btuB,76.3,40.5,28.0,0.53,0.37,0.69,TonB-dependent vitamin B12 receptor BtuB,Transport and binding proteins,Porins and secretins,Cobalamin (B12) biosynthesis and salvage,Outer Membrane,MetJ,,,unresolved
SputW3181_0985,btuC,103.3,39.2,36.0,0.38,0.35,0.92,ABC-type cobalamin uptake system permease component BtuC,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_0984,btuD,72.6,21.6,7.2,0.3,0.1,0.33,ABC-type cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0964,calR,14.9,12.2,0.0,0.82,0.01,0.01,transcriptional repressor of aromatic compound utilization CalR,Regulatory functions,DNA interactions,aromatic compound degradation,Cytoplasm,CalR and Crp,,,unresolved
SputW3181_1885,can,26.1,36.5,94.5,1.4,3.63,2.59,beta-class carbonic anhydrase Can,Central intermediary metabolism,General,,Cytoplasm,,,,unresolved
SputW3181_1002,carA,49.3,78.3,287.5,1.59,5.83,3.67,carbamoyl-phosphate synthase small subunit CarA,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,Pyrimidine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_1003,carB,93.0,170.2,220.2,1.83,2.37,1.29,carbamoyl-phosphate synthase large subunit CarB,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,Pyrimidine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_2050,ccoH,26.1,17.6,6.4,0.67,0.25,0.36,Cbb3-type cytochrome oxidase assembly protein CcoH,Energy metabolism,Electron transport,High affinity O2 respiratory system,Inner Membrane (1 transmembrane span),NhaR,,,unresolved
SputW3181_2750,cdsA,109.8,91.8,52.0,0.84,0.47,0.57,phosphatidate cytidylyltransferase CdsA,Fatty acid and phospholipid metabolism,Biosynthesis,glycophospholipid metabolism,Inner Membrane (8 transmembrane spans),,,,unresolved
SputW3181_1303,cfaS,560.1,135.1,120.1,0.24,0.21,0.89,cyclopropane-fatty-acyl-phospholipid synthase CfaS,Fatty acid and phospholipid metabolism,Biosynthesis,Oxidative stress - singlet oxygen,Cytoplasm,,,,unresolved
SputW3181_2031,chrR,66.1,52.7,20.0,0.8,0.3,0.38,anti-ECF sigma factor,Regulatory functions,Protein interactions,,Cytoplasm,,,,unresolved
SputW3181_1685,chrR,270.8,75.6,111.3,0.28,0.41,1.47,anti-ECFsigma factor ChrR,Regulatory functions,Protein interactions,Singlet oxygen stress,Cytoplasm,,,,unresolved
SputW3181_3141,clpB,174.9,168.8,70.5,0.97,0.4,0.42,stress-induced multi-chaperone system component ClpB,Protein fate,Protein folding and stabilization,,Cytoplasm,,,,unresolved
SputW3181_2076,cmoB,35.4,20.3,16.8,0.57,0.48,0.83,tRNA (5-methoxyuridine) 34 synthase CmoD,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_1746,cobB,24.2,47.3,56.0,1.95,2.32,1.19,deacetylase of acetyl-CoA synthetase NAD-dependent CobB,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamine (B12) biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0983,cobC,85.6,16.2,4.0,0.19,0.05,0.25,alpha-ribazole-5-phosphate phosphatase CobC,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0989,cobQ,23.3,13.5,8.0,0.58,0.34,0.59,cobyric acid synthase CobQ,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0987,cobS,214.0,104.0,78.5,0.49,0.37,0.75,cobalamin 5-phosphate synthase CobS,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Inner Membrane (7 transmembrane spans),,,,unresolved
SputW3181_0986,cobT,160.0,67.5,68.1,0.42,0.43,1.01,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase CobT,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0988,cobU,120.0,63.5,56.0,0.53,0.47,0.88,bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase CobU,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0218,cpxP,19.5,12.2,41.6,0.62,2.13,3.43,periplasmic stress adaptor protein CpxP,Regulatory functions,General,Cpx pathway envelope stress response,Periplasm,,,,unresolved
SputW3181_0217,cpxR,14.0,14.9,4.8,1.06,0.34,0.32,periplasmic stress-responsive two component signal transduction system response regulator CpxR,Signal transduction,Two-component systems,Cpx pathway envelope stress response,Cytoplasm,,,,unresolved
SputW3181_2004,crcB,236.3,228.3,100.9,0.97,0.43,0.44,camphor resistance protein CrcB,Unknown function,General,,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_2290,creA,27.0,39.2,6.4,1.45,0.24,0.16,lipoprotein CreA,Unknown function,General,,Inner Membrane Lipoprotein,,,,unresolved
SputW3181_2506,cro,15.8,21.6,56.9,1.37,3.59,2.63,LambdaSo-like transcriptional repressor of early genes Cro,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_0807,csgA,16.7,663.2,36.8,39.6,2.2,0.06,major curlin subunit CsgA,Cell envelope,Surface structures,Curli amyloid fibers,Surface structure,,,,unresolved
SputW3181_0808,csgB,4.7,216.1,0.0,46.45,0.03,0.0,minor curlin subunit CsgB,Cell envelope,Surface structures,Curli amyloid fibers,Surface structure,,,,unresolved
SputW3181_0961,csgE,3.7,114.8,0.0,30.85,0.03,0.0,curli secretion apparatus substrate specificity factor CsgE,Protein fate,Protein and peptide secretion and trafficking,Curli amyloid fibers,Periplasm,,,,unresolved
SputW3181_0962,csgF,2.8,66.2,0.0,23.71,0.04,0.0,curli secretion system chaperone CsgF,Protein fate,Protein and peptide secretion and trafficking,Curli amyloid fibers,Outer Membrane,,,,unresolved
SputW3181_1780,cspD,909.1,7138.5,3956.3,7.85,4.35,0.55,DNA-binding cold shock protein CspD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - cold shock,Cytoplasm,,,,unresolved
SputW3181_2552,cstA,8.4,5.4,35.2,0.65,4.21,6.52,carbon starvation protein A CstA,Transport and binding proteins,"Amino acids, peptides and amines",,Inner Membrane (13 transmembrane spans),,,,unresolved
SputW3181_0127,ctaA,9.3,20.3,28.0,2.18,3.01,1.38,heme A synthase CtaA,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (8 transmembrane spans),,,,unresolved
SputW3181_0131,ctaG,85.6,202.6,24.0,2.37,0.28,0.12,aa3 type cytochrome c oxidase assembly protein CtaG,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (1 transmembrane span),Crp,,,unresolved
SputW3181_2694,cueR,19.5,13.5,0.0,0.69,0.01,0.01,copper-responsive transcriptional regulator of CopA copper exporter CueR,Regulatory functions,DNA interactions,Copper homeostasis,Cytoplasm,CueR,,,unresolved
SputW3181_3920,cusA,9.3,8.1,31.2,0.87,3.36,3.85,copper/silver efflux pump permease component CusA,Transport and binding proteins,Toxic compound efflux,Metal homeostasis,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_3918,cusF,11.2,4.1,65.7,0.36,5.88,16.2,copper efflux pump periplasmic metallochaperone CusF,Cellular processes,Non-protein molecular trafficking,Detoxification - heavy metals,Periplasm,,,,unresolved
SputW3181_1570,cvpA,43.7,51.3,140.9,1.17,3.22,2.75,colicin V production protein CvpA,Cellular processes,Toxin production and resistance,Toxin production - colicin,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0840,cyaB,27.9,32.4,63.3,1.16,2.27,1.95,cytoplasmic adenylate cyclase CyaB,Regulatory functions,Small molecule interactions,,Cytoplasm,Crp,,,unresolved
SputW3181_0092,cyoD,3.7,5.4,0.0,1.45,0.03,0.02,cytochrome bo3 ubiquinol oxidase subunit IV CyoD,Energy metabolism,Electron transport,O2 respiration,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_0091,cyoE,72.6,105.4,36.0,1.45,0.5,0.34,protoheme IX farnesyltransferase CyoE,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Inner Membrane (9 transmembrane spans),,,,unresolved
SputW3181_1760,cysB,76.3,104.0,182.6,1.36,2.39,1.76,transcriptional activator of cys regulon CysB,Regulatory functions,DNA interactions,Cysteine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0905,cysC,36.3,33.8,4.8,0.93,0.13,0.14,adenylylsulfate kinase CysC,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_0901,cysG,32.6,86.4,12.0,2.65,0.37,0.14,uroporphyrin-III C-methyltransferase CysG,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0883,cysH,102.4,122.9,25.6,1.2,0.25,0.21,phosphoadenylyl-sulfate reductase thioredoxin-dependent CysH,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_0882,cysI,62.3,101.3,20.0,1.62,0.32,0.2,sulfite reductase (NADPH) siroheme FeS subunit CysI,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_3685,cysQ,140.5,98.6,67.3,0.7,0.48,0.68,3'(2')5'-bisphosphate nucleotidase CysQ,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_3441,cysT,73.5,62.1,16.0,0.85,0.22,0.26,ABC-type sulfate/thiosulfate uptake system permease component 1 CysT,Transport and binding proteins,Anions,,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_3442,cysW,10.2,18.9,0.0,1.85,0.01,0.01,ABC-type sulfate/thiosulfate uptake system permease component 2 CysW,Transport and binding proteins,Anions,,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1979,dacB,15.8,18.9,6.4,1.2,0.4,0.34,D-alanyl-D-alanine carboxypeptidase DacB,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan degradation,Periplasm,,,,unresolved
SputW3181_2522,dam,17.7,5.4,3.2,0.31,0.18,0.59,LambdaSo-like type II restriction-modification system DNA N-6-adenine-methyltransferase Dam,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage; LambdaSo-like,Cytoplasm,,,,unresolved
SputW3181_3845,damX,53.0,44.6,21.6,0.84,0.41,0.49,cell division protein DamX,Cellular processes,Cell division,Cell division,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_1504,dctD,35.4,29.7,16.8,0.84,0.48,0.57,C4-dicarboxylate-responsive two component Sigma54-dependent signal transduction system response regulator DctD,Signal transduction,Two-component systems,,Cytoplasm,,,,unresolved
SputW3181_1508,dctP,27.0,25.7,197.8,0.95,7.33,7.71,TRAP-type C4-dicarboxylate:H+ symport system substrate-binding component DctP,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",,Periplasm,,,,unresolved
SputW3181_1507,dctQ,18.6,13.5,64.1,0.73,3.44,4.74,TRAP-type C4-dicarboxylate:H+ symport system small permease component DctQ,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_2230,def,31.6,45.9,181.8,1.45,5.75,3.96,peptide deformylase Def,Protein fate,Protein modification and repair,,Cytoplasm,,,,unresolved
SputW3181_1189,deoC,30.7,41.9,75.3,1.36,2.45,1.8,deoxyribose-phosphate aldolase DeoC,"Purines, pyrimidines, nucleosides, and nucleotides",General,Pyrimidine degradation,Cytoplasm,,,,unresolved
SputW3181_2368,deoD,4.7,1.4,9.6,0.29,2.07,7.11,purine nucleoside phosphorylase DeoD,"Purines, pyrimidines, nucleosides, and nucleotides",Salvage of nucleosides and nucleotides,,Cytoplasm,,,,unresolved
SputW3181_2366,deoR,13.0,21.6,29.6,1.66,2.27,1.37,nucleoside-responsive transcriptional activator of nucleoside utilization DeoR,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_2278,dgkA,5.6,9.5,36.8,1.69,6.6,3.9,diacylglycerol kinase DgkA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,glycophospholipid metabolism,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0209,dhc,12.1,5.4,36.0,0.45,2.98,6.67,diheme cytochrome c Dhc,Energy metabolism,Electron transport,,Periplasm,,,,unresolved
SputW3181_0123,dinF,7.4,6.8,0.0,0.91,0.02,0.02,DNA damage-inducible multidrug and toxin efflux protein DinF,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_0815,dksA,202.8,494.4,605.3,2.44,2.98,1.22,RNA polymerase-binding protein DksA,Transcription,Transcription factors,,Cytoplasm,,,,unresolved
SputW3181_2835,dld,468.0,125.6,109.7,0.27,0.23,0.87,respiratory FAD-dependent D-lactate dehydrogenase Dld,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,,,,unresolved
SputW3181_3059,dnaG,66.1,106.7,160.9,1.62,2.44,1.51,DNA primase DnaG,DNA metabolism,"DNA replication, recombination, and repair",DNA replication,Cytoplasm,,,,unresolved
SputW3181_0977,dnaJ,492.2,516.0,124.1,1.05,0.25,0.24,chaperone protein DnaJ,Protein fate,Protein folding and stabilization,,Cytoplasm,,,,unresolved
SputW3181_0976,dnaK,522.9,648.3,193.0,1.24,0.37,0.3,chaperone protein DnaK,Protein fate,Protein folding and stabilization,,Cytoplasm,,,,unresolved
SputW3181_2245,dnaQ,22.3,24.3,70.5,1.09,3.16,2.9,DNA polymerase III epsilon subunit DnaQ,DNA metabolism,"DNA replication, recombination, and repair",DNA replication,Cytoplasm,,,,unresolved
SputW3181_3715,dnrN,40.9,21.6,8.8,0.53,0.22,0.41,repair of iron centers (RIC) protein DnrN,Cellular processes,Protein and prosthetic group repair,FeS cluster biogenesis and repair,Cytoplasm,"IscR, NarP, and NsrR",,,unresolved
SputW3181_1024,dpsA,4.7,5.4,0.0,1.16,0.03,0.02,DNA-binding ferritin-like protein (oxidative damage protectant) DpsA,Transport and binding proteins,Cations and iron carrying compounds,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_0496,dusB,108.9,272.8,529.3,2.51,4.86,1.94,tRNA-dihydrouridine synthase DusB,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_1699,dusC,4.7,6.8,21.6,1.45,4.65,3.2,tRNA-dihydrouridine synthase C DusC,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_3300,e4pd,20.5,21.6,50.4,1.06,2.46,2.33,D-erythrose-4-phosphate dehydrogenase E4pd,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,Pyridoxin (B6) Biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_2133,efp,431.7,1045.5,957.6,2.42,2.22,0.92,translation elongation factor P Efp,Protein synthesis,Translation factors,,Cytoplasm,,,,unresolved
SputW3181_1224,emrD3,20.5,27.0,8.8,1.32,0.43,0.33,multidrug efflux pump EmrD3,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,,,unresolved
