Table S1. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance under all co-culture conditions (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A2345,chlN,77.15,28.08,21.98,0.36,0.28,0.78,light-independent protochlorophyllide reductase subunit N ChlN,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur
SYNPCC7002_G0022,sybD,110.06,0.12,10.99,0.00,0.10,89.33,N4-hydroxy-1-aminopropane O-acetyltransferase SybD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A0985,pntC,219.05,61.28,53.37,0.28,0.24,0.87,nicotinamide nucleotide transhydrogenase alpha chain part 2 PntC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Inner Membrane (2 transmembrane span),
SYNPCC7002_A2332,c-des,8.63,25.53,17.27,2.94,2.00,0.68,PLP-dependent L-cyst(e)ine lyase C-DES,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,,Cytoplasm,
SYNPCC7002_A2591,pdxH,8.63,61.28,32.96,7.14,3.85,0.54,pyridoxamine 5'-phosphate oxidase PdxH,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,Pyridoxine (B6) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_G0023,sybC,75.53,2.55,6.28,0.03,0.08,2.46,synechobactin core synthase type A group SybC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_G0019,sybF,58.27,7.66,7.85,0.13,0.13,1.02,synechobactin core synthase type C group SybF,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_G0018,sybL,32.37,5.11,6.28,0.16,0.19,1.23,synechobactin synthase SybL,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A0069,lpxA,7.55,35.74,15.7,4.76,2.08,0.44,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A1500,,69.06,17.87,32.96,0.26,0.48,1.84,chain length determinant protein-tyrosine kinase Wzz,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1511,,458.6,178.72,177.37,0.39,0.39,0.99,conserved uncharacterized protein,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A1903,,117.62,870.62,444.22,7.14,3.85,0.51,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A0408,,7.55,0.12,3.14,0.02,0.41,25.52,glycosyl transferase group 1,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A1422,murQ,48.56,183.83,105.17,3.85,2.17,0.57,N-acetylmuramic acid-6-phosphate etherase MurQ,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Cytoplasm,
SYNPCC7002_A0584,,15.65,58.72,64.36,3.70,4.17,1.10,N-acetylmuramoyl-L-alanine amidase,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A0138,,22.66,61.28,53.37,2.70,2.38,0.87,penicillin-binding protein family 1A,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2341,,29.67,61.28,67.5,2.08,2.27,1.10,peptidoglycan binding domain-containing protein,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A2594,,7919.72,2108.89,3412.45,0.27,0.43,1.62,P-like pilus pilin protein,Cell envelope,Surface structures,P-type pilus,Surface structure,
SYNPCC7002_A1509,,939.86,398.29,200.92,0.42,0.21,0.50,polysaccharide biosynthesis locus family 3 acyltransferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),
SYNPCC7002_A1508,,1334.79,531.05,342.19,0.40,0.26,0.64,polysaccharide biosynthesis locus sulfotransferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A1507,,489.35,196.59,153.83,0.40,0.31,0.78,polysaccharide pyruvyl transferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A1514,,38.31,7.66,10.99,0.20,0.29,1.43,putative glycosyltransferase group 1 family protein,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A0082,,48.02,22.98,15.7,0.48,0.33,0.68,putative pencillin-resistant DD-carboxypeptidase,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A2105,,13.49,66.38,84.76,5.00,6.25,1.28,RlpA-like protein,Cell envelope,General,,Cytoplasm,
SYNPCC7002_A2609,dacD,36.69,12.77,7.85,0.35,0.21,0.61,serine-type D-alanyl-D-alanine carboxypeptidase DacD,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A1602,,520.1,160.85,180.51,0.31,0.35,1.12,type IV pilin protein,Cell envelope,Surface structures,Type IV pilus,surface structure,
SYNPCC7002_A1603,,414.36,183.83,182.08,0.44,0.44,0.99,type IV pilin protein,Cell envelope,Surface structures,Type IV pilus,surface structure,
SYNPCC7002_A1601,pilA5,674.95,148.08,271.55,0.22,0.40,1.83,type IV pilin protein PilA5,Cell envelope,Surface structures,Type IV pilus,surface structure,
SYNPCC7002_A2584,murG,5.93,12.77,15.7,2.17,2.63,1.23,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase MurG,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,
SYNPCC7002_A2693,murF,10.25,40.85,39.24,4.00,3.85,0.96,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase MurF",Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,Crp
SYNPCC7002_F0003,,21.58,5.11,9.42,0.24,0.44,1.84,abortive infection phage resistance protein AIPR family,Cellular processes,General,,Cytoplasm,
SYNPCC7002_A0349,ftsH,76.07,449.35,362.59,5.88,4.76,0.81,ATP-dependent metalloprotease FtsH,Cellular processes,Cell division,Photosystem II,Thylakoid Membrane (2 transmembrane spans),
SYNPCC7002_A2422,katG,43.7,12.77,12.56,0.29,0.29,0.98,bifunctional catalase/peroxidase HPI KatG,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_A2600,cheW,8.63,48.51,18.84,5.56,2.17,0.39,chemotaxis adaptor protein CheW,Cellular processes,Chemotaxis and motility,,Cytoplasm,
SYNPCC7002_A2405,cphA,17.26,51.06,34.53,2.94,2.00,0.68,cyanophycin synthetase CphA,Cellular processes,Biosynthesis of natural products,Nitrogen assimilation and storage - cyanophycin biosynthesis,Cytoplasm,
SYNPCC7002_A2506,dprA,3.78,7.66,7.85,2.04,2.08,1.02,DNA protecting protein DprA,Cellular processes,DNA transformation,,Cytoplasm,
SYNPCC7002_A0710,glcE,69.6,217.02,144.41,3.13,2.08,0.67,glycolate oxidase subunit FAD binding subunit GlcE,Cellular processes,Detoxification,2-phosphoglycolate recycling/detoxification,Cytoplasm,
SYNPCC7002_G0082,,17.8,0.12,3.14,0.01,0.18,25.52,glyoxalase family protein,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_G0013,,4.32,20.43,18.84,4.76,4.35,0.92,membrane protein required for alkaline condition tolerance ExoD family ,Cellular processes,Detoxification,,Inner Membrane (4 transmembrane span),
SYNPCC7002_A2563,smtA,496.9,91.91,221.32,0.18,0.44,2.41,metallothionein SmtA,Cellular processes,Adaptations to atypical conditions,Zinc resistance,Cytoplasm,SmtB
SYNPCC7002_A0320,,162.4,33.19,81.62,0.20,0.50,2.46,thioredoxin-dependent peroxidase 1-Cys family,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SYNPCC7002_F0074,,14.03,0.12,3.14,0.01,0.22,25.52,toxin-antitoxin system antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2801,,55.03,15.32,26.68,0.28,0.49,1.74,toxin-antitoxin system DUF433 family DNA-binding antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0075,,15.11,2.55,4.71,0.17,0.31,1.84,toxin-antitoxin system Fic family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0005,,24.28,0.12,9.42,0.01,0.39,76.57,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0013,,8.63,0.12,3.14,0.01,0.36,25.52,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0009,chpB,2.16,30.64,9.42,14.29,4.35,0.31,toxin-antitoxin system PemK family single-stranded RNA nuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_G0085,,32.37,10.21,6.28,0.32,0.19,0.61,toxin-antitoxin system PemK family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2641,,222.82,15.32,75.34,0.07,0.34,4.92,toxin-antitoxin system Phd family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A0409,,29.67,12.77,12.56,0.43,0.42,0.98,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1185,,38.31,79.15,98.89,2.08,2.56,1.25,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1998,,25.9,12.77,9.42,0.49,0.36,0.74,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2312,,19.42,7.66,7.85,0.39,0.40,1.02,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0023,,339.36,135.32,161.68,0.40,0.48,1.19,toxin-antitoxin system RelE family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0064,,22.66,0.12,9.42,0.01,0.41,76.57,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0099,,269.76,102.13,130.28,0.38,0.48,1.28,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A0090,,53.95,22.98,18.84,0.43,0.35,0.82,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A0192,,113.3,30.64,26.68,0.27,0.24,0.87,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A1504,,171.57,74.04,75.34,0.43,0.44,1.02,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A1666,,259.51,14815.83,4833,50.00,20.00,0.33,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A1679,,31.83,10.21,14.13,0.32,0.44,1.38,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A1801,ccmL,133.26,457.01,687.51,3.45,5.26,1.50,carboxysome minor structural protein CcmL,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,
SYNPCC7002_A2025,,12.41,35.74,28.25,2.86,2.27,0.79,carboxysome structural protein,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,
SYNPCC7002_A2616,,36.69,12.77,14.13,0.35,0.38,1.11,cell adhesion protein,Cellular structures and extracellular matrix,Cell adhesion,,Extracellular,
SYNPCC7002_A0893,phoX,0.54,5.11,4.71,9.09,9.09,0.92,Ca-dependent alkaline phosphatase PhoX,Central intermediary metabolism,Phosphorus compounds,Phosphorus metabolism ,Periplasm,
SYNPCC7002_A0271,arcA,16.19,127.66,40.81,7.69,2.50,0.32,L-arginine deiminase ArcA,Central intermediary metabolism,Amino acids and amines,Arginine degradation (L-arginine deiminase pathway),Cytoplasm,
SYNPCC7002_A1159,cad,20.5,2.55,4.71,0.12,0.23,1.84,lysine decarboxylase Cad,Central intermediary metabolism,Amino acids and amines,Lysine degradation,Cytoplasm,
SYNPCC7002_A1492,,85.25,1062.1,182.08,12.50,2.13,0.17,phosphoacetylglucosamine mutase Pgm,Central intermediary metabolism,Amino sugars,biosynthesis of UDP-N-acetylglucosamine,Cytoplasm,
SYNPCC7002_A1860,ppk2,45.32,17.87,15.7,0.39,0.35,0.88,polyphosphate kinase 2 Ppk2,Central intermediary metabolism,Phosphorus compounds,Phosphorus metabolism ,Cytoplasm,
SYNPCC7002_A2069,ahcY,111.14,247.65,251.15,2.22,2.27,1.01,S-adenosyl-L-homocysteine hydrolase AhcY,Central intermediary metabolism,Amino acids and amines,Methionine & Cysteine biosynthesis,Cytoplasm,
SYNPCC7002_F0008,addA,13.49,5.11,4.71,0.38,0.35,0.92,ATP-dependent nuclease A subunit AddA,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,
SYNPCC7002_A2314,,47.48,17.87,18.84,0.38,0.40,1.05,DNA modification methyltransferase,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A0757,recO,9.17,43.4,29.82,4.76,3.23,0.69,DNA recombination and repair protein RecO,DNA metabolism,"DNA replication, recombination, and repair",Double strand breaks repair,Cytoplasm,
SYNPCC7002_A1293,xth,2.16,5.11,6.28,2.38,2.94,1.23,exodeoxyribonuclease III Xth,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,
SYNPCC7002_A1001,mrr,37.77,12.77,15.7,0.34,0.41,1.23,restriction endonuclease Mrr,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_C0009,,4.86,12.77,53.37,2.63,11.11,4.18,type III restriction protein res subunit,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A0044,,5.4,12.77,10.99,2.38,2.04,0.86,uracil-DNA glycosylase superfamily protein,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,
SYNPCC7002_A1827,nirA,10.25,30.64,25.11,3.03,2.44,0.82,assimilatory ferredoxin-nitrite reductase NirA,Energy metabolism,Nitrogen metabolism,Nitrogen assimilation,Cytoplasm,NtcA and NtcB
SYNPCC7002_A1842,,35.61,229.78,92.61,6.67,2.63,0.40,cytochrome b561,Energy metabolism,Electron transport,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A0448,maeB,8.63,51.06,25.11,5.88,2.94,0.49,decarboxylating NADP-dependent malic enzyme MaeB,Energy metabolism,Pyruvate dehydrogenase,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,
SYNPCC7002_A2152,,19.96,58.72,51.8,2.94,2.56,0.88,ferredoxin (2Fe-2S),Energy metabolism,Electron transport,,Cytoplasm,
SYNPCC7002_A1459,zwf,89.56,28.08,17.27,0.31,0.19,0.61,glucose-6-phosphate 1-dehydrogenase Zwf,Energy metabolism,Pentose phosphate pathway,,Cytoplasm,
SYNPCC7002_A2068,grxB,4.86,28.08,15.7,5.88,3.23,0.56,glutaredoxin GrxB,Energy metabolism,Electron transport,Oxidative stress,Cytoplasm,
SYNPCC7002_A2139,agpA,48.56,20.43,18.84,0.42,0.39,0.92,glycogen phosphorylase AgpA,Energy metabolism,Biosynthesis and degradation of polysaccharides,Glycogen,Cytoplasm,
SYNPCC7002_A1162,ctaC,163.48,58.72,54.94,0.36,0.34,0.94,heme-copper quinol oxidase subunit II CtaC,Energy metabolism,Electron transport,Oxidative phosphorylation,Inner Membrane (3 transmembrane span),
SYNPCC7002_A1292,isiA,325.87,10.21,7.85,0.03,0.02,0.77,iron starvation-induced chlorophyll a(b) binding protein IsiA,Energy metabolism,Photosynthesis,Photosystem I,Thylakoid Membrane (7 transmembrane spans),PerR
SYNPCC7002_A1291,isiB,230.38,10.21,7.85,0.04,0.03,0.77,iron-stress flavodoxin IsiB,Energy metabolism,Electron transport,Photosystem I,Cytoplasm,PerR
SYNPCC7002_A2660,,135.42,2.55,7.85,0.02,0.06,3.07,multicopper oxidase,Energy metabolism,Electron transport,,Periplasm,
SYNPCC7002_A2697,gap1,29.13,5.11,4.71,0.18,0.16,0.92,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase Gap1,Energy metabolism,Glycolysis/gluconeogenesis,,Cytoplasm,
SYNPCC7002_A1973,,41,86.81,84.76,2.13,2.08,0.98,NADH dehydrogenase subunit NdhD family,Energy metabolism,Electron transport,Photosynthesis and CO2 fixation,Thylakoid Membrane (14 transmembrane spans),PedR
SYNPCC7002_A0200,hoxH,31.83,15.32,10.99,0.48,0.34,0.72,NAD-reducing hydrogenase subunit HoxH,Energy metabolism,Electron transport,NiFe hydrogenase,Cytoplasm,
SYNPCC7002_A0198,hoxY,50.18,17.87,9.42,0.36,0.19,0.53,NAD-reducing hydrogenase subunit HoxY,Energy metabolism,Electron transport,NiFe hydrogenase,Cytoplasm,
SYNPCC7002_A0175,cupS,934.46,4460.32,1914.99,4.76,2.04,0.43,NDH-1 complex sensory subunit CupS,Energy metabolism,CO2 fixation,CO2 fixation,Carboxysome,CcmR and Crp
SYNPCC7002_G0146,atpQ,52.87,10.21,10.99,0.19,0.21,1.08,N-type Na+ translocating ATPase complex locus membrane protein AtpQ,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (2 transmembrane span),
