Table S2. List of Shewanella W3-18-1 genes displaying ≥2-fold change in relative mRNA abundance under all co-culture conditions (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SputW3181_0088,mmuM,59.5,12.2,3.2,0.2,0.05,0.26,homocysteine S-methyltransferase MmuM,Amino acid biosynthesis,Aspartate family,Methionine biosynthesis,Cytoplasm,MetJ
SputW3181_1303,cfaS,560.1,135.1,120.1,0.24,0.21,0.89,cyclopropane-fatty-acyl-phospholipid synthase CfaS,Fatty acid and phospholipid metabolism,Biosynthesis,Oxidative stress - singlet oxygen,Cytoplasm,
SputW3181_2088,yqfA,7.4,16.2,190.6,2.18,25.6,11.76,hemolysin III family channel protein YqfA,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (7 transmembrane spans),FabR
SputW3181_3153,mipA,119.1,39.2,15.2,0.33,0.13,0.39,outer membrane MltA-interaction protein MipA,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Outer Membrane,
SputW3181_2350,,9.3,4.1,0,0.44,0.01,0.03,polysaccharide flippase,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Polysaccharide biosynthesis,Inner Membrane (12 transmembrane spans),
SputW3181_2834,,482.9,114.8,175.4,0.24,0.36,1.53,lactate transport protein LctP family,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",Lactate metabolism,Inner Membrane (14 transmembrane spans),
SputW3181_3203,exbB,9.3,2.7,4,0.29,0.43,1.48,TonB1 energy transduction system for heme uptake inner membrane component ExbB,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (3 transmembrane spans),Fur
SputW3181_0701,,27,229.6,57.7,8.51,2.14,0.25,ammonium transporter channel family protein,Transport and binding proteins,Cations and iron carrying compounds,Nitrogen assimilation,Inner Membrane (11 transmembrane spans),NtrC
SputW3181_1650,,69.8,371.4,594.1,5.32,8.51,1.6,putative solute:sodium symporter small subunit,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (2 transmembrane spans),
SputW3181_1651,,73.5,228.3,586.1,3.11,7.97,2.57,putative solute:sodium symporter large subunit,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (12 transmembrane spans),
SputW3181_3730,bpfA,54.9,129.7,201,2.36,3.66,1.55,biofilm-promoting protein BpfA,Cellular structures and extracellular matrix,Cell adhesion,BpfA adhesion system,Extracellular,
SputW3181_0985,btuC,103.3,39.2,36,0.38,0.35,0.92,ABC-type cobalamin uptake system permease component BtuC,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane (10 transmembrane spans),
SputW3181_0984,btuD,72.6,21.6,7.2,0.3,0.1,0.33,ABC-type cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SputW3181_1107,traB,26.1,8.1,4.8,0.31,0.18,0.59,IncJ-type conjugative transfer system assembly protein TraB,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (1 transmembrane span),
SputW3181_1140,traC,27.9,9.5,6.4,0.34,0.23,0.68,IncJ-type conjugative transfer system protein TraC,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,
SputW3181_1099,traD,13,5.4,1.6,0.41,0.12,0.3,IncJ-type conugative system coupling protein TraD,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (2 transmembrane spans),
SputW3181_1105,traE,32.6,12.2,16,0.37,0.49,1.32,IncJ-type conjugative transfer system assembly protein TraE,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Periplasm,
SputW3181_1175,traG,11.2,5.4,2.4,0.48,0.22,0.44,IncJ-type conjugative transfer system assembly protein TraG,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Inner Membrane (2 transmembrane spans),
SputW3181_1174,traH,14.9,6.8,2.4,0.45,0.16,0.36,IncJ-type conjugative transfer system assembly protein TraH,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Outer Membrane,
SputW3181_1145,traN,12.1,5.4,4.8,0.45,0.4,0.89,IncJ-type conjugative transfer system mating pair stabilization protein TraN,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Outer Membrane,
SputW3181_1144,traU,14,6.8,3.2,0.48,0.23,0.47,IncJ-type conjugative transfer system protein TraU,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Periplasm,
SputW3181_1101,,11.2,5.4,0,0.48,0.01,0.02,IncJ-type integrating conjugative element protein PFL4697-type,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (4 transmembrane spans),
SputW3181_3315,aaiD,10.2,44.6,26.4,4.35,2.58,0.59,acyl-homoserine lactone acylase AaiD,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Quorum signal disruption,Outer Membrane Lipoprotein,
SputW3181_1531,sapSH,18.6,71.6,74.5,3.85,4,1.04,extracellular serine alkaline protease SapSH,Protein fate,"Degradation of proteins, peptides, and glycopeptides",Arginine metabolism,Extracelllular,ArgR
SputW3181_1687,,138.6,31.1,30.4,0.22,0.22,0.98,ATP-dependent protease La (LON) domain protein,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SputW3181_2684,,25.1,54,72.9,2.15,2.9,1.35,autocatalytic aspartic peptidase,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SputW3181_3148,azr,16.7,8.1,0,0.48,0.01,0.02,NADPH-dependent azoreductase Azr,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,AzR
SputW3181_2325,bcp,464.3,170.2,191.4,0.37,0.41,1.12,thioredoxin-dependent thiol peroxidase Bcp,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SputW3181_0888,ohrA,14.9,4.1,0,0.27,0.01,0.03,peroxiredoxin OhrA,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,
SputW3181_0770,metR,189.8,5.4,11.2,0.03,0.06,2.07,homocysteine-dependent transcriptional activator of methionine biosynthesis MetR,Regulatory functions,DNA interactions,Methionine biosynthesis,Cytoplasm,MetJ and MetR
SputW3181_3783,prpR,4.7,10.8,44.8,2.32,9.64,4.15,methycitrate-responsive transcriptional regulator of methylisocitrate utilization PrpR,Regulatory functions,DNA interactions,Methylcitrate degradation,Cytoplasm,PrpR
SputW3181_1288,yeeN,37.2,74.3,132.9,2,3.57,1.79,DNA-binding regulatory protein YeeN,Regulatory functions,DNA interactions,,Cytoplasm,
SputW3181_0545,,4.7,17.6,38.4,3.77,8.26,2.19,putative negative regulator of univalent cation permeability,Regulatory functions,DNA interactions,,Inner Membrane (1 transmembrane span),
SputW3181_1297,,53,23,6.4,0.43,0.12,0.28,transcriptional activator of singlet oxygen protection,Regulatory functions,DNA interactions,Oxidative stress,Cytoplasm,
SputW3181_1877,,32.6,16.2,15.2,0.5,0.47,0.94,bifunctional transcriptional repressor of amino acid efflux GntR family / aminotransferase,Regulatory functions,DNA interactions,,Cytoplasm,
SputW3181_2683,,5.6,13.5,17.6,2.42,3.16,1.3,transmembrane transcriptional regulator,Regulatory functions,DNA interactions,,Inner Membrane (1 transmembrane span),
SputW3181_1780,cspD,909.1,7138.5,3956.3,7.85,4.35,0.55,DNA-binding cold shock protein CspD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - cold shock,Cytoplasm,
SputW3181_1298,phrB,164.7,37.8,39.2,0.23,0.24,1.04,deoxyribodipyrimidine photolyase PhrB,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,
SputW3181_3646,,94,20.3,18.4,0.22,0.2,0.91,deoxyribodipyrimidine photolyase-related protein,DNA metabolism,"DNA replication, recombination, and repair",Stress response - UV,Cytoplasm,
SputW3181_0127,ctaA,9.3,20.3,28,2.18,3.01,1.38,heme A synthase CtaA,Energy metabolism,Electron transport,Low affinity O2 respiratory system,Inner Membrane (8 transmembrane spans),
SputW3181_2835,dld,468,125.6,109.7,0.27,0.23,0.87,respiratory FAD-dependent D-lactate dehydrogenase Dld,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,
SputW3181_2836,lldE,515.5,239.1,92.1,0.46,0.18,0.39,L-lactate dehydrogenase complex protein LldE,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR
SputW3181_2837,lldF,392.7,175.6,41.6,0.45,0.11,0.24,L-lactate dehydrogenase iron-sulfur cluster-binding protein LldF,Energy metabolism,Electron transport,Lactate utilization,Cytoplasm,LldR
SputW3181_3895,nrfB,1.9,4.1,7.2,2.18,3.87,1.78,respiratory nitrite reductase cytochrome c NrfB,Energy metabolism,Electron transport,Nitrate and nitrite respiration,Periplasm,
SputW3181_0880,pntA,214,94.6,96.9,0.44,0.45,1.02,NAD(P) transhydrogenase alpha subunit PntA,Energy metabolism,Electron transport,,Inner Membrane (5 transmembrane spans),
SputW3181_2162,rnfD,61.4,28.4,28.8,0.46,0.47,1.02,ion (H+ or Na+)-translocating NADH:ferredoxin oxidoreductase subunit RnfD,Energy metabolism,Electron transport,,Inner Membrane (9 transmembrane spans),
SputW3181_0797,attH,51.2,17.6,19.2,0.34,0.38,1.09,hydroxyneurosporene synthase AttH,Unknown function,Enzymes of unknown specificity,,Extracelllular,
SputW3181_3199,hmuZ,53,21.6,0,0.41,0,0.01,FMN binding heme iron utilization protein HmuZ,Unknown function,Enzymes of unknown specificity,Iron homeostasis,Cytoplasm,Fur
SputW3181_1250,metE,123.8,12.2,0,0.1,0,0.01,B12-independent methonine synthase C-terminal domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_1620,yfcH,183.3,56.7,41.6,0.31,0.23,0.73,predicted nucleoside-diphosphate sugar epimerase YfcH,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_3693,yrfG,8.4,18.9,39.2,2.26,4.69,2.07,HAD-superfamily hydrolase subfamily IA variant 3 protein family YrfG,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_0280,ysnE,3.7,9.5,14.4,2.54,3.87,1.52,acteyltransferase GNAT family YsnE,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_0723,,122.8,32.4,25.6,0.26,0.21,0.79,thiol-disulphide oxidoreductase DCC family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_1300,,770.4,198.6,165.7,0.26,0.22,0.83,oxidoreductase short-chain dehydrogenase/reductase family,Unknown function,Enzymes of unknown specificity,Oxidative stress - singlet oxygen,Cytoplasm,
SputW3181_1688,,201,59.4,27.2,0.3,0.14,0.46,SAM-dependent methyltransferase type 11,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_2300,,9.3,4.1,4,0.44,0.43,0.99,catalytic subunit of aromatic ring-opening dioxygenase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_3647,,95.8,25.7,4.8,0.27,0.05,0.19,cell-cell signaling protein C-factor,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SputW3181_3302,metK,472.7,224.2,110.5,0.47,0.23,0.49,S-adenosylmethionine synthetase MetK,Central intermediary metabolism,General,Methionine degradation and salvage,Cytoplasm,MetJ
SputW3181_3200,hmuX,29.8,8.1,0,0.27,0,0.02,heme iron utilization protein HmuX,Unknown function,General,Iron homeostasis,Cytoplasm,Fur
SputW3181_2800,yfaZ,440.1,64.8,24.8,0.15,0.06,0.38,outer membrane protein YfaZ,Unknown function,General,,Outer Membrane,
SputW3181_0033,,76.3,17.6,24.8,0.23,0.33,1.41,protein of unknown function DUF1488,Unknown function,General,,Cytoplasm,
SputW3181_0099,,44.7,5.4,16,0.12,0.36,2.96,histidine-rich protein of unknown function DUF3300,Unknown function,General,,Periplasm,
SputW3181_0231,,228.9,82.4,75.3,0.36,0.33,0.91,protein of unknown function DUF323,Unknown function,General,,Cytoplasm,
SputW3181_0618,,6.5,2.7,0,0.41,0.02,0.05,hypothetical inner membrane protein,Unknown function,General,,Inner Membrane (4 transmembrane spans),
SputW3181_0620,,11.2,25.7,44,2.3,3.94,1.72,hypothetical periplasmic protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SputW3181_0621,,323.8,90.5,137.7,0.28,0.43,1.52,periplasmic protein of unknown function DUF3016,Unknown function,General,,Periplasm,
SputW3181_0628,,122.8,39.2,19.2,0.32,0.16,0.49,membrane protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SputW3181_0706,,480.1,91.8,160.1,0.19,0.33,1.74,hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_0791,,3899.6,55.4,248.2,0.01,0.06,4.48,hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_1023,,13,4.1,0,0.31,0.01,0.03,membrane protein of unknown function DUF1624,Unknown function,General,,Inner Membrane (9 transmembrane spans),
SputW3181_1078,,10.2,2.7,0,0.26,0.01,0.05,hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_1079,,14,5.4,3.2,0.39,0.23,0.59,PRTRC system protein D,Unknown function,General,,Cytoplasm,
SputW3181_1158,,375,160.7,116.9,0.43,0.31,0.73,hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_1249,,73.5,8.1,3.2,0.11,0.04,0.4,protein of unknown function DUF1852,Unknown function,General,,Cytoplasm,
SputW3181_1295,,14,56.7,81.7,4.06,5.85,1.44,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_1296,,93,37.8,24.8,0.41,0.27,0.66,bifunctional protein of unknown functions DUF523 and DUF1722,Unknown function,General,Oxidative stress - singlet oxygen,Cytoplasm,
SputW3181_1299,,587.1,128.3,204.2,0.22,0.35,1.59,protein of unknown function DUF2358,Unknown function,General,Oxidative stress - singlet oxygen,Cytoplasm,
SputW3181_1302,,599.2,121.6,135.3,0.2,0.23,1.11,protein of unknown function DUF1365,Unknown function,General,Oxidative stress - singlet oxygen,Cytoplasm,
SputW3181_1304,,366.6,89.1,94.5,0.24,0.26,1.06,membrane protein of unknown function DUF2878,Unknown function,General,Oxidative stress - singlet oxygen,Inner Membrane (5 transmembrane spans),
SputW3181_1305,,272.6,63.5,65.7,0.23,0.24,1.03,conserved hypothetical periplasmic protein,Unknown function,General,Oxidative stress - singlet oxygen,Periplasm,
SputW3181_1306,,447.6,155.3,68.9,0.35,0.15,0.44,conserved lipoprotein,Unknown function,General,Oxidative stress - singlet oxygen,Outer Membrane Lipoprotein,
SputW3181_1480,,23.3,4.1,0,0.17,0.01,0.03,hypothetical protein,Unknown function,General,Cpx pathway envelope stress response (same operon),Cytoplasm,
SputW3181_1519,,121.9,43.2,15.2,0.35,0.12,0.35,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_1551,,30.7,109.4,132.9,3.56,4.33,1.21,periplasmic conserved domain protein,Unknown function,General,,Periplasm,
SputW3181_1572,,16.7,2.7,0,0.16,0.01,0.05,uncharacterized membrane protein,Unknown function,General,,Inner Membrane (3 transmembrane spans),
SputW3181_1599,,271.7,89.1,119.3,0.33,0.44,1.34,hypothetical protein,Unknown function,General,Iron homeostasis - putrebactin biosynthesis,Cytoplasm,
SputW3181_1810,,70.7,187.7,446,2.66,6.31,2.38,outer membrane protein of unknown function DUF1302,Unknown function,General,,Outer Membrane,
SputW3181_1811,,65.1,206.7,534.1,3.17,8.2,2.58,putative periplasmic protein of unknown function DUF1329,Unknown function,General,,Periplasm,
SputW3181_1812,,38.1,79.7,162.5,2.09,4.26,2.04,BNR repeat protein,Unknown function,General,,Periplasm,
SputW3181_2087,,2.8,8.1,6.4,2.9,2.29,0.79,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SputW3181_2114,,18.6,5.4,7.2,0.29,0.39,1.33,hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_2347,,272.6,45.9,17.6,0.17,0.06,0.38,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_2464,,35.4,14.9,0,0.42,0,0.01,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2469,,59.5,25.7,11.2,0.43,0.19,0.44,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2482,,34.4,14.9,0,0.43,0,0.01,LambdaSo-like conserved hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,,
SputW3181_2486,,27,10.8,8.8,0.4,0.33,0.82,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2498,,9.3,4.1,0,0.44,0.01,0.03,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2513,,16.7,5.4,0,0.32,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2517,,8.4,4.1,0,0.48,0.01,0.03,LambdaSo-like protein of unknown function DUF1317,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2518,,15.8,5.4,0,0.34,0.01,0.02,LambdaSo-like hypothetical protein,Unknown function,General,Bacteriophage; LambdaSo-like,Cytoplasm,
SputW3181_2554,,47.5,106.7,98.5,2.25,2.08,0.92,conserved domain protein,Unknown function,General,,Cytoplasm,
SputW3181_2707,,1471.1,249.9,157.7,0.17,0.11,0.63,outer membrane lipoprotein,Unknown function,General,,Outer Membrane Lipoprotein,
SputW3181_2878,,0,1.4,13.6,10.98,110.67,10.08,HP1-like phage conserved hypothetical protein,Unknown function,General,,,
SputW3181_3154,,76.3,27,32.8,0.35,0.43,1.22,protein of unknown function DUF3019,Unknown function,General,,Outer Membrane,
SputW3181_3182,,147.9,418.7,429.2,2.83,2.9,1.02,protein of unknown function DUF3718,Unknown function,General,,Periplasm,
SputW3181_3390,,104.2,216.1,248.2,2.07,2.38,1.15,protein of unknown function DUF1456,Unknown function,General,,Cytoplasm,
SputW3181_3398,,612.2,79.7,130.5,0.13,0.21,1.64,protein of unknown function DUF3149,Unknown function,General,,Inner Membrane (1 transmembrane span),
SputW3181_3439,,18.6,82.4,39.2,4.43,2.11,0.48,protein of unknown function DUF2292,Unknown function,General,,Cytoplasm,
SputW3181_3484,,109.8,511.9,783.9,4.66,7.14,1.53,GEMM-inducible secreted protein,Unknown function,General,,Extracelllular,
SputW3181_3688,,8.4,67.5,16.8,8.06,2.01,0.25,phage Tail Collar domain protein,Unknown function,General,,Cytoplasm,
SputW3181_3723,,93,27,32.8,0.29,0.35,1.22,putative lipoprotein,Unknown function,General,,Outer Membrane Lipoprotein,
SputW3181_3747,,11.2,28.4,71.3,2.54,6.38,2.51,hypothetical protein,Unknown function,General,,Cytoplasm,
SputW3181_3806,,133.1,55.4,40.8,0.42,0.31,0.74,secreted protein of unknown function DUF500,Unknown function,General,,Extracelllular,
SputW3181_3886,,203.8,33.8,62.5,0.17,0.31,1.85,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),
SputW3181_3928,,8.4,20.3,21.6,2.42,2.58,1.07,conserved hypothetical lipoprotein,Unknown function,General,,Extracelllular,
SputW3181_0266,glnA,78.2,402.5,251.4,5.15,3.22,0.62,glutamine synthetase GlnA,Amino acid biosynthesis,Glutamate family,Nitrogen assimilation,Cytoplasm,NtrC
SputW3181_0712,,205.6,48.6,40,0.24,0.19,0.82,glutathione S-transferase family protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Cytoplasm,
SputW3181_1327,,818.8,282.3,286.7,0.34,0.35,1.02,periplasmic glutathione peroxidase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,Oxidative stress,Periplasm,
SputW3181_1659,acsA,124.7,255.3,568.5,2.05,4.56,2.23,acetyl-coenzyme A synthetase AcsA,Energy metabolism,Glycolysis/gluconeogenesis,Pyruvate metabolism,Cytoplasm,
SputW3181_0983,cobC,85.6,16.2,4,0.19,0.05,0.25,alpha-ribazole-5-phosphate phosphatase CobC,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SputW3181_0987,cobS,214,104,78.5,0.49,0.37,0.75,cobalamin 5-phosphate synthase CobS,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Inner Membrane (7 transmembrane spans),
SputW3181_0986,cobT,160,67.5,68.1,0.42,0.43,1.01,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase CobT,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SputW3181_1328,hemH,482.9,140.5,159.3,0.29,0.33,1.13,ferrochelatase HemH,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Cytoplasm,
SputW3181_1830,hisD,30.7,110.8,301.1,3.61,9.81,2.72,histidinol dehydrogenase HisD,Amino acid biosynthesis,Histidine family,Histidine biosynthesis,Cytoplasm,His attenuator
