RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions
fig.6666666.52381.peg.1010,SY28_RS05035,Fatty acid and lipid metabolism,Biosynthesis of unsaturated fatty acids,fatty acid biosynthesis_ elongation,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,3,G,30.24657623,33.31308307,26.09443715,29.88469882
fig.6666666.52381.peg.1011,SY28_RS05040,Unknown function,Enzymes of unknown specificity,,GCN5 family N-acetyltransferase,,3,G,103.0035162,71.41900059,89.2154306,87.87931579
fig.6666666.52381.peg.1012,SY28_RS05045,Intracellular trafficking_ assembly_ and processing,Peptidases,,S41 family peptidase,,4,H,203.2456397,249.3590565,265.7796821,239.4614594
fig.6666666.52381.peg.1013,SY28_RS05050,Intracellular trafficking_ assembly_ and processing,Peptidases,,S41 family peptidase,,4,H,227.5940818,282.8728781,293.1432544,267.8700714
fig.6666666.52381.peg.1014,SY28_RS05055,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis from acetyl-CoA,beta-ketoacyl-acyl-carrier-protein synthase II FabF,fabF,3,G,161.7462235,114.4133983,144.6772462,140.278956
fig.6666666.52381.peg.1015,SY28_RS05060,Regulatory functions,DNA interactions,,YebC/PmpR family transcriptional regulator,,1,E,262.22773,311.9565317,182.4291281,252.2044632
fig.6666666.52381.peg.1016,SY28_RS05065,Amino acid metabolism,Cysteine and methionine metabolism,cysteine biosynthesis,serine O-acetyltransferase CysE,cysE,2,F,133.2109872,87.46467582,184.2247169,134.9667933
fig.6666666.52381.peg.1017,SY28_RS05070,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,S-adenosylmethionine:tRNA ribosyltransferase-isomerase QueA,queA,3,G,26.43333215,10.71844101,14.2485338,17.13343566
fig.6666666.52381.peg.1018,SY28_RS05075,Unknown function,General,,hypothetical protein,,3,G,165.7086256,116.8899214,62.61466411,115.0710704
fig.6666666.52381.peg.1019,SY28_RS05080,Unknown function,General,,hypothetical protein,,4,H,134.1243566,147.0878982,220.2735414,167.161932
fig.6666666.52381.peg.102,SY28_RS00510,Amino acid metabolism,Lysine biosynthesis,lysine biosynthesis via diaminopimelate (DAP) utilizing ammonia and NADPH,diaminopimelate decarboxylase LysA,lysA,3,G,56.06336157,50.74678873,15.06179495,40.62398175
fig.6666666.52381.peg.1020,SY28_RS05085,Unknown function,General,,TPR repeat domain protein,,3,G,37.1535555,40.88128069,18.91022396,32.31502005
fig.6666666.52381.peg.1021,SY28_RS05090,Unknown function,General,,hypothetical protein,,2,F,105.8592381,25.97967651,73.72176432,68.52022632
fig.6666666.52381.peg.1022,SY28_RS05091,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L32 RpmF,rpmF,3,G,1654.082217,1357.903467,1418.282839,1476.756174
fig.6666666.52381.peg.1023,SY28_RS05095,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis_ initiation,3-oxoacyl-[acyl-carrier-protein] synthase III FabH,fabH,1,E,113.2892294,210.7567386,165.5095993,163.1851891
fig.6666666.52381.peg.1024,SY28_RS05100,Fatty acid and lipid metabolism,Biosynthesis,fatty acid biosynthesis_ initiation,malonyl CoA-acyl carrier protein transacylase FabD,fabD,1,E,72.10609216,180.0099003,103.2038283,118.4399403
fig.6666666.52381.peg.1025,SY28_RS05105,Fatty acid and lipid metabolism,Biosynthesis of unsaturated fatty acids,fatty acid biosynthesis_ elongation,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,4,H,55.91191872,106.4481827,118.6897941,93.68329849
fig.6666666.52381.peg.1026,SY28_RS05110,Fatty acid and lipid metabolism,Biosynthesis,,acyl carrier protein AcpP,acpP,2,F,1391.546406,1215.506249,1676.910903,1427.987853
fig.6666666.52381.peg.1027,SY28_RS05115,Transcription,Transcription factors,cold shock,CspA family cold shock protein,,1,E,420.1364093,551.8571538,365.3404246,445.7779959
fig.6666666.52381.peg.1028,SY28_RS05120,Transport and binding proteins,Amino acids_ peptides and amines,polar amino acid transport system PA,ABC-type polar amino acid uptake system substrate-binding component,,3,G,158.7448812,167.4998904,162.7307563,162.9918426
fig.6666666.52381.peg.103,SY28_RS00515,Intracellular trafficking_ assembly_ and processing,Peptidases,,C26 family peptidase,,3,G,78.97636956,32.37800737,63.16854793,58.17430829
fig.6666666.52381.peg.1030,SY28_RS05130,Defense and invasion systems,General,,GTP-binding protein LepA,lepA,3,G,109.2685862,99.345082,120.8352105,109.8162929
fig.6666666.52381.peg.1031,SY28_RS05135,Cell motility and adherance,Surface structures and assembly platforms,,pilin protein,,3,G,15.57100523,27.88215738,33.76661185,25.73992482
fig.6666666.52381.peg.1034,SY28_RS05150,Unknown function,General,,hypothetical protein,,3,G,11.70393933,45.54887782,22.64364637,26.6321545
fig.6666666.52381.peg.1035,SY28_RS05155,Signal transduction,Two-component systems,,two component signal transduction system LuxR family response regulator,,3,G,12.16293537,31.71293346,33.61974036,25.83186973
fig.6666666.52381.peg.104,SY28_RS00520,Unknown function,General,,hypothetical protein,,3,G,65.22718026,64.38778102,36.67031397,55.42842508
fig.6666666.52381.peg.1043,SY28_RS05205,Transport and binding proteins,Cations and iron carrying compounds,,potassium transporter,cvrA,3,G,4.491338214,45.88861416,25.43666834,25.2722069
fig.6666666.52381.peg.1044,SY28_RS05210,Unknown function,Enzymes of unknown specificity,,2-hydroxyhepta-2_4-diene-1_7-dioate isomerase,,1,E,126.235753,160.0483298,97.54384177,127.9426415
fig.6666666.52381.peg.1045,SY28_RS05220,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S6 RpsF,rpsF,1,E,4037.788243,6298.462701,3690.705996,4675.652313
fig.6666666.52381.peg.1046,SY28_RS05225,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA replication initiation factors,single-strand DNA-binding protein Ssb,ssb,1,E,2449.737158,2858.230596,2271.796782,2526.588179
fig.6666666.52381.peg.1047,SY28_RS05230,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S18 RpsR,rpsR,1,E,1235.355987,1439.28038,1044.667421,1239.767929
fig.6666666.52381.peg.1048,SY28_RS05235,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protien L9 RplI,rplI,2,F,1916.410416,1446.404602,1565.614602,1642.809873
fig.6666666.52381.peg.1049,SY28_RS05240,Prosthetic groups_ cofactors_ and carriers,Sulfur relay system,,molybdenum cofactor biosysynthesis protein,,3,G,41.87071686,8.534432657,44.41646475,31.60720476
fig.6666666.52381.peg.105,SY28_RS00525,Transport and binding proteins,Unknown substrate,,ABCB-type export system hybrid permease / ATPase component,,3,G,31.00295431,29.27347704,27.143304,29.13991178
fig.6666666.52381.peg.1051,SY28_RS05245,Unknown function,General,,hypothetical protein,,3,G,53.23341682,47.61016231,37.21467955,46.01941956
fig.6666666.52381.peg.1052,SY28_RS05250,Prosthetic groups_ cofactors_ and carriers,Biotin and lipoate metabolism,lipoic acid metabolism,lipoate synthase LipA,lipA,3,G,115.1465883,139.8345165,120.7988001,125.2599683
fig.6666666.52381.peg.1053,SY28_RS05255,Prosthetic groups_ cofactors_ and carriers,Biotin and lipoate metabolism,lipoic acid metabolism,lipoate-protein ligase LipB,lipB,4,H,63.24946981,160.7395255,185.2333085,136.4074346
fig.6666666.52381.peg.1054,SY28_RS05260,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,,cobalamin biosynthesis protein CobW,,2,F,54.46470158,32.43535418,84.8625882,57.25421465
fig.6666666.52381.peg.1055,SY28_RS05265,Carbohydrate metabolism,Galactose metabolism,,UDP-glucose 4-epimerase,,2,F,98.1456982,47.4043454,88.33989859,77.96331407
fig.6666666.52381.peg.1056,SY28_RS05270,Amino acid metabolism,Glycine_ serine_ and threoine metabolism,,glycine C-acetyltransferase Kbl,kbl,3,G,38.87676793,43.64318102,30.79051253,37.77015383
fig.6666666.52381.peg.1058,SY28_RS05280,Intracellular trafficking_ assembly_ and processing,Protein modification and repair,lipoprotein system lgt/lsp/lnt,phosphatidylglycerol:prolipoprotein diacylglycerol transferase Lgt,lgt,3,G,48.43361602,18.0496178,34.03201019,33.50508133
fig.6666666.52381.peg.1059,SY28_RS05285,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,UDP-N-acetylglucosamine biosynthesis from fructose-6-phosphate,bifunctional glucosamine-1-phosphate N-acetyltransferase / UDP-N-acetylglucosamine diphosphorylase GlmU,glmU,3,G,27.84632901,35.06264985,31.94178467,31.61692118
fig.6666666.52381.peg.106,SY28_RS00530,Transport and binding proteins,Unknown substrate,,ABCB-type export system hybrid permease / ATPase component,,3,G,35.8873658,30.74631935,40.98612866,35.87327127
fig.6666666.52381.peg.1061,SY28_RS05295,Unknown function,General,,PSP1 domain-containing protein,,3,G,69.82341017,37.75390143,14.33252997,40.63661385
fig.6666666.52381.peg.1063,SY28_RS05305,Unknown function,Enzymes of unknown specificity,,phosphatase,,3,G,114.7468132,51.14231462,36.94615973,67.61176252
fig.6666666.52381.peg.1064,SY28_RS05310,Unknown function,General,,hypothetical protein,,3,G,16.75771207,8.225027243,20.93835977,15.30703303
fig.6666666.52381.peg.1065,SY28_RS05315,Unknown function,General,,hypothetical protein,,3,G,164.6361986,135.5799964,181.9962889,160.7374946
fig.6666666.52381.peg.1066,SY28_RS05320,Transport and binding proteins,Unknown substrate,type II toxins: membrane damaging toxins_ pore forming,Hly III family permease,,4,H,230.0637257,345.5067757,315.8738516,297.1481177
fig.6666666.52381.peg.1068,SY28_RS05330,Translation,Transfer RNA biogenesis,tRNA aminoacylation,glutaminyl-tRNA synthetase GlnS,glnS,3,G,129.5502615,109.4916288,105.2071973,114.7496958
fig.6666666.52381.peg.107,SY28_RS00535,Unknown function,General,,hypothetical protein,,4,H,51.79052564,70.10795998,136.8490334,86.249173
fig.6666666.52381.peg.1072,SY28_RS05350,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,D-xylose uptake system XylFGH,ABC-type D-xylose uptake system substrate-binding component XylF,xylF,1,E,137.6713369,215.3863228,167.7463961,173.6013519
fig.6666666.52381.peg.1073,SY28_RS05355,Unknown function,General,,ASPIC/UnbV domain-containing protein,,4,H,8.862896126,16.45737584,14.4401497,13.25347389
fig.6666666.52381.peg.1074,SY28_RS05360,Unknown function,Enzymes of unknown specificity,,phosphoesterase PA-phosphatase-like protein,,4,H,74.05715789,45.88031331,33.63615005,51.19120708
fig.6666666.52381.peg.1075,SY28_RS05365,Unknown function,Enzymes of unknown specificity,,oxidoreductase,,4,H,50.75774443,56.55824848,24.65533768,43.99044353
fig.6666666.52381.peg.1076,SY28_RS05370,Unknown function,General,,DUF336 domain protein of unknown function,,4,H,85.0369681,44.35819173,50.96992874,60.12169619
fig.6666666.52381.peg.1077,SY28_RS05375,Defense and invasion systems,Anti-microbial compounds,,isopenicillin-N epimerase CefD,cefD,2,F,43.56460481,13.67718107,82.64172669,46.62783752
fig.6666666.52381.peg.1078,SY28_RS05390,Transport and binding proteins,Anions,,CIC family chloride channel,,1,E,12.3454901,64.01942062,29.23478319,35.19989797
fig.6666666.52381.peg.1079,SY28_RS05395,Unknown function,Enzymes of unknown specificity,,amidohydrolase,,4,H,19.2663311,20.64134464,23.67616534,21.1946137
fig.6666666.52381.peg.1080,SY28_RS05400,Unknown function,Enzymes of unknown specificity,,chorismate synthase,,3,G,62.57899321,42.38542946,53.71921562,52.8945461
fig.6666666.52381.peg.1081,SY28_RS05405,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,menaquinone biosynthesis via SEPHCHC,O-succinylbenzoate synthase MenC,menC,2,F,79.2309296,54.71392597,114.0914908,82.67878211
fig.6666666.52381.peg.1082,SY28_RS05410,Unknown function,Enzymes of unknown specificity,,PLP-dependent carboxylase,,3,G,25.34430319,55.09291477,12.49155888,30.97625894
fig.6666666.52381.peg.1084,SY28_RS05420,Transport and binding proteins,Cations and iron carrying compounds,,potassium transporter KefC,,3,G,16.29013179,18.57883083,24.17695073,19.68197112
fig.6666666.52381.peg.1085,SY28_RS05430,Unknown function,General,,hypothetical protein,,3,G,100.1659513,78.7923647,42.82459766,73.92763788
fig.6666666.52381.peg.1087,SY28_RS05445,Unknown function,General,,domain-containing protein,,3,G,25.84262739,49.40694018,62.97402749,46.07453169
fig.6666666.52381.peg.1088,SY28_RS05450,Carbohydrate metabolism,Citrate cycle (TCA cycle),TCA cycle,succinyl-CoA synthetase beta subunit SucC,sucC,3,G,633.7433345,597.4771375,450.4311101,560.5505274
fig.6666666.52381.peg.1089,SY28_RS05455,Carbohydrate metabolism,Citrate cycle (TCA cycle),TCA cycle,succinyl-CoA synthetase alpha subunit SucD,sucD,4,H,280.0423782,289.9119439,393.4965998,321.1503073
fig.6666666.52381.peg.109,SY28_RS00545,Intracellular trafficking_ assembly_ and processing,Peptidases,,M20 family peptidase,,3,G,47.47946912,71.64546669,68.21721778,62.44738453
fig.6666666.52381.peg.1091,SY28_RS05460,Intracellular trafficking_ assembly_ and processing,Peptidases,,M50 family peptidase,,3,G,31.31821475,33.35355611,21.22694359,28.63290482
fig.6666666.52381.peg.1092,SY28_RS05465,Intracellular trafficking_ assembly_ and processing,Peptidases,,M50 family peptidase,,1,E,41.04243013,93.96258534,41.94387758,58.98296435
fig.6666666.52381.peg.1093,SY28_RS05470,Intracellular trafficking_ assembly_ and processing,Peptidases,,M23 family peptidase,,3,G,378.5502332,389.0445441,401.4657011,389.6868261
fig.6666666.52381.peg.1094,SY28_RS05475,Transcription,Transcription factors,Rho-dependent termination,transcription termination factor Rho,rho,1,E,441.3188113,517.3047836,259.9535757,406.1923902
fig.6666666.52381.peg.1095,SY28_RS05480,Carbohydrate metabolism,Pentose phosphate pathway,pentose phosphate cycle_ non-oxidative phase,transaldolase TalA,talA,1,E,584.9647528,700.7543673,591.2802922,625.6664708
fig.6666666.52381.peg.1096,SY28_RS05485,Translation,Transfer RNA biogenesis,tRNA aminoacylation,isoleucyl-tRNA synthetase IleS,ileS,3,G,112.3318751,121.2150324,157.5716849,130.3728641
fig.6666666.52381.peg.1097,SY28_RS05490,Unknown function,General,,hypothetical protein,,3,G,34.92308679,64.1587564,72.25524683,57.11236334
fig.6666666.52381.peg.1098,SY28_RS05495,Intracellular trafficking_ assembly_ and processing,Peptidases,,Xaa-Pro aminopeptidase PepP,pepP,2,F,121.0260378,87.75426245,161.2466716,123.342324
fig.6666666.52381.peg.1099,SY28_RS14710,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,,lytic transglycolase RlpA,rlpA,3,G,53.18959437,47.3058752,40.75278604,47.08275187
fig.6666666.52381.peg.11,SY28_RS00055,Amino acid metabolism,Lysine biosynthesis,lysine biosynthesis via alpha-aminoadipate (AAA pathway),bifunctional N-acetyl-gamma-glutamyl-phosphate/LysW-gamma-L-alpha-aminoadipyl-6-phosphate reductase LysY,lysY,2,F,279.4055777,187.5545256,249.5975408,238.852548
fig.6666666.52381.peg.110,SY28_RS00550,Signal transduction,Two-component systems,,two component signal transduction system LuxR family response regulator,,4,H,110.0037414,169.3046906,263.1107243,180.8063854
fig.6666666.52381.peg.1100,SY28_RS05505,Nucleic acid metabolism,DNA replication_ recombination_ and repair,Base excision repair,deoxyribonuclease IV Nfo,nfo,3,G,65.84233703,37.60906549,8.469231451,37.30687799
fig.6666666.52381.peg.1102,SY28_RS05515,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,heat shock proteins,HSP20 family protein,,3,G,83.36416575,38.1656638,30.94831306,50.82604754
fig.6666666.52381.peg.1103,SY28_RS05520,Nucleic acid metabolism,Pyrimidine metabolism,,thimidine kinase Tdk,tdk,2,F,150.3684976,65.27520203,91.95605481,102.5332515
fig.6666666.52381.peg.1104,SY28_RS05525,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L31 RpmE,rpmE,2,F,2534.416461,2097.451642,2434.616773,2355.494959
fig.6666666.52381.peg.1105,SY28_RS05530,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,phenylalanine and tyrosine biosynthesis from chorismate,chorismate mutatase II AroH,aroH,2,F,138.2559138,35.53093779,85.36490596,86.38391917
fig.6666666.52381.peg.1106,SY28_RS05535,Translation,Transfer RNA biogenesis,tRNA aminoacylation,methionyl-tRNA synthetase MetG,metG,4,H,67.20167715,53.14537793,71.28858291,63.878546
fig.6666666.52381.peg.1107,SY28_RS05540,Carbohydrate metabolism,Pentose phosphate pathway,pentose phosphate cycle_ non-oxidative phase,ribose 5-phosphate isomerase RpiA,rpiA,2,F,99.44527008,64.55364646,117.1767744,93.7252303
fig.6666666.52381.peg.1108,SY28_RS05545,Defense and invasion systems,Detoxification and inactivation,resistance to reactive oxygen species (ROS),peroxiredoxin,bcp,4,H,146.0352478,299.9247472,429.6055177,291.8551709
fig.6666666.52381.peg.1109,SY28_RS05550,Unknown function,Enzymes of unknown specificity,,adenosine monophosphate-protein transferase,,4,H,15.92702474,49.1092647,16.09338391,27.04322445
fig.6666666.52381.peg.111,SY28_RS00555,Transport and binding proteins,Unknown substrate,,DMT superfamily transporter,,2,F,74.80121317,17.67846765,64.50914605,52.32960896
fig.6666666.52381.peg.1111,SY28_RS05556,Unknown function,General,,hypothetical protein,,2,F,57.67365208,40.86057845,74.36125831,57.63182961
fig.6666666.52381.peg.1112,SY28_RS05560,Amino acid metabolism,Arginine and proline metabolism,proline biosynthesis,pyrroline-5-carboxylate reductase ProC,proC,2,F,25.89963399,44.9217916,46.17786555,38.99976371
fig.6666666.52381.peg.1113,SY28_RS05565,Translation,tRNA and rRNA base modification,tRNA N6-threonylcarbamoyladenosine modification,tRNA threonylcarbamoyl adenosine modification protein YeaZ,yeaZ,4,H,41.7747745,73.59503812,131.1844034,82.18473867
fig.6666666.52381.peg.1114,SY28_RS05570,Translation,tRNA and rRNA base modification,16S rRNA modification factors,16S rRNA (guanine1207-N2)-methyltransferase RsmC,rsmC,1,E,157.948594,218.7135205,77.92219389,151.5281028
fig.6666666.52381.peg.1116,SY28_RS05575,Transcription,Transcription factors,,RNA polymerase primary sigma factor RpoD,rpoD,2,F,306.2761362,344.0645363,301.9349459,317.4252061
fig.6666666.52381.peg.1117,SY28_RS05576,Unknown function,General,,hypothetical protein,,2,F,95.77561546,34.46182301,74.55922167,68.26555338
fig.6666666.52381.peg.1118,SY28_RS05580,Unknown function,General,,hypothetical protein,,3,G,869.6566853,712.9107248,695.8669163,759.4781088
fig.6666666.52381.peg.1119,SY28_RS05585,Unknown function,General,,hypothetical protein,,3,G,569.1855101,550.9631411,367.1428971,495.7638494
fig.6666666.52381.peg.1120,SY28_RS05590,Prosthetic groups_ cofactors_ and carriers,Iron sulfur clusters,iron-sulfur cluster assembly SUF system,cysteine desulfuration protein SufE,sufE,3,G,539.7077145,451.3550473,309.9451055,433.6692891
fig.6666666.52381.peg.1122,SY28_RS05605,Carbohydrate metabolism,Pyruvate metabolism,,acylphosphatase AcyP,acyP,2,F,107.5314052,40.93960929,129.1177719,92.52959547
fig.6666666.52381.peg.1123,SY28_RS05610,Unknown function,General,ribosome-binding GTPase,GTP-binding protein HflX,hflX,4,H,79.81275838,138.380702,160.1758329,126.1230978
fig.6666666.52381.peg.1124,SY28_RS05615,Unknown function,Enzymes of unknown specificity,,HAD superfamily hydrolase,,2,F,172.7599044,140.6399822,135.9819117,149.7939328
fig.6666666.52381.peg.1125,SY28_RS05620,Unknown function,General,,hypothetical protein,,2,F,94.62649819,39.06755127,105.7737601,79.82260318
fig.6666666.52381.peg.1128,SY28_RS05630,Cell structure_ growth_ and death,Chromosome and associated proteins,chromosome partitioning proteins_ inhibitors of FtsZ assembly,cell division initiation protein DivIVA,divIVA,2,F,72.79743303,71.86650978,55.89087042,66.85160441
fig.6666666.52381.peg.1129,SY28_RS05635,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,inositol uptake system,ABC-type myo-inositol uptake system substrate-binding component InoE,inoE,2,F,28.52991352,31.00242806,40.9430068,33.49178279
fig.6666666.52381.peg.113,SY28_RS00565,Terpenoids and polyketides metabolism,Terpenoid backbone biosynthesis,,short-chain Z-isoprenyl diphosphate synthase UppS1,uppS1,2,F,91.88193675,108.8277215,66.68599664,89.13188496
fig.6666666.52381.peg.1135,SY28_RS05665,Carbohydrate metabolism,Inositol phosphate metabolism,myo-inositol degradation,5-dehydro-2-deoxygluconokinase IolC,iolC,2,F,17.40840975,10.75018368,17.55970369,15.23943237
fig.6666666.52381.peg.1138,SY28_RS05680,Carbohydrate metabolism,Inositol phosphate metabolism,myo-inositol degradation,5-deoxy-glucuronate isomerase IolB,iolB,2,F,12.18438082,9.16016455,13.40341038,11.58265192
fig.6666666.52381.peg.1139,SY28_RS05685,Regulatory functions,DNA interactions,myo-inositol degradation,DeoR family transcriptional regulator of myo-inositol degradation,,2,F,8.946038108,26.07783649,23.17795468,19.40060976
fig.6666666.52381.peg.1140,SY28_RS05690,Unknown function,Enzymes of unknown specificity,,PLP-dependent protein modulating 2-ketobutyrate and CoA availability YggS,yggS,3,G,79.03943152,23.47465908,21.14965354,41.22124805
fig.6666666.52381.peg.1141,SY28_RS05695,Nucleic acid metabolism,General,deoxynucleoside degradation,purine-nucleoside phosphorylase PunA,punA,1,E,68.70333681,118.115303,74.56456866,87.12773616
fig.6666666.52381.peg.1142,SY28_RS05700,Transcription,RNA polymerase,RNA polymerase RpoABCEZ,DNA-directed RNA polymerase beta' subunit RpoC,rpoC,3,G,456.5301756,449.9078179,307.8907809,404.7762581
fig.6666666.52381.peg.1143,SY28_RS05705,Transcription,RNA polymerase,RNA polymerase RpoABCEZ,DNA-directed RNA polymerase beta subunit RpoB,rpoB,2,F,7039.534383,6055.481104,6606.202466,6567.072651
fig.6666666.52381.peg.1144,SY28_RS05710,Translation,Transfer RNA biogenesis,tRNA aminoacylation,seryl-tRNA synthetase SerS,serS,2,F,76.04161825,29.07433774,68.84557837,57.98717812
fig.6666666.52381.peg.1145,SY28_RS05715,Translation,Aminoacyl-tRNA biosynthesis,GatABC aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase complex,bifunctional aspartyl-tRNA(Asn) / glutamyl-tRNA(Gln) amidotransferase subunit GatC,gatC,2,F,120.3273037,83.50286124,89.34338394,97.7245163
fig.6666666.52381.peg.1147,SY28_RS05720,Amino acid metabolism,Cysteine and methionine metabolism,methionine biosynthesis,O-acetylhomoserine (thiol)-lyase MetY,metY,2,F,19.46462703,33.74384937,50.71573074,34.64140238
fig.6666666.52381.peg.1148,SY28_RS05725,Amino acid metabolism,Cysteine and methionine metabolism,methionine biosynthesis from homoserine,homoserine O-acetyltransferase MetX,metX,2,F,3.118153757,14.34144346,10.34271907,9.267438764
fig.6666666.52381.peg.1149,SY28_RS05730,Amino acid metabolism,Glycine_ serine_ and threoine metabolism,glycine cleavage system GcvHLPT,decarboxylating glycine dehydrogenase GcvP,gcvP,2,F,121.2963446,81.92954422,75.59949672,92.94179517
fig.6666666.52381.peg.1150,SY28_RS05731,Mobile and extrachromosomal element functions,Selfish genetic elements,,transposase,,1,E,100.214323,165.6464174,132.4587799,132.7731734
fig.6666666.52381.peg.1151,SY28_RS05735,Unknown function,General,,hypothetical protein,,2,F,42.35290991,57.24993243,68.075498,55.89278011
fig.6666666.52381.peg.1152,SY28_RS05740,Defense and invasion systems,Restriction-modification systems,restriction enzyme system_ type I,type I site-specific restriction-modification system specificity subunit HsdS,hsdS,2,F,76.16973046,50.3711903,49.5635835,58.70150142
fig.6666666.52381.peg.1153,SY28_RS05745,Unknown function,General,,hypothetical protein,,2,F,95.83280624,106.4048604,65.78912997,89.34226552
fig.6666666.52381.peg.1154,SY28_RS05750,Defense and invasion systems,Restriction-modification systems,restriction enzyme system_ type I,type I site-specific restriction-modification system DNA methyltransferase subunit HsdM,hsdM,2,F,62.94073986,72.67230986,57.9434801,64.51884327
fig.6666666.52381.peg.1156,SY28_RS05760,Unknown function,General,,hypothetical protein,,2,F,16.96251808,46.39282198,19.88946864,27.74826957
fig.6666666.52381.peg.116,SY28_RS00590,Intracellular trafficking_ assembly_ and processing,Peptidases,intramolecular chaperones,serine protease,,2,F,19.41426766,13.17963686,28.1870673,20.26032394
fig.6666666.52381.peg.1160,SY28_RS05770,Unknown function,General,,hypothetical protein,,2,F,21.36636119,37.04070628,13.24587799,23.88431515
fig.6666666.52381.peg.1161,SY28_RS05775,Unknown function,General,,hypothetical protein,,2,F,30.61350128,20.19147603,35.02806491,28.61101407
fig.6666666.52381.peg.1164,SY28_RS05790,Mobile and extrachromosomal element functions,,,excisionase,,1,E,55.03187397,140.4722853,65.60262463,87.03559462
fig.6666666.52381.peg.1166,SY28_RS05800,Carbohydrate metabolism,,,carboxymuconolactone decarboxylase,,2,F,19.72781041,27.12735499,57.51532849,34.79016463
fig.6666666.52381.peg.1168,SY28_RS14715,Unknown function,General,,hypothetical protein,,2,F,45.59909236,26.15077021,13.24587799,28.33191352
fig.6666666.52381.peg.117,SY28_RS00595,Carbohydrate metabolism,Pyruvate metabolism,lactate utilization,L-lactate dehydrogenase subunit LldG,lldG,2,F,47.03862949,32.81577713,27.28638765,35.71359809
