RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions
N/A,tll0187,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,multiple sugar uptake system,ABC-type multiple sugar uptake system permease component,,3,G,1129.709033,1113.948344,971.1494229,1071.602266
N/A,tll0188,Transport and binding proteins,Cations and iron carrying compounds,ammonium uptake,ammonium permease Amt,amt,3,G,8105.678122,6504.891963,5744.274849,6784.948311
N/A,tll0199,Unknown function,General,None,hypothetical protein,,3,G,509.5068029,415.214309,393.1875961,439.3029027
N/A,tll0200,Unknown function,General,None,membrane protein of unknown function DUF3120,,0,,351.3962304,339.2413764,344.4406412,345.0260826
N/A,tll0201,Unknown function,General,None,hypothetical protein,,3,G,649.3518352,463.5854994,505.3333559,539.4235635
N/A,tll0202,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecF,secF,4,H,4256.526514,4241.162414,4357.715746,4285.134892
N/A,tll0203,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecD,secD,3,G,4754.963412,4651.472696,4289.28848,4565.241529
N/A,tll0204,Carbohydrate metabolism,Pyruvate metabolism,pyruvate dehydrogenase complex PdhABCD-AceE,pyruvate dehydrogenase E1 component beta subunit PdhB,pdhB,3,G,10958.51266,9328.875333,6816.447623,9034.611872
N/A,tll0205,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel3 transposase TnpA_ISTel3,tnpA_ISTel3,0,,9.840948088,13.96736829,31.29811576,18.36881071
N/A,tll0210,Intracellular trafficking_ assembly_ and processing,Peptidases,membrane protease,intramembrane C-terminal tripeptide endopeptidase M79 family,,4,H,1024.378538,1411.125312,1849.843054,1428.448968
N/A,tll0211,Regulatory functions,Protein interactions,clpXP degradation machine,ATP-dependent Clp protease adaptor protein ClpS,clpS,2,F,8935.12617,7994.466673,9082.968735,8670.853859
N/A,tll0212,Translation,Transfer RNA biogenesis,tRNA aminoacylation,class II lysyl-tRNA synthetase LysS,lysS,3,G,5568.832366,5094.778653,4436.782069,5033.464363
N/A,tll0214,Transport and binding proteins,Unknown substrate,None,ABC-type export system hybrid permease / ATPase MdlB,mdlB,3,G,1665.350153,1171.657219,989.0966503,1275.368008
N/A,tll0216,Amino acid metabolism,Histidine metabolism,histidine biosynthesis from ribose-5-phosphate,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase HisA,hisA,3,G,4983.333151,4969.566712,3931.842676,4628.247513
N/A,tll0217,None,None,None,None,None,4,H,456.989648,628.2873784,642.8011767,576.0260677
N/A,tll0218,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,7-cyano-7-deazaguanine reductase QueF1,queF1,4,H,16681.42734,17684.14913,18961.08608,17775.55419
N/A,tll0220,Regulatory functions,Protein interactions,NADH dehydrogenase I,NDH-1 complex sensory subunit CupS,cupS,1,E,9001.462495,10398.84247,9219.992179,9540.099048
N/A,tll0222,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel3 transposase TnpA_ISTel3,tnpA_ISTel3,0,,2.420353983,6.728774987,7.585886134,5.578338368
N/A,tll0223,Transport and binding proteins,Unknown substrate,None,P-FAT family ABC-type export system hybrid permease / ATPase,,0,,1252.540247,1222.512493,1260.565611,1245.206117
N/A,tll0231,Prosthetic groups_ cofactors_ and carriers,Nicotinate and nicotinamide metabolism,NAD(P) biosynthesis from L-aspartate and DHAP,quinolinate synthase NadA,nadA,3,G,1461.7326,1219.920027,1078.331878,1253.328168
N/A,tll0232,Terpenoids and polyketides metabolism,Carotenoid metabolism,myxoxanthophyll biosynthesis,C-3'_4' desaturase CrtD,crtD,4,H,838.0635107,1036.250543,1128.603352,1000.972469
N/A,tll0233,Amino acid metabolism,Histidine metabolism,histidine biosynthesis,bifunctional phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase HisIE,hisIE,3,G,5317.235856,4101.190402,4024.522035,4480.982764
N/A,tll0236,Amino acid metabolism,Alanine_ aspartate and glutamate metabolism,aspartate-asparagine interconversion,asparagine synthetase [glutamine-hydrolyzing] AsnB,asnB,3,G,4179.801309,3958.912937,3692.852227,3943.855491
N/A,tll0248,Unknown function,General,None,protein of unknown function DUF2949,,4,H,843.7491067,1254.776119,2016.952561,1371.825929
N/A,tll0251,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan bioysnthesis and recycling,N-acetylmuramoyl-L-alanine amidase AmiA,amiA,3,G,4426.569745,3792.783639,3239.083988,3819.479124
N/A,tll0255,Transport and binding proteins,Amino acids_ peptides and amines,None,APC family amino acid-polyamine transporter,,0,,71.67733226,63.53004639,60.20526791,65.13754885
N/A,tll0256,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel2 transposase OrfB TnpB_ISTel2,tnpB_ISTel2,0,,21.06079664,11.19327881,33.8680954,22.04072361
N/A,tll0259,Translation,Translation factors,release factors,ribosome recycling factor Frr,frr,1,E,6836.504917,7548.080288,6520.930015,6968.505073
N/A,tll0260,Nucleic acid metabolism,Pyrimidine metabolism,None,uridylate kinase PyrH,pyrH,3,G,6098.795015,5621.345742,4685.279144,5468.4733
N/A,tll0266,Unknown function,General,None,uncharacterized isomerase yddE PhzC-PhzF family,yddE,3,G,1385.126985,1104.734728,835.8262067,1108.56264
N/A,tll0268,Transport and binding proteins,Unknown substrate,None,integral membrane protein TerC family,,4,H,4948.192025,5411.711684,5389.083542,5249.662417
N/A,tll0269,Unknown function,General,None,extracytoplasmic TPR repeat domain protein,,4,H,6655.617592,7802.698719,7580.58959,7346.301967
N/A,tll0277,Amino acid metabolism,Glycine_ serine and threonine metabolism,homoserine biosynthesis from aspartate,homoserine dehydrogenase ThrA,thrA,3,G,3725.489458,3461.746386,2971.351582,3386.195808
N/A,tll0278,Unknown function,General,None,COG2187 family uncharacterized protein,,3,G,3285.434807,2473.945908,1897.421167,2552.267294
N/A,tll0280,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,nucleoid associated proteins,DnaJ-class molecular chaperone CbpA,cbpA,3,G,4547.021222,3493.920062,3666.390212,3902.443832
N/A,tll0282,Unknown function,General,None,pentapeptide repeat protein,,4,H,243.534168,450.0404661,896.3833893,529.9860078
N/A,tll0286,Unknown function,General,None,hypothetical protein,,0,,137.9141567,165.6748799,180.0271271,161.2053879
N/A,tll0287,Unknown function,General,photosystem II,hemoprotein associated with the PsbA2-Photosystem II complex,,2,F,622.4770791,529.7011584,626.2557307,592.8113227
N/A,tll0288,Energy metabolism,Sulfur metabolism,sulfide reduction to polysulfide,sulfide quinone reductase Sqr,sqr,0,,329.2362714,297.2948409,299.2831888,308.604767
N/A,tll0290,Glycan biosynthesis and metabolism,Other glycan degradation,mannose hydrolysis from N-glycans,alpha-mannosidase Ams1,ams1,3,G,1151.530579,1030.368428,1005.988304,1062.629104
N/A,tll0292,Unknown function,Enzymes of unknown specificity,None,possible alpha/beta hydrolase superfamily,,3,G,647.0853596,632.4038849,506.2072053,595.2321499
N/A,tll0300,Unknown function,Enzymes of unknown specificity,None,haloacid dehalogenase superfamily subfamily IA hydrolase,,3,G,1309.946794,982.9929554,727.9569582,1006.965569
N/A,tll0303,Transport and binding proteins,Cations and iron carrying compounds,Na-dependent K uptake system KtrAB,Na-dependent potassium uptake system permease component KtrB,ktrB,3,G,832.6255612,713.638226,654.6713863,733.6450578
N/A,tll0306,Unknown function,Enzymes of unknown specificity,None,transglutaminase-like superfamily protein,,4,H,1435.840103,1617.721451,1836.187914,1629.916489
N/A,tll0307,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,ClpP3-ClpR-ClpC proteolytic complex,Clp3 protease chaperone ClpC,clpC,1,E,27066.94744,29293.99774,25526.14288,27295.69602
N/A,tll0312,Nucleic acid metabolism,DNA replication_ recombination_ and repair,nucleotide excision repair,UvrD/REP helicase domain-containing protein,,4,H,773.6249172,893.4996244,1112.024329,926.3829568
N/A,tll0314,Unknown function,Enzymes of unknown specificity,None,glycosyltransferase family 2,,0,,153.1890091,132.7081469,140.6575851,142.1849137
N/A,tll0315,Unknown function,General,None,protein of unknown function DUF3110,,3,G,760.5499625,644.6091859,560.2799132,655.1463538
N/A,tll0316,Transport and binding proteins,Accesory functions,TonB energy transduction system,biopolymer transport system component ExbB,exbB,3,G,1963.651579,1470.219364,1200.560636,1544.810527
N/A,tll0321,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,KDO(2)-lipid A (Re LPS) biosynthesis and delivery,lipid-A-disaccharide synthase LpxB,lpxB,2,F,1364.371403,1222.589713,1331.608764,1306.18996
N/A,tll0322,Metabolism of other amino acids and amines,Glutathione metabolism,glutathione biosynthesis,glutamate-cysteine ligase GshA,gshA,3,G,2791.5299,2367.433341,1801.462368,2320.14187
N/A,tll0327,Fatty acid and lipid metabolism,Biosynthesis,digalactosyldiacylglycerol biosynthesis,digalactosyldiacylglycerol (DGDG) synthase DgdA,dgdA,1,E,2553.813137,2717.490395,2390.239685,2553.847739
N/A,tll0328,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,intermembrane phospholipid trafficking MlaACDEF,ABC-type phospholipid uptake system ATPase component MlaF,mlaF,2,F,3506.466069,3180.525607,3364.533535,3350.508403
N/A,tll0329,Defense and invasion systems,Protein_ prosthetic group_ membrane repair,Iron-sulfur cluster repair,IscA FeS stabilizing protein IaiH,iaiH,4,H,2042.756469,2664.830542,2868.642489,2525.409833
N/A,tll0330,Energy metabolism,Nitrogen metabolism,urease,urease beta subunit UreB,ureB,4,H,1009.387433,1089.046027,1204.757656,1101.063705
N/A,tll0331,Prosthetic groups_ cofactors_ and carriers,Vitamin B6 metabolism,pyridoxal biosynthesis from erythrose-4P,pyridoxamine 5'-phosphate oxidase PdxH,pdxH,1,E,2260.050684,2478.355787,2166.866636,2301.757702
N/A,tll0332,Unknown function,General,None,membrane protein of unknown function DUF2339,,4,H,279.1379106,283.3567576,337.1424769,299.8790483
N/A,tll0336,Unknown function,Enzymes of unknown specificity,None,polyketide cyclase / dehydrase family enzyme,,4,H,6259.070694,6461.321526,7779.531171,6833.307797
N/A,tll0337,Terpenoids and polyketides metabolism,Carotenoid metabolism,lycopene biosynthesis from isopentyl pyrophosphate (IPP),zeta-carotene desaturase CrtQ,crtQ,1,E,3457.515663,4015.778954,3764.480198,3745.924938
N/A,tll0340,Intracellular trafficking_ assembly_ and processing,Peptidases,None,family S33 unassigned peptidase,,3,G,223.8682707,181.8824155,135.6140425,180.4549095
N/A,tll0357,Unknown function,General,None,hypothetical protein,,4,H,188.7261694,245.8035747,332.4533026,255.6610156
N/A,tll0358,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,chorismate from erythrose-4P,3-deoxy-7-phosphoheptulonate synthase AroA2,aroA2,4,H,2428.692399,3233.200057,3909.994495,3190.628984
N/A,tll0360,Unknown function,Enzymes of unknown specificity,None,NmrA family protein Ycf39-like,,3,G,312.4836692,193.1819123,165.2989701,223.6548505
N/A,tll0365,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,bilin biosynthesis,heme oxygenase (decyclizing) Hox1,hox1,3,G,51177.29324,44393.72016,36475.1589,44015.39077
N/A,tll0366,Amino acid metabolism,Arginine and proline metabolism,arginine biosynthesis from ornithine_ carbamoyl-p_ and aspartate (urea cycle),argininosuccinate lyase ArgH,argH,3,G,2387.530539,2068.288399,2055.330572,2170.38317
N/A,tll0369,Unknown function,Enzymes of unknown specificity,None,TPR repeat-containing glycosyltransferase family 2,,0,,383.6666928,368.1593064,412.3685172,388.0648388
N/A,tll0370,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan biosynthesis,UDP-N-acetylenolpyruvoylglucosamine reductase MurB,murB,3,G,4992.243403,4510.018158,4544.781781,4682.34778
N/A,tll0371,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan biosynthesis,UDP-N-acetylmuramate--alanine ligase MurC,murC,3,G,4827.779928,4126.964392,3331.354686,4095.366335
N/A,tll0378,Intracellular trafficking_ assembly_ and processing,Peptidases,None,peptidase U62 modulator of DNA gyrase TldD/PmbA family,,0,,1134.928945,1140.430772,1162.300812,1145.886843
N/A,tll0380,Unknown function,Enzymes of unknown specificity,None,glycosyltransferase family 41,,0,,269.3338181,275.1556809,287.2807855,277.2567615
N/A,tll0381,None,None,None,None,None,4,H,103.3549553,115.0997877,166.7107301,128.388491
