gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
ftsY,ftsY,AKG35_RS00055,PMT0011,Protein Homology,12747.0,14201.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824701.1,signal recognition particle-docking protein FtsY,WP_011129390.1,"PMT0011,PMT_0011,RG24_RS00055",12747.0,14201.0,+,CK_Pro_MIT9313_00011,ftsY,"GO:0009306,GO:0006614,GO:0006184,GO:0003924,GO:0005047,GO:0005525",CK_00000356,L.1,Protein and peptide secretion and trafficking,"COG0552,bactNOG01692,cyaNOG00560","COG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,"protein secretion,SRP-dependent cotranslational protein targeting to membrane,obsolete GTP catabolic process,protein secretion,SRP-dependent cotranslational protein targeting to membrane,obsolete GTP catabolic process,GTPase activity,signal recognition particle binding,GTP binding",signal recognition particle-docking protein FtsY,"TIGR00064,PF00448,PF02881,PS00300,IPR000897,IPR013822,IPR004390","signal recognition particle-docking protein FtsY,SRP54-type protein%2C GTPase domain,SRP54-type protein%2C helical bundle domain,SRP54-type proteins GTP-binding domain signature.,Signal recognition particle%2C SRP54 subunit%2C GTPase domain,Signal recognition particle SRP54%2C helical bundle,Signal-recognition particle receptor FtsY",97,Protein fate / Protein and peptide secretion and trafficking
AKG35_RS00060,,AKG35_RS00060,PMT0012,Protein Homology,14264.0,15667.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824702.1,PP2C family protein-serine/threonine phosphatase,WP_011129391.1,"PMT0012,PMT_0012,RG24_RS00060",14264.0,15667.0,+,CK_Pro_MIT9313_00012,rsbU,"GO:0004721,GO:0004647",CK_00000355,O.2,Phosphotransferase systems (PTS),"COG2208,COG4231,bactNOG28480,bactNOG05232,bactNOG24914,bactNOG25290,bactNOG07199,cyaNOG00349","COG: TK,COG: METABOLISM [C] Energy production and conversion,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,cyaNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms",3.1.3.3,phosphoserine phosphatase,"phosphoprotein phosphatase activity,phosphoserine phosphatase activity",phosphoserine phosphatase RsbU/P,"PF07228,IPR001932,IPR029016","Stage II sporulation protein E (SpoIIE),PPM-type phosphatase domain,GAF-like domain superfamily",700,Signal transduction / PTS
argH,argH,AKG35_RS00065,PMT0013,Protein Homology,15697.0,17109.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129392.1,argininosuccinate lyase,WP_011129392.1,"PMT0013,PMT_0013,RG24_RS00065",15697.0,17109.0,+,CK_Pro_MIT9313_00013,argH,"GO:0042450,GO:0004056",CK_00000354,A.3,Glutamate family (Arg%2C Gln%2C Glu%2C Pro),"COG0165,bactNOG00740,cyaNOG02059","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",4.3.2.1,argininosuccinate lyase%3B arginosuccinase%3B argininosuccinic acid lyase%3B arginine-succinate lyase%3B N-(L-argininosuccinate) arginine-lyase%3B omega-N-(L-arginino)succinate arginine-lyase%3B 2-(omega-N-L-arginino)succinate arginine-lyase (fumarate-forming),"arginine biosynthetic process via ornithine,arginine biosynthetic process via ornithine,argininosuccinate lyase activity",argininosuccinate lyase,"TIGR00838,PF14698,PF00206,PS00163,IPR020557,IPR009049,IPR029419,IPR022761","argininosuccinate lyase,Argininosuccinate lyase C-terminal,Lyase,Fumarate lyases signature.,Fumarate lyase%2C conserved site,Argininosuccinate lyase,Argininosuccinate lyase%2C C-terminal,Fumarate lyase%2C N-terminal",73,Amino acid biosynthesis / Glutamate family
AKG35_RS00070,,AKG35_RS00070,PMT0014,Protein Homology,17233.0,17832.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129393.1,RNA recognition motif domain-containing protein,WP_011129393.1,"PMT0014,PMT_0014,RG24_RS00070",17233.0,17832.0,+,CK_Pro_MIT9313_00014,PMT0014,GO:0003676,CK_00008100,N.2,RNA interactions,"COG0724,bactNOG37496,cyaNOG05206,cyaNOG03294","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,nucleic acid binding,RNA-binding domain RNP-1 (RNA recognition motif) containing protein,"PF00076,PS50102,IPR000504","RNA recognition motif. (a.k.a. RRM%2C RBD%2C or RNP domain),Eukaryotic RNA Recognition Motif (RRM) profile.,RNA recognition motif domain",262,Regulatory functions / RNA interactions
dusA,dusA,AKG35_RS00075,PMT0015,Protein Homology,17842.0,18846.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824705.1,tRNA dihydrouridine(20/20a) synthase DusA,WP_041384817.1,"PMT0015,PMT_0015,RG24_RS00075",17842.0,18861.0,-,CK_Pro_MIT9313_00015,dusA,"GO:0008033,GO:0055114,GO:0002943,GO:0017150,GO:0050660",CK_00000353,K.3,tRNA and rRNA base modification,"COG0042,bactNOG00177,cyaNOG00450","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"tRNA processing,oxidation-reduction process,tRNA dihydrouridine synthesis,tRNA processing,oxidation-reduction process,tRNA dihydrouridine synthesis,tRNA dihydrouridine synthase activity,flavin adenine dinucleotide binding",tRNA dihydrouridine synthase,"PF01207,PS01136,IPR001269,IPR018517,IPR004653,IPR013785","Dihydrouridine synthase (Dus),Uncharacterized protein family UPF0034 signature.,tRNA-dihydrouridine synthase,tRNA-dihydrouridine synthase%2C conserved site,tRNA-dihydrouridine(20/20a) synthase,Aldolase-type TIM barrel",168,Protein synthesis / tRNA and rRNA base modification
msrB,msrB,AKG35_RS00080,PMT0016,Protein Homology,18916.0,19422.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129395.1,peptide-methionine (R)-S-oxide reductase MsrB,WP_011129395.1,"PMT0016,PMT_0016,RG24_RS00080",18916.0,19422.0,+,CK_Pro_MIT9313_00016,msrB,"GO:0055114,GO:0033743",CK_00000040,"D.1.7,L.2","Trace metals,Protein modification and repair","COG0229,bactNOG24089,bactNOG24659,bactNOG20112,bactNOG64357,cyaNOG02600","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",1.8.4.12,peptide-methionine (R)-S-oxide reductase%3B MsrB%3B methionine sulfoxide reductase (ambiguous)%3B pMSR%3B methionine S-oxide reductase (ambiguous)%3B selenoprotein R%3B methionine S-oxide reductase (R-form oxidizing)%3B methionine sulfoxide reductase B%3B SelR%3B SelX%3B PilB%3B pRMsr,"oxidation-reduction process,oxidation-reduction process,peptide-methionine (R)-S-oxide reductase activity",peptide methionine-R-sulfoxide reductase,"TIGR00357,PF01641,IPR002579,IPR011057","methionine-R-sulfoxide reductase,SelR domain,Peptide methionine sulphoxide reductase MrsB,Mss4-like superfamily","140,149","Protein fate / Protein modification and repair,Cellular processes / Adaptations to atypical conditions"
AKG35_RS00085,,AKG35_RS00085,PMT0017,Protein Homology,19349.0,20671.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824707.1,NAD(P)/FAD-dependent oxidoreductase,WP_011129396.1,"PMT0017,PMT_0017,RG24_RS00085",19349.0,20671.0,+,CK_Pro_MIT9313_00017,PMT0017,"GO:0055114,GO:0050662,GO:0016491",CK_00000352,R.2,Conserved hypothetical proteins,"COG2081,bactNOG05046,cyaNOG00744","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"oxidation-reduction process,oxidation-reduction process,coenzyme binding,oxidoreductase activity",flavoprotein%2C HI0933 family,"TIGR00275,PF03486,IPR004792,IPR023753","flavoprotein%2C HI0933 family,HI0933-like protein,3-Dehydro-bile acid delta(4%2C6)-reductase-like,FAD/NAD(P)-binding domain",156,Hypothetical proteins / Conserved
AKG35_RS00090,,AKG35_RS00090,PMT0018,Protein Homology,20646.0,21926.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129397.1,type II secretion system F family protein,WP_011129397.1,"PMT0018,PMT_0018,RG24_RS00090",20646.0,21926.0,-,CK_Pro_MIT9313_00018,pilC,"GO:0009306,GO:0016020",CK_00001563,"D.5,L.1","Chemotaxis and motility,Protein and peptide secretion and trafficking","COG1459,bactNOG00971,cyaNOG00575","COG: NU,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,"protein secretion,protein secretion,membrane",type II secretory pathway%2C component PulF,"PF00482,PS00874,IPR018076,IPR001992","Type II secretion system (T2SS)%2C protein F,Bacterial type II secretion system protein F signature.,Type II secretion system F domain,Type II secretion system conserved site","188,97","Cellular processes / Chemotaxis and motility,Protein fate / Protein and peptide secretion and trafficking"
AKG35_RS00095,,AKG35_RS00095,PMT0019,Protein Homology,21943.0,23019.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129398.1,type IV pilus twitching motility protein PilT,WP_011129398.1,"PMT0019,PMT_0019,RG24_RS00095",21943.0,23019.0,-,CK_Pro_MIT9313_00019,pilT1,"GO:0043107,GO:0006810,GO:0005524,GO:0017111",CK_00001816,"C.4,D.5","Surface structures,Chemotaxis and motility","COG2805,bactNOG00911,cyaNOG01665","COG: NU,bactNOG: U,cyaNOG: U",,,"type IV pilus-dependent motility,transport,type IV pilus-dependent motility,transport,ATP binding,nucleoside-triphosphatase activity",twitching motility protein PilT,"TIGR01420,PF00437,PS00662,IPR006321,IPR001482,IPR027417,IPR003593","twitching motility protein,Type II/IV secretion system protein,Bacterial type II secretion system protein E signature.,Pilus retraction protein PilT,Type II/IV secretion system protein,P-loop containing nucleoside triphosphate hydrolase,AAA+ ATPase domain","188,91","Cellular processes / Chemotaxis and motility,Cell envelope / Surface structures"
AKG35_RS00100,,AKG35_RS00100,PMT0020,Protein Homology,23030.0,24946.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824709.1,GspE/PulE family protein,WP_011129399.1,"PMT0020,PMT_0020,RG24_RS00100",23030.0,24946.0,-,CK_Pro_MIT9313_00020,pilB,,CK_00001687,"C.4,D.1.9,D.5","Surface structures, Other,Chemotaxis and motility","COG2804,bactNOG00489,bactNOG00911,cyaNOG00826","COG: NU,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: U,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,,type II secretory pathway%2C ATPase PulE/Tfp pilus assembly pathway%2C ATPase PilB,"PF00437,PF05157,IPR001482,IPR007831","Type II/IV secretion system protein,Type II secretion system (T2SS)%2C protein E%2C N-terminal domain,Type II/IV secretion system protein,General secretory system II%2C protein E%2C N-terminal","188,91","Cellular processes / Chemotaxis and motility,Cell envelope / Surface structures"
