NATL2_00211,PMN2A_RS00120,PMN2A_1349,-0.384,0.051,-6.473***,-0.31,0.378,-1.151***,murC,UDP-N-acetylmuramate--alanine ligase,UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8),
NATL2_00221,PMN2A_RS00125,PMN2A_1350,-2.081***,-1.754***,1.734***,-2.189***,-2.876***,-1***,gapA,glyceraldehyde-3-phosphate dehydrogenase,NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),
NATL2_00231,PMN2A_RS00130,PMN2A_1351,-0.186,-1.633***,4.222***,0.412,-0.382,0.376,thiL,thiamine monophosphate kinase,Thiamine-monophosphate kinase (EC 2.7.4.16),
NATL2_00241,PMN2A_RS00135,PMN2A_1352,-0.088,-0.21,2.109***,0.096,-0.214,0.832,,peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase,
NATL2_00251,PMN2A_RS00140,PMN2A_1353,0.009,0.99***,1.634***,0.146,0.651,0.477,efp,elongation factor P,Translation elongation factor P,
NATL2_00261,PMN2A_RS00145,PMN2A_1354,0.187,0.841***,1.623***,-0.319,-0.287,-0.662***,accB,carboxylesterase,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,
NATL2_00271,PMN2A_RS00150,PMN2A_1355,-0.127,0.258,-6.218***,-0.339,-0.019,-1.08***,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),
NATL2_00281,PMN2A_RS00155,PMN2A_1356,0.107,-0.187,-6.497***,-0.039,0.018,-1.157***,,oxidoreductase,Nucleoside-diphosphate-sugar epimerases,
NATL2_00301,PMN2A_RS00165,PMN2A_1358,0.449,-4.857***,-4.777***,0.452,0.442,-2.1***,,HNH nuclease,HNH endonuclease:HNH nuclease,
NATL2_00311,PMN2A_RS00170,PMN2A_1359,1.172,0.992,0.168,0.68,1.823***,-1.291***,,hypothetical protein,possible Bacterial type II secretion system protein,
NATL2_00321,PMN2A_RS00175,PMN2A_1360,-0.721,2.359***,0,-0.094,-0.6,-1.175,,hypothetical protein,FIG00942613: hypothetical protein,
NATL2_00331,PMN2A_RS00180,PMN2A_1361,0.535,-1.254***,-4.342***,0.661,-0.48,-1.043***,spt,class V aminotransferase,Serine--glyoxylate aminotransferase (EC 2.6.1.45),
NATL2_00341,PMN2A_RS00185,PMN2A_1362,-0.251,-0.87***,-6.467***,0.233,0.358,0.511,cbiD,Cobalt-precorrin-5B C(1)-methyltransferase,"Cobalt-precorrin-6 synthase, anaerobic",
NATL2_00351,PMN2A_RS00190,PMN2A_1363,0.128,-1.979***,-6.368***,0.372,-0.409,-3.035***,guaA,GMP synthase [glutamine-hydrolyzing],"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)",
NATL2_00361,PMN2A_RS00195,PMN2A_1364,0.125,-0.624,-5.816***,0.023,0.9,0.136,,hypothetical protein,hypothetical protein,
NATL2_00371,PMN2A_RS00200,PMN2A_1365,0.378,-4.113***,0,1.079,2.296,0.321,,hypothetical protein,restriction endonuclease,
NATL2_00381,PMN2A_RS00205,PMN2A_1366,-0.296,0.042,-5.665***,-0.202,1.225***,0.224,,hypothetical protein,Translation elongation factor P,
NATL2_00391,PMN2A_RS00210,PMN2A_1367,0.365,1.443***,-6.377***,0.219,0.26,-3.088***,,hypothetical protein,FIG00943198: hypothetical protein,
NATL2_00401,PMN2A_RS00215,PMN2A_1368,-0.154,-6.288***,-0.266,0.13,-1.524***,-3.494***,,potassium transporter Kef,"Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family",
NATL2_00411,PMN2A_RS00220,PMN2A_1369,0.349,-4.387***,-5.283***,0.562,-2.68***,-1.812***,,hypothetical protein,FIG00943640: hypothetical protein,
NATL2_00421,PMN2A_RS00225,PMN2A_1370,-1.234,-4.355***,-4.925***,-1.444***,-3.579***,-4.432***,,hypothetical protein,FIG00940220: hypothetical protein,
NATL2_00431,PMN2A_RS00230,PMN2A_1371,-0.154,0.367,-6.11***,0.352,-0.39,-3.841***,,membrane protein,FIG00940093: hypothetical protein,
NATL2_00441,PMN2A_RS00235,PMN2A_1372,-0.743,-0.672,-6.806***,-0.01,0.217,-0.475,,hypothetical protein,FIG00941294: hypothetical protein,
NATL2_00451,PMN2A_RS00240,PMN2A_1373,-0.588,1.016,-6.083***,0.087,0.511,-0.899,ftsI,penicillin-binding protein,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),
NATL2_00461,PMN2A_RS00245,PMN2A_1374,0.095,-0.943,2.39***,-0.275,0.075,-0.332,,reductase,Possible reductase,
NATL2_00471,PMN2A_RS00250,PMN2A_1375,0.388,0.612***,5.912***,-0.452,0.283,3.034***,,flavin oxidoreductase,Diflavin flavoprotein SYNW2368,
NATL2_00481,PMN2A_RS00255,PMN2A_1376,0.88***,1.756***,6.522***,0.576,1.353***,5.303***,,DeoR family transcriptional regulator,Diflavin flavoprotein SYNW2367,
NATL2_00491,PMN2A_RS00260,PMN2A_1377,0.552,2.939***,2.551***,0.958***,2.072***,1.343***,alaS,alanine--tRNA ligase,Alanyl-tRNA synthetase (EC 6.1.1.7),
NATL2_00501,PMN2A_RS00265,PMN2A_1378,-1.453***,-1.834***,-5.763***,-1.286***,-1.858***,-3.411***,speA,arginine decarboxylase,Biosynthetic arginine decarboxylase (EC 4.1.1.19),
NATL2_00511,PMN2A_RS00270,PMN2A_1379,-1.857***,-2.4***,-5.603***,-1.345***,-2.561***,-0.705,ndk,nucleoside diphosphate kinase,Nucleoside diphosphate kinase (EC 2.7.4.6),
NATL2_00521,PMN2A_RS00275,PMN2A_1380,-0.562,-0.007,-4.904***,-0.366,-0.42,-2.366***,thiO,amino acid oxidase,Glycine oxidase ThiO (EC 1.4.3.19),
NATL2_00531,PMN2A_RS00280,PMN2A_1381,-0.157,-0.518,2.502***,-0.338,0.105,-0.444,gatB,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),
NATL2_00541,PMN2A_RS00285,PMN2A_1382,-0.199,-4.104***,-7.198***,-0.279,-0.165,-1.084,coaE,dephospho-CoA kinase,Dephospho-CoA kinase (EC 2.7.1.24),
NATL2_00551,PMN2A_RS00290,PMN2A_1383,-1.012,-0.809,0.44,-0.256,-0.263,-1.513***,argJ,arginine biosynthesis protein ArgJ,Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1),
NATL2_00561,PMN2A_RS00295,PMN2A_1384,0.195,-0.064,-7.54***,0.103,-0.171,-3.005***,,hypothetical protein,FIG00944767: hypothetical protein,
NATL2_00571,PMN2A_RS00300,PMN2A_1385,-0.624,-0.896***,-6.787***,-0.343,-0.482,-2.435***,,hypothetical protein,FIG00944767: hypothetical protein,
NATL2_00581,PMN2A_RS00305,PMN2A_1386,-1.157,1.557***,-6.649***,-0.908,-2.537***,-4.887***,,cupin,Predicted enzyme of the cupin superfamily,
NATL2_00591,PMN2A_RS00310,PMN2A_1897,0.208,1.107,-6.396***,0.408,0.983,-3.897***,,hypothetical protein,hypothetical protein,
NATL2_00601,PMN2A_RS00315,PMN2A_1387,0.041,1.374,-0.351,2.564,1.553,-4.619***,,hypothetical protein,hypothetical protein,
NATL2_00611,PMN2A_RS00320,PMN2A_1388,2.122***,-1.446***,-6.312***,1.815***,3.448***,-3.394***,,hypothetical protein,hypothetical protein,
NATL2_00621,,PMN2A_1389,-0.407,-4.479***,-4.779***,0.123,0.755,0.061,,,FIG00944767: hypothetical protein,
NATL2_00641,PMN2A_RS00330,PMN2A_1390,0,-4.587***,-4.912***,0.32,1.013,0.203,cynS,cyanate hydratase,Cyanate hydratase (EC 4.2.1.104),
NATL2_00651,,PMN2A_1391,-1.368,-1.285,-5.379***,-1.038,-1.586,-1.774***,,,FIG00944767: hypothetical protein,
NATL2_00661,,PMN2A_1392,0.574,1.124,-1.941***,1.996,0.622,-2.22***,,,hypothetical protein,
NATL2_00671,PMN2A_RS00340,PMN2A_1393,0.822,-2.905***,-2.53***,-0.831,-0.259,-0.631,,hypothetical protein,FIG00943449: hypothetical protein,
NATL2_00681,,PMN2A_1899,-0.397,-3.33***,-2.205***,0.649,0.323,-1.76***,,,FIG00941197: hypothetical protein,
NATL2_00691,,PMN2A_1900,-1.379,-1.746,-1.626,1.137,-3.992***,-3.673***,,,FIG00944546: hypothetical protein,
NATL2_00701,PMN2A_RS00350,PMN2A_1901,-1.323***,-4.961***,-6.833***,-1.161,-0.806,-5.456***,,hypothetical protein,hypothetical protein,
NATL2_00711,,PMN2A_1902,-0.856,-1.332***,-6.554***,-0.324,-1.738***,-8.22***,,,FIG00941933: hypothetical protein,
NATL2_00721,PMN2A_RS00355,PMN2A_1394,0.604,-3.853***,-7.379***,-1.671,-0.513,-5.356***,,hypothetical protein,FIG00943756: hypothetical protein,
NATL2_00731,PMN2A_RS00360,PMN2A_1395,0.083,-0.182,-6.184***,0.75,0.141,-3.128***,,hypothetical protein,hypothetical protein,
NATL2_00741,PMN2A_RS00365,PMN2A_1396,-1.132,-2.919***,-6.249***,-0.222,-1.926***,-2.439***,,hypothetical protein,FIG00942454: hypothetical protein,
NATL2_00751,PMN2A_RS00370,PMN2A_1903,0.638,-0.745,-6.76***,1.719,1.995***,0.802,,hypothetical protein,FIG00943368: hypothetical protein,
NATL2_00761,PMN2A_RS00375,PMN2A_1397,-0.783,0.548,-5.371***,-0.362,-0.079,-1.107***,,hypothetical protein,FIG00941271: hypothetical protein,
NATL2_00771,PMN2A_RS00380,PMN2A_1398,-1.3,-0.84,-6.333***,0.864,-1.276,-2.671***,,hypothetical protein,FIG00942859: hypothetical protein,
NATL2_00781,PMN2A_RS00385,PMN2A_1399,-0.335,5.176***,-4.352***,1.262,0.893,1.066,,hypothetical protein,FIG00940768: hypothetical protein,
NATL2_00791,PMN2A_RS00390,PMN2A_1400,0.599,-0.994,-5.963***,0.39,0.895,-4.731***,,hypothetical protein,FIG00941791: hypothetical protein,
NATL2_00801,PMN2A_RS00395,PMN2A_1401,-0.268,-5.156***,-7.229***,-0.07,-0.803,-5.211***,,hypothetical protein,FIG00943960: hypothetical protein,
NATL2_00811,PMN2A_RS00400,PMN2A_1402,0.666,0.469,-5.5***,0.814,1.352***,0.827,,hypothetical protein,FIG00942068: hypothetical protein,
NATL2_00821,PMN2A_RS00405,PMN2A_1403,-0.29,0.262,-6.553***,0.102,0.654,-0.698,,peptidyl-prolyl cis-trans isomerase,FIG00941271: hypothetical protein,
NATL2_00831,PMN2A_RS00410,PMN2A_1404,0.431,2.048***,-1.513***,2.552***,0.601,3.599***,,high light inducible protein,hypothetical protein,
NATL2_00841,,PMN2A_1405,-2.361***,-8.179***,-0.271,-1.621,-7.492***,-2.786***,,,FIG00944113: hypothetical protein,
NATL2_00851,PMN2A_RS00415,PMN2A_1406,0.777,-0.569,-5.389***,0.945,0.163,-1.822***,,hypothetical protein,hypothetical protein,
NATL2_00861,PMN2A_RS00420,PMN2A_1407,-0.045,-4.901***,-6.812***,1.659,-0.302,-2.946***,,hypothetical protein,FIG00944128: hypothetical protein,
NATL2_00881,PMN2A_RS00430,PMN2A_1409,-1.737,-3.463***,-5.475***,-1.503,-0.428,-3.617***,,hypothetical protein,FIG00943300: hypothetical protein,
NATL2_00891,PMN2A_RS00435,PMN2A_1410,-0.519,0.545,1.538***,-0.231,0.563,-1.321***,parA,chromosome partitioning protein ParA,hypothetical protein,
NATL2_00901,PMN2A_RS00440,PMN2A_1411,-0.317,-3.037***,-5.324***,-0.152,-2.296***,-0.919,,multidrug ABC transporter ATPase,Phospholipid-lipopolysaccharide ABC transporter,
NATL2_00911,PMN2A_RS00445,PMN2A_1412,-1.731,-6.778***,-4.863***,0.247,1.656,0.905,,hypothetical protein,possible Sema domain,
NATL2_00921,PMN2A_RS00450,PMN2A_1413,1.029,0.088,-5.815***,1.246,0.65,-2.67***,,glycosyl transferase family 1,Glycosyltransferase,
NATL2_00931,,PMN2A_1904,-0.976,-2.97***,-5.493***,-1.15,-0.806,-0.855,,,FIG00940274: hypothetical protein,
NATL2_00941,PMN2A_RS00455,PMN2A_1414,0.623,0.458,1.532***,0.294,0.431,-1.458***,,hypothetical protein,FIG00941408: hypothetical protein,
NATL2_00951,,PMN2A_1905,0.646,2.185***,0,0.66,2.049***,2.329***,,,FIG00941058: hypothetical protein,
NATL2_00961,PMN2A_RS00460,PMN2A_1906,-0.264,0.718,3.736***,0.08,-1.245***,3.56***,,hypothetical protein,hypothetical protein,
NATL2_00971,PMN2A_RS00465,PMN2A_1415,-0.495,-0.785,-4.579***,0.421,-0.222,-2.078***,,RNA methyltransferase,putative RNA methylase family UPF0020,
NATL2_00991,PMN2A_RS00475,PMN2A_1417,-0.143,-1.286***,3.345***,0.728,0.303,-0.601,,hypothetical protein,FIG00941501: hypothetical protein,
NATL2_01001,,,0.029,-1.424***,-2.893***,0.075,-0.775,0.574,,,FIG00941157: hypothetical protein,
NATL2_01011,PMN2A_RS00480,PMN2A_1419,-0.117,1.792***,0.345,-0.401,-0.732,-1.13,,hypothetical protein,FIG00940739: hypothetical protein,
NATL2_01031,PMN2A_RS00490,PMN2A_1421,0.051,0.267,2.816***,0.319,-0.458,-0.207,,photosystem reaction center subunit H,Protein implicated in RNA metabolism (PRC-barrel domain),
NATL2_01041,PMN2A_RS00495,PMN2A_1422,-0.774,-0.445,-6.544***,-0.538,-0.153,-0.799,,hypothetical protein,Lipid-A-disaccharide synthase (EC 2.4.1.182),
NATL2_01051,PMN2A_RS00505,PMN2A_1423,-0.33,1.988***,3.402***,-0.239,0.742***,1.747***,accC,acetyl-CoA carboxylase subunit alpha,Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14),
NATL2_01061,PMN2A_RS00510,PMN2A_1424,-1.104,-7.448***,-7.064***,-1.646***,-1.894***,-1.714***,,hypothetical protein,"YggT family protein YlmG/ssl0353, required for proper distribution of nucleoids in chloroplast and cyanobacteria",
NATL2_01071,PMN2A_RS00515,PMN2A_1425,-0.474,1.463***,-4.04***,-0.716,-0.8***,0.075,psbX,photosystem II reaction center X protein,Photosystem II protein PsbX,
NATL2_01081,PMN2A_RS00520,PMN2A_1426,-0.624,-0.6,0.274,-0.763,-0.551,-1.313***,,hypothetical protein,FIG00940178: hypothetical protein,
NATL2_01091,PMN2A_RS00525,PMN2A_1427,0.648,1.431***,0.89,0.415,0.742,1.554***,hli2,high light inducible protein,possible high light inducible protein,
NATL2_01101,PMN2A_RS00530,PMN2A_1428,-0.466,-0.12,-5.094***,0.19,-0.256,-0.265,,ABC transporter ATP-binding protein,ATP-binding protein of ABC transporter,
NATL2_01111,PMN2A_RS00535,PMN2A_1429,-0.435,-2.485***,-6.462***,-0.662,-2.753***,-0.026,,hypothetical protein,FIG00941168: hypothetical protein,
NATL2_01121,PMN2A_RS00540,PMN2A_1430,0.062,-0.062,2.277***,-0.002,-0.324,0.141,hit,zinc-binding protein,Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17),
NATL2_01131,PMN2A_RS00545,PMN2A_1431,0.308,0.038,2.744***,0.653***,0.804***,1.169***,def,peptide deformylase,Peptide deformylase (EC 3.5.1.88),
NATL2_01141,PMN2A_RS00550,PMN2A_1432,0.504,-0.448,4.006***,0.515,1.079,1.511***,dap2,peptidase S9,Esterase/lipase/thioesterase family active site,
NATL2_01151,PMN2A_RS00555,PMN2A_1433,-0.413,-1.75***,-5.218***,-1.261,-1.044,-1.579***,,cysteine desulfurase,"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily",
NATL2_01161,PMN2A_RS00560,PMN2A_1434,-0.392,0.243,2.768***,-0.017,-0.591,-1.674***,sufD,Fe-S cluster assembly protein SufD,Iron-sulfur cluster assembly protein SufD,
NATL2_01171,PMN2A_RS00565,PMN2A_1435,-0.73,-1.372***,-0.548,-0.764,-0.522,-1.328***,sufC,Fe-S cluster assembly ATPase SufC,Iron-sulfur cluster assembly ATPase protein SufC,
NATL2_01181,PMN2A_RS00570,PMN2A_1436,-0.12,-0.33,0.54,-0.057,-0.15,-1.311***,sufB,cysteine desulfurase activator complex subunit SufB,Iron-sulfur cluster assembly protein SufB,
NATL2_01191,PMN2A_RS00575,PMN2A_1437,-0.307,-0.975,-6.418***,0.388,0.204,-0.559,,hypothetical protein,FIG00940758: hypothetical protein,
NATL2_01201,PMN2A_RS00580,PMN2A_1438,-2.274***,-7.647***,-6.54***,-1.192***,-7.586***,-4.337***,,Rho termination protein,FIG00940991: hypothetical protein,
NATL2_01211,PMN2A_RS00585,PMN2A_1439,-1.383***,-9.393***,-7.665***,-0.313,-2.394***,-1.211***,,membrane protein,Predicted membrane protein,
NATL2_01221,PMN2A_RS00590,PMN2A_1440,-0.767***,-4.609***,-8.012***,-0.986***,-3.318***,-3.948***,pgm,phosphoglucomutase,phosphoglucomutase,
NATL2_01231,PMN2A_RS00595,PMN2A_1441,-1.059***,-3.418***,-5.703***,-0.946,-2.385***,-4.115***,,ATPase AAA,ATPase,
NATL2_01251,PMN2A_RS00605,PMN2A_1443,1.049***,1.855***,4.327***,1.192***,2.674***,4.2***,,bacterioferritin comigratory (BCP) protein,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",
NATL2_01261,PMN2A_RS00610,PMN2A_1444,-0.298,-0.201,1.774***,-0.685,-0.852,-1.448***,,sugar ABC transporter substrate-binding protein,"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)",
NATL2_01271,PMN2A_RS00615,PMN2A_1445,0.492,-0.426,2.069***,0.167,0.439,-0.085,cysH,phosphoadenosine phosphosulfate reductase,Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8),
NATL2_01281,PMN2A_RS00620,PMN2A_1446,-0.986,1.225***,-2.217***,-0.738,-1.503***,-0.678,,3-hydroxyacyl-CoA dehydrogenase,NADH dehydrogenase (EC 1.6.99.3),
NATL2_01291,PMN2A_RS00625,PMN2A_1447,-0.286,-0.644***,-7.867***,-0.276,-0.132,-2.087***,citT,sodium:sulfate symporter,Di/tricarboxylate transporter,
NATL2_01311,PMN2A_RS00630,PMN2A_1448,-0.519,-1.646***,1.644***,-0.176,-0.074,-1.008***,trkG,potassium transporter TrkG,Potassium uptake protein TrkH,
NATL2_01321,PMN2A_RS00635,PMN2A_1449,-0.052,0.239,1.444***,0.201,0.315,-1.06,trkA,potassium transporter TrkA,Trk system potassium uptake protein TrkA,
NATL2_01331,PMN2A_RS00640,PMN2A_1450,-0.218,0.409,-6.44***,0.666,0.254,-0.01,,anhydro-N-acetylmuramic acid kinase,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-),
NATL2_01341,PMN2A_RS00645,PMN2A_1451,-0.814,-2.676***,-5.539***,-0.865,-1.855***,-1.767***,,hypothetical protein,FIG00941527: hypothetical protein,
NATL2_01351,PMN2A_RS00650,PMN2A_1452,-0.254,2.7***,-2.74***,-0.688,-0.621,-3.047***,,hypothetical protein,FIG00940123: hypothetical protein,
NATL2_01361,PMN2A_RS00655,PMN2A_1453,-0.19,-1.467***,-4.433***,0.208,-0.119,-2.994***,,hypothetical protein,FIG00940400: hypothetical protein,
NATL2_01371,,PMN2A_1454,0.503,0.901,-3.084***,0.517,0.875,-0.421,,,FIG00940744: hypothetical protein,
NATL2_01381,PMN2A_RS00660,PMN2A_1455,-0.54,-1.587***,-0.369,-0.331,-0.475,-1.092,,lysophospholipase,"ABC transporter, ATP binding component",
NATL2_01391,PMN2A_RS00665,PMN2A_1456,0.818,1.027,1.49***,0.778,1.082,1.323***,,serine protease,possible serine protease,
NATL2_01401,PMN2A_RS00670,PMN2A_1457,0.231,-0.954,-5.265***,0.543,1.486***,0.137,,hypothetical protein,FIG00940568: hypothetical protein,
NATL2_01411,PMN2A_RS00675,PMN2A_1458,-0.582,-1.762***,0.534,-0.228,-1.027,-2.453***,,hypothetical protein,FIG00940597: hypothetical protein,
NATL2_01421,PMN2A_RS00680,PMN2A_1459,-1.068,-2.284***,-6.574***,-0.308,-1.029,-0.549,,high light inducible protein,Possible high light inducible protein,Synpcc7942_0243 and Synpcc7942_1120; increased
NATL2_01441,PMN2A_RS00690,PMN2A_1461,-1.227,-4.379***,7.939***,-0.805,-0.821,0.551,,exodeoxyribonuclease VII small subunit,Exodeoxyribonuclease VII small subunit (EC 3.1.11.6),
NATL2_01451,PMN2A_RS00695,PMN2A_1462,0.584,-1.572***,-6.229***,0.891,1.014,0.61,,hypothetical protein,FIG00940734: hypothetical protein,
NATL2_01461,PMN2A_RS00700,PMN2A_1463,0.224,2.066***,1.71***,0.538,0.771,-0.07,brkB,serum resistance locus BrkB,similar to serum resistance locus BrkB,
NATL2_01481,PMN2A_RS00710,PMN2A_1465,-0.201,0.011,1.2***,-0.295,0.187,0.722,,transporter,Outer membrane efflux protein precursor,
NATL2_01491,PMN2A_RS00715,PMN2A_1466,-0.627,-0.991,1.423***,0.082,-0.74,-2.347***,,Fe-S oxidoreductase,Possible Fe-S oxidoreductase,
NATL2_01511,PMN2A_RS00725,PMN2A_1467,-0.018,1.026,4.552***,0.191,0.428,0.771,,membrane protein,Permeases of the major facilitator superfamily,Synpcc7942_1353; decreased
NATL2_01521,PMN2A_RS00730,PMN2A_1468,-0.599,-3.877***,-6.099***,-0.091,0.273,0.355,nadB,L-aspartate oxidase,L-aspartate oxidase (EC 1.4.3.16),
NATL2_01531,PMN2A_RS00735,PMN2A_1469,0.049,-0.576,-3.376***,0.344,0.819,-0.356,,thioredoxin,VKORC1/thioredoxin domain protein,
NATL2_01551,PMN2A_RS00745,PMN2A_1471,-0.189,-0.476,-5.623***,-0.535,-0.008,-1.212***,,hypothetical protein,Pterin-binding family,
NATL2_01561,PMN2A_RS00750,PMN2A_1472,-0.105,-1.229,3.474***,-0.659,-0.366,-0.783,,hypothetical protein,FIG00941798: hypothetical protein,
NATL2_01571,PMN2A_RS00755,PMN2A_1473,-0.184,-1.913***,4.643***,-0.498,0.129,1.382,,hypothetical protein,COGs COG3146,
NATL2_01581,PMN2A_RS00760,PMN2A_1474,0.208,0.085,3.85***,-0.204,0.039,1.076,,pyrimidine reductase,5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193),Synpcc7942_1186; decreased
NATL2_01591,PMN2A_RS00765,PMN2A_1475,0.515***,-0.156,3.306***,0.456***,0.526***,1.275***,,6-pyruvoyl tetrahydrobiopterin synthase,6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12),
NATL2_01601,PMN2A_RS00770,PMN2A_1476,-0.439,-1.177,1.011,-0.196,-0.871,-1.611***,aroK,shikimate kinase,Shikimate kinase I (EC 2.7.1.71),
NATL2_01611,PMN2A_RS00775,PMN2A_1909,-0.717,-5.624***,-3.924***,0.125,0.074,-0.243,,hypothetical protein,FIG00940875: hypothetical protein,
NATL2_01621,PMN2A_RS00780,PMN2A_1477,0.13,-2.564***,-3.254***,-0.004,0.578,-0.213,,hypothetical protein,Possible POLO box duplicated region,
NATL2_01631,PMN2A_RS00785,PMN2A_1478,-0.35,-1.796***,-5.816***,-0.433,-0.752,-0.663,,glutathione S-transferase,Glutathione S-transferase family protein Sll1545,
NATL2_01641,PMN2A_RS00790,PMN2A_1479,-0.965***,-1.764***,-6.688***,-0.381,-0.556,-1.439***,,membrane protein,Expressed protein possibly involved in photorespiration,
NATL2_01651,PMN2A_RS00795,PMN2A_1480,-0.756,0.877***,-7.307***,0.341,-0.418,-0.976***,rbfA,ribosome-binding factor A,Ribosome-binding factor A,
