RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster,resolved_locus_tag,resolution_method
447,MIT1002_0445 ,contig00002_225685_224717,"Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter",Y,,coculture_LD,MIT1002_01373,tier1:Locus ID
456,MIT1002_0454 ,contig00002_235215_235985,Dethiobiotin synthetase (EC 6.3.3.3),Y,,coculture_LD,MIT1002_01382,tier1:Locus ID
457,MIT1002_0455 ,contig00002_236678_235956,Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),Y,,coculture_LD,MIT1002_01383,tier1:Locus ID
458,MIT1002_0456 ,contig00002_236772_237248,Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48),Y,,coculture_LD,MIT1002_01384,tier1:Locus ID
468,MIT1002_0466 ,contig00002_247093_245273,Lipid A export ATP-binding/permease protein MsbA,Y,,coculture_LD,MIT1002_01394,tier1:Locus ID
474,MIT1002_0472 ,contig00003_2424_3329,hypothetical protein,Y,,coculture_LD,MIT1002_00911,tier1:Locus ID
476,MIT1002_0474 ,contig00003_5675_6055,hypothetical protein,Y,,coculture_LD,MIT1002_00913,tier1:Locus ID
478,MIT1002_0476 ,contig00003_7304_8407,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Y,,coculture_LD,MIT1002_00915,tier1:Locus ID
491,MIT1002_0489 ,contig00003_24463_24792,putative orphan protein,Y,,coculture_LD,MIT1002_00928,tier1:Locus ID
511,MIT1002_0509 ,contig00003_45545_44448,3-isopropylmalate dehydrogenase (EC 1.1.1.85),Y,,coculture_LD,MIT1002_00948,tier1:Locus ID
514,MIT1002_0512 ,contig00003_49729_48437,Enolase (EC 4.2.1.11),Y,,coculture_LD,MIT1002_00951,tier1:Locus ID
515,MIT1002_0513 ,contig00003_51420_49789,CTP synthase (EC 6.3.4.2),Y,,coculture_LD,MIT1002_00952,tier1:Locus ID
533,MIT1002_0531 ,contig00003_71282_70260,UDP-glucose 4-epimerase (EC 5.1.3.2),Y,,coculture_LD,MIT1002_00970,tier1:Locus ID
539,MIT1002_0537 ,contig00003_77836_76004,Capsular polysaccharide export system periplasmic protein KpsD,Y,,coculture_LD,MIT1002_00976,tier1:Locus ID
545,MIT1002_0544 ,contig00003_83373_83059,putative DNA uptake protein and related DNA-binding protein,Y,,coculture_LD,MIT1002_00982,tier1:Locus ID
574,MIT1002_0572 ,contig00003_109441_110304,Phosphatidate cytidylyltransferase (EC 2.7.7.41),Y,,coculture_LD,MIT1002_01009,tier1:Locus ID
575,MIT1002_0573 ,contig00003_110304_111491,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),Y,,coculture_LD,MIT1002_01010,tier1:Locus ID
580,MIT1002_0579 ,contig00003_116596_117366,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),Y,,coculture_LD,MIT1002_01015,tier1:Locus ID
583,MIT1002_0582 ,contig00003_119087_122551,DNA polymerase III alpha subunit (EC 2.7.7.7),Y,,coculture_LD,MIT1002_01018,tier1:Locus ID
590,MIT1002_0589 ,contig00003_129951_129796,hypothetical protein,Y,,coculture_LD,MIT1002_01025,tier1:Locus ID
598,MIT1002_0597 ,contig00003_139004_137823,Flagellar protein FlgT,Y,,coculture_LD,MIT1002_01032,tier1:Locus ID
616,MIT1002_0615 ,contig00004_4207_4863,FIG026291: Hypothetical periplasmic protein,Y,,coculture_LD,MIT1002_03101,tier1:Locus ID
617,MIT1002_0616 ,contig00004_4924_5484,FIG002577: Putative lipoprotein precursor,Y,,coculture_LD,MIT1002_03100,tier1:Locus ID
619,MIT1002_0618 ,contig00004_7846_6446,Sensor protein basS/pmrB (EC 2.7.3.-),Y,,coculture_LD,MIT1002_03098,tier1:Locus ID
620,MIT1002_0619 ,contig00004_8523_7843,response regulator in two-component regulatory system with PhoQ,Y,,coculture_LD,MIT1002_03097,tier1:Locus ID
632,MIT1002_0631 ,contig00004_16557_15400,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),Y,,coculture_LD,MIT1002_03089,tier1:Locus ID
634,MIT1002_0633 ,contig00004_17707_20256,Excinuclease ABC subunit A paralog of unknown function,Y,,coculture_LD,MIT1002_03087,tier1:Locus ID
641,MIT1002_0640 ,contig00004_29728_28769,Transaldolase (EC 2.2.1.2),Y,,coculture_LD,MIT1002_03080,tier1:Locus ID
657,MIT1002_0656 ,contig00004_43046_40956,"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)",Y,,coculture_LD,MIT1002_03065,tier1:Locus ID
658,MIT1002_0657 ,contig00004_43827_43378,FIG003551: hypothetical protein,Y,,coculture_LD,MIT1002_03064,tier1:Locus ID
659,MIT1002_0658 ,contig00004_44484_43948,"Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)",Y,,coculture_LD,MIT1002_03063,tier1:Locus ID
660,MIT1002_0659 ,contig00004_45326_44505,Pyrroline-5-carboxylate reductase (EC 1.5.1.2),Y,,coculture_LD,MIT1002_03062,tier1:Locus ID
666,MIT1002_0665 ,contig00004_49770_49204,UPF0301 protein YqgE,Y,,coculture_LD,MIT1002_03056,tier1:Locus ID
671,MIT1002_0670 ,contig00004_54412_53615,Zn-dependent protease with chaperone function PA4632,Y,,coculture_LD,MIT1002_03052,tier1:Locus ID
706,MIT1002_0703 ,contig00004_97751_98530,"Peptidase, M23/M37 family",Y,,coculture_LD,MIT1002_03018,tier1:Locus ID
718,MIT1002_0715 ,contig00004_109634_109116,hypothetical protein,Y,,coculture_LD,MIT1002_03007,tier1:Locus ID
741,MIT1002_0738 ,contig00004_136923_137489,FIG001590: Putative conserved exported protein precursor,Y,,coculture_LD,MIT1002_02985,tier1:Locus ID
756,MIT1002_0754 ,contig00005_8336_9685,Aspartokinase (EC 2.7.2.4),Y,,coculture_LD,MIT1002_00776,tier1:Locus ID
757,MIT1002_0755 ,contig00005_10331_9750,SOUL heme-binding protein,Y,,coculture_LD,MIT1002_00777,tier1:Locus ID
777,MIT1002_0775 ,contig00005_32246_32614,FIG039061: hypothetical protein related to heme utilization,Y,,coculture_LD,ALT831_RS03875,tier1:Locus ID
796,MIT1002_0794 ,contig00005_49156_49788,Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2),Y,,coculture_LD,MIT1002_00814,tier1:Locus ID
797,MIT1002_0795 ,contig00005_49790_51055,"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)",Y,,coculture_LD,MIT1002_00815,tier1:Locus ID
798,MIT1002_0796 ,contig00005_51052_51786,"ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit",Y,,coculture_LD,MIT1002_00816,tier1:Locus ID
817,MIT1002_0814 ,contig00005_66174_66974,"Uncharacterized ABC transporter, ATP-binding protein YrbF",Y,,coculture_LD,MIT1002_00834,tier1:Locus ID
820,MIT1002_0817 ,contig00005_68349_69014,"Uncharacterized ABC transporter, auxiliary component YrbC",Y,,coculture_LD,MIT1002_00837,tier1:Locus ID
825,MIT1002_0822 ,contig00005_73884_72517,"Outer membrane stress sensor protease DegQ, serine protease",Y,,coculture_LD,MIT1002_00842,tier1:Locus ID
826,MIT1002_0823 ,contig00005_74401_73967,hypothetical protein,Y,,coculture_LD,MIT1002_00843,tier1:Locus ID
831,MIT1002_0828 ,contig00005_78233_78559,hypothetical protein,Y,,coculture_LD,MIT1002_00848,tier1:Locus ID
839,MIT1002_0836 ,contig00005_92234_92731,hypothetical protein,Y,,coculture_LD,MIT1002_00858,tier1:Locus ID
841,MIT1002_0838 ,contig00005_94660_93515,S-adenosylmethionine synthetase (EC 2.5.1.6),Y,,coculture_LD,MIT1002_00860,tier1:Locus ID
843,MIT1002_0840 ,contig00005_97098_98108,D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72),Y,,coculture_LD,MIT1002_00862,tier1:Locus ID
875,MIT1002_0869 ,contig00005_131718_132254,Conserved domain protein,Y,,coculture_LD,MIT1002_00891,tier1:Locus ID
884,MIT1002_0878 ,contig00006_8952_9827,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60),Y,,coculture_LD,MIT1002_01976,tier1:Locus ID
889,MIT1002_0883 ,contig00006_16941_15415,FIG001881: hydrolase of alkaline phosphatase superfamily,Y,,coculture_LD,MIT1002_01981,tier1:Locus ID
892,MIT1002_0886 ,contig00006_18501_19376,NADPH dependent preQ0 reductase,Y,,coculture_LD,MIT1002_01984,tier1:Locus ID
901,MIT1002_0895 ,contig00006_26987_27829,hypothetical protein,Y,,coculture_LD,MIT1002_01992,tier1:Locus ID
903,MIT1002_0897 ,contig00006_29672_30226,hypothetical protein,Y,,coculture_LD,MIT1002_01994,tier1:Locus ID
905,MIT1002_0899 ,contig00006_31430_31672,putative signal transduction protein with EFhand domain,Y,,coculture_LD,MIT1002_01996,tier1:Locus ID
907,MIT1002_0901 ,contig00006_33192_32191,hypothetical protein,Y,,coculture_LD,MIT1002_01997,tier1:Locus ID
926,MIT1002_0921 ,contig00006_57470_59350,Protein kinase,Y,,coculture_LD,MIT1002_02016,tier1:Locus ID
931,MIT1002_0926 ,contig00006_62772_63503,protein of unknown function DUF541,Y,,coculture_LD,MIT1002_02021,tier1:Locus ID
933,MIT1002_0928 ,contig00006_63974_64264,hypothetical protein,Y,,coculture_LD,MIT1002_02023,tier1:Locus ID
938,MIT1002_0933 ,contig00006_70008_72617,Membrane alanine aminopeptidase N (EC 3.4.11.2),Y,,coculture_LD,MIT1002_02028,tier1:Locus ID
950,MIT1002_0945 ,contig00006_93488_92970,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60),Y,,coculture_LD,MIT1002_02041,tier1:Locus ID
953,MIT1002_0948 ,contig00006_95465_93990,Cryptochrome,Y,,coculture_LD,MIT1002_02043,tier1:Locus ID
954,MIT1002_0949 ,contig00006_97088_95634,Cryptochrome,Y,,coculture_LD,MIT1002_02044,tier1:Locus ID
955,MIT1002_0950 ,contig00006_97053_98477,Deoxyribodipyrimidine photolyase (EC 4.1.99.3),Y,,coculture_LD,MIT1002_02045,tier1:Locus ID
956,MIT1002_0951 ,contig00006_98481_100019,FIG004436: Protein related to deoxyribodipyrimidine photolyase,Y,,coculture_LD,MIT1002_02046,tier1:Locus ID
957,MIT1002_0952 ,contig00006_100074_100196,hypothetical protein,Y,,coculture_LD,,unresolved
958,MIT1002_0953 ,contig00006_100322_101698,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",Y,,coculture_LD,MIT1002_02047,tier1:Locus ID
996,MIT1002_0991 ,contig00007_8268_7159,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,Y,,coculture_LD,MIT1002_00022,tier1:Locus ID
1001,MIT1002_0996 ,contig00007_12453_13832,Trk system potassium uptake protein TrkA,Y,,coculture_LD,MIT1002_00017,tier1:Locus ID
1010,MIT1002_1004 ,contig00007_23034_23495,Periplasmic/membrane protein associated with DUF414,Y,,coculture_LD,MIT1002_00009,tier1:Locus ID
1015,MIT1002_1009 ,contig00007_27552_27878,hypothetical protein,Y,,coculture_LD,MIT1002_00005,tier1:Locus ID
1018,MIT1002_1012 ,contig00007_31677_31564,hypothetical protein,Y,,coculture_LD,,unresolved
1019,MIT1002_1013 ,contig00007_32793_31693,DNA polymerase III beta subunit (EC 2.7.7.7),Y,,coculture_LD,MIT1002_00002,tier1:Locus ID
1020,MIT1002_1014 ,contig00007_34418_32826,Chromosomal replication initiator protein DnaA,Y,,coculture_LD,MIT1002_00001,tier1:Locus ID
1027,MIT1002_1021 ,contig00007_39555_39992,Flavoprotein MioC,Y,,coculture_LD,MIT1002_04127,tier1:Locus ID
1045,MIT1002_1040 ,contig00007_56944_57282,putative methylated-DNA binding protein,Y,,coculture_LD,MIT1002_04108,tier1:Locus ID
1062,MIT1002_1056 ,contig00007_77691_78851,"Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)",Y,,coculture_LD,MIT1002_04091,tier1:Locus ID
1074,MIT1002_1068 ,contig00007_92371_92490,hypothetical protein,Y,,coculture_LD,,unresolved
1079,MIT1002_1073 ,contig00007_97957_97094,Protein YicC,Y,,coculture_LD,MIT1002_04072,tier1:Locus ID
1088,MIT1002_1082 ,contig00007_104261_103401,hypothetical protein,Y,,coculture_LD,MIT1002_04063,tier1:Locus ID
1090,MIT1002_1084 ,contig00007_105126_105434,hypothetical protein,Y,,coculture_LD,MIT1002_04061,tier1:Locus ID
1091,MIT1002_1085 ,contig00007_106975_105608,Ubiquinone biosynthesis monooxygenase UbiB,Y,,coculture_LD,MIT1002_04060,tier1:Locus ID
1124,MIT1002_1120 ,contig00008_23260_22487,hypothetical protein,Y,,coculture_LD,MIT1002_01629,tier1:Locus ID
1125,MIT1002_1121 ,contig00008_25958_23481,hypothetical protein,Y,,coculture_LD,MIT1002_01630,tier1:Locus ID
1132,MIT1002_1128 ,contig00008_33194_34174,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),Y,,coculture_LD,MIT1002_01636,tier1:Locus ID
1160,MIT1002_1156 ,contig00008_64069_65223,permease of the major facilitator superfamily,Y,,coculture_LD,MIT1002_01663,tier1:Locus ID
1179,MIT1002_1174 ,contig00008_90879_88561,3-phytase (EC 3.1.3.8),Y,,coculture_LD,MIT1002_01680,tier1:Locus ID
1180,MIT1002_1175 ,contig00008_93729_91024,TonB-dependent receptor,Y,,coculture_LD,MIT1002_01681,tier1:Locus ID
1184,MIT1002_1180 ,contig00008_98214_102209,ATP-dependent helicase HrpA,Y,,coculture_LD,MIT1002_01685,tier1:Locus ID
1188,MIT1002_1184 ,contig00008_104863_105840,Quinone oxidoreductase (EC 1.6.5.5),Y,,coculture_LD,MIT1002_01689,tier1:Locus ID
1209,MIT1002_1205 ,contig00009_18813_21632,Isoleucyl-tRNA synthetase (EC 6.1.1.5),Y,,coculture_LD,MIT1002_02742,tier1:Locus ID
1211,MIT1002_1207 ,contig00009_22188_22655,FKBP-type peptidyl-prolyl cis-trans isomerase slpA (EC 5.2.1.8),Y,,coculture_LD,MIT1002_02740,tier1:Locus ID
1239,MIT1002_1232 ,contig00009_44673_46469,Translation elongation factor LepA,Y,,coculture_LD,MIT1002_02715,tier1:Locus ID
1242,MIT1002_1235 ,contig00009_48044_48988,GTP-binding protein Era,Y,,coculture_LD,MIT1002_02712,tier1:Locus ID
1243,MIT1002_1236 ,contig00009_49215_49853,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5),Y,,coculture_LD,MIT1002_02711,tier1:Locus ID
1244,MIT1002_1237 ,contig00009_49969_50790,Putative deoxyribonuclease YjjV,Y,,coculture_LD,MIT1002_02710,tier1:Locus ID
1247,MIT1002_1240 ,contig00009_55323_52798,FIG00951782: hypothetical protein,Y,,coculture_LD,MIT1002_02707,tier1:Locus ID
1261,MIT1002_1254 ,contig00009_70344_68464,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),Y,,coculture_LD,MIT1002_02693,tier1:Locus ID
1266,MIT1002_1259 ,contig00009_74983_73727,"Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type",Y,,coculture_LD,MIT1002_02688,tier1:Locus ID
1267,MIT1002_1260 ,contig00009_75729_74986,Hypothetical protein COG3496,Y,,coculture_LD,MIT1002_02687,tier1:Locus ID
1268,MIT1002_1261 ,contig00009_76991_75726,"COG2907: Amine oxidase, flavin-containing",Y,,coculture_LD,MIT1002_02686,tier1:Locus ID
1269,MIT1002_1262 ,contig00009_77721_77002,"Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)",Y,,coculture_LD,MIT1002_02685,tier1:Locus ID
1270,MIT1002_1263 ,contig00009_78173_77718,FIG002994: Putative transcriptional regulator,Y,,coculture_LD,MIT1002_02684,tier1:Locus ID
1271,MIT1002_1264 ,contig00009_78430_79005,"Uncharacterized protein, similar to the N-terminal domain of Lon protease",Y,,coculture_LD,MIT1002_02683,tier1:Locus ID
1272,MIT1002_1265 ,contig00009_79124_79735,RNA polymerase sigma-70 factor,Y,,coculture_LD,MIT1002_02682,tier1:Locus ID
1273,MIT1002_1266 ,contig00009_79728_80471,FIG111991: hypothetical protein,Y,,coculture_LD,MIT1002_02681,tier1:Locus ID
1283,MIT1002_1276 ,contig00009_95401_92588,Tetratricopeptide TPR_2,Y,,coculture_LD,MIT1002_02671,tier1:Locus ID
1286,MIT1002_1279 ,contig00009_97889_98692,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),Y,,coculture_LD,MIT1002_02668,tier1:Locus ID
1297,MIT1002_1289 ,contig00010_11996_12997,"Response regulator receiver:Metal-dependent phosphohydrolase, HD subdomain",Y,,coculture_LD,MIT1002_01768,tier1:Locus ID
1309,MIT1002_1301 ,contig00010_25063_26748,Response regulator with TPR repeat,Y,,coculture_LD,MIT1002_01781,tier1:Locus ID
1312,MIT1002_1304 ,contig00010_31665_32228,Alkyl hydroperoxide reductase protein C (EC 1.6.4.-),Y,,coculture_LD,MIT1002_01784,tier1:Locus ID
1313,MIT1002_1305 ,contig00010_32410_33999,Alkyl hydroperoxide reductase protein F (EC 1.6.4.-),Y,,coculture_LD,MIT1002_01785,tier1:Locus ID
1318,MIT1002_1309 ,contig00010_39361_38783,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Y,,coculture_LD,MIT1002_01789,tier1:Locus ID
