RAST_region_ID,1hr extended darkness (dark/diel),5hr extended darkness (dark/diel),RAST_Annotation,resolved_locus_tag,resolution_method
contig00004_109634_109116,-1.3,-1.25,hypothetical protein,MIT1002_03007,tier1:RAST_region_ID
contig00004_137562_138881,-0.59,-0.51,Xaa-Pro aminopeptidase (EC 3.4.11.9),MIT1002_02984,tier1:RAST_region_ID
contig00005_69011_69319,-1.62,-1.13,STAS domain protein,MIT1002_00838,tier1:RAST_region_ID
contig00005_73884_72517,-1.55,-0.88,"Outer membrane stress sensor protease DegQ, serine protease",MIT1002_00842,tier1:RAST_region_ID
contig00005_74401_73967,-2.2,-0.79,hypothetical protein,MIT1002_00843,tier1:RAST_region_ID
contig00005_92234_92731,-1.68,-1.16,hypothetical protein,MIT1002_00858,tier1:RAST_region_ID
contig00005_94660_93515,-1.9,-1.38,S-adenosylmethionine synthetase (EC 2.5.1.6),MIT1002_00860,tier1:RAST_region_ID
contig00005_114475_113969,0.87,0.88,ACT domain protein,MIT1002_00873,tier1:RAST_region_ID
contig00006_62772_63503,-1.83,-1.15,protein of unknown function DUF541,MIT1002_02021,tier1:RAST_region_ID
contig00006_100074_100196,-2.48,-2.32,hypothetical protein,,unresolved
contig00007_47725_48558,1.15,0.84,ATP synthase A chain (EC 3.6.3.14),MIT1002_04119,tier1:RAST_region_ID
contig00007_97957_97094,-0.79,-0.62,Protein YicC,MIT1002_04072,tier1:RAST_region_ID
contig00007_103414_102830,-1.07,-0.92,FIG003620: Proteophosphoglycan precursor (Fragment),MIT1002_04064,tier1:RAST_region_ID
contig00007_104261_103401,-1.08,-0.53,hypothetical protein,MIT1002_04063,tier1:RAST_region_ID
contig00007_120410_116538,-1.89,-1.61,Uncharacterized protein YtfN,MIT1002_04049,tier1:RAST_region_ID
contig00007_122155_120407,-1.69,-0.98,Outer membrane protein,MIT1002_04048,tier1:RAST_region_ID
contig00008_23260_22487,-2.25,-1.16,hypothetical protein,MIT1002_01629,tier1:RAST_region_ID
contig00008_64069_65223,-3.02,-1.64,permease of the major facilitator superfamily,MIT1002_01663,tier1:RAST_region_ID
contig00008_98214_102209,-2.14,-1.26,ATP-dependent helicase HrpA,MIT1002_01685,tier1:RAST_region_ID
contig00008_104863_105840,-2.22,-1.16,Quinone oxidoreductase (EC 1.6.5.5),MIT1002_01689,tier1:RAST_region_ID
contig00009_22188_22655,-1.47,-0.8,FKBP-type peptidyl-prolyl cis-trans isomerase slpA (EC 5.2.1.8),MIT1002_02740,tier1:RAST_region_ID
contig00009_48044_48988,-1.32,-1.11,GTP-binding protein Era,MIT1002_02712,tier1:RAST_region_ID
contig00009_49215_49853,-2.08,-0.57,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5),MIT1002_02711,tier1:RAST_region_ID
contig00009_75729_74986,-3.3,-2.04,Hypothetical protein COG3496,MIT1002_02687,tier1:RAST_region_ID
contig00009_97889_98692,-1.2,-0.61,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),MIT1002_02668,tier1:RAST_region_ID
contig00010_31665_32228,-1.87,-1.29,Alkyl hydroperoxide reductase protein C (EC 1.6.4.-),MIT1002_01784,tier1:RAST_region_ID
contig00010_40891_42555,0.66,0.53,Carboxyl-terminal protease,MIT1002_01791,tier1:RAST_region_ID
contig00010_63751_61781,-2.83,-2.02,High-affinity choline uptake protein BetT,MIT1002_01810,tier1:RAST_region_ID
contig00011_38870_40288,-1.43,-0.93,Leucine aminopeptidase-related protein,MIT1002_03617,tier1:RAST_region_ID
contig00011_44787_45338,-2.3,-1.66,hypothetical protein,MIT1002_03620,tier1:RAST_region_ID
contig00011_45350_46723,-1.72,-1.09,Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-),MIT1002_03621,tier1:RAST_region_ID
contig00011_46735_47742,-2.27,-1.22,Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-),MIT1002_03622,tier1:RAST_region_ID
contig00011_63315_64664,-1.2,-1.21,Glutathione reductase (EC 1.8.1.7),MIT1002_03638,tier1:RAST_region_ID
contig00012_3470_2271,-1.32,-0.67,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",MIT1002_01481,tier1:RAST_region_ID
contig00012_55479_55988,-2.38,-1.85,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),MIT1002_01444,tier1:RAST_region_ID
contig00012_58315_58557,1.75,1.08,"Outer membrane lipoprotein SmpA, a component of the essential YaeT outer-membrane protein assembly complex",MIT1002_01442,tier1:RAST_region_ID
contig00012_67508_66888,-1.29,-0.59,FIG137268: Possible translation factor Sua5/YciO/YrdC/YwlC family,MIT1002_01432,tier1:RAST_region_ID
contig00012_68884_70632,1.05,0.89,"Anthranilate synthase, aminase component (EC 4.1.3.27)",MIT1002_01430,tier1:RAST_region_ID
contig00012_85238_82716,-2.62,-1.61,"ABC-type transport system, permease component",MIT1002_01416,tier1:RAST_region_ID
contig00012_85937_85239,-2.21,-0.81,"ABC transporter, ATP-binding protein",MIT1002_01415,tier1:RAST_region_ID
contig00012_85954_86610,-2.06,-0.98,Arylesterase( EC:3.1.1.2 ),MIT1002_01414,tier1:RAST_region_ID
contig00013_27467_26808,-1.65,-1.02,hypothetical protein,MIT1002_02496,tier1:RAST_region_ID
contig00013_29584_27920,-1.83,-0.73,Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-),MIT1002_02495,tier1:RAST_region_ID
contig00013_61204_60098,-2.48,-1.25,NADH-flavin oxidoreductase/NADH oxidase( EC:1.6.99.1 ),MIT1002_02461,tier1:RAST_region_ID
contig00014_14007_14681,1.36,0.98,Transcriptional regulator RutR of pyrimidine catabolism (TetR family),MIT1002_03469,tier1:RAST_region_ID
contig00014_21080_20190,-2.54,-1.32,beta-lactamase-like,MIT1002_03476,tier1:RAST_region_ID
contig00014_22971_23177,1.28,0.98,hypothetical protein,MIT1002_03479,tier1:RAST_region_ID
contig00015_2241_4790,2.14,-1.93,Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4),MIT1002_00698,tier1:RAST_region_ID
contig00016_4738_7569,-2.65,-1.81,Excinuclease ABC subunit A,MIT1002_00179,tier1:RAST_region_ID
contig00016_26874_27614,-3.14,-1.91,2-haloalkanoic acid dehalogenase (EC 3.8.1.2),MIT1002_00156,tier1:RAST_region_ID
contig00016_56397_53299,-1.48,-1.28,"RND efflux system, inner membrane transporter CmeB",MIT1002_00135,tier1:RAST_region_ID
contig00016_57564_56419,-1.72,-1.01,"RND efflux system, membrane fusion protein CmeA",MIT1002_00134,tier1:RAST_region_ID
contig00016_58885_59349,-2.2,-2.56,hypothetical protein,MIT1002_00132,tier1:RAST_region_ID
contig00017_6541_5198,0.87,0.59,Xaa-Pro aminopeptidase family enzyme,MIT1002_02915,tier1:RAST_region_ID
contig00017_12680_11028,-1.57,-1.6,Choline dehydrogenase (EC 1.1.99.1),MIT1002_02909,tier1:RAST_region_ID
contig00017_14165_12699,-2.28,-1.51,Betaine aldehyde dehydrogenase (EC 1.2.1.8),MIT1002_02908,tier1:RAST_region_ID
contig00018_45902_45243,-3.29,-2.08,FIG001196: putative membrane protein,MIT1002_02310,tier1:RAST_region_ID
contig00018_47007_46000,-2.09,-1.04,Putative sulfite oxidase subunit YedY,MIT1002_02309,tier1:RAST_region_ID
contig00018_50674_51468,-1.18,-0.66,"Putative cytochrome c oxidase, subunit I",MIT1002_02305,tier1:RAST_region_ID
contig00018_60681_60289,1.24,0.84,OsmC/Ohr family protein,MIT1002_02300,tier1:RAST_region_ID
contig00018_71962_70313,-1.11,-0.68,Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1),MIT1002_02288,tier1:RAST_region_ID
contig00019_62290_58493,-2.62,-1.93,Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),MIT1002_00637,tier1:RAST_region_ID
contig00020_20167_20045,1.27,0.99,hypothetical protein,,unresolved
contig00020_33528_33187,-3.0,-2.99,hypothetical protein,MIT1002_04153,tier1:RAST_region_ID
contig00020_42851_42729,-4.12,-0.92,hypothetical protein,,unresolved
contig00020_61961_62941,0.64,0.74,hypothetical protein,MIT1002_04225,tier1:RAST_region_ID
contig00020_63332_63691,-1.07,0.76,putative sensor histidine kinase with PAS/PAC and Response regulator receiver domains,MIT1002_04223,tier1:RAST_region_ID
contig00021_33057_32605,-1.56,-1.07,hypothetical protein,MIT1002_00288,tier1:RAST_region_ID
contig00021_46752_46318,-1.51,-1.61,hypothetical protein,MIT1002_00273,tier1:RAST_region_ID
contig00021_53768_53337,-1.56,-1.05,hypothetical protein,MIT1002_00265,tier1:RAST_region_ID
contig00022_43135_44904,-2.17,-1.05,putative choline-glycine betaine transporter,MIT1002_00078,tier1:RAST_region_ID
contig00022_67586_66411,-1.39,-1.19,Homolog of E. coli HemY protein,MIT1002_00099,tier1:RAST_region_ID
contig00022_68755_67583,-1.45,-0.66,Homolog of E. coli HemX protein,MIT1002_00100,tier1:RAST_region_ID
contig00023_27377_28516,1.24,0.67,Zinc carboxypeptidase domain protein,MIT1002_02393,tier1:RAST_region_ID
contig00023_40436_38352,-2.58,-1.5,Signal transduction histidine kinase,MIT1002_02380,tier1:RAST_region_ID
contig00023_40977_40525,-1.86,-1.62,response regulator receiver protein,MIT1002_02379,tier1:RAST_region_ID
contig00023_42481_40967,-2.91,-0.75,"Phytochrome, two-component sensor histidine kinase (EC 2.7.3.-)",MIT1002_02378,tier1:RAST_region_ID
contig00023_72024_71857,-1.64,-1.72,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),MIT1002_02355,tier1:RAST_region_ID
contig00024_29511_30194,0.69,1.03,Phage shock protein A,MIT1002_01143,tier1:RAST_region_ID
contig00024_38324_38043,0.75,0.77,hypothetical protein,MIT1002_01153,tier1:RAST_region_ID
contig00024_56616_57881,0.55,0.49,"TPR domain protein, putative component of TonB system",MIT1002_01168,tier1:RAST_region_ID
contig00026_7642_8688,-2.11,-1.66,"Hypothetical protein PA2244 (similar to DNA topoisomerase IB, but possibly involved in glycosyl-transfer)",MIT1002_01882,tier1:RAST_region_ID
contig00026_10586_11695,-1.84,-1.45,Glutamate 5-kinase (EC 2.7.2.11),MIT1002_01884,tier1:RAST_region_ID
contig00026_11692_12939,-1.18,-0.99,Gamma-glutamyl phosphate reductase (EC 1.2.1.41),MIT1002_01885,tier1:RAST_region_ID
contig00026_47030_48607,-1.27,-0.61,Cell division protein ZipA,MIT1002_01923,tier1:RAST_region_ID
contig00026_48899_50935,-1.14,-1.05,DNA ligase (EC 6.5.1.2),MIT1002_01924,tier1:RAST_region_ID
contig00027_615_64,-2.48,-2.22,hypothetical protein,MIT1002_02920,tier1:RAST_region_ID
contig00027_1694_633,-2.44,-1.21,hypothetical protein,MIT1002_02921,tier1:RAST_region_ID
contig00027_6060_7301,0.8,0.62,"Ferric siderophore transport system, periplasmic binding protein TonB",MIT1002_02926,tier1:RAST_region_ID
contig00027_42588_41767,-2.53,-2.16,Endonuclease VIII,MIT1002_02957,tier1:RAST_region_ID
contig00027_56632_57429,1.52,1.08,hypothetical protein,MIT1002_02967,tier1:RAST_region_ID
contig00028_11251_10421,0.69,0.83,hypothetical protein,MIT1002_02842,tier1:RAST_region_ID
contig00028_35977_35438,-1.74,-1.95,hypothetical protein,MIT1002_02823,tier1:RAST_region_ID
contig00028_42210_43256,1.2,0.7,S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-),MIT1002_02814,tier1:RAST_region_ID
contig00029_15038_14172,0.61,0.63,Flagellar synthesis regulator FleN,MIT1002_01102,tier1:RAST_region_ID
contig00030_7863_9119,0.75,0.55,response regulator receiver modulated diguanylate cyclase,MIT1002_03133,tier1:RAST_region_ID
contig00032_26069_25278,1.0,1.24,hypothetical protein,MIT1002_02142,tier1:RAST_region_ID
contig00032_26793_26062,1.14,0.88,hypothetical protein,MIT1002_02143,tier1:RAST_region_ID
contig00032_33688_31871,-1.21,-0.91,Excinuclease ABC subunit C,MIT1002_02153,tier1:RAST_region_ID
contig00032_36944_35481,-1.61,-1.35,Aspartate aminotransferase (EC 2.6.1.1),MIT1002_02156,tier1:RAST_region_ID
contig00032_37834_37082,-1.48,-1.56,Conserved domain protein,,unresolved
contig00033_26559_28634,-1.28,-1.03,"Outer membrane receptor proteins, mostly Fe transport",MIT1002_03201,tier1:RAST_region_ID
contig00034_48918_48751,-2.88,-1.39,protein of unknown function DUF1328,MIT1002_00462,tier1:RAST_region_ID
contig00035_39313_39002,-1.48,-1.53,hypothetical protein,MIT1002_00546,tier1:RAST_region_ID
contig00035_42759_43955,-1.65,-1.6,FIG01200038: hypothetical protein,MIT1002_00551,tier1:RAST_region_ID
contig00036_24547_23081,1.07,1.24,Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-),MIT1002_00224,tier1:RAST_region_ID
contig00039_2954_1791,0.9,0.7,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),MIT1002_00574,tier1:RAST_region_ID
contig00040_2184_2999,1.63,1.26,hypothetical protein,MIT1002_00415,tier1:RAST_region_ID
contig00040_25175_26992,-1.98,-1.59,Sodium/hydrogen exchanger family protein,MIT1002_00396,tier1:RAST_region_ID
contig00041_5191_6195,1.4,1.48,"Tn4652, cointegrate resolution protein T, putative",MIT1002_02110,tier1:RAST_region_ID
contig00043_37587_37805,-2.0,-1.04,putative orphan protein,MIT1002_02622,tier1:RAST_region_ID
contig00043_38071_38934,-2.98,-1.62,Mobile element protein,,unresolved
contig00043_41262_39886,-3.81,-1.04,hydrolase,MIT1002_02620,tier1:RAST_region_ID
contig00044_2549_2085,-1.07,-2.23,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",MIT1002_02209,tier1:RAST_region_ID
contig00044_36787_37611,1.42,1.08,Outer membrane lipoprotein carrier protein LolA,MIT1002_02179,tier1:RAST_region_ID
contig00046_6750_7301,-1.34,-0.99,Protein ydjA,MIT1002_01842,tier1:RAST_region_ID
contig00046_28045_28749,-2.29,-1.86,hypothetical protein,MIT1002_01861,tier1:RAST_region_ID
contig00046_30097_30726,-0.99,-0.57,Cell division protein FtsJ / Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.-),MIT1002_01864,tier1:RAST_region_ID
contig00047_10795_11418,-1.49,-1.08,Oxidoreductase (EC 1.1.1.-),MIT1002_03443,tier1:RAST_region_ID
contig00047_26814_25297,-1.39,-0.71,hypothetical protein,MIT1002_03431,tier1:RAST_region_ID
contig00048_20050_20832,-1.03,-1.04,Putative deoxyribonuclease YcfH,MIT1002_01740,tier1:RAST_region_ID
contig00049_27878_28828,-2.12,-1.51,"oxidoreductase, aldo/keto reductase family",MIT1002_03752,tier1:RAST_region_ID
contig00049_28852_29235,-1.52,-1.02,Hypothetical protein YaeR with similarity to glyoxylase family,MIT1002_03753,tier1:RAST_region_ID
contig00049_31475_30258,-1.93,-1.21,"Predicted sucrose permease, MFS family, FucP subfamily",MIT1002_03755,tier1:RAST_region_ID
contig00049_35216_35923,-1.23,-0.7,FolM Alternative dihydrofolate reductase 1,MIT1002_03759,tier1:RAST_region_ID
contig00050_1119_262,-1.34,-1.35,Glutathione S-transferase (EC 2.5.1.18),MIT1002_00457,tier1:RAST_region_ID
contig00051_14181_11134,-1.92,-1.36,Acriflavin resistance protein,MIT1002_01561,tier1:RAST_region_ID
contig00051_15318_14185,-2.22,-0.68,Probable Co/Zn/Cd efflux system membrane fusion protein,MIT1002_01562,tier1:RAST_region_ID
contig00052_1406_2065,0.84,0.95,"Transcriptional regulator, LuxR family",MIT1002_03317,tier1:RAST_region_ID
contig00053_20151_21404,-2.27,-1.4,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,MIT1002_01599,tier1:RAST_region_ID
contig00053_22739_21558,-2.29,-1.04,hypothetical protein,MIT1002_01600,tier1:RAST_region_ID
contig00053_23485_22736,-1.48,-0.95,FolM Alternative dihydrofolate reductase 1,MIT1002_01601,tier1:RAST_region_ID
contig00054_13970_12969,-1.81,-0.97,Alcohol dehydrogenase (EC 1.1.1.1),MIT1002_01507,tier1:RAST_region_ID
contig00055_2726_3562,-1.67,-0.85,"ATPase associated with various cellular activities, AAA_5",MIT1002_02236,tier1:RAST_region_ID
contig00055_3562_4743,-1.73,-0.69,hypothetical protein,MIT1002_02235,tier1:RAST_region_ID
contig00055_4792_5511,-2.06,-1.18,hypothetical protein,MIT1002_02234,tier1:RAST_region_ID
contig00055_13872_13000,-1.46,1.05,"D-glycerate 3-kinase (EC 2.7.1.31), plant type",MIT1002_02227,tier1:RAST_region_ID
contig00056_14582_15463,0.72,0.38,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),MIT1002_03560,tier1:RAST_region_ID
contig00056_24475_26202,-1.35,-0.97,Toxin secretion ABC transporter ATP-binding protein,MIT1002_03552,tier1:RAST_region_ID
contig00058_3666_5384,0.74,0.56,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type",MIT1002_02773,tier1:RAST_region_ID
contig00058_8300_7398,-2.42,-1.98,Histone deacetylase/AcuC/AphA family protein,MIT1002_02776,tier1:RAST_region_ID
contig00058_16227_16063,-4.64,-2.52,hypothetical protein,MIT1002_02782,tier1:RAST_region_ID
contig00058_17013_16288,-5.53,-2.05,hypothetical protein,MIT1002_02783,tier1:RAST_region_ID
contig00059_18698_16482,-2.82,-1.27,Phospholipase D/Transphosphatidylase,MIT1002_03348,tier1:RAST_region_ID
contig00063_22747_23634,1.1,0.74,hypothetical protein,MIT1002_03727,tier1:RAST_region_ID
contig00064_22172_21189,-2.76,-1.48,FIG00952692: hypothetical protein,MIT1002_02415,tier1:RAST_region_ID
contig00065_21182_20418,-2.47,-1.35,hypothetical protein,MIT1002_00907,tier1:RAST_region_ID
contig00069_5715_4879,0.88,0.61,rRNA small subunit methyltransferase I,MIT1002_03113,tier1:RAST_region_ID
contig00069_5857_7857,-1.09,-0.45,LppC putative lipoprotein,MIT1002_03114,tier1:RAST_region_ID
contig00069_9652_10248,-1.97,-1.31,Phosphoheptose isomerase (EC 5.3.1.-),MIT1002_03117,tier1:RAST_region_ID
contig00073_3210_2566,-1.93,-1.31,hypothetical protein,MIT1002_00693,tier1:RAST_region_ID
contig00083_1837_2466,-1.46,-0.6,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),MIT1002_02760,tier1:RAST_region_ID
