NCBI ID,NCBI ID_2,NCBI ID_3,Gene Name,Annotation,"Consistently in extended darkness axenic cultures, 72-144 hours","Consistently in extended darkness co-cultures, 72-144 hours",Unique to axenic cultures,Unique to co-cultures,darkness_cluster,resolved_locus_tag,resolution_method
NATL2_01831,PMN2A_RS00885,PMN2A_1497,zntA,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5)",X,,X,,darkness_axenic+unique_axenic,PMN2A_1497,tier1:NCBI ID_2
NATL2_01841,PMN2A_RS00890,PMN2A_1498,ycf3,photosystem I assembly related protein Ycf3,,X,,X,darkness_coculture+unique_coculture,PMN2A_1498,tier1:NCBI ID_2
NATL2_01861,PMN2A_RS00900,PMN2A_1500,,Two-component response regulator,,X,,X,darkness_coculture+unique_coculture,PMN2A_1500,tier1:NCBI ID_2
NATL2_01891,PMN2A_RS00915,PMN2A_1503,,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),,X,,X,darkness_coculture+unique_coculture,PMN2A_1503,tier1:NCBI ID_2
NATL2_01961,PMN2A_RS00950,PMN2A_1510,pds,"Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)",X,,X,,darkness_axenic+unique_axenic,PMN2A_1510,tier1:NCBI ID_2
NATL2_02011,PMN2A_RS00975,PMN2A_1515,ndhF,"NADH dehydrogenase subunit 5, Involved in CO2 fixation",X,,X,,darkness_axenic+unique_axenic,PMN2A_1515,tier1:NCBI ID_2
NATL2_02041,PMN2A_RS00990,PMN2A_1518,,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1518,tier1:NCBI ID_2
NATL2_02051,PMN2A_RS00995,PMN2A_1519,metF,"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)",,X,,X,darkness_coculture+unique_coculture,PMN2A_1519,tier1:NCBI ID_2
NATL2_02061,PMN2A_RS01000,PMN2A_1520,csgD,"Transcriptional regulator, contains HTH motif",,X,,X,darkness_coculture+unique_coculture,PMN2A_1520,tier1:NCBI ID_2
NATL2_02241,PMN2A_RS01080,PMN2A_1537,,Two-component response regulator,,X,,X,darkness_coculture+unique_coculture,PMN2A_1537,tier1:NCBI ID_2
NATL2_02271,PMN2A_RS01095,PMN2A_1540,ndhH,NAD(P)H-quinone oxidoreductase chain H (EC 1.6.5.2),X,,X,,darkness_axenic+unique_axenic,PMN2A_1540,tier1:NCBI ID_2
NATL2_02331,PMN2A_RS01125,PMN2A_1546,gshB,Glutathione synthetase (EC 6.3.2.3),X,,X,,darkness_axenic+unique_axenic,PMN2A_1546,tier1:NCBI ID_2
NATL2_02471,PMN2A_RS01185,PMN2A_1558,spoT,"GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II / Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)",,X,,X,darkness_coculture+unique_coculture,PMN2A_1558,tier1:NCBI ID_2
NATL2_02511,PMN2A_RS01205,PMN2A_1562,pgk,Phosphoglycerate kinase (EC 2.7.2.3),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1562,tier1:NCBI ID_2
NATL2_02571,PMN2A_RS01235,PMN2A_1568,rplL,LSU ribosomal protein L7/L12 (P1/P2),X,,X,,darkness_axenic+unique_axenic,PMN2A_1568,tier1:NCBI ID_2
NATL2_02581,PMN2A_RS01240,PMN2A_1569,rplJ,LSU ribosomal protein L10p (P0),,X,,X,darkness_coculture+unique_coculture,PMN2A_1569,tier1:NCBI ID_2
NATL2_02631,PMN2A_RS01265,PMN2A_1574,clpB2,ClpB protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_1574,tier1:NCBI ID_2
NATL2_02711,PMN2A_RS01300,PMN2A_1581,,Sulfate permease,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1581,tier1:NCBI ID_2
NATL2_02731,PMN2A_RS01310,PMN2A_1583,hemB,Porphobilinogen synthase (EC 4.2.1.24),,X,,X,darkness_coculture+unique_coculture,PMN2A_1583,tier1:NCBI ID_2
NATL2_02781,PMN2A_RS01335,PMN2A_1588,,FIG00941207: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_1588,tier1:NCBI ID_2
NATL2_02831,,,psbA,photosystem II protein D1 (PsbA),X,X,,,darkness_axenic+darkness_coculture,,empty
NATL2_02851,PMN2A_RS01365,PMN2A_1594,eda,4-Hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) / 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),X,,X,,darkness_axenic+unique_axenic,PMN2A_1594,tier1:NCBI ID_2
NATL2_02861,PMN2A_RS01370,PMN2A_1595,ftsH,Cell division protein FtsH (EC 3.4.24.-),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1595,tier1:NCBI ID_2
NATL2_02881,PMN2A_RS01380,PMN2A_1597,psbO,Photosystem II manganese-stabilizing protein (PsbO),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1597,tier1:NCBI ID_2
NATL2_02951,PMN2A_RS01410,PMN2A_1603,crtR,Beta-carotene hydroxylase,,X,,X,darkness_coculture+unique_coculture,PMN2A_1603,tier1:NCBI ID_2
NATL2_03211,PMN2A_RS01545,PMN2A_1629,amtB,Ammonium transporter family,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1629,tier1:NCBI ID_2
NATL2_03221,PMN2A_RS01550,PMN2A_1630,lytB,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1630,tier1:NCBI ID_2
NATL2_03261,PMN2A_RS01570,PMN2A_1634,,FIG00940511: hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_1634,tier1:NCBI ID_2
NATL2_03401,PMN2A_RS01635,PMN2A_1646,,"Lignostilbene-alpha, beta-dioxygenase",,X,,X,darkness_coculture+unique_coculture,PMN2A_1646,tier1:NCBI ID_2
NATL2_03481,PMN2A_RS01675,PMN2A_1654,chlD,Protoporphyrin IX Mg-chelatase subunit D (EC 6.6.1.1),,X,,X,darkness_coculture+unique_coculture,PMN2A_1654,tier1:NCBI ID_2
NATL2_03531,PMN2A_RS01700,PMN2A_1659,ndhK,NAD(P)H-quinone oxidoreductase chain K (EC 1.6.5.2),,X,,X,darkness_coculture+unique_coculture,PMN2A_1659,tier1:NCBI ID_2
NATL2_03581,,PMN2A_1664,psbL,Photosystem II protein PsbL,X,,X,,darkness_axenic+unique_axenic,,empty
NATL2_03591,PMN2A_RS01725,PMN2A_1665,psbJ,Photosystem II protein PsbJ,X,,X,,darkness_axenic+unique_axenic,PMN2A_1665,tier1:NCBI ID_2
NATL2_03651,PMN2A_RS01755,PMN2A_1671,cpeB,Phycoerythrin beta chain,X,,X,,darkness_axenic+unique_axenic,PMN2A_1671,tier1:NCBI ID_2
NATL2_03841,PMN2A_RS01855,PMN2A_1689,rpsA1,SSU ribosomal protein S1p,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1689,tier1:NCBI ID_2
NATL2_03871,PMN2A_RS01865,PMN2A_1692,psbB,Photosystem II CP47 protein (PsbB),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1692,tier1:NCBI ID_2
NATL2_03971,PMN2A_RS01915,PMN2A_1701,,Periplasmic protease,,X,,X,darkness_coculture+unique_coculture,PMN2A_1701,tier1:NCBI ID_2
NATL2_03981,PMN2A_RS01920,PMN2A_1702,petB,"Cytochrome b6-f complex subunit, cytochrome b6",,X,,X,darkness_coculture+unique_coculture,PMN2A_1702,tier1:NCBI ID_2
NATL2_03991,PMN2A_RS01925,PMN2A_1703,petD,Cytochrome b6-f complex subunit IV (PetD),,X,,X,darkness_coculture+unique_coculture,PMN2A_1703,tier1:NCBI ID_2
NATL2_04011,PMN2A_RS01960,PMN2A_1705,mutM,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),X,,X,,darkness_axenic+unique_axenic,PMN2A_1705,tier1:NCBI ID_2
NATL2_04231,PMN2A_RS02075,PMN2A_1723,cobI/cbiL,Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130),X,,X,,darkness_axenic+unique_axenic,PMN2A_1723,tier1:NCBI ID_2
NATL2_04421,PMN2A_RS02165,PMN2A_1741,,Cysteine synthase (EC 2.5.1.47),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1741,tier1:NCBI ID_2
NATL2_04451,PMN2A_RS02180,PMN2A_1744,rpsD,SSU ribosomal protein S4p (S9e),,X,,X,darkness_coculture+unique_coculture,PMN2A_1744,tier1:NCBI ID_2
NATL2_04621,PMN2A_RS02250,PMN2A_1757,,porin homolog,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1757,tier1:NCBI ID_2
NATL2_04641,PMN2A_RS02260,PMN2A_1759,chlG,Chlorophyll a synthase ChlG (EC 2.5.1.62),X,,X,,darkness_axenic+unique_axenic,PMN2A_1759,tier1:NCBI ID_2
NATL2_04661,PMN2A_RS02270,PMN2A_1761,hisF,Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1761,tier1:NCBI ID_2
NATL2_04731,PMN2A_RS02305,PMN2A_1768,topA,DNA topoisomerase I (EC 5.99.1.2),,X,,X,darkness_coculture+unique_coculture,PMN2A_1768,tier1:NCBI ID_2
NATL2_04831,PMN2A_RS02355,PMN2A_1778,ctaA,"Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA",X,,X,,darkness_axenic+unique_axenic,PMN2A_1778,tier1:NCBI ID_2
NATL2_04881,PMN2A_RS02380,PMN2A_1783,groEL,Heat shock protein 60 family chaperone GroEL,X,X,,,darkness_axenic+darkness_coculture,PMN2A_1783,tier1:NCBI ID_2
NATL2_04981,PMN2A_RS02425,PMN2A_1793,petA,"Cytochrome b6-f complex subunit, apocytochrome f",,X,,X,darkness_coculture+unique_coculture,PMN2A_1793,tier1:NCBI ID_2
NATL2_04991,PMN2A_RS02430,PMN2A_1794,petC,Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.99.1),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1794,tier1:NCBI ID_2
NATL2_05061,PMN2A_RS02460,PMN2A_1801,psaF,"photosystem I subunit III precursor, plastocyanin (cyt c553) docking protein (PsaF)",,X,,X,darkness_coculture+unique_coculture,PMN2A_1801,tier1:NCBI ID_2
NATL2_05111,PMN2A_RS02485,PMN2A_1806,gltX,Glutamyl-tRNA synthetase (EC 6.1.1.17) @ Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24),,X,,X,darkness_coculture+unique_coculture,PMN2A_1806,tier1:NCBI ID_2
NATL2_05131,PMN2A_RS02505,PMN2A_1808,rplS,LSU ribosomal protein L19p,,X,,X,darkness_coculture+unique_coculture,PMN2A_1808,tier1:NCBI ID_2
NATL2_05151,PMN2A_RS02510,PMN2A_1809,map,Methionine aminopeptidase (EC 3.4.11.18),,X,,X,darkness_coculture+unique_coculture,PMN2A_1809,tier1:NCBI ID_2
NATL2_05221,PMN2A_RS02545,PMN2A_1816,hemL,Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8),,X,,X,darkness_coculture+unique_coculture,PMN2A_1816,tier1:NCBI ID_2
NATL2_05341,PMN2A_RS02605,PMN2A_1828,hemC,Porphobilinogen deaminase (EC 2.5.1.61),,X,,X,darkness_coculture+unique_coculture,PMN2A_1828,tier1:NCBI ID_2
NATL2_05351,PMN2A_RS02610,PMN2A_1829,rpoD,Group 2 RNA polymerase sigma factor @ RNA polymerase sigma factor RpoD,X,,X,,darkness_axenic+unique_axenic,PMN2A_1829,tier1:NCBI ID_2
NATL2_05511,PMN2A_RS02685,PMN2A_1844,,Inorganic pyrophosphatase (EC 3.6.1.1),X,,X,,darkness_axenic+unique_axenic,PMN2A_1844,tier1:NCBI ID_2
NATL2_05581,PMN2A_RS02720,PMN2A_1851,tal,Transaldolase (EC 2.2.1.2),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1851,tier1:NCBI ID_2
NATL2_05651,PMN2A_RS02755,PMN2A_1858,ilvB,Acetolactate synthase large subunit (EC 2.2.1.6),X,,X,,darkness_axenic+unique_axenic,PMN2A_1858,tier1:NCBI ID_2
NATL2_05791,PMN2A_RS02825,PMN2A_1872,chlL,Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein ChlL (EC 1.18.-.-),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1872,tier1:NCBI ID_2
NATL2_05801,PMN2A_RS02830,PMN2A_1873,chlN,Light-independent protochlorophyllide reductase subunit N (EC 1.18.-.-),X,,X,,darkness_axenic+unique_axenic,PMN2A_1873,tier1:NCBI ID_2
NATL2_05811,PMN2A_RS02835,PMN2A_1874,chlB,Light-independent protochlorophyllide reductase subunit B (EC 1.18.-.-),X,,X,,darkness_axenic+unique_axenic,PMN2A_1874,tier1:NCBI ID_2
NATL2_05861,PMN2A_RS02860,PMN2A_1879,rbcL,Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1879,tier1:NCBI ID_2
NATL2_05871,PMN2A_RS02865,PMN2A_1880,rbcS,Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39),X,X,,,darkness_axenic+darkness_coculture,PMN2A_1880,tier1:NCBI ID_2
NATL2_05881,PMN2A_RS02870,PMN2A_1881,csoS2,carboxysome shell protein CsoS2,,X,,X,darkness_coculture+unique_coculture,PMN2A_1881,tier1:NCBI ID_2
NATL2_06141,PMN2A_RS03000,PMN2A_0012,,COGs COG3339,X,,X,,darkness_axenic+unique_axenic,PMN2A_0012,tier1:NCBI ID_2
NATL2_06191,PMN2A_RS03020,PMN2A_0016,clpB,ClpB protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0016,tier1:NCBI ID_2
NATL2_06201,PMN2A_RS03025,PMN2A_0017,petE,Plastocyanin,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0017,tier1:NCBI ID_2
NATL2_06231,PMN2A_RS03040,PMN2A_0020,glgB,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0020,tier1:NCBI ID_2
NATL2_06391,PMN2A_RS03120,PMN2A_0036,,Membrane associated GTPase,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0036,tier1:NCBI ID_2
NATL2_06441,PMN2A_RS03145,PMN2A_0041,,FIG00942067: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0041,tier1:NCBI ID_2
NATL2_06521,PMN2A_RS03185,PMN2A_0049,aroA,5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19),X,,X,,darkness_axenic+unique_axenic,PMN2A_0049,tier1:NCBI ID_2
NATL2_06551,PMN2A_RS03200,PMN2A_0052,,Omega amidase (Nit2 homolog),X,,X,,darkness_axenic+unique_axenic,PMN2A_0052,tier1:NCBI ID_2
NATL2_06601,PMN2A_RS03225,PMN2A_0057,acs,Acetyl-coenzyme A synthetase (EC 6.2.1.1),X,,X,,darkness_axenic+unique_axenic,PMN2A_0057,tier1:NCBI ID_2
NATL2_06701,PMN2A_RS03275,PMN2A_0066,,"Iron starvation-induced chlorophyll a(b) binding protein IsiA, photosystem II CP43 protein (PsbC) homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0066,tier1:NCBI ID_2
NATL2_06991,PMN2A_RS03415,PMN2A_0093,nrdA,Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1),,X,,X,darkness_coculture+unique_coculture,PMN2A_0093,tier1:NCBI ID_2
NATL2_07211,PMN2A_RS03520,PMN2A_0114,,FIG00940302: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0114,tier1:NCBI ID_2
NATL2_07251,PMN2A_RS03540,PMN2A_0118,,FIG00943508: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0118,tier1:NCBI ID_2
NATL2_07551,PMN2A_RS03660,PMN2A_0141,glnA,Glutamine synthetase type I (EC 6.3.1.2),,X,,X,darkness_coculture+unique_coculture,PMN2A_0141,tier1:NCBI ID_2
NATL2_07561,PMN2A_RS03665,PMN2A_0142,"spt, agt",Serine--pyruvate aminotransferase (EC 2.6.1.51) / L-alanine:glyoxylate aminotransferase (EC 2.6.1.44),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0142,tier1:NCBI ID_2
NATL2_07711,PMN2A_RS03735,PMN2A_0157,rpsB,SSU ribosomal protein S2p (SAe),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0157,tier1:NCBI ID_2
NATL2_07761,PMN2A_RS03760,PMN2A_0162,sir,Ferredoxin--sulfite reductase (EC 1.8.7.1),,X,,X,darkness_coculture+unique_coculture,PMN2A_0162,tier1:NCBI ID_2
NATL2_07781,PMN2A_RS03770,PMN2A_0164,chlP,Geranylgeranyl hydrogenase BchP,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0164,tier1:NCBI ID_2
NATL2_07871,PMN2A_RS03815,PMN2A_0173,glpX,"Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11) / Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37)",,X,,X,darkness_coculture+unique_coculture,PMN2A_0173,tier1:NCBI ID_2
NATL2_07881,PMN2A_RS03820,PMN2A_0174,hemA,Glutamyl-tRNA reductase (EC 1.2.1.70),,X,,X,darkness_coculture+unique_coculture,PMN2A_0174,tier1:NCBI ID_2
NATL2_07901,PMN2A_RS03830,PMN2A_0176,gnd,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0176,tier1:NCBI ID_2
NATL2_07941,PMN2A_RS03850,PMN2A_0180,ilvD,Dihydroxy-acid dehydratase (EC 4.2.1.9),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0180,tier1:NCBI ID_2
NATL2_07971,PMN2A_RS03865,PMN2A_0183,,"Putative lumenal protein, contains 8 pentapeptide repeats, sll0577 homolog",,X,,X,darkness_coculture+unique_coculture,PMN2A_0183,tier1:NCBI ID_2
NATL2_08011,PMN2A_RS03885,PMN2A_0188,cbbA,Fructose-bisphosphate aldolase class I (EC 4.1.2.13),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0188,tier1:NCBI ID_2
NATL2_08061,PMN2A_RS03910,PMN2A_0193,prkB,Phosphoribulokinase (EC 2.7.1.19),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0193,tier1:NCBI ID_2
NATL2_08221,PMN2A_RS03990,PMN2A_0209,,NAD dependent epimerase/dehydratase,X,,X,,darkness_axenic+unique_axenic,PMN2A_0209,tier1:NCBI ID_2
NATL2_08251,PMN2A_RS04005,PMN2A_0212,,ferritin,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0212,tier1:NCBI ID_2
NATL2_08281,PMN2A_RS04020,PMN2A_0215,,"Iron starvation-induced chlorophyll a(b) binding protein IsiA, photosystem II CP43 protein (PsbC) homolog",X,X,,,darkness_axenic+darkness_coculture,PMN2A_0215,tier1:NCBI ID_2
,PMN2A_RS04075,PMN2A_0227,,Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic) (EC 1.14.13.81),,X,,X,darkness_coculture+unique_coculture,PMN2A_0227,tier1:NCBI ID_2
NATL2_09111,PMN2A_RS04395,PMN2A_0293,,FtsH ATP-dependent protease-like protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0293,tier1:NCBI ID_2
NATL2_09131,PMN2A_RS04405,PMN2A_0295,pykF,Pyruvate kinase (EC 2.7.1.40),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0295,tier1:NCBI ID_2
NATL2_09151,PMN2A_RS04415,PMN2A_0297,,"Cell division protein YlmG/Ycf19 (putative), YggT family",X,,X,,darkness_axenic+unique_axenic,PMN2A_0297,tier1:NCBI ID_2
NATL2_09161,PMN2A_RS04420,PMN2A_0298,,Predicted transcriptional regulator containing the HTH domain,X,,X,,darkness_axenic+unique_axenic,PMN2A_0298,tier1:NCBI ID_2
NATL2_09181,PMN2A_RS04430,PMN2A_0300,dxs,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0300,tier1:NCBI ID_2
NATL2_09211,PMN2A_RS04445,PMN2A_0303,,FIG00942767: hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_0303,tier1:NCBI ID_2
NATL2_09241,PMN2A_RS04455,PMN2A_0305,rpmB,LSU ribosomal protein L28p,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0305,tier1:NCBI ID_2
NATL2_09251,PMN2A_RS04460,PMN2A_0306,htpG,Chaperone protein HtpG,X,,X,,darkness_axenic+unique_axenic,PMN2A_0306,tier1:NCBI ID_2
NATL2_09581,PMN2A_RS04630,PMN2A_0338,pheT,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),,X,,X,darkness_coculture+unique_coculture,PMN2A_0338,tier1:NCBI ID_2
NATL2_09801,PMN2A_RS04725,PMN2A_0352,ahpC,Alkyl hydroperoxide reductase subunit C-like protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0352,tier1:NCBI ID_2
NATL2_09951,PMN2A_RS04795,PMN2A_0366,fmt,Methionyl-tRNA formyltransferase (EC 2.1.2.9),X,,X,,darkness_axenic+unique_axenic,PMN2A_0366,tier1:NCBI ID_2
NATL2_10081,PMN2A_RS04865,PMN2A_0380,chlH,Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1),X,,X,,darkness_axenic+unique_axenic,PMN2A_0380,tier1:NCBI ID_2
NATL2_10101,PMN2A_RS04875,PMN2A_0382,tpiA,Triosephosphate isomerase (EC 5.3.1.1),X,,X,,darkness_axenic+unique_axenic,PMN2A_0382,tier1:NCBI ID_2
NATL2_10501,PMN2A_RS05040,PMN2A_0410,,FIG00941148: hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_0410,tier1:NCBI ID_2
NATL2_10531,PMN2A_RS05050,PMN2A_0411,,AbrB family transciptional regulator,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0411,tier1:NCBI ID_2
NATL2_10791,PMN2A_RS05155,PMN2A_0429,,hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0429,tier1:NCBI ID_2
NATL2_11021,PMN2A_RS05245,PMN2A_0445,gap3,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),,X,,X,darkness_coculture+unique_coculture,PMN2A_0445,tier1:NCBI ID_2
NATL2_11351,PMN2A_RS05355,PMN2A_0467,,predicted protein family PM-17,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0467,tier1:NCBI ID_2
NATL2_11401,PMN2A_RS05375,PMN2A_0470,,hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0470,tier1:NCBI ID_2
NATL2_11601,PMN2A_RS05465,PMN2A_0487,,hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0487,tier1:NCBI ID_2
NATL2_11621,PMN2A_RS05475,PMN2A_0489,,Phytoene dehydrogenase and related proteins,X,,X,,darkness_axenic+unique_axenic,PMN2A_0489,tier1:NCBI ID_2
NATL2_11801,,PMN2A_0501,,FIG00941805: hypothetical protein,X,,X,,darkness_axenic+unique_axenic,,empty
NATL2_12121,PMN2A_RS05660,PMN2A_0522,,hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_0522,tier1:NCBI ID_2
NATL2_12181,,PMN2A_0525,,FIG00942513: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,,empty
NATL2_12341,PMN2A_RS05750,PMN2A_0538,,Selenoprotein O and cysteine-containing homologs,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0538,tier1:NCBI ID_2
NATL2_12411,PMN2A_RS05770,PMN2A_2046,,FIG00943072: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_2046,tier1:NCBI ID_2
NATL2_12461,,PMN2A_2049,,hypothetical protein,,X,,X,darkness_coculture+unique_coculture,,empty
NATL2_12481,PMN2A_RS05790,PMN2A_0542,,FIG00943443: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,PMN2A_0542,tier1:NCBI ID_2
NATL2_12761,PMN2A_RS05880,PMN2A_0558,psbA,photosystem II protein D1 (PsbA),X,X,,,darkness_axenic+darkness_coculture,PMN2A_0558,tier1:NCBI ID_2
NATL2_13291,,PMN2A_2088,,FIG00943534: hypothetical protein,X,X,,,darkness_axenic+darkness_coculture,,empty
NATL2_13341,PMN2A_RS06075,PMN2A_0592,,FIG00942845: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0592,tier1:NCBI ID_2
NATL2_13501,PMN2A_RS06115,PMN2A_0598,,FIG00940600: hypothetical protein,,X,,X,darkness_coculture+unique_coculture,PMN2A_0598,tier1:NCBI ID_2
NATL2_13821,,PMN2A_0619,,protein family PM-14,,X,,X,darkness_coculture+unique_coculture,,empty
NATL2_13831,PMN2A_RS06235,PMN2A_0620,,FIG00942322: hypothetical protein,X,,X,,darkness_axenic+unique_axenic,PMN2A_0620,tier1:NCBI ID_2
NATL2_13991,,PMN2A_0630,,hypothetical protein,,X,,X,darkness_coculture+unique_coculture,,empty
