gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
ftsY,ftsY,TX72_RS00055,SYNW0011,Protein Homology,12401.0,13858.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126892.1,signal recognition particle-docking protein FtsY,WP_011126892.1,SYNW0011,12401.0,13858.0,+,CK_Syn_WH8102_00011,ftsY,"GO:0009306,GO:0006614,GO:0006184,GO:0003924,GO:0005047,GO:0005525",CK_00000356,L.1,Protein and peptide secretion and trafficking,"COG0552,bactNOG01692,cyaNOG00560","COG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,"protein secretion,SRP-dependent cotranslational protein targeting to membrane,obsolete GTP catabolic process,protein secretion,SRP-dependent cotranslational protein targeting to membrane,obsolete GTP catabolic process,GTPase activity,signal recognition particle binding,GTP binding",signal recognition particle-docking protein FtsY,"TIGR00064,PF00448,PF02881,PS00300,IPR000897,IPR013822,IPR004390","signal recognition particle-docking protein FtsY,SRP54-type protein%2C GTPase domain,SRP54-type protein%2C helical bundle domain,SRP54-type proteins GTP-binding domain signature.,Signal recognition particle%2C SRP54 subunit%2C GTPase domain,Signal recognition particle SRP54%2C helical bundle,Signal-recognition particle receptor FtsY",97,Protein fate / Protein and peptide secretion and trafficking
TX72_RS00060,,TX72_RS00060,SYNW0012,Protein Homology,13895.0,15316.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126893.1,PP2C family protein-serine/threonine phosphatase,WP_011126893.1,SYNW0012,13895.0,15316.0,+,CK_Syn_WH8102_00012,rsbU,"GO:0004721,GO:0004647",CK_00000355,O.2,Phosphotransferase systems (PTS),"COG2208,COG4231,bactNOG28480,bactNOG05232,bactNOG24914,bactNOG25290,bactNOG07199,cyaNOG00349","COG: TK,COG: METABOLISM [C] Energy production and conversion,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,cyaNOG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms",3.1.3.3,phosphoserine phosphatase,"phosphoprotein phosphatase activity,phosphoserine phosphatase activity",phosphoserine phosphatase RsbU/P,"PF07228,IPR001932,IPR029016","Stage II sporulation protein E (SpoIIE),PPM-type phosphatase domain,GAF-like domain superfamily",700,Signal transduction / PTS
argH,argH,TX72_RS00065,SYNW0013,Protein Homology,15337.0,16752.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126894.1,argininosuccinate lyase,WP_011126894.1,SYNW0013,15337.0,16752.0,+,CK_Syn_WH8102_00013,argH,"GO:0042450,GO:0004056",CK_00000354,A.3,Glutamate family (Arg%2C Gln%2C Glu%2C Pro),"COG0165,bactNOG00740,cyaNOG02059","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",4.3.2.1,argininosuccinate lyase%3B arginosuccinase%3B argininosuccinic acid lyase%3B arginine-succinate lyase%3B N-(L-argininosuccinate) arginine-lyase%3B omega-N-(L-arginino)succinate arginine-lyase%3B 2-(omega-N-L-arginino)succinate arginine-lyase (fumarate-forming),"arginine biosynthetic process via ornithine,arginine biosynthetic process via ornithine,argininosuccinate lyase activity",argininosuccinate lyase,"TIGR00838,PF14698,PF00206,PS00163,IPR020557,IPR009049,IPR029419,IPR022761","argininosuccinate lyase,Argininosuccinate lyase C-terminal,Lyase,Fumarate lyases signature.,Fumarate lyase%2C conserved site,Argininosuccinate lyase,Argininosuccinate lyase%2C C-terminal,Fumarate lyase%2C N-terminal",73,Amino acid biosynthesis / Glutamate family
TX72_RS00070,,TX72_RS00070,SYNW0014,Protein Homology,16879.0,17523.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126895.1,RNA recognition motif domain-containing protein,WP_011126895.1,SYNW0014,16879.0,17523.0,+,CK_Syn_WH8102_00014,SYNW0014,GO:0003676,CK_00008100,N.2,RNA interactions,"COG0724,bactNOG37496,cyaNOG05206,cyaNOG03294","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,nucleic acid binding,RNA-binding domain RNP-1 (RNA recognition motif) containing protein,"PF00076,PS50102,IPR000504","RNA recognition motif. (a.k.a. RRM%2C RBD%2C or RNP domain),Eukaryotic RNA Recognition Motif (RRM) profile.,RNA recognition motif domain",262,Regulatory functions / RNA interactions
dusA,dusA,TX72_RS00075,SYNW0015,Protein Homology,17529.0,18521.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126896.1,tRNA dihydrouridine(20/20a) synthase DusA,WP_011126896.1,SYNW0015,17529.0,18521.0,-,CK_Syn_WH8102_00015,dusA,"GO:0008033,GO:0055114,GO:0002943,GO:0017150,GO:0050660",CK_00000353,K.3,tRNA and rRNA base modification,"COG0042,bactNOG00177,cyaNOG00450","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"tRNA processing,oxidation-reduction process,tRNA dihydrouridine synthesis,tRNA processing,oxidation-reduction process,tRNA dihydrouridine synthesis,tRNA dihydrouridine synthase activity,flavin adenine dinucleotide binding",tRNA dihydrouridine synthase,"PF01207,PS01136,IPR001269,IPR018517,IPR004653,IPR013785","Dihydrouridine synthase (Dus),Uncharacterized protein family UPF0034 signature.,tRNA-dihydrouridine synthase,tRNA-dihydrouridine synthase%2C conserved site,tRNA-dihydrouridine(20/20a) synthase,Aldolase-type TIM barrel",168,Protein synthesis / tRNA and rRNA base modification
msrB,msrB,TX72_RS00080,SYNW0016,Protein Homology,18563.0,19069.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126897.1,peptide-methionine (R)-S-oxide reductase MsrB,WP_011126897.1,SYNW0016,18563.0,19069.0,+,CK_Syn_WH8102_00016,msrB,"GO:0055114,GO:0033743",CK_00000040,"D.1.7,L.2","Trace metals,Protein modification and repair","COG0229,bactNOG24089,bactNOG24659,bactNOG20112,bactNOG64357,cyaNOG02600","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",1.8.4.12,peptide-methionine (R)-S-oxide reductase%3B MsrB%3B methionine sulfoxide reductase (ambiguous)%3B pMSR%3B methionine S-oxide reductase (ambiguous)%3B selenoprotein R%3B methionine S-oxide reductase (R-form oxidizing)%3B methionine sulfoxide reductase B%3B SelR%3B SelX%3B PilB%3B pRMsr,"oxidation-reduction process,oxidation-reduction process,peptide-methionine (R)-S-oxide reductase activity",peptide methionine-R-sulfoxide reductase,"TIGR00357,PF01641,IPR002579,IPR011057","methionine-R-sulfoxide reductase,SelR domain,Peptide methionine sulphoxide reductase MrsB,Mss4-like superfamily","140,149","Protein fate / Protein modification and repair,Cellular processes / Adaptations to atypical conditions"
TX72_RS00085,,TX72_RS00085,SYNW0017,Protein Homology,19047.0,20318.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006852102.1,BaiN/RdsA family NAD(P)/FAD-dependent oxidoreductase,WP_404824896.1,SYNW0017,19080.0,20318.0,+,CK_Syn_WH8102_00017,SYNW0017,"GO:0055114,GO:0050662,GO:0016491",CK_00000352,R.2,Conserved hypothetical proteins,"COG2081,bactNOG05046,cyaNOG00744","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"oxidation-reduction process,oxidation-reduction process,coenzyme binding,oxidoreductase activity",flavoprotein%2C HI0933 family,"TIGR00275,PF03486,IPR004792,IPR023753","flavoprotein%2C HI0933 family,HI0933-like protein,3-Dehydro-bile acid delta(4%2C6)-reductase-like,FAD/NAD(P)-binding domain",156,Hypothetical proteins / Conserved
TX72_RS00090,,TX72_RS00090,SYNW0018,Protein Homology,20293.0,21366.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126899.1,type II secretion system F family protein,WP_011126899.1,SYNW0018,20293.0,21366.0,-,CK_Syn_WH8102_00018,pilC,"GO:0009306,GO:0016020",CK_00001563,"D.5,L.1","Chemotaxis and motility,Protein and peptide secretion and trafficking","COG1459,bactNOG00971,cyaNOG00575","COG: NU,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,"protein secretion,protein secretion,membrane",type II secretory pathway%2C component PulF,"PF00482,PS00874,IPR018076,IPR001992","Type II secretion system (T2SS)%2C protein F,Bacterial type II secretion system protein F signature.,Type II secretion system F domain,Type II secretion system conserved site","188,97","Cellular processes / Chemotaxis and motility,Protein fate / Protein and peptide secretion and trafficking"
TX72_RS00100,,TX72_RS00100,SYNW0022,Protein Homology,22538.0,24409.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126900.1,GspE/PulE family protein,WP_011126900.1,SYNW0022,22538.0,24409.0,-,CK_Syn_WH8102_00022,pilB,,CK_00001687,"C.4,D.1.9,D.5","Surface structures, Other,Chemotaxis and motility","COG2804,bactNOG00489,bactNOG00911,cyaNOG00826","COG: NU,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: U,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,,type II secretory pathway%2C ATPase PulE/Tfp pilus assembly pathway%2C ATPase PilB,"PF00437,IPR001482","Type II/IV secretion system protein,Type II/IV secretion system protein","188,91","Cellular processes / Chemotaxis and motility,Cell envelope / Surface structures"
grpE,grpE,TX72_RS00105,SYNW0023,Protein Homology,24509.0,25165.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011126901.1,nucleotide exchange factor GrpE,WP_011126901.1,SYNW0023,24509.0,25165.0,+,CK_Syn_WH8102_00023,grpE,"GO:0006457,GO:0051082,GO:0000774,GO:0042803,GO:0051087",CK_00000351,"D.1.6,D.1.9,D.4,K.5,L.3","Temperature, Other,Chaperones,Other,Protein folding and stabilization","COG0576,bactNOG36629,cyaNOG02683","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"protein folding,protein folding,unfolded protein binding,adenyl-nucleotide exchange factor activity,protein homodimerization activity,chaperone binding",chaperone protein GrpE,"PF01025,PS01071,IPR000740","GrpE,grpE protein signature.,GrpE nucleotide exchange factor","136,95","Protein synthesis / Other,Protein fate / Protein folding and stabilization"
