function category,Gene Name,Gene ID,Score,Log2 fold change,resolved_locus_tag,resolution_method
Glycosyltransferases,SYNW2294,Possible glycosyltransferase ,3.57,0.28,SYNW2294,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0459,possible UDP-glucose 4-epimerase ,7.91,0.54,SYNW0459,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0451,putative O-acetyltransferase ,4.94,0.66,SYNW0451,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0200,Putative nucleotide sugar epimerase ,4.71,0.26,SYNW0200,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0646,"dTDP-glucose-4,6-dehydratase ",4.68,0.45,SYNW0646,locus_tag:Gene Name
Cell wall biosynthesis,SYNW1957,possible LysM domain ,4.54,0.58,SYNW1957,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0450,putative sugar-phosphate nucleotide transferase ,4.38,1.24,SYNW0450,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0943,similar to RlpA,3.64,0.33,SYNW0943,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0449,putative N-acetylglucosamine-6-phosphate 2-epimerase,3.61,0.54,SYNW0449,locus_tag:Gene Name
Cell wall biosynthesis,SYNW0422,"GDP-D-mannose 4,6- dehydratase",3.54,0.44,SYNW0422,locus_tag:Gene Name
Cell wall biosynthesis,SYNW1003,UDP-N-acetylglucosamine pyrophosphorylase,3.31,0.23,SYNW1003,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0436,putative cyclase hisF ,6.5,1.16,SYNW0436,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW2453,putative asparagine synthetase protein ,6.33,0.61,SYNW2453,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0435,putative glutamine amidotransferase ,3.93,0.41,SYNW0435,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW1025,putative Anthranilate synthase component II,3.39,0.16,SYNW1025,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0944,Orn/Lys/Arg decarboxylases family 1,3.3,0.29,SYNW0944,locus_tag:Gene Name
Amino acid biosynthesis and metabolism,SYNW0392,putative sulfotransferase protein ,3.11,0.64,SYNW0392,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1913,putative sarcosine-dimethylglycine methyltransferase,6.0,0.77,SYNW1913,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1914,putative glycine-sarcosine methyltransferase,3.59,0.22,SYNW1914,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1749,possible methyltransferase ,3.37,0.38,SYNW1749,locus_tag:Gene Name
Co-factor biosynthesis and metabolism,SYNW1248,putative pantetheine-phosphate adenylyl transferase,3.18,0.13,SYNW1248,locus_tag:Gene Name
Nucelotide biosynthesis,SYNW2238,Thymidylate kinase,5.43,1.09,SYNW2238,locus_tag:Gene Name
Nucelotide biosynthesis,SYNW2428,Glutamine amidotransferase class-I:CTP synthase,4.96,0.36,SYNW2428,locus_tag:Gene Name
Nucelotide biosynthesis,SYNW0278,dCTP deaminase ,4.36,0.37,SYNW0278,locus_tag:Gene Name
Nucelotide biosynthesis,SYNW0238,Orotate phosphoribosyltransferase,3.8,0.57,SYNW0238,locus_tag:Gene Name
Nucelotide biosynthesis,SYNW2029,phosphoribosyl formylglycinamidine cyclo-ligase,3.73,0.17,SYNW2029,locus_tag:Gene Name
Nucelotide biosynthesis,SYNW0552,phosphoribosylglycinamide synthetase,3.32,0.4,SYNW0552,locus_tag:Gene Name
Energy metabolism,SYNW0155,putative acetate kinase ,9.68,0.94,SYNW0155,locus_tag:Gene Name
Energy metabolism,SYNW1954,putative glycerol-3-phosphate dehydrogenase,5.25,0.75,SYNW1954,locus_tag:Gene Name
Energy metabolism,SYNW1120,Putative 6-phosphogluconolactonase PglDevB,4.3,0.43,SYNW1120,locus_tag:Gene Name
Energy metabolism,SYNW0540,putative N-acetylglucosamine-6-phosphate isomerase ,3.92,0.31,SYNW0540,locus_tag:Gene Name
Energy metabolism,SYNW0749,Possible glucose 6-phosphate dehydrogenase effector OpcA,3.82,0.28,SYNW0749,locus_tag:Gene Name
Energy metabolism,SYNW1953,putative glycerol kinase ,3.64,0.43,SYNW1953,locus_tag:Gene Name
Energy metabolism,SYNW0488,possible ATP synthase protein 1 ,3.56,0.74,SYNW0488,locus_tag:Gene Name
Energy metabolism,SYNW0438,possible polysaccharide deacetylase,3.56,0.62,SYNW0438,locus_tag:Gene Name
Energy metabolism,SYNW0799,glyceraldehyde-3-phosphate dehydrogenase ,3.52,0.33,SYNW0799,locus_tag:Gene Name
Energy metabolism,SYNW0750,glucose-6-phosphate dehydrogenase ,3.15,0.43,SYNW0750,locus_tag:Gene Name
Nitrogen metabolism,SYNW2477,Ferredoxin--nitrite reductase,4.56,0.95,SYNW2477,locus_tag:Gene Name
Other metabolic functions,SYNW0143,acyl carrier protein (ACP) ,4.1,0.62,SYNW0143,locus_tag:Gene Name
Photosynthesis,SYNW1723,possible light-independent protochlorophyllide reductase subunit,12.59,1.22,SYNW1723,locus_tag:Gene Name
Photosynthesis,SYNW1724,light-independent protochlorophyllide reductase ChlB subunit,4.76,0.43,SYNW1724,locus_tag:Gene Name
Photosynthesis,SYNW1725,Protochlorophyllide reductase iron-sulfur ATP-binding protein,3.29,0.46,SYNW1725,locus_tag:Gene Name
Photosynthesis,SYNW2010,C-phycoerythrin class II gamma chain linker polypeptide ,8.55,1.28,SYNW2010,locus_tag:Gene Name
Photosynthesis,SYNW1989,Possible phycobilisome linker polypeptide,7.04,0.96,SYNW1989,locus_tag:Gene Name
Photosynthesis,SYNW2004,CpeR homolog phycoerythrin linker-proteins region,6.42,0.61,SYNW2004,locus_tag:Gene Name
Photosynthesis,SYNW1290,possible photosystem I reaction center subunit X (PsaK),6.07,1.11,SYNW1290,locus_tag:Gene Name
Photosynthesis,SYNW2003,CpeT homolog,4.64,0.28,SYNW2003,locus_tag:Gene Name
Photosynthesis,SYNW1331,possible high light inducible protein,4.43,0.44,SYNW1331,locus_tag:Gene Name
Photosynthesis,SYNW2013,putative bilin biosynthesis protein (CpeY),3.9,0.34,SYNW2013,locus_tag:Gene Name
Photosynthesis,SYNW2000,Phycobilisome linker polypeptide,3.53,0.52,SYNW2000,locus_tag:Gene Name
Photosynthesis,SYNW2001,possible phycobilisome linker polypeptide ,3.48,0.73,SYNW2001,locus_tag:Gene Name
Photosynthesis,SYNW2012,putative bilin biosynthesis protein cpeZ,3.44,0.4,SYNW2012,locus_tag:Gene Name
Photosynthesis,SYNW1074,phycobilisome core component – allophycocyanin beta-18 subunit,3.2,0.25,SYNW1074,locus_tag:Gene Name
Photosynthesis,SYNW1084,ferredoxin-dependent biliverdin reductase,3.14,0.19,SYNW1084,locus_tag:Gene Name
Electron transport,SYNW1529,cytochrome c oxidase subunit I,4.48,0.55,SYNW1529,locus_tag:Gene Name
Electron transport,SYNW1530,possible cytochrome c oxidase subunit III ,4.11,0.32,SYNW1530,locus_tag:Gene Name
Transcriptional regulators,SYNW1022,putative regulator,3.7,0.35,SYNW1022,locus_tag:Gene Name
Transcriptional regulators,SYNW1660,possible transcription regulator ,3.43,1.09,SYNW1660,locus_tag:Gene Name
Transcriptional regulators,SYNW1462,possible transcriptional regulator putative ,3.14,0.7,SYNW1462,locus_tag:Gene Name
Transcription,SYNW2496,Type II alternative RNA polymerase sigma factor sigma-70 family,7.84,1.96,SYNW2496,locus_tag:Gene Name
Transcription,SYNW2427,Possible type II alternative RNA polymerase sigma factor,5.29,0.62,SYNW2427,locus_tag:Gene Name
Transcription,SYNW1509,Possible type II alternative RNA polymerase sigma factor,4.1,0.93,SYNW1509,locus_tag:Gene Name
Transcription,SYNW1783,Putative principal RNA polymerase sigma factor,3.21,0.75,SYNW1783,locus_tag:Gene Name
Transcription,SYNW2338,possible ribonuclease HI,4.36,0.57,SYNW2338,locus_tag:Gene Name
Transcription,SYNW2145,ribonuclease E ,3.31,0.59,SYNW2145,locus_tag:Gene Name
Transcription,SYNW0152,putative ribonuclease III ,3.3,0.17,SYNW0152,locus_tag:Gene Name
Translation,SYNW2340,50S ribosomal protein L7/L12,11.87,1.64,SYNW2340,locus_tag:Gene Name
Translation,SYNW2341,50S ribosomal protein L10 ,11.83,1.4,SYNW2341,locus_tag:Gene Name
Translation,SYNW2087,50S ribosomal protein L36 ,5.07,1.21,SYNW2087,locus_tag:Gene Name
Translation,SYNW2426,Aspartyl-tRNA synthetase:GAD domain:tRNA synthetases class I,4.97,0.31,SYNW2426,locus_tag:Gene Name
Translation,SYNW0188,possible poly-A polymerase ,4.64,0.4,SYNW0188,locus_tag:Gene Name
Translation,SYNW1215,putative tRNA/rRNA methyltransferase (SpoU family),4.31,0.17,SYNW1215,locus_tag:Gene Name
Translation,SYNW2343,50S ribosomal protein L11 ,4.02,0.33,SYNW2343,locus_tag:Gene Name
Translation,SYNW0672,Queuosine biosynthesis protein,3.62,0.2,SYNW0672,locus_tag:Gene Name
Post-translational modification and protein folding,SYNW0032,putative cyclophilin-type peptidyl-prolylcis-transisomerase,4.46,0.33,SYNW0032,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW1342,putative endonuclease,4.58,0.43,SYNW1342,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW0001,DNA polymerase III beta subunit ,4.52,0.29,SYNW0001,locus_tag:Gene Name
"DNA replication, recombination, and repair",SYNW1016,possible DNA polymerase III epsilon subunit,4.04,0.55,SYNW1016,locus_tag:Gene Name
Cell division and other cellular processes,SYNW0341,putative chromosome segregation protein SMC ATPase superfamily,4.73,0.32,SYNW0341,locus_tag:Gene Name
Uncategorized,SYNW0887,possible oxidase ,6.85,0.94,SYNW0887,locus_tag:Gene Name
Uncategorized,SYNW2225,possible porin - likely pseudogene,6.73,0.61,,unresolved
Uncategorized,SYNW2223,possible porin,6.29,1.12,SYNW2223,locus_tag:Gene Name
Uncategorized,SYNW1273,possible -TPR Domain containing protein,6.0,0.75,SYNW1273,locus_tag:Gene Name
Uncategorized,SYNW0432,Putative short-chain dehydrogenase family protein,5.98,0.85,SYNW0432,locus_tag:Gene Name
Uncategorized,SYNW2037,possible Pex protein ,5.98,1.58,SYNW2037,locus_tag:Gene Name
Uncategorized,SYNW1712,possible carbon dioxide concentrating mechanism protein CcmK,5.14,0.81,SYNW1712,locus_tag:Gene Name
Uncategorized,SYNW0426,Possible haloacid dehalogenase-like hydrolase family protein,5.1,0.97,SYNW0426,locus_tag:Gene Name
Uncategorized,SYNW0652,similar to methionine salvage pathway enzyme E-2/E-2',4.88,0.33,SYNW0652,locus_tag:Gene Name
Uncategorized,SYNW0424,Possible HMGL-like family protein,4.81,0.91,SYNW0424,locus_tag:Gene Name
Uncategorized,SYNW2224,possible porin,4.6,1.17,SYNW2224,locus_tag:Gene Name
Uncategorized,SYNW0549,possible circadian oscillation regulator KaiB,4.51,0.48,SYNW0549,locus_tag:Gene Name
Uncategorized,SYNW0014,RNA-binding region RNP-1 (RNA recognition motif),3.53,0.49,SYNW0014,locus_tag:Gene Name
Uncategorized,SYNW0539,similar to stage II sporulation protein D ,3.48,0.17,SYNW0539,locus_tag:Gene Name
Uncategorized,SYNW2127,putative hydrogenase accessory protein,3.33,0.36,SYNW2127,locus_tag:Gene Name
Uncategorized,SYNW1965,putative neutral invertase-like protein,3.16,0.56,SYNW1965,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1376,hypothetical,9.96,1.63,SYNW1376,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0165,conserved hypothetical,8.83,1.3,SYNW0165,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0729,conserved hypothetical protein,7.94,0.36,SYNW0729,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0522,hypothetical,7.8,0.66,SYNW0522,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0380,conserved hypothetical protein,7.35,0.9,SYNW0380,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1245,hypothetical,7.34,0.41,SYNW1245,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0738,conserved hypothetical protein,7.22,0.58,SYNW0738,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1579,hypothetical,6.72,1.0,SYNW1579,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1682,conserved hypothetical protein,6.64,1.32,SYNW1682,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0441,conserved hypothetical protein,6.55,1.01,SYNW0441,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0957,conserved hypothetical protein,6.41,1.04,SYNW0957,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2478,conserved hypothetical protein,6.39,1.6,SYNW2478,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1465,hypothetical,6.37,0.68,,unresolved
Conserved hypothetical and hypothetical ORFs,SYNW1366,hypothetical,6.31,1.01,SYNW1366,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1571,hypothetical,6.28,0.78,SYNW1571,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0381,hypothetical,6.24,0.67,SYNW0381,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1814,conserved hypothetical protein,6.15,0.31,SYNW1814,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0976,hypothetical,6.15,1.03,SYNW0976,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0956,conserved hypothetical protein,6.04,0.78,SYNW0956,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1558,hypothetical,5.98,0.59,SYNW1558,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0516,hypothetical,5.97,0.46,SYNW0516,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2489,conserved hypothetical,5.95,0.79,SYNW2489,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0517,hypothetical,5.92,0.63,SYNW0517,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0442,conserved hypothetical protein,5.89,0.62,SYNW0442,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2373,conserved hypothetical protein,5.87,1.03,SYNW2373,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2339,conserved hypothetical protein,5.81,0.43,SYNW2339,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2411,hypothetical,5.8,0.71,SYNW2411,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1105,conserved hypothetical protein,5.74,0.58,SYNW1105,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0264,conserved hypothetical protein,5.72,0.54,SYNW0264,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1527,conserved hypothetical protein,5.66,0.55,SYNW1527,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1566,hypothetical,5.63,1.33,SYNW1566,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2415,hypothetical,5.6,0.34,SYNW2415,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2497,conserved hypothetical protein,5.58,0.53,SYNW2497,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0452,hypothetical,5.55,0.95,SYNW0452,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0644,conserved hypothetical protein,5.46,0.56,SYNW0644,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0955,hypothetical,5.45,0.72,SYNW0955,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1947,conserved hypothetical protein,5.44,0.88,SYNW1947,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1984,conserved hypothetical protein,5.44,0.34,SYNW1984,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0779,conserved hypothetical protein,5.43,0.38,SYNW0779,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2018,hypothetical,5.42,0.57,,unresolved
Conserved hypothetical and hypothetical ORFs,SYNW1463,hypothetical,5.4,1.28,SYNW1463,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1046,hypothetical,5.39,0.32,SYNW1046,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1139,hypothetical,5.38,1.82,SYNW1139,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0734,hypothetical,5.36,0.22,SYNW0734,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1453,conserved hypothetical protein,5.33,1.27,SYNW1453,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2014,hypothetical,5.27,0.74,SYNW2014,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1185,hypothetical,5.24,0.9,SYNW1185,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1517,conserved hypothetical protein,5.2,0.58,SYNW1517,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0599,conserved hypothetical protein,5.15,0.33,SYNW0599,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1554,conserved hypothetical protein,5.14,0.57,SYNW1554,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1722,conserved hypothetical,5.13,0.68,SYNW1722,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0876,conserved hypothetical protein,5.06,0.48,SYNW0876,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0457,hypothetical,4.96,1.42,SYNW0457,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1691,hypothetical,4.93,0.52,SYNW1691,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0954,conserved hypothetical protein,4.88,0.88,SYNW0954,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0691,conserved hypothetical protein,4.87,0.83,SYNW0691,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1880,conserved hypothetical protein,4.85,0.27,SYNW1880,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1593,conserved hypothetical protein,4.85,0.34,SYNW1593,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1319,conserved hypothetical protein,4.83,0.85,SYNW1319,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2108,conserved hypothetical protein,4.8,0.45,SYNW2108,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0091,conserved hypothetical protein,4.71,0.37,SYNW0091,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0233,conserved hypothetical protein,4.64,0.66,SYNW0233,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0429,hypothetical,4.63,0.5,SYNW0429,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0754,conserved hypothetical,4.62,0.71,SYNW0754,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1812,conserved hypothetical protein,4.59,0.16,SYNW1812,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0642,hypothetical,4.56,0.53,SYNW0642,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0524,conserved hypothetical protein,4.55,1.11,SYNW0524,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1995,hypothetical,4.55,0.39,SYNW1995,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2352,conserved hypothetical protein,4.48,0.22,SYNW2352,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1305,hypothetical,4.45,0.94,SYNW1305,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1950,hypothetical,4.42,0.75,SYNW1950,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1454,conserved hypothetical protein,4.41,1.41,SYNW1454,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1258,conserved hypothetical protein,4.4,0.31,SYNW1258,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1383,conserved hypothetical,4.33,0.48,SYNW1383,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0795,hypothetical,4.32,0.47,,unresolved
Conserved hypothetical and hypothetical ORFs,SYNW1945,hypothetical,4.31,0.44,SYNW1945,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2106,conserved hypothetical protein,4.29,0.52,SYNW2106,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0564,conserved hypothetical protein,4.28,0.43,SYNW0564,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1027,conserved hypothetical protein ,4.28,0.36,SYNW1027,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2242,conserved hypothetical protein,4.28,0.71,SYNW2242,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1555,hypothetical,4.28,0.78,SYNW1555,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0154,conserved hypothetical,4.23,0.3,SYNW0154,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0951,hypothetical,4.22,0.39,SYNW0951,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1062,hypothetical,4.21,0.4,SYNW1062,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1320,conserved hypothetical protein,4.17,0.39,SYNW1320,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1182,hypothetical,4.16,0.47,SYNW1182,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0508,hypothetical,4.16,0.58,SYNW0508,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0960,conserved hypothetical protein,4.15,0.59,SYNW0960,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1106,hypothetical,4.1,0.58,,unresolved
Conserved hypothetical and hypothetical ORFs,SYNW0439,conserved hypothetical protein,4.1,0.57,SYNW0439,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2483,conserved hypothetical protein,4.1,0.57,SYNW2483,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1439,conserved hypothetical protein ,4.05,0.25,SYNW1439,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0846,hypothetical,4.03,0.23,SYNW0846,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0375,conserved hypothetical protein,4.01,0.21,SYNW0375,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0048,conserved hypothetical protein,4.0,0.48,SYNW0048,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0343,hypothetical,3.97,0.16,SYNW0343,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0874,hypothetical,3.94,0.27,SYNW0874,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1051,conserved hypothetical protein,3.92,0.52,SYNW1051,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2321,conserved hypothetical protein,3.9,0.2,SYNW2321,locus_tag:Gene Name
