Name,gene,locus_tag,old_locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,gene_length,path_id,main,sub,path,ecpath,Category,Membrane transport,kegg_gene1,kegg_gene2
murB,murB,TX50_RS00120,PMM0021,Protein Homology,21634,22524,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131659.1,UDP-N-acetylmuramate dehydrogenase,WP_011131659.1,890,K00075,09100 Metabolism;09180 Brite Hierarchies,09101 Carbohydrate metabolism;09107 Glycan biosynthesis and metabolism;09181 Protein families: metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520];00550 Peptidoglycan biosynthesis [PATH:ko00550];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],Energy/Carbohydrate/Glycan,,murB,(murB)
murC,murC,TX50_RS00125,PMM0022,Protein Homology,22532,23953,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131660.1,UDP-N-acetylmuramate--L-alanine ligase,WP_011131660.1,1421,K01924,09100 Metabolism;09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism;09181 Protein families: metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],Energy/Carbohydrate/Glycan,,murC,(murC)
gap,gap,TX50_RS00130,PMM0023,Protein Homology,24150,25172,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862050.1,type I glyceraldehyde-3-phosphate dehydrogenase,WP_011131661.1,1022,K00150,09100 Metabolism,09101 Carbohydrate metabolism;09102 Energy metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010];00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],Photosynthesis/Carbon fixation,,gap2,
TX50_RS00135,(thiL),TX50_RS00135,PMM0024,Protein Homology,25173,26159,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817501.1,thiamine-phosphate kinase,WP_011131662.1,986,K00946,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],K00946  thiL; thiamine-monophosphate kinase [EC:2.7.4.16],Metabolism,,thiL,(thiL)
TX50_RS00140,,TX50_RS00140,PMM0025,Protein Homology,26152,27243,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862052.1,peptidylprolyl isomerase,WP_011131663.1,1091,,,,,,Other,,,
efp,efp,TX50_RS00145,PMM0026,Protein Homology,27287,27847,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_010312660.1,elongation factor P,WP_011131664.1,560,K02356,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],K02356  efp; elongation factor P,Genetic Info,,efp,(efp)
accB,accB,TX50_RS00150,PMM0027,Protein Homology,27847,28353,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817504.1,acetyl-CoA carboxylase biotin carboxyl carrier protein,WP_011131665.1,506,K02160,09100 Metabolism,09101 Carbohydrate metabolism;09102 Energy metabolism;09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061];00620 Pyruvate metabolism [PATH:ko00620];00640 Propanoate metabolism [PATH:ko00640];00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",Photosynthesis/Carbon fixation,,"accB, bccP","(accB,bccP)"
pdxA,pdxA,TX50_RS00155,PMM0028,Protein Homology,28330,29370,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819353.1,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,WP_011131666.1,1040,,,,,,Other,,,
TX50_RS00160,,TX50_RS00160,PMM0029,Protein Homology,29363,30250,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019477432.1,SDR family oxidoreductase,WP_011131667.1,887,,,,,,Other,,,
TX50_RS00165,,TX50_RS00165,PMM0030,Protein Homology,30289,30525,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819355.1,transcription factor TFIID,WP_152556136.1,236,,,,,,Other,,,
TX50_RS00170,,TX50_RS00170,PMM0031,Protein Homology,30526,30930,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375596.1,HNH endonuclease,WP_011131669.1,404,,,,,,Other,,,
TX50_RS00175,,TX50_RS00175,PMM0032,Protein Homology,31101,31520,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819357.1,hypothetical protein,WP_011131670.1,419,,,,,,Uncharacterized,,,
TX50_RS00180,,TX50_RS00180,PMM0033,Protein Homology,31579,32091,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862060.1,AbrB family transcriptional regulator,WP_011131671.1,512,K07120,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K07120  K07120; uncharacterized protein,Uncharacterized,,K07120,
TX50_RS00185,,TX50_RS00185,PMM0034,Protein Homology,32335,32532,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862061.1,hypothetical protein,WP_011131672.1,197,,,,,,Uncharacterized,,,
TX50_RS00190,,TX50_RS00190,PMM0035,Protein Homology,32543,33670,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019477427.1,alanine--glyoxylate aminotransferase family protein,WP_036930403.1,1127,,,,,,Other,,,
cbiD,cbiD,TX50_RS00195,PMM0036,Protein Homology,33758,34876,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131674.1,cobalt-precorrin-5B (C(1))-methyltransferase CbiD,WP_011131674.1,1118,K02188,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],K02188  cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195],Metabolism,,cbiD,(cbiD)
guaA,guaA,TX50_RS00200,PMM0037,Protein Homology,34925,36511,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817514.1,glutamine-hydrolyzing GMP synthase,WP_011131675.1,1586,K01951,09100 Metabolism;09180 Brite Hierarchies,09104 Nucleotide metabolism;09111 Xenobiotics biodegradation and metabolism;09181 Protein families: metabolism,00230 Purine metabolism [PATH:ko00230];00983 Drug metabolism - other enzymes [PATH:ko00983];01002 Peptidases and inhibitors [BR:ko01002],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",AA/Nucleotide,,"guaA, GMPS",(guaA)
TX50_RS00205,,TX50_RS00205,PMM0038,Protein Homology,36556,37269,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819370.1,PD-(D/E)XK nuclease family protein,WP_011131676.1,713,,,,,,Other,,,
TX50_RS00210,,TX50_RS00210,PMM0039,Protein Homology,37360,37968,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131677.1,hypothetical protein,WP_011131677.1,608,,,,,,Uncharacterized,,,
TX50_RS09375,,TX50_RS09375,PMM1800,GeneMarkS-2+,38074,38226,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_157859382.1,152,,,,,,Uncharacterized,,,
mrdA,mrdA,TX50_RS00215,PMM0040,Protein Homology,38231,40021,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375606.1,penicillin-binding protein 2,WP_011131678.1,1790,K05515,09100 Metabolism;09180 Brite Hierarchies,09107 Glycan biosynthesis and metabolism;09181 Protein families: metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4],Energy/Carbohydrate/Glycan,,mrdA,(mrdA)
TX50_RS00220,,TX50_RS00220,PMM0041,Protein Homology,40052,40576,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819374.1,NAD(P)H-dependent oxidoreductase,WP_011131679.1,524,K19784,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99988 Secondary metabolism,"K19784  chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)",Metabolism,,nan,nan
TX50_RS00225,,TX50_RS00225,PMM0042,Protein Homology,40595,42397,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806297.1,diflavin flavoprotein,WP_011131680.1,1802,,,,,,Other,,,
TX50_RS00230,,TX50_RS00230,PMM0043,Protein Homology,42415,44190,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006857.1,diflavin flavoprotein,WP_011131681.1,1775,,,,,,Other,,,
alaS,alaS,TX50_RS00235,PMM0044,Protein Homology,44305,46965,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131682.1,alanine--tRNA ligase,WP_011131682.1,2660,K01872,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09181 Protein families: metabolism;09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970];01007 Amino acid related enzymes [BR:ko01007];03016 Transfer RNA biogenesis [BR:ko03016],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",AA/Nucleotide,,"AARS, alaS",(alaS)
speA,speA,TX50_RS00240,PMM0045,Protein Homology,46950,48896,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862076.1,biosynthetic arginine decarboxylase,WP_011131683.1,1946,K01585,09100 Metabolism,09105 Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330],K01585  speA; arginine decarboxylase [EC:4.1.1.19],AA/Nucleotide,,speA,(speA)
ndk,ndk,TX50_RS00245,PMM0046,Protein Homology,49017,49475,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817525.1,nucleoside-diphosphate kinase,WP_011131684.1,458,K00940,09100 Metabolism;09130 Environmental Information Processing;09180 Brite Hierarchies,09104 Nucleotide metabolism;09111 Xenobiotics biodegradation and metabolism;09132 Signal transduction;09182 Protein families: genetic information processing,00230 Purine metabolism [PATH:ko00230];00240 Pyrimidine metabolism [PATH:ko00240];00983 Drug metabolism - other enzymes [PATH:ko00983];04016 MAPK signaling pathway - plant [PATH:ko04016];04131 Membrane trafficking [BR:ko04131],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",AA/Nucleotide,,"ndk, NME",(ndk)
thiO,thiO,TX50_RS00250,PMM0047,Protein Homology,49482,50591,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805998.1,glycine oxidase ThiO,WP_011131685.1,1109,,,,,,Other,,,
gatB,gatB,TX50_RS00255,PMM0048,Protein Homology,50672,52144,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806141.1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,WP_011131686.1,1472,K02434,09120 Genetic Information Processing;09180 Brite Hierarchies,09122 Translation;09182 Protein families: genetic information processing,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970];03029 Mitochondrial biogenesis [BR:ko03029],"K02434  gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",Genetic Info,,"gatB, PET112",(gatB)
coaE,coaE,TX50_RS00260,PMM0049,Protein Homology,52148,52762,-,Dephospho-CoA kinase (CoaE) performs the final step in coenzyme A biosynthesis.,,COORDINATES: similar to AA sequence:RefSeq:WP_011131687.1,dephospho-CoA kinase,WP_011131687.1,614,K00859,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K00859  coaE; dephospho-CoA kinase [EC:2.7.1.24],Metabolism,,coaE,(coaE)
argJ,argJ,TX50_RS00265,PMM0050,Protein Homology,52837,54075,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375616.1,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,WP_036930400.1,1238,K00620,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],K00620  argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],AA/Nucleotide,,argJ,(argJ)
TX50_RS00270,"(parA,soj)",TX50_RS00270,PMM0051,Protein Homology,54244,54915,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808349.1,AAA family ATPase,WP_011131689.1,671,K03496,09180 Brite Hierarchies,09182 Protein families: genetic information processing;09183 Protein families: signaling and cellular processes,03036 Chromosome and associated proteins [BR:ko03036];04812 Cytoskeleton proteins [BR:ko04812],"K03496  parA, soj; chromosome partitioning protein",Genetic Info,,"parA, soj","(parA,soj)"
TX50_RS00275,,TX50_RS00275,PMM0052,Protein Homology,55066,56028,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006866.1,aldo/keto reductase,WP_011131690.1,962,K05275,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00750 Vitamin B6 metabolism [PATH:ko00750],K05275  E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65],Metabolism,,E1.1.1.65,
TX50_RS00280,,TX50_RS00280,PMM0053,Protein Homology,56663,57787,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006867.1,class I SAM-dependent RNA methyltransferase,WP_011131691.1,1124,K25137,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K25137  rlmL; 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.173],Genetic Info,,nan,nan
TX50_RS00285,,TX50_RS00285,PMM0054,Protein Homology,57789,58175,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805888.1,phage holin family protein,WP_011131692.1,386,,,,,,Other,,,
TX50_RS00290,,TX50_RS00290,PMM0055,Protein Homology,58176,58637,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006869.1,hypothetical protein,WP_011131693.1,461,,,,,,Uncharacterized,,,
TX50_RS09530,,TX50_RS09530,PMM1802,Protein Homology,58826,58963,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806908.1,hypothetical protein,WP_152556135.1,137,,,,,,Uncharacterized,,,
TX50_RS00295,,TX50_RS00295,PMM0056,Protein Homology,59051,59413,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819391.1,hypothetical protein,WP_011131694.1,362,,,,,,Uncharacterized,,,
smc,smc,TX50_RS00300,PMM0057,Protein Homology,59490,63080,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006871.1,chromosome segregation protein SMC,WP_036930396.1,3590,K03529,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K03529  smc; chromosome segregation protein,Genetic Info,,smc,(smc)
TX50_RS00305,,TX50_RS00305,PMM0058,Protein Homology,63126,64148,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019480180.1,PRC-barrel domain-containing protein,WP_036930395.1,1022,,,,,,Other,,,
TX50_RS00310,,TX50_RS00310,PMM0059,Protein Homology,64160,65449,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806864.1,hypothetical protein,WP_011131697.1,1289,,,,,,Uncharacterized,,,
accC,accC,TX50_RS00320,PMM0060,Protein Homology,65841,67190,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807138.1,acetyl-CoA carboxylase biotin carboxylase subunit,WP_011131698.1,1349,K01961,09100 Metabolism,09101 Carbohydrate metabolism;09102 Energy metabolism;09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061];00620 Pyruvate metabolism [PATH:ko00620];00640 Propanoate metabolism [PATH:ko00640];00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Photosynthesis/Carbon fixation,,accC,(accC)
TX50_RS00325,(yggT),TX50_RS00325,PMM0061,Protein Homology,67208,67513,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805891.1,YggT family protein,WP_011131699.1,305,K02221,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K02221  yggT; YggT family protein,Env. Info/Cellular Process,,yggT,(yggT)
TX50_RS00330,,TX50_RS00330,PMM0062,Protein Homology,67604,67792,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819397.1,photosystem II reaction center X protein,WP_036930392.1,188,,,,,,Other,,,
TX50_RS00335,,TX50_RS00335,PMM0063,Protein Homology,67870,68802,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805271.1,Ycf66 family protein,WP_011131701.1,932,,,,,,Other,,,
TX50_RS00340,,TX50_RS00340,PMM0064,Protein Homology,68803,69036,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819399.1,high light inducible protein,WP_011131702.1,233,,,,,,high light inducible,,,
TX50_RS00345,"(bacA,bclA)",TX50_RS00345,PMM0065,Protein Homology,69046,71028,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806011.1,ABC transporter ATP-binding protein/permease,WP_011131703.1,1982,K02471,09130 Environmental Information Processing;09180 Brite Hierarchies,09131 Membrane transport;09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000];02010 ABC transporters [PATH:ko02010],"K02471  bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",Membrane transport,Membrane transport,"bacA, bclA","(bacA,bclA)"
TX50_RS00350,,TX50_RS00350,PMM0066,Protein Homology,71066,71353,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819401.1,hypothetical protein,WP_011131704.1,287,,,,,,Uncharacterized,,,
TX50_RS00355,"(hinT,hit)",TX50_RS00355,PMM0067,Protein Homology,71401,71742,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817557.1,histidine triad nucleotide-binding protein,WP_011131705.1,341,K02503,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],"K02503  HINT1, hinT, hit; histidine triad (HIT) family protein",Env. Info/Cellular Process,,"HINT1, hinT, hit","(hinT,hit)"
def,def,TX50_RS00360,PMM0068,Protein Homology,71763,72368,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131706.1,peptide deformylase,WP_011131706.1,605,K01462,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K01462  PDF, def; peptide deformylase [EC:3.5.1.88]",Metabolism,,"PDF, def",(def)
TX50_RS00365,,TX50_RS00365,PMM0069,Protein Homology,72448,74376,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862108.1,prolyl oligopeptidase family serine peptidase,WP_011131707.1,1928,,,,,,Other,,,
TX50_RS00370,,TX50_RS00370,PMM0070,Protein Homology,74373,75650,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806640.1,SufS family cysteine desulfurase,WP_011131708.1,1277,K11717,09100 Metabolism,09106 Metabolism of other amino acids,00450 Selenocompound metabolism [PATH:ko00450],K11717  sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16],AA/Nucleotide,,nan,nan
