protein_id,path_id,main,sub,path,ecpath,Category,Membrane transport
WP_011131657.1,K06949,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]",Genetic Info,
WP_011131658.1,K09747,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99998 Others,K09747  ebfC; nucleoid-associated protein EbfC,Genetic Info,
WP_011131659.1,K00075,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],Energy/Carbohydrate/Glycan,
WP_011131659.1,K00075,09100 Metabolism,09107 Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],Energy/Carbohydrate/Glycan,
WP_011131659.1,K00075,09180 Brite Hierarchies,09181 Protein families: metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],Metabolism,
WP_011131660.1,K01924,09100 Metabolism,09107 Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550],K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],Energy/Carbohydrate/Glycan,
WP_011131660.1,K01924,09180 Brite Hierarchies,09181 Protein families: metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],Metabolism,
WP_011131661.1,K00150,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],Energy/Carbohydrate/Glycan,
WP_011131661.1,K00150,09100 Metabolism,09102 Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],Photosynthesis/Carbon fixation,
WP_011131662.1,K00946,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],K00946  thiL; thiamine-monophosphate kinase [EC:2.7.4.16],Metabolism,
WP_011131664.1,K02356,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],K02356  efp; elongation factor P,Genetic Info,
WP_011131665.1,K02160,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",Energy/Carbohydrate/Glycan,
WP_011131665.1,K02160,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",Energy/Carbohydrate/Glycan,
WP_011131665.1,K02160,09100 Metabolism,09102 Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",Photosynthesis/Carbon fixation,
WP_011131665.1,K02160,09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",Metabolism,
WP_011131671.1,K07120,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K07120  K07120; uncharacterized protein,Uncharacterized,
WP_011131674.1,K02188,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],K02188  cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195],Metabolism,
WP_011131675.1,K01951,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",AA/Nucleotide,
WP_011131675.1,K01951,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",Metabolism,
WP_011131675.1,K01951,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",Metabolism,
WP_011131678.1,K05515,09100 Metabolism,09107 Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4],Energy/Carbohydrate/Glycan,
WP_011131678.1,K05515,09180 Brite Hierarchies,09181 Protein families: metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4],Metabolism,
WP_011131679.1,K19784,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99988 Secondary metabolism,"K19784  chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)",Metabolism,
WP_011131682.1,K01872,09120 Genetic Information Processing,09122 Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",Genetic Info,
WP_011131682.1,K01872,09180 Brite Hierarchies,09181 Protein families: metabolism,01007 Amino acid related enzymes [BR:ko01007],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",AA/Nucleotide,
WP_011131682.1,K01872,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",Genetic Info,
WP_011131683.1,K01585,09100 Metabolism,09105 Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330],K01585  speA; arginine decarboxylase [EC:4.1.1.19],AA/Nucleotide,
WP_011131684.1,K00940,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",AA/Nucleotide,
WP_011131684.1,K00940,09100 Metabolism,09104 Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",AA/Nucleotide,
WP_011131684.1,K00940,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",Metabolism,
WP_011131684.1,K00940,09130 Environmental Information Processing,09132 Signal transduction,04016 MAPK signaling pathway - plant [PATH:ko04016],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",Env. Info/Cellular Process,
WP_011131684.1,K00940,09180 Brite Hierarchies,09182 Protein families: genetic information processing,04131 Membrane trafficking [BR:ko04131],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",Genetic Info,
WP_011131686.1,K02434,09120 Genetic Information Processing,09122 Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K02434  gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",Genetic Info,
WP_011131686.1,K02434,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],"K02434  gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",Genetic Info,
WP_011131687.1,K00859,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K00859  coaE; dephospho-CoA kinase [EC:2.7.1.24],Metabolism,
WP_011131689.1,K03496,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],"K03496  parA, soj; chromosome partitioning protein",Genetic Info,
WP_011131689.1,K03496,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04812 Cytoskeleton proteins [BR:ko04812],"K03496  parA, soj; chromosome partitioning protein",Env. Info/Cellular Process,
WP_011131690.1,K05275,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00750 Vitamin B6 metabolism [PATH:ko00750],K05275  E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65],Metabolism,
WP_011131691.1,K25137,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K25137  rlmL; 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.173],Genetic Info,
WP_011131698.1,K01961,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Energy/Carbohydrate/Glycan,
WP_011131698.1,K01961,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Energy/Carbohydrate/Glycan,
WP_011131698.1,K01961,09100 Metabolism,09102 Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Photosynthesis/Carbon fixation,
WP_011131698.1,K01961,09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Metabolism,
WP_011131699.1,K02221,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K02221  yggT; YggT family protein,Env. Info/Cellular Process,
WP_011131703.1,K02471,09130 Environmental Information Processing,09131 Membrane transport,02010 ABC transporters [PATH:ko02010],"K02471  bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",Membrane transport,Membrane transport
WP_011131703.1,K02471,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K02471  bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",Membrane transport,Membrane transport
WP_011131705.1,K02503,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],"K02503  HINT1, hinT, hit; histidine triad (HIT) family protein",Env. Info/Cellular Process,
WP_011131706.1,K01462,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K01462  PDF, def; peptide deformylase [EC:3.5.1.88]",Metabolism,
WP_011131708.1,K11717,09100 Metabolism,09106 Metabolism of other amino acids,00450 Selenocompound metabolism [PATH:ko00450],K11717  sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16],AA/Nucleotide,
WP_011131709.1,K09015,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K09015  sufD; Fe-S cluster assembly protein SufD,Uncharacterized,
WP_011131710.1,K09013,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K09013  sufC; Fe-S cluster assembly ATP-binding protein,Membrane transport,Membrane transport
WP_011131711.1,K09014,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K09014  sufB; Fe-S cluster assembly protein SufB,Uncharacterized,
WP_011131713.1,K09942,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09942  K09942; uncharacterized protein,Uncharacterized,
WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],Energy/Carbohydrate/Glycan,
WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],Energy/Carbohydrate/Glycan,
WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ko00052],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],Energy/Carbohydrate/Glycan,
WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],Energy/Carbohydrate/Glycan,
WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],Energy/Carbohydrate/Glycan,
WP_011131714.1,K01835,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],AA/Nucleotide,
WP_011131714.1,K01835,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521],K01835  pgm; phosphoglucomutase [EC:5.4.2.2],Metabolism,
WP_011131715.1,K07478,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99976 Replication and repair,K07478  ycaJ; putative ATPase,Genetic Info,
WP_011131716.1,K06133,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],"K06133  LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]",Metabolism,
WP_011131717.1,K03564,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K03564  BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",Metabolism,
WP_011131718.1,K03525,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K03525  coaX; type III pantothenate kinase [EC:2.7.1.33],Metabolism,
WP_011131719.1,K00390,09100 Metabolism,09102 Energy metabolism,00920 Sulfur metabolism [PATH:ko00920],K00390  cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],Energy/Carbohydrate/Glycan,
WP_011131720.1,K17872,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],"K17872  NDC1, ndbB; demethylphylloquinone reductase [EC:1.6.5.12]",Metabolism,
WP_011131722.1,K03498,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03498  trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein",Membrane transport,Membrane transport
WP_011131723.1,K03499,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03499  trkA, ktrA, ktrC; trk/ktr system potassium uptake protein",Membrane transport,Membrane transport
WP_011131727.1,K06158,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],"K06158  ABCF3; ATP-binding cassette, subfamily F, member 3",Genetic Info,
WP_011131734.1,K01092,09100 Metabolism,09101 Carbohydrate metabolism,00562 Inositol phosphate metabolism [PATH:ko00562],"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",Energy/Carbohydrate/Glycan,
WP_011131734.1,K01092,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521],"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",Metabolism,
WP_011131734.1,K01092,09130 Environmental Information Processing,09132 Signal transduction,04070 Phosphatidylinositol signaling system [PATH:ko04070],"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",Env. Info/Cellular Process,
WP_011131738.1,K00278,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]",K00278  nadB; L-aspartate oxidase [EC:1.4.3.16],AA/Nucleotide,
WP_011131738.1,K00278,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00760 Nicotinate and nicotinamide metabolism [PATH:ko00760],K00278  nadB; L-aspartate oxidase [EC:1.4.3.16],Metabolism,
WP_011131740.1,K14441,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K14441  rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4],Genetic Info,
WP_011131743.1,K09919,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09919  K09919; uncharacterized protein,Uncharacterized,
WP_011131745.1,K01737,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790],"K01737  queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]",Metabolism,
WP_011131745.1,K01737,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K01737  queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]",Genetic Info,
WP_011131746.1,K00891,09100 Metabolism,09105 Amino acid metabolism,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00891  aroK, aroL; shikimate kinase [EC:2.7.1.71]",AA/Nucleotide,
WP_011131749.1,K00799,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]",AA/Nucleotide,
WP_011131749.1,K00799,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00980 Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]",Metabolism,
WP_011131749.1,K00799,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00982 Drug metabolism - cytochrome P450 [PATH:ko00982],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]",Metabolism,
WP_011131749.1,K00799,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]",Metabolism,
WP_011131749.1,K00799,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]",Membrane transport,Membrane transport
WP_011131751.1,K02834,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K02834  rbfA; ribosome-binding factor A,Genetic Info,
WP_011131754.1,K00514,09100 Metabolism,09109 Metabolism of terpenoids and polyketides,00906 Carotenoid biosynthesis [PATH:ko00906],"K00514  ZDS, crtQ; zeta-carotene desaturase [EC:1.3.5.6]",Metabolism,
WP_011131755.1,K13628,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K13628  iscA; iron-sulfur cluster assembly protein,Genetic Info,
