Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 .1,Expression med 4.1,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3,resolved_locus_tag,resolution_method
AMHOT1A3_single_00931,heme exporter protein C,43.0,8.0,43.01,8.01,0.041380929,5.369538077,,unresolved
AMHOT1A3_single_00297,chemotaxis-specific methylesterase,40.0,2.0,40.01,2.01,2.6000000000000003e-32,19.90547264,,unresolved
AMHOT1A3_single_01800,endonuclease,40.0,103.0,40.01,103.01,0.000231,0.388408892,,unresolved
AMHOT1A3_single_00236,rod shape-determining protein MreB,39.0,91.0,39.01,91.01,0.001623519,0.428634216,,unresolved
AMHOT1A3_single_01107,leucine dehydrogenase,37.0,76.0,37.01,76.01,0.005277817,0.486909617,,unresolved
AMHOT1A3_single_00560,CYTH domain protein,35.0,2.0,35.01,2.01,1.96e-13,17.41791045,,unresolved
AMHOT1A3_single_00520,hypothetical protein,34.0,0.0,34.01,0.01,0.0,3401.0,,unresolved
AMHOT1A3_single_00342,30S ribosomal protein S3,31.0,74.0,31.01,74.01,0.014747507,0.418997433,,unresolved
AMHOT1A3_single_01951,MiaB-like tRNA modifying enzyme YliG,30.0,0.0,30.01,0.01,0.0,3001.0,,unresolved
AMHOT1A3_single_02048,sodium-dependent symporter family protein,29.0,3.0,29.01,3.01,6.44e-05,9.637873754,,unresolved
AMHOT1A3_single_00260,hypothetical protein,28.0,58.0,28.01,58.01,0.017311522,0.482847785,,unresolved
AMHOT1A3_single_02553,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,26.0,60.0,26.01,60.01,0.001907669,0.433427762,,unresolved
AMHOT1A3_single_00182,ribonuclease activity regulator protein RraA,26.0,4.0,26.01,4.01,0.043595883,6.486284289,,unresolved
AMHOT1A3_single_00967,"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase",25.0,2.0,25.01,2.01,2.11e-08,12.44278607,,unresolved
AMHOT1A3_single_01756,TonB-dependent receptor,24.0,2.0,24.01,2.01,2.53e-06,11.94527363,,unresolved
AMHOT1A3_single_01833,TonB-dependent receptor,23.0,2.0,23.01,2.01,1.94e-06,11.44776119,,unresolved
AMHOT1A3_single_00332,aconitate hydratase 1,23.0,66.0,23.01,66.01,4.91e-05,0.348583548,,unresolved
AMHOT1A3_single_00582,tryptophan halogenase,22.0,0.0,22.01,0.01,0.0,2201.0,,unresolved
AMHOT1A3_single_01003,flagellar basal body P-ring biosynthesis protein FlgA,22.0,3.0,22.01,3.01,0.000472,7.312292359,,unresolved
AMHOT1A3_single_01057,flagellar biosynthesis protein,22.0,49.0,22.01,49.01,0.003421948,0.449092022,,unresolved
AMHOT1A3_single_00341,50S ribosomal protein L22,22.0,46.0,22.01,46.01,0.011239528,0.478374266,,unresolved
AMHOT1A3_single_00819,hemolysin III,21.0,3.0,21.01,3.01,0.001377476,6.980066445,,unresolved
AMHOT1A3_single_01167,Oxidoreductase,21.0,3.0,21.01,3.01,0.003731004,6.980066445,,unresolved
AMHOT1A3_single_00979,OMP85 family outer membrane protein,21.0,3.0,21.01,3.01,0.026097505,6.980066445,,unresolved
AMHOT1A3_single_02432,SAM-dependent methyltransferase,20.0,62.0,20.01,62.01,1.52e-05,0.322689889,,unresolved
AMHOT1A3_single_00828,Pas/Pac sensor containing methyl-accepting chemotaxis sensory transducer,20.0,44.0,20.01,44.01,0.003476875,0.454669393,,unresolved
AMHOT1A3_single_01854,stress response protein CspD,19.0,0.0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00738,stringent starvation protein A,19.0,57.0,19.01,57.01,0.001709612,0.333450272,,unresolved
AMHOT1A3_single_01059,flagellar biosynthesis sigma factor,19.0,46.0,19.01,46.01,0.002651005,0.41317105,,unresolved
AMHOT1A3_single_01862,"signal peptide peptidase SppA, 67K type",18.0,0.0,18.01,0.01,0.0,1801.0,,unresolved
AMHOT1A3_single_00547,lipoprotein NlpD,18.0,0.0,18.01,0.01,0.0,1801.0,,unresolved
AMHOT1A3_single_01844,hypothetical protein,18.0,1.0,18.01,1.01,7.55e-17,17.83168317,,unresolved
AMHOT1A3_single_01467,GTP-binding protein YchF,18.0,2.0,18.01,2.01,2.32e-06,8.960199005,,unresolved
AMHOT1A3_single_00539,50S ribosomal protein L27,18.0,38.0,18.01,38.01,0.013194794,0.473822678,,unresolved
AMHOT1A3_single_01103,transcriptional regulatory protein tyrR,17.0,63.0,17.01,63.01,1.61e-07,0.26995715,,unresolved
AMHOT1A3_single_00653,topoisomerase IV subunit B,17.0,49.0,17.01,49.01,0.000274,0.347072026,,unresolved
AMHOT1A3_single_02026,Signal transduction histidine kinase,16.0,44.0,16.01,44.01,0.000255,0.363780959,,unresolved
AMHOT1A3_single_00708,thiol:disulfide interchange protein DsbC,16.0,36.0,16.01,36.01,0.001922847,0.444598723,,unresolved
AMHOT1A3_single_01035,flagellin-like protein,15.0,47.0,15.01,47.01,1.33e-05,0.319293767,,unresolved
AMHOT1A3_single_01067,DNA repair ATPase,15.0,38.0,15.01,38.01,0.001134715,0.39489608,,unresolved
AMHOT1A3_single_01298,translocation protein TolB,14.0,33.0,14.01,33.01,0.000931,0.424416843,,unresolved
AMHOT1A3_single_01279,anti-sigma factor antagonist,14.0,41.0,14.01,41.01,0.001447773,0.341623994,,unresolved
AMHOT1A3_single_00156,Histone deacetylase/AcuC/AphA family protein,14.0,29.0,14.01,29.01,0.006618772,0.482936918,,unresolved
AMHOT1A3_single_01681,NA+/H+ antiporter NHAC,14.0,29.0,14.01,29.01,0.01146102,0.482936918,,unresolved
AMHOT1A3_single_00440,GTPase RsgA,13.0,51.0,13.01,51.01,5.68e-08,0.25504803,,unresolved
AMHOT1A3_single_00194,carboxy-terminal protease,12.0,50.0,12.01,50.01,6.17e-05,0.24015197,,unresolved
AMHOT1A3_single_00195,heat shock protein 70 family protein,12.0,42.0,12.01,42.01,0.000433,0.285884313,,unresolved
AMHOT1A3_single_00199,phosphatase/phosphohexomutase,12.0,30.0,12.01,30.01,0.000769,0.400199933,,unresolved
AMHOT1A3_single_00209,hypothetical protein,12.0,31.0,12.01,31.01,0.000896,0.387294421,,unresolved
AMHOT1A3_single_00227,mannose-sensitive agglutinin biogenesis protein MshG,12.0,29.0,12.01,29.01,0.00202587,0.413995174,,unresolved
AMHOT1A3_single_00243,peptidase,12.0,28.0,12.01,28.01,0.003786022,0.428775437,,unresolved
AMHOT1A3_single_00247,AraC family transcriptional regulator,12.0,25.0,12.01,25.01,0.022952179,0.480207917,,unresolved
AMHOT1A3_single_00489,membrane protein,11.0,27.0,11.01,27.01,0.003189435,0.407626805,,unresolved
AMHOT1A3_single_00496,manganese transporter,11.0,24.0,11.01,24.01,0.004108815,0.458558934,,unresolved
AMHOT1A3_single_00498,serine hydroxymethyltransferase,11.0,23.0,11.01,23.01,0.041079504,0.478487614,,unresolved
AMHOT1A3_single_00719,TPR repeats containing protein,10.0,33.0,10.01,33.01,2.79e-05,0.303241442,,unresolved
AMHOT1A3_single_00720,short-chain alcohol dehydrogenase-like protein,10.0,27.0,10.01,27.01,0.000255,0.37060348,,unresolved
AMHOT1A3_single_00721,TenA family transcriptional activator,10.0,23.0,10.01,23.01,0.0067377,0.435028249,,unresolved
AMHOT1A3_single_00722,long-chain-fatty-acid-CoA ligase,10.0,26.0,10.01,26.01,0.008151872,0.38485198,,unresolved
AMHOT1A3_single_00723,Thermostable hemolysin,10.0,24.0,10.01,24.01,0.025292907,0.416909621,,unresolved
AMHOT1A3_single_00886,hypothetical protein,9.0,21.0,9.01,21.01,0.024508452,0.428843408,,unresolved
AMHOT1A3_single_01159,diguanylate cyclase,8.0,23.0,8.01,23.01,0.000157,0.348109518,,unresolved
AMHOT1A3_single_01163,LysR family transcriptional regulator,8.0,25.0,8.01,25.01,0.000384,0.320271891,,unresolved
AMHOT1A3_single_01164,NmrA family transcriptional regulator,8.0,17.0,8.01,17.01,0.010552211,0.470899471,,unresolved
AMHOT1A3_single_01165,hypothetical protein,8.0,17.0,8.01,17.01,0.013527593,0.470899471,,unresolved
AMHOT1A3_single_01168,N-ethylmaleimide reductase,8.0,23.0,8.01,23.01,0.029154529,0.348109518,,unresolved
AMHOT1A3_single_01487,elongation factor G,7.0,23.0,7.01,23.01,2.61e-05,0.304650152,,unresolved
AMHOT1A3_single_01488,cyanate hydratase,7.0,22.0,7.01,22.01,3.24e-05,0.318491595,,unresolved
AMHOT1A3_single_01489,Serine/threonine protein kinase,7.0,24.0,7.01,24.01,0.000102,0.291961683,,unresolved
AMHOT1A3_single_01490,formate/nitrite transporter,7.0,20.0,7.01,20.01,0.000293,0.350324838,,unresolved
AMHOT1A3_single_01491,transglutaminase family protein,7.0,21.0,7.01,21.01,0.001143529,0.333650643,,unresolved
AMHOT1A3_single_01495,phosphoglucomutase,7.0,24.0,7.01,24.01,0.002907844,0.291961683,,unresolved
AMHOT1A3_single_01496,glycogen/starch/alpha-glucan phosphorylase,7.0,18.0,7.01,18.01,0.011973645,0.389228207,,unresolved
AMHOT1A3_single_01502,proton/glutamate symporter,7.0,18.0,7.01,18.01,0.018050226,0.389228207,,unresolved
AMHOT1A3_single_01738,hypothetical protein,6.0,55.0,6.01,55.01,5.03e-17,0.109252863,,unresolved
AMHOT1A3_single_01749,transmembrane prediction,6.0,42.0,6.01,42.01,3.14e-10,0.143061176,,unresolved
AMHOT1A3_single_01750,D-mannonate oxidoreductase,6.0,39.0,6.01,39.01,3.51e-08,0.154063061,,unresolved
AMHOT1A3_single_01764,translation initiation factor IF-2,6.0,28.0,6.01,28.01,1.02e-07,0.214566226,,unresolved
AMHOT1A3_single_01774,"oxidoreductase, 2OG-Fe(II) oxygenase family protein",6.0,21.0,6.01,21.01,0.001192449,0.28605426,,unresolved
AMHOT1A3_single_01778,extracellular nuclease,6.0,16.0,6.01,16.01,0.002476295,0.375390381,,unresolved
AMHOT1A3_single_01779,hypothetical protein,6.0,17.0,6.01,17.01,0.009517109,0.353321576,,unresolved
AMHOT1A3_single_01782,TonB-dependent siderophore receptor,6.0,13.0,6.01,13.01,0.019467173,0.461952344,,unresolved
AMHOT1A3_single_02172,chromosomal replication initiator,5.0,18.0,5.01,18.01,1.49e-06,0.27817879,,unresolved
AMHOT1A3_single_02195,"ISCps8, transposase",5.0,19.0,5.01,19.01,6.1e-05,0.263545502,,unresolved
AMHOT1A3_single_02198,"ISGsu4, transposase",5.0,17.0,5.01,17.01,0.000925,0.294532628,,unresolved
AMHOT1A3_single_02200,hypothetical protein,5.0,13.0,5.01,13.01,0.002717759,0.385088394,,unresolved
AMHOT1A3_single_02203,hypothetical protein,5.0,14.0,5.01,14.01,0.002806746,0.357601713,,unresolved
AMHOT1A3_single_02207,hypothetical protein,5.0,16.0,5.01,16.01,0.003341847,0.312929419,,unresolved
AMHOT1A3_single_02208,hypothetical protein,5.0,18.0,5.01,18.01,0.00613191,0.27817879,,unresolved
AMHOT1A3_single_02209,hypothetical protein,5.0,12.0,5.01,12.01,0.006673613,0.417152373,,unresolved
AMHOT1A3_single_02211,hypothetical protein,5.0,12.0,5.01,12.01,0.025033357,0.417152373,,unresolved
AMHOT1A3_single_02555,phosphoribosyl-ATP pyrophosphatase/phosphoribosyl-AMP cyclohydrolase,4.0,20.0,4.01,20.01,4.92e-11,0.2003998,,unresolved
AMHOT1A3_single_02558,transporter (formate/nitrite transporter family) protein,4.0,22.0,4.01,22.01,7.56e-07,0.182189914,,unresolved
AMHOT1A3_single_02564,heat shock protein 90,4.0,19.0,4.01,19.01,2.99e-06,0.21094161,,unresolved
AMHOT1A3_single_02568,ferredoxin--NADP(+) reductase,4.0,12.0,4.01,12.01,0.000141,0.333888426,,unresolved
AMHOT1A3_single_02577,hypothetical protein,4.0,18.0,4.01,18.01,0.001728414,0.222654081,,unresolved
AMHOT1A3_single_02906,LysR family transcriptional regulator,3.0,26.0,3.01,26.01,8.65e-20,0.115724721,,unresolved
AMHOT1A3_single_02909,multidrug transporter,3.0,16.0,3.01,16.01,1.38e-10,0.188007495,,unresolved
AMHOT1A3_single_02926,RND multidrug efflux transporter MexF,3.0,13.0,3.01,13.01,3.92e-05,0.231360492,,unresolved
AMHOT1A3_single_02965,membrane dipeptidase,3.0,12.0,3.01,12.01,0.000788,0.25062448,,unresolved
AMHOT1A3_single_03247,tRNA (uracil-5-)-methyltransferase,2.0,27.0,2.01,27.01,1.32e-39,0.074416883,,unresolved
AMHOT1A3_single_03271,acyltransferase,2.0,15.0,2.01,15.01,1.22e-19,0.133910726,,unresolved
AMHOT1A3_single_03291,Bacterial inner membrane protein,2.0,21.0,2.01,21.01,6.95e-18,0.095668729,,unresolved
AMHOT1A3_single_03296,PAS sensor diguanylate cyclase and phosphodiesterase,2.0,14.0,2.01,14.01,3.77e-10,0.143468951,,unresolved
AMHOT1A3_single_03299,amino acid permease-associated protein,2.0,13.0,2.01,13.01,3.74e-06,0.154496541,,unresolved
AMHOT1A3_single_03614,YhhN-like protein,1.0,35.0,1.01,35.01,9.1e-155,0.0288489,,unresolved
AMHOT1A3_single_03630,metallophosphoesterase,1.0,14.0,1.01,14.01,1.13e-45,0.072091363,,unresolved
AMHOT1A3_single_03962,hypothetical protein,0.0,41.0,0.01,41.01,0.0,0.000243843,,unresolved
AMHOT1A3_single_00131,hypothetical protein,31484.0,15830.0,31484.01,15830.01,0.491514416,1.988881245,,unresolved
AMHOT1A3_single_00503,hypothetical protein,27660.0,10731.0,27660.01,10731.01,0.889813464,2.577577507,,unresolved
AMHOT1A3_single_00744,phosphocarrier protein NPR,17224.0,4267.0,17224.01,4267.01,1.0,4.036552527,,unresolved
AMHOT1A3_single_01413,poly (3-hydroxybutyrate) depolymerase,11988.0,7205.0,11988.01,7205.01,0.527314221,1.663843631,,unresolved
AMHOT1A3_single_01736,hypothetical protein,9576.0,9731.0,9576.01,9731.01,0.621257062,0.98407154,,unresolved
AMHOT1A3_single_01823,hypothetical protein,7019.0,4094.0,7019.01,4094.01,0.770553871,1.714458441,,unresolved
AMHOT1A3_single_01932,hypothetical protein,5421.0,6046.0,5421.01,6046.01,0.633371897,0.896626039,,unresolved
AMHOT1A3_single_02431,hypothetical protein,4873.0,6215.0,4873.01,6215.01,0.591586589,0.784071144,,unresolved
AMHOT1A3_single_02531,hypothetical protein,3969.0,3293.0,3969.01,3293.01,0.603360089,1.205283312,,unresolved
AMHOT1A3_single_00658,hypothetical protein,3566.0,2786.0,3566.01,2786.01,0.58157528,1.27997028,,unresolved
AMHOT1A3_single_00490,hypothetical protein,3514.0,3044.0,3514.01,3044.01,0.582608699,1.154401595,,unresolved
AMHOT1A3_single_02814,quaternary ammonium permease,3396.0,874.0,3396.01,874.01,0.164415362,3.885550509,,unresolved
AMHOT1A3_single_00909,lipoprotein,3236.0,8953.0,3236.01,8953.01,0.139707135,0.361443805,,unresolved
AMHOT1A3_single_02045,hypothetical protein,3236.0,4771.0,3236.01,4771.01,1.0,0.678265189,,unresolved
AMHOT1A3_single_01562,hypothetical protein,2949.0,2278.0,2949.01,2278.01,0.726572585,1.294555336,,unresolved
AMHOT1A3_single_03816,cytochrome o ubiquinol oxidase protein,2551.0,3161.0,2551.01,3161.01,0.703942512,0.807023704,,unresolved
AMHOT1A3_single_03518,"Secreted protein, containing von Willebrand factor (vWF) type A domain",2433.0,2615.0,2433.01,2615.01,0.685552452,0.930401796,,unresolved
AMHOT1A3_single_01248,hypothetical protein,2309.0,1495.0,2309.01,1495.01,0.744571812,1.544477963,,unresolved
AMHOT1A3_single_01238,hypothetical protein,2276.0,3722.0,2276.01,3722.01,0.892925664,0.611500238,,unresolved
AMHOT1A3_single_02855,hypothetical protein,2244.0,1614.0,2244.01,1614.01,0.578124445,1.390332154,,unresolved
AMHOT1A3_single_04101,hydrogenase assembly chaperone HypC/HupF,2194.0,1512.0,2194.01,1512.01,0.75360554,1.451055218,,unresolved
AMHOT1A3_single_00215,glycerol-3-phosphate regulon repressor,2106.0,2293.0,2106.01,2293.01,0.634923911,0.918447804,,unresolved
AMHOT1A3_single_02365,DNA polymerase-like protein,2102.0,1647.0,2102.01,1647.01,0.588904229,1.276258189,,unresolved
AMHOT1A3_single_00410,sensory box/GGDEF family protein,2073.0,1036.0,2073.01,1036.01,0.786859868,2.000955589,,unresolved
AMHOT1A3_single_00813,hypothetical protein,2009.0,2570.0,2009.01,2570.01,0.6583456,0.781712912,,unresolved
AMHOT1A3_single_00885,Ribonuclease Y,1949.0,1965.0,1949.01,1965.01,0.635217323,0.991857548,,unresolved
AMHOT1A3_single_00811,phosphate permease,1888.0,2286.0,1888.01,2286.01,0.396539904,0.825897525,,unresolved
AMHOT1A3_single_03765,hypothetical protein,1793.0,1416.0,1793.01,1416.01,0.919929646,1.266241058,,unresolved
AMHOT1A3_single_00868,hypothetical protein,1716.0,1985.0,1716.01,1985.01,0.4697039,0.86448431,,unresolved
AMHOT1A3_single_02197,hypothetical protein,1714.0,2745.0,1714.01,2745.01,0.280223534,0.624409383,,unresolved
AMHOT1A3_single_00551,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",1684.0,3278.0,1684.01,3278.01,0.152438579,0.513729366,,unresolved
AMHOT1A3_single_02291,4Fe-4S ferredoxin,1680.0,1133.0,1680.01,1133.01,0.757499203,1.482784794,,unresolved
AMHOT1A3_single_03715,cysteine/glutathione ABC transporter membrane/ATP-binding protein,1672.0,1347.0,1672.01,1347.01,0.588085618,1.24127512,,unresolved
AMHOT1A3_single_01190,glutaredoxin like protein,1566.0,2569.0,1566.01,2569.01,0.994032172,0.60957723,,unresolved
AMHOT1A3_single_02857,sortase,1532.0,2703.0,1532.01,2703.01,0.205592953,0.566779257,,unresolved
AMHOT1A3_single_01458,transcription negative regulator,1468.0,795.0,1468.01,795.01,0.788605189,1.846530232,,unresolved
AMHOT1A3_single_01595,rpiR-family transcriptional regulatory protein,1354.0,1707.0,1354.01,1707.01,0.916692235,0.793205664,,unresolved
AMHOT1A3_single_01266,50S ribosomal protein L19,1293.0,1152.0,1293.01,1152.01,0.623403073,1.122394771,,unresolved
AMHOT1A3_single_01072,hypothetical protein,1260.0,1462.0,1260.01,1462.01,0.791987733,0.86183405,,unresolved
AMHOT1A3_single_00825,IMPACT family member yigz,1248.0,839.0,1248.01,839.01,0.920970228,1.487479291,,unresolved
AMHOT1A3_single_00045,deacylase,1227.0,1345.0,1227.01,1345.01,0.631065639,0.91226831,,unresolved
AMHOT1A3_single_02426,Na+/dicarboxylate symporter,1225.0,634.0,1225.01,634.01,0.772563763,1.932161953,,unresolved
AMHOT1A3_single_01612,hypothetical protein,1173.0,1152.0,1173.01,1152.01,0.527817775,1.018229008,,unresolved
AMHOT1A3_single_03305,hypothetical protein,1168.0,598.0,1168.01,598.01,0.66099702,1.953161318,,unresolved
AMHOT1A3_single_01273,acetyltransferase-like protein,1165.0,1775.0,1165.01,1775.01,0.32288785,0.656339964,,unresolved
AMHOT1A3_single_00087,hypothetical protein,1149.0,788.0,1149.01,788.01,0.68854231,1.458116014,,unresolved
AMHOT1A3_single_01955,glutathione S-transferase,1141.0,1777.0,1141.01,1777.01,0.261780835,0.64209543,,unresolved
AMHOT1A3_single_00057,DNA repair protein RadC,1094.0,642.0,1094.01,642.01,0.765385287,1.704038878,,unresolved
AMHOT1A3_single_03481,hypothetical protein,1077.0,710.0,1077.01,710.01,0.553181,1.516894128,,unresolved
AMHOT1A3_single_01205,aminopeptidase,1065.0,822.0,1065.01,822.01,0.603412891,1.295616842,,unresolved
AMHOT1A3_single_00200,hypothetical protein,1055.0,1506.0,1055.01,1506.01,1.0,0.700533197,,unresolved
AMHOT1A3_single_03019,integral membrane sensor signal transduction histidine kinase,1041.0,662.0,1041.01,662.01,0.764207585,1.572498905,,unresolved
AMHOT1A3_single_01568,membrane protein,1008.0,795.0,1008.01,795.01,0.731981345,1.267921158,,unresolved
AMHOT1A3_single_00036,DNA topoisomerase,989.0,1583.0,989.01,1583.01,0.263290391,0.624765478,,unresolved
AMHOT1A3_single_00217,hypothetical protein,982.0,1144.0,982.01,1144.01,0.474317562,0.858392846,,unresolved
AMHOT1A3_single_02884,sensory box histidine kinase/response regulator,976.0,314.0,976.01,314.01,0.1983216,3.108213114,,unresolved
AMHOT1A3_single_00526,hypothetical protein,949.0,678.0,949.01,678.01,0.737335692,1.399699119,,unresolved
AMHOT1A3_single_00910,WD-40 repeat-containing protein,943.0,308.0,943.01,308.01,0.485694079,3.061621376,,unresolved
AMHOT1A3_single_02436,halomucin,942.0,587.0,942.01,587.01,0.728373737,1.604759714,,unresolved
AMHOT1A3_single_02416,hypothetical protein,939.0,494.0,939.01,494.01,0.764207585,1.900791482,,unresolved
AMHOT1A3_single_04011,hypothetical protein,936.0,676.0,936.01,676.01,0.569352073,1.384609695,,unresolved
AMHOT1A3_single_01943,flagellar biosynthesis protein FlhF,913.0,1051.0,913.01,1051.01,0.44525631,0.868697729,,unresolved
AMHOT1A3_single_01713,Phosphotransferase enzyme family protein,909.0,1234.0,909.01,1234.01,0.335727663,0.736630984,,unresolved
AMHOT1A3_single_02152,iron-sulfur cluster-binding protein,908.0,745.0,908.01,745.01,0.722570619,1.21878901,,unresolved
AMHOT1A3_single_01194,TonB-dependent outer membrane receptor,901.0,446.0,901.01,446.01,0.776436455,2.020156499,,unresolved
AMHOT1A3_single_01815,ABC transporter ATP-binding protein,898.0,875.0,898.01,875.01,0.516599047,1.026285414,,unresolved
AMHOT1A3_single_00883,"putative transcriptional regulator, XRE family protein",887.0,1051.0,887.01,1051.01,0.412330319,0.84395962,,unresolved
AMHOT1A3_single_03776,nickel transporter ATP-binding protein NikE,881.0,478.0,881.01,478.01,0.970295721,1.843078597,,unresolved
AMHOT1A3_single_00731,response regulator,875.0,620.0,875.01,620.01,0.8679756,1.411283689,,unresolved
AMHOT1A3_single_01719,50S ribosomal protein L32,873.0,294.0,873.01,294.01,0.127861717,2.969320771,,unresolved
AMHOT1A3_single_00387,"P-aminobenzoate synthetase, component II",871.0,355.0,871.01,355.01,0.292229461,2.453480184,,unresolved
AMHOT1A3_single_03164,"two component transcriptional regulator, winged helix family protein",844.0,841.0,844.01,841.01,0.584620621,1.00356714,,unresolved
AMHOT1A3_single_00729,hypothetical protein,841.0,479.0,841.01,479.01,0.621310891,1.75572535,,unresolved
AMHOT1A3_single_01912,hypothetical protein,833.0,933.0,833.01,933.01,0.474071873,0.892820013,,unresolved
AMHOT1A3_single_01570,transthyretin,831.0,436.0,831.01,436.01,0.828529201,1.905942524,,unresolved
AMHOT1A3_single_00951,late competence protein,817.0,1019.0,817.01,1019.01,0.388951434,0.801768383,,unresolved
AMHOT1A3_single_00512,hypothetical protein,814.0,520.0,814.01,520.01,0.980237649,1.565373743,,unresolved
AMHOT1A3_single_01374,hypothetical protein,811.0,822.0,811.01,822.01,0.516472346,0.986618168,,unresolved
AMHOT1A3_single_00270,ribonuclease H-like protein,807.0,841.0,807.01,841.01,0.539844615,0.959572419,,unresolved
AMHOT1A3_single_01381,sugar nucleotide epimerase,782.0,593.0,782.01,593.01,0.951417966,1.318713007,,unresolved
