Synonym,Product,Expression 9313 t=20 + 0.01,Expression t=20 9313+1A3 + 0.01,q Value,log 2 fold change coculture/axenic,
PMT1196,hypothetical protein,176.01,240.01,0.004003509,0.447437119,
PMT0357,hypothetical protein,22.01,30.01,0.025793827,0.447284174,
PMT1541,hypothetical protein,11.01,15.01,0.048035971,0.447109508,
PMT1816,beta carotene hydroxylase,168.01,229.01,0.001910632,0.446863492,
PMT1054,ribosomal L29e family protein,47.01,64.01,0.011493127,0.445329628,
PMT1003,hypothetical protein,25.01,34.01,0.005305083,0.443453949,
PMT0824,hypothetical protein,103.01,140.01,0.004040159,0.442745475,
PMT0370,precorrin-6y methylase,14.01,19.01,0.019246256,0.440301576,
PMT0118,transcriptional regulator,79.01,107.01,0.002186373,0.437638455,
PMT2232,urease accessory protein UreE,20.01,27.01,0.033064378,0.432772473,
PMT1855,hypothetical protein,123.01,166.01,0.002423602,0.432494545,
PMT1655,LuxR family transcriptional regulator,26.01,35.01,0.041569305,0.428700662,
PMT0173a,cytochrome b6f complex subunit PetL,81.01,109.01,0.040407186,0.428288574,
PMT1509,30S ribosomal protein S20,186.01,250.01,0.002174634,0.426605618,
PMT0544,hypothetical protein,32.01,43.01,0.024166215,0.426149454,
PMT1079,membrane bound transcriptional regulator,32.01,43.01,0.006523002,0.426149454,
PMT1814,creatininase,102.01,137.01,0.002648218,0.42557061,
PMT0565,6-phosphogluconate dehydrogenase,94.01,126.01,0.002423602,0.422652097,
PMT0573,hypothetical protein,106.01,142.01,0.002965818,0.421792163,
PMT2249,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,83.01,111.01,0.004436445,0.419332593,
PMT1767,photosystem I reaction center subunit VIII,2181.01,2914.01,0.00688452,0.418009444,
PMT0707,cyclophilin type peptidyl-prolyl cis-trans isomerase,339.01,452.01,0.002423602,0.41502686,
PMT0587,ABC transporter ATP-binding protein,30.01,40.01,0.013455085,0.41491731,
PMT0742,hypothetical protein,15.01,20.01,0.008715713,0.41479719,
PMT0071,excinuclease ABC subunit B,12.01,16.01,0.010305227,0.414737157,
PMT0218,hypothetical protein,6.01,8.01,1,0.414437252,
PMT0399,hypothetical protein,6.01,8.01,1,0.414437252,
PMT0828,hypothetical protein,3.01,4.01,1,0.41383875,
PMT1198,hypothetical protein,43.01,57.01,0.031222834,0.40654287,
PMT1542,hypothetical protein,1178.01,1560.01,0.00817791,0.405203491,
PMT1382,hypothetical protein,90.01,119.01,0.003013438,0.402925606,
PMT1483,hypothetical protein,543.01,716.01,0.004901647,0.39900097,
PMT1118,hypothetical protein,22.01,29.01,0.070786265,0.39839115,
PMT0864,hypothetical protein,19.01,25.01,0.008917552,0.395746526,
PMT2270,excinuclease ABC subunit A,19.01,25.01,0.002618068,0.395746526,
PMT1334,chaperonin GroEL,885.01,1164.01,0.134112927,0.395337791,
PMT0713,DnaB-like helicase,35.01,46.01,0.008713085,0.394180395,
PMT0950,hypothetical protein,32.01,42.01,0.034129359,0.392210109,
PMT0131,hypothetical protein,16.01,21.01,0.027074084,0.392102854,
PMT1087,major facilitator transporter,16.01,21.01,0.020084325,0.392102854,
PMT1061,protein ClpC,341.01,447.01,0.143861759,0.39049306,
PMT1721,hypothetical protein,544.01,713.01,0.005531018,0.390289139,
PMT0832,UBA/TS-N domain-containing protein,432.01,566.01,0.003307369,0.389762834,
PMT0039,hypothetical protein,39.01,51.01,0.01573868,0.386936102,
PMT1464,hypothetical protein,13.01,17.01,0.103322621,0.386762179,
PMT1678,CpeT protein,13.01,17.01,0.040029055,0.386762179,
PMT2028,translation initiation factor SUI1,13.01,17.01,0.069460147,0.386762179,
PMT1244,uridylate kinase,72.01,94.01,0.00352931,0.38461696,
PMT1147,dienelactone hydrolase,23.01,30.01,0.009190212,0.383182335,
PMT0280,SAM-binding motif-containing protein,20.01,26.01,0.004098781,0.378345232,
PMT1533,hypothetical protein,314.01,407.01,0.003979209,0.374253737,
PMT0130,hypothetical protein,44.01,57.01,0.004186947,0.37338363,
PMT0379,ornithine carbamoyltransferase,68.01,88.01,0.003489472,0.371920565,
PMT1016,hypothetical protein,17.01,22.01,0.039327026,0.371776004,
PMT2136,dephospho-CoA kinase,17.01,22.01,0.036168251,0.371776004,
PMT0853,hypothetical protein,31.01,40.01,0.010260176,0.367627103,
PMT1287,iron ABC transporter,56.01,72.01,0.003743328,0.362512839,
PMT2111,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",21.01,27.01,0.006134092,0.362417478,
PMT0954,hypothetical protein,7.01,9.01,1,0.362112662,
PMT1114,hypothetical protein,7.01,9.01,1,0.362112662,
PMT2236,urease subunit alpha,95.01,122.01,0.003354077,0.360848123,
PMT1540,ABC transporter ATP-binding protein,53.01,68.01,0.003640219,0.359482351,
PMT1446,phosphoglyceromutase,115.01,147.01,0.005057319,0.354154987,
PMT2262,NADH-ubiquinone/plastoquinone (complex I,47.01,60.01,0.033739551,0.352235249,
PMT0790,hypothetical protein,29.01,37.01,0.054358649,0.35136484,
PMT0499,ferritin,120.01,153.01,0.00372619,0.350471318,
PMT1060,ribosomal-protein-alanine acetyltransferase,51.01,65.01,0.013189238,0.349881553,
PMT0109,ABC transporter,73.01,93.01,0.003919443,0.349291756,
PMT0550,hypothetical protein,37.01,47.01,0.02394351,0.345052545,
PMT2160,hypothetical protein,37.01,47.01,0.026145603,0.345052545,
PMT0993,"ABC transporter substrate-binding protein, phosphate",45.01,57.01,0.006490203,0.340969437,
PMT1900,5'-methylthioadenosine phosphorylase,53.01,67.01,0.004717299,0.338111867,
PMT1004,hypothetical protein,186.01,235.01,0.005044347,0.337341963,
PMT2219,CTP synthetase,69.01,87.01,0.005505331,0.334375785,
PMT0814,dihydrodipicolinate reductase,23.01,29.01,0.021279379,0.334289312,
PMT0464,hypothetical protein,2051.01,2579.01,0.181637854,0.330482841,
PMT0151,hypothetical protein,74.01,93.01,0.004490791,0.32966562,
PMT1408,peptide methionine sulfoxide reductase,64.01,80.01,0.008139306,0.321883017,
PMT1524,small mechanosensitive ion channel,20.01,25.01,0.022187354,0.32178389,
PMT0879,chromatin organization protein,16.01,20.01,0.083167135,0.321747859,
PMT2055,hypothetical protein,12.01,15.01,0.103294275,0.321687826,
PMT0877,hypothetical protein,8.01,10.01,1,0.321567826,
PMT1722,hypothetical protein,8.01,10.01,1,0.321567826,
PMT0614,hypothetical protein,4.01,5.01,1,0.321208367,
PMT0852,HAMP domain-containing protein,4.01,5.01,1,0.321208367,
PMT1000,glyceraldehyde 3-phosphate dehydrogenase,4.01,5.01,1,0.321208367,
PMT0546,periplasmic protein,133.01,166.01,0.005118898,0.319735433,
PMT1633,hypothetical protein,454.01,566.01,0.00549056,0.318103468,
PMT1497,aldo/keto reductase,53.01,66.01,0.004619696,0.316420057,
PMT0719,hypothetical protein,45.01,56.01,0.019667648,0.315438864,
