Synonym,Product,Expression med4 t=20+0.01,Expression med4+1a3 t=20 +0.01,q Value,log 2 fold change coculture/axenic,locus_tag
PMM1232,methyltransferase,39.01,227.01,0.026418966,-2.540839947,PMM1232
PMM1309,cell division protein FtsZ,62.01,363.01,0.013166513,-2.549436497,PMM1309
PMM1453,ATP synthase F0F1 subunit B,1006.01,5945.01,9.62e-05,-2.563034591,PMM1453
PMM0265,hypothetical protein,67.01,434.01,0.018888447,-2.695279972,PMM0265
PMM1298,dihydrolipoamide dehydrogenase,16.01,110.01,0.028958043,-2.780589459,PMM1298
PMM1615,Holliday junction DNA helicase RuvB,9.01,62.01,0.044091733,-2.782901878,PMM1615
PMM0920,"glutamine synthetase, glutamate--ammonia ligase",57.01,395.01,0.000989,-2.79260227,PMM0920
PMM1323,GPH family sugar transporter,4.01,28.01,0.015400039,-2.804267842,PMM1323
PMM0639,glucosylglycerolphosphate phosphatase,5.01,35.01,0.02718994,-2.804884553,PMM0639
PMM0281,imidazoleglycerol-phosphate dehydratase,11.01,80.01,0.037103499,-2.861365857,PMM0281
PMM0001,DNA polymerase III subunit beta,10.01,74.01,0.031085855,-2.886278242,PMM0001
PMM1380,hypothetical protein,9.01,67.01,0.034603576,-2.894777396,PMM1380
PMM0649,pentapeptide repeat-containing protein,18.01,136.01,0.018309185,-2.916842642,PMM0649
PMM1449,ferredoxin,18.01,139.01,0.0140568,-2.948318584,PMM1449
PMM0197,undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase,4.01,31.01,0.046166309,-2.951059384,PMM0197
PMM0331,aldehyde dehydrogenase,5.01,39.01,0.009832575,-2.96096149,PMM0331
PMM0195,phosphoglycerate kinase,25.01,195.01,0.003641135,-2.962971144,PMM0195
PMM0380,hypothetical protein,13.01,102.01,0.01270706,-2.971017719,PMM0380
PMM0554,carboxysome peptide A,8.01,63.01,0.008106363,-2.975706662,PMM0554
PMM0896,DnaJ2 protein,10.01,79.01,0.028347379,-2.980593287,PMM0896
PMM1467,DNA helicase,3.01,24.01,0.028857692,-2.995800011,PMM1467
PMM1545,30S ribosomal protein S8,38.01,305.01,0.014836807,-3.004405613,PMM1545
PMM0854,cell division protein FtsH4,5.01,41.01,0.023739508,-3.033093235,PMM0854
PMM1658,DNA polymerase subunits gamma and tau,12.01,100.01,0.006536744,-3.057836206,PMM1658
PMM1180,signal peptide peptidase SppA (protease IV),10.01,84.01,0.009839526,-3.069119093,PMM1180
PMM0326,cytochrome b6-f complex subunit IV,134.01,1133.01,2.28e-05,-3.079748029,PMM0326
PMM1489,ribose-5-phosphate isomerase A,18.01,153.01,0.009481864,-3.086755857,PMM1489
PMM1556,50S ribosomal protein L23,22.01,187.01,0.005067932,-3.086884367,PMM1556
PMM0821,L-asparaginase II,5.01,43.01,0.00642281,-3.101789623,PMM0821
PMM0485,hypothetical protein,8.01,69.01,0.000914,-3.106931285,PMM0485
PMM1095,hypothetical protein,6.01,52.01,0.000754,-3.113352142,PMM1095
PMM1236,hypothetical protein,15.01,131.01,0.007517061,-3.125681055,PMM1236
PMM1452,ATP synthase F0F1 subunit delta,501.01,4470.01,2.29e-07,-3.157366754,PMM1452
PMM0667,hypothetical protein,2.01,18.01,0.004564162,-3.163530775,PMM0667
PMM1428,hypothetical protein,19.01,173.01,0.002176009,-3.186024991,PMM1428
PMM1586,hypothetical protein,7.01,67.01,0.003652175,-3.256890058,PMM1586
PMM1235,hypothetical protein,4.01,40.01,2.11e-05,-3.318686487,PMM1235
PMM1299,tRNA/rRNA methyltransferase SpoU,5.01,50.01,0.000977,-3.319334097,PMM1299
PMM0590,gamma-glutamyl phosphate reductase,4.01,42.01,4.19e-05,-3.389058644,PMM0590
PMM1339,phosphoribosylaminoimidazole-succinocarboxamide synthase,13.01,138.01,0.00026,-3.407079939,PMM1339
PMM0416,hypothetical protein,11.01,117.01,0.000271,-3.409745458,PMM0416
PMM0955,peptide methionine sulfoxide reductase,2.01,22.01,0.000115,-3.452891739,PMM0955
PMM0816,high light inducible protein,3.01,33.01,0.000943,-3.455067746,PMM0816
PMM0003,phosphoribosylformylglycinamidine synthase II,2.01,24.01,0.003718464,-3.578367997,PMM0003
PMM1675,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA,7.01,88.01,7.64e-05,-3.650181108,PMM1675
PMM1149,hypothetical protein,26.01,331.01,3.53e-07,-3.669736498,PMM1149
PMM0005,DNA gyrase/topoisomerase IV subunit A,3.01,39.01,0.000315,-3.696008606,PMM0005
PMM1182,hypothetical protein,9.01,117.01,2.38e-08,-3.698960916,PMM1182
PMM0775,hypothetical protein,25.01,331.01,5.13e-07,-3.72629784,PMM0775
PMM1242,hypothetical protein,1.01,14.01,0.000281,-3.794029758,PMM1242
PMM0017,molecular chaperone DnaJ,6.01,84.01,1.51e-06,-3.805124171,PMM0017
PMM0136,3-oxoacyl-ACP synthase,2.01,30.01,5.76e-10,-3.900175912,PMM0136
PMM1073,glucose 6-phosphate dehydrogenase effector OpcA,6.01,90.01,4.66e-07,-3.904648396,PMM1073
PMM0768,glutamyl-tRNA reductase,5.01,77.01,5.7e-11,-3.942163288,PMM0768
PMM0218,GTPase ObgE,1.01,16.01,7.46e-08,-3.98654611,PMM0218
PMM1334,lipid-A-disaccharide synthase,2.01,32.01,1.71e-07,-3.99325527,PMM1334
PMM0048,aspartyl/glutamyl-tRNA amidotransferase subunit B,10.01,166.01,5.42e-10,-4.051756269,PMM0048
PMM0067,HIT (histidine triad) family protein,1.01,19.01,1.4e-05,-4.234331334,PMM0067
PMM0232,hypothetical protein,4.01,98.01,2.32e-26,-4.611254814,PMM0232
PMM0963,urease subunit alpha,1.01,25.01,3.32e-13,-4.630077859,PMM0963
PMM0747,phycocyanobilin:ferredoxin oxidoreductase,3.01,77.01,6.599999999999999e-23,-4.677210405,PMM0747
PMM0777,hypothetical protein,13.01,338.01,9.390000000000001e-35,-4.699373062,PMM0777
PMM1133,hypothetical protein,1.01,28.01,3.83e-17,-4.793514785,PMM1133
PMM0137,malonyl CoA-ACP transacylase,1.01,31.01,1e-14,-4.940306328,PMM0137
PMM1397,high light inducible protein,1.01,31.01,5.56e-35,-4.940306328,PMM1397
PMM0706,"two-component sensor histidine kinase, phosphate sensing",1.01,33.01,9.97e-17,-5.03047594,PMM0706
PMM0230,hypothetical protein,1.01,35.01,5.27e-234,-5.115339864,PMM0230
PMM1591,low molecular weight phosphotyrosine protein phosphatase,1.01,36.01,7.02e-44,-5.155970401,PMM1591
PMM0371,cyanate ABC transporter,1.01,38.01,1.22e-28,-5.233951827,PMM0371
PMM1386,permease,1.01,44.01,1.0499999999999998e-68,-5.445404174,PMM1386
PMM0388,tRNA-(MS[2]IO[6]A)-hydroxylase,1.01,50.01,1.97e-164,-5.629789407,PMM0388
PMM0002,hypothetical protein,0.01,14.01,0.0,-10.45224124,PMM0002
PMM0104,hypothetical protein,0.01,14.01,0.0,-10.45224124,PMM0104
PMM0125,ABC transporter ATP-binding protein,0.01,14.01,0.0,-10.45224124,PMM0125
PMM0234,methylpurine-DNA glycosylase,0.01,14.01,0.0,-10.45224124,PMM0234
PMM0303,tRNA nucleotidyltransferase/poly(A) polymerase,0.01,14.01,0.0,-10.45224124,PMM0303
PMM0724,phosphate ABC transporter,0.01,14.01,0.0,-10.45224124,PMM0724
PMM0818,high light inducible protein,0.01,14.01,7.090000000000001e-47,-10.45224124,PMM0818
PMM0917,pyridoxal-dependent decarboxylase family protein,0.01,14.01,0.0,-10.45224124,PMM0917
PMM1019,integrin alpha cytoplasmic region,0.01,14.01,0.0,-10.45224124,PMM1019
PMM1094,hypothetical protein,0.01,14.01,0.0,-10.45224124,PMM1094
PMM1097,recombination protein RecR,0.01,14.01,0.0,-10.45224124,PMM1097
PMM1399,high light inducible protein,0.01,14.01,0.0,-10.45224124,PMM1399
PMM1576,hypothetical protein,0.01,14.01,0.0,-10.45224124,PMM1576
PMM1613,zinc metallopeptidase,0.01,14.01,0.0,-10.45224124,PMM1613
PMM0171,S-adenosyl-methyltransferase MraW,0.01,15.01,0.0,-10.55170826,PMM0171
PMM0398,recombination protein O,0.01,15.01,0.0,-10.55170826,PMM0398
PMM0421,"ABC transporter, oligopeptides",0.01,15.01,0.0,-10.55170826,PMM0421
PMM0423,hypothetical protein,0.01,15.01,0.0,-10.55170826,PMM0423
PMM0744,hypothetical protein,0.01,15.01,0.0,-10.55170826,PMM0744
PMM0880,hypothetical protein,0.01,15.01,0.0,-10.55170826,PMM0880
PMM1165,glycyl-tRNA synthetase subunit alpha,0.01,15.01,0.0,-10.55170826,PMM1165
PMM1490,serine protease,0.01,15.01,0.0,-10.55170826,PMM1490
PMM1572,S-adenosylmethionine decarboxylase proenzyme,0.01,15.01,0.0,-10.55170826,PMM1572
PMM0103,hypothetical protein,0.01,16.01,0.0,-10.64475759,PMM0103
PMM0381,hypothetical protein,0.01,16.01,0.0,-10.64475759,PMM0381
PMM0559,hydroxyacylglutathione hydrolase,0.01,16.01,1.74e-241,-10.64475759,PMM0559
PMM0918,cytidine/deoxycytidylate deaminase,0.01,16.01,0.0,-10.64475759,PMM0918
PMM0958,hypothetical protein,0.01,16.01,0.0,-10.64475759,PMM0958
PMM1187,hypothetical protein,0.01,16.01,0.0,-10.64475759,PMM1187
PMM1237,hypothetical protein,0.01,16.01,1.25e-148,-10.64475759,PMM1237
PMM0155,hypothetical protein,0.01,17.01,0.0,-10.73216743,PMM0155
PMM0261,hypothetical protein,0.01,17.01,0.0,-10.73216743,PMM0261
PMM0981,hypothetical protein,0.01,17.01,0.0,-10.73216743,PMM0981
PMM1049,ABC transporter substrate-binding protein,0.01,17.01,0.0,-10.73216743,PMM1049
PMM1128,high light inducible protein,0.01,17.01,0.0,-10.73216743,PMM1128
PMM1254,glycosyl transferase family protein,0.01,17.01,0.0,-10.73216743,PMM1254
PMM1433,bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase,0.01,17.01,0.0,-10.73216743,PMM1433
PMM1681,hypothetical protein,0.01,17.01,0.0,-10.73216743,PMM1681
PMM0466,hypothetical protein,0.01,18.01,0.0,-10.81458247,PMM0466
PMM0809,S1 RNA-binding domain-containing protein,0.01,18.01,0.0,-10.81458247,PMM0809
PMM0938,Serine hydroxymethyltransferase,0.01,18.01,0.0,-10.81458247,PMM0938
PMM0994,GCN5-like N-acetyltransferase,0.01,18.01,0.0,-10.81458247,PMM0994
PMM1071,hypothetical protein,0.01,18.01,0.0,-10.81458247,PMM1071
PMM1105,exodeoxyribonuclease V,0.01,18.01,0.0,-10.81458247,PMM1105
PMM1108,phospholipid/glycerol acyltransferase,0.01,18.01,0.0,-10.81458247,PMM1108
PMM1223,"glycosyl transferase, group 1",0.01,18.01,1.97e-87,-10.81458247,PMM1223
PMM1346,hypothetical protein,0.01,18.01,0.0,-10.81458247,PMM1346
PMM1353,ribosomal protein L11 methyltransferase,0.01,18.01,0.0,-10.81458247,PMM1353
PMM1366,hypothetical protein,0.01,18.01,0.0,-10.81458247,PMM1366
PMM1403,HNH endonuclease:HNH nuclease,0.01,18.01,0.0,-10.81458247,PMM1403
PMM1408,hypothetical protein,0.01,18.01,0.0,-10.81458247,PMM1408
PMM1427,hypothetical protein,0.01,18.01,0.0,-10.81458247,PMM1427
PMM0033,hypothetical protein,0.01,19.01,0.0,-10.89254282,PMM0033
PMM0109,POLO box duplicated region,0.01,19.01,0.0,-10.89254282,PMM0109
PMM0187,arginyl-tRNA synthetase,0.01,19.01,0.0,-10.89254282,PMM0187
PMM0212,hypothetical protein,0.01,19.01,0.0,-10.89254282,PMM0212
PMM0270,cobalamin-5-phosphate synthase CobS,0.01,19.01,0.0,-10.89254282,PMM0270
PMM0341,hypothetical protein,0.01,19.01,0.0,-10.89254282,PMM0341
PMM0349,peptidyl-tRNA hydrolase domain protein,0.01,19.01,0.0,-10.89254282,PMM0349
PMM0361,phosphoenolpyruvate carboxykinase,0.01,19.01,2.13e-244,-10.89254282,PMM0361
PMM0441,aldo/keto reductase,0.01,19.01,0.0,-10.89254282,PMM0441
PMM0514,dihydroorotase,0.01,19.01,0.0,-10.89254282,PMM0514
PMM1379,dape gene and orf2,0.01,19.01,0.0,-10.89254282,PMM1379
PMM1526,imidazoleglycerol-phosphate dehydratase,0.01,19.01,0.0,-10.89254282,PMM1526
PMM0039,hypothetical protein,0.01,20.01,0.0,-10.96650545,PMM0039
PMM0239,hypothetical protein,0.01,20.01,0.0,-10.96650545,PMM0239
PMM0250,peptidyl-tRNA hydrolase,0.01,20.01,0.0,-10.96650545,PMM0250
PMM0704,VIC family potassium channel protein,0.01,20.01,2.96e-26,-10.96650545,PMM0704
PMM1134,phosphatidylinositol-specific phospho,0.01,20.01,0.0,-10.96650545,PMM1134
PMM1163,trehalase,0.01,20.01,0.0,-10.96650545,PMM1163
PMM1250,hypothetical protein,0.01,20.01,0.0,-10.96650545,PMM1250
PMM1333,peptide methionine sulfoxide reductase,0.01,20.01,0.0,-10.96650545,PMM1333
PMM1565,arogenate dehydrogenase,0.01,20.01,0.0,-10.96650545,PMM1565
PMM0176,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",0.01,21.01,0.0,-11.03686045,PMM0176
PMM0393,hypothetical protein,0.01,21.01,0.0,-11.03686045,PMM0393
PMM0687,hypothetical protein,0.01,21.01,0.0,-11.03686045,PMM0687
PMM0977,multidrug efflux ABC transporter,0.01,21.01,0.0,-11.03686045,PMM0977
PMM1009,nitrogen regulation protein NifR3 family protein,0.01,21.01,0.0,-11.03686045,PMM1009
PMM1563,hypothetical protein,0.01,21.01,0.0,-11.03686045,PMM1563
PMM1585,hypothetical protein,0.01,21.01,0.0,-11.03686045,PMM1585
PMM0102,Fe-S oxidoreductase,0.01,22.01,0.0,-11.10394343,PMM0102
PMM0138,1-acyl-sn-glycerol-3-phosphate acyltransferase,0.01,22.01,0.0,-11.10394343,PMM0138
PMM0498,hypothetical protein,0.01,22.01,0.0,-11.10394343,PMM0498
PMM0722,hypothetical protein,0.01,22.01,0.0,-11.10394343,PMM0722
PMM0887,class-V aminotransferase family cysteine desulfurase,0.01,22.01,0.0,-11.10394343,PMM0887
PMM0021,UDP-N-acetylenolpyruvoylglucosamine reductase,0.01,23.01,0.0,-11.16804527,PMM0021
PMM0447,hypothetical protein,0.01,23.01,0.0,-11.16804527,PMM0447
PMM0626,hypothetical protein,0.01,23.01,0.0,-11.16804527,PMM0626
PMM0664,hypothetical protein,0.01,23.01,0.0,-11.16804527,PMM0664
PMM1005,lectin subunit alpha,0.01,23.01,0.0,-11.16804527,PMM1005
PMM1376,RNA-binding protein RbpD,0.01,23.01,0.0,-11.16804527,PMM1376
PMM1252,acetyltransferase,0.01,24.01,0.0,-11.22941969,PMM1252
PMM0113,uroporphyrinogen III synthase,0.01,25.01,0.0,-11.28828934,PMM0113
PMM0184,para-aminobenzoate synthase component II,0.01,25.01,0.0,-11.28828934,PMM0184
PMM0458,hypothetical protein,0.01,25.01,0.0,-11.28828934,PMM0458
PMM0674,aminotransferase class-I,0.01,25.01,0.0,-11.28828934,PMM0674
PMM0715,chorismate binding enzyme,0.01,25.01,0.0,-11.28828934,PMM0715
PMM0763,hypothetical protein,0.01,25.01,0.0,-11.28828934,PMM0763
PMM0779,hypothetical protein,0.01,25.01,0.0,-11.28828934,PMM0779
PMM0862,SpoU family tRNA/rRNA methyltransferase,0.01,25.01,0.0,-11.28828934,PMM0862
PMM1214,phosphatase,0.01,25.01,0.0,-11.28828934,PMM1214
PMM1281,GTP-binding protein Era,0.01,25.01,0.0,-11.28828934,PMM1281
PMM1605,16S rRNA-processing protein RimM,0.01,25.01,0.0,-11.28828934,PMM1605
PMM1683,hypothetical protein,0.01,25.01,0.0,-11.28828934,PMM1683
PMM0591,dihydroneopterin aldolase,0.01,26.01,0.0,-11.34485068,PMM0591
PMM0778,cobalamin synthesis protein,0.01,26.01,0.0,-11.34485068,PMM0778
PMM0898,"ferredoxin, petF-like protein",0.01,26.01,0.0,-11.34485068,PMM0898
PMM1085,phosphatidate cytidylyltransferase,0.01,26.01,0.0,-11.34485068,PMM1085
PMM1621,rod shape-determining protein MreC,0.01,26.01,0.0,-11.34485068,PMM1621
PMM1705,shikimate 5-dehydrogenase,0.01,26.01,0.0,-11.34485068,PMM1705
PMM1050,hypothetical protein,0.01,27.01,0.0,-11.39927792,PMM1050
PMM1208,"gdpmannose 4,6-dehydratase",0.01,27.01,0.0,-11.39927792,PMM1208
PMM1690,organic radical activating protein,0.01,27.01,0.0,-11.39927792,PMM1690
PMM0126,hypothetical protein,0.01,28.01,0.0,-11.45172627,PMM0126
PMM0246,Crp/Fnr family transcriptional regulator,0.01,28.01,0.0,-11.45172627,PMM0246
PMM0280,retinal pigment epithelial membrane protein,0.01,28.01,0.0,-11.45172627,PMM0280
PMM0814,cytochrome oxidase c subunit VIb,0.01,28.01,0.0,-11.45172627,PMM0814
PMM1646,precorrin-8X methylmutase CobH,0.01,28.01,0.0,-11.45172627,PMM1646
PMM0586,hypothetical protein,0.01,29.01,0.0,-11.50233458,PMM0586
PMM0739,hypothetical protein,0.01,29.01,0.0,-11.50233458,PMM0739
PMM0881,hypothetical protein,0.01,29.01,0.0,-11.50233458,PMM0881
PMM1174,hypothetical protein,0.01,29.01,0.0,-11.50233458,PMM1174
PMM0015,hypothetical protein,0.01,30.01,0.0,-11.5512276,PMM0015
PMM0632,short-chain dehydrogenase/reductase,0.01,30.01,0.0,-11.5512276,PMM0632
PMM0249,hypothetical protein,0.01,31.01,0.0,-11.59851781,PMM0249
PMM0601,ABC transporter substrate-binding protein,0.01,31.01,0.0,-11.59851781,PMM0601
PMM0653,lactoylglutathione lyase,0.01,31.01,0.0,-11.59851781,PMM0653
PMM1356,hypothetical protein,0.01,31.01,0.0,-11.59851781,PMM1356
PMM1396,high light inducible protein,0.01,31.01,0.0,-11.59851781,PMM1396
PMM1422,hypothetical protein,0.01,31.01,0.0,-11.59851781,PMM1422
PMM1473,hypothetical protein,0.01,31.01,0.0,-11.59851781,PMM1473
PMM1595,hypothetical protein,0.01,31.01,0.0,-11.59851781,PMM1595
PMM0950,anti-anti-sigma regulatory factor RsbV,0.01,32.01,0.0,-11.64430696,PMM0950
PMM1193,tetrapyrrole methylase family protein,0.01,32.01,0.0,-11.64430696,PMM1193
PMM0998,hypothetical protein,0.01,33.01,0.0,-11.68868742,PMM0998
PMM1647,DNA polymerase III subunit delta,0.01,33.01,0.0,-11.68868742,PMM1647
PMM0064,high light inducible protein,0.01,34.01,0.0,-11.73174329,PMM0064
PMM0668,16S ribosomal RNA methyltransferase RsmE,0.01,34.01,0.0,-11.73174329,PMM0668
PMM0792,hypothetical protein,0.01,34.01,0.0,-11.73174329,PMM0792
PMM1122,adenine phosphoribosyltransferase,0.01,35.01,0.0,-11.77355135,PMM1122
PMM1627,carbohydrate kinase,0.01,35.01,0.0,-11.77355135,PMM1627
PMM0112,ribosome-binding factor A,0.01,36.01,0.0,-11.81418188,PMM0112
PMM0640,hypothetical protein,0.01,36.01,0.0,-11.81418188,PMM0640
PMM1160,cobyric acid synthase,0.01,36.01,0.0,-11.81418188,PMM1160
PMM0090,serine protease,0.01,37.01,0.0,-11.85369942,PMM0090
PMM0222,aspartoacylase,0.01,37.01,0.0,-11.85369942,PMM0222
PMM0673,phosphonate ABC transporter phosphonate-binding protein,0.01,37.01,3.73e-211,-11.85369942,PMM0673
PMM1026,hypothetical protein,0.01,38.01,0.0,-11.89216331,PMM1026
PMM0114,integral membrane protein,0.01,39.01,0.0,-11.92962828,PMM0114
PMM1364,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,0.01,39.01,0.0,-11.92962828,PMM1364
PMM1635,tRNA delta(2)-isopentenylpyrophosphate transferase,0.01,39.01,0.0,-11.92962828,PMM1635
PMM0451,hypothetical protein,0.01,40.01,0.0,-11.96614491,PMM0451
PMM0513,Signal peptidase I,0.01,40.01,0.0,-11.96614491,PMM0513
PMM0629,hypothetical protein,0.01,40.01,0.0,-11.96614491,PMM0629
PMM0686,hypothetical protein,0.01,40.01,0.0,-11.96614491,PMM0686
PMM0698,DnaJ domain-containing protein,0.01,40.01,0.0,-11.96614491,PMM0698
PMM1181,chorismate mutase,0.01,40.01,0.0,-11.96614491,PMM1181
PMM0863,cobinamide kinase,0.01,41.01,0.0,-12.00176003,PMM0863
PMM1419,ATP synthase B/B' CF(0),0.01,41.01,0.0,-12.00176003,PMM1419
PMM0308,hypothetical protein,0.01,42.01,0.0,-12.03651707,PMM0308
PMM0366,type-1 copper (blue) domain-containing protein,0.01,42.01,0.0,-12.03651707,PMM0366
PMM1335,UDP-N-acetylglucosamine acyltransferase,0.01,42.01,0.0,-12.03651707,PMM1335
PMM0562,acetyltransferase,0.01,43.01,0.0,-12.07045642,PMM0562
PMM1431,DNA-directed RNA polymerase subunit omega,0.01,43.01,0.0,-12.07045642,PMM1431
PMM1307,hypothetical protein,0.01,44.01,0.0,-12.10361566,PMM1307
PMM1381,hypothetical protein,0.01,45.01,0.0,-12.13602985,PMM1381
PMM0699,hypothetical protein,0.01,46.01,0.0,-12.16773174,PMM0699
PMM0275,orotate phosphoribosyltransferase,0.01,47.01,0.0,-12.19875197,PMM0275
PMM0983,ATP synthase protein 8,0.01,49.01,0.0,-12.25886043,PMM0983
PMM1678,hypothetical protein,0.01,50.01,0.0,-12.28800089,PMM1678
PMM0365,DsrE-like protein,0.01,51.01,0.0,-12.31656439,PMM0365
PMM0534,acetyl-CoA carboxylase carboxyltransferase subunit alpha,0.01,52.01,0.0,-12.34457332,PMM0534
PMM0697,D12 class N6 adenine-specific DNA met,0.01,53.01,0.0,-12.37204883,PMM0697
PMM0828,S4 domain-containing protein,0.01,53.01,0.0,-12.37204883,PMM0828
PMM1215,hypothetical protein,0.01,53.01,0.0,-12.37204883,PMM1215
PMM0034,hypothetical protein,0.01,54.01,0.0,-12.39901083,PMM0034
PMM1091,hypothetical protein,0.01,54.01,0.0,-12.39901083,PMM1091
PMM1106,hypothetical protein,0.01,54.01,0.0,-12.39901083,PMM1106
PMM1389,serine protease,0.01,54.01,0.0,-12.39901083,PMM1389
PMM0251,photosystem II reaction center protein H,0.01,55.01,0.0,-12.42547819,PMM0251
PMM0231,hypothetical protein,0.01,57.01,0.0,-12.47699929,PMM0231
PMM0731,COMC family protein,0.01,57.01,0.0,-12.47699929,PMM0731
PMM1167,macrophage migration inhibitory factor family protein,0.01,57.01,0.0,-12.47699929,PMM1167
PMM1393,carbon storage regulator,0.01,57.01,0.0,-12.47699929,PMM1393
PMM1154,acetolactate synthase 3 regulatory subunit,0.01,58.01,0.0,-12.5020859,PMM1154
PMM1051,homoserine dehydrogenase,0.01,60.01,0.0,-12.55098721,PMM1051
