Synonym,Product,Expression 9313+1A3 ,Expression 9313+1A3 dil,Expression 9313+1A3 +.01,Expression 9313+1A3 dil+.01,qValue 9313+1A3  vs 9313+1A3 dil,fold change 9313/9313DIL,resolved_locus_tag,resolution_method
AMHOT1A3_single_00234,agglutinin biogenesis protein MshP,65,147,65.01,147.01,0.00386907,0.442214815,,unresolved
AMHOT1A3_single_00243,peptidase,146,18,146.01,18.01,0.003426052,8.107162687,,unresolved
AMHOT1A3_single_00252,ribosomal RNA small subunit methyltransferase C,21,47,21.01,47.01,0.001910488,0.446926186,,unresolved
AMHOT1A3_single_00265,type I restriction-modification system restriction subunit,23,97,23.01,97.01,2.65e-10,0.237192042,,unresolved
AMHOT1A3_single_00266,hypothetical protein,24,1,24.01,1.01,5.4800000000000004e-27,23.77227723,,unresolved
AMHOT1A3_single_00278,hypothetical protein,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00280,hypothetical protein,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_00285,"peptidase M56, BlaR1",27,3,27.01,3.01,0.00215327,8.973421927,,unresolved
AMHOT1A3_single_00294,Pas/Pac sensor containing methyl-accepting chemotaxis sensory transducer,158,28,158.01,28.01,0.016953388,5.641199572,,unresolved
AMHOT1A3_single_00298,methyl-accepting chemotaxis protein,739,63,739.01,63.01,7.63e-10,11.7284558,,unresolved
AMHOT1A3_single_00300,two-component sensor (CheA),949,79,949.01,79.01,2.13e-11,12.0112644,,unresolved
AMHOT1A3_single_00308,cryptic haloacid dehalogenase 1,18,0,18.01,0.01,0.0,1801.0,,unresolved
AMHOT1A3_single_00315,putative hydrolase/phosphatase protein,30,70,30.01,70.01,0.001066855,0.42865305,,unresolved
AMHOT1A3_single_00321,"oxidoreductase, Gfo/Idh/MocA family protein",62,4,62.01,4.01,3.08e-08,15.4638404,,unresolved
AMHOT1A3_single_00331,hypothetical protein,39,161,39.01,161.01,1.34e-12,0.242283088,,unresolved
AMHOT1A3_single_00332,aconitate hydratase 1,490,28,490.01,28.01,4.7499999999999994e-24,17.49410925,,unresolved
AMHOT1A3_single_00337,50S ribosomal protein L4,44,164,44.01,164.01,5.57e-09,0.268337297,,unresolved
AMHOT1A3_single_00338,50S ribosomal protein L23,131,1139,131.01,1139.01,3.62e-57,0.115020939,,unresolved
AMHOT1A3_single_00339,50S ribosomal protein L2,84,947,84.01,947.01,4.48e-101,0.088710784,,unresolved
AMHOT1A3_single_00340,30S ribosomal protein S19,91,762,91.01,762.01,2.7700000000000002e-58,0.119434128,,unresolved
AMHOT1A3_single_00341,50S ribosomal protein L22,79,344,79.01,344.01,1.44e-12,0.229673556,,unresolved
AMHOT1A3_single_00342,30S ribosomal protein S3,57,240,57.01,240.01,7.29e-11,0.23753177,,unresolved
AMHOT1A3_single_00343,50S ribosomal protein L16,76,301,76.01,301.01,1.79e-09,0.252516528,,unresolved
AMHOT1A3_single_00355,formyltetrahydrofolate deformylase,14,34,14.01,34.01,0.000718,0.411937665,,unresolved
AMHOT1A3_single_00371,adenylate cyclase,57,7,57.01,7.01,0.005242536,8.132667618,,unresolved
AMHOT1A3_single_00381,sensory box protein,149,16,149.01,16.01,0.000175,9.307307933,,unresolved
AMHOT1A3_single_00387,"P-aminobenzoate synthetase, component II",15,37,15.01,37.01,0.001614585,0.405566063,,unresolved
AMHOT1A3_single_00408,TetR family transcriptional regulator,205,13,205.01,13.01,5.16e-10,15.75787855,,unresolved
AMHOT1A3_single_00409,alpha/beta hydrolase-like protein,32,3,32.01,3.01,0.000535,10.6345515,,unresolved
AMHOT1A3_single_00410,sensory box/GGDEF family protein,3,12,3.01,12.01,9.05e-06,0.25062448,,unresolved
AMHOT1A3_single_00411,N-acetylglutamate synthase,13,40,13.01,40.01,6.77e-07,0.325168708,,unresolved
AMHOT1A3_single_00415,acetylglutamate kinase,57,133,57.01,133.01,0.002642309,0.42861439,,unresolved
AMHOT1A3_single_00425,tRNA/rRNA methyltransferase,33,0,33.01,0.01,0.0,3301.0,,unresolved
AMHOT1A3_single_00426,ABC transporter membrane protein,3,12,3.01,12.01,1.31e-05,0.25062448,,unresolved
AMHOT1A3_single_00437,glycerophosphoryl diester phosphodiesterase family protein,22,97,22.01,97.01,6.57e-14,0.226883826,,unresolved
AMHOT1A3_single_00439,phosphatidylserine decarboxylase,56,350,56.01,350.01,1.03e-25,0.160023999,,unresolved
AMHOT1A3_single_00459,ATP-dependent RNA helicase RhlB,140,385,140.01,385.01,0.006758472,0.363652892,,unresolved
AMHOT1A3_single_00471,peptidase,29,1,29.01,1.01,1.58e-18,28.72277228,,unresolved
AMHOT1A3_single_00481,nuclease,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00485,mechanosensitive ion channel protein MscS,7,64,7.01,64.01,2.48e-55,0.109514138,,unresolved
AMHOT1A3_single_00491,glyoxalase/bleomycin resistance protein/dioxygenase,319,38,319.01,38.01,0.004273192,8.392791371,,unresolved
AMHOT1A3_single_00498,serine hydroxymethyltransferase,1,12,1.01,12.01,2.5600000000000003e-21,0.084096586,,unresolved
AMHOT1A3_single_00503,hypothetical protein,48,0,48.01,0.01,0.0,4801.0,,unresolved
AMHOT1A3_single_00508,hypothetical protein,35,71,35.01,71.01,0.012972875,0.493029151,,unresolved
AMHOT1A3_single_00509,hypothetical protein,63,0,63.01,0.01,0.0,6301.0,,unresolved
AMHOT1A3_single_00515,hypothetical protein,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_00517,hypothetical protein,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_00518,hypothetical protein,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_00520,hypothetical protein,66,0,66.01,0.01,0.0,6601.0,,unresolved
AMHOT1A3_single_00539,50S ribosomal protein L27,1168,205,1168.01,205.01,0.020631539,5.697331837,,unresolved
AMHOT1A3_single_00540,GTPase CgtA,276,28,276.01,28.01,2.81e-05,9.853980721,,unresolved
AMHOT1A3_single_00548,membrane protein; member of the DedA of proteins,20,0,20.01,0.01,0.0,2001.0,,unresolved
AMHOT1A3_single_00555,chemotaxis sensory protein,308,18,308.01,18.01,1.02e-16,17.10216546,,unresolved
AMHOT1A3_single_00562,DNA mismatch repair protein,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00563,RNA pyrophosphohydrolase,844,175,844.01,175.01,0.048013322,4.822638706,,unresolved
AMHOT1A3_single_00565,permease,27,0,27.01,0.01,3.78e-110,2701.0,,unresolved
AMHOT1A3_single_00567,thymidylate synthase,69,329,69.01,329.01,6.44e-14,0.209750464,,unresolved
AMHOT1A3_single_00583,sirohydrochlorin ferrochelatase,22,94,22.01,94.01,3.16e-11,0.234124029,,unresolved
AMHOT1A3_single_00591,"3',5'-cyclic-nucleotide phosphodiesterase",26,83,26.01,83.01,7.7e-07,0.313335743,,unresolved
AMHOT1A3_single_00594,type I restriction-modification system restriction subunit,37,86,37.01,86.01,0.00909264,0.430298802,,unresolved
AMHOT1A3_single_00599,hypothetical protein,14,43,14.01,43.01,2.15e-06,0.3257382,,unresolved
AMHOT1A3_single_00605,hypothetical protein,27,0,27.01,0.01,0.0,2701.0,,unresolved
AMHOT1A3_single_00610,TonB-dependent receptor,182,21,182.01,21.01,5.38e-05,8.663017611,,unresolved
AMHOT1A3_single_00612,acetyltransferase,26,4,26.01,4.01,0.015691963,6.486284289,,unresolved
AMHOT1A3_single_00613,peptidyl-prolyl cis-trans isomerase A,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00636,hydrolase,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00643,hypothetical protein,2949,129,2949.01,129.01,4.1699999999999996e-46,22.85877064,,unresolved
AMHOT1A3_single_00644,acyl-CoA dehydrogenase,182,35,182.01,35.01,0.036425363,5.198800343,,unresolved
AMHOT1A3_single_00648,class II aldolase/adducin-like protein,40,92,40.01,92.01,0.00435799,0.434844039,,unresolved
AMHOT1A3_single_00649,MutT/nudix family protein,16,78,16.01,78.01,7.76e-14,0.205230099,,unresolved
AMHOT1A3_single_00654,methyl-accepting chemotaxis protein,154,12,154.01,12.01,3.31e-07,12.82348043,,unresolved
AMHOT1A3_single_00665,undecaprenyl pyrophosphate phosphatase,18,0,18.01,0.01,0.0,1801.0,,unresolved
AMHOT1A3_single_00668,putative signal transduction protein,1354,234,1354.01,234.01,0.01322896,5.786120251,,unresolved
AMHOT1A3_single_00671,recombinase RdgC,9,31,9.01,31.01,2.19e-06,0.290551435,,unresolved
AMHOT1A3_single_00685,two-component system response regulator (hybrid family) protein,505,30,505.01,30.01,2.27e-16,16.82805731,,unresolved
AMHOT1A3_single_00686,PAS signal transduction protein,358,66,358.01,66.01,0.025059578,5.423572186,,unresolved
AMHOT1A3_single_00699,methyl-accepting chemotaxis protein,219,42,219.01,42.01,0.030573501,5.213282552,,unresolved
AMHOT1A3_single_00710,hypothetical protein,47,0,47.01,0.01,0.0,4701.0,,unresolved
AMHOT1A3_single_00717,hydroxymethylglutaryl-coenzyme A reductase,42,3,42.01,3.01,1.78e-06,13.95681063,,unresolved
AMHOT1A3_single_00718,TPR repeats containing protein,2,31,2.01,31.01,3.38e-59,0.064817801,,unresolved
AMHOT1A3_single_00743,magnesium transporter,19,48,19.01,48.01,0.000716,0.395959175,,unresolved
AMHOT1A3_single_00750,OstA-like protein,51,125,51.01,125.01,0.001112157,0.408047356,,unresolved
AMHOT1A3_single_00753,arabinose 5-phosphate isomerase,28,63,28.01,63.01,0.002849382,0.444532614,,unresolved
AMHOT1A3_single_00758,toluene tolerance family protein,611,57,611.01,57.01,1.82e-06,10.7175934,,unresolved
AMHOT1A3_single_00760,BolA-like protein,487,62,487.01,62.01,0.00686193,7.853733269,,unresolved
AMHOT1A3_single_00764,peptidase,164,14,164.01,14.01,4.97e-06,11.70663812,,unresolved
AMHOT1A3_single_00784,ABC transporter substrate-binding protein,27,1,27.01,1.01,5.0000000000000005e-22,26.74257426,,unresolved
AMHOT1A3_single_00787,Exonuclease,60,1,60.01,1.01,1.33e-118,59.41584158,,unresolved
AMHOT1A3_single_00788,hypothetical protein,780,40,780.01,40.01,5.83e-18,19.49537616,,unresolved
AMHOT1A3_single_00789,S-adenosylmethionine synthetase,65,0,65.01,0.01,0.0,6501.0,,unresolved
AMHOT1A3_single_00802,hypothetical protein,989,4,989.01,4.01,0.0,246.6359102,,unresolved
AMHOT1A3_single_00811,phosphate permease,25,63,25.01,63.01,0.001165199,0.396921124,,unresolved
AMHOT1A3_single_00815,ECF subfamily RNA polymerase sigma-24 factor,25,0,25.01,0.01,0.0,2501.0,,unresolved
AMHOT1A3_single_00820,hypothetical protein,54,0,54.01,0.01,0.0,5401.0,,unresolved
AMHOT1A3_single_00828,Pas/Pac sensor containing methyl-accepting chemotaxis sensory transducer,340,50,340.01,50.01,0.012713482,6.798840232,,unresolved
AMHOT1A3_single_00841,BadF/BadG/BcrA/BcrD type ATPase,52,2,52.01,2.01,1.35e-31,25.87562189,,unresolved
AMHOT1A3_single_00844,ABC transporter ATP-binding protein,5,27,5.01,27.01,5.78e-16,0.185486857,,unresolved
AMHOT1A3_single_00851,membrane protein,3,11,3.01,11.01,4.99e-05,0.273387829,,unresolved
AMHOT1A3_single_00854,hypothetical protein,31,0,31.01,0.01,0.0,3101.0,,unresolved
AMHOT1A3_single_00857,helix-turn-helix domain-containing protein,1716,114,1716.01,114.01,1.33e-12,15.051399,,unresolved
AMHOT1A3_single_00860,phage integrase family site specific recombinase,120,2,120.01,2.01,3.03e-192,59.70646766,,unresolved
AMHOT1A3_single_00863,"peptidase M56, BlaR1",30,1,30.01,1.01,3.59e-19,29.71287129,,unresolved
AMHOT1A3_single_00869,hypothetical protein,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_00883,"putative transcriptional regulator, XRE family protein",83,432,83.01,432.01,3.3e-22,0.19214833,,unresolved
AMHOT1A3_single_00887,Chromosome segregation ATPase,3,16,3.01,16.01,1.28e-10,0.188007495,,unresolved
AMHOT1A3_single_00888,Chromosome segregation ATPase,4,19,4.01,19.01,8.43e-09,0.21094161,,unresolved
AMHOT1A3_single_00913,General secretion pathway protein B,20,76,20.01,76.01,2.56e-09,0.263254835,,unresolved
AMHOT1A3_single_00915,isopropylmalate isomerase small subunit,31,160,31.01,160.01,2.23e-20,0.193800387,,unresolved
AMHOT1A3_single_00916,isopropylmalate isomerase large subunit,41,86,41.01,86.01,0.013206766,0.476805023,,unresolved
AMHOT1A3_single_00917,3-isopropylmalate dehydrogenase,43,191,43.01,191.01,1.54e-12,0.225171457,,unresolved
AMHOT1A3_single_00918,2-isopropylmalate synthase,88,228,88.01,228.01,0.009471088,0.385991842,,unresolved
AMHOT1A3_single_00920,enolase,71,163,71.01,163.01,0.00655165,0.435617447,,unresolved
AMHOT1A3_single_00921,CTP synthetase,75,170,75.01,170.01,0.022047537,0.441209341,,unresolved
AMHOT1A3_single_00923,CinA-like protein,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_00929,ATP binding protein of heme exporter A,31,1,31.01,1.01,1.4e-30,30.7029703,,unresolved
AMHOT1A3_single_00932,heme exporter protein CcmD,41,0,41.01,0.01,0.0,4101.0,,unresolved
AMHOT1A3_single_00934,cytochrome c biogenesis factor,19,73,19.01,73.01,2.04e-08,0.260375291,,unresolved
AMHOT1A3_single_00942,capsule polysaccharide export system inner membrane protein,5,12,5.01,12.01,0.00821641,0.417152373,,unresolved
AMHOT1A3_single_00943,KpsT protein,3,66,3.01,66.01,1.23e-178,0.045599152,,unresolved
AMHOT1A3_single_00945,capsular polysaccharide transport protein,37,117,37.01,117.01,1.42e-05,0.316297752,,unresolved
AMHOT1A3_single_00957,7-cyano-7-deazaguanine reductase,105,5,105.01,5.01,2.26e-22,20.96007984,,unresolved
AMHOT1A3_single_00959,hypothetical protein,35,0,35.01,0.01,0.0,3501.0,,unresolved
AMHOT1A3_single_00964,hypothetical protein,22,0,22.01,0.01,0.0,2201.0,,unresolved
AMHOT1A3_single_00965,23S RNA-specific pseudouridylate synthase,17,58,17.01,58.01,6.82e-08,0.293225306,,unresolved
AMHOT1A3_single_00966,flavodoxin,27,0,27.01,0.01,0.0,2701.0,,unresolved
AMHOT1A3_single_00971,30S ribosomal protein S2,380,1131,380.01,1131.01,0.001651779,0.335991724,,unresolved
AMHOT1A3_single_00972,elongation factor Ts,114,342,114.01,342.01,0.000141,0.333352826,,unresolved
AMHOT1A3_single_00975,UDP diphosphate synthase,64,175,64.01,175.01,0.000184,0.365750529,,unresolved
AMHOT1A3_single_00976,phosphatidate cytidylyltransferase,10,29,10.01,29.01,0.000135,0.34505343,,unresolved
AMHOT1A3_single_00977,1-deoxy-D-xylulose 5-phosphate reductoisomerase,9,76,9.01,76.01,1.26e-54,0.118537035,,unresolved
AMHOT1A3_single_00981,(3R)-hydroxymyristoyl-ACP dehydratase,133,277,133.01,277.01,0.013327545,0.480163171,,unresolved
AMHOT1A3_single_00983,tetraacyldisaccharide 4'-kinase,18,51,18.01,51.01,2.53e-05,0.353068026,,unresolved
AMHOT1A3_single_00990,hypothetical protein,1684,219,1684.01,219.01,0.000589,7.689192274,,unresolved
AMHOT1A3_single_00993,"transglycosylase, SLT family protein",28,0,28.01,0.01,7.830000000000001e-156,2801.0,,unresolved
AMHOT1A3_single_00994,phosphoribosylformylglycinamidine synthase,27,90,27.01,90.01,2.01e-05,0.300077769,,unresolved
AMHOT1A3_single_00996,Smr domain-containing protein,124,3,124.01,3.01,4.39e-92,41.19933555,,unresolved
AMHOT1A3_single_00999,lipoprotein,170,21,170.01,21.01,0.002442075,8.091861019,,unresolved
AMHOT1A3_single_01000,hypothetical protein,59,2,59.01,2.01,5.8299999999999995e-74,29.35820896,,unresolved
AMHOT1A3_single_01004,chemotaxis protein,692,134,692.01,134.01,0.030934054,5.163868368,,unresolved
AMHOT1A3_single_01011,flagellar basal body rod protein FlgG,249,11,249.01,11.01,1.16e-20,22.61671208,,unresolved
AMHOT1A3_single_01018,flagellin-like protein,1041,29,1041.01,29.01,3.98e-79,35.88452258,,unresolved
AMHOT1A3_single_01019,flagellin-like protein,619,71,619.01,71.01,2.33e-05,8.717222926,,unresolved
AMHOT1A3_single_01020,flagellin-like protein,881,118,881.01,118.01,0.000357,7.465553767,,unresolved
AMHOT1A3_single_01021,flagellar protein FlaG protein,1680,74,1680.01,74.01,4.4599999999999995e-34,22.6997703,,unresolved
AMHOT1A3_single_01022,flagellar hook-associated 2-like protein,608,69,608.01,69.01,9.23e-06,8.810462252,,unresolved
AMHOT1A3_single_01038,flagellar regulatory protein C,190,14,190.01,14.01,1.74e-07,13.56245539,,unresolved
AMHOT1A3_single_01045,polar flagellar hook-length control protein FliK,76,11,76.01,11.01,0.014359055,6.903723887,,unresolved
AMHOT1A3_single_01051,flagellar biosynthesis,24,0,24.01,0.01,0.0,2401.0,,unresolved
AMHOT1A3_single_01055,peptidoglycan binding domain-containing protein,9,25,9.01,25.01,0.00014,0.360255898,,unresolved
AMHOT1A3_single_01056,flagellar biosynthesis protein FlhA,55,7,55.01,7.01,0.014957694,7.847360913,,unresolved
AMHOT1A3_single_01057,flagellar biosynthesis protein,231,41,231.01,41.01,0.021866772,5.633016337,,unresolved
AMHOT1A3_single_01065,CheW protein,323,47,323.01,47.01,0.007669706,6.871091257,,unresolved
AMHOT1A3_single_01070,B12-dependent methionine synthase,17,35,17.01,35.01,0.016619349,0.485861183,,unresolved
AMHOT1A3_single_01072,hypothetical protein,49,112,49.01,112.01,0.001101735,0.437550219,,unresolved
AMHOT1A3_single_01096,peptide ABC transporter membrane protein,8,34,8.01,34.01,3.7e-09,0.235518965,,unresolved
AMHOT1A3_single_01101,phage shock protein C,503,67,503.01,67.01,0.004187091,7.506491568,,unresolved
AMHOT1A3_single_01105,maleylacetoacetate isomerase,717,52,717.01,52.01,9.74e-11,13.78600269,,unresolved
AMHOT1A3_single_01106,AsnC family transcriptional regulator,40,82,40.01,82.01,0.004895755,0.487867333,,unresolved
AMHOT1A3_single_01107,leucine dehydrogenase,73,4,73.01,4.01,1.02e-16,18.20698254,,unresolved
AMHOT1A3_single_01117,prolyl 4-hydroxylase subunit alpha,84,214,84.01,214.01,0.000627,0.39255175,,unresolved
AMHOT1A3_single_01122,TonB family protein,464,1329,464.01,1329.01,0.002829423,0.349139585,,unresolved
AMHOT1A3_single_01127,TonB-dependent receptor,10,43,10.01,43.01,9.69e-14,0.232736573,,unresolved
AMHOT1A3_single_01128,hypothetical protein,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_01147,carbon starvation protein A,3,18,3.01,18.01,2.59e-11,0.167129373,,unresolved
AMHOT1A3_single_01152,pentapeptide repeat-containing protein,9,43,9.01,43.01,7.82e-11,0.209486166,,unresolved
AMHOT1A3_single_01154,two component LuxR family transcriptional regulator,445,2421,445.01,2421.01,2.19e-12,0.183811715,,unresolved
AMHOT1A3_single_01156,Pyridoxal-phosphate dependent protein,21,0,21.01,0.01,1.7799999999999998e-170,2101.0,,unresolved
AMHOT1A3_single_01165,hypothetical protein,19,0,19.01,0.01,0.0,1901.0,,unresolved
AMHOT1A3_single_01171,lysyl-tRNA ligase,72,147,72.01,147.01,0.040959121,0.489830624,,unresolved
AMHOT1A3_single_01179,hypothetical protein,404,24,404.01,24.01,8.77e-12,16.82673886,,unresolved
AMHOT1A3_single_01181,hypothetical protein,57,0,57.01,0.01,0.0,5701.0,,unresolved
AMHOT1A3_single_01186,SpoVR family protein,779,49,779.01,49.01,5.07e-19,15.8949194,,unresolved
AMHOT1A3_single_01187,hypothetical protein,1227,99,1227.01,99.01,1.52e-12,12.39278861,,unresolved
AMHOT1A3_single_01188,PrkA family serine protein kinase,3969,142,3969.01,142.01,4.6500000000000005e-79,27.94880642,,unresolved
AMHOT1A3_single_01190,glutaredoxin like protein,128,422,128.01,422.01,1.83e-06,0.303334044,,unresolved
AMHOT1A3_single_01194,TonB-dependent outer membrane receptor,12,65,12.01,65.01,8.99e-17,0.184740809,,unresolved
AMHOT1A3_single_01197,ribonuclease T,21,2,21.01,2.01,4.83e-05,10.45273632,,unresolved
AMHOT1A3_single_01200,lactoylglutathione lyase,30,0,30.01,0.01,0.0,3001.0,,unresolved
AMHOT1A3_single_01208,electron transport complex protein RnfG,19,52,19.01,52.01,4.33e-05,0.365506633,,unresolved
AMHOT1A3_single_01209,electron transport complex protein RnfD,12,29,12.01,29.01,0.000566,0.413995174,,unresolved
AMHOT1A3_single_01219,radical activating enzyme,64,150,64.01,150.01,0.002689089,0.426704886,,unresolved
AMHOT1A3_single_01221,asparagine synthetase B,111,475,111.01,475.01,1.05e-06,0.233700343,,unresolved
AMHOT1A3_single_01224,Yip1 domain protein,23,78,23.01,78.01,7.46e-08,0.294962184,,unresolved
AMHOT1A3_single_01230,proline/sodium symporter,35,76,35.01,76.01,0.007906261,0.46059729,,unresolved
AMHOT1A3_single_01234,hypothetical protein,23,2,23.01,2.01,0.0015888,11.44776119,,unresolved
AMHOT1A3_single_01236,TPR domain-containing protein,5,17,5.01,17.01,4.9e-07,0.294532628,,unresolved
AMHOT1A3_single_01238,hypothetical protein,2,42,2.01,42.01,1.77e-90,0.047845751,,unresolved
AMHOT1A3_single_01241,3-ketoacyl-CoA thiolase,152,14,152.01,14.01,2.54e-05,10.85010707,,unresolved
AMHOT1A3_single_01247,phosphohistidine phosphatase SixA,118,258,118.01,258.01,0.007484278,0.457385373,,unresolved
AMHOT1A3_single_01248,hypothetical protein,45,0,45.01,0.01,0.0,4501.0,,unresolved
AMHOT1A3_single_01252,NHL repeat containing protein,242,8,242.01,8.01,8.670000000000001e-43,30.21348315,,unresolved
AMHOT1A3_single_01255,phosphoenolpyruvate carboxylase,30,95,30.01,95.01,7.68e-06,0.315861488,,unresolved
AMHOT1A3_single_01261,DSBA oxidoreductase,33,3,33.01,3.01,2e-06,10.96677741,,unresolved
AMHOT1A3_single_01264,16S rRNA-processing protein RimM,653,2546,653.01,2546.01,3.72e-05,0.256483674,,unresolved
AMHOT1A3_single_01265,tRNA (guanine-N(1)-)-methyltransferase,514,2883,514.01,2883.01,3.84e-11,0.178289357,,unresolved
AMHOT1A3_single_01267,membrane protein,22,0,22.01,0.01,0.0,2201.0,,unresolved
AMHOT1A3_single_01269,phospho-2-dehydro-3-deoxyheptonate aldolase,67,181,67.01,181.01,0.000419,0.370200541,,unresolved
AMHOT1A3_single_01279,anti-sigma factor antagonist,2276,114,2276.01,114.01,1.17e-24,19.96324884,,unresolved
AMHOT1A3_single_01280,response regulator,375,47,375.01,47.01,0.000162,7.977238885,,unresolved
AMHOT1A3_single_01281,Tellurite resistance protein TerB,37,0,37.01,0.01,0.0,3701.0,,unresolved
AMHOT1A3_single_01290,dATP pyrophosphohydrolase,24,58,24.01,58.01,0.000784,0.413894156,,unresolved
AMHOT1A3_single_01298,translocation protein TolB,465,81,465.01,81.01,0.012489857,5.740155536,,unresolved
AMHOT1A3_single_01299,peptidoglycan-associated lipoprotein,871,113,871.01,113.01,0.000245,7.707371029,,unresolved
AMHOT1A3_single_01305,integrase,6,19,6.01,19.01,9.78e-06,0.316149395,,unresolved
AMHOT1A3_single_01307,resolvase domain-containing protein,28,0,28.01,0.01,0.0,2801.0,,unresolved
AMHOT1A3_single_01312,2-dehydropantoate 2-reductase,31,1,31.01,1.01,1.32e-60,30.7029703,,unresolved
AMHOT1A3_single_01317,cytochrome b561,151,3,151.01,3.01,8.940000000000001e-132,50.16943522,,unresolved
AMHOT1A3_single_01319,phosphate ABC transporter substrate-binding protein,29,0,29.01,0.01,0.0,2901.0,,unresolved
AMHOT1A3_single_01321,metal dependent hydrolase,37,89,37.01,89.01,0.00033,0.415795978,,unresolved
AMHOT1A3_single_01333,PqiA family integral membrane protein,44,4,44.01,4.01,0.000784,10.97506234,,unresolved
AMHOT1A3_single_01338,glutathione synthase,27,94,27.01,94.01,5.7e-07,0.287309861,,unresolved
AMHOT1A3_single_01345,biotin biosynthesis protein BioC,25,57,25.01,57.01,0.00419255,0.438694966,,unresolved
