gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,gene_synonym,locus_tag,ec_numbers
DEH24_13800,,DEH24_13800,Protein Homology,2670,4274,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014980680.1,amidase,HBY40492.1,,DEH24_13800,
DEH24_13805,,DEH24_13805,Protein Homology,4460,5341,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013786627.1,50S ribosomal protein L11 methyltransferase,HBY40493.1,,DEH24_13805,
DEH24_13810,,DEH24_13810,Protein Homology,5547,6545,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013786628.1,tRNA dihydrouridine synthase DusB,HBY40494.1,,DEH24_13810,
DEH24_13815,,DEH24_13815,Protein Homology,6576,6869,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982332.1,DNA-binding transcriptional regulator Fis,HBY40495.1,,DEH24_13815,
purH,purH,DEH24_13820,Protein Homology,7040,8638,+,involved in de novo purine biosynthesis,,COORDINATES: similar to AA sequence:RefSeq:WP_013752573.1,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase,HBY40496.1,,DEH24_13820,"2.1.2.3,3.5.4.10"
DEH24_13825,,DEH24_13825,Protein Homology,8723,9535,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982330.1,methyltransferase,HBY40497.1,,DEH24_13825,
DEH24_13830,,DEH24_13830,Protein Homology,9553,10839,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008037165.1,phosphoribosylamine--glycine ligase,HBY40498.1,,DEH24_13830,
DEH24_13835,,DEH24_13835,GeneMarkS+,11073,11882,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40499.1,,DEH24_13835,
DEH24_13840,,DEH24_13840,Protein Homology,11933,12184,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012327433.1,superinfection immunity protein,HBY40500.1,,DEH24_13840,
DEH24_13845,,DEH24_13845,Protein Homology,12324,13418,+,,,COORDINATES: protein motif:HMM:PF00520.29,ion transporter,HBY40501.1,,DEH24_13845,
DEH24_13850,,DEH24_13850,Protein Homology,13526,14422,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014951296.1,phosphoribulokinase,HBY40502.1,,DEH24_13850,
DEH24_13855,,DEH24_13855,Protein Homology,14605,15858,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784907.1,sodium:proton antiporter,HBY40503.1,,DEH24_13855,
DEH24_12915,,DEH24_12915,Protein Homology,1,1010,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011234473.1,efflux transporter periplasmic adaptor subunit,HBY40318.1,,DEH24_12915,
DEH24_12920,,DEH24_12920,Protein Homology,1003,2588,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011234472.1,CusA/CzcA family heavy metal efflux RND transporter,HBY40319.1,,DEH24_12920,
DEH24_10290,,DEH24_10290,Protein Homology,1,782,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007988089.1,nucleoside triphosphate hydrolase,HBY39798.1,,DEH24_10290,
DEH24_10295,,DEH24_10295,Protein Homology,800,2236,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006993376.1,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,HBY39799.1,,DEH24_10295,
ubiF,ubiF,DEH24_10300,Protein Homology,2543,3712,+,catalyzes the formation of 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1%2C4-benzoquinol from 2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol%3B functions in the biosynthesis of ubiquinone or coenzyme Q,,COORDINATES: similar to AA sequence:RefSeq:WP_007638609.1,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase,HBY39800.1,yleB,DEH24_10300,
DEH24_10305,,DEH24_10305,Protein Homology,3953,5356,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007638601.1,alanine:cation symporter family protein,HBY39801.1,,DEH24_10305,
DEH24_15665,,DEH24_15665,Protein Homology,1,346,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998418.1,cryptochrome/photolyase family protein,HBY40861.1,,DEH24_15665,
DEH24_15670,,DEH24_15670,Protein Homology,346,498,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784092.1,DUF2256 domain-containing protein,HBY40862.1,,DEH24_15670,
DEH24_15675,,DEH24_15675,Protein Homology,642,1718,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006994429.1,hypothetical protein,HBY40863.1,,DEH24_15675,
DEH24_15680,,DEH24_15680,Protein Homology,1715,2458,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_020649095.1,peptidase,HBY40864.1,,DEH24_15680,
DEH24_15685,,DEH24_15685,Protein Homology,2627,4081,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014107272.1,circularly permuted type 2 ATP-grasp protein,HBY40865.1,,DEH24_15685,
DEH24_15690,,DEH24_15690,Protein Homology,4084,5004,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007615967.1,alpha-E domain-containing protein,HBY40866.1,,DEH24_15690,
DEH24_15695,,DEH24_15695,Protein Homology,5185,5838,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015275847.1,TetR family transcriptional regulator,HBY40867.1,,DEH24_15695,
DEH24_15700,,DEH24_15700,Protein Homology,5851,6834,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007912260.1,alcohol dehydrogenase,HBY40868.1,,DEH24_15700,
DEH24_15705,,DEH24_15705,Protein Homology,8387,9625,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007635552.1,integrase,HBY40869.1,,DEH24_15705,
DEH24_04735,,DEH24_04735,Protein Homology,1,1002,+,,,COORDINATES: protein motif:HMM:PF00563.18,hypothetical protein,HBY38696.1,,DEH24_04735,
DEH24_04740,,DEH24_04740,Protein Homology,1119,1751,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305793.1,hypothetical protein,HBY38697.1,,DEH24_04740,
DEH24_04745,,DEH24_04745,Protein Homology,1786,2271,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013465919.1,type 3 dihydrofolate reductase,HBY38698.1,,DEH24_04745,
obgE,obgE,DEH24_04750,Protein Homology,2302,3462,-,ObgE%3B essential GTPase%3B exhibits high exchange rate for GTP/GDP%3B associates with 50S ribosomal subunit%3B involved in regulation of chromosomal replication,,COORDINATES: similar to AA sequence:RefSeq:WP_007642973.1,GTPase ObgE,HBY38699.1,"cgtA,obg,yhbZ",DEH24_04750,
rpmA,rpmA,DEH24_04755,Protein Homology,3614,3871,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005369901.1,50S ribosomal protein L27,HBY38700.1,,DEH24_04755,
rplU,rplU,DEH24_04760,Protein Homology,3890,4201,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005618624.1,50S ribosomal protein L21,HBY38701.1,,DEH24_04760,
DEH24_14930,,DEH24_14930,Protein Homology,1,699,+,,,COORDINATES: protein motif:HMM:PF01026.19,TatD family deoxyribonuclease,HBY40716.1,,DEH24_14930,
DEH24_14935,,DEH24_14935,GeneMarkS+,675,1190,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40717.1,,DEH24_14935,
serB,serB,DEH24_14940,Protein Homology,1280,2239,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998937.1,phosphoserine phosphatase SerB,HBY40718.1,,DEH24_14940,
DEH24_14945,,DEH24_14945,Protein Homology,2326,2922,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_004580249.1,hypothetical protein,HBY40719.1,,DEH24_14945,
DEH24_14950,,DEH24_14950,Protein Homology,3135,3449,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_004580250.1,co-chaperone GroES,HBY40720.1,,DEH24_14950,
groEL,groEL,DEH24_14955,Protein Homology,3446,4033,+,60 kDa chaperone family%3B promotes refolding of misfolded polypeptides especially under stressful conditions%3B forms two stacked rings of heptamers to form a barrel-shaped 14mer%3B ends can be capped by GroES%3B misfolded proteins enter the barrel where they are refolded when GroES binds%3B many bacteria have multiple copies of the groEL gene which are active under different environmental conditions%3B the B.japonicum protein in this cluster is expressed constitutively%3B in Rhodobacter%2C Corynebacterium and Rhizobium this protein is essential for growth,,COORDINATES: similar to AA sequence:RefSeq:WP_006786400.1,molecular chaperone GroEL,HBY40721.1,,DEH24_14955,
DEH24_02980,,DEH24_02980,Protein Homology,285,1322,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_016706867.1,alpha-N-arabinofuranosidase,HBY38352.1,,DEH24_02980,
DEH24_02985,,DEH24_02985,Protein Homology,1435,2484,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_016706868.1,arabinan endo-1%2C5-alpha-L-arabinosidase,HBY38353.1,,DEH24_02985,
DEH24_02990,,DEH24_02990,Protein Homology,2784,4553,+,,,COORDINATES: protein motif:HMM:PF03600.14,SLC13 family permease,HBY38354.1,,DEH24_02990,
DEH24_02995,,DEH24_02995,Protein Homology,5319,11486,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008139138.1,pectate lyase,HBY38355.1,,DEH24_02995,
DEH24_03000,,DEH24_03000,Protein Homology,11608,12552,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014951268.1,TonB-dependent receptor,HBY38356.1,,DEH24_03000,
DEH24_09620,,DEH24_09620,Protein Homology,1,1015,-,,,COORDINATES: protein motif:HMM:TIGR00177,molybdopterin molybdenumtransferase MoeA,HBY39666.1,,DEH24_09620,
DEH24_09625,,DEH24_09625,Protein Homology,1130,2911,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784256.1,alpha-amylase,HBY39667.1,,DEH24_09625,
DEH24_09630,,DEH24_09630,Protein Homology,2915,4138,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010177754.1,glycosyl transferase,HBY39668.1,,DEH24_09630,
DEH24_09635,,DEH24_09635,Protein Homology,4147,4971,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018981591.1,HAD-IIB family hydrolase,HBY39669.1,,DEH24_09635,
DEH24_09640,,DEH24_09640,Protein Homology,4968,5855,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998534.1,kinase,HBY39670.1,,DEH24_09640,
DEH24_09645,,DEH24_09645,GeneMarkS+,5901,6122,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY39671.1,,DEH24_09645,
cmoB,cmoB,DEH24_09650,Protein Homology,6139,7116,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011576724.1,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB,HBY39672.1,,DEH24_09650,
DEH24_09655,,DEH24_09655,Protein Homology,7126,7854,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014976693.1,carboxy-S-adenosyl-L-methionine synthase CmoA,HBY39673.1,,DEH24_09655,
DEH24_09660,,DEH24_09660,Protein Homology,8024,8656,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013784250.1,DNA-binding response regulator,HBY39674.1,,DEH24_09660,
DEH24_09665,,DEH24_09665,Protein Homology,8676,9674,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_000567524.1,adenosine deaminase,HBY39675.1,,DEH24_09665,
fadE,fadE,DEH24_09670,Protein Homology,9763,11698,-,functions in fatty acid oxidation%3B converts acyl-CoA and FAD to FADH2 and delta2-enoyl-CoA,,COORDINATES: similar to AA sequence:RefSeq:WP_007986623.1,acyl-CoA dehydrogenase,HBY39676.1,,DEH24_09670,
DEH24_06060,,DEH24_06060,Protein Homology,1,101,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014950768.1,hypothetical protein,HBY38958.1,,DEH24_06060,
DEH24_06065,,DEH24_06065,Protein Homology,493,1677,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013783694.1,histidinol phosphate aminotransferase,HBY38959.1,,DEH24_06065,
DEH24_06070,,DEH24_06070,Protein Homology,1855,2713,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066104.1,hypothetical protein,HBY38960.1,,DEH24_06070,
DEH24_15120,,DEH24_15120,Protein Homology,100,1752,+,,,COORDINATES: protein motif:HMM:PF00072.22%2CHMM:PF07228.10,hypothetical protein,HBY40754.1,,DEH24_15120,
DEH24_15125,,DEH24_15125,Protein Homology,1905,2345,+,,,COORDINATES: protein motif:HMM:PF05099.11,TerB family tellurite resistance protein,HBY40755.1,,DEH24_15125,
DEH24_15130,,DEH24_15130,Protein Homology,2369,4459,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014978747.1,GGDEF domain-containing protein,HBY40756.1,,DEH24_15130,
DEH24_15135,,DEH24_15135,GeneMarkS+,4621,5052,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40757.1,,DEH24_15135,
DEH24_15140,,DEH24_15140,GeneMarkS+,5052,6299,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40758.1,,DEH24_15140,
DEH24_15145,,DEH24_15145,Protein Homology,6490,6738,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948854.1,calcium-binding protein,HBY40759.1,,DEH24_15145,
DEH24_15150,,DEH24_15150,Protein Homology,6807,8243,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014948855.1,sensor histidine kinase,HBY40760.1,,DEH24_15150,
DEH24_15155,,DEH24_15155,GeneMarkS+,8243,8821,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40761.1,,DEH24_15155,
DEH24_15160,,DEH24_15160,Protein Homology,8818,9511,+,with GlrK is part of a two-component signal transduction system regulating glmY,,COORDINATES: similar to AA sequence:RefSeq:WP_011574434.1,two-component system response regulator GlrR,HBY40762.1,,DEH24_15160,
DEH24_19830,,DEH24_19830,Protein Homology,1,797,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008306429.1,hypothetical protein,HBY41690.1,,DEH24_19830,
DEH24_19835,,DEH24_19835,Protein Homology,806,2038,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013797599.1,aminotransferase,HBY41691.1,,DEH24_19835,
DEH24_19840,,DEH24_19840,Protein Homology,2031,3263,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015066873.1,allantoate amidohydrolase,HBY41692.1,,DEH24_19840,
DEH24_11025,,DEH24_11025,Protein Homology,1,828,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014949348.1,D-alanyl-D-alanine carboxypeptidase,HBY39943.1,,DEH24_11025,
DEH24_11030,,DEH24_11030,Protein Homology,990,1922,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014109066.1,septal ring lytic transglycosylase RlpA,HBY39944.1,,DEH24_11030,
DEH24_11035,,DEH24_11035,Protein Homology,1922,3037,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014979209.1,rod shape-determining protein RodA,HBY39945.1,,DEH24_11035,
mrdA,mrdA,DEH24_11040,Protein Homology,3042,4937,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014998242.1,penicillin-binding protein 2,HBY39946.1,,DEH24_11040,
DEH24_11045,,DEH24_11045,Protein Homology,4942,5412,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014949352.1,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,HBY39947.1,,DEH24_11045,
rsfS,rsfS,DEH24_11050,Protein Homology,5442,5759,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007635192.1,ribosome silencing factor,HBY39948.1,,DEH24_11050,
DEH24_11055,,DEH24_11055,Protein Homology,5779,6423,-,,,COORDINATES: protein motif:HMM:PRK00071.1-1,nicotinate (nicotinamide) nucleotide adenylyltransferase,HBY39949.1,,DEH24_11055,
holA,holA,DEH24_11060,Protein Homology,6423,7463,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006010328.1,DNA polymerase III subunit delta,HBY39950.1,,DEH24_11060,
DEH24_11065,,DEH24_11065,Protein Homology,7478,7981,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018981607.1,hypothetical protein,HBY39951.1,,DEH24_11065,
leuS,leuS,DEH24_11070,Protein Homology,7984,10587,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006994609.1,leucine--tRNA ligase,HBY39952.1,,DEH24_11070,
DEH24_11075,,DEH24_11075,Protein Homology,10764,11243,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008844856.1,polyketide cyclase/dehydrase,HBY39953.1,,DEH24_11075,
DEH24_11080,,DEH24_11080,Protein Homology,11444,13647,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006994611.1,ATP-dependent protease,HBY39954.1,,DEH24_11080,
DEH24_13125,,DEH24_13125,Protein Homology,1,677,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013203880.1,4%2C5-DOPA dioxygenase extradiol,HBY40360.1,,DEH24_13125,
DEH24_13130,,DEH24_13130,Protein Homology,812,1513,+,,,COORDINATES: protein motif:HMM:PF03358.13,NADPH-dependent oxidoreductase,HBY40361.1,,DEH24_13130,
DEH24_13135,,DEH24_13135,Protein Homology,1549,2361,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007013628.1,taurine dioxygenase,HBY40362.1,,DEH24_13135,
DEH24_13140,,DEH24_13140,Protein Homology,2445,3227,+,,,COORDINATES: protein motif:HMM:PF02517.14,CPBP family intramembrane metalloprotease,HBY40363.1,,DEH24_13140,
DEH24_13145,,DEH24_13145,Protein Homology,3224,4306,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011468847.1,electron transporter RnfD,HBY40364.1,,DEH24_13145,
DEH24_13150,,DEH24_13150,Protein Homology,4425,6896,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018984291.1,glycoside hydrolase,HBY40365.1,,DEH24_13150,
DEH24_13155,,DEH24_13155,GeneMarkS+,7152,7517,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40366.1,,DEH24_13155,
DEH24_13160,,DEH24_13160,GeneMarkS+,7573,7999,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40367.1,,DEH24_13160,
DEH24_13380,,DEH24_13380,Protein Homology,1,529,-,,,COORDINATES: protein motif:HMM:PF11873.6,hypothetical protein,HBY40411.1,,DEH24_13380,
DEH24_13385,,DEH24_13385,GeneMarkS+,510,947,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40412.1,,DEH24_13385,
DEH24_13390,,DEH24_13390,GeneMarkS+,944,1336,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40413.1,,DEH24_13390,
DEH24_13395,,DEH24_13395,GeneMarkS+,1337,3037,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40414.1,,DEH24_13395,
DEH24_08560,,DEH24_08560,Protein Homology,1,631,-,,,COORDINATES: protein motif:HMM:PF01590.24,phosphohydrolase,HBY39455.1,,DEH24_08560,
DEH24_08565,,DEH24_08565,Protein Homology,897,3236,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013753472.1,TonB-dependent receptor,HBY39456.1,,DEH24_08565,
DEH24_08570,,DEH24_08570,Protein Homology,3626,4564,+,,,COORDINATES: protein motif:HMM:PF08269.9,hypothetical protein,HBY39457.1,,DEH24_08570,
DEH24_15085,,DEH24_15085,Protein Homology,99,962,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007638096.1,sugar phosphate isomerase/epimerase,HBY40747.1,,DEH24_15085,
DEH24_15090,,DEH24_15090,Protein Homology,977,1993,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008897568.1,LacI family transcriptional regulator,HBY40748.1,,DEH24_15090,
DEH24_15095,,DEH24_15095,Protein Homology,2364,3509,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007904849.1,oxidoreductase,HBY40749.1,,DEH24_15095,
DEH24_15100,,DEH24_15100,Protein Homology,3570,3849,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006992848.1,AP endonuclease,HBY40750.1,,DEH24_15100,
DEH24_19060,,DEH24_19060,Protein Homology,1,747,-,,,COORDINATES: protein motif:HMM:PF13480.5,PEP-CTERM system-associated%2C FemAB-related protein,HBY41538.1,,DEH24_19060,
DEH24_19065,,DEH24_19065,Protein Homology,744,1763,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_016957047.1,WalW protein,HBY41539.1,,DEH24_19065,
DEH24_19070,,DEH24_19070,Protein Homology,1767,2885,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013754396.1,glycosyltransferase,HBY41540.1,,DEH24_19070,
DEH24_19075,,DEH24_19075,Protein Homology,2875,3846,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977075.1,glycosyl transferase family A,HBY41541.1,,DEH24_19075,
DEH24_19080,,DEH24_19080,GeneMarkS+,3843,6419,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY41542.1,,DEH24_19080,
DEH24_01780,,DEH24_01780,Protein Homology,1,1006,-,,,COORDINATES: protein motif:HMM:PF09839.7,hypothetical protein,HBY38113.1,,DEH24_01780,
DEH24_01785,,DEH24_01785,GeneMarkS+,1107,1391,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY38114.1,,DEH24_01785,
DEH24_01790,,DEH24_01790,Protein Homology,1433,1875,+,catalyzes the formation of 1-(5-phosphoribosyl)-5-aminoimidazole from 2-(formamido)-N1-(5-phosphoribosyl)acetamidine and ATP in purine biosynthesis,,COORDINATES: similar to AA sequence:RefSeq:WP_011575276.1,phosphoribosylformylglycinamidine cyclo-ligase,HBY38115.1,,DEH24_01790,6.3.3.1
DEH24_01795,,DEH24_01795,Protein Homology,2177,2343,+,catalyzes the formation of 1-(5-phosphoribosyl)-5-aminoimidazole from 2-(formamido)-N1-(5-phosphoribosyl)acetamidine and ATP in purine biosynthesis,,COORDINATES: similar to AA sequence:RefSeq:WP_011575276.1,phosphoribosylformylglycinamidine cyclo-ligase,HBY38116.1,,DEH24_01795,6.3.3.1
DEH24_01800,,DEH24_01800,Protein Homology,2650,2841,+,catalyzes the formation of 1-(5-phosphoribosyl)-5-aminoimidazole from 2-(formamido)-N1-(5-phosphoribosyl)acetamidine and ATP in purine biosynthesis,,COORDINATES: similar to AA sequence:RefSeq:WP_005506799.1,phosphoribosylformylglycinamidine cyclo-ligase,HBY38117.1,,DEH24_01800,6.3.3.1
DEH24_15105,,DEH24_15105,Protein Homology,1,427,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015067460.1,amidohydrolase,HBY40751.1,,DEH24_15105,
DEH24_15110,,DEH24_15110,Protein Homology,438,1502,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008846762.1,serine/threonine dehydratase,HBY40752.1,,DEH24_15110,
DEH24_15115,,DEH24_15115,Protein Homology,1687,3737,+,,,COORDINATES: protein motif:HMM:TIGR00254,bifunctional diguanylate cyclase/phosphodiesterase,HBY40753.1,,DEH24_15115,
DEH24_15270,,DEH24_15270,GeneMarkS+,1,840,-,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40784.1,,DEH24_15270,
DEH24_15275,,DEH24_15275,Protein Homology,1151,5041,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007637748.1,phosphoribosylformylglycinamidine synthase,HBY40785.1,,DEH24_15275,
smrA,smrA,DEH24_15280,Protein Homology,5404,5982,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018983466.1,DNA endonuclease SmrA,HBY40786.1,,DEH24_15280,
DEH24_15290,,DEH24_15290,GeneMarkS+,6546,6971,+,,,COORDINATES: ab initio prediction:GeneMarkS+,hypothetical protein,HBY40787.1,,DEH24_15290,
DEH24_15295,,DEH24_15295,Protein Homology,6977,8218,-,,,COORDINATES: protein motif:HMM:PF16538.3%2CHMM:PF16548.3,hypothetical protein,HBY40788.1,,DEH24_15295,
DEH24_15300,,DEH24_15300,Protein Homology,8464,8865,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014109395.1,flagellar biosynthesis protein FlgP,HBY40789.1,,DEH24_15300,
DEH24_15305,,DEH24_15305,Protein Homology,9015,10829,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_010586475.1,DUF885 domain-containing protein,HBY40790.1,,DEH24_15305,
