MIT9313,,,,,,,,,,,,
Up regulated genes ,,,,,,,,,,,,
log2 fold change (+ means upregulated in chitosan),gene,ncbi_cds_locus_tag,ncbi_gene_locus_tag,ncbi_gene_old_locus_tag,geneFunction,NCBI alignment,NCBI query cover,NCBI percent identity,,,,
6.650980658,MIT9313_01399,AKG35_RS06425,AKG35_RS06425,"PMT1200,PMT_1200,RG24_RS06445",putative carboxysome peptide A,NA,NA,NA,,,,
1.693356676,MIT9313_01404,AKG35_RS06455,AKG35_RS06455,"PMT1206,PMT_1206,RG24_RS06475",Carboxysome shell peptide%2C CsoS1,NA,NA,NA,,,,
1.337175215,MIT9313_01528,AKG35_RS07030,AKG35_RS07030,"PMT1319,PMT_1319,RG24_RS07055",putative secreted protein MPB70 precursor,NA,NA,NA,,,,
4.402277351,MIT9313_01569,nan,nan,nan,Hypothetical protein,NA,NA,NA,,,,
0.64605077,MIT9313_01570,AKG35_RS07235,AKG35_RS07235,"PMT1358,PMT_1358,RG24_RS07265",Murein DD-endopeptidase MepM,NA,NA,NA,,,,
1.032613209,MIT9313_01578,AKG35_RS07270,AKG35_RS07270,"PMT1365,PMT_1365,RG24_RS07300",Chorismate mutase,NA,NA,NA,,,,
2.111064643,MIT9313_01591,AKG35_RS07335,AKG35_RS07335,"PMT1379,PMT_1379,RG24_RS07365",putative tetrapyrrole methylase family protein,NA,NA,NA,,,,
3.369364551,MIT9313_01646,AKG35_RS07600,AKG35_RS07600,"PMT1424,PMT_1424,RG24_RS07630",g6P-deaminase,NA,NA,NA,,,,
1.82017599,MIT9313_01665,AKG35_RS07685,AKG35_RS07685,"PMT1440,PMT_1440,RG24_RS07715",Hypothetical protein,DUF2811 domain-containing protein,82%,100,,,,
2.829620607,MIT9313_01688,AKG35_RS07800,AKG35_RS07800,"PMT1461,PMT_1461,RG24_RS07830",Putative nicotinate-nucleotide adenylyltransferase,NA,NA,NA,,,,
0.428993127,MIT9313_01792,AKG35_RS08280,AKG35_RS08280,"PMT1556,PMT_1556,RG24_RS08310",putative Transthyretin precursor (formerly preal,NA,NA,NA,,,,
0.899652715,MIT9313_01927,AKG35_RS08880,AKG35_RS08880,"PMT1660,PMT_1660,RG24_RS08920",Hypothetical protein,Sua5/YciO/YrdC/YwlC family protein,99%,100,,,,
0.739194335,MIT9313_02069,AKG35_RS09590,AKG35_RS09590,"PMT_1792,RG24_RS09630",Hypothetical protein,ATP-dependent Clp protease adapter protein ClpS,99%,100,,,,
1.008105823,MIT9313_02121,AKG35_RS09840,AKG35_RS09840,"PMT1837,PMT_1837,RG24_RS09875",photosystem II 10 kDa phosphoprotein (PsbH),NA,NA,NA,,,,
2.917746492,MIT9313_02157,AKG35_RS10015,AKG35_RS10015,"PMT1871,PMT_1871,RG24_RS10050",Hypothetical protein,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase...      414    414   99%   3e-146 100.00 WP_011131239.1,99%,100,,,,
0.679934459,MIT9313_02260,AKG35_RS10490,AKG35_RS10490,"PMT1970,PMT_1970,RG24_RS10530",Hypothetical protein,TPR-repeat protein,99%,64.03,,,,
0.95430522,MIT9313_02268,AKG35_RS10535,AKG35_RS10535,"PMT1979,PMT_1979,RG24_RS10575",putative porin,NA,NA,NA,,,,
1.956325056,MIT9313_02342,AKG35_RS10895,AKG35_RS10895,"PMT2047,PMT_2047,RG24_RS10935",Hypothetical protein,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH...          555    555   99%   0.0    100.00 WP_011131413.1,99%,100,,,,
4.841368652,MIT9313_02344,AKG35_RS13580,AKG35_RS13580,PMT_2050,Hypothetical protein,DUF2752 domain-containing protein,71%,100,,,,
0.881548011,MIT9313_02409,AKG35_RS11190,AKG35_RS11190,"PMT2102,PMT_2102,RG24_RS11220",Hypothetical protein,nuclear transport factor 2 family protein,93%,59.15,,,,
,,,,,,,,,,,,
Down regulated genes ,,,,,,,,,,,,
log2 fold change (+ means upregulated in chitosan),gene,ncbi_cds_locus_tag,ncbi_gene_locus_tag,ncbi_gene_old_locus_tag,geneFunction,NCBI alignment,NCBI query cover,NCBI percent identity,,,,
-0.712181312,MIT9313_00076,AKG35_RS00375,AKG35_RS00375,"PMT0071,PMT_0071,RG24_RS00375",excinuclease ABC%2C subunit B,NA,NA,NA,,,,
-1.640952067,MIT9313_00080,AKG35_RS00395,AKG35_RS00395,"PMT0075,PMT_0075,RG24_RS00395",Precorrin-8X methylmutase,NA,NA,NA,,,,
-0.882339067,MIT9313_00129,AKG35_RS00610,AKG35_RS00610,"PMT0122,PMT_0122,RG24_RS00610",DNA gyrase%2C subunit B,NA,NA,NA,,,,
-0.763288528,MIT9313_00167,nan,nan,nan,Hypothetical protein,MULTISPECIES: DUF3188 domain-containing protein,72%,100,,,,
-1.440140929,MIT9313_00275,nan,nan,nan,Hypothetical protein,NA,NA,NA,,,,
-1.598121373,MIT9313_00353,AKG35_RS01635,AKG35_RS01635,PMT_0307,Hypothetical protein,DUF4912 domain-containing protein,99%,100,,,,
-0.910676266,MIT9313_00411,AKG35_RS13275,AKG35_RS13275,PMT_0360,Hypothetical protein,NA,NA,NA,,,,
-0.959654056,MIT9313_00582,AKG35_RS02710,AKG35_RS02710,"PMT0514,PMT_0514,RG24_RS02715",Hypothetical protein,ATP-dependent Clp protease ATP-binding subunit,92%,42.07,,,,
-0.665247277,MIT9313_00603,AKG35_RS02810,AKG35_RS02810,"PMT0534,PMT_0534,RG24_RS02815",Hypothetical protein,NA,NA,NA,,,,
-3.970738045,MIT9313_00950,nan,nan,nan,Hypothetical protein,NA,NA,NA,,,,
-1.20451215,MIT9313_01056,AKG35_RS04870,AKG35_RS04870,"PMT_0923,RG24_RS04880",Hypothetical protein,bacteriocin,68%,58.44,,,,
-1.283547081,MIT9313_01065,AKG35_RS04900,AKG35_RS04900,"PMT_0928,RG24_RS04910",Hypothetical protein,bacteriocin,68%,58.44,,,,
-1.145342666,MIT9313_01094,AKG35_RS12840,AKG35_RS12840,PMT_2516,Hypothetical protein,D-aminoacylase,87%,38.78,,,,
-0.797061966,MIT9313_01130,AKG35_RS05180,AKG35_RS05180,"PMT0974,PMT_0974,RG24_RS05200",Hypothetical protein,DUF2237 domain-containing protein,99%,100,,,,
-0.773088344,MIT9313_01242,AKG35_RS05680,AKG35_RS05680,"PMT1056,PMT_1056,RG24_RS05695",Hypothetical protein,rhodanese-related sulfurtransferase,99%,100,,,,
-1.058729754,MIT9313_01271,AKG35_RS05815,AKG35_RS05815,"PMT1082,PMT_1082,RG24_RS05830",Hypothetical protein,NA,NA,NA,,,,
-1.955257484,MIT9313_01281,AKG35_RS05860,AKG35_RS05860,"PMT1091,PMT_1091,RG24_RS05880",Pyridoxal phosphate biosynthetic protein PdxJ,NA,NA,NA,,,,
-0.55130058,MIT9313_01286,AKG35_RS12915,AKG35_RS12915,PMT_2618,Hypothetical protein,Exodeoxyribonuclease V alpha chain,36%,66.67,,,,
-0.898564195,MIT9313_01389,AKG35_RS06390,AKG35_RS06390,"PMT1193,PMT_1193,RG24_RS06410",putative multidrug efflux ABC transporter,NA,NA,NA,,,,
-0.992964448,MIT9313_01394,AKG35_RS06415,AKG35_RS06415,"PMT1198,PMT_1198,RG24_RS06435",putative RuBisCo-expression protein CbbX,NA,NA,NA,,,,
-3.628624624,MIT9313_01420,AKG35_RS12930,AKG35_RS12930,PMT_2647,Hypothetical protein,dienelactone hydrolase family protein,84%,59.38,,,,
-0.732054488,MIT9313_01437,AKG35_RS06620,AKG35_RS06620,"PMT1239,PMT_1239,RG24_RS06645",Hypothetical protein,nuclease,98%,95.8,,,,
-1.054567281,MIT9313_01590,AKG35_RS07330,AKG35_RS07330,"PMT1378,PMT_1378,RG24_RS07360",CysQ,NA,NA,NA,,,,
-0.863998006,MIT9313_01887,AKG35_RS08680,AKG35_RS08680,"PMT1629,PMT_1629,RG24_RS08715",putative potassium channel%2C VIC family,NA,NA,NA,,,,
-2.598812262,MIT9313_02163,AKG35_RS10050,AKG35_RS10050,PMT_1878,Hemolysin-type calcium-binding protein,NA,NA,NA,,,,
-0.63243023,MIT9313_02221,AKG35_RS10305,AKG35_RS10305,"PMT1934,PMT_1934,RG24_RS10345",Glycosyl transferase%2C family 2,NA,NA,NA,,,,
-1.141008028,MIT9313_02257,AKG35_RS10475,AKG35_RS10475,"PMT1967,PMT_1967,RG24_RS10515",Hypothetical protein,SRPBCC family protein,99%,100,,,,
-1.73991889,MIT9313_02335,AKG35_RS10865,AKG35_RS10865,"PMT2041,PMT_2041,RG24_RS10905",putative Dockerin type I repeat protein,NA,NA,NA,,,,
-1.291676389,MIT9313_02352,AKG35_RS10955,AKG35_RS10955,"PMT2059,PMT_2059,RG24_RS10990",1%2C4-dihydroxy-2-naphthoate (DHNA) octaprenyltransferase%3B UbiA prenyltranferase family,NA,NA,NA,,,,
-0.862659905,MIT9313_02362,AKG35_RS11015,AKG35_RS11015,"PMT2070,PMT_2070,RG24_RS11045",Aminotransferases class-I,NA,NA,NA,,,,
-1.696509821,MIT9313_02411,AKG35_RS11195,AKG35_RS11195,"PMT2103,PMT_2103,RG24_RS11225",Hypothetical protein,DUF952 domain-containing protein,99%,100,,,,
-1.297609551,MIT9313_02510,AKG35_RS11660,AKG35_RS11660,"PMT2189,PMT_2189,RG24_RS11685",ABC transporter,NA,NA,NA,,,,
-1.131512575,MIT9313_02522,AKG35_RS11735,AKG35_RS11735,"PMT2202,PMT_2202,RG24_RS11760",ABC transporter component%2C possibly Mn transport,NA,NA,NA,,,,
