gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
yihI,yihI,EZ55_RS00060,ALTBGP6_00012,Protein Homology,13266,13769,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_014947719.1,,,,,,ALTBGP6_00012,
EZ55_RS00065,,EZ55_RS00065,ALTBGP6_00013,Protein Homology,13897,14598,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947720.1,class I SAM-dependent methyltransferase,WP_014947720.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,ALTBGP6_00013,"2.1.-.-,2.1.1.-"
EZ55_RS00070,,EZ55_RS00070,ALTBGP6_00014,Protein Homology,14899,15522,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,c-type cytochrome,WP_014947721.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,ALTBGP6_00014,
yihA,yihA,EZ55_RS00075,ALTBGP6_00015,Protein Homology,15697,16332,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975249.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_014947722.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,ALTBGP6_00015,
polA,polA,EZ55_RS00080,ALTBGP6_00016,Protein Homology,16749,19541,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516538.1,DNA polymerase I,WP_156077634.1,"GO:0006261,GO:0003676,GO:0003677,GO:0003887,GO:0008408",,"nucleic acid binding|0003676||IEA,DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA-templated DNA replication|0006261||IEA,,ALTBGP6_00016,2.7.7.7
elbB,elbB,EZ55_RS00085,ALTBGP6_00017,Protein Homology,19963,20616,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975251.1,isoprenoid biosynthesis glyoxalase ElbB,WP_156077635.1,,,,,,ALTBGP6_00017,4.2.1.-
EZ55_RS00090,,EZ55_RS00090,ALTBGP6_00018,Protein Homology,20883,22334,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516540.1,TrkH family potassium uptake protein,WP_014947725.1,"GO:0015379,GO:0016020",membrane|0016020||IEA,potassium:chloride symporter activity|0015379||IEA,,,ALTBGP6_00018,
trkA,trkA,EZ55_RS00095,ALTBGP6_00019,Protein Homology,22448,23827,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982135.1,Trk system potassium transporter TrkA,WP_014947726.1,"GO:0006813,GO:0015079,GO:0016020",membrane|0016020||IEA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA,,ALTBGP6_00019,
rsmB,rsmB,EZ55_RS00100,ALTBGP6_00020,Protein Homology,23892,25211,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975252.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_069943465.1,"GO:0001510,GO:0006355,GO:0006364,GO:0003723,GO:0008649",,"RNA binding|0003723||IEA,rRNA methyltransferase activity|0008649||IEA","RNA methylation|0001510||IEA,regulation of DNA-templated transcription|0006355||IEA,rRNA processing|0006364||IEA",,ALTBGP6_00020,2.1.1.176
fmt,fmt,EZ55_RS00105,ALTBGP6_00021,Protein Homology,25214,26164,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947728.1,methionyl-tRNA formyltransferase,WP_061438871.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,,ALTBGP6_00021,2.1.2.9
def,def,EZ55_RS00110,ALTBGP6_00022,Protein Homology,26173,26682,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982132.1,peptide deformylase,WP_014947729.1,"GO:0036211,GO:0042586",,peptide deformylase activity|0042586||IEA,protein modification process|0036211||IEA,,ALTBGP6_00022,3.5.1.88
EZ55_RS00115,,EZ55_RS00115,ALTBGP6_00023,Protein Homology,26899,27972,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516545.1,LysM peptidoglycan-binding domain-containing protein,WP_014947730.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,,ALTBGP6_00023,
dprA,dprA,EZ55_RS00120,ALTBGP6_00024,Protein Homology,28012,29121,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947731.1,DNA-processing protein DprA,WP_156077636.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,ALTBGP6_00024,
EZ55_RS00125,,EZ55_RS00125,ALTBGP6_00025,Protein Homology,29123,29599,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107314.1,DUF494 family protein,WP_014947732.1,,,,,,ALTBGP6_00025,
EZ55_RS00130,,EZ55_RS00130,ALTBGP6_00026,Protein Homology,29685,30227,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977866.1,DNA topoisomerase family protein,WP_014975256.1,"GO:0006265,GO:0003677,GO:0003916,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase activity|0003916||IEA",DNA topological change|0006265||IEA,,ALTBGP6_00026,5.6.2.1
EZ55_RS00135,,EZ55_RS00135,ALTBGP6_00027,Protein Homology,30273,30878,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947734.1,Sua5/YciO/YrdC/YwlC family protein,WP_014947734.1,GO:0003725,,double-stranded RNA binding|0003725||IEA,,,ALTBGP6_00027,
hemF,hemF,EZ55_RS00140,ALTBGP6_00028,Protein Homology,30875,31807,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996781.1,oxygen-dependent coproporphyrinogen oxidase,WP_156077637.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,ALTBGP6_00028,1.3.3.3
EZ55_RS00145,,EZ55_RS00145,ALTBGP6_00029,Protein Homology,32042,32722,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516551.1,OmpW family outer membrane protein,WP_014947736.1,GO:0019867,outer membrane|0019867||IEA,,,,ALTBGP6_00029,
EZ55_RS00150,,EZ55_RS00150,ALTBGP6_00030,Protein Homology,32847,33278,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977869.1,group II truncated hemoglobin,WP_014947737.1,"GO:0005344,GO:0019825,GO:0020037,GO:0046872",,"oxygen carrier activity|0005344||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,ALTBGP6_00030,
aroE,aroE,EZ55_RS00155,ALTBGP6_00031,Protein Homology,33277,34116,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516553.1,shikimate dehydrogenase,WP_110289614.1,"GO:0019632,GO:0004764",,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA,,ALTBGP6_00031,1.1.1.25
EZ55_RS00160,,EZ55_RS00160,ALTBGP6_00032,Protein Homology,34113,34655,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947739.1,gamma carbonic anhydrase family protein,WP_156077638.1,GO:0046872,,metal ion binding|0046872||IEA,,,ALTBGP6_00032,4.2.1.-
EZ55_RS00165,,EZ55_RS00165,ALTBGP6_00033,Protein Homology,34999,35910,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996786.1,UDP-N-acetylglucosamine 2-epimerase,WP_156079081.1,,,,,,ALTBGP6_00033,
EZ55_RS00190,,EZ55_RS00190,ALTBGP6_00038,Protein Homology,41792,42322,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947741.1,acyloxyacyl hydrolase,WP_156077639.1,,,,,,ALTBGP6_00038,
EZ55_RS00195,,EZ55_RS00195,ALTBGP6_00039,Protein Homology,42459,43289,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975263.1,substrate-binding periplasmic protein,WP_156077640.1,,,,,,ALTBGP6_00039,
EZ55_RS00200,,EZ55_RS00200,ALTBGP6_00040,Protein Homology,43270,44073,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975264.1,hypothetical protein,WP_231513015.1,,,,,,ALTBGP6_00040,
EZ55_RS00205,,EZ55_RS00205,ALTBGP6_00041,Protein Homology,44204,47293,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516560.1,error-prone DNA polymerase,WP_156077641.1,"GO:0006260,GO:0003887,GO:0008408",,"DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA replication|0006260||IEA,,ALTBGP6_00041,2.7.7.7
EZ55_RS00210,,EZ55_RS00210,ALTBGP6_00042,Protein Homology,47330,48817,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996790.1,Y-family DNA polymerase,WP_156077642.1,"GO:0006260,GO:0006281,GO:0003684,GO:0003887,GO:0046872",,"damaged DNA binding|0003684||IEA,DNA-directed DNA polymerase activity|0003887||IEA,metal ion binding|0046872||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA",,ALTBGP6_00042,2.7.7.7
EZ55_RS00215,,EZ55_RS00215,ALTBGP6_00043,Protein Homology,48817,49569,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065854.1,recombinase RecA,WP_156077643.1,,,,,,ALTBGP6_00043,
EZ55_RS00220,,EZ55_RS00220,ALTBGP6_00044,Protein Homology,49817,50326,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977879.1,hypothetical protein,WP_101563216.1,,,,,,ALTBGP6_00044,
EZ55_RS00225,,EZ55_RS00225,ALTBGP6_00045,Protein Homology,50329,52080,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977880.1,DUF885 domain-containing protein,WP_156077644.1,,,,,,ALTBGP6_00045,
EZ55_RS00230,,EZ55_RS00230,ALTBGP6_00046,Protein Homology,52119,52454,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 family protein,WP_061438894.1,,,,,,ALTBGP6_00046,
EZ55_RS00235,,EZ55_RS00235,ALTBGP6_00047,Protein Homology,52644,54281,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996794.1,M28 family metallopeptidase,WP_014947750.1,"GO:0008237,GO:0008270,GO:0016020",membrane|0016020||IEA,"metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",,,ALTBGP6_00047,3.4.-.-
slmA,slmA,EZ55_RS00240,ALTBGP6_00048,Protein Homology,54538,55125,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996795.1,nucleoid occlusion factor SlmA,WP_012516568.1,"GO:0010974,GO:0003677",,DNA binding|0003677||IEA,negative regulation of division septum assembly|0010974||IEA,,ALTBGP6_00048,
coaBC,coaBC,EZ55_RS00245,ALTBGP6_00049,Protein Homology,55240,56469,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_039226974.1,"GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181",,"phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA","coenzyme A biosynthetic process|0015937||IEA,pantothenate catabolic process|0015941||IEA",,ALTBGP6_00049,"4.1.1.36,6.3.2.5"
radC,radC,EZ55_RS00250,ALTBGP6_00050,Protein Homology,56679,57356,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947752.1,RadC family protein,WP_014947752.1,,,,,,ALTBGP6_00050,
EZ55_RS00255,,EZ55_RS00255,ALTBGP6_00051,Protein Homology,57449,57802,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977885.1,hypothetical protein,WP_156077645.1,,,,,,ALTBGP6_00051,
EZ55_RS00260,,EZ55_RS00260,ALTBGP6_00052,Protein Homology,57897,58586,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947754.1,YjbF family lipoprotein,WP_014947754.1,,,,,,ALTBGP6_00052,
EZ55_RS00265,,EZ55_RS00265,ALTBGP6_00053,Protein Homology,58586,59335,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996800.1,capsule biosynthesis GfcC family protein,WP_039236677.1,,,,,,ALTBGP6_00053,
EZ55_RS00270,,EZ55_RS00270,ALTBGP6_00054,Protein Homology,59332,61434,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996801.1,YjbH domain-containing protein,WP_014977887.1,,,,,,ALTBGP6_00054,
rpmB,rpmB,EZ55_RS00275,ALTBGP6_00055,Protein Homology,61772,62008,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,WP_014947757.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ALTBGP6_00055,
rpmG,rpmG,EZ55_RS00280,ALTBGP6_00056,Protein Homology,62020,62175,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011470150.1,50S ribosomal protein L33,WP_012516577.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ALTBGP6_00056,
EZ55_RS00285,,EZ55_RS00285,ALTBGP6_00057,Protein Homology,62442,62906,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977888.1,hypothetical protein,WP_156077646.1,,,,,,ALTBGP6_00057,
mutM,mutM,EZ55_RS00290,ALTBGP6_00058,Protein Homology,62907,63716,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996803.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_014947759.1,"GO:0006281,GO:0006284,GO:0003676,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0016799,GO:0019104",,"nucleic acid binding|0003676||IEA,damaged DNA binding|0003684||IEA,DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA,zinc ion binding|0008270||IEA,oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,DNA N-glycosylase activity|0019104||IEA","DNA repair|0006281||IEA,base-excision repair|0006284||IEA",,ALTBGP6_00058,"3.2.2.23,4.2.99.18"
coaD,coaD,EZ55_RS00295,ALTBGP6_00059,Protein Homology,63735,64223,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996804.1,pantetheine-phosphate adenylyltransferase,WP_014947760.1,"GO:0015937,GO:0004595",,pantetheine-phosphate adenylyltransferase activity|0004595||IEA,coenzyme A biosynthetic process|0015937||IEA,,ALTBGP6_00059,2.7.7.3
EZ55_RS00300,,EZ55_RS00300,ALTBGP6_00060,Protein Homology,64322,65044,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996805.1,3-deoxy-D-manno-octulosonic acid kinase,WP_231513016.1,GO:0016773,,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,,,ALTBGP6_00060,2.7.1.166
EZ55_RS00305,,EZ55_RS00305,ALTBGP6_00061,Protein Homology,65533,66006,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977891.1,hypothetical protein,WP_156077648.1,,,,,,ALTBGP6_00061,
EZ55_RS00310,,EZ55_RS00310,ALTBGP6_00062,Protein Homology,66003,67178,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977892.1,hypothetical protein,WP_014947763.1,,,,,,ALTBGP6_00062,
EZ55_RS00315,,EZ55_RS00315,ALTBGP6_00063,Protein Homology,67188,69632,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947764.1,putative bifunctional diguanylate cyclase/phosphodiesterase,WP_156077649.1,"GO:0005525,GO:0046872,GO:0052621,GO:0071111,GO:0005886",plasma membrane|0005886||IEA,"GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA",,,ALTBGP6_00063,2.7.7.65
EZ55_RS00320,,EZ55_RS00320,ALTBGP6_00064,Protein Homology,69796,70992,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516586.1,glycine C-acetyltransferase,WP_014977894.1,"GO:0009058,GO:0008890,GO:0030170",,"glycine C-acetyltransferase activity|0008890||IEA,pyridoxal phosphate binding|0030170||IEA",biosynthetic process|0009058||IEA,,ALTBGP6_00064,2.3.1.29
tdh,tdh,EZ55_RS00325,ALTBGP6_00065,Protein Homology,70989,72014,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065862.1,L-threonine 3-dehydrogenase,WP_014947766.1,"GO:0006567,GO:0008743",,L-threonine 3-dehydrogenase activity|0008743||IEA,L-threonine catabolic process|0006567||IEA,,ALTBGP6_00065,1.1.1.103
glpE,glpE,EZ55_RS00330,ALTBGP6_00066,Protein Homology,72014,72325,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977895.1,thiosulfate sulfurtransferase GlpE,WP_014947767.1,GO:0004792,,thiosulfate-cyanide sulfurtransferase activity|0004792||IEA,,,ALTBGP6_00066,2.8.1.1
glpG,glpG,EZ55_RS00335,ALTBGP6_00067,Protein Homology,72466,73329,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977896.1,rhomboid family intramembrane serine protease GlpG,WP_156077650.1,"GO:0019538,GO:0004252,GO:0005886",plasma membrane|0005886||IEA,serine-type endopeptidase activity|0004252||IEA,protein metabolic process|0019538||IEA,,ALTBGP6_00067,3.4.21.105
EZ55_RS00340,,EZ55_RS00340,ALTBGP6_00068,Protein Homology,73385,73798,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516590.1,flagellar basal body-associated protein FliL,WP_014947769.1,,,,,,ALTBGP6_00068,
EZ55_RS00345,,EZ55_RS00345,ALTBGP6_00069,Protein Homology,73947,74516,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065863.1,chorismate--pyruvate lyase family protein,WP_014975276.1,"GO:0006744,GO:0008813,GO:0005737",cytoplasm|0005737||IEA,chorismate lyase activity|0008813||IEA,ubiquinone biosynthetic process|0006744||IEA,,ALTBGP6_00069,4.1.3.40
ubiA,ubiA,EZ55_RS00350,ALTBGP6_00070,Protein Homology,74513,75370,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996815.1,4-hydroxybenzoate octaprenyltransferase,WP_156077651.1,"GO:0006744,GO:0008412",,4-hydroxybenzoate polyprenyltransferase activity|0008412||IEA,ubiquinone biosynthetic process|0006744||IEA,,ALTBGP6_00070,2.5.1.39
ubiK,ubiK,EZ55_RS00355,ALTBGP6_00071,Protein Homology,75472,75723,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975278.1,ubiquinone biosynthesis accessory factor UbiK,WP_156077652.1,"GO:0006744,GO:0042802",,identical protein binding|0042802||IEA,ubiquinone biosynthetic process|0006744||IEA,yqiC,ALTBGP6_00071,
rep,rep,EZ55_RS00360,ALTBGP6_00072,Protein Homology,75836,77851,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947773.1,DNA helicase Rep,WP_014947773.1,"GO:0006260,GO:0003677,GO:0003678,GO:0005524",,"DNA binding|0003677||IEA,DNA helicase activity|0003678||IEA,ATP binding|0005524||IEA",DNA replication|0006260||IEA,,ALTBGP6_00072,3.6.4.12
EZ55_RS00365,,EZ55_RS00365,ALTBGP6_00073,Protein Homology,77897,80497,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516597.1,sensor domain-containing phosphodiesterase,WP_014947774.1,"GO:0000160,GO:0007165,GO:0005515,GO:0071111",,"protein binding|0005515||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA","phosphorelay signal transduction system|0000160||IEA,signal transduction|0007165||IEA",,ALTBGP6_00073,3.1.4.52
EZ55_RS00370,,EZ55_RS00370,ALTBGP6_00074,Protein Homology,80601,81008,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996819.1,c-type cytochrome,WP_156077653.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,ALTBGP6_00074,
EZ55_RS00380,,EZ55_RS00380,ALTBGP6_00077,Protein Homology,81726,82715,+,,,COORDINATES: protein motif:HMM:NF012798.6,site-specific integrase,WP_156077654.1,"GO:0006310,GO:0015074,GO:0003677",,DNA binding|0003677||IEA,"DNA recombination|0006310||IEA,DNA integration|0015074||IEA",,ALTBGP6_00077,
EZ55_RS00385,,EZ55_RS00385,ALTBGP6_00078,Protein Homology,83130,83585,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014976569.1,PaaI family thioesterase,WP_014976569.1,"GO:0016790,GO:0016836,GO:0047617",,"thiolester hydrolase activity|0016790||IEA,hydro-lyase activity|0016836||IEA,fatty acyl-CoA hydrolase activity|0047617||IEA",,,ALTBGP6_00078,3.1.2.-
EZ55_RS00390,,EZ55_RS00390,ALTBGP6_00079,Protein Homology,83869,84876,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008175571.1,zinc-dependent alcohol dehydrogenase family protein,WP_156077655.1,,,,,,ALTBGP6_00079,
EZ55_RS00395,,EZ55_RS00395,ALTBGP6_00080,Protein Homology,84899,85906,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007153524.1,zinc-dependent alcohol dehydrogenase family protein,WP_156077656.1,,,,,,ALTBGP6_00080,
EZ55_RS00400,,EZ55_RS00400,ALTBGP6_00081,Protein Homology,85981,86739,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008175573.1,SDR family oxidoreductase,WP_156077657.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,,ALTBGP6_00081,1.-.-.-
EZ55_RS00405,,EZ55_RS00405,ALTBGP6_00082,Protein Homology,86895,87788,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014976573.1,LysR family transcriptional regulator,WP_156077658.1,"GO:0006355,GO:0001216,GO:0032993",protein-DNA complex|0032993||IEA,DNA-binding transcription activator activity|0001216||IEA,regulation of DNA-templated transcription|0006355||IEA,,ALTBGP6_00082,
EZ55_RS00410,,EZ55_RS00410,ALTBGP6_00083,GeneMarkS-2+,87853,88008,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_156077659.1,,,,,,ALTBGP6_00083,
EZ55_RS00415,,EZ55_RS00415,ALTBGP6_00084,GeneMarkS-2+,88830,89132,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,putative quinol monooxygenase,WP_007182542.1,"GO:0017000,GO:0004497,GO:0016491",,"monooxygenase activity|0004497||IEA,oxidoreductase activity|0016491||IEA",antibiotic biosynthetic process|0017000||IEA,,ALTBGP6_00084,1.-.-.-
EZ55_RS20975,,EZ55_RS20975,EZ55_RS20975,Protein Homology,89715,90209,+,,,COORDINATES: protein motif:HMM:NF024242.6,helix-turn-helix domain-containing protein,WP_404978272.1,"GO:0006355,GO:0003700,GO:0043565",,"DNA-binding transcription factor activity|0003700||IEA,sequence-specific DNA binding|0043565||IEA",regulation of DNA-templated transcription|0006355||IEA,,,
