"JBrowse","Name","Species","SubCluster","Clade","SubClade","Pigment type","Sequencing center","Genome status","GenBank Acc.","RefSeq Acc.","Genome size","Contigs","CDS","rRNA","tRNA","GC %"
"","Pro_MIT0604","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center/Yale Center for Genome Analysis","Complete","CP007753","NZ_CP007753","1,780,061","1","2,074","3","36","31.2"
"","Pro_MIT0701","Prochlorococcus marinus","LL","LLIV","LLIV","Hba","MIT BioMicro Center","WGS high quality","JNBA00000000","NZ_JNBA00000000","2,595,171","1","3,044","5","42","50.6"
"","Pro_MIT0702","Prochlorococcus marinus","LL","LLIV","LLIV","Hba","MIT BioMicro Center","WGS high quality","JNBB00000000","NZ_JNBB00000000","2,586,057","1","3,032","5","42","50.6"
"","Pro_MIT0703","Prochlorococcus marinus","LL","LLIV","LLIV","Hba","MIT BioMicro Center","WGS high quality","JNBC00000000","NZ_JNBC00000000","2,578,057","1","3,018","5","42","50.6"
"","Pro_MIT0801","Prochlorococcus marinus","LL","LLI","LLI","Hba","MIT BioMicro Center/Yale Center for Genome Analysis","Complete","CP007754","NZ_CP007754","1,929,203","1","2,290","3","40","34.9"
"","Pro_MIT9107","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAI00000000","NZ_JNAI00000000","1,700,537","1","1,972","3","36","31"
"","Pro_MIT9116","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAJ00000000","","1,686,448","1","1,958","3","36","31"
"","Pro_MIT9123","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAK00000000","","1,698,598","1","1,990","3","36","31"
"","Pro_MIT9201","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAL00000000","NZ_JNAL00000000","1,673,653","1","1,971","3","37","31.3"
"","Pro_MIT9202","Prochlorococcus marinus","HL","HLII","HLII","Lba","JCVI","WGS high quality","ACDW00000000","NZ_ACDW00000000.","1,691,453","1","1,941","3","36","31.1"
"","Pro_MIT9211","Prochlorococcus marinus","LL","LLIII","LLIII","Hba","JGI","Complete","CP000878","NC_009976","1,688,963","1","1,862","3","40","38"
"","Pro_MIT9215","Prochlorococcus marinus","HL","HLII","HLII","Lba","JGI","Complete","CP000825","NC_009840","1,738,790","1","1,990","3","38","31.1"
"","Pro_MIT9301","Prochlorococcus marinus","HL","HLII","HLII","Lba","JCVI","Complete","CP000576","NC_009091","1,641,879","1","1,910","3","36","31.3"
"","Pro_MIT9302","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAM00000000","","1,746,143","1","2,010","4","36","31.1"
"","Pro_MIT9303","Prochlorococcus sp.","LL","LLIV","LLIV","Hba","JCVI","Complete","CP000554","","2,682,675","1","2,983","6","44","50"
"","Pro_MIT9311","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAN00000000","","1,711,864","1","1,977","3","36","31.2"
"","Pro_MIT9312","Prochlorococcus marinus","HL","HLII","HLII","Lba","JGI","Complete","CP000111","NC_007577","1,709,204","1","1,962","3","36","31.2"
"","Pro_MIT9313","Prochlorococcus sp.","LL","LLIV","LLIV","Hba","JGI","Complete","BX548175","NC_005071","2,410,874","1","2,833","6","45","50.7"
"","Pro_MIT9314","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAO00000000","","1,691,306","1","1,982","3","36","31.2"
"","Pro_MIT9321","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAP00000000","","1,659,114","1","1,947","3","36","31.2"
"","Pro_MIT9322","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAQ00000000","","1,658,050","1","1,949","4","35","31.2"
"","Pro_MIT9401","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAR00000000","NZ_JNAR00000000","1,667,608","1","1,965","4","36","31.2"
"","Pro_MIT9515","Prochlorococcus marinus","HL","HLI","HLI","Lba","JCVI","Complete","CP000552","NC_008817","1,704,176","1","1,914","3","37","30.8"
"","Pro_NATL1A","Prochlorococcus marinus","LL","LLI","LLI","Hba","JGI","Complete","CP000553","NC_008819","1,864,731","1","2,195","3","38","35"
"","Pro_NATL2A","Prochlorococcus marinus","LL","LLI","LLI","Hba","JGI","Complete","CP000095","NC_007335.2","1,842,899","1","2,162","3","38","35.1"
"","Pro_PAC1","Prochlorococcus marinus","LL","LLI","LLI","Hba","MIT BioMicro Center","WGS high quality","JNAX00000000","NZ_JNAX00000000","1,842,113","1","2,253","3","38","35.1"
"","Pro_SB","Prochlorococcus marinus","HL","HLII","HLII","Lba","MIT BioMicro Center","WGS high quality","JNAS00000000","NZ_JNAS00000000","1,669,973","1","1,927","3","36","31.5"
"","Pro_SS120","Prochlorococcus marinus","LL","LLII","LLII","Hba","Genoscope","Complete","AE017126","NC_005042","1,751,081","1","1,937","3","40","36.4"
"","Pro_SS2","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNAY00000000","NZ_JNAY00000000","1,753,672","1","1,981","3","40","36.4"
"","Pro_SS35","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNAZ00000000","NZ_JNAZ00000000","1,751,415","1","1,971","3","40","36.4"
"","Pro_SS51","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNBD00000000","NZ_JNBD00000000","1,747,527","1","1,968","4","40","36.4"
"","Pro_SS52","Prochlorococcus marinus","LL","LLII","LLII","Hba","MIT BioMicro Center","WGS high quality","JNBE00000000","NZ_JNBE00000000","1,755,103","1","1,980","3","40","36.4"
"","Pro_UH18301","Prochlorococcus marinus","HL","HLII","HLII","Lba","JCVI","WGS low quality","SRX019026","","1,659,269","1","2,030","3","36","31"
