Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources
PMM0144,"pds,crtD phytoene desaturase 140446:141867 reverse",-0.04427198093679741,0.6233,2,S,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0152,CDS Putative sugar-phosphate nucleotidyl 149447:150625 forward,0.8275723992351004,0.2901,2,M&J,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0195,"pgk, cbbK Phosphoglycerate kinase 188883:190091 forward",-0.06090160956778365,0.788,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0208,eno Enolase 201456:202748 forward,1.3365824662183026,,2,G,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0211,trxB FAD-dependent pyridine nucleotide-disulphide 204992:205948 forward,-0.44249829845919064,0.6977,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0214,CDS putative sulfate transporter 207261:208916 reverse,0.3136433415264013,0.1352,2,P,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0226,ftsH2 cell division protein FtsH2 219760:221616 reverse,-0.3285340775553383,0.585,2,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0228,psbO Photosystem II manganese-stabilizing protein 222913:223707 reverse,-0.15227393173251288,0.0056,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0238,ileS Isoleucyl-tRNA synthetase 230206:233103 forward,0.38235436413518853,0.3805,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0258,glyA Serine hydroxymethyltransferase (SHMT) 247995:249266 reverse,0.3251584892793383,0.2637,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0263,amt1 Ammonium transporter family 252632:254092 forward,0.47991569250249033,0.3798,2,P,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0282,fabI enoyl-[acyl-carrier-protein] reductase 271785:272567 reverse,-0.15679962456704458,0.8101,2,I,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0291,CDS conserved hypothetical protein 281164:282486 forward,0.0453911869946815,0.8578,3,S,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0311,metK S-adenosylmethionine synthetase 297783:299024 reverse,-0.9300917308262938,0.0267,2,H,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0312,"rps1a, rpsA1 30S ribosomal protein S1, homolog A 299159:300250 reverse",0.6687816123597918,0.3883,2,J,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0315,psbB Photosystem II PsbB protein (CP47) 301064:302587 reverse,-0.7054731988686906,0.0865,2,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0321,minD putative septum site-determining protein MinD 305556:306371 reverse,0.8223679688812506,0.0733,2,D,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0325,petB Cytochrome b6 309806:310462 forward,-0.017193805863915067,0.7869,2,C,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0329,psaE Photosystem I PsaE protein (subunit IV) 319058:319267 reverse,-0.3833381810173112,0.9449,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0338,CDS conserved hypothetical 327021:327320 forward,0.4203077509588273,,2,NO COG,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0378,CDS conserved hypothetical protein 358218:358490 reverse,-0.12877860406241134,0.8786,2,NO COG,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0395,CDS conserved hypothetical protein 374367:374942 forward,0.21613170578560714,0.3877,2,S,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0403,CDS conserved hypothetical protein 381740:382186 forward,0.5147623742047631,0.2113,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0405,pdhC Dihydrolipoamide acetyltransferase component 383670:385037 forward,-0.10897151751460066,0.8154,4,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0406,queA Queuosine biosynthesis protein 385044:386168 forward,0.6420668320299175,,2,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0407,cysK1 O-acetylserine (thiol)-lyase A 386171:387157 reverse,-0.004664407019190384,0.8996,2,E,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0436,topA Prokaryotic DNA topoisomerase 414484:417096 forward,0.005845001569456124,0.5195,2,L,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0452,"groEL2,cpn60-2 GroEL2 protein (Chaperonin cpn60 2) 430556:432301 reverse",0.16048721059408627,0.7141,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0454,ispD putative 2-C-methyl-D-erythritol 4-phosphate 433458:434129 forward,0.48712972043247976,0.0776,2,I,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0461,petA Cytochrome f 439817:440770 reverse,-0.12595737054497136,0.7682,2,NO COG,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0462,petC Rieske iron-sulfur protein 440775:441311 reverse,0.31433629100970406,0.252,2,C,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0475,rpl19 Ribosomal protein L19 450648:451130 reverse,0.20497878081448856,0.3852,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0482,phb Band 7 protein 455827:456633 forward,-0.4762445975518163,0.2563,2,O,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0483,"hemL, gsa glutamate-1-semialdehyde 2,1-aminomutase 456638:457939 reverse",0.2937253525599061,0.6346,2,H,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0506,"purA,adeK Adenylosuccinate synthetase 478206:479516 reverse",0.08391492089158066,0.78,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0515,cobC possible alpha-ribazole-5'-P phosphatase 485563:486891 reverse,0.062078597617416215,0.9262,4,G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0529,CDS conserved hypothetical protein 500539:501444 reverse,-0.1662525958080345,0.4515,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0541,CDS conserved hypothetical protein 511060:511407 forward,-0.0641899735650889,,2,NO COG,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0543,"chlL,frxC Protochlorophyllide reductase iron-sulfur 512474:513361 reverse",0.46487193445541014,0.4492,2,P,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0549,csoS1 carboxysome shell protein CsoS1 518725:519021 forward,0.7848889846014148,0.6044,2,Q & C,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0550,"rbcL, cbbL Ribulose bisphosphate carboxylase, large chain 519087:520502 forward",0.18793782416425175,0.9132,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0552,csoS2 carboxysome shell protein CsoS2 521024:523321 forward,-0.15715748096456494,0.6153,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0581,petE plastocyanin 546477:546827 reverse,0.21248825867719184,0.9767,2,C,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0590,proA Gamma-glutamyl phosphate reductase 558202:559512 forward,0.002987734947242051,0.6431,4,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0593,CDS Peptidase family M3 560476:562563 reverse,0.20120977509505494,0.6052,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0608,menB Napthoate synthase 577662:578519 forward,-0.19401164866920104,0.3902,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0615,CDS Possible nitrilase 585897:586724 forward,-0.09893466611244703,0.8763,2,R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0619,acs acetyl-coenzyme A synthetase 589700:591682 forward,0.15042445734753973,0.5265,2,I,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0627,pcb light-harvesting complex protein 596691:597749 forward,-0.2341046864735673,0.8785,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0642,cysD putative O-Acetyl homoserine sulfhydrylase 610958:612286 forward,-0.14506279619681722,0.1552,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0659,CDS NAD-dependent DNA ligase N-terminus 626013:626762 forward,-0.13077709049677982,0.6785,4,L,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0661,nrdJ ribonucleotide reductase (Class II) 628726:631134 reverse,0.06070478218009431,0.734,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0708,CDS putative secreted protein 671693:673975 reverse,-0.09673186664722971,0.1154,4,NO COG,outer membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0710,"CDS ABC transporter, substrate binding protein, 675854:676825 forward",-1.2345199814581218,0.718,4,P,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0719,CDS hypothetical 683454:683759 forward,-0.09724605901230896,0.884,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0735,CDS hypothetical 698520:698723 forward,0.07687413777563493,0.8212,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0741,CDS conserved hypothetical protein 702603:703256 reverse,1.7790797568026107,,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0743,ftsH1 FtsH ATP-dependent protease homolog 703879:705792 reverse,0.0558357832985476,0.9973,2,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0753,"rps2, rpsB 30S ribosomal protein S2 713478:714182 forward",0.512048046894939,0.2679,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0760,chlP Aromatic-ring hydroxylase (flavoprotein 723227:724558 reverse,0.5718107182377992,0.5614,4,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0767,"glpX, cbbF, fbp Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bis 730434:731435 forward",-0.31577560944057886,0.7408,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0781,"cbbA,cfxA,fbaA,fda Fructose-bisphosphate/sedoheptulose-1,7-bisphosph 742975:744048 reverse",0.180324238478165,0.7998,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0785,"prk, cbbP phosphoribulokinase 746750:747649 reverse",0.21244463427007124,0.4039,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0790,CDS conserved hypothetical protein 751468:752004 reverse,0.9737838474379072,0.1198,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0797,CDS possible mRNA binding protein 757849:758769 forward,-0.1529246913035338,0.9774,2,M&G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0804,CDS ferritin 763008:763562 forward,-0.5546474232025347,0.9224,4,P,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0856,tpx thioredoxin peroxidase 812943:813527 reverse,0.1834743510932913,0.415,4,O,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0889,leuS Leucyl-tRNA synthetase 849238:851814 forward,0.15810518910920762,0.4015,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0893,ribA/ribB possible GTP cyclohydrolase II / 855364:857097 forward,0.2289093538186947,0.3213,2,H,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0894,CDS Cyclophilin-type peptidyl-prolyl cis-trans 857094:857531 reverse,0.15233676284005598,0.4206,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0901,htpG heat shock protein HtpG 863832:865736 forward,0.45010614566486384,0.1519,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0920,"glnA Glutamine synthetase, glutamate--ammonia ligase 881367:882788 forward",1.122447574575129,0.1726,2,E,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0941,CDS possible cAMP phosphodiesterases class-II 899990:900349 forward,-0.2788666587046783,1.0567,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM0952,trpD/G putative Anthranilate synthase component II 910472:911503 reverse,0.3656072208439096,0.1066,2,E,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0961,CDS Glycoside hydrolase family 13 918353:920110 reverse,0.4425960925153159,,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0962,CDS possible Vng0271c 920161:921387 forward,-0.1050231386576276,0.5065,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM0970,"urtA putative urea ABC transporter, substrate binding 926568:927887 forward",-0.26905931814679057,0.3011,2,E,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1007,CDS 957628:958299 reverse,0.15736208936890758,0.5626,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1033,CDS Cobalamin synthesis protein/P47K 977075:978433 forward,0.14917525389423097,0.309,2,R,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1061,trxA Thioredoxin 1000324:1000647 reverse,-0.06019256318421812,0.8619,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1069,folD putuative bifunctional Methylenetetrahydrofolate 1011546:1012442 forward,0.07197033845472245,0.5839,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1075,petH ferredoxin-NADP oxidoreductase (FNR) 1018224:1019336 reverse,-0.10343144060706436,0.9357,2,P,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1088,clpC ClpC 1032024:1034552 reverse,-0.110401831465859,0.3962,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1090,lysA Diaminopimelate decarboxylase 1035266:1036639 forward,-0.06519953214984224,0.9176,2,E,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1091,CDS conserved hypothetical protein 1036668:1037558 forward,-0.002978090872738603,0.8538,2,S,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1113,CDS two-component response regulator 1059346:1060083 forward,0.05839409338167726,0.8772,2,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1145,pntB putative nicotinamide nucleotide 1097431:1098867 reverse,0.6570275594624698,,2,C,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1147,pntA-1 putative nicotinamide nucleotide 1099193:1100323 reverse,-0.10238551066938228,0.3554,4,C,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1154,ilvH Acetolactate synthase small subunit 1105694:1106218 forward,0.3041371481258547,0.6556,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1157,psbD Photosystem II PsbD protein (D2) 1107613:1108689 forward,-0.275228502630433,0.1074,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1158,psbC Photosystem II PsbC protein (CP43) 1108673:1110055 forward,-0.6270021574616954,0.1292,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1164,"futA,sfuA, idiA putative iron ABC transporter, substrate binding 1116122:1117144 reverse",0.8300915623099541,0.0632,2,P,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1166,CDS conserved hypothetical protein 1118243:1118632 reverse,-0.2793050590143189,,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1171,isiB Flavodoxin 1121029:1121553 reverse,-0.3518571729842594,,2,C,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1180,sppA signal peptide peptidase SppA (protease IV) 1128287:1129096 forward,0.4606231789859604,0.2064,4,O&R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1186,CDS Putative inner membrane protein; similar to 60 1131179:1132318 forward,0.29774186689814836,0.446,2,R,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1191,pnp polyribonucleotide nucleotidyltransferase 1136852:1139017 forward,-0.058798105476956436,0.45,4,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1204,"ddhA, rfbF glucose-1-phosphate cytidylyltransferase 1152143:1152910 reverse",-0.27570655747135553,0.2181,2,M&J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1235,CDS possible N-terminal fragment of transketolase 1187097:1187927 forward,0.18624992816599298,0.5533,2,G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1240,CDS methyltransferase 1192421:1193092 forward,-0.07415351533605884,0.8668,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1264,ftsH3 cell division protein FtsH3 1217915:1219777 reverse,0.023308389887082573,0.738,2,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114
PMM1284,"phoH,psiH PhoH-like phosphate starvation-inducible 1233875:1234831 reverse",-0.2779258485065591,0.2521,2,T,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1294,CDS putative nickel-containing superoxide dismutase 1246173:1246643 forward,-0.07434033819703818,0.6453,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
PMM1301,argD Aminotransferase class-III 1253002:1254255 forward,-0.20531811423009497,0.8022,2,E,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115
