Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources,resolved_locus_tag,resolution_method
PMM0211,trxB FAD-dependent pyridine nucleotide-disulphide 204992:205948 forward,-0.4424982984591906,0.6977,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0211,locus_tag:Accession
PMM0214,CDS putative sulfate transporter 207261:208916 reverse,0.3136433415264013,0.1352,2,P,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0214,locus_tag:Accession
PMM0226,ftsH2 cell division protein FtsH2 219760:221616 reverse,-0.3285340775553383,0.585,2,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0226,locus_tag:Accession
PMM0228,psbO Photosystem II manganese-stabilizing protein 222913:223707 reverse,-0.1522739317325128,0.0056,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0228,locus_tag:Accession
PMM0238,ileS Isoleucyl-tRNA synthetase 230206:233103 forward,0.3823543641351885,0.3805,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0238,locus_tag:Accession
PMM0258,glyA Serine hydroxymethyltransferase (SHMT) 247995:249266 reverse,0.3251584892793383,0.2637,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0258,locus_tag:Accession
PMM0263,amt1 Ammonium transporter family 252632:254092 forward,0.4799156925024903,0.3798,2,P,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0263,locus_tag:Accession
PMM0282,fabI enoyl-[acyl-carrier-protein] reductase 271785:272567 reverse,-0.1567996245670445,0.8101,2,I,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0282,locus_tag:Accession
PMM0291,CDS conserved hypothetical protein 281164:282486 forward,0.0453911869946815,0.8578,3,S,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0291,locus_tag:Accession
PMM0311,metK S-adenosylmethionine synthetase 297783:299024 reverse,-0.9300917308262938,0.0267,2,H,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0311,locus_tag:Accession
PMM0312,"rps1a, rpsA1 30S ribosomal protein S1, homolog A 299159:300250 reverse",0.6687816123597918,0.3883,2,J,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0312,locus_tag:Accession
PMM0315,psbB Photosystem II PsbB protein (CP47) 301064:302587 reverse,-0.7054731988686906,0.0865,2,NO COG,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0315,locus_tag:Accession
PMM0321,minD putative septum site-determining protein MinD 305556:306371 reverse,0.8223679688812506,0.0733,2,D,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0321,locus_tag:Accession
PMM0325,petB Cytochrome b6 309806:310462 forward,-0.017193805863915,0.7869,2,C,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0325,locus_tag:Accession
PMM0329,psaE Photosystem I PsaE protein (subunit IV) 319058:319267 reverse,-0.3833381810173112,0.9449,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0329,locus_tag:Accession
PMM0338,CDS conserved hypothetical 327021:327320 forward,0.4203077509588273,,2,NO COG,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0338,locus_tag:Accession
PMM0378,CDS conserved hypothetical protein 358218:358490 reverse,-0.1287786040624113,0.8786,2,NO COG,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0378,locus_tag:Accession
PMM0395,CDS conserved hypothetical protein 374367:374942 forward,0.2161317057856071,0.3877,2,S,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0395,locus_tag:Accession
PMM0403,CDS conserved hypothetical protein 381740:382186 forward,0.5147623742047631,0.2113,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0403,locus_tag:Accession
PMM0405,pdhC Dihydrolipoamide acetyltransferase component 383670:385037 forward,-0.1089715175146006,0.8154,4,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0405,locus_tag:Accession
PMM0406,queA Queuosine biosynthesis protein 385044:386168 forward,0.6420668320299175,,2,J,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0406,locus_tag:Accession
PMM0407,cysK1 O-acetylserine (thiol)-lyase A 386171:387157 reverse,-0.0046644070191903,0.8996,2,E,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0407,locus_tag:Accession
PMM0436,topA Prokaryotic DNA topoisomerase 414484:417096 forward,0.0058450015694561,0.5195,2,L,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0436,locus_tag:Accession
PMM0452,"groEL2,cpn60-2 GroEL2 protein (Chaperonin cpn60 2) 430556:432301 reverse",0.1604872105940862,0.7141,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0452,locus_tag:Accession
PMM0454,ispD putative 2-C-methyl-D-erythritol 4-phosphate 433458:434129 forward,0.4871297204324797,0.0776,2,I,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0454,locus_tag:Accession
PMM0461,petA Cytochrome f 439817:440770 reverse,-0.1259573705449713,0.7682,2,NO COG,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0461,locus_tag:Accession
PMM0462,petC Rieske iron-sulfur protein 440775:441311 reverse,0.314336291009704,0.252,2,C,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0462,locus_tag:Accession
PMM0475,rpl19 Ribosomal protein L19 450648:451130 reverse,0.2049787808144885,0.3852,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0475,locus_tag:Accession
PMM0482,phb Band 7 protein 455827:456633 forward,-0.4762445975518163,0.2563,2,O,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0482,locus_tag:Accession
PMM0483,"hemL, gsa glutamate-1-semialdehyde 2,1-aminomutase 456638:457939 reverse",0.2937253525599061,0.6346,2,H,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0483,locus_tag:Accession
PMM0506,"purA,adeK Adenylosuccinate synthetase 478206:479516 reverse",0.0839149208915806,0.78,2,F,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0506,locus_tag:Accession
PMM0515,cobC possible alpha-ribazole-5'-P phosphatase 485563:486891 reverse,0.0620785976174162,0.9262,4,G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0515,locus_tag:Accession
PMM0529,CDS conserved hypothetical protein 500539:501444 reverse,-0.1662525958080345,0.4515,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0529,locus_tag:Accession
PMM0541,CDS conserved hypothetical protein 511060:511407 forward,-0.0641899735650889,,2,NO COG,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0541,locus_tag:Accession
PMM0543,"chlL,frxC Protochlorophyllide reductase iron-sulfur 512474:513361 reverse",0.4648719344554101,0.4492,2,P,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0543,locus_tag:Accession
PMM0549,csoS1 carboxysome shell protein CsoS1 518725:519021 forward,0.7848889846014148,0.6044,2,Q & C,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0549,locus_tag:Accession
PMM0550,"rbcL, cbbL Ribulose bisphosphate carboxylase, large chain 519087:520502 forward",0.1879378241642517,0.9132,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0550,locus_tag:Accession
PMM0552,csoS2 carboxysome shell protein CsoS2 521024:523321 forward,-0.1571574809645649,0.6153,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0552,locus_tag:Accession
PMM0581,petE plastocyanin 546477:546827 reverse,0.2124882586771918,0.9767,2,C,unknown,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0581,locus_tag:Accession
PMM0590,proA Gamma-glutamyl phosphate reductase 558202:559512 forward,0.002987734947242,0.6431,4,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0590,locus_tag:Accession
PMM0593,CDS Peptidase family M3 560476:562563 reverse,0.2012097750950549,0.6052,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0593,locus_tag:Accession
PMM0608,menB Napthoate synthase 577662:578519 forward,-0.194011648669201,0.3902,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0608,locus_tag:Accession
PMM0615,CDS Possible nitrilase 585897:586724 forward,-0.098934666112447,0.8763,2,R,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0615,locus_tag:Accession
PMM0619,acs acetyl-coenzyme A synthetase 589700:591682 forward,0.1504244573475397,0.5265,2,I,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0619,locus_tag:Accession
PMM0627,pcb light-harvesting complex protein 596691:597749 forward,-0.2341046864735673,0.8785,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0627,locus_tag:Accession
PMM0642,cysD putative O-Acetyl homoserine sulfhydrylase 610958:612286 forward,-0.1450627961968172,0.1552,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0642,locus_tag:Accession
PMM0659,CDS NAD-dependent DNA ligase N-terminus 626013:626762 forward,-0.1307770904967798,0.6785,4,L,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0659,locus_tag:Accession
PMM0661,nrdJ ribonucleotide reductase (Class II) 628726:631134 reverse,0.0607047821800943,0.734,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0661,locus_tag:Accession
PMM0708,CDS putative secreted protein 671693:673975 reverse,-0.0967318666472297,0.1154,4,NO COG,outer membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0708,locus_tag:Accession
PMM0710,"CDS ABC transporter, substrate binding protein, 675854:676825 forward",-1.2345199814581218,0.718,4,P,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0710,locus_tag:Accession
PMM0719,CDS hypothetical 683454:683759 forward,-0.0972460590123089,0.884,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0719,locus_tag:Accession
PMM0735,CDS hypothetical 698520:698723 forward,0.0768741377756349,0.8212,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0735,locus_tag:Accession
PMM0741,CDS conserved hypothetical protein 702603:703256 reverse,1.7790797568026109,,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0741,locus_tag:Accession
PMM0743,ftsH1 FtsH ATP-dependent protease homolog 703879:705792 reverse,0.0558357832985476,0.9973,2,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0743,locus_tag:Accession
PMM0753,"rps2, rpsB 30S ribosomal protein S2 713478:714182 forward",0.512048046894939,0.2679,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0753,locus_tag:Accession
PMM0760,chlP Aromatic-ring hydroxylase (flavoprotein 723227:724558 reverse,0.5718107182377992,0.5614,4,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0760,locus_tag:Accession
PMM0767,"glpX, cbbF, fbp Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bis 730434:731435 forward",-0.3157756094405788,0.7408,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0767,locus_tag:Accession
PMM0781,"cbbA,cfxA,fbaA,fda Fructose-bisphosphate/sedoheptulose-1,7-bisphosph 742975:744048 reverse",0.180324238478165,0.7998,4,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0781,locus_tag:Accession
PMM0785,"prk, cbbP phosphoribulokinase 746750:747649 reverse",0.2124446342700712,0.4039,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0785,locus_tag:Accession
PMM0790,CDS conserved hypothetical protein 751468:752004 reverse,0.9737838474379072,0.1198,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0790,locus_tag:Accession
PMM0797,CDS possible mRNA binding protein 757849:758769 forward,-0.1529246913035338,0.9774,2,M&G,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0797,locus_tag:Accession
PMM0804,CDS ferritin 763008:763562 forward,-0.5546474232025347,0.9224,4,P,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0804,locus_tag:Accession
PMM0856,tpx thioredoxin peroxidase 812943:813527 reverse,0.1834743510932913,0.415,4,O,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0856,locus_tag:Accession
PMM0889,leuS Leucyl-tRNA synthetase 849238:851814 forward,0.1581051891092076,0.4015,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0889,locus_tag:Accession
PMM0893,ribA/ribB possible GTP cyclohydrolase II / 855364:857097 forward,0.2289093538186947,0.3213,2,H,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0893,locus_tag:Accession
PMM0894,CDS Cyclophilin-type peptidyl-prolyl cis-trans 857094:857531 reverse,0.1523367628400559,0.4206,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0894,locus_tag:Accession
PMM0901,htpG heat shock protein HtpG 863832:865736 forward,0.4501061456648638,0.1519,4,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0901,locus_tag:Accession
PMM0920,"glnA Glutamine synthetase, glutamate--ammonia ligase 881367:882788 forward",1.122447574575129,0.1726,2,E,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0920,locus_tag:Accession
PMM0941,CDS possible cAMP phosphodiesterases class-II 899990:900349 forward,-0.2788666587046783,1.0,4,NO COG,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM0941,locus_tag:Accession
PMM0952,trpD/G putative Anthranilate synthase component II 910472:911503 reverse,0.3656072208439096,0.1066,2,E,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0952,locus_tag:Accession
PMM0961,CDS Glycoside hydrolase family 13 918353:920110 reverse,0.4425960925153159,,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0961,locus_tag:Accession
PMM0962,CDS possible Vng0271c 920161:921387 forward,-0.1050231386576276,0.5065,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0962,locus_tag:Accession
PMM0970,"urtA putative urea ABC transporter, substrate binding 926568:927887 forward",-0.2690593181467905,0.3011,2,E,periplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM0970,locus_tag:Accession
PMM1007,CDS 957628:958299 reverse,0.1573620893689075,0.5626,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1007,locus_tag:Accession
PMM1033,CDS Cobalamin synthesis protein/P47K 977075:978433 forward,0.1491752538942309,0.309,2,R,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1033,locus_tag:Accession
PMM1061,trxA Thioredoxin 1000324:1000647 reverse,-0.0601925631842181,0.8619,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1061,locus_tag:Accession
PMM1069,folD putuative bifunctional Methylenetetrahydrofolate 1011546:1012442 forward,0.0719703384547224,0.5839,2,H,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1069,locus_tag:Accession
PMM1075,petH ferredoxin-NADP oxidoreductase (FNR) 1018224:1019336 reverse,-0.1034314406070643,0.9357,2,P,cytoplasmic,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1075,locus_tag:Accession
PMM1088,clpC ClpC 1032024:1034552 reverse,-0.110401831465859,0.3962,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1088,locus_tag:Accession
PMM1090,lysA Diaminopimelate decarboxylase 1035266:1036639 forward,-0.0651995321498422,0.9176,2,E,unknown,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1090,locus_tag:Accession
PMM1091,CDS conserved hypothetical protein 1036668:1037558 forward,-0.0029780908727386,0.8538,2,S,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1091,locus_tag:Accession
PMM1113,CDS two-component response regulator 1059346:1060083 forward,0.0583940933816772,0.8772,2,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1113,locus_tag:Accession
PMM1145,pntB putative nicotinamide nucleotide 1097431:1098867 reverse,0.6570275594624698,,2,C,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1145,locus_tag:Accession
PMM1147,pntA-1 putative nicotinamide nucleotide 1099193:1100323 reverse,-0.1023855106693822,0.3554,4,C,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1147,locus_tag:Accession
PMM1154,ilvH Acetolactate synthase small subunit 1105694:1106218 forward,0.3041371481258547,0.6556,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115,PMM1154,locus_tag:Accession
PMM1157,psbD Photosystem II PsbD protein (D2) 1107613:1108689 forward,-0.275228502630433,0.1074,4,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 114:115 ; iTRAQ1 protein list :: Ratio 117:115 ; iTRAQ2 protein list :: Ratio 116:114 ; iTRAQ2 protein list :: Ratio 117:114,PMM1157,locus_tag:Accession
