ID,start,end,em_Preferred_name,em_BRITE,em_CAZy,em_COG_cat,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_ko,em_PFAMs,em_Preferred_name,em_desc,product,uniprot_entry_name,uniprot_protein_name,uniprot_gene_name
2626311753,8623,8892,,ko00000,,S,,,,ko:K09780,YCII,,Alternative locus ID,"Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine",A3PBU8_PROM0,Uncharacterized protein conserved in bacteria,P9301_06001
2626311754,9089,9409,,,,S,,,,,,,Alternative locus ID,hypothetical protein,A3PBU9_PROM0,HTH cro/C1-type domain-containing protein,P9301_06011
2626311755,9410,9778,,,,S,,,,,DUF1232,,Alternative locus ID,Protein of unknown function (DUF1232),A3PBV0_PROM0,DUF1232 domain-containing protein,P9301_06021
2626311756,9814,10737,,,,K,,,,,"Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4",,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released,"RNA polymerase sigma factor, sigma-70 family",A3PBV1_PROM0,"Putative type II alternative sigma factor, sigma70 family",P9301_06031
2626311757,10892,11554,hisI,"ko00000,ko00001,ko00002,ko01000",,E,"GO:0000105,GO:0000166,GO:0003674,GO:0003824,GO:0004635,GO:0004636,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016462,GO:0016787,GO:0016810,GO:0016814,GO:0016817,GO:0016818,GO:0017076,GO:0018130,GO:0019238,GO:0019438,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00026,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",ko:K11755,"PRA-CH,PRA-PH",hisI,Histidine biosynthesis bifunctional protein HisIE,phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)/phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),A3PBV2_PROM0,Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)],hisI hisIE P9301_06041
2626311758,11618,12088,,"ko00000,ko00001,ko00002,ko01000,ko03016",,H,,"M00842,M00843","ko00790,ko01100,map00790,map01100",ko:K01737,PTPS,,Alternative locus ID,6-pyruvoyl-tetrahydropterin synthase,A3PBV3_PROM0,"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)",P9301_06051
2626311759,12137,14719,clpB,"ko00000,ko00001,ko03110",,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0044424,GO:0044464,GO:0050896,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564",,"ko04213,map04213",ko:K03695,"AAA,AAA_2,ClpB_D2-small,Clp_N",clpB,"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE",ATP-dependent Clp protease ATP-binding subunit ClpA,A3PBV4_PROM0,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB (EC 3.4.21.92)",clpB P9301_06061
2626311760,14794,15144,petE,"ko00000,ko00001,ko00194",,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005507,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009579,GO:0009987,GO:0016020,GO:0016491,GO:0022900,GO:0034357,GO:0042651,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044436,GO:0044464,GO:0046872,GO:0046914,GO:0055114",,"ko00195,map00195",ko:K02638,Copper-bind,petE,Alternative locus ID,plastocyanin,A3PBV5_PROM0,Plastocyanin,petE P9301_06071
2626311761,15205,16188,,,,GM,,,,,Epimerase,,Alternative locus ID,NAD dependent epimerase/dehydratase family,A3PBV6_PROM0,Nucleoside-diphosphate-sugar epimerase,P9301_06081
2626311762,16197,17237,hemE,"ko00000,ko00001,ko00002,ko01000",,H,"GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",M00121,"ko00860,ko01100,ko01110,map00860,map01100,map01110",ko:K01599,URO-D,hemE,Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III,uroporphyrinogen decarboxylase (EC 4.1.1.37),DCUP_PROM0,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),hemE P9301_06091
2626311763,17363,19627,glgB,"ko00000,ko00001,ko00002,ko01000,ko04147","CBM48,GH13",G,"GO:0000271,GO:0003674,GO:0003824,GO:0003844,GO:0004553,GO:0005488,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0006073,GO:0006091,GO:0006112,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009987,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016787,GO:0016798,GO:0033692,GO:0034637,GO:0034645,GO:0043167,GO:0043169,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0055114,GO:0071704,GO:0102752,GO:1901576",M00565,"ko00500,ko01100,ko01110,map00500,map01100,map01110",ko:K00700,"Alpha-amylase,Alpha-amylase_C,CBM_48",glgB,"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position","alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase",GLGB_PROM0,"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)",glgB P9301_06101
2626311764,19687,21261,,ko00000,,S,,,,ko:K06978,"PepX_C,Peptidase_S15",,Alternative locus ID,"putative hydrolase, CocE/NonD family",A3PBV9_PROM0,Predicted acyl esterase,P9301_06111
2626311765,21269,21535,,,,S,,,,,,,Alternative locus ID,hypothetical protein,A3PBW0_PROM0,Uncharacterized protein,P9301_06121
2626311766,21576,21995,,,,S,,,,,DUF4332,,Alternative locus ID,Domain of unknown function (DUF4332),A3PBW1_PROM0,DUF4332 domain-containing protein,P9301_06131
2626311767,22007,22450,,,,S,,,,,DUF2518,,Alternative locus ID,Protein of function (DUF2518),A3PBW2_PROM0,Uncharacterized protein,P9301_06141
2626311768,22515,26456,,"ko00000,ko02000",,S,,,,ko:K09800,"DUF3971,DUF748,TamB",,Alternative locus ID,Family of unknown function (DUF490),A3PBW3_PROM0,DUF490 domain-containing protein,P9301_06151
2626311769,26521,27831,proA,"ko00000,ko00001,ko00002,ko01000",,E,"GO:0000166,GO:0003674,GO:0003824,GO:0004350,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019752,GO:0036094,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046483,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0055129,GO:0071704,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00015,"ko00330,ko00332,ko01100,ko01110,ko01130,ko01230,map00330,map00332,map01100,map01110,map01130,map01230",ko:K00147,Aldedh,proA,Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate,glutamate-5-semialdehyde dehydrogenase (EC 1.2.1.41),PROA_PROM0,Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase),proA P9301_06161
2626311770,27843,28205,folB,"ko00000,ko00001,ko00002,ko01000",,H,,"M00126,M00840","ko00790,ko01100,map00790,map01100",ko:K01633,FolB,folB,"Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin",dihydroneopterin aldolase,A3PBW5_PROM0,"7,8-dihydroneopterin aldolase (EC 4.1.2.25)",folB P9301_06171
2626311771,28210,28803,,"ko00000,ko00001,ko00002,ko01000",,S,,M00098,"ko00561,ko01100,map00561,map01100",ko:K01046,"Abhydrolase_1,DUF676",,Alternative locus ID,alpha/beta hydrolase fold,A3PBW6_PROM0,Lipase family protein (EC 3.1.1.3),P9301_06181
2626311772,28796,30883,prlC,"ko00000,ko01000,ko01002",,E,,,,ko:K01414,Peptidase_M3,prlC,Alternative locus ID,Zn-dependent oligopeptidase,A3PBW7_PROM0,oligopeptidase A (EC 3.4.24.70),prlC P9301_06191
2626311773,30897,32438,ndhD3,"ko00000,ko00001,ko00002,ko01000",,C,,M00145,"ko00190,ko01100,map00190,map01100",ko:K05575,Proton_antipo_M,ndhD3,NADH dehydrogenase I subunit 4,NADH dehydrogenase subunit M (EC 1.6.5.3),A3PBW8_PROM0,Putative NADH Dehydrogenase (Complex I) subunit (Chain 4) (EC 1.6.5.3),P9301_06201
2626311774,32518,33465,thrB,"ko00000,ko00001,ko00002,ko01000",,F,"GO:0000096,GO:0000097,GO:0000166,GO:0003674,GO:0003824,GO:0004413,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006566,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009088,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019202,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00018,"ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230",ko:K00872,"GHMP_kinases_C,GHMP_kinases_N",thrB,Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate,homoserine kinase (EC 2.7.1.39),KHSE_PROM0,Homoserine kinase (HK) (HSK) (EC 2.7.1.39),thrB P9301_06211
2626311775,33475,34509,glk,"ko00000,ko00001,ko00002,ko01000",,G,"GO:0000166,GO:0003674,GO:0003824,GO:0004340,GO:0004396,GO:0005488,GO:0005524,GO:0005536,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0017144,GO:0018130,GO:0019200,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0030246,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035639,GO:0036094,GO:0042866,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046835,GO:0046939,GO:0048029,GO:0051156,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576","M00001,M00549","ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200",ko:K00845,Glucokinase,glk,Belongs to the bacterial glucokinase family,Glucokinase,A3PBX0_PROM0,Putative glucokinase (EC 2.7.1.2),glk P9301_06221
2626311776,34520,36436,thrS,"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,J,"GO:0000049,GO:0000166,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004812,GO:0004829,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576","M00359,M00360","ko00970,map00970",ko:K01868,"HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD",thrS,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr),Ser-tRNA(Thr) hydrolase (EC 3.1.1.-)/threonyl-tRNA synthetase (EC 6.1.1.3),SYT_PROM0,Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS),thrS P9301_06231
2626311777,36440,37456,trpS,"ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,J,"GO:0000166,GO:0003674,GO:0003824,GO:0004812,GO:0004830,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006436,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0140098,GO:0140101,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576","M00359,M00360","ko00970,map00970",ko:K01867,tRNA-synt_1b,trpS,Tryptophanyl-tRNA synthetase,tryptophanyl-tRNA synthetase (EC 6.1.1.2),A3PBX2_PROM0,Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS),trpS P9301_06241
2626311778,37446,37868,,,,S,,,,,,,Alternative locus ID,hypothetical protein,A3PBX3_PROM0,Uncharacterized protein,P9301_06251
2626311779,38035,39369,,ko00000,,S,,,,ko:K06883,DUF697,,Alternative locus ID,Domain of unknown function (DUF697),A3PBX4_PROM0,Membrane associated GTPase,P9301_06261
2626311780,39381,40289,mntC,"ko00000,ko00001,ko00002,ko02000",,P,,M00316,"ko02010,ko02020,map02010,map02020",ko:K11601,ZnuA,mntC,Belongs to the bacterial solute-binding protein 9 family,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA",A3PBX5_PROM0,"ABC transporter, substrate binding protein, possibly Mn",P9301_06271
2626311781,40293,41057,mntA,"ko00000,ko00001,ko00002,ko02000",,P,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0008144,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363",M00316,"ko02010,ko02020,map02010,map02020",ko:K11603,ABC_tran,mntA,"ATP binding domain, possibly Mn transporter","ABC-type Mn2+/Zn2+ transport system, ATPase component",A3PBX6_PROM0,"ABC transporter, ATP binding domain, possibly Mn transporter",P9301_06281
