filename,locus_tag,type,start,end,strand,gene,product,db_xref,EC_number,KO,KEGG_KM,KEGG_manual,antiSMASH,BioV_transp,blast_phytohormones,blast_vibrioferrin,blast_DMSP,dbCAN_CAZy,Species,recommended_name,systematic_name,synonyms,Unnamed: 0,main,sub,path,ecpath,path_id,signal_product,SignalP,EC_number1,EC_number2,category_x,N Enzyme name,EC numbers,Unnamed: 3,_merge,EC_number_pattern,category_y,enzyme name,category,is_signal
28108.53,IHCOGGJP_00958,CDS,1079857,1080864,-,icd,Isocitrate dehydrogenase [NADP],COG:COG0473,1.1.1.42,K00030,"M00010_Citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate",,,,,,,,Alteromonas macleodii 1A3,isocitrate dehydrogenase (NADP+),isocitrate:NADP+ oxidoreductase (decarboxylating),isocitrate dehydrogenase (nicotinamide adenine dinucleotide phosphate);oxalsuccinic decarboxylase;CtIDP1;IDPA;IDH3;ICD2;IDP2;NADPH-dependent isocitrate dehydrogenase;isocytrate deyhdrogenase;IDPc;cytosolic isocitrate dehydrogenase 1;NADP-ICDH;NADP-dependent isocitrate dehydrogenase;NADP+-isocitrate dehydrogenase;PS-NADP-IDH;mitochondrial NADP+-dependent isocitrate dehydrogenase;IDP3;IDH-IIb;NADP-IDH Idp1p;IDH-I;IDP;NADP+-dependent IDH;TaIDH;cytosolic NADPH-dependent isocitrate dehydrogenase;NADP-IDH;NADP+-dependent Ds-threo-isocitrate:NADP+ oxidoreductase;NADP-isocitrate dehydrogenase;NADP+-ICDH;icdA;isocitrate dehydrogenase;NAD+-dependent isocitrate dehydrogenase;cytosolic NADP+-dependent isocitrate dehydrogenase;NADP+-IDH;IDP1;IDH1;NADP+-specific IDH;oxalosuccinate decarboxylase;NADP+-dependent isocitrate dehydrogenase;IDH;NADP+-linked isocitrate dehydrogenase;TM1148;CtIDP2;mICDH;NADP isocitric dehydrogenase;NADP+-specific isocitrate dehydrogenase;NADP+-specific ICDH;DpIDH;IDH-90;ICDH-1;perICDH;IDHP;NADP+-dependent Ds-threo-isocitrate dehydrogenase;NADP-linked isocitrate dehydrogenase;NADP-specific isocitrate dehydrogenase;EcIDH;ICDH;IDH2;NADP+-dependent ICDH;AfIDH;IDPm;isocitrate dehydrogenase (NADP-dependent);isocitrate dehydrogenase 2;CgIDH;cytosolic NADP-dependent isocitrate dehydrogenase;cICDH;isocitrate dehydrogenase (NADP);NADP-dependent isocitric dehydrogenase;HICDH;ICD1;NADPH-IDH;IDH-IIa;NADP+ dependent isocitrate dehydrogenase;isocitrate dehydrogenase 1;isocitrate dehydrogenase-1;AbIDH1;ICD;NADP-dependent IDH;YlIDP;cytosolic NADP(+)-dependent isocitrate dehydrogenase,115.0,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],K00030  IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],K00030,Isocitrate dehydrogenase _NADP_,OTHER,1.1.1.-,1.1.-.-,Other enzymes relevant to N cycling,Isocitrate dehydrogenase ,1.1.1.42, (NADP),both,,,,Other enzymes relevant to N cycling,Not Signal
28108.53,IHCOGGJP_00958,CDS,1079857,1080864,-,icd,Isocitrate dehydrogenase [NADP],COG:COG0473,1.1.1.42,K00030,"M00009_Citrate_cycle_(TCA_cycle,_Krebs_cycle)",,,,,,,,Alteromonas macleodii 1A3,isocitrate dehydrogenase (NADP+),isocitrate:NADP+ oxidoreductase (decarboxylating),isocitrate dehydrogenase (nicotinamide adenine dinucleotide phosphate);oxalsuccinic decarboxylase;CtIDP1;IDPA;IDH3;ICD2;IDP2;NADPH-dependent isocitrate dehydrogenase;isocytrate deyhdrogenase;IDPc;cytosolic isocitrate dehydrogenase 1;NADP-ICDH;NADP-dependent isocitrate dehydrogenase;NADP+-isocitrate dehydrogenase;PS-NADP-IDH;mitochondrial NADP+-dependent isocitrate dehydrogenase;IDP3;IDH-IIb;NADP-IDH Idp1p;IDH-I;IDP;NADP+-dependent IDH;TaIDH;cytosolic NADPH-dependent isocitrate dehydrogenase;NADP-IDH;NADP+-dependent Ds-threo-isocitrate:NADP+ oxidoreductase;NADP-isocitrate dehydrogenase;NADP+-ICDH;icdA;isocitrate dehydrogenase;NAD+-dependent isocitrate dehydrogenase;cytosolic NADP+-dependent isocitrate dehydrogenase;NADP+-IDH;IDP1;IDH1;NADP+-specific IDH;oxalosuccinate decarboxylase;NADP+-dependent isocitrate dehydrogenase;IDH;NADP+-linked isocitrate dehydrogenase;TM1148;CtIDP2;mICDH;NADP isocitric dehydrogenase;NADP+-specific isocitrate dehydrogenase;NADP+-specific ICDH;DpIDH;IDH-90;ICDH-1;perICDH;IDHP;NADP+-dependent Ds-threo-isocitrate dehydrogenase;NADP-linked isocitrate dehydrogenase;NADP-specific isocitrate dehydrogenase;EcIDH;ICDH;IDH2;NADP+-dependent ICDH;AfIDH;IDPm;isocitrate dehydrogenase (NADP-dependent);isocitrate dehydrogenase 2;CgIDH;cytosolic NADP-dependent isocitrate dehydrogenase;cICDH;isocitrate dehydrogenase (NADP);NADP-dependent isocitric dehydrogenase;HICDH;ICD1;NADPH-IDH;IDH-IIa;NADP+ dependent isocitrate dehydrogenase;isocitrate dehydrogenase 1;isocitrate dehydrogenase-1;AbIDH1;ICD;NADP-dependent IDH;YlIDP;cytosolic NADP(+)-dependent isocitrate dehydrogenase,115.0,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],K00030  IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],K00030,Isocitrate dehydrogenase _NADP_,OTHER,1.1.1.-,1.1.-.-,Other enzymes relevant to N cycling,Isocitrate dehydrogenase ,1.1.1.42, (NADP),both,,,,Other enzymes relevant to N cycling,Not Signal
28108.53,IHCOGGJP_00983,CDS,1105303,1106655,+,rseP,Regulator of sigma-E protease RseP,COG:COG0750,3.4.24.-,K11749,,,,9.B.149.2.3|[protein],,,,,Alteromonas macleodii 1A3,,,,16462.0,09140 Cellular Processes,09143 Cell growth and death,04112 Cell cycle - Caulobacter [PATH:ko04112],K11749  rseP; regulator of sigma E protease [EC:3.4.24.-],K11749,Regulator of sigma-E protease RseP,OTHER,3.4.24.-,3.4.-.-,Proteases,Metalloendopeptidases ,3.4.24.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_01086,CDS,1220537,1222612,-,pepO_1,Neutral endopeptidase,COG:COG3590,3.4.24.-,K07386,,,,,,,,,Alteromonas macleodii 1A3,,,,36167.0,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K07386  pepO; putative endopeptidase [EC:3.4.24.-],K07386,Neutral endopeptidase,LIPO,3.4.24.-,3.4.-.-,Proteases,Metalloendopeptidases ,3.4.24.x,,both,,,,Proteases,Is Signal
28108.53,IHCOGGJP_01265,CDS,1432508,1434316,-,,Putative multidrug export ATP-binding/permease protein,COG:COG1132,3.6.3.-,,,,,"3.A.1.201.30|[acaricide,drug]",,,,,Alteromonas macleodii 1A3,,,,,,,,,,Putative multidrug export ATP-binding_permease protein,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_01386,CDS,1551974,1552672,+,lolD_1,Lipoprotein-releasing system ATP-binding protein LolD,COG:COG1136,3.6.3.-,K02003,,,,,,,,,Alteromonas macleodii 1A3,,,,47371.0,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K02003  ABC.CD.A; putative ABC transport system ATP-binding protein,K02003,Lipoprotein-releasing system ATP-binding protein LolD,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_01502,CDS,1676191,1677138,-,ravA,ATPase RavA,COG:COG0714,3.6.3.-,K03924,,,,,,,,,Alteromonas macleodii 1A3,,,,56285.0,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K03924  moxR; MoxR-like ATPase [EC:3.6.3.-],K03924,ATPase RavA,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_01706,CDS,1933336,1934046,+,lolD_2,Lipoprotein-releasing system ATP-binding protein LolD,COG:COG1136,3.6.3.-,K09810,,,,,,,,,Alteromonas macleodii 1A3,,,,10546.0,09130 Environmental Information Processing,09131 Membrane transport,02010 ABC transporters [PATH:ko02010],K09810  lolD; lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-],K09810,Lipoprotein-releasing system ATP-binding protein LolD,OTHER,3.6.3.-,3.6.-.-,Membrane transporters ,Membrane transporters ,3.6.3.x,,both,,,,Membrane transporters ,Not Signal
28108.53,IHCOGGJP_01867,CDS,2119108,2121327,+,icd2,Isocitrate dehydrogenase [NADP] 2,,1.1.1.42,,,,,,,,,,Alteromonas macleodii 1A3,isocitrate dehydrogenase (NADP+),isocitrate:NADP+ oxidoreductase (decarboxylating),isocitrate dehydrogenase (nicotinamide adenine dinucleotide phosphate);oxalsuccinic decarboxylase;CtIDP1;IDPA;IDH3;ICD2;IDP2;NADPH-dependent isocitrate dehydrogenase;isocytrate deyhdrogenase;IDPc;cytosolic isocitrate dehydrogenase 1;NADP-ICDH;NADP-dependent isocitrate dehydrogenase;NADP+-isocitrate dehydrogenase;PS-NADP-IDH;mitochondrial NADP+-dependent isocitrate dehydrogenase;IDP3;IDH-IIb;NADP-IDH Idp1p;IDH-I;IDP;NADP+-dependent IDH;TaIDH;cytosolic NADPH-dependent isocitrate dehydrogenase;NADP-IDH;NADP+-dependent Ds-threo-isocitrate:NADP+ oxidoreductase;NADP-isocitrate dehydrogenase;NADP+-ICDH;icdA;isocitrate dehydrogenase;NAD+-dependent isocitrate dehydrogenase;cytosolic NADP+-dependent isocitrate dehydrogenase;NADP+-IDH;IDP1;IDH1;NADP+-specific IDH;oxalosuccinate decarboxylase;NADP+-dependent isocitrate dehydrogenase;IDH;NADP+-linked isocitrate dehydrogenase;TM1148;CtIDP2;mICDH;NADP isocitric dehydrogenase;NADP+-specific isocitrate dehydrogenase;NADP+-specific ICDH;DpIDH;IDH-90;ICDH-1;perICDH;IDHP;NADP+-dependent Ds-threo-isocitrate dehydrogenase;NADP-linked isocitrate dehydrogenase;NADP-specific isocitrate dehydrogenase;EcIDH;ICDH;IDH2;NADP+-dependent ICDH;AfIDH;IDPm;isocitrate dehydrogenase (NADP-dependent);isocitrate dehydrogenase 2;CgIDH;cytosolic NADP-dependent isocitrate dehydrogenase;cICDH;isocitrate dehydrogenase (NADP);NADP-dependent isocitric dehydrogenase;HICDH;ICD1;NADPH-IDH;IDH-IIa;NADP+ dependent isocitrate dehydrogenase;isocitrate dehydrogenase 1;isocitrate dehydrogenase-1;AbIDH1;ICD;NADP-dependent IDH;YlIDP;cytosolic NADP(+)-dependent isocitrate dehydrogenase,,,,,,,Isocitrate dehydrogenase _NADP_ 2,OTHER,1.1.1.-,1.1.-.-,Other enzymes relevant to N cycling,Isocitrate dehydrogenase ,1.1.1.42, (NADP),both,,,,Other enzymes relevant to N cycling,Not Signal
28108.53,IHCOGGJP_01876,CDS,2129439,2131304,-,sppA,Protease 4,COG:COG0616,3.4.21.-,K04773,,,,,,,,,Alteromonas macleodii 1A3,,,,36588.0,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K04773  sppA; protease IV [EC:3.4.21.-],K04773,Protease 4,OTHER,3.4.21.-,3.4.-.-,Proteases,Serine endopeptidases ,3.4.21.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_01901,CDS,2156579,2158525,+,ftsH_3,ATP-dependent zinc metalloprotease FtsH,COG:COG0465,3.4.24.-,K03798,,,,,,,,,Alteromonas macleodii 1A3,,,,36279.0,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],"K03798  ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]",K03798,ATP-dependent zinc metalloprotease FtsH,OTHER,3.4.24.-,3.4.-.-,Proteases,Metalloendopeptidases ,3.4.24.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_01910,CDS,2166130,2167485,-,gdhB,NAD-specific glutamate dehydrogenase,,1.4.1.2,K00262,,,,,,,,,Alteromonas macleodii 1A3,glutamate dehydrogenase,L-glutamate:NAD+ oxidoreductase (deaminating),"NAD+-specific glutamate dehydrogenase;At5g18170;GdhA;GDH;CCNA_00086;glutamate dehydrogenase isoform 1;NAD+-GDH;NAD(+)-dependent glutamate dehydrogenase;GDH2;type I GDH;t-GDH;glutamic dehydrogenase;NAD-dependent L-glutamate dehydrogenase;NADH-linked glutamate dehydrogenase;NAD+-dependent GDH;NAD:glutamate oxidoreductase;NAD-dependent GDH;glutamate dehydrogenase alpha subunit;NAD+-dependent glutamate dehydrogenase;glutamate dehydrogenase beta subunit;NADH-dependent GDH;c;NAD-specific glutamic dehydrogenase;GDH, NAD-dependent;L-glutamate dehydrogenase;NAD+-dependant glutamate dehydrogenase;glutamate oxidoreductase;BpNADGDH;GluDH;NAD-linked glutamic dehydrogenase;NAD+-dependent GDHX;dehydrogenase, glutamate;gdh-2;Surface-associated protein PGAG1;Glu dehydrogenase;NAD-ylGdh2p;NAD-dependent glutamate dehydrogenase;NAD+-dependent GluDH;GLUD1;NAD-glutamate dehydrogenase;NAD-GDH;Pcal_1031;NAD-linked glutamate dehydrogenase;sco2999;hGDH1;GDH3;hGDH2-nerve-specific GDH;GDH isoenzyme 1;GluD;glutamic acid dehydrogenase;L-glutamic acid dehydrogenase;NAD+-specific GDH;gdh-1;NADH-GDH;OsGDH1;NAD-specific glutamate dehydrogenase;NAD(H)-dependent glutamate dehydrogenase;GdhZ;ylGDH2;OsGDH3;Gdh2p;NADH-glutamate dehydrogenase;glutamate dehydrogenase (NAD);OsGDH2;CsGDH;NADH-dependent glutamate dehydrogenase;YALI0E09603g;GLUD2;NAD-dependent glutamic dehydrogenase;AtGDH1;GDH1;RocG;GDHI;NAD+-glutamate dehydrogenase;glutamate dehydrogenase 2;GDHB;house-keeping GDH;More",2116.0,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],"K00262  E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",K00262,NAD-specific glutamate dehydrogenase,OTHER,1.4.1.-,1.4.-.-,"Uptake, reduction and assimilation",Glutamate dehydrogenase ,1.4.1.2, (NADH),both,,,,"Uptake, reduction and assimilation",Not Signal
28108.53,IHCOGGJP_02006,CDS,2287276,2288322,+,sohB,putative protease SohB,COG:COG0616,3.4.21.-,K04774,,,,,,,,,Alteromonas macleodii 1A3,,,,36589.0,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],K04774  sohB; serine protease SohB [EC:3.4.21.-],K04774,putative protease SohB,OTHER,3.4.21.-,3.4.-.-,Proteases,Serine endopeptidases ,3.4.21.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_02074,CDS,2366898,2371736,+,gdh,NAD-specific glutamate dehydrogenase,COG:COG2902,1.4.1.2,K15371,,,,,,,,,Alteromonas macleodii 1A3,glutamate dehydrogenase,L-glutamate:NAD+ oxidoreductase (deaminating),"NAD+-specific glutamate dehydrogenase;At5g18170;GdhA;GDH;CCNA_00086;glutamate dehydrogenase isoform 1;NAD+-GDH;NAD(+)-dependent glutamate dehydrogenase;GDH2;type I GDH;t-GDH;glutamic dehydrogenase;NAD-dependent L-glutamate dehydrogenase;NADH-linked glutamate dehydrogenase;NAD+-dependent GDH;NAD:glutamate oxidoreductase;NAD-dependent GDH;glutamate dehydrogenase alpha subunit;NAD+-dependent glutamate dehydrogenase;glutamate dehydrogenase beta subunit;NADH-dependent GDH;c;NAD-specific glutamic dehydrogenase;GDH, NAD-dependent;L-glutamate dehydrogenase;NAD+-dependant glutamate dehydrogenase;glutamate oxidoreductase;BpNADGDH;GluDH;NAD-linked glutamic dehydrogenase;NAD+-dependent GDHX;dehydrogenase, glutamate;gdh-2;Surface-associated protein PGAG1;Glu dehydrogenase;NAD-ylGdh2p;NAD-dependent glutamate dehydrogenase;NAD+-dependent GluDH;GLUD1;NAD-glutamate dehydrogenase;NAD-GDH;Pcal_1031;NAD-linked glutamate dehydrogenase;sco2999;hGDH1;GDH3;hGDH2-nerve-specific GDH;GDH isoenzyme 1;GluD;glutamic acid dehydrogenase;L-glutamic acid dehydrogenase;NAD+-specific GDH;gdh-1;NADH-GDH;OsGDH1;NAD-specific glutamate dehydrogenase;NAD(H)-dependent glutamate dehydrogenase;GdhZ;ylGDH2;OsGDH3;Gdh2p;NADH-glutamate dehydrogenase;glutamate dehydrogenase (NAD);OsGDH2;CsGDH;NADH-dependent glutamate dehydrogenase;YALI0E09603g;GLUD2;NAD-dependent glutamic dehydrogenase;AtGDH1;GDH1;RocG;GDHI;NAD+-glutamate dehydrogenase;glutamate dehydrogenase 2;GDHB;house-keeping GDH;More",2113.0,09100 Metabolism,09102 Energy metabolism,00910 Nitrogen metabolism [PATH:ko00910],K15371  GDH2; glutamate dehydrogenase [EC:1.4.1.2],K15371,NAD-specific glutamate dehydrogenase,OTHER,1.4.1.-,1.4.-.-,"Uptake, reduction and assimilation",Glutamate dehydrogenase ,1.4.1.2, (NADH),both,,,,"Uptake, reduction and assimilation",Not Signal
28108.53,IHCOGGJP_02101,CDS,2400602,2402035,+,ccoN1,Cbb3-type cytochrome c oxidase subunit CcoN1,COG:COG3278,1.9.3.1,K00404,"M00156_Cytochrome_c_oxidase,_cbb3-type",,,"3.D.4.3.3|[hydron,proton]",,,,,Alteromonas macleodii 1A3,cytochrome-c oxidase,,,1533.0,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K00404  ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9],K00404,Cbb3-type cytochrome c oxidase subunit CcoN1,OTHER,1.9.3.-,1.9.-.-,Other enzymes relevant to N cycling,Cytochromecoxidase ,1.9.3.1,,both,,,,Other enzymes relevant to N cycling,Not Signal
28108.53,IHCOGGJP_02244,CDS,2543008,2545098,+,,Asp/Glu-specific dipeptidyl-peptidase,,3.4.14.-,,,,,,,,,,Alteromonas macleodii 1A3,,,,,,,,,,Asp_Glu-specific dipeptidyl-peptidase,OTHER,3.4.14.-,3.4.-.-,Proteases,Du/tripeptidyl-peptidases ,3.4.14.x,,both,,,,Proteases,Not Signal
28108.53,IHCOGGJP_02312,CDS,2621368,2622597,+,dapX,putative N-acetyl-LL-diaminopimelate aminotransferase,COG:COG0436,2.6.1.-,,,,,,,,,,Alteromonas macleodii 1A3,,,,,,,,,,putative N-acetyl-LL-diaminopimelate aminotransferase,OTHER,2.6.1.-,2.6.-.-,Transaminases,Transaminases,2.6.1.x,,both,,,,Transaminases,Not Signal
28108.53,IHCOGGJP_02545,CDS,2890437,2892614,-,dapb1,Dipeptidyl aminopeptidase BI,,3.4.14.-,K01354,,,,,,,,,Alteromonas macleodii 1A3,,,,30790.0,09160 Human Diseases,09174 Infectious disease: parasitic,05142 Chagas disease [PATH:ko05142],K01354  ptrB; oligopeptidase B [EC:3.4.21.83],K01354,Dipeptidyl aminopeptidase BI,LIPO,3.4.14.-,3.4.-.-,Proteases,Du/tripeptidyl-peptidases ,3.4.14.x,,both,,,,Proteases,Is Signal
28108.53,IHCOGGJP_02664,CDS,3018799,3020484,+,nadB,L-aspartate oxidase,COG:COG0029,1.4.3.16,K00278,"M00115_NAD_biosynthesis,_aspartate_=>_quinolinate_=>_NAD",,,,Auxin-TAM,,,,Alteromonas macleodii 1A3,L-aspartate oxidase,L-aspartate:oxygen oxidoreductase,"L-Asp oxidase;StLASPO;Tl-LASPO;AO;FIN4;LAO;More;LASPO;At5g14760;oxidase, L-aspartate;nadB",3238.0,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]",K00278  nadB; L-aspartate oxidase [EC:1.4.3.16],K00278,L-aspartate oxidase,OTHER,1.4.3.-,1.4.-.-,D-/L-Amino acid oxidases,L-Aspartate oxidase ,1.4.3.16,,both,,,,D-/L-Amino acid oxidases,Not Signal
