species,symbol,product,logFC,PValue
EZ55,EZ55_01629,mannose-6-phosphate isomerase type 2,1.15047314,0.000216073
EZ55,EZ55_04142,site-specific recombinase XerD,1.159822271,0.002271281
EZ55,EZ55_03713,uncharacterized protein DUF3450,1.160525233,0.02305667
EZ55,EZ55_00331,uncharacterized membrane protein,1.16082018,0.000489282
EZ55,EZ55_04073,drug/metabolite transporter (DMT)-like permease,1.164904147,0.001003471
EZ55,EZ55_03813,putative ABC transport system ATP-binding,1.165748045,0.029108581
EZ55,EZ55_03712,outer membrane transport energization protein,1.166004153,0.020635455
EZ55,EZ55_03728,LSU ribosomal protein L1P,1.167102661,0.035593404
EZ55,EZ55_03081,putative signal transducing protein,1.16886108,0.001360935
EZ55,EZ55_03911,EF hand domain-containing protein,1.172462142,0.00827042
EZ55,EZ55_03702,uncharacterized GH25 family protein,1.172731991,0.002533489
EZ55,EZ55_02782,preprotein translocase subunit SecD,1.175930584,0.004511529
EZ55,EZ55_04210,hypothetical protein,1.176607753,0.004586415
EZ55,EZ55_01631,hypothetical protein,1.179303001,0.016514837
EZ55,EZ55_02754,hypothetical protein,1.180125395,0.004847042
EZ55,EZ55_01230,peroxiredoxin (alkyl hydroperoxide reductase,1.180916185,0.003830855
EZ55,EZ55_03795,OOP family OmpA-OmpF porin,1.181617631,0.003779681
EZ55,EZ55_04130,ribonuclease P protein component,1.184222158,0.032327308
EZ55,EZ55_03926,hypothetical protein,1.185712052,0.007144138
EZ55,EZ55_01836,TetR family transcriptional regulator,1.190773074,0.013741629
EZ55,EZ55_01259,transposase,1.193967135,0.004157193
EZ55,EZ55_01478,molecular chaperone GrpE,1.195144097,0.007632857
EZ55,EZ55_01134,phage shock protein B,1.204363987,0.020251712
EZ55,EZ55_03732,transcription antitermination protein nusG,1.208504805,0.001481945
EZ55,EZ55_03539,hypothetical protein,1.208767146,0.006277555
EZ55,EZ55_04161,uncharacterized protein DUF1624,1.208880355,0.002991483
EZ55,EZ55_03690,ABC-2 type transport system permease protein,1.21382755,0.000993717
EZ55,EZ55_01614,(S)-ureidoglycine-glyoxylate aminotransferase,1.217360865,0.027651068
EZ55,EZ55_02629,DNA polymerase-3 subunit gamma/tau,1.21987227,0.007048632
EZ55,EZ55_04215,hypothetical protein,1.220056724,0.000622886
EZ55,EZ55_03046,UDP-N-acetylmuramate--L-alanine ligase,1.220976503,0.015032495
EZ55,EZ55_01893,L-asparaginase,1.22853161,0.005760066
EZ55,EZ55_02878,hypothetical protein,1.234722448,0.045334724
EZ55,EZ55_01565,Na+/H+-dicarboxylate symporter,1.239395502,3.56E-05
EZ55,EZ55_02945,SET family sugar efflux transporter-like MFS,1.241862867,0.024923512
EZ55,EZ55_03052,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",1.247894361,0.010591007
EZ55,EZ55_01588,CO/xanthine dehydrogenase Mo-binding subunit,1.250974796,0.002965387
EZ55,EZ55_02783,protein translocase subunit yajC,1.252510119,3.28E-05
EZ55,EZ55_01133,phage shock protein A (PspA) family protein,1.261178177,0.017152697
EZ55,EZ55_03573,LSU ribosomal protein L17P,1.261430816,0.029378076
EZ55,EZ55_03617,AsnC family transcriptional regulator,1.264879018,0.000800734
EZ55,EZ55_03047,UDP-N-acetylglucosamine-N-acetylmuramylpentapepti,1.266846405,0.026042881
EZ55,EZ55_04348,TnpA family transposase,1.266898783,0.001421831
EZ55,EZ55_04070,hypothetical protein,1.269770061,0.000966786
EZ55,EZ55_03714,ferric enterobactin receptor,1.270193723,0.009710314
EZ55,EZ55_00816,phospholipid transport system transporter-binding,1.270338546,0.038895933
EZ55,EZ55_04047,protoheme IX farnesyltransferase,1.276682685,0.025845412
EZ55,EZ55_01061,flagellin,1.278541558,0.01152606
EZ55,EZ55_01861,hypothetical protein,1.278908033,0.006746204
EZ55,EZ55_04169,hypothetical protein,1.289323099,0.007630952
EZ55,EZ55_03708,tetratricopeptide repeat protein,1.294572921,0.001337619
EZ55,EZ55_01591,quinol monooxygenase YgiN,1.305084613,0.008095712
EZ55,EZ55_00791,SSU ribosomal protein S9P,1.306221609,0.005329245
EZ55,EZ55_00577,hypothetical protein,1.313431907,0.000324813
EZ55,EZ55_02416,putative DNA modification/repair radical SAM,1.315872591,0.029782187
EZ55,EZ55_04213,hypothetical protein,1.318104598,0.000158042
EZ55,EZ55_03798,putative adhesin,1.318686857,0.001010587
EZ55,EZ55_04352,transposase,1.32168249,0.006106681
EZ55,EZ55_02764,nucleoside diphosphate kinase,1.322358669,0.018939925
EZ55,EZ55_04253,"catechol 2, 3-dioxygenase",1.331729757,0.034634639
EZ55,EZ55_04172,hypothetical protein,1.336644471,0.000286297
EZ55,EZ55_04143,uncharacterized protein DUF1259,1.337139372,5.90E-05
EZ55,EZ55_03809,LSU ribosomal protein L9P,1.341435101,0.00795253
EZ55,EZ55_03689,tRNA G46 methylase TrmB,1.341711436,0.000314956
EZ55,EZ55_04207,cupredoxin-like protein,1.346223405,0.006602842
EZ55,EZ55_01385,transposase IS66-like protein,1.348464267,0.000261208
EZ55,EZ55_01531,LSU ribosomal protein L25P,1.352221021,0.021513477
EZ55,EZ55_01141,leucine dehydrogenase,1.352309264,0.005871001
EZ55,EZ55_02113,uncharacterized protein DUF1259,1.352906215,0.000446736
EZ55,EZ55_04145,hypothetical protein,1.357653817,0.010358073
EZ55,EZ55_04140,DNA replication terminus site binding protein,1.361882226,0.007801577
EZ55,EZ55_02051,UPF0176 protein,1.365053496,0.042066015
EZ55,EZ55_00217,hypothetical protein,1.365371983,9.48E-05
EZ55,EZ55_00907,papain like cysteine protease AvrRpt2,1.370095149,0.048617679
EZ55,EZ55_04044,polysaccharide deacetylase,1.373161773,0.000150793
EZ55,EZ55_01587,hypothetical protein,1.376033561,0.003970419
EZ55,EZ55_02439,lysophospholipase L1-like esterase,1.377754168,0.026285944
EZ55,EZ55_04312,uncharacterized protein DUF1259,1.381780234,5.03E-05
EZ55,EZ55_00312,chemotaxis protein CheD,1.383001707,0.015947691
EZ55,EZ55_02643,predicted secreted protein with PEP-CTERM sorting,1.384585761,0.007627278
EZ55,EZ55_03039,protein translocase subunit secA,1.386970907,0.004461533
EZ55,EZ55_00411,acetylornithine aminotransferase,1.388621419,0.023915263
EZ55,EZ55_01741,2-haloacid dehalogenase,1.389073473,0.004355077
EZ55,EZ55_02785,S-adenosylmethionine--tRNA,1.391062699,0.000512018
EZ55,EZ55_03851,iron complex outermembrane receptor protein,1.399176104,0.014123727
EZ55,EZ55_02755,hypothetical protein,1.39983542,0.014972223
EZ55,EZ55_02115,hypothetical protein,1.401688727,0.007918105
EZ55,EZ55_03810,SSU ribosomal protein S18P,1.419091391,0.002444474
EZ55,EZ55_03540,outer membrane protein TolC,1.421539502,7.28E-06
EZ55,EZ55_02417,DNA polymerase,1.428122695,0.001324458
EZ55,EZ55_01446,tryptophan synthase alpha chain,1.433782346,0.036298678
EZ55,EZ55_02794,rhomboid family protein,1.436091418,4.47E-06
EZ55,EZ55_04049,hypothetical protein,1.438615299,0.007051587
EZ55,EZ55_00574,hypothetical protein,1.439808297,0.001161928
EZ55,EZ55_01615,uncharacterized membrane protein YfcA,1.441370854,0.004392904
EZ55,EZ55_02112,site-specific recombinase XerD,1.446764093,0.000406935
EZ55,EZ55_04242,hypothetical protein,1.44695189,0.002436744
EZ55,EZ55_02970,transposase,1.448174172,0.00300129
EZ55,EZ55_04087,membrane protein YqaA with SNARE-associated,1.450873624,0.003812554
EZ55,EZ55_02075,2-oxoisovalerate dehydrogenase E1 component beta,1.455741524,0.009465766
EZ55,EZ55_04244,IstB-like ATP binding protein,1.46403755,0.028116108
EZ55,EZ55_03007,HD-like signal output (HDOD) protein,1.471175649,4.80E-05
EZ55,EZ55_02074,2-oxoisovalerate dehydrogenase E1 component alpha,1.480496387,0.013827371
EZ55,EZ55_01135,phage shock protein C (PspC) family protein,1.480535703,0.019013601
EZ55,EZ55_03402,"tRNA-U16, U17-dihydrouridine synthase",1.492096229,0.00013287
EZ55,EZ55_03679,aminopeptidase B,1.496950291,2.14E-05
EZ55,EZ55_01229,bacterioferritin-associated ferredoxin,1.510890819,0.012252766
EZ55,EZ55_02787,hypothetical protein,1.514280729,0.025764752
EZ55,EZ55_04255,2-hydroxymuconate semialdehyde hydrolase,1.520849233,0.033303518
EZ55,EZ55_04177,hydrogenase small subunit,1.529949496,2.65E-05
EZ55,EZ55_04314,hypothetical protein,1.535290939,0.001443792
EZ55,EZ55_03212,putative membrane protein,1.538648561,0.020277406
EZ55,EZ55_01002,winged helix-turn helix protein,1.541017517,0.003880022
EZ55,EZ55_02703,type IV pilus assembly protein PilE,1.544645334,0.003601221
EZ55,EZ55_01859,outer membrane receptor protein involved in Fe,1.546551107,0.014658422
EZ55,EZ55_04218,serine/threonine-protein kinase HipA,1.547680997,2.69E-06
EZ55,EZ55_03871,hypothetical protein,1.552408772,0.032053965
EZ55,EZ55_00313,two-component system chemotaxis response,1.553752833,0.004264605
EZ55,EZ55_04254,2-hydroxymuconate semialdehyde dehydrogenase,1.559857769,0.021533725
EZ55,EZ55_03799,hypothetical protein,1.561777977,5.44E-05
EZ55,EZ55_00911,hypothetical protein,1.563091915,0.024373467
EZ55,EZ55_01616,gamma-glutamyltranspeptidase/glutathione,1.575667663,0.004385915
EZ55,EZ55_01803,tRNA pseudouridine synthase B,1.583285423,0.00323918
EZ55,EZ55_02609,imidazole glycerol phosphate synthase subunit,1.586244057,0.047603499
EZ55,EZ55_02863,hypothetical protein,1.586597386,3.89E-07
EZ55,EZ55_02298,D-alanine transaminase,1.593180054,0.012004354
EZ55,EZ55_04152,hypothetical protein,1.597104887,0.042039708
EZ55,EZ55_02793,glutathionylspermidine synthase,1.602637604,0.000642589
EZ55,EZ55_03051,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alani,1.605391076,0.00625051
EZ55,EZ55_01459,hypothetical protein,1.60543234,0.002368235
EZ55,EZ55_02307,uncharacterized protein DUF3718,1.611463944,0.000691825
EZ55,EZ55_00431,GST-like protein,1.637621653,0.00184427
EZ55,EZ55_03491,isopenicillin N synthase-like dioxygenase,1.640098263,0.000275625
EZ55,EZ55_04088,hypothetical protein,1.646320092,4.43E-08
EZ55,EZ55_02904,carboxymethylenebutenolidase,1.648498006,0.004813863
EZ55,EZ55_03893,DeoR family transcriptional regulator,1.649994635,0.001506751
EZ55,EZ55_00800,magnesium transporter,1.671519927,0.001726642
EZ55,EZ55_03938,chaperonin GroEL,1.680747369,0.00015274
EZ55,EZ55_03161,iron complex outermembrane receptor protein,1.694021132,3.35E-05
EZ55,EZ55_00439,N-acetylglutamate synthase,1.713026036,0.018784673
EZ55,EZ55_00385,hypothetical protein,1.719149936,0.003651603
EZ55,EZ55_02792,uncharacterized protein YgiB involved in biofilm,1.720847928,6.11E-05
EZ55,EZ55_01599,xanthine dehydrogenase small subunit,1.726084898,0.000675031
EZ55,EZ55_03005,putative salt-induced outer membrane protein,1.729977322,4.70E-08
EZ55,EZ55_03943,peptidase M23-like protein,1.733629858,0.027219491
EZ55,EZ55_03630,NADPH-glutathione reductase,1.739375532,0.016537764
EZ55,EZ55_04241,putative transposase,1.741180962,7.19E-05
EZ55,EZ55_00441,argininosuccinate synthase,1.750545819,0.039308224
EZ55,EZ55_01480,molecular chaperone DnaJ,1.751344401,4.66E-06
EZ55,EZ55_04238,IS5 family transposase,1.751854359,3.63E-06
EZ55,EZ55_03812,hypothetical protein,1.763945074,0.017828836
EZ55,EZ55_03691,ABC-2 type transport system ATP-binding protein,1.769999974,1.77E-06
EZ55,EZ55_04179,hypothetical protein,1.770294568,7.44E-05
EZ55,EZ55_00662,hypothetical protein,1.781556661,3.48E-05
EZ55,EZ55_03430,hypothetical protein,1.79048055,0.004042087
EZ55,EZ55_02982,glucosamine kinase,1.791505552,0.008377639
EZ55,EZ55_04220,hypothetical protein,1.792179578,0.000176706
EZ55,EZ55_03049,UDP-N-acetylmuramoylalanine--D-glutamate ligase,1.795195698,0.034745646
EZ55,EZ55_00326,outer membrane receptor protein involved in Fe,1.804023744,8.37E-05
EZ55,EZ55_00172,serine O-acetyltransferase,1.808902069,0.003391009
EZ55,EZ55_03050,phospho-N-acetylmuramoyl-pentapeptide-transferase,1.80991997,0.008651897
EZ55,EZ55_02316,SEC-C motif-containing protein,1.815181383,0.001660355
