symbol,product,logFC,PValue
EZ55_01792,TonB-dependent receptor-like protein,1.054313772,1.30E-05
EZ55_04223,DNA invertase Pin-like site-specific DNA,1.054390115,5.32E-17
EZ55_00432,hypothetical protein,1.056641873,4.48E-06
EZ55_03941,periplasmic divalent cation tolerance protein,1.056964986,3.47E-05
EZ55_01029,diguanylate cyclase (GGDEF)-like protein,1.065541994,3.50E-17
EZ55_01222,transposase InsO family protein,1.065911588,2.36E-19
EZ55_02895,predicted transcriptional regulator,1.072161071,7.97E-10
EZ55_01831,putative thiamine transport system ATP-binding,1.074738824,7.07E-06
EZ55_03117,homoserine kinase,1.076317876,6.50E-07
EZ55_00391,ammonium transporter,1.077403506,0.000850098
EZ55_01463,Beta-barrel assembly machine subunit BamE,1.079325993,2.89E-07
EZ55_04133,ParB family chromosome partitioning protein,1.079932587,4.11E-08
EZ55_01439,"D-erythro-7, 8-dihydroneopterin triphosphate epimerase",1.080806844,4.55E-12
EZ55_03132,winged helix family two component transcriptional,1.081618237,3.57E-07
EZ55_02789,voltage-gated potassium channel,1.082355857,2.68E-09
EZ55_01826,outer membrane receptor protein involved in Fe,1.086779445,0.001912811
EZ55_00117,thiazole-phosphate synthase,1.087313628,1.52E-08
EZ55_00160,RimK-like ATP-grasp domain-containing protein,1.087493887,1.25E-08
EZ55_04342,glutaredoxin,1.088195535,5.92E-05
EZ55_02409,6-phosphogluconolactonase,1.088625159,1.13E-09
EZ55_02906,hypothetical protein,1.088959263,0.005841513
EZ55_00214,DeoR family transcriptional regulator,1.089047316,1.17E-11
EZ55_00316,CheA signal transduction histidine kinase,1.091146511,4.01E-06
EZ55_00893,formiminoglutamase,1.092066364,5.24E-10
EZ55_00023,hypothetical protein,1.094238733,1.14E-13
EZ55_00600,lipoprotein NlpD,1.095620266,2.25E-07
EZ55_02773,BadM/Rrf2 family transcriptional regulator,1.096009462,2.91E-12
EZ55_02314,membrane protein YqaA with SNARE-associated,1.096443804,6.71E-06
EZ55_00659,HAD superfamily hydrolase (TIGR01509 family),1.09650242,4.11E-16
EZ55_02058,DNA-binding transcriptional LysR family,1.096988316,2.05E-14
EZ55_00526,hypothetical protein,1.097157335,1.88E-15
EZ55_02308,uncharacterized membrane protein,1.098933577,7.84E-08
EZ55_03851,iron complex outermembrane receptor protein,1.099380644,1.75E-07
EZ55_00797,spondin N,1.100026002,0.000991721
EZ55_02410,glucose-6-phosphate 1-dehydrogenase,1.100382691,2.13E-14
EZ55_04309,hypothetical protein,1.100519471,2.65E-09
EZ55_00209,platelet-activating factor acetylhydrolase,1.105575955,3.33E-09
EZ55_03011,transcriptional regulator,1.107700007,8.04E-10
EZ55_03520,hypothetical protein,1.112991437,0.00115057
EZ55_01925,uncharacterized protein DUF2878,1.116623572,6.94E-10
EZ55_02877,choline dehydrogenase,1.12246149,2.62E-06
EZ55_02615,signal peptidase I,1.123197428,5.51E-15
EZ55_03692,winged helix family two component transcriptional,1.124918511,2.32E-10
EZ55_02980,N-acetylglucosamine 6-phosphate deacetylase,1.131559046,4.81E-06
EZ55_00212,TonB-dependent receptor,1.132092289,2.45E-07
EZ55_01866,hypothetical protein,1.133218671,8.22E-11
EZ55_03007,HD-like signal output (HDOD) protein,1.133758491,6.17E-18
EZ55_03875,hypothetical protein,1.136652828,4.58E-08
EZ55_02947,hypothetical protein,1.137058681,4.15E-06
EZ55_03418,predicted DCC family thiol-disulfide,1.139365344,1.83E-06
EZ55_01783,Fur family zinc uptake transcriptional regulator,1.1393658,7.36E-07
EZ55_03521,hypothetical protein,1.139809378,2.51E-06
EZ55_02930,sortase A,1.140489405,0.001399912
EZ55_02772,cysteine desulfurase IscS,1.141418613,9.67E-14
EZ55_03747,fucose permease,1.141735632,0.003894558
EZ55_02299,biotin-dependent carboxylase-like uncharacterized,1.142699601,2.50E-08
EZ55_02318,NADPH:quinone reductase-like Zn-dependent,1.14426087,4.03E-08
EZ55_00326,outer membrane receptor protein involved in Fe,1.151813653,7.39E-12
EZ55_04194,hypothetical protein,1.154475462,1.79E-19
EZ55_02160,5-histidylcysteine sulfoxide synthase/putative,1.154497401,3.21E-08
EZ55_03494,MAPEG family protein,1.159855847,3.20E-09
EZ55_00867,hypothetical protein,1.162008878,4.49E-16
EZ55_03051,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alani,1.16536492,4.30E-08
EZ55_04085,hypothetical protein,1.167182219,8.45E-16
EZ55_00384,hypothetical protein,1.168268519,1.27E-07
EZ55_03041,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine,1.169986491,5.26E-12
EZ55_03365,uncharacterized membrane protein YdjX,1.171696601,0.000528903
EZ55_04141,plasmid replication DNA-binding protein KfrA,1.175908182,1.50E-11
EZ55_04246,hypothetical protein,1.175998455,6.43E-05
EZ55_00161,uncharacterized protein DUF3300,1.177194142,0.000715299
EZ55_03212,putative membrane protein,1.177199316,9.81E-07
EZ55_00060,lipid A 3-O-deacylase PagL,1.178251488,2.39E-05
EZ55_00282,hypothetical protein,1.179405137,1.99E-15
EZ55_01929,DNA topoisomerase-1,1.180041238,2.47E-16
EZ55_03996,outer membrane protein with beta-barrel domain,1.180858154,0.00026788
EZ55_03430,hypothetical protein,1.181340775,1.57E-07
EZ55_01589,isoquinoline 1-oxidoreductase alpha subunit,1.184198454,1.33E-15
EZ55_04140,DNA replication terminus site binding protein,1.187690914,1.74E-10
EZ55_00319,methyl-accepting chemotaxis sensory transducer,1.189496754,1.11E-09
EZ55_01922,hemerythrin HHE cation binding domain-containing,1.193632367,0.000523591
EZ55_00698,hypothetical protein,1.200273589,8.52E-11
EZ55_03865,uncharacterized protein YjbJ (UPF0337 family),1.202780649,3.12E-05
EZ55_00869,hemolysin III,1.203469281,1.62E-16
EZ55_03097,branched-subunit amino acid transport protein,1.211528746,0.000748243
EZ55_00765,thiol:disulfide interchange protein DsbC,1.213746331,5.21E-07
EZ55_00121,hydroxymethylpyrimidine synthase,1.21470035,8.23E-19
EZ55_01631,hypothetical protein,1.217448958,1.11E-11
EZ55_03942,thiol:disulfide interchange protein DsbD,1.218060075,7.54E-06
EZ55_02657,hypothetical protein,1.223216739,2.03E-07
EZ55_02905,hypothetical protein,1.225165474,0.004152108
EZ55_00120,thiamine-phosphate diphosphorylase,1.225807201,2.39E-14
EZ55_02408,6-phosphogluconate dehydratase,1.226076223,3.57E-09
EZ55_02422,galactosyltransferase-like protein,1.232980661,0.000355332
EZ55_03797,hypothetical protein,1.237806362,2.26E-08
EZ55_02385,hypothetical protein,1.238287798,2.94E-07
EZ55_00866,hypothetical protein,1.240902955,1.58E-16
EZ55_03120,S-(hydroxymethyl)glutathione,1.246122119,3.15E-06
EZ55_03862,hypothetical protein,1.24633162,1.56E-23
EZ55_00815,phospholipid transport system substrate-binding,1.246815056,3.68E-09
EZ55_01891,nitroreductase,1.246843544,6.47E-07
EZ55_00300,cobalt-zinc-cadmium efflux system membrane fusion,1.248247602,1.89E-08
EZ55_00019,uncharacterized protein DUF2188,1.248784934,7.61E-09
EZ55_03765,hypothetical protein,1.254002729,5.96E-08
EZ55_00204,UDPglucose--hexose-1-phosphate,1.265811875,5.73E-06
EZ55_02936,hypothetical protein,1.271649897,0.000245316
EZ55_03116,L-threonine synthase,1.272862659,9.87E-09
EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,1.275250789,1.07E-21
EZ55_02484,small conductance mechanosensitive channel,1.282573473,6.91E-16
EZ55_03279,mannose-6-phosphate isomerase-like protein (cupin,1.282749836,1.78E-10
EZ55_04220,hypothetical protein,1.282799212,2.36E-13
EZ55_00799,DNA-binding response OmpR family regulator,1.283115409,0.000594909
EZ55_00897,histidine ammonia-lyase,1.286665316,2.06E-07
EZ55_01592,PAS domain S-box-containing protein/diguanylate,1.289044828,2.35E-13
EZ55_02383,hypothetical protein,1.292097493,2.72E-05
EZ55_02929,Ca-activated chloride channel family protein,1.297819008,0.000156069
EZ55_00877,peroxiredoxin,1.30602796,1.49E-14
EZ55_01507,TetR family transcriptional regulator,1.310310544,1.20E-23
EZ55_00879,uncharacterized protein DUF3718,1.310867918,3.33E-09
EZ55_03518,hypothetical protein,1.310986898,0.001466389
EZ55_01861,hypothetical protein,1.311549031,3.69E-14
EZ55_04084,DUF3014 family protein,1.320939481,1.82E-15
EZ55_00385,hypothetical protein,1.322343755,6.62E-10
EZ55_03611,outer membrane protein with beta-barrel domain,1.325365139,2.20E-08
EZ55_01830,putative thiamine transport system permease,1.327333687,3.61E-06
EZ55_00870,hypothetical protein,1.327577049,1.40E-17
EZ55_01444,general stress protein 26,1.329343612,6.19E-06
EZ55_00477,hypothetical protein,1.330996551,6.56E-17
EZ55_01059,flagellin,1.333591723,5.10E-18
EZ55_02937,peroxiredoxin,1.33557515,5.62E-05
EZ55_04310,plasmid replication DNA-binding protein KfrA,1.337383923,3.51E-13
EZ55_00548,toxin YoeB,1.338789222,2.06E-13
EZ55_03859,DUF2892 family protein,1.339398378,4.72E-12
EZ55_02379,hypothetical protein,1.341166192,2.03E-09
EZ55_00299,cobalt-zinc-cadmium resistance protein CzcA,1.34636375,2.20E-09
EZ55_03933,transposase-like protein,1.352367322,4.69E-51
EZ55_01459,hypothetical protein,1.353080115,1.59E-12
EZ55_00297,hypothetical protein,1.354704483,6.31E-08
EZ55_03013,pyruvate dehydrogenase E2 component,1.355789656,8.40E-10
EZ55_02120,hydroxyacylglutathione hydrolase,1.356780535,5.18E-16
EZ55_04007,hypothetical protein,1.36145248,6.18E-15
EZ55_03512,serine protease AprX,1.365305112,0.000414695
EZ55_03096,peptide-methionine (S)-S-oxide reductase,1.366571512,0.000167376
EZ55_02300,KipI family sensor histidine kinase inhibitor,1.368925718,3.53E-12
EZ55_00118,sulfur carrier protein ThiS,1.372264434,1.62E-05
EZ55_01397,hypothetical protein,1.373250557,6.34E-08
EZ55_03363,opacity protein-like surface antigen,1.379011087,0.000256793
EZ55_00694,vitamin B12 transporter,1.3810818,4.89E-21
EZ55_02982,glucosamine kinase,1.386624623,2.16E-08
EZ55_00894,imidazolonepropionase,1.38701201,1.07E-12
EZ55_00550,mRNA interferase RelE/StbE,1.388473253,3.27E-11
EZ55_04045,acetyltransferase (GNAT) family protein,1.393502437,2.72E-19
EZ55_01829,putative thiamine transport system,1.393584927,0.000223164
EZ55_04354,hypothetical protein,1.394133626,1.27E-15
EZ55_00895,GntR family transcriptional regulator (histidine,1.398341439,1.26E-09
EZ55_01162,YKOF-related protein,1.39926111,6.95E-14
EZ55_01511,hypothetical protein,1.403658158,2.37E-19
EZ55_00671,hypothetical protein,1.405630187,3.72E-15
EZ55_01692,methylglutaconyl-CoA hydratase,1.410366884,5.35E-08
EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,1.41063349,1.46E-09
EZ55_02919,protease I,1.411352752,9.35E-05
EZ55_03098,4-azaleucine resistance transporter AzlC,1.411660756,6.17E-07
EZ55_00279,hypothetical protein,1.419880982,1.28E-28
EZ55_02087,S41A family C-terminal processing peptidase-1,1.422836672,1.85E-22
EZ55_01665,hypothetical protein,1.423382721,1.91E-21
EZ55_01193,hypothetical protein,1.434439133,2.45E-25
EZ55_01135,phage shock protein C (PspC) family protein,1.460427959,1.71E-10
EZ55_00906,hypothetical protein,1.462373703,2.33E-06
EZ55_04247,integrase-like protein,1.471211977,2.92E-06
EZ55_03126,ArsR family transcriptional regulator,1.472477349,1.83E-09
EZ55_02876,betaine aldehyde dehydrogenase,1.479244624,1.30E-05
EZ55_01691,3-methylcrotonyl-CoA carboxylase alpha subunit,1.481257837,4.78E-07
EZ55_01825,hypothetical protein,1.497335213,9.91E-08
EZ55_02601,hypothetical protein,1.498485279,4.86E-29
EZ55_03127,protein tyrosine phosphatase,1.498975706,6.36E-07
EZ55_02692,RseA-like anti sigma(E) protein,1.499717842,5.40E-23
EZ55_00924,hypothetical protein,1.5038977,3.82E-18
EZ55_02129,bacterioferritin,1.50602769,1.15E-14
EZ55_00303,predicted transcriptional regulator,1.509786269,2.50E-23
EZ55_01269,RNA polymerase RpoE-like sigma-24 subunit,1.51121569,1.22E-07
EZ55_04046,protein SCO1/2,1.51657316,2.30E-26
EZ55_02421,hypothetical protein,1.516674689,5.78E-10
EZ55_01790,predicted small secreted protein,1.518093108,8.48E-07
EZ55_03024,cell division protein ZapD,1.518465701,4.39E-22
EZ55_02878,hypothetical protein,1.525262197,1.09E-11
EZ55_01890,DoxX-like protein,1.529067588,4.06E-05
EZ55_00205,galactokinase,1.535313223,5.58E-07
EZ55_00528,Rof transcriptional antiterminator,1.535976575,1.01E-20
EZ55_03414,DUF2884 family protein,1.545911797,2.27E-14
EZ55_00865,RNA polymerase sigma-70 factor (ECF subfamily),1.548610942,2.80E-18
EZ55_04217,hypothetical protein,1.55081653,1.18E-25
EZ55_04082,hypothetical protein,1.552231421,5.71E-11
EZ55_03128,arsenic resistance protein ArsH,1.552781284,3.58E-08
EZ55_00896,urocanate hydratase,1.561414547,3.02E-10
EZ55_01268,uncharacterized protein DUF3379,1.562706829,1.41E-06
EZ55_00022,hypothetical protein,1.584813534,1.08E-16
EZ55_02854,hypothetical protein,1.585062884,3.22E-08
EZ55_02786,hypothetical protein,1.592834223,1.65E-17
EZ55_01828,uncharacterized protein DUF547,1.594658727,5.74E-05
EZ55_00021,lecithin:retinol acyltransferase,1.604433127,1.01E-12
EZ55_04222,hypothetical protein,1.606518156,2.15E-24
EZ55_02412,pyruvate kinase,1.611181938,3.51E-21
EZ55_03953,secreted protein,1.611969345,2.87E-18
EZ55_02632,hypothetical protein,1.618293936,1.60E-06
EZ55_02128,bacterioferritin,1.621349453,2.21E-17
EZ55_00302,peptidase M48-like protein,1.624843369,7.31E-27
EZ55_01277,hypothetical protein,1.626739268,3.24E-12
EZ55_03014,pyruvate dehydrogenase E1 component,1.627465956,8.17E-18
EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,1.628841887,2.93E-05
EZ55_01947,antitoxin CcdA,1.63207159,4.39E-35
EZ55_00317,CheW protein,1.634846907,7.58E-10
EZ55_01465,starvation-inducible DNA-binding protein,1.643176815,8.10E-08
EZ55_04216,hypothetical protein,1.643843491,4.77E-21
EZ55_01827,pyruvate/2-oxoglutarate dehydrogenase complex,1.649278202,4.13E-05
EZ55_03376,EF hand domain-containing protein,1.661296177,1.08E-05
EZ55_02312,sulfoxide reductase catalytic subunit YedY,1.669247963,1.13E-05
EZ55_01791,mechanosensitive ion channel-like protein,1.672626476,1.69E-07
EZ55_01133,phage shock protein A (PspA) family protein,1.678665598,2.53E-18
EZ55_00876,group II intron reverse transcriptase/maturase,1.686458141,3.03E-26
EZ55_04341,DUF305 family protein family protein,1.689392052,8.59E-10
EZ55_00318,methyl-accepting chemotaxis sensory transducer,1.696859101,3.92E-10
EZ55_02855,outer membrane receptor protein involved in Fe,1.698705823,9.91E-05
EZ55_00699,DUF3016 family protein,1.702141854,1.15E-16
EZ55_04083,hypothetical protein,1.71152985,4.11E-07
EZ55_02853,hypothetical protein,1.717588397,4.50E-11
EZ55_03195,OprB family porin,1.718973179,6.49E-27
EZ55_04234,hypothetical protein,1.71970387,4.35E-29
EZ55_00301,cobalt-zinc-cadmium efflux system outer membrane,1.722701197,7.25E-16
EZ55_04221,hypothetical protein,1.722862059,1.73E-25
EZ55_01134,phage shock protein B,1.724733439,6.15E-20
EZ55_02983,hexosaminidase,1.725505106,1.28E-10
EZ55_01512,hypothetical protein,1.726673364,1.22E-23
EZ55_02346,Rho termination factor-like protein,1.730560826,9.56E-13
EZ55_02565,predicted acylesterase/phospholipase RssA,1.73404299,2.34E-17
EZ55_02591,EF hand domain-containing protein,1.736838196,1.94E-07
EZ55_00298,HupE/UreJ protein,1.74915336,4.73E-12
EZ55_02418,osmotically-inducible protein OsmY,1.749184885,2.28E-07
EZ55_03401,hypothetical protein,1.75352919,1.06E-12
EZ55_04314,hypothetical protein,1.762893217,9.49E-24
EZ55_03762,fructokinase,1.766722759,5.83E-08
EZ55_02598,hypothetical protein,1.777193612,5.17E-06
EZ55_02693,RNA polymerase RpoE-like sigma-24 subunit,1.780616574,4.69E-34
EZ55_03263,HlyD family secretion protein,1.802969568,1.77E-30
EZ55_03389,hypothetical protein,1.804963389,2.42E-22
EZ55_01932,glutamate-5-semialdehyde dehydrogenase,1.80574112,9.57E-10
EZ55_01928,hypothetical protein,1.823588028,1.13E-09
EZ55_03852,uncharacterized protein DUF2796,1.826195715,1.74E-09
EZ55_01353,predicted patatin/cPLA2 family phospholipase,1.827262735,1.99E-11
EZ55_02567,uncharacterized protein DUF3592,1.836316944,2.57E-12
EZ55_01931,glutamate 5-kinase,1.849398709,5.92E-12
EZ55_03799,hypothetical protein,1.851037829,3.80E-38
EZ55_03798,putative adhesin,1.8523701,1.72E-36
EZ55_00551,hypothetical protein,1.869449706,1.65E-21
EZ55_01910,hypothetical protein,1.869918516,3.05E-08
EZ55_03015,GntR family transcriptional regulator,1.872488994,1.53E-22
EZ55_02169,modulator of FtsH protease,1.882410784,3.21E-28
EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,1.883422643,3.88E-36
EZ55_00506,starvation-inducible DNA-binding protein,1.888371909,3.19E-15
EZ55_00020,hypothetical protein,1.905146602,1.29E-15
EZ55_02404,glyceraldehyde-3-phosphate dehydrogenase (NAD+),1.920250823,3.44E-15
EZ55_00549,antitoxin YefM,1.923591598,4.98E-25
EZ55_03362,catalase-peroxidase,1.946141323,2.52E-12
EZ55_02568,hypothetical protein,1.950141121,4.90E-17
EZ55_00798,spondin N,1.951911964,3.87E-06
EZ55_01221,transposase,1.955588024,8.35E-23
EZ55_01930,SSS family solute:Na+ symporter,1.979352247,9.94E-15
EZ55_00070,transposase,1.987268463,3.35E-45
EZ55_01061,flagellin,2.023929285,9.20E-28
EZ55_02501,sucrose phosphorylase,2.025926396,4.85E-07
