gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
MASE_RS00055,,MASE_RS00055,MASE_00055,Protein Homology,13322,13783,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_014947718.1,,,,,,MASE_00055,
yihI,yihI,MASE_RS00060,MASE_00060,Protein Homology,13803,14306,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_014947719.1,,,,,,MASE_00060,
MASE_RS00065,,MASE_RS00065,MASE_00065,Protein Homology,14434,15135,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947720.1,class I SAM-dependent methyltransferase,WP_014947720.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,MASE_00065,"2.1.-.-,2.1.1.-"
MASE_RS00070,,MASE_RS00070,MASE_00070,Protein Homology,15436,16059,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,c-type cytochrome,WP_014947721.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MASE_00070,
yihA,yihA,MASE_RS00075,MASE_00075,Protein Homology,16234,16869,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975249.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_014947722.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,MASE_00075,
polA,polA,MASE_RS00080,MASE_00080,Protein Homology,17286,20078,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516538.1,DNA polymerase I,WP_014947723.1,"GO:0006261,GO:0003676,GO:0003677,GO:0003887,GO:0008408",,"nucleic acid binding|0003676||IEA,DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA-templated DNA replication|0006261||IEA,,MASE_00080,2.7.7.7
elbB,elbB,MASE_RS00085,MASE_00085,Protein Homology,20500,21153,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975251.1,isoprenoid biosynthesis glyoxalase ElbB,WP_014947724.1,,,,,,MASE_00085,4.2.1.-
MASE_RS00090,,MASE_RS00090,MASE_00090,Protein Homology,21419,22870,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516540.1,TrkH family potassium uptake protein,WP_014947725.1,"GO:0015379,GO:0016020",membrane|0016020||IEA,potassium:chloride symporter activity|0015379||IEA,,,MASE_00090,
trkA,trkA,MASE_RS00095,MASE_00095,Protein Homology,22984,24363,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982135.1,Trk system potassium transporter TrkA,WP_014947726.1,"GO:0006813,GO:0015079,GO:0016020",membrane|0016020||IEA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA,,MASE_00095,
rsmB,rsmB,MASE_RS00100,MASE_00100,Protein Homology,24428,25747,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975252.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_014947727.1,"GO:0001510,GO:0006355,GO:0006364,GO:0003723,GO:0008649",,"RNA binding|0003723||IEA,rRNA methyltransferase activity|0008649||IEA","RNA methylation|0001510||IEA,regulation of DNA-templated transcription|0006355||IEA,rRNA processing|0006364||IEA",,MASE_00100,2.1.1.176
fmt,fmt,MASE_RS00105,MASE_00105,Protein Homology,25750,26700,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947728.1,methionyl-tRNA formyltransferase,WP_014947728.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,,MASE_00105,2.1.2.9
def,def,MASE_RS00110,MASE_00110,Protein Homology,26709,27218,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982132.1,peptide deformylase,WP_014947729.1,"GO:0036211,GO:0042586",,peptide deformylase activity|0042586||IEA,protein modification process|0036211||IEA,,MASE_00110,3.5.1.88
MASE_RS00115,,MASE_RS00115,MASE_00115,Protein Homology,27435,28508,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516545.1,LysM peptidoglycan-binding domain-containing protein,WP_014947730.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,,MASE_00115,
dprA,dprA,MASE_RS00120,MASE_00120,Protein Homology,28548,29657,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947731.1,DNA-processing protein DprA,WP_014947731.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,MASE_00120,
MASE_RS00125,,MASE_RS00125,MASE_00125,Protein Homology,29659,30135,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107314.1,DUF494 family protein,WP_014947732.1,,,,,,MASE_00125,
MASE_RS00130,,MASE_RS00130,MASE_00130,Protein Homology,30221,30763,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977866.1,DNA topoisomerase family protein,WP_014947733.1,"GO:0006265,GO:0003677,GO:0003917",,"DNA binding|0003677||IEA,DNA topoisomerase type I (single strand cut%2C ATP-independent) activity|0003917||IEA",DNA topological change|0006265||IEA,,MASE_00130,5.6.2.1
tsaC,tsaC,MASE_RS00135,MASE_00135,Protein Homology,30808,31413,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947734.1,L-threonylcarbamoyladenylate synthase type 1 TsaC,WP_014947734.1,"GO:0002949,GO:0003725,GO:0005524",,"double-stranded RNA binding|0003725||IEA,ATP binding|0005524||IEA",tRNA threonylcarbamoyladenosine modification|0002949||IEA,,MASE_00135,2.7.7.87
hemF,hemF,MASE_RS00140,MASE_00140,Protein Homology,31410,32342,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996781.1,oxygen-dependent coproporphyrinogen oxidase,WP_014947735.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,MASE_00140,1.3.3.3
MASE_RS00145,,MASE_RS00145,MASE_00145,Protein Homology,32576,33256,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516551.1,OmpW family outer membrane protein,WP_014947736.1,GO:0019867,outer membrane|0019867||IEA,,,,MASE_00145,
MASE_RS00150,,MASE_RS00150,MASE_00150,Protein Homology,33381,33812,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977869.1,group II truncated hemoglobin,WP_014947737.1,"GO:0005344,GO:0019825,GO:0020037,GO:0046872",,"oxygen carrier activity|0005344||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MASE_00150,
aroE,aroE,MASE_RS00155,MASE_00155,Protein Homology,33811,34650,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516553.1,shikimate dehydrogenase,WP_014947738.1,"GO:0019632,GO:0004764",,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA,,MASE_00155,1.1.1.25
MASE_RS00160,,MASE_RS00160,MASE_00160,Protein Homology,34647,35189,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947739.1,gamma carbonic anhydrase family protein,WP_014947739.1,GO:0046872,,metal ion binding|0046872||IEA,,,MASE_00160,4.2.1.-
MASE_RS00165,,MASE_RS00165,MASE_00165,Protein Homology,35534,36445,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996786.1,UDP-N-acetylglucosamine 2-epimerase,WP_014947740.1,,,,,,MASE_00165,
MASE_RS00185,,MASE_RS00185,MASE_00170,Protein Homology,41731,42261,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947741.1,acyloxyacyl hydrolase,WP_014947741.1,,,,,,MASE_00170,3.1.1.77
MASE_RS00190,,MASE_RS00190,MASE_00175,Protein Homology,42398,43228,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975263.1,substrate-binding periplasmic protein,WP_014947742.1,,,,,,MASE_00175,
MASE_RS00195,,MASE_RS00195,MASE_00180,Protein Homology,43209,44000,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975264.1,hypothetical protein,WP_014947743.1,,,,,,MASE_00180,
MASE_RS00200,,MASE_RS00200,MASE_00185,Protein Homology,44142,47231,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516560.1,error-prone DNA polymerase,WP_014947744.1,"GO:0006260,GO:0003887,GO:0008408",,"DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA replication|0006260||IEA,,MASE_00185,2.7.7.7
MASE_RS00205,,MASE_RS00205,MASE_00190,Protein Homology,47268,48755,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996790.1,Y-family DNA polymerase,WP_014947745.1,"GO:0006260,GO:0006281,GO:0003684,GO:0003887,GO:0046872",,"damaged DNA binding|0003684||IEA,DNA-directed DNA polymerase activity|0003887||IEA,metal ion binding|0046872||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA",,MASE_00190,2.7.7.7
MASE_RS00210,,MASE_RS00210,MASE_00195,Protein Homology,48755,49507,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065854.1,recombinase RecA,WP_014947746.1,,,,,,MASE_00195,
MASE_RS00215,,MASE_RS00215,MASE_00200,Protein Homology,49755,50267,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947747.1,hypothetical protein,WP_014947747.1,,,,,,MASE_00200,
MASE_RS00220,,MASE_RS00220,MASE_00205,Protein Homology,50270,52021,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977880.1,DUF885 domain-containing protein,WP_014947748.1,,,,,,MASE_00205,
MASE_RS00225,,MASE_RS00225,MASE_00210,Protein Homology,52060,52395,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 family protein,WP_014947749.1,,,,,,MASE_00210,
MASE_RS00230,,MASE_RS00230,MASE_00215,Protein Homology,52585,54222,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996794.1,M28 family metallopeptidase,WP_014947750.1,"GO:0008237,GO:0008270,GO:0016020",membrane|0016020||IEA,"metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",,,MASE_00215,3.4.-.-
slmA,slmA,MASE_RS00235,MASE_00220,Protein Homology,54466,55053,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996795.1,nucleoid occlusion factor SlmA,WP_012516568.1,"GO:0010974,GO:0003677",,DNA binding|0003677||IEA,negative regulation of division septum assembly|0010974||IEA,,MASE_00220,
coaBC,coaBC,MASE_RS00240,MASE_00225,Protein Homology,55169,56398,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_014947751.1,"GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181",,"phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA","coenzyme A biosynthetic process|0015937||IEA,pantothenate catabolic process|0015941||IEA",,MASE_00225,"4.1.1.36,6.3.2.5"
radC,radC,MASE_RS00245,MASE_00230,Protein Homology,56608,57285,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947752.1,RadC family protein,WP_014947752.1,,,,,,MASE_00230,
MASE_RS00250,,MASE_RS00250,MASE_00235,Protein Homology,57378,57731,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977885.1,hypothetical protein,WP_014947753.1,,,,,,MASE_00235,
MASE_RS00255,,MASE_RS00255,MASE_00240,Protein Homology,57826,58515,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947754.1,YjbF family lipoprotein,WP_014947754.1,,,,,,MASE_00240,
MASE_RS00260,,MASE_RS00260,MASE_00245,Protein Homology,58515,59264,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996800.1,capsule biosynthesis GfcC family protein,WP_014947755.1,,,,,,MASE_00245,
MASE_RS00265,,MASE_RS00265,MASE_00250,Protein Homology,59368,61362,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008845246.1,YjbH domain-containing protein,WP_014947756.1,GO:0016020,membrane|0016020||IEA,,,,MASE_00250,
rpmB,rpmB,MASE_RS00270,MASE_00255,Protein Homology,61700,61936,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,WP_014947757.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,MASE_00255,
rpmG,rpmG,MASE_RS00275,MASE_00260,Protein Homology,61948,62103,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011470150.1,50S ribosomal protein L33,WP_012516577.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,MASE_00260,
MASE_RS00280,,MASE_RS00280,MASE_00265,Protein Homology,62370,62834,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977888.1,hypothetical protein,WP_014947758.1,,,,,,MASE_00265,
mutM,mutM,MASE_RS00285,MASE_00270,Protein Homology,62835,63644,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996803.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_014947759.1,"GO:0006281,GO:0006284,GO:0003676,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0016799,GO:0019104",,"nucleic acid binding|0003676||IEA,damaged DNA binding|0003684||IEA,DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA,zinc ion binding|0008270||IEA,oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,DNA N-glycosylase activity|0019104||IEA","DNA repair|0006281||IEA,base-excision repair|0006284||IEA",,MASE_00270,"3.2.2.23,4.2.99.18"
coaD,coaD,MASE_RS00290,MASE_00275,Protein Homology,63663,64151,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996804.1,pantetheine-phosphate adenylyltransferase,WP_014947760.1,"GO:0015937,GO:0004595",,pantetheine-phosphate adenylyltransferase activity|0004595||IEA,coenzyme A biosynthetic process|0015937||IEA,,MASE_00275,2.7.7.3
MASE_RS00295,,MASE_RS00295,MASE_00280,Protein Homology,64250,64972,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996805.1,3-deoxy-D-manno-octulosonic acid kinase,WP_041693648.1,GO:0016773,,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,,,MASE_00280,2.7.1.166
MASE_RS00300,,MASE_RS00300,MASE_00285,Protein Homology,65461,65934,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977891.1,hypothetical protein,WP_014947762.1,,,,,,MASE_00285,
MASE_RS00305,,MASE_RS00305,MASE_00290,Protein Homology,65931,67106,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977892.1,hypothetical protein,WP_014947763.1,,,,,,MASE_00290,
MASE_RS00310,,MASE_RS00310,MASE_00295,Protein Homology,67116,69560,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947764.1,putative bifunctional diguanylate cyclase/phosphodiesterase,WP_014947764.1,"GO:0005525,GO:0046872,GO:0052621,GO:0071111,GO:0005886",plasma membrane|0005886||IEA,"GTP binding|0005525||IEA,metal ion binding|0046872||IEA,diguanylate cyclase activity|0052621||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA",,,MASE_00295,2.7.7.65
MASE_RS00315,,MASE_RS00315,MASE_00300,Protein Homology,69724,70920,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516586.1,glycine C-acetyltransferase,WP_014947765.1,"GO:0009058,GO:0008890,GO:0030170",,"glycine C-acetyltransferase activity|0008890||IEA,pyridoxal phosphate binding|0030170||IEA",biosynthetic process|0009058||IEA,,MASE_00300,2.3.1.29
tdh,tdh,MASE_RS00320,MASE_00305,Protein Homology,70917,71942,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065862.1,L-threonine 3-dehydrogenase,WP_014947766.1,"GO:0006567,GO:0008743",,L-threonine 3-dehydrogenase activity|0008743||IEA,L-threonine catabolic process|0006567||IEA,,MASE_00305,1.1.1.103
glpE,glpE,MASE_RS00325,MASE_00310,Protein Homology,71942,72253,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977895.1,thiosulfate sulfurtransferase GlpE,WP_014947767.1,GO:0004792,,thiosulfate-cyanide sulfurtransferase activity|0004792||IEA,,,MASE_00310,2.8.1.1
glpG,glpG,MASE_RS00330,MASE_00315,Protein Homology,72394,73257,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977896.1,rhomboid family intramembrane serine protease GlpG,WP_014947768.1,"GO:0019538,GO:0004252,GO:0005886",plasma membrane|0005886||IEA,serine-type endopeptidase activity|0004252||IEA,protein metabolic process|0019538||IEA,,MASE_00315,3.4.21.105
MASE_RS00335,,MASE_RS00335,MASE_00320,Protein Homology,73313,73726,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516590.1,flagellar basal body-associated protein FliL,WP_014947769.1,,,,,,MASE_00320,
MASE_RS00340,,MASE_RS00340,MASE_00325,Protein Homology,73875,74444,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065863.1,chorismate--pyruvate lyase family protein,WP_041693341.1,"GO:0006744,GO:0008813,GO:0005737",cytoplasm|0005737||IEA,chorismate lyase activity|0008813||IEA,ubiquinone biosynthetic process|0006744||IEA,,MASE_00325,4.1.3.40
ubiA,ubiA,MASE_RS00345,MASE_00330,Protein Homology,74441,75298,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996815.1,4-hydroxybenzoate octaprenyltransferase,WP_014947771.1,"GO:0006744,GO:0008412",,4-hydroxybenzoate polyprenyltransferase activity|0008412||IEA,ubiquinone biosynthetic process|0006744||IEA,,MASE_00330,2.5.1.39
ubiK,ubiK,MASE_RS00350,MASE_00335,Protein Homology,75400,75651,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975278.1,ubiquinone biosynthesis accessory factor UbiK,WP_014947772.1,"GO:0006744,GO:0042802",,identical protein binding|0042802||IEA,ubiquinone biosynthetic process|0006744||IEA,yqiC,MASE_00335,
rep,rep,MASE_RS00355,MASE_00340,Protein Homology,75764,77779,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947773.1,DNA helicase Rep,WP_014947773.1,"GO:0006260,GO:0003677,GO:0003678,GO:0005524",,"DNA binding|0003677||IEA,DNA helicase activity|0003678||IEA,ATP binding|0005524||IEA",DNA replication|0006260||IEA,,MASE_00340,3.6.4.12
MASE_RS00360,,MASE_RS00360,MASE_00345,Protein Homology,77824,80424,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516597.1,sensor domain-containing phosphodiesterase,WP_014947774.1,"GO:0000160,GO:0007165,GO:0005515,GO:0071111",,"protein binding|0005515||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA","phosphorelay signal transduction system|0000160||IEA,signal transduction|0007165||IEA",,MASE_00345,3.1.4.52
MASE_RS00365,,MASE_RS00365,MASE_00350,Protein Homology,80528,80935,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996819.1,c-type cytochrome,WP_014947775.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MASE_00350,
nhaC,nhaC,MASE_RS00375,MASE_00355,Protein Homology,81469,82881,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947776.1,Na+/H+ antiporter NhaC,WP_014947776.1,"GO:0006814,GO:1902600,GO:0015297,GO:0015385,GO:0016020",membrane|0016020||IEA,"antiporter activity|0015297||IEA,sodium:proton antiporter activity|0015385||IEA","sodium ion transport|0006814||IEA,proton transmembrane transport|1902600||IEA",,MASE_00355,
MASE_RS00380,,MASE_RS00380,MASE_00360,Protein Homology,82985,84754,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516626.1,BCCT family transporter,WP_014947777.1,"GO:0071705,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,nitrogen compound transport|0071705||IEA,,MASE_00360,
MASE_RS00385,,MASE_RS00385,MASE_00365,Protein Homology,84894,85523,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947778.1,hypothetical protein,WP_014947778.1,,,,,,MASE_00365,
MASE_RS00390,,MASE_RS00390,MASE_00370,Protein Homology,85659,85907,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947779.1,DUF2960 family protein,WP_014947779.1,,,,,,MASE_00370,
MASE_RS00400,,MASE_RS00400,MASE_00385,GeneMarkS-2+,86729,87862,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,DUF4124 domain-containing protein,WP_014947782.1,,,,,,MASE_00385,
MASE_RS20125,,MASE_RS20125,MASE_RS20125,Protein Homology,87877,88452,-,,,COORDINATES: protein motif:HMM:NF024787.6,HNH endonuclease domain-containing protein,WP_232362788.1,,,,,,,
MASE_RS20130,,MASE_RS20130,MASE_RS20130,Protein Homology,88530,89573,-,,,COORDINATES: protein motif:HMM:NF024880.6,class I SAM-dependent methyltransferase,WP_232362789.1,"GO:0032259,GO:0008168,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,,2.1.1.-
MASE_RS00410,,MASE_RS00410,MASE_00400,Protein Homology,89809,91902,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065896.1,TonB-dependent siderophore receptor,WP_014947783.1,"GO:0015891,GO:0055085,GO:0015267,GO:0046872,GO:0009279,GO:0016020","cell outer membrane|0009279||IEA,membrane|0016020||IEA","channel activity|0015267||IEA,metal ion binding|0046872||IEA","siderophore transport|0015891||IEA,transmembrane transport|0055085||IEA",,MASE_00400,
MASE_RS00415,,MASE_RS00415,MASE_00405,Protein Homology,92070,92600,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975299.1,hypothetical protein,WP_014947784.1,,,,,,MASE_00405,
MASE_RS00420,,MASE_RS00420,MASE_00410,Protein Homology,92604,93152,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975300.1,hypothetical protein,WP_148275214.1,,,,,,MASE_00410,
MASE_RS00425,,MASE_RS00425,MASE_00415,Protein Homology,93226,94446,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516655.1,acyl-CoA dehydrogenase family protein,WP_014947786.1,GO:0016627,,oxidoreductase activity%2C acting on the CH-CH group of donors|0016627||IEA,,,MASE_00415,
MASE_RS00430,,MASE_RS00430,MASE_00420,Protein Homology,94660,95583,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975302.1,LysR family transcriptional regulator,WP_014947787.1,"GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",,,MASE_00420,
MASE_RS00435,,MASE_RS00435,MASE_00425,Protein Homology,95712,96473,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516657.1,MBL fold metallo-hydrolase,WP_014947788.1,,,,,,MASE_00425,
