protein_id,product,Prediction
WP_012517705.1,MULTISPECIES_ carbon storage regulator CsrA _Alteromonas_,OTHER
WP_012517736.1,MULTISPECIES_ MotA_TolQ_ExbB proton channel family protein _Alteromonas_,OTHER
WP_012517737.1,MULTISPECIES_ biopolymer transporter ExbD _Alteromonas_,OTHER
WP_012517742.1,MULTISPECIES_ acyl-CoA thioesterase _Alteromonas_,OTHER
WP_012517852.1,MULTISPECIES_ dihydroneopterin triphosphate 2_-epimerase _Alteromonas_,OTHER
WP_012517879.1,MULTISPECIES_ outer membrane protein assembly factor BamE _Alteromonas_,LIPO
WP_012518091.1,MULTISPECIES_ 50S ribosomal protein L35 _Alteromonadaceae_,OTHER
WP_012518092.1,MULTISPECIES_ 50S ribosomal protein L20 _Alteromonas_,OTHER
WP_012518127.1,MULTISPECIES_ phenylalanine--tRNA ligase subunit alpha _Alteromonas_,OTHER
WP_012518206.1,MULTISPECIES_ 50S ribosomal protein L32 _Alteromonas_,OTHER
WP_012518211.1,MULTISPECIES_ acyl carrier protein _Alteromonadaceae_,OTHER
WP_012518257.1,MULTISPECIES_ 30S ribosomal protein S15 _Alteromonas_,OTHER
WP_012518305.1,MULTISPECIES_ MarR family transcriptional regulator _Alteromonas_,OTHER
WP_012518362.1,MULTISPECIES_ succinate dehydrogenase iron-sulfur subunit _Alteromonas_,OTHER
WP_012518366.1,MULTISPECIES_ succinate--CoA ligase subunit alpha _Alteromonas_,OTHER
WP_012518669.1,MULTISPECIES_ hypothetical protein _Gammaproteobacteria_,OTHER
WP_012518757.1,MULTISPECIES_ IS66 family insertion sequence element accessory protein TnpB _Alteromonas_,OTHER
WP_012518828.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012518940.1,MULTISPECIES_ transcription antitermination factor NusB _Alteromonas_,OTHER
WP_012518957.1,MULTISPECIES_ RNA polymerase sigma factor RpoE _Alteromonas_,OTHER
WP_012518978.1,MULTISPECIES_ DNA-binding protein HU-beta _Alteromonas_,OTHER
WP_012519000.1,MULTISPECIES_ nucleoside-diphosphate kinase _Alteromonas_,OTHER
WP_012519093.1,MULTISPECIES_ DUF2788 domain-containing protein _Gammaproteobacteria_,OTHER
WP_012519109.1,MULTISPECIES_ 5_-deoxynucleotidase _Alteromonas_,OTHER
WP_012519212.1,MULTISPECIES_ 50S ribosomal protein L17 _Gammaproteobacteria_,OTHER
WP_012519214.1,MULTISPECIES_ 30S ribosomal protein S4 _Gammaproteobacteria_,OTHER
WP_012519215.1,MULTISPECIES_ 30S ribosomal protein S11 _Gammaproteobacteria_,OTHER
WP_012519216.1,MULTISPECIES_ 30S ribosomal protein S13 _Gammaproteobacteria_,OTHER
WP_012519217.1,MULTISPECIES_ 50S ribosomal protein L36 _Gammaproteobacteria_,OTHER
WP_012519221.1,MULTISPECIES_ 30S ribosomal protein S5 _Alteromonas_,OTHER
WP_012519224.1,MULTISPECIES_ 30S ribosomal protein S8 _Alteromonas_,OTHER
WP_012519228.1,MULTISPECIES_ 50S ribosomal protein L14 _Alteromonas_,OTHER
WP_012519465.1,MULTISPECIES_ division_cell wall cluster transcriptional repressor MraZ _Alteromonas_,OTHER
WP_012519516.1,MULTISPECIES_ DUF3545 family protein _Alteromonas_,OTHER
WP_012519905.1,MULTISPECIES_ cold-shock protein _Alteromonas_,OTHER
WP_012519953.1,MULTISPECIES_ 50S ribosomal protein L9 _Alteromonas_,OTHER
WP_012519954.1,MULTISPECIES_ 30S ribosomal protein S18 _Alteromonas_Salinimonas group_,OTHER
WP_012520077.1,MULTISPECIES_ cytochrome o ubiquinol oxidase subunit IV _Alteromonas_,OTHER
WP_012520088.1,MULTISPECIES_ co-chaperone GroES _Alteromonas_,OTHER
WP_012520109.1,MULTISPECIES_ DNA-binding transcriptional regulator Fis _Alteromonas_,OTHER
WP_012520152.1,MULTISPECIES_ YheV family putative metal-binding protein _Alteromonas_,OTHER
WP_012520154.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_012520217.1,MULTISPECIES_ F0F1 ATP synthase subunit gamma _Alteromonas_,OTHER
WP_012520222.1,MULTISPECIES_ F0F1 ATP synthase subunit C _Alteromonas_Salinimonas group_,OTHER
WP_012520223.1,MULTISPECIES_ F0F1 ATP synthase subunit A _Alteromonas_,OTHER
WP_014290886.1,MULTISPECIES_ 50S ribosomal protein L34 _Gammaproteobacteria_,OTHER
WP_014947716.1,MULTISPECIES_ glycine--tRNA ligase subunit alpha _Alteromonas_,OTHER
WP_014947719.1,MULTISPECIES_ Der GTPase-activating protein YihI _Alteromonas_,OTHER
WP_014947721.1,MULTISPECIES_ cytochrome c4 _Alteromonas_,SP
WP_014947725.1,MULTISPECIES_ TrkH family potassium uptake protein _Alteromonas_,OTHER
WP_014947726.1,MULTISPECIES_ Trk system potassium transporter TrkA _Alteromonas_,OTHER
WP_014947729.1,MULTISPECIES_ peptide deformylase _Alteromonas_,OTHER
WP_014947732.1,MULTISPECIES_ DUF494 family protein _Alteromonas_,OTHER
WP_014947737.1,MULTISPECIES_ group II truncated hemoglobin _Alteromonas_,OTHER
WP_014947752.1,MULTISPECIES_ DNA repair protein RadC _Alteromonas_,OTHER
WP_014947753.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014947754.1,MULTISPECIES_ YjbF family lipoprotein _Alteromonas_,LIPO
WP_014947757.1,MULTISPECIES_ 50S ribosomal protein L28 _Alteromonas_,OTHER
WP_014947766.1,MULTISPECIES_ L-threonine 3-dehydrogenase _Alteromonas_,OTHER
WP_014947767.1,MULTISPECIES_ thiosulfate sulfurtransferase GlpE _Alteromonas_,OTHER
WP_014947772.1,MULTISPECIES_ accessory factor UbiK family protein _Alteromonas_,OTHER
WP_014947775.1,MULTISPECIES_ c-type cytochrome _Alteromonas_,SP
WP_014947789.1,MULTISPECIES_ YcjX family protein _Alteromonas_,OTHER
WP_014947791.1,MULTISPECIES_ threonine_serine exporter family protein _Alteromonas_,OTHER
WP_014947794.1,MULTISPECIES_ sulfur carrier protein ThiS _Alteromonas_,OTHER
WP_014947801.1,MULTISPECIES_ hydroxymethylbilane synthase _Alteromonas_,OTHER
WP_014947805.1,MULTISPECIES_ DNA-directed RNA polymerase subunit omega _Alteromonas_,OTHER
WP_014947810.1,MULTISPECIES_ peroxiredoxin _Alteromonas_,OTHER
WP_014947811.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014947817.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014947823.1,MULTISPECIES_ multidrug efflux SMR transporter _Alteromonas_,OTHER
WP_014947826.1,MULTISPECIES_ efflux RND transporter periplasmic adaptor subunit _Alteromonas_,LIPO
WP_014947827.1,MULTISPECIES_ multidrug efflux RND transporter permease subunit _Alteromonas_,OTHER
WP_014947828.1,MULTISPECIES_ alpha_beta hydrolase _Alteromonas_,OTHER
WP_014947832.1,MULTISPECIES_ DUF6436 domain-containing protein _Alteromonas_,OTHER
WP_014947836.1,MULTISPECIES_ GTP cyclohydrolase II _Alteromonas_,OTHER
WP_014947845.1,MULTISPECIES_ serine O-acetyltransferase _Alteromonas_,OTHER
WP_014947849.1,MULTISPECIES_ DUF484 family protein _Alteromonas_,OTHER
WP_014947850.1,MULTISPECIES_ diaminopimelate epimerase _Alteromonas_,OTHER
WP_014947854.1,MULTISPECIES_ phosphatase PAP2 family protein _Alteromonas_,OTHER
WP_014947855.1,MULTISPECIES_ ribonuclease E activity regulator RraA _Alteromonas_,OTHER
WP_014947860.1,MULTISPECIES_ class 1 fructose-bisphosphatase _Alteromonas_,OTHER
WP_014947861.1,MULTISPECIES_ inorganic diphosphatase _Alteromonas_,OTHER
WP_014947862.1,MULTISPECIES_ DUF3299 domain-containing protein _Alteromonas_,SP
WP_014947874.1,alpha_beta hydrolase _Alteromonas macleodii_,LIPO
WP_014947876.1,MULTISPECIES_ LacI family DNA-binding transcriptional regulator _Alteromonas_,OTHER
WP_014947878.1,MULTISPECIES_ UDP-glucose--hexose-1-phosphate uridylyltransferase _Alteromonas_,OTHER
WP_014947881.1,MULTISPECIES_ single-stranded DNA-binding protein _Alteromonas_,OTHER
WP_014947886.1,TonB-dependent receptor _Alteromonas macleodii_,SP
WP_014947888.1,MULTISPECIES_ DeoR_GlpR family transcriptional regulator _Alteromonas_,OTHER
WP_014947895.1,MULTISPECIES_ agglutinin biogenesis protein MshK _Alteromonas_,SP
WP_014947909.1,MULTISPECIES_ rod shape-determining protein _Alteromonas_,OTHER
WP_014947913.1,MULTISPECIES_ ribonuclease G _Alteromonas_,OTHER
WP_014947922.1,MULTISPECIES_ two-component system response regulator ArcA _Alteromonas_,OTHER
WP_014947923.1,HAMP domain-containing histidine kinase _Alteromonas macleodii_,OTHER
WP_014947929.1,MULTISPECIES_ oxidative damage protection protein _Alteromonas_,OTHER
WP_014947933.1,MULTISPECIES_ response regulator _Alteromonas_,OTHER
WP_014947935.1,MULTISPECIES_ chemotaxis protein CheW _Alteromonas_,OTHER
WP_014947941.1,MULTISPECIES_ response regulator _Alteromonas_,OTHER
WP_014947943.1,MULTISPECIES_ chemotaxis protein CheW _Alteromonas_,OTHER
WP_014947947.1,MULTISPECIES_ chemoreceptor glutamine deamidase CheD _Alteromonas_,OTHER
WP_014947949.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014947952.1,MULTISPECIES_ substrate-binding domain-containing protein _Alteromonas_,OTHER
WP_014947959.1,MULTISPECIES_ DUF3392 domain-containing protein _Alteromonas_,OTHER
WP_014947965.1,GMC family oxidoreductase _Alteromonas macleodii_,OTHER
WP_014947966.1,MULTISPECIES_ gluconate 2-dehydrogenase subunit 3 family protein _Alteromonas_,TAT
WP_014947970.1,"MULTISPECIES_ 2,3-diphosphoglycerate-dependent phosphoglycerate mutase _Alteromonas_",OTHER
WP_014947973.1,sel1 repeat family protein _Alteromonas macleodii_,SP
WP_014947975.1,MULTISPECIES_ 50S ribosomal protein L3 _Alteromonas_,OTHER
WP_014947977.1,MULTISPECIES_ 50S ribosomal protein L22 _Alteromonas_,OTHER
WP_014947978.1,MULTISPECIES_ 30S ribosomal protein S3 _Alteromonas_,OTHER
WP_014947979.1,MULTISPECIES_ 50S ribosomal protein L16 _Alteromonas_,OTHER
WP_014947980.1,MULTISPECIES_ 50S ribosomal protein L29 _Alteromonas_,OTHER
WP_014948004.1,MULTISPECIES_ ammonium transporter _Alteromonas_,OTHER
WP_014948005.1,MULTISPECIES_ gamma-glutamyltransferase _Alteromonas_,LIPO
WP_014948006.1,MULTISPECIES_ Dyp-type peroxidase _Alteromonas_,OTHER
WP_014948008.1,"MULTISPECIES_ glutamate-1-semialdehyde 2,1-aminomutase _Alteromonas_",OTHER
WP_014948013.1,DUF2982 domain-containing protein _Alteromonas macleodii_,OTHER
WP_014948016.1,MULTISPECIES_ heme NO-binding domain-containing protein _Alteromonas_,OTHER
WP_014948018.1,MULTISPECIES_ DUF1338 domain-containing protein _Alteromonas_,OTHER
WP_014948020.1,MULTISPECIES_ arginine N-succinyltransferase _Alteromonas_,OTHER
WP_014948027.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014948028.1,MULTISPECIES_ DUF2970 domain-containing protein _Alteromonas_,OTHER
WP_014948029.1,MULTISPECIES_ Dam family site-specific DNA-_adenine-N6_-methyltransferase _Alteromonas_,OTHER
WP_014948032.1,MULTISPECIES_ shikimate kinase AroK _Alteromonas_,OTHER
WP_014948034.1,MULTISPECIES_ pilus assembly protein PilP _Alteromonas_,LIPO
WP_014948035.1,MULTISPECIES_ type 4a pilus biogenesis protein PilO _Alteromonas_,OTHER
WP_014948047.1,MULTISPECIES_ alpha_beta fold hydrolase _Alteromonas_,OTHER
WP_014948054.1,MULTISPECIES_ methylglyoxal synthase _Alteromonas_,OTHER
WP_014948056.1,MULTISPECIES_ flagellar basal body L-ring protein FlgH _Alteromonas_,LIPO
WP_014948060.1,ATP-binding protein _Alteromonas macleodii_,OTHER
WP_014948062.1,MULTISPECIES_ tRNA _uridine_34__cytosine_34__5-carboxymethylaminomethyluridine_34_-2_-O_-methyltransferase TrmL _Alteromonas_,OTHER
WP_014948066.1,hypothetical protein _Alteromonas macleodii_,SP
WP_014948068.1,MULTISPECIES_ protein-export chaperone SecB _Alteromonas_,OTHER
WP_014948069.1,MULTISPECIES_ glutaredoxin 3 _Alteromonas_,OTHER
WP_014948070.1,MULTISPECIES_ rhodanese-like domain-containing protein _Alteromonas_,OTHER
WP_014948071.1,peptidoglycan DD-metalloendopeptidase family protein _Alteromonas macleodii_,SP
WP_014948073.1,MULTISPECIES_ MerC domain-containing protein _Alteromonas_,OTHER
WP_014948075.1,MULTISPECIES_ DMT family transporter _Alteromonas_,OTHER
WP_014948080.1,TonB-dependent receptor _Alteromonas macleodii_,SP
WP_014948087.1,MULTISPECIES_ Sec-independent protein translocase protein TatB _Alteromonas_,OTHER
WP_014948088.1,MULTISPECIES_ twin-arginine translocase subunit TatC _Alteromonas_,OTHER
WP_014948089.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014948094.1,MULTISPECIES_ transcription termination factor Rho _Alteromonas_,OTHER
WP_014948097.1,MULTISPECIES_ Na__H_ antiporter NhaA _Alteromonas_,OTHER
WP_014948098.1,MULTISPECIES_ 5-_carboxyamino_imidazole ribonucleotide mutase _Alteromonas_,OTHER
WP_014948101.1,MULTISPECIES_ DNA starvation_stationary phase protection protein _Alteromonas_,OTHER
WP_014948104.1,MULTISPECIES_ DUF962 domain-containing protein _Alteromonas_,OTHER
WP_014948108.1,MULTISPECIES_ DUF2065 domain-containing protein _Alteromonas_,OTHER
WP_014948109.1,MULTISPECIES_ adenylosuccinate synthase _Alteromonas_,OTHER
WP_014948113.1,MULTISPECIES_ NYN domain-containing protein _Alteromonas_,OTHER
WP_014948123.1,MULTISPECIES_ VOC family protein _Alteromonas_,OTHER
WP_014948132.1,MULTISPECIES_ alkylphosphonate utilization protein _Alteromonas_,OTHER
WP_014948136.1,MULTISPECIES_ hypothetical protein _Alteromonas_,LIPO
WP_014948148.1,MULTISPECIES_ Xaa-Pro dipeptidase _Alteromonas_,OTHER
WP_014948150.1,MULTISPECIES_ octaprenyl diphosphate synthase _Alteromonas_,OTHER
WP_014948151.1,MULTISPECIES_ Obg family GTPase CgtA _Alteromonas_,OTHER
WP_014948155.1,hypothetical protein _Alteromonas macleodii_,OTHER
WP_014948159.1,MULTISPECIES_ DedA family protein _Alteromonas_,OTHER
WP_014948160.1,MULTISPECIES_ protein-L-isoaspartate_D-aspartate_ O-methyltransferase _Alteromonas_,OTHER
WP_014948164.1,MULTISPECIES_ cell division protein FtsB _Alteromonas_,OTHER
WP_014948167.1,Lrp_AsnC family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_014948179.1,MULTISPECIES_ RNA pyrophosphohydrolase _Alteromonas_,OTHER
WP_014948183.1,MULTISPECIES_ thymidylate synthase _Alteromonas_,OTHER
WP_014948188.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014948227.1,phosphatase PAP2 family protein _Alteromonas macleodii_,OTHER
WP_014948232.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014948247.1,MULTISPECIES_ HD domain-containing protein _Alteromonas_,OTHER
WP_014948248.1,MULTISPECIES_ thiol_disulfide interchange protein DsbA_DsbL _Alteromonas_,LIPO
WP_014948252.1,DUF3016 domain-containing protein _Alteromonas macleodii_,SP
WP_014948263.1,MULTISPECIES_ hypothetical protein _Alteromonas_,SP
WP_014948265.1,MULTISPECIES_ RNA polymerase sigma factor RpoD _Alteromonas_,OTHER
WP_014948270.1,MULTISPECIES_ glycerol-3-phosphate 1-O-acyltransferase PlsY _Alteromonas_,OTHER
WP_014948271.1,MULTISPECIES_ dihydroneopterin aldolase _Alteromonas_,OTHER
WP_014948272.1,MULTISPECIES_ 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase _Alteromonas_,OTHER
WP_014948273.1,MULTISPECIES_ undecaprenyl-diphosphate phosphatase _Alteromonas_,OTHER
WP_014948274.1,MULTISPECIES_ histidine triad nucleotide-binding protein _Alteromonas_,OTHER
WP_014948276.1,MULTISPECIES_ HDOD domain-containing protein _Alteromonas_,OTHER
WP_014948278.1,XRE family transcriptional regulator _Alteromonas macleodii_,OTHER
WP_014948279.1,MULTISPECIES_ recombination-associated protein RdgC _Alteromonas_,OTHER
WP_014948281.1,MULTISPECIES_ phosphate regulon transcriptional regulator PhoB _Alteromonas_,OTHER
WP_014948287.1,MULTISPECIES_ DUF3450 domain-containing protein _Alteromonas_,SP
WP_014948289.1,MULTISPECIES_ biopolymer transporter ExbD _Alteromonas_,OTHER
WP_014948296.1,MULTISPECIES_ bifunctional aconitate hydratase 2_2-methylisocitrate dehydratase _Alteromonas_,OTHER
WP_014948299.1,hypothetical protein _Alteromonas macleodii_,LIPO
WP_014948302.1,MULTISPECIES_ DUF192 domain-containing protein _Alteromonas_,SP
WP_014948303.1,MULTISPECIES_ lysine-sensitive aspartokinase 3 _Alteromonas_,OTHER
WP_014948305.1,MULTISPECIES_ methyl-accepting chemotaxis protein _Alteromonas_,OTHER
WP_014948307.1,MULTISPECIES_ Co2__Mg2_ efflux protein ApaG _Alteromonas_,OTHER
WP_014948308.1,MULTISPECIES_ 16S rRNA _adenine_1518_-N_6__adenine_1519_-N_6__-dimethyltransferase RsmA _Alteromonas_,OTHER
WP_014948318.1,MULTISPECIES_ holo-ACP synthase _Alteromonas_,OTHER
WP_014948329.1,MULTISPECIES_ 50S ribosomal protein L13 _Alteromonas_,OTHER
WP_014948332.1,MULTISPECIES_ cytochrome bc complex cytochrome b subunit _Alteromonas_,OTHER
WP_014948333.1,MULTISPECIES_ cytochrome c1 _Alteromonas_,SP
WP_014948334.1,MULTISPECIES_ ClpXP protease specificity-enhancing factor _Alteromonas_,OTHER
WP_014948338.1,MULTISPECIES_ magnesium transporter _Alteromonas_,OTHER
WP_014948340.1,MULTISPECIES_ RNase adapter RapZ _Alteromonas_,OTHER
WP_014948342.1,MULTISPECIES_ RNA polymerase factor sigma-54 _Alteromonas_,OTHER
WP_014948343.1,MULTISPECIES_ LPS export ABC transporter ATP-binding protein _Alteromonas_,OTHER
WP_014948344.1,MULTISPECIES_ lipopolysaccharide transport periplasmic protein LptA _Alteromonas_,SP
WP_014948345.1,MULTISPECIES_ LPS export ABC transporter periplasmic protein LptC _Alteromonas_,OTHER
WP_014948346.1,3-deoxy-manno-octulosonate-8-phosphatase KdsC _Alteromonas macleodii_,OTHER
WP_014948348.1,MULTISPECIES_ calcium_sodium antiporter _Alteromonas_,OTHER
WP_014948350.1,MULTISPECIES_ lipid asymmetry maintenance ABC transporter permease subunit MlaE _Alteromonas_,OTHER
WP_014948351.1,MULTISPECIES_ outer membrane lipid asymmetry maintenance protein MlaD _Alteromonas_,OTHER
WP_014948352.1,MULTISPECIES_ ABC transporter substrate-binding protein _Alteromonas_,SP
WP_014948356.1,MULTISPECIES_ trypsin-like peptidase domain-containing protein _Alteromonas_,OTHER
WP_014948357.1,MULTISPECIES_ DegQ family serine endoprotease _Alteromonas_,SP
WP_014948358.1,MULTISPECIES_ YhcB family protein _Alteromonas_,OTHER
WP_014948359.1,MULTISPECIES_ cell division protein ZapE _Alteromonas_,OTHER
WP_014948360.1,MULTISPECIES_ YebC_PmpR family DNA-binding transcriptional regulator _Alteromonas_,OTHER
WP_014948366.1,MULTISPECIES_ alpha-E domain-containing protein _Alteromonas_,OTHER
WP_014948367.1,circularly permuted type 2 ATP-grasp protein _Alteromonas macleodii_,OTHER
WP_014948380.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014948382.1,MULTISPECIES_ methionine adenosyltransferase _Alteromonas_,OTHER
WP_014948384.1,MULTISPECIES_ erythrose-4-phosphate dehydrogenase _Alteromonas_,OTHER
WP_014948386.1,fructose bisphosphate aldolase _Alteromonas macleodii_,OTHER
WP_014948387.1,diacylglycerol kinase _Alteromonas macleodii_,OTHER
WP_014948388.1,phosphoethanolamine--lipid A transferase _Alteromonas macleodii_,OTHER
WP_014948389.1,response regulator transcription factor _Alteromonas macleodii_,OTHER
WP_014948390.1,HAMP domain-containing histidine kinase _Alteromonas macleodii_,OTHER
WP_014948392.1,MULTISPECIES_ efflux RND transporter periplasmic adaptor subunit _Alteromonas_,LIPO
WP_014948393.1,efflux transporter outer membrane subunit _Alteromonas macleodii_,LIPO
WP_014948394.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014948398.1,MULTISPECIES_ polyphosphate kinase 1 _Alteromonas_,OTHER
WP_014948399.1,glycine cleavage system protein R _Alteromonas macleodii_,OTHER
WP_014948403.1,MULTISPECIES_ phosphate signaling complex protein PhoU _Alteromonas_,OTHER
WP_014948404.1,inorganic phosphate transporter _Alteromonas macleodii_,OTHER
WP_014948406.1,MULTISPECIES_ hydrogen peroxide-inducible genes activator _Alteromonas_,OTHER
WP_014948411.1,MULTISPECIES_ hemolysin III family protein _Alteromonas_,OTHER
WP_014948414.1,MULTISPECIES_ organic hydroperoxide resistance protein _Alteromonas_,OTHER
WP_014948461.1,MULTISPECIES_ metallo-mystery pair system four-Cys motif protein _Alteromonas_,LIPO
WP_014948463.1,MULTISPECIES_ hypothetical protein _Alteromonas_,OTHER
WP_014948465.1,MULTISPECIES_ DUF3718 domain-containing protein _Alteromonas_,SP
WP_014948475.1,MULTISPECIES_ XTP_dITP diphosphatase _Alteromonas_,OTHER
WP_014948476.1,MULTISPECIES_ ATP-dependent RNA helicase SrmB _Alteromonas_,OTHER
WP_014948480.1,MULTISPECIES_ AAA family ATPase _Alteromonas_,OTHER
WP_014948483.1,MULTISPECIES_ 3-isopropylmalate dehydratase small subunit _Alteromonas_,OTHER
WP_014948506.1,MULTISPECIES_ recombinase RecA _Alteromonas_,OTHER
WP_014948508.1,ABC transporter permease _Alteromonas macleodii_,OTHER
WP_014948509.1,MULTISPECIES_ EscU_YscU_HrcU family type III secretion system export apparatus switch protein _Alteromonas_,OTHER
WP_014948512.1,MULTISPECIES_ heme exporter protein CcmB _Alteromonas_,OTHER
WP_014948513.1,MULTISPECIES_ heme ABC transporter permease _Alteromonas_,OTHER
WP_014948527.1,MULTISPECIES_ polysaccharide export protein _Alteromonas_,SP
WP_014948528.1,MULTISPECIES_ hypothetical protein _Alteromonas_,LIPO
WP_014948534.1,MULTISPECIES_ isocitrate dehydrogenase _Alteromonas_,OTHER
WP_014948549.1,"MULTISPECIES_ 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase _Alteromonas_",OTHER
WP_014948551.1,MULTISPECIES_ type I methionyl aminopeptidase _Alteromonas_,OTHER
WP_014948552.1,MULTISPECIES_ 30S ribosomal protein S2 _Alteromonas_,OTHER
WP_014948554.1,MULTISPECIES_ UMP kinase _Alteromonas_,OTHER
