seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,ec_numbers
NZ_JNAX01000001.1,EV03_RS00055,,EV03_RS00055,EV03_0012,Protein Homology,7378.0,7806.0,+,,,COORDINATES: protein motif:HMM:NF024823.6,tetratricopeptide repeat protein,WP_052038622.1,GO:0005515,,protein binding|0005515||IEA,,EV03_0012,7378.0,7806.0,+,CK_Pro_PAC1_00012,,GO:0005515,CK_00055913,R.2,Conserved hypothetical proteins,,,,,protein binding,tetratricopeptide repeat family protein,"PF13414,PS50005,PS50293,IPR019734,IPR013026","TPR repeat,TPR repeat profile.,TPR repeat region circular profile.,Tetratricopeptide repeat,Tetratricopeptide repeat-containing domain","156,157","Hypothetical proteins / Conserved,Unknown function / General",
NZ_JNAX01000001.1,EV03_RS00065,,EV03_RS00065,EV03_0014,Protein Homology,7991.0,11728.0,+,,,COORDINATES: protein motif:HMM:NF024487.6,AAA domain-containing protein,WP_036904042.1,GO:0004386,,helicase activity|0004386||IEA,,EV03_0014,7991.0,11728.0,+,CK_Pro_PAC1_00014,,,CK_00003658,F.1,DNA replication%2C recombination%2C and repair,"COG0840,COG1112,COG1530,bactNOG01628,cyaNOG05627","COG: NT,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",,,,type III restriction enzyme%2C res subunit,"PF13086,PF13087","AAA domain,AAA domain",132,DNA metabolism / DNA replication%2C recombination%2C and repair,
NZ_JNAX01000001.1,EV03_RS00070,,EV03_RS00070,EV03_0015,Protein Homology,11861.0,12136.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012196095.1,hypothetical protein,WP_413677161.1,,,,,EV03_0015,11870.0,12136.0,+,CK_Pro_PAC1_00015,,,CK_00045004,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein family PM-17,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00075,,EV03_RS00075,EV03_0016,Protein Homology,12566.0,13198.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294710.1,HupE/UreJ family protein,WP_036904043.1,,,,,EV03_0016,12584.0,13198.0,+,CK_Pro_PAC1_00016,,GO:0016020,CK_00000499,R.3,Enzymes of unknown specificity,"NOG131079,COG2370,COG0697,bactNOG60384,bactNOG28569,bactNOG82565,cyaNOG06454,cyaNOG03001","COG: POORLY CHARACTERIZED [S] Function unknown,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: GER,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,membrane,hydrogenase/urease accessory protein,"PF04955,IPR007038","HupE / UreJ protein,Hydrogenase/Urease accessory protein HupE/UreJ protein",703,Unknown function / Enzymes of unknown specificity,
NZ_JNAX01000001.1,EV03_RS10550,,EV03_RS10550,EV03_0017,Protein Homology,13336.0,13500.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824009.1,hypothetical protein,WP_193743058.1,,,,,EV03_0017,13336.0,13500.0,+,CK_Pro_PAC1_00017,,,CK_00054677,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00080,,EV03_RS00080,EV03_0018,Protein Homology,13695.0,15014.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010316191.1,integrase,WP_241434757.1,,,,,EV03_0018,13695.0,15053.0,-,CK_Pro_PAC1_00018,,"GO:0006310,GO:0015074,GO:0003677",CK_00054774,F.2,Restriction/modification,,,,,"DNA recombination,DNA integration,DNA recombination,DNA integration,DNA binding",phage integrase,"IPR011010,IPR013762,IPR002104","DNA breaking-rejoining enzyme%2C catalytic core,Integrase-like%2C catalytic domain superfamily,Integrase%2C catalytic domain",183,DNA metabolism / Restriction/modification,
NZ_JNAX01000001.1,EV03_RS00085,,EV03_RS00085,EV03_0019,Protein Homology,15315.0,15497.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011823998.1,hypothetical protein,WP_036904098.1,,,,,EV03_0019,15315.0,15497.0,-,CK_Pro_PAC1_00019,,,CK_00056193,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS10555,,EV03_RS10555,EV03_0020,GeneMarkS-2+,15612.0,15782.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_193743059.1,,,,,EV03_0020,15612.0,15725.0,-,CK_Pro_PAC1_00020,,,CK_00048587,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00090,,EV03_RS00090,EV03_0021,Protein Homology,15958.0,16230.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808354.1,DUF3303 domain-containing protein,WP_036904045.1,,,,,EV03_0021,15958.0,16230.0,-,CK_Pro_PAC1_00021,,,CK_00001433,R.2,Conserved hypothetical proteins,"NOG45619,bactNOG67584,cyaNOG07276","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein (DUF3303),"PF11746,IPR021734","Protein of unknown function (DUF3303),Protein of unknown function DUF3303",156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00095,,EV03_RS00095,EV03_0022,GeneMarkS-2+,16343.0,16537.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_036904047.1,,,,,EV03_0022,16343.0,16537.0,+,CK_Pro_PAC1_00022,,,CK_00049765,,,,,,,,hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00100,,EV03_RS00100,EV03_0023,GeneMarkS-2+,16509.0,16937.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_241434758.1,,,,,EV03_0023,16509.0,16937.0,-,CK_Pro_PAC1_00023,,,CK_00001845,R.2,Conserved hypothetical proteins,"NOG117710,COG0111,bactNOG77958,cyaNOG08502","COG: POORLY CHARACTERIZED [S] Function unknown,COG: HE,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00105,,EV03_RS00105,EV03_0024,GeneMarkS-2+,17324.0,17668.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_152559060.1,,,,,EV03_0024,17372.0,17668.0,+,CK_Pro_PAC1_00024,,,CK_00056464,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00110,,EV03_RS00110,EV03_0025,Protein Homology,17694.0,18242.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007959.1,PDZ domain-containing protein,WP_036904050.1,GO:0005515,,protein binding|0005515||IEA,,EV03_0025,17694.0,18242.0,+,CK_Pro_PAC1_00025,,GO:0005515,CK_00036946,L.4,Degradation of proteins%2C peptides%2C and glycopeptides,,,,,protein binding,carboxyl-terminal processing protease,"PF00595,PS50106,IPR001478","PDZ domain,PDZ domain profile.,PDZ domain",138,Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides,
NZ_JNAX01000001.1,EV03_RS00115,,EV03_RS00115,EV03_0026,Protein Homology,18610.0,19671.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474648.1,SDR family oxidoreductase,WP_080725177.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,EV03_0026,18610.0,19671.0,+,CK_Pro_PAC1_00026,,"GO:0006694,GO:0055114,GO:0050662",CK_00003571,R.1,Conserved hypothetical domains,"COG0451,bactNOG07147,cyaNOG00346","COG: MG,bactNOG: M,cyaNOG: M",1.1.1.219,Description not found.,"Description not found.,oxidation-reduction process,steroid biosynthetic process,oxidation-reduction process,coenzyme binding",NADP-binding domain-containing protein,"PF01370,IPR001509,IPR016040","NAD dependent epimerase/dehydratase family,NAD-dependent epimerase/dehydratase,NAD(P)-binding domain",156,Hypothetical proteins / Conserved,1.-.-.-
NZ_JNAX01000001.1,EV03_RS00120,,EV03_RS00120,EV03_0027,Protein Homology,20189.0,20575.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824015.1,putative quinol monooxygenase,WP_036904053.1,"GO:0017000,GO:0004497,GO:0016491",,"monooxygenase activity|0004497||IEA,oxidoreductase activity|0016491||IEA",antibiotic biosynthetic process|0017000||IEA,EV03_0027,20189.0,20575.0,+,CK_Pro_PAC1_00027,,"GO:0055114,GO:0017000,GO:0004497,GO:0005737",CK_00001595,,,"COG1359,NOG38923,bactNOG85752,cyaNOG06701,cyaNOG04673","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"oxidation-reduction process,antibiotic biosynthetic process,oxidation-reduction process,antibiotic biosynthetic process,monooxygenase activity,oxidation-reduction process,antibiotic biosynthetic process,monooxygenase activity,cytoplasm",putative antibiotic biosynthesis monooxygenase domain protein,"PF03992,IPR007138","Antibiotic biosynthesis monooxygenase,Antibiotic biosynthesis monooxygenase domain","92,703","Cellular processes / Other,Unknown function / Enzymes of unknown specificity",1.-.-.-
NZ_JNAX01000001.1,EV03_RS00125,,EV03_RS00125,EV03_0028,Protein Homology,20580.0,20843.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294706.1,hypothetical protein,WP_036904055.1,,,,,EV03_0028,20580.0,20843.0,+,CK_Pro_PAC1_00028,,,CK_00055576,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00130,,EV03_RS00130,EV03_0029,Protein Homology,20901.0,21131.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011823957.1,hypothetical protein,WP_036904057.1,,,,,EV03_0029,20901.0,21131.0,-,CK_Pro_PAC1_00029,,,CK_00036998,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00140,,EV03_RS00140,EV03_0031,Protein Homology,21865.0,22089.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011295303.1,hypothetical protein,WP_036904060.1,,,,,EV03_0031,21865.0,22089.0,-,CK_Pro_PAC1_00031,,,CK_00041804,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00145,,EV03_RS00145,EV03_0032,Protein Homology,22318.0,22602.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824021.1,hypothetical protein,WP_036904062.1,,,,,EV03_0032,22318.0,22602.0,+,CK_Pro_PAC1_00032,,,CK_00047131,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS10425,,EV03_RS10425,EV03_0033,GeneMarkS-2+,22664.0,22813.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_241434759.1,,,,,EV03_0033,22664.0,22813.0,+,CK_Pro_PAC1_00033,,,CK_00055731,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00150,,EV03_RS00150,EV03_0034,Protein Homology,22905.0,23129.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011295215.1,hypothetical protein,WP_036904064.1,,,,,EV03_0034,22905.0,23129.0,-,CK_Pro_PAC1_00034,,,CK_00046644,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00160,,EV03_RS00160,EV03_0038,Protein Homology,24706.0,25059.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294565.1,coiled-coil domain-containing protein 30,WP_241434761.1,,,,,EV03_0038,24706.0,24966.0,-,CK_Pro_PAC1_00038,,,CK_00045004,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein family PM-17,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00165,,EV03_RS00165,EV03_0039,Protein Homology,25251.0,25448.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824026.1,hypothetical protein,WP_036904068.1,,,,,EV03_0039,25251.0,25448.0,-,CK_Pro_PAC1_00039,,,CK_00050017,,,,,,,,conserved hypothetical protein,,,856,Not Found,
NZ_JNAX01000001.1,EV03_RS00170,,EV03_RS00170,EV03_0040,Protein Homology,25607.0,25954.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824027.1,hypothetical protein,WP_036904070.1,,,,,EV03_0040,25607.0,25954.0,+,CK_Pro_PAC1_00040,,,CK_00001927,,,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS10570,,EV03_RS10570,EV03_0041,Protein Homology,26130.0,26294.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824028.1,hypothetical protein,WP_193743062.1,,,,,EV03_0041,26130.0,26294.0,+,CK_Pro_PAC1_00041,,,CK_00042789,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein family PM-14,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00175,,EV03_RS00175,EV03_0042,Protein Homology,26310.0,26492.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294709.1,hypothetical protein,WP_036904072.1,,,,,EV03_0042,26310.0,26492.0,+,CK_Pro_PAC1_00042,,,CK_00042831,,,,,,,,possible Legume lectins alpha domain,,,,,
NZ_JNAX01000001.1,EV03_RS10575,,EV03_RS10575,EV03_0043,Protein Homology,26531.0,26698.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824030.1,hypothetical protein,WP_193743067.1,,,,,EV03_0043,26552.0,26698.0,+,CK_Pro_PAC1_00043,,,CK_00049805,,,,,,,,hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS00180,,EV03_RS00180,EV03_0044,Protein Homology,26729.0,27784.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011935112.1,hypothetical protein,WP_241434762.1,,,,,EV03_0044,26729.0,27784.0,-,CK_Pro_PAC1_00044,,,CK_00002485,R.1,Conserved hypothetical domains,COG0443,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00185,,EV03_RS00185,EV03_0045,Protein Homology,27781.0,28338.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011935111.1,J domain-containing protein,WP_036904074.1,GO:0006457,,,protein folding|0006457||IEA,EV03_0045,27781.0,28338.0,-,CK_Pro_PAC1_00045,,"GO:0006457,GO:0051082",CK_00002484,L.3,Protein folding and stabilization,COG0484,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,,,"protein folding,protein folding,unfolded protein binding",DnaJ type IV chaperone protein,"PF00226,PS50076,IPR001623,IPR036869","DnaJ domain,dnaJ domain profile.,DnaJ domain,Chaperone J-domain superfamily",95,Protein fate / Protein folding and stabilization,
NZ_JNAX01000001.1,EV03_RS00190,,EV03_RS00190,EV03_0046,GeneMarkS-2+,28464.0,28694.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_036904076.1,,,,,EV03_0046,28464.0,28694.0,-,CK_Pro_PAC1_00046,,GO:0003911,CK_00049783,,,,,,,DNA ligase (NAD+) activity,hypothetical protein,"PF01653,IPR013839","NAD-dependent DNA ligase adenylation domain,NAD-dependent DNA ligase%2C adenylation",,,
NZ_JNAX01000001.1,EV03_RS00200,,EV03_RS00200,EV03_0049,Protein Homology,29680.0,30006.0,-,,,COORDINATES: protein motif:HMM:NF022746.6,DUF3104 domain-containing protein,WP_080725178.1,,,,,EV03_0049,29680.0,30006.0,-,CK_Pro_PAC1_00049,,,CK_00035937,R.2,Conserved hypothetical proteins,"NOG124702,bactNOG80858,cyaNOG08930","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein (DUF3104),"PF11302,IPR021453","Protein of unknown function (DUF3104),Protein of unknown function DUF3104",156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00205,,EV03_RS00205,EV03_0050,GeneMarkS-2+,29999.0,30181.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_036904080.1,,,,,EV03_0050,29999.0,30181.0,-,CK_Pro_PAC1_00050,,,CK_00041329,,,,,,,,conserved hypothetical protein,,,,,
NZ_JNAX01000001.1,EV03_RS10585,,EV03_RS10585,EV03_0051,Protein Homology,30303.0,30467.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011295075.1,hypothetical protein,WP_193743064.1,,,,,EV03_0051,30303.0,30467.0,-,CK_Pro_PAC1_00051,,,CK_00053552,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS00210,,EV03_RS00210,EV03_0052,Protein Homology,31161.0,31400.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824005.1,hypothetical protein,WP_036904082.1,,,,,EV03_0052,31161.0,31400.0,-,CK_Pro_PAC1_00052,,,CK_00056162,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved,
NZ_JNAX01000001.1,EV03_RS10590,,EV03_RS10590,EV03_0054,Protein Homology,31712.0,31864.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824007.1,hypothetical protein,WP_193743065.1,,,,,EV03_0054,31712.0,31864.0,-,CK_Pro_PAC1_00054,,,CK_00045943,,,,,,,,Conserved hypothetical protein,,,,,
