gene,dark-tolerant_cluster,parental_cluster,same_periodicity_pattern
cds-WP_011294093.1,11,14,FALSE
cds-WP_011294094.1,6,12,FALSE
cds-WP_011294095.1,13,13,TRUE
cds-WP_011294096.1,14,3,FALSE
cds-WP_011294097.1,11,11,TRUE
cds-WP_011294098.1,10,8,FALSE
cds-WP_011294099.1,13,13,TRUE
cds-WP_011294100.1,3,3,TRUE
cds-WP_011294101.1,10,4,FALSE
cds-WP_011294103.1,14,3,FALSE
cds-WP_011294104.1,14,3,FALSE
cds-WP_011294105.1,3,13,FALSE
cds-WP_011294106.1,11,11,TRUE
cds-WP_011294107.1,11,11,TRUE
cds-WP_011294108.1,15,8,FALSE
cds-WP_011294109.1,8,4,FALSE
cds-WP_011294110.1,5,14,FALSE
cds-WP_011294111.1,5,14,FALSE
cds-WP_011294112.1,14,12,FALSE
cds-WP_011294113.1,3,12,FALSE
cds-WP_011294114.1,2,2,TRUE
cds-WP_011294115.1,4,4,TRUE
cds-WP_011294116.1,10,10,TRUE
cds-WP_011294117.1,6,13,FALSE
cds-WP_011294118.1,10,9,FALSE
cds-WP_011294119.1,6,10,FALSE
cds-WP_011294120.1,15,5,FALSE
cds-WP_011294121.1,9,7,FALSE
cds-WP_011294122.1,7,2,FALSE
cds-WP_011294123.1,9,9,TRUE
cds-WP_011294124.1,10,7,FALSE
cds-WP_011294125.1,7,9,FALSE
cds-WP_011294126.1,9,7,FALSE
cds-WP_011294127.1,15,15,TRUE
cds-WP_011294128.1,8,2,FALSE
cds-WP_011294129.1,7,8,FALSE
cds-WP_011294130.1,10,7,FALSE
cds-WP_011294131.1,10,7,FALSE
cds-WP_011294132.1,1,14,FALSE
cds-WP_011294133.1,13,3,FALSE
cds-WP_011294134.1,3,13,FALSE
cds-WP_011294135.1,3,13,FALSE
cds-WP_011294136.1,3,3,TRUE
cds-WP_011294137.1,3,3,TRUE
cds-WP_011294139.1,5,11,FALSE
cds-WP_011294140.1,1,13,FALSE
cds-WP_011294141.1,14,3,FALSE
cds-WP_011294143.1,5,11,FALSE
cds-WP_011294144.1,1,14,FALSE
cds-WP_011294145.1,8,15,FALSE
cds-WP_011294146.1,1,1,TRUE
cds-WP_011294147.1,10,8,FALSE
cds-WP_011294148.1,7,9,FALSE
cds-WP_011294149.1,9,9,TRUE
cds-WP_011294150.1,4,7,FALSE
cds-WP_011294151.1,5,5,TRUE
cds-WP_011294152.1,13,13,TRUE
cds-WP_011294153.1,6,13,FALSE
cds-WP_011294155.1,10,7,FALSE
cds-WP_011294156.1,10,7,FALSE
cds-WP_011294157.1,9,9,TRUE
cds-WP_011294158.1,7,9,FALSE
cds-WP_011294159.1,7,9,FALSE
cds-WP_011294160.1,10,9,FALSE
cds-WP_011294161.1,6,4,FALSE
cds-WP_011294162.1,4,2,FALSE
cds-WP_011294163.1,6,4,FALSE
cds-WP_011294164.1,15,15,TRUE
cds-WP_011294165.1,13,13,TRUE
cds-WP_011294166.1,3,3,TRUE
cds-WP_011294167.1,10,7,FALSE
cds-WP_011294168.1,13,12,FALSE
cds-WP_011294169.1,3,13,FALSE
cds-WP_011294170.1,5,14,FALSE
cds-WP_011294171.1,5,11,FALSE
cds-WP_011294172.1,9,9,TRUE
cds-WP_011294173.1,9,15,FALSE
cds-WP_011294174.1,10,15,FALSE
cds-WP_011294175.1,4,8,FALSE
cds-WP_011294176.1,4,8,FALSE
cds-WP_011294177.1,10,8,FALSE
cds-WP_011294178.1,2,8,FALSE
cds-WP_011294179.1,12,12,TRUE
cds-WP_011294180.1,13,13,TRUE
cds-WP_011294182.1,4,12,FALSE
cds-WP_011294183.1,12,6,FALSE
cds-WP_011294184.1,10,7,FALSE
cds-WP_011294185.1,7,8,FALSE
cds-WP_011294186.1,4,8,FALSE
cds-WP_011294187.1,4,8,FALSE
cds-WP_011294188.1,6,6,TRUE
cds-WP_011294189.1,12,13,FALSE
cds-WP_011294190.1,1,15,FALSE
cds-WP_011294191.1,10,7,FALSE
cds-WP_011294192.1,8,8,TRUE
cds-WP_011294193.1,3,12,FALSE
cds-WP_011294194.1,3,13,FALSE
cds-WP_011294195.1,5,11,FALSE
cds-WP_011294196.1,2,12,FALSE
cds-WP_011294197.1,6,12,FALSE
cds-WP_011294198.1,8,2,FALSE
cds-WP_011294199.1,13,12,FALSE
cds-WP_011294200.1,13,13,TRUE
cds-WP_011294201.1,1,11,FALSE
cds-WP_011294202.1,5,11,FALSE
cds-WP_011294203.1,14,11,FALSE
cds-WP_011294204.1,11,11,TRUE
cds-WP_011294205.1,6,6,TRUE
cds-WP_011294206.1,6,12,FALSE
cds-WP_011294207.1,6,10,FALSE
cds-WP_011294208.1,11,15,FALSE
cds-WP_011294210.1,2,2,TRUE
cds-WP_011294211.1,7,9,FALSE
cds-WP_011294212.1,5,13,FALSE
cds-WP_011294213.1,14,3,FALSE
cds-WP_011294214.1,14,3,FALSE
cds-WP_011294215.1,2,2,TRUE
cds-WP_011294216.1,13,3,FALSE
cds-WP_011294217.1,13,13,TRUE
cds-WP_011294218.1,12,12,TRUE
cds-WP_011294219.1,4,12,FALSE
cds-WP_011294220.1,4,7,FALSE
cds-WP_011294221.1,9,9,TRUE
cds-WP_011294222.1,2,2,TRUE
cds-WP_011294223.1,2,2,TRUE
