gene,dark-tolerant_cluster,parental_cluster,same_periodicity_pattern,resolved_locus_tag,resolution_method
cds-WP_011293542.1,12,12,True,PMN2A_0008,heuristic_multi:gene
cds-WP_011293543.1,2,7,False,PMN2A_0009,heuristic_multi:gene
cds-WP_011293544.1,7,7,True,PMN2A_0010,heuristic_multi:gene
cds-WP_011293546.1,10,9,False,PMN2A_0012,heuristic_multi:gene
cds-WP_011293547.1,10,9,False,PMN2A_0013,heuristic_multi:gene
cds-WP_011293548.1,10,9,False,PMN2A_0014,heuristic_multi:gene
cds-WP_011293549.1,9,7,False,PMN2A_0015,heuristic_multi:gene
cds-WP_011293550.1,11,15,False,PMN2A_0016,heuristic_multi:gene
cds-WP_011293551.1,13,3,False,PMN2A_0017,heuristic_multi:gene
cds-WP_011293552.1,14,13,False,PMN2A_0018,heuristic_multi:gene
cds-WP_011293553.1,14,13,False,PMN2A_0019,heuristic_multi:gene
cds-WP_011293554.1,14,3,False,PMN2A_0020,heuristic_multi:gene
cds-WP_011293555.1,13,12,False,PMN2A_0021,heuristic_multi:gene
cds-WP_011293556.1,6,12,False,PMN2A_0022,heuristic_multi:gene
cds-WP_011293557.1,12,13,False,PMN2A_0023,heuristic_multi:gene
cds-WP_011293558.1,13,13,True,PMN2A_0024,multi:gene
cds-WP_011293559.1,6,9,False,PMN2A_0025,heuristic_multi:gene
cds-WP_011293560.1,12,6,False,PMN2A_0026,heuristic_multi:gene
cds-WP_011293561.1,12,6,False,PMN2A_0027,heuristic_multi:gene
cds-WP_011293562.1,12,8,False,PMN2A_0028,heuristic_multi:gene
cds-WP_011293563.1,1,5,False,PMN2A_0029,heuristic_multi:gene
cds-WP_011293564.1,11,11,True,PMN2A_0030,heuristic_multi:gene
cds-WP_011293565.1,11,11,True,PMN2A_0031,heuristic_multi:gene
cds-WP_011293566.1,14,11,False,PMN2A_0032,heuristic_multi:gene
cds-WP_011293567.1,5,11,False,PMN2A_0033,heuristic_multi:gene
cds-WP_011293568.1,5,11,False,PMN2A_0034,heuristic_multi:gene
cds-WP_011293569.1,5,11,False,PMN2A_0035,heuristic_multi:gene
cds-WP_011293570.1,6,12,False,PMN2A_0036,heuristic_multi:gene
cds-WP_011293571.1,12,12,True,PMN2A_0037,heuristic_multi:gene
cds-WP_011293572.1,14,13,False,PMN2A_0038,heuristic_multi:gene
cds-WP_011293573.1,14,12,False,PMN2A_0039,heuristic_multi:gene
cds-WP_011293574.1,14,12,False,PMN2A_0040,heuristic_multi:gene
cds-WP_011293575.1,11,11,True,PMN2A_0041,heuristic_multi:gene
cds-WP_011293576.1,3,3,True,PMN2A_0042,heuristic_multi:gene
cds-WP_011293577.1,14,3,False,PMN2A_0043,heuristic_multi:gene
cds-WP_011293579.1,12,12,True,PMN2A_0045,heuristic_multi:gene
cds-WP_011293580.1,4,4,True,PMN2A_0046,heuristic_multi:gene
cds-WP_011293581.1,10,7,False,PMN2A_0047,heuristic_multi:gene
cds-WP_011293582.1,6,12,False,PMN2A_0048,heuristic_multi:gene
cds-WP_011293583.1,6,13,False,PMN2A_0049,heuristic_multi:gene
cds-WP_011293585.1,1,1,True,PMN2A_0051,heuristic_multi:gene
cds-WP_011293586.1,15,15,True,PMN2A_0052,heuristic_multi:gene
cds-WP_011293588.1,1,2,False,PMN2A_0054,heuristic_multi:gene
cds-WP_011293589.1,11,11,True,PMN2A_0055,heuristic_multi:gene
cds-WP_011293590.1,6,13,False,PMN2A_0056,heuristic_multi:gene
cds-WP_011293591.1,10,10,True,PMN2A_0057,heuristic_multi:gene
cds-WP_011293592.1,12,4,False,PMN2A_0058,heuristic_multi:gene
cds-WP_011293593.1,10,8,False,PMN2A_0059,heuristic_multi:gene
cds-WP_011293594.1,4,10,False,PMN2A_0060,heuristic_multi:gene
cds-WP_011293595.1,14,12,False,PMN2A_0061,heuristic_multi:gene
cds-WP_011293596.1,11,11,True,PMN2A_0062,heuristic_multi:gene
cds-WP_011293597.1,11,14,False,PMN2A_0063,heuristic_multi:gene
cds-WP_011293598.1,8,10,False,PMN2A_0064,heuristic_multi:gene
cds-WP_011293599.1,4,4,True,PMN2A_0065,heuristic_multi:gene
cds-WP_011293600.1,5,3,False,PMN2A_0066,heuristic_multi:gene
cds-WP_011293601.1,14,13,False,PMN2A_0067,heuristic_multi:gene
cds-WP_011293602.1,3,13,False,PMN2A_0068,heuristic_multi:gene
cds-WP_011293603.1,6,8,False,PMN2A_0069,heuristic_multi:gene
cds-WP_011293604.1,8,7,False,PMN2A_0070,heuristic_multi:gene
cds-WP_011293605.1,4,8,False,PMN2A_0071,heuristic_multi:gene
cds-WP_011293606.1,6,12,False,PMN2A_0072,heuristic_multi:gene
cds-WP_011293607.1,6,6,True,PMN2A_0073,heuristic_multi:gene
cds-WP_011293608.1,9,2,False,PMN2A_0074,heuristic_multi:gene
cds-WP_011293609.1,10,7,False,PMN2A_0075,heuristic_multi:gene
cds-WP_011293610.1,4,2,False,PMN2A_0076,heuristic_multi:gene
cds-WP_011293612.1,6,4,False,PMN2A_0078,heuristic_multi:gene
cds-WP_011293613.1,13,3,False,PMN2A_0079,multi:gene
cds-WP_011293614.1,6,4,False,PMN2A_0080,heuristic_multi:gene
cds-WP_011293615.1,6,8,False,PMN2A_0081,multi:gene
cds-WP_011293616.1,9,9,True,PMN2A_0082,heuristic_multi:gene
cds-WP_011293617.1,10,7,False,PMN2A_0083,multi:gene
cds-WP_011293618.1,10,7,False,PMN2A_0084,heuristic_multi:gene
cds-WP_011293620.1,15,11,False,PMN2A_0086,heuristic_multi:gene
cds-WP_011293621.1,15,15,True,PMN2A_0087,heuristic_multi:gene
cds-WP_011293622.1,14,13,False,PMN2A_0088,heuristic_multi:gene
cds-WP_011293623.1,6,15,False,PMN2A_0089,heuristic_multi:gene
cds-WP_011293624.1,13,2,False,PMN2A_0090,heuristic_multi:gene
cds-WP_011293625.1,14,3,False,PMN2A_0091,heuristic_multi:gene
cds-WP_011293626.1,4,7,False,PMN2A_0092,multi:gene
cds-WP_011293627.1,9,9,True,PMN2A_0093,heuristic_multi:gene
cds-WP_011293628.1,15,3,False,PMN2A_0094,heuristic_multi:gene
cds-WP_011293629.1,15,15,True,PMN2A_0095,heuristic_multi:gene
cds-WP_011293630.1,3,11,False,PMN2A_0096,heuristic_multi:gene
cds-WP_011293631.1,6,10,False,PMN2A_0097,heuristic_multi:gene
cds-WP_011293632.1,6,9,False,PMN2A_0098,heuristic_multi:gene
cds-WP_011293633.1,7,7,True,PMN2A_0099,heuristic_multi:gene
cds-WP_011293634.1,7,7,True,PMN2A_0100,heuristic_multi:gene
cds-WP_011293635.1,6,12,False,PMN2A_0101,heuristic_multi:gene
cds-WP_011293636.1,13,14,False,PMN2A_0102,heuristic_multi:gene
cds-WP_011293637.1,12,4,False,PMN2A_0103,heuristic_multi:gene
cds-WP_011293638.1,12,3,False,PMN2A_0104,heuristic_multi:gene
cds-WP_011293639.1,12,13,False,PMN2A_0105,heuristic_multi:gene
cds-WP_011293640.1,12,12,True,PMN2A_0106,heuristic_multi:gene
cds-WP_011293641.1,1,11,False,PMN2A_0107,multi:gene
cds-WP_011293642.1,5,3,False,PMN2A_0108,heuristic_multi:gene
cds-WP_011293644.1,13,3,False,PMN2A_0110,heuristic_multi:gene
cds-WP_011293645.1,5,5,True,PMN2A_0111,heuristic_multi:gene
cds-WP_011293646.1,5,5,True,PMN2A_0112,heuristic_multi:gene
cds-WP_011293647.1,9,14,False,PMN2A_0113,heuristic_multi:gene
cds-WP_011293648.1,11,11,True,PMN2A_0114,heuristic_multi:gene
cds-WP_011293649.1,1,12,False,PMN2A_0115,heuristic_multi:gene
cds-WP_011293650.1,13,12,False,PMN2A_0116,heuristic_multi:gene
cds-WP_011293651.1,15,9,False,PMN2A_0117,heuristic_multi:gene
cds-WP_011293652.1,13,13,True,PMN2A_0118,heuristic_multi:gene
cds-WP_011293653.1,4,2,False,PMN2A_0119,heuristic_multi:gene
cds-WP_011293654.1,14,3,False,PMN2A_0120,heuristic_multi:gene
cds-WP_011293655.1,4,4,True,PMN2A_0121,heuristic_multi:gene
cds-WP_011293656.1,7,9,False,PMN2A_0122,heuristic_multi:gene
cds-WP_011293657.1,9,7,False,PMN2A_0123,heuristic_multi:gene
cds-WP_011293658.1,7,7,True,PMN2A_0124,heuristic_multi:gene
cds-WP_011293659.1,10,2,False,PMN2A_0125,heuristic_multi:gene
cds-WP_011293660.1,1,5,False,PMN2A_0126,heuristic_multi:gene
cds-WP_011293661.1,9,9,True,PMN2A_0127,heuristic_multi:gene
cds-WP_011293662.1,13,13,True,PMN2A_0128,heuristic_multi:gene
cds-WP_011293663.1,1,1,True,PMN2A_0129,heuristic_multi:gene
cds-WP_011293664.1,4,8,False,PMN2A_0130,heuristic_multi:gene
cds-WP_011293665.1,5,5,True,PMN2A_0131,heuristic_multi:gene
cds-WP_011293666.1,10,7,False,PMN2A_0132,multi:gene
cds-WP_011293667.1,3,13,False,PMN2A_0133,heuristic_multi:gene
cds-WP_011293668.1,15,2,False,PMN2A_0134,heuristic_multi:gene
cds-WP_011293669.1,1,14,False,PMN2A_0135,heuristic_multi:gene
cds-WP_011293670.1,11,11,True,PMN2A_0136,heuristic_multi:gene
cds-WP_011293671.1,11,3,False,PMN2A_0137,heuristic_multi:gene
cds-WP_011293672.1,3,12,False,PMN2A_0138,heuristic_multi:gene
cds-WP_011293673.1,2,14,False,PMN2A_0139,heuristic_multi:gene
cds-WP_011293674.1,14,11,False,PMN2A_0140,heuristic_multi:gene
cds-WP_011293675.1,9,15,False,PMN2A_0141,heuristic_multi:gene
cds-WP_011293676.1,14,3,False,PMN2A_0142,multi:gene
cds-WP_011293677.1,13,1,False,PMN2A_0143,heuristic_multi:gene
cds-WP_011293678.1,14,13,False,PMN2A_0144,heuristic_multi:gene
cds-WP_011293679.1,6,7,False,PMN2A_0145,heuristic_multi:gene
cds-WP_011293680.1,10,2,False,PMN2A_0146,heuristic_multi:gene
cds-WP_011293681.1,10,7,False,PMN2A_0147,multi:gene
cds-WP_011293682.1,11,14,False,PMN2A_0148,heuristic_multi:gene
cds-WP_011293683.1,14,13,False,PMN2A_0149,heuristic_multi:gene
cds-WP_011293684.1,3,3,True,PMN2A_0150,heuristic_multi:gene
cds-WP_011293685.1,12,14,False,PMN2A_0151,heuristic_multi:gene
cds-WP_011293686.1,3,11,False,PMN2A_0152,heuristic_multi:gene
cds-WP_011293687.1,11,3,False,PMN2A_0153,heuristic_multi:gene
cds-WP_011293688.1,5,11,False,PMN2A_0154,heuristic_multi:gene
cds-WP_011293690.1,14,3,False,PMN2A_0156,heuristic_multi:gene
cds-WP_011293691.1,11,3,False,PMN2A_0157,heuristic_multi:gene
cds-WP_011293692.1,14,3,False,PMN2A_0158,heuristic_multi:gene
cds-WP_011293693.1,14,13,False,PMN2A_0159,heuristic_multi:gene
cds-WP_011293694.1,2,7,False,PMN2A_0160,heuristic_multi:gene
cds-WP_011293697.1,7,9,False,PMN2A_0163,heuristic_multi:gene
cds-WP_011293698.1,12,12,True,PMN2A_0164,heuristic_multi:gene
cds-WP_011293699.1,7,7,True,PMN2A_0165,heuristic_multi:gene
cds-WP_011293700.1,1,5,False,PMN2A_0166,heuristic_multi:gene
cds-WP_011293701.1,5,5,True,PMN2A_0167,heuristic_multi:gene
cds-WP_011293702.1,5,3,False,PMN2A_0168,heuristic_multi:gene
cds-WP_011293703.1,3,12,False,PMN2A_0169,heuristic_multi:gene
cds-WP_011293704.1,1,2,False,PMN2A_0170,heuristic_multi:gene
cds-WP_011293705.1,6,4,False,PMN2A_0171,heuristic_multi:gene
cds-WP_011293706.1,14,11,False,PMN2A_0172,heuristic_multi:gene
cds-WP_011293707.1,11,3,False,PMN2A_0173,heuristic_multi:gene
cds-WP_011293708.1,14,3,False,PMN2A_0174,heuristic_multi:gene
cds-WP_011293709.1,14,11,False,PMN2A_0175,heuristic_multi:gene
cds-WP_011293710.1,15,9,False,PMN2A_0176,heuristic_multi:gene
cds-WP_011293711.1,15,9,False,PMN2A_0177,heuristic_multi:gene
cds-WP_011293712.1,15,15,True,PMN2A_0178,heuristic_multi:gene
cds-WP_011293713.1,15,9,False,PMN2A_0179,heuristic_multi:gene
cds-WP_011293714.1,9,10,False,PMN2A_0180,heuristic_multi:gene
cds-WP_011293715.1,10,6,False,PMN2A_0181,heuristic_multi:gene
cds-WP_011293716.1,5,3,False,PMN2A_0182,heuristic_multi:gene
cds-WP_011293717.1,3,3,True,PMN2A_0183,heuristic_multi:gene
cds-WP_011293718.1,14,13,False,PMN2A_0184,heuristic_multi:gene
cds-WP_011293720.1,10,9,False,PMN2A_0186,heuristic_multi:gene
cds-WP_011293721.1,10,9,False,PMN2A_0187,heuristic_multi:gene
cds-WP_011293722.1,14,11,False,PMN2A_0188,heuristic_multi:gene
cds-WP_011293723.1,3,13,False,PMN2A_0189,heuristic_multi:gene
cds-WP_011293724.1,3,3,True,PMN2A_0190,heuristic_multi:gene
cds-WP_011293725.1,3,3,True,PMN2A_0191,heuristic_multi:gene
cds-WP_011293727.1,3,3,True,PMN2A_0193,heuristic_multi:gene
cds-WP_011293728.1,3,3,True,PMN2A_0194,heuristic_multi:gene
cds-WP_011293729.1,14,13,False,PMN2A_0195,heuristic_multi:gene
cds-WP_011293730.1,8,8,True,PMN2A_0196,heuristic_multi:gene
cds-WP_011293732.1,7,7,True,PMN2A_0198,heuristic_multi:gene
cds-WP_011293733.1,2,2,True,PMN2A_0199,heuristic_multi:gene
cds-WP_011293734.1,2,2,True,PMN2A_0200,heuristic_multi:gene
cds-WP_011293735.1,4,8,False,PMN2A_0201,multi:gene
cds-WP_011293736.1,4,8,False,PMN2A_0202,heuristic_multi:gene
cds-WP_011293737.1,4,8,False,PMN2A_0203,heuristic_multi:gene
cds-WP_011293738.1,3,13,False,PMN2A_0204,heuristic_multi:gene
cds-WP_011293739.1,14,3,False,PMN2A_0205,heuristic_multi:gene
cds-WP_011293740.1,3,13,False,PMN2A_0206,multi:gene
cds-WP_011293741.1,9,9,True,PMN2A_0207,heuristic_multi:gene
cds-WP_011293742.1,3,3,True,PMN2A_0208,heuristic_multi:gene
cds-WP_011293743.1,14,3,False,PMN2A_0209,heuristic_multi:gene
cds-WP_011293744.1,3,3,True,PMN2A_0210,heuristic_multi:gene
cds-WP_011293745.1,13,12,False,PMN2A_0211,heuristic_multi:gene
cds-WP_011293746.1,13,3,False,PMN2A_0212,heuristic_multi:gene
cds-WP_011293747.1,12,13,False,PMN2A_0213,multi:gene
cds-WP_011293748.1,14,3,False,PMN2A_0214,heuristic_multi:gene
cds-WP_011293749.1,1,14,False,PMN2A_0215,heuristic_multi:gene
cds-WP_011293750.1,1,14,False,PMN2A_0216,multi:gene
cds-WP_011293751.1,13,3,False,PMN2A_0217,heuristic_multi:gene
cds-WP_011293752.1,3,3,True,PMN2A_0218,heuristic_multi:gene
cds-WP_011293753.1,4,4,True,PMN2A_0219,heuristic_multi:gene
cds-WP_011293755.1,3,12,False,PMN2A_0221,heuristic_multi:gene
cds-WP_011293756.1,5,6,False,PMN2A_0222,heuristic_multi:gene
cds-WP_011293757.1,2,7,False,PMN2A_0223,heuristic_multi:gene
cds-WP_011293758.1,9,10,False,PMN2A_0224,heuristic_multi:gene
cds-WP_011293759.1,15,13,False,PMN2A_0225,heuristic_multi:gene
cds-WP_011293760.1,15,9,False,PMN2A_0226,heuristic_multi:gene
cds-WP_011293762.1,3,13,False,PMN2A_0228,heuristic_multi:gene
cds-WP_011293763.1,3,13,False,PMN2A_0229,heuristic_multi:gene
cds-WP_011293764.1,3,3,True,PMN2A_0230,heuristic_multi:gene
cds-WP_011293765.1,15,15,True,PMN2A_0231,heuristic_multi:gene
cds-WP_011293767.1,10,2,False,PMN2A_0233,heuristic_multi:gene
cds-WP_011293768.1,5,4,False,PMN2A_0234,heuristic_multi:gene
cds-WP_011293769.1,5,2,False,PMN2A_0235,heuristic_multi:gene
cds-WP_011293770.1,5,2,False,PMN2A_0236,heuristic_multi:gene
cds-WP_011293771.1,7,7,True,PMN2A_0237,heuristic_multi:gene
cds-WP_011293772.1,6,12,False,PMN2A_0238,heuristic_multi:gene
cds-WP_011293773.1,13,13,True,PMN2A_0239,heuristic_multi:gene
cds-WP_011293775.1,11,3,False,PMN2A_0241,heuristic_multi:gene
cds-WP_011293776.1,14,14,True,PMN2A_0242,heuristic_multi:gene
cds-WP_011293777.1,10,7,False,PMN2A_0243,heuristic_multi:gene
cds-WP_011293778.1,4,8,False,PMN2A_0244,heuristic_multi:gene
cds-WP_011293779.1,3,13,False,PMN2A_0245,heuristic_multi:gene
cds-WP_011293780.1,10,7,False,PMN2A_0246,heuristic_multi:gene
cds-WP_011293781.1,6,2,False,PMN2A_0247,multi:gene
cds-WP_011293782.1,10,7,False,PMN2A_0248,heuristic_multi:gene
cds-WP_011293783.1,8,8,True,PMN2A_0249,heuristic_multi:gene
cds-WP_011293785.1,9,15,False,PMN2A_0251,heuristic_multi:gene
cds-WP_011293786.1,15,2,False,PMN2A_0252,heuristic_multi:gene
cds-WP_011293787.1,13,12,False,PMN2A_0253,heuristic_multi:gene
cds-WP_011293788.1,3,13,False,PMN2A_0254,heuristic_multi:gene
cds-WP_011293789.1,2,3,False,PMN2A_0255,heuristic_multi:gene
cds-WP_011293790.1,14,11,False,PMN2A_0256,heuristic_multi:gene
cds-WP_011293791.1,5,11,False,PMN2A_0257,heuristic_multi:gene
cds-WP_011293792.1,9,7,False,PMN2A_0258,heuristic_multi:gene
cds-WP_011293793.1,15,7,False,PMN2A_0259,heuristic_multi:gene
cds-WP_011293795.1,9,9,True,PMN2A_0261,heuristic_multi:gene
cds-WP_011293796.1,15,9,False,PMN2A_0262,heuristic_multi:gene
cds-WP_011293797.1,11,15,False,PMN2A_0263,heuristic_multi:gene
cds-WP_011293798.1,11,11,True,PMN2A_0264,heuristic_multi:gene
cds-WP_011293799.1,9,15,False,PMN2A_0265,heuristic_multi:gene
cds-WP_011293800.1,5,11,False,PMN2A_0266,heuristic_multi:gene
cds-WP_011293801.1,14,11,False,PMN2A_0267,heuristic_multi:gene
cds-WP_011293802.1,4,8,False,PMN2A_0268,heuristic_multi:gene
cds-WP_011293803.1,6,10,False,PMN2A_0269,heuristic_multi:gene
cds-WP_011293804.1,12,2,False,PMN2A_0270,heuristic_multi:gene
cds-WP_011293805.1,6,9,False,PMN2A_0271,heuristic_multi:gene
cds-WP_011293806.1,6,13,False,PMN2A_0272,heuristic_multi:gene
cds-WP_011293807.1,13,3,False,PMN2A_0273,heuristic_multi:gene
cds-WP_011293808.1,13,3,False,PMN2A_0274,heuristic_multi:gene
cds-WP_011293809.1,13,15,False,PMN2A_0275,heuristic_multi:gene
cds-WP_011293811.1,15,15,True,PMN2A_0277,heuristic_multi:gene
cds-WP_011293812.1,4,8,False,PMN2A_0278,heuristic_multi:gene
cds-WP_011293813.1,13,13,True,PMN2A_0279,heuristic_multi:gene
cds-WP_011293814.1,13,13,True,PMN2A_0280,heuristic_multi:gene
cds-WP_011293815.1,13,3,False,PMN2A_0281,heuristic_multi:gene
cds-WP_011293816.1,12,12,True,PMN2A_0282,heuristic_multi:gene
cds-WP_011293817.1,12,12,True,PMN2A_0283,heuristic_multi:gene
cds-WP_011293819.1,11,11,True,PMN2A_0285,heuristic_multi:gene
cds-WP_011293820.1,6,12,False,PMN2A_0286,heuristic_multi:gene
cds-WP_011293821.1,10,9,False,PMN2A_0287,heuristic_multi:gene
cds-WP_011293822.1,13,3,False,PMN2A_0288,heuristic_multi:gene
cds-WP_011293823.1,5,5,True,PMN2A_0289,heuristic_multi:gene
cds-WP_011293825.1,5,5,True,PMN2A_0291,heuristic_multi:gene
cds-WP_011293826.1,15,9,False,PMN2A_0292,heuristic_multi:gene
cds-WP_011293827.1,11,11,True,PMN2A_0293,heuristic_multi:gene
cds-WP_011293828.1,14,13,False,PMN2A_0294,heuristic_multi:gene
cds-WP_011293829.1,14,3,False,PMN2A_0295,multi:gene
cds-WP_011293830.1,15,15,True,PMN2A_0296,heuristic_multi:gene
cds-WP_011293831.1,7,5,False,PMN2A_0297,heuristic_multi:gene
cds-WP_011293832.1,4,10,False,PMN2A_0298,heuristic_multi:gene
cds-WP_011293833.1,9,10,False,PMN2A_0299,heuristic_multi:gene
cds-WP_011293834.1,3,3,True,PMN2A_0300,heuristic_multi:gene
cds-WP_011293835.1,3,3,True,PMN2A_0301,heuristic_multi:gene
cds-WP_011293836.1,11,3,False,PMN2A_0302,heuristic_multi:gene
cds-WP_011293837.1,3,3,True,PMN2A_0303,heuristic_multi:gene
cds-WP_011293838.1,11,11,True,PMN2A_0304,heuristic_multi:gene
cds-WP_011293839.1,11,11,True,PMN2A_0305,heuristic_multi:gene
cds-WP_011293840.1,15,9,False,PMN2A_0306,heuristic_multi:gene
cds-WP_011293841.1,8,10,False,PMN2A_0307,heuristic_multi:gene
cds-WP_011293842.1,9,9,True,PMN2A_0308,heuristic_multi:gene
cds-WP_011293843.1,12,14,False,PMN2A_0309,heuristic_multi:gene
cds-WP_011293844.1,10,11,False,PMN2A_0310,heuristic_multi:gene
cds-WP_011293845.1,10,11,False,PMN2A_0311,heuristic_multi:gene
cds-WP_011293846.1,10,7,False,PMN2A_0312,heuristic_multi:gene
cds-WP_011293847.1,10,7,False,PMN2A_0313,heuristic_multi:gene
cds-WP_011293848.1,6,10,False,PMN2A_0314,heuristic_multi:gene
cds-WP_011293849.1,6,10,False,PMN2A_0315,heuristic_multi:gene
cds-WP_011293850.1,7,9,False,PMN2A_0316,heuristic_multi:gene
cds-WP_011293851.1,13,3,False,PMN2A_0317,heuristic_multi:gene
cds-WP_011293852.1,15,15,True,PMN2A_0318,heuristic_multi:gene
cds-WP_011293853.1,9,9,True,PMN2A_0319,heuristic_multi:gene
cds-WP_011293854.1,10,15,False,PMN2A_0320,heuristic_multi:gene
cds-WP_011293855.1,11,11,True,PMN2A_0321,heuristic_multi:gene
cds-WP_011293856.1,4,8,False,PMN2A_0322,heuristic_multi:gene
cds-WP_011293857.1,8,8,True,PMN2A_0323,heuristic_multi:gene
cds-WP_011293858.1,2,2,True,PMN2A_0324,heuristic_multi:gene
cds-WP_011293859.1,2,2,True,PMN2A_0325,heuristic_multi:gene
cds-WP_011293860.1,12,13,False,PMN2A_0326,heuristic_multi:gene
cds-WP_011293861.1,11,11,True,PMN2A_0327,heuristic_multi:gene
cds-WP_011293862.1,13,11,False,PMN2A_0328,heuristic_multi:gene
cds-WP_011293863.1,6,4,False,PMN2A_0329,heuristic_multi:gene
cds-WP_011293865.1,7,7,True,PMN2A_0331,heuristic_multi:gene
cds-WP_011293866.1,5,3,False,PMN2A_0332,heuristic_multi:gene
cds-WP_011293867.1,14,12,False,PMN2A_0333,heuristic_multi:gene
cds-WP_011293868.1,14,3,False,PMN2A_0334,heuristic_multi:gene
cds-WP_011293869.1,6,8,False,PMN2A_0335,heuristic_multi:gene
cds-WP_011293870.1,15,15,True,PMN2A_0336,multi:gene
cds-WP_011293871.1,9,9,True,PMN2A_0337,heuristic_multi:gene
cds-WP_011293872.1,14,11,False,PMN2A_0338,heuristic_multi:gene
cds-WP_011293873.1,14,11,False,PMN2A_0339,heuristic_multi:gene
cds-WP_011293874.1,14,11,False,PMN2A_0340,heuristic_multi:gene
cds-WP_011293875.1,14,11,False,PMN2A_0341,heuristic_multi:gene
cds-WP_011293876.1,3,3,True,PMN2A_0342,heuristic_multi:gene
cds-WP_011293877.1,13,14,False,PMN2A_0343,heuristic_multi:gene
cds-WP_011293878.1,13,14,False,PMN2A_0344,heuristic_multi:gene
cds-WP_011293879.1,6,4,False,PMN2A_0345,heuristic_multi:gene
cds-WP_011293880.1,6,12,False,PMN2A_0346,heuristic_multi:gene
cds-WP_011293881.1,7,8,False,PMN2A_0347,multi:gene
cds-WP_011293882.1,10,15,False,PMN2A_0348,heuristic_multi:gene
cds-WP_011293884.1,6,4,False,PMN2A_0350,heuristic_multi:gene
cds-WP_011293885.1,1,14,False,PMN2A_0351,heuristic_multi:gene
cds-WP_011293886.1,14,11,False,PMN2A_0352,heuristic_multi:gene
cds-WP_011293887.1,10,9,False,PMN2A_0353,heuristic_multi:gene
cds-WP_011293888.1,3,11,False,PMN2A_0354,heuristic_multi:gene
cds-WP_011293889.1,10,15,False,PMN2A_0355,heuristic_multi:gene
cds-WP_011293890.1,10,9,False,PMN2A_0356,heuristic_multi:gene
cds-WP_011293891.1,7,7,True,PMN2A_0357,multi:gene
cds-WP_011293892.1,6,12,False,PMN2A_0358,heuristic_multi:gene
cds-WP_011293894.1,2,4,False,PMN2A_0360,heuristic_multi:gene
cds-WP_011293895.1,15,10,False,PMN2A_0361,heuristic_multi:gene
cds-WP_011293896.1,6,12,False,PMN2A_0362,heuristic_multi:gene
cds-WP_011293898.1,5,5,True,PMN2A_0364,heuristic_multi:gene
cds-WP_011293899.1,5,1,False,PMN2A_0365,heuristic_multi:gene
cds-WP_011293900.1,5,5,True,PMN2A_0366,heuristic_multi:gene
cds-WP_011293901.1,2,2,True,PMN2A_0367,heuristic_multi:gene
cds-WP_011293902.1,15,15,True,PMN2A_0368,heuristic_multi:gene
cds-WP_011293903.1,3,11,False,PMN2A_0369,heuristic_multi:gene
cds-WP_011293904.1,5,5,True,PMN2A_0370,heuristic_multi:gene
cds-WP_011293905.1,12,12,True,PMN2A_0371,heuristic_multi:gene
cds-WP_011293906.1,2,2,True,PMN2A_0372,heuristic_multi:gene
cds-WP_011293907.1,1,1,True,PMN2A_0373,heuristic_multi:gene
cds-WP_011293908.1,1,1,True,PMN2A_0374,heuristic_multi:gene
cds-WP_011293909.1,10,8,False,PMN2A_0375,heuristic_multi:gene
cds-WP_011293910.1,3,14,False,PMN2A_0376,heuristic_multi:gene
