locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0137,2,-0.81,1.58,1.11,1.0,"Fatty acid, phospholipid and sterol metabolism",Malonyl coenzyme A-acyl carrier protein transacylase,3h,PMM0137,locus_tag:locus_tag
PMM0138,2,-0.27,0.65,0.46,0.89,"Fatty acid, phospholipid and sterol metabolism",putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,3h,PMM0138,locus_tag:locus_tag
PMM0139,2,-0.1,0.41,0.29,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0139,locus_tag:locus_tag
PMM0140,2,2.86,1.93,1.36,0.0,Regulatory functions,putative Ycf34,3h,PMM0140,locus_tag:locus_tag
PMM0142,2,2.14,0.31,0.22,0.0,"Fatty acid, phospholipid and sterol metabolism",RNA-binding region RNP-1 (RNA recognition motif),3h,PMM0142,locus_tag:locus_tag
PMM0143,2,0.18,0.12,0.09,1.0,Carotenoid,Squalene and phytoene synthases,3h,PMM0143,locus_tag:locus_tag
PMM0144,2,-1.6,1.09,0.77,0.46,Carotenoid,phytoene desaturase,3h,PMM0144,locus_tag:locus_tag
PMM0145,2,-0.85,0.47,0.33,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0145,locus_tag:locus_tag
PMM0146,2,-0.09,0.82,0.58,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0146,locus_tag:locus_tag
PMM0147,2,0.05,0.91,0.64,1.0,Regulatory functions,putative Rubisco transcriptional regulator,3h,PMM0147,locus_tag:locus_tag
PMM0149,2,-1.45,0.33,0.23,0.49,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 5),3h,PMM0149,locus_tag:locus_tag
PMM0150,2,1.59,0.7,0.5,0.45,NADH dehydrogenase,putative NADH dehydrogenase subunit (chain 4),3h,PMM0150,locus_tag:locus_tag
PMM0153,2,-0.43,0.09,0.07,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0153,locus_tag:locus_tag
PMM0154,2,-0.19,0.02,0.01,1.0,Regulatory functions,"Bacterial regulatory protein, LuxR family",3h,PMM0154,locus_tag:locus_tag
PMM0159,2,-1.62,0.23,0.16,0.65,NADH dehydrogenase,putative NADH Dehydrogenase subunit,3h,PMM0159,locus_tag:locus_tag
PMM0160,2,-1.25,0.22,0.16,0.47,NADH dehydrogenase,putative respiratory-chain NADH dehydrogenase subunit,3h,PMM0160,locus_tag:locus_tag
PMM0163,2,0.02,0.41,0.29,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0163,locus_tag:locus_tag
PMM0164,2,-0.65,0.01,0.01,1.0,Aromatic amino acid family,"Tryptophan synthase, beta chain:Pyridoxal-5'-phosphate-depend...",3h,PMM0164,locus_tag:locus_tag
PMM0172,2,2.48,0.76,0.54,0.0,NADH dehydrogenase,putative NADH dehydrogenase subunit,3h,PMM0172,locus_tag:locus_tag
PMM0179,2,1.18,0.18,0.13,0.47,Other,Glutaredoxin,3h,PMM0179,locus_tag:locus_tag
PMM0180,2,1.7,0.67,0.48,0.09,Protein modification and translation factors,peptide chain release factor RF-2,3h,PMM0180,locus_tag:locus_tag
PMM0184,2,-1.82,0.14,0.1,0.29,Aromatic amino acid family,para-aminobenzoate synthase component II,3h,PMM0184,locus_tag:locus_tag
PMM0195,2,-0.5,0.2,0.14,1.0,Other,Phosphoglycerate kinase,3h,PMM0195,locus_tag:locus_tag
PMM0200,2,1.64,0.32,0.23,0.05,Degradation of RNA,possible ribonuclease HI,3h,PMM0200,locus_tag:locus_tag
PMM0201,2,1.25,0.05,0.04,1.0,Ribosomal proteins,50S ribosomal protein L7/L12,3h,PMM0201,locus_tag:locus_tag
PMM0202,2,0.89,0.33,0.24,1.0,Ribosomal proteins,50S ribosomal protein L10,3h,PMM0202,locus_tag:locus_tag
PMM0203,2,-1.3,0.18,0.12,1.0,Ribosomal proteins,50S ribosomal protein L1,3h,PMM0203,locus_tag:locus_tag
PMM0204,2,-1.51,0.4,0.28,1.0,Ribosomal proteins,50S ribosomal protein L11,3h,PMM0204,locus_tag:locus_tag
PMM0205,2,0.38,1.24,0.87,1.0,"RNA synthesis, modification, and DNA transcription transcription antitermination protein, NusG",,3h,PMM0205,locus_tag:locus_tag
PMM0206,2,-0.24,0.45,0.32,1.0,Protein and peptide secretion,"putative preprotein translocase, SecE subunit",3h,PMM0206,locus_tag:locus_tag
PMM0208,2,0.6,0.13,0.09,1.0,Other,Enolase,3h,PMM0208,locus_tag:locus_tag
PMM0209,2,0.25,0.45,0.31,1.0,Other,possible kinase,3h,PMM0209,locus_tag:locus_tag
PMM0211,2,-1.78,0.82,0.58,0.23,Other,FAD-dependent pyridine nucleotide-disulphide oxidoreductase,3h,PMM0211,locus_tag:locus_tag
PMM0212,2,-2.06,1.57,1.11,0.3,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0212,locus_tag:locus_tag
PMM0213,2,-1.3,3.11,2.2,0.85,Transport and binding proteins,putative sodium-dependent bicarbonate transporter,3h,PMM0213,locus_tag:locus_tag
PMM0214,2,-0.99,0.88,0.63,1.0,Regulatory functions,putative sulfate transporter,3h,PMM0214,locus_tag:locus_tag
PMM0216,2,1.05,1.52,1.08,0.67,Adaptations and atypical conditions,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,3h,PMM0216,locus_tag:locus_tag
PMM0218,2,-1.34,0.17,0.12,0.48,Other,GTP1/OBG family,3h,PMM0218,locus_tag:locus_tag
PMM0219,2,-2.3,1.8,1.27,0.01,Conserved hypothetical protein,conserved hypothetical,3h,PMM0219,locus_tag:locus_tag
PMM0220,2,-1.62,0.29,0.2,1.0,Other,No Cyanobase Name,3h,PMM0220,locus_tag:locus_tag
PMM0223,2,-1.77,0.01,0.0,1.0,Photosystem II,Photosystem II PsbA protein (D1),3h,PMM0223,locus_tag:locus_tag
PMM0224,2,2.0,0.7,0.49,0.04,Aromatic amino acid family,Chorismate synthase,3h,PMM0224,locus_tag:locus_tag
PMM0226,2,0.95,0.62,0.44,1.0,Cell division,cell division protein FtsH2,3h,PMM0226,locus_tag:locus_tag
PMM0228,2,1.07,1.23,0.87,1.0,Photosystem II,Photosystem II manganese-stabilizing protein,3h,PMM0228,locus_tag:locus_tag
PMM0231,2,0.75,0.46,0.32,0.9,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0231,locus_tag:locus_tag
PMM0235,2,0.59,0.69,0.49,1.0,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA(Gln) amidotransferase subunit C,3h,PMM0235,locus_tag:locus_tag
PMM0237,2,-0.51,0.22,0.15,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0237,locus_tag:locus_tag
PMM0239,2,-0.6,0.49,0.35,0.83,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0239,locus_tag:locus_tag
PMM0242,2,-1.94,1.35,0.96,0.1,Thiamine,thioredoxin-like protein TxlA,3h,PMM0242,locus_tag:locus_tag
PMM0243,2,-1.24,0.01,0.01,0.5,Pyrimidine ribonucleotide biosynthesis,possible Thy1 protein homolog,3h,PMM0243,locus_tag:locus_tag
PMM0244,2,-1.11,0.25,0.18,1.0,Purine ribonucleotide biosynthesis,dCTP Deaminase,3h,PMM0244,locus_tag:locus_tag
PMM0245,2,1.28,0.25,0.18,0.39,"Cobalamin, heme, phycobilin and porphyrin",cob(I)alamin adenosyltransferase,3h,PMM0245,locus_tag:locus_tag
PMM0246,2,0.57,0.11,0.08,1.0,Transport and binding proteins,"Global nitrogen regulatory protein, CRP family of transcriptional regulators",3h,PMM0246,locus_tag:locus_tag
PMM0251,2,-0.83,0.59,0.42,1.0,Photosystem II,Photosystem II PsbH protein,3h,PMM0251,locus_tag:locus_tag
PMM0252,2,-1.67,0.38,0.27,0.9,Photosystem II,Photosystem II reaction centre N protein (psbN),3h,PMM0252,locus_tag:locus_tag
PMM0253,2,-0.18,0.3,0.21,1.0,Photosystem II,photosystem II reaction center PsbI protein,3h,PMM0253,locus_tag:locus_tag
PMM0254,2,-0.65,1.23,0.87,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0254,locus_tag:locus_tag
PMM0258,2,2.05,0.97,0.69,0.03,Other,Serine hydroxymethyltransferase (SHMT),3h,PMM0258,locus_tag:locus_tag
PMM0259,2,-1.6,0.25,0.17,0.13,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0259,locus_tag:locus_tag
PMM0263,2,3.67,0.39,0.28,0.02,Transport and binding proteins,Ammonium transporter family,3h,PMM0263,locus_tag:locus_tag
PMM0264,2,-0.26,0.45,0.32,1.0,Murein sacculus and peptidoglycan,LytB protein homolog,3h,PMM0264,locus_tag:locus_tag
PMM0265,2,1.04,0.43,0.3,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0265,locus_tag:locus_tag
PMM0268,2,-0.05,0.19,0.14,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0268,locus_tag:locus_tag
PMM0272,2,-0.8,0.55,0.39,1.0,Photosystem II,Photosystem II protein PsbK,3h,PMM0272,locus_tag:locus_tag
PMM0273,2,-0.72,0.45,0.32,0.68,Other,probable oxidoreductase,3h,PMM0273,locus_tag:locus_tag
PMM0275,2,0.58,1.18,0.83,1.0,Pyrimidine ribonucleotide biosynthesis,Orotate phosphoribosyltransferase,3h,PMM0275,locus_tag:locus_tag
PMM0278,2,-1.13,0.7,0.5,0.63,Other,Phosphotransferase superclass,3h,PMM0278,locus_tag:locus_tag
PMM0279,2,-1.49,0.54,0.38,0.4,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0279,locus_tag:locus_tag
PMM0282,2,1.73,0.27,0.19,0.15,"Fatty acid, phospholipid and sterol metabolism",enoyl-[acyl-carrier-protein] reductase,3h,PMM0282,locus_tag:locus_tag
PMM0284,2,-1.94,0.31,0.22,0.02,Regulatory functions,putative pleiotropic regulatory protein,3h,PMM0284,locus_tag:locus_tag
PMM0286,2,-1.32,1.49,1.06,0.47,Other,NUDIX hydrolase,3h,PMM0286,locus_tag:locus_tag
PMM0289,2,-0.56,0.2,0.14,1.0,Transport and binding proteins,possible ABC transporter,3h,PMM0289,locus_tag:locus_tag
PMM0290,2,-1.0,0.13,0.09,0.61,Transport and binding proteins,"possible ABC transporter, ATP binding component",3h,PMM0290,locus_tag:locus_tag
PMM0293,2,0.51,0.47,0.33,1.0,NADH dehydrogenase,putative respiratory-chain NADH dehydrogenase subunit,3h,PMM0293,locus_tag:locus_tag
PMM0294,2,-0.84,0.02,0.01,1.0,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 3),3h,PMM0294,locus_tag:locus_tag
PMM0295,2,-2.22,0.46,0.33,0.1,Other,probable rubredoxin,3h,PMM0295,locus_tag:locus_tag
PMM0296,2,-0.22,0.3,0.21,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0296,locus_tag:locus_tag
PMM0297,2,0.55,0.32,0.22,1.0,Photosystem II,Cytochrome b559 alpha-subunit,3h,PMM0297,locus_tag:locus_tag
PMM0298,2,0.42,0.23,0.16,1.0,Photosystem II,Cytochrome b559 beta-subunit,3h,PMM0298,locus_tag:locus_tag
PMM0299,2,0.79,0.06,0.04,1.0,Photosystem II,photosystem II PsbL protein,3h,PMM0299,locus_tag:locus_tag
PMM0300,2,0.57,0.07,0.05,1.0,Photosystem II,photosytem II PsbJ protein,3h,PMM0300,locus_tag:locus_tag
PMM0301,2,-0.91,0.24,0.17,1.0,Other,5'-methylthioadenosine phosphorylase,3h,PMM0301,locus_tag:locus_tag
PMM0305,2,-0.95,0.03,0.02,1.0,Phycobilisome,Phycobilisome protein,3h,PMM0305,locus_tag:locus_tag
PMM0306,2,-1.43,0.03,0.02,0.6,Phycobilisome,phycoerythrin linker protein CpeS homolog,3h,PMM0306,locus_tag:locus_tag
PMM0307,2,-1.41,0.45,0.32,1.0,Conserved hypothetical protein,hypothetical,3h,PMM0307,locus_tag:locus_tag
PMM0308,2,-0.52,0.74,0.52,0.92,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0308,locus_tag:locus_tag
PMM0309,2,-2.76,0.32,0.22,0.0,Other,possible Pollen allergen,3h,PMM0309,locus_tag:locus_tag
PMM0311,2,-2.01,0.81,0.57,0.36,Aspartate family,S-adenosylmethionine synthetase,3h,PMM0311,locus_tag:locus_tag
PMM0312,2,-0.02,0.15,0.11,1.0,Ribosomal proteins,"30S ribosomal protein S1, homolog A",3h,PMM0312,locus_tag:locus_tag
PMM0313,2,3.35,0.49,0.35,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0313,locus_tag:locus_tag
PMM0314,2,-0.31,0.2,0.14,1.0,Photosystem II,Photosystem II PsbT protein,3h,PMM0314,locus_tag:locus_tag
PMM0315,2,-0.64,0.54,0.38,1.0,Photosystem II,Photosystem II PsbB protein (CP47),3h,PMM0315,locus_tag:locus_tag
PMM0316,2,-0.61,0.46,0.33,1.0,Soluble electron carriers,possible ferredoxin,3h,PMM0316,locus_tag:locus_tag
PMM0317,2,-1.62,1.22,0.86,0.85,Photosystem II,possible Photosystem II reaction center M protein (PsbM),3h,PMM0317,locus_tag:locus_tag
PMM0318,2,-1.26,1.16,0.82,1.0,"Cobalamin, heme, phycobilin and porphyrin",putative protein methyltransferase,3h,PMM0318,locus_tag:locus_tag
PMM0321,2,2.31,1.56,1.1,0.0,Cell division,putative septum site-determining protein MinD,3h,PMM0321,locus_tag:locus_tag
PMM0324,2,-1.47,1.13,0.8,0.95,Detoxification,PDZ domain (also known as DHR or GLGF):Tail specific protease...,3h,PMM0324,locus_tag:locus_tag
PMM0325,2,-0.74,0.65,0.46,1.0,Cytochrome b6/f complex,Cytochrome b6,3h,PMM0325,locus_tag:locus_tag
PMM0326,2,1.5,0.37,0.26,1.0,Cytochrome b6/f complex,PetD protein (subunit IV of the Cytochrome b6f complex),3h,PMM0326,locus_tag:locus_tag
PMM0327,2,0.76,0.54,0.38,1.0,Other,putative neutral invertase-like protein,3h,PMM0327,locus_tag:locus_tag
PMM0328,2,0.75,1.02,0.72,1.0,"DNA replication, recombination, and repair",Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase),3h,PMM0328,locus_tag:locus_tag
PMM0329,2,0.92,0.24,0.17,1.0,Photosystem I,Photosystem I PsaE protein (subunit IV),3h,PMM0329,locus_tag:locus_tag
PMM0333,2,-0.56,0.6,0.43,0.95,Other,GCN5-related N-acetyltransferase,3h,PMM0333,locus_tag:locus_tag
PMM0334,2,-0.06,0.08,0.06,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0334,locus_tag:locus_tag
PMM0336,2,3.71,0.71,0.5,0.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0336,locus_tag:locus_tag
PMM0337,2,-2.39,0.16,0.11,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0337,locus_tag:locus_tag
PMM0338,2,3.26,0.82,0.58,0.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0338,locus_tag:locus_tag
PMM0339,2,-0.21,0.25,0.18,1.0,Carotenoid,Bacterial-type phytoene dehydrogenase,3h,PMM0339,locus_tag:locus_tag
PMM0341,2,-1.91,1.84,1.3,0.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0341,locus_tag:locus_tag
PMM0342,2,-1.87,0.6,0.43,0.02,Other,possible Helper component proteinase,3h,PMM0342,locus_tag:locus_tag
PMM0343,2,2.52,0.0,0.0,0.0,Other,mttA/Hcf106 family,3h,PMM0343,locus_tag:locus_tag
PMM0345,2,-2.67,0.35,0.25,0.0,Transport and binding proteins,putative bacterioferritin comigratory protein,3h,PMM0345,locus_tag:locus_tag
PMM0346,2,-0.8,1.17,0.83,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0346,locus_tag:locus_tag
PMM0347,2,-0.74,0.17,0.12,1.0,Conserved hypothetical protein,conserved hypothetical,3h,PMM0347,locus_tag:locus_tag
PMM0348,2,-0.95,0.29,0.2,1.0,Other,possible Spectrin repeat,3h,PMM0348,locus_tag:locus_tag
PMM0350,2,-2.12,0.86,0.61,0.14,Regulatory functions,possible TIR domain,3h,PMM0350,locus_tag:locus_tag
PMM0356,2,-1.01,0.58,0.41,0.57,"Fatty acid, phospholipid and sterol metabolism",Alpha/beta hydrolase fold:Esterase/lipase/thioesterase family...,3h,PMM0356,locus_tag:locus_tag
PMM0364,2,-1.04,0.05,0.03,1.0,Other,possible Malic enzyme,3h,PMM0364,locus_tag:locus_tag
PMM0365,2,-1.07,0.73,0.52,0.56,Other,possible DsrE-like protein,3h,PMM0365,locus_tag:locus_tag
PMM0366,2,0.03,0.87,0.61,1.0,Transport and binding proteins,Type-1 copper (blue) domain,3h,PMM0366,locus_tag:locus_tag
PMM0367,2,-2.39,1.72,1.22,0.07,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0367,locus_tag:locus_tag
PMM0368,2,-0.19,1.37,0.97,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0368,locus_tag:locus_tag
PMM0370,2,-1.98,0.91,0.65,0.09,Transport and binding proteins,"putative cyanate ABC transporter, substrate binding protein",3h,PMM0370,locus_tag:locus_tag
PMM0371,2,0.08,1.47,1.04,1.0,Transport and binding proteins,putative cyanate ABC transporter,3h,PMM0371,locus_tag:locus_tag
PMM0373,2,3.49,2.5,1.77,0.0,Other,Cyanate lyase,3h,PMM0373,locus_tag:locus_tag
PMM0374,2,-0.04,0.34,0.24,1.0,Other,mttA/Hcf106 family,3h,PMM0374,locus_tag:locus_tag
PMM0377,2,1.11,0.18,0.13,0.52,Conserved hypothetical protein,hypothetical,3h,PMM0377,locus_tag:locus_tag
PMM0378,2,-1.14,0.8,0.56,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0378,locus_tag:locus_tag
