gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
SYNC_RS02595,,SYNC_RS02595,sync_0539,Protein Homology,518855.0,519961.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618495.1,DNA-processing protein DprA,WP_011618495.1,"GO:0030420,GO:0003677",,DNA binding|0003677||IEA,establishment of competence for transformation|0030420||IEA,sync_0539,518855.0,519961.0,+,CK_Syn_CC9311_00539,dprA,GO:0009294,CK_00001400,"D.9,F.1","Transformation,DNA replication%2C recombination%2C and repair","COG0758,bactNOG01132,cyaNOG02310","COG: LU,bactNOG: U,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",,,DNA mediated transformation,DNA recombination-mediator protein A,"PF02481,IPR003488","DNA recombination-mediator protein A,DNA recombination-mediator protein A","132,98","DNA metabolism / DNA replication%2C recombination%2C and repair,Cellular processes / DNA transformation"
prmC,prmC,SYNC_RS02600,sync_0540,Protein Homology,519971.0,520891.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618496.1,peptide chain release factor N(5)-glutamine methyltransferase,WP_011618496.1,"GO:0006412,GO:0018364,GO:0008757",,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,"translation|0006412||IEA,peptidyl-glutamine methylation|0018364||IEA",sync_0540,519971.0,520891.0,+,CK_Syn_CC9311_00540,prmC,"GO:0006412,GO:0018364,GO:0008757",CK_00000573,,,"COG2890,bactNOG05410,cyaNOG00965","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.1.1.297,peptide chain release factor N5-glutamine methyltransferase%3B N5-glutamine S-adenosyl-L-methionine dependent methyltransferase%3B N5-glutamine MTase%3B HemK%3B PrmC,"translation,peptidyl-glutamine methylation,translation,peptidyl-glutamine methylation,S-adenosylmethionine-dependent methyltransferase activity",protein-(glutamine-N5) methyltransferase%2C release factor-specific,"TIGR00536,TIGR03534,PF13659,PS00092,IPR004556,IPR019874,IPR002052","methyltransferase%2C HemK family,protein-(glutamine-N5) methyltransferase%2C release factor-specific,Description not found.,N-6 Adenine-specific DNA methylases signature.,Methyltransferase HemK-like,Protein-(glutamine-N5) methyltransferase%2C release factor-specific,DNA methylase%2C N-6 adenine-specific%2C conserved site",703,Unknown function / Enzymes of unknown specificity
SYNC_RS02605,,SYNC_RS02605,sync_0541,Protein Homology,520888.0,521505.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618497.1,L-threonylcarbamoyladenylate synthase,WP_011618497.1,"GO:0000166,GO:0003725,GO:0005524,GO:0061710",,"nucleotide binding|0000166||IEA,double-stranded RNA binding|0003725||IEA,ATP binding|0005524||IEA,L-threonylcarbamoyladenylate synthase|0061710||IEA",,sync_0541,520888.0,521505.0,+,CK_Syn_CC9311_00541,tsaC,"GO:0070526,GO:0006364,GO:0006450,GO:0008033,GO:0042254,GO:0000049,GO:0003725,GO:0005524,GO:0016779,GO:0000166,GO:0003723,GO:0016740",CK_00000574,K.3,tRNA and rRNA base modification,"COG0009,bactNOG98829,bactNOG02645,bactNOG99534,cyaNOG02794,cyaNOG02891","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"tRNA threonylcarbamoyladenosine modification,rRNA processing,regulation of translational fidelity,tRNA processing,ribosome biogenesis,tRNA threonylcarbamoyladenosine modification,rRNA processing,regulation of translational fidelity,tRNA processing,ribosome biogenesis,tRNA binding,double-stranded RNA binding,ATP binding,nucleotidyltransferase activity,nucleotide binding,RNA binding,transferase activity",L-threonylcarbamoyladenylate synthase,"PF01300,PS51163,IPR006070","Telomere recombination,YrdC-like domain profile.,YrdC-like domain",168,Protein synthesis / tRNA and rRNA base modification
SYNC_RS13700,,SYNC_RS13700,sync_0543,Protein Homology,521766.0,522035.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618498.1,response regulator transcription factor,WP_011618498.1,"GO:0000160,GO:0006355,GO:0003677",,DNA binding|0003677||IEA,"phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA",sync_0543,521766.0,522035.0,-,CK_Syn_CC9311_00543,sync_0543,"GO:0006355,GO:0003700,GO:0043565",CK_00002117,O,Signal transduction,"COG2197,COG2771,bactNOG75580,cyaNOG08048","COG: TK,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"regulation of transcription%2C DNA-templated,regulation of transcription%2C DNA-templated,DNA-binding transcription factor activity,sequence-specific DNA binding",transcriptional regulator%2C LuxR family,"PF00196,PS50043,IPR000792","Bacterial regulatory proteins%2C luxR family,LuxR-type HTH domain profile.,Transcription regulator LuxR%2C C-terminal","92,141,165","Cellular processes / Other,Transport and binding proteins / Unknown substrate,Transcription / Transcription factors"
minE,minE,SYNC_RS02615,sync_0544,Protein Homology,522042.0,522326.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618499.1,cell division topological specificity factor MinE,WP_011618499.1,"GO:0032955,GO:0051301",,,"regulation of division septum assembly|0032955||IEA,cell division|0051301||IEA",sync_0544,522042.0,522326.0,-,CK_Syn_CC9311_00544,minE,"GO:0000917,GO:0043093",CK_00000575,D.2,Cell division,"COG0851,bactNOG43889,bactNOG51027,bactNOG39115,cyaNOG03929","COG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,cyaNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning",,,"division septum assembly,FtsZ-dependent cytokinesis",cell division topological specificity factor MinE,"TIGR01215,PF03776,IPR005527","cell division topological specificity factor MinE,Septum formation topological specificity factor MinE,Cell division topological specificity factor MinE",93,Cellular processes / Cell division
minD,minD,SYNC_RS02620,sync_0545,Protein Homology,522331.0,523146.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006854928.1,septum site-determining protein MinD,WP_011618500.1,"GO:0000918,GO:0016887",,ATP hydrolysis activity|0016887||IEA,division septum site selection|0000918||IEA,sync_0545,522331.0,523146.0,-,CK_Syn_CC9311_00545,minD,"GO:0000917,GO:0043093,GO:0016887",CK_00000576,D.2,Cell division,"COG2894,bactNOG05716,bactNOG02885,cyaNOG00815","COG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,cyaNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning",,,"division septum assembly,FtsZ-dependent cytokinesis,division septum assembly,FtsZ-dependent cytokinesis,ATPase activity",septum site-determining protein MinD,"TIGR01968,PF01656,IPR002586,IPR010223","septum site-determining protein MinD,CobQ/CobB/MinD/ParA nucleotide binding domain,CobQ/CobB/MinD/ParA nucleotide binding domain,ATP binding protein MinD%2C bacterial-type",93,Cellular processes / Cell division
minC,minC,SYNC_RS02625,sync_0546,Protein Homology,523187.0,523888.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006854929.1,septum site-determining protein MinC,WP_041426337.1,"GO:0000917,GO:0032955,GO:0051302",,,"division septum assembly|0000917||IEA,regulation of division septum assembly|0032955||IEA,regulation of cell division|0051302||IEA",sync_0546,523187.0,523888.0,-,CK_Syn_CC9311_00546,minC,"GO:0000917,GO:0043093,GO:0004857",CK_00000577,D.2,Cell division,"COG0850,bactNOG38184,bactNOG27920,bactNOG41656,bactNOG17188,cyaNOG00588","COG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,bactNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning,cyaNOG: CELLULAR PROCESSES AND SIGNALING [D] Cell cycle control%2C cell division%2C chromosome partitioning",,,"division septum assembly,FtsZ-dependent cytokinesis,division septum assembly,FtsZ-dependent cytokinesis,enzyme inhibitor activity",septum formation inhibitor,"PF03775,IPR005526","Septum formation inhibitor MinC%2C C-terminal domain,Septum formation inhibitor MinC%2C C-terminal",93,Cellular processes / Cell division
SYNC_RS02630,,SYNC_RS02630,sync_0547,Protein Homology,523916.0,525172.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618502.1,HD domain-containing protein,WP_011618502.1,"GO:0042578,GO:0046872",,"phosphoric ester hydrolase activity|0042578||IEA,metal ion binding|0046872||IEA",,sync_0547,523916.0,525172.0,-,CK_Syn_CC9311_00547,sync_0547,"GO:0008081,GO:0046872",CK_00000578,R.2,Conserved hypothetical proteins,"COG1078,bactNOG04981,cyaNOG02175","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,"phosphoric diester hydrolase activity,metal ion binding",HD domain-containing protein,"PF01966,IPR006674","HD domain,HD domain",156,Hypothetical proteins / Conserved
ctpZ,ctpZ,SYNC_RS02635,sync_0548,Protein Homology,525169.0,526467.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618503.1,carboxyl-terminal processing protease CtpZ,WP_011618503.1,,,,,sync_0548,525169.0,526467.0,-,CK_Syn_CC9311_00548,ctp,"GO:0006508,GO:0019132",CK_00008110,"L.2,L.4","Protein modification and repair,Degradation of proteins%2C peptides%2C and glycopeptides","COG0793,bactNOG55909,bactNOG03447,cyaNOG05618","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",3.4.21.-,,"proteolysis,proteolysis,obsolete C-terminal processing peptidase activity",carboxy-terminal processing peptidase,"TIGR00225,PF03572,PS50106,IPR005151,IPR001478,IPR004447","C-terminal processing peptidase,Peptidase family S41,PDZ domain profile.,Tail specific protease,PDZ domain,C-terminal-processing peptidase S41A","138,140","Protein fate / Degradation of proteins%2C peptides%2C and glycopeptides,Protein fate / Protein modification and repair"
petB,petB,SYNC_RS02640,sync_0549,Protein Homology,526535.0,527191.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011128825.1,cytochrome b6,WP_006854932.1,,,,,sync_0549,526535.0,527191.0,+,CK_Syn_CC9311_00549,petB,"GO:0009767,GO:0022900,GO:0045158,GO:0009512",CK_00000579,J.3,Cytochrome b6/f complex,"COG1290,bactNOG05294,cyaNOG06334,cyaNOG00104","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.10.9.1,Transferred to 7.1.1.6,"photosynthetic electron transport chain,electron transport chain,photosynthetic electron transport chain,electron transport chain,electron transporter%2C transferring electrons within cytochrome b6/f complex of photosystem II activity,photosynthetic electron transport chain,electron transport chain,electron transporter%2C transferring electrons within cytochrome b6/f complex of photosystem II activity,cytochrome b6f complex",cytochrome b6,"PF13631,PS51002,IPR005797","Cytochrome b(N-terminal)/b6/petB,Cytochrome b/b6 N-terminal region profile.,Cytochrome b/b6%2C N-terminal","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
petD,petD,SYNC_RS02645,sync_0550,Protein Homology,527269.0,527751.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_010873379.1,cytochrome b6-f complex subunit IV,WP_006854933.1,"GO:0009767,GO:0045156,GO:0042651",thylakoid membrane|0042651||IEA,electron transporter%2C transferring electrons within the cyclic electron transport pathway of photosynthesis activity|0045156||IEA,photosynthetic electron transport chain|0009767||IEA,sync_0550,527269.0,527751.0,+,CK_Syn_CC9311_00550,petD,"GO:0009767,GO:0022900,GO:0009055,GO:0009512",CK_00000580,J.3,Cytochrome b6/f complex,"COG1290,bactNOG09840,bactNOG93164,cyaNOG00486","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.10.9.1,Transferred to 7.1.1.6,"photosynthetic electron transport chain,electron transport chain,photosynthetic electron transport chain,electron transport chain,electron transfer activity,photosynthetic electron transport chain,electron transport chain,electron transfer activity,cytochrome b6f complex",cytochrome b6/f complex subunit 4,"TIGR01156,PF00032,PS51003,IPR005870,IPR005798","cytb6/f complex subunit IV,Cytochrome b(C-terminal)/b6/petD,Cytochrome b/b6 C-terminal region profile.,Cytochrome b6/f complex%2C subunit IV,Cytochrome b/b6%2C C-terminal","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
SYNC_RS02650,,SYNC_RS02650,sync_0551,Protein Homology,527828.0,529282.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618504.1,glycoside hydrolase 100 family protein,WP_041426339.1,,,,,sync_0551,527828.0,529282.0,-,CK_Syn_CC9311_00551,invA,GO:0010131,CK_00000581,G.8, Glycogen and sugar metabolism,"NOG04872,COG2987,bactNOG14355,bactNOG24746,cyaNOG00634,cyaNOG02282","COG: POORLY CHARACTERIZED [S] Function unknown,COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",3.2.1.26,beta-fructofuranosidase%3B invertase%3B saccharase%3B glucosucrase%3B beta-h-fructosidase%3B beta-fructosidase%3B invertin%3B sucrase%3B maxinvert L 1000%3B fructosylinvertase%3B alkaline invertase%3B acid invertase,obsolete sucrose catabolic process%2C using invertase or sucrose synthase,alkaline and neutral invertase,"PF12899,IPR024746","Alkaline and neutral invertase,Glycosyl hydrolase family 100",144,Transport and binding proteins / Carbohydrates%2C organic alcohols%2C and acids
SYNC_RS14130,,SYNC_RS14130,sync_0552,GeneMarkS-2+,529262.0,529477.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_148201811.1,,,,,sync_0552,529313.0,529477.0,+,CK_Syn_CC9311_00552,sync_0552,,CK_00054103,,,,,,,,hypothetical protein,,,,
SYNC_RS02685,,SYNC_RS02685,sync_0559,Protein Homology,535589.0,536899.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618507.1,SulP family inorganic anion transporter,WP_237699257.1,"GO:0015103,GO:0016020",membrane|0016020||IEA,inorganic anion transmembrane transporter activity|0015103||IEA,,sync_0559,535589.0,536875.0,-,CK_Syn_CC9311_00559,sync_0559,"GO:0008272,GO:0015116,GO:0016021",CK_00056724,Q.2,Anions,COG0659,COG: METABOLISM [P] Inorganic ion transport and metabolism,,,"sulfate transport,sulfate transport,sulfate transmembrane transporter activity,sulfate transport,sulfate transmembrane transporter activity,integral component of membrane",putative sulfate transporter,"PF00916,PF13792,IPR011547,IPR030402","Sulfate permease family,Description not found.,SLC26A/SulP transporter domain,Description not found.",143,Transport and binding proteins / Anions
SYNC_RS02690,,SYNC_RS02690,sync_0561,Protein Homology,537077.0,537949.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618509.1,DNA-formamidopyrimidine glycosylase,WP_011618509.1,,,,,sync_0561,537077.0,537949.0,-,CK_Syn_CC9311_00561,mutM,"GO:0006281,GO:0008534,GO:0003906",CK_00000582,F.1.1,Base excision repair,"COG0266,bactNOG04458,cyaNOG01292","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair","3.2.2.23,4.2.99.18","DNA-formamidopyrimidine glycosylase%3B Fapy-DNA glycosylase%3B deoxyribonucleate glycosidase%3B 2%2C6-diamino-4-hydroxy-5N-formamidopyrimidine-DNA glycosylase%3B 2%2C6-diamino-4-hydroxy-5(N-methyl)formamidopyrimidine-DNA glycosylase%3B formamidopyrimidine-DNA glycosylase%3B DNA-formamidopyrimidine glycosidase%3B Fpg protein,Transferred to 4.2.99.18","DNA repair,DNA repair,oxidized purine nucleobase lesion DNA N-glycosylase activity,DNA-(apurinic or apyrimidinic site) endonuclease activity",formamidopyrimidine-DNA glycolase,"TIGR00577,PF06831,PF06827,PF01149,PS01242,PS51068,PS51066,IPR015887,IPR015886,IPR012319,IPR000214,IPR010663,IPR000191","DNA-formamidopyrimidine glycosylase,Formamidopyrimidine-DNA glycosylase H2TH domain,Zinc finger found in FPG and IleRS,Formamidopyrimidine-DNA glycosylase N-terminal domain,Zinc finger FPG-type signature.,Formamidopyrimidine-DNA glycosylase catalytic domain profile.,Zinc finger FPG-type profile.,DNA glycosylase/AP lyase%2C zinc finger domain%2C DNA-binding site,DNA glycosylase/AP lyase%2C H2TH DNA-binding,Formamidopyrimidine-DNA glycosylase%2C catalytic domain,Zinc finger%2C DNA glycosylase/AP lyase-type,Zinc finger%2C FPG/IleRS-type,Description not found.",132,DNA metabolism / DNA replication%2C recombination%2C and repair
SYNC_RS02695,,SYNC_RS02695,sync_0562,Protein Homology,537955.0,538164.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011932452.1,photosystem I reaction center subunit IV,WP_006854760.1,,,,,sync_0562,537955.0,538164.0,-,CK_Syn_CC9311_00562,psaE,"GO:0015979,GO:0016168,GO:0009538,GO:0009522,GO:0042651",CK_00000137,J.7,Photosystem I,"NOG08807,bactNOG43419,cyaNOG03796","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthesis,photosynthesis,chlorophyll binding,photosynthesis,chlorophyll binding,photosystem I reaction center,photosystem I,thylakoid membrane",photosystem I reaction centre subunit IV,"PF02427,IPR003375","Photosystem I reaction centre subunit IV / PsaE,Photosystem I PsaE%2C reaction centre subunit IV",164,Energy metabolism / Photosynthesis
SYNC_RS02700,,SYNC_RS02700,sync_0563,Protein Homology,538385.0,539347.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007100527.1,hypothetical protein,WP_237699300.1,,,,,sync_0563,538310.0,539347.0,+,CK_Syn_CC9311_00563,sync_0563,"GO:0008150,GO:0003674,GO:0005575",CK_00001210,,,"COG0079,NOG10462,COG0840,COG0488,bactNOG13800,cyaNOG01585","COG: METABOLISM [E] Amino acid transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,COG: NT,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"biological_process,biological_process,molecular_function,biological_process,molecular_function,cellular_component",conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
SYNC_RS02705,,SYNC_RS02705,sync_0564,Protein Homology,539398.0,540888.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618511.1,ATP-dependent DNA helicase RecQ,WP_011618511.1,"GO:0016887,GO:0043138",,"ATP hydrolysis activity|0016887||IEA,3'-5' DNA helicase activity|0043138||IEA",,sync_0564,539398.0,540888.0,+,CK_Syn_CC9311_00564,recQ,"GO:0006281,GO:0006260,GO:0009432,GO:0006310,GO:0003678,GO:0003677,GO:0005524,GO:0008270,GO:0043140,GO:0017116,GO:0003676,GO:0005524,GO:0008026,GO:0033202,GO:0030894,GO:0005737,GO:0043590,GO:0017117",CK_00001211,F.1.4,Homologous recombination,"COG0514,bactNOG00383,bactNOG97999,cyaNOG00107","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",3.6.4.12,DNA helicase%3B 3' to 5' DNA helicase%3B 3'-5' DNA helicase%3B 3'-5' PfDH%3B 5' to 3' DNA helicase%3B AvDH1%3B BACH1 helicase%3B BcMCM%3B BLM protein%3B BRCA1-associated C-terminal helicase%3B CeWRN-1%3B Dbp9p%3B DmRECQ5%3B DNA helicase 120%3B DNA helicase A%3B DNA helicase E%3B DNA helicase II%3B DNA helicase III%3B DNA helicase RECQL5beta%3B DNA helicase VI%3B dnaB%3B DnaB helicase E1%3B helicase HDH IV%3B Hel E%3B helicase DnaB%3B helicase domain of bacteriophage T7 gene 4 protein helicase%3B PcrA helicase%3B UvrD%3B hHcsA%3B Hmi1p%3B hPif1%3B MCM helicase%3B MCM protein%3B MER3 helicase%3B MER3 protein%3B MPH1%3B PcrA%3B PcrA helicase%3B PDH120%3B PfDH A%3B Pfh1p%3B PIF1,"DNA repair,DNA replication,SOS response,DNA recombination,DNA repair,DNA replication,SOS response,DNA recombination,DNA helicase activity,DNA binding,ATP binding,zinc ion binding,3'-5' DNA helicase activity,single-stranded DNA helicase activity,nucleic acid binding,ATP binding,helicase activity,DNA repair,DNA replication,SOS response,DNA recombination,DNA helicase activity,DNA binding,ATP binding,zinc ion binding,3'-5' DNA helicase activity,single-stranded DNA helicase activity,nucleic acid binding,ATP binding,helicase activity,DNA helicase complex,replisome,cytoplasm,bacterial nucleoid,single-stranded DNA-dependent ATP-dependent DNA helicase complex",ATP-dependent DNA helicase,"TIGR00614,PF00270,PF00271,PS51194,PS51192,IPR001650,IPR011545,IPR004589,IPR014001","ATP-dependent DNA helicase%2C RecQ family,DEAD/DEAH box helicase,Helicase conserved C-terminal domain,Superfamilies 1 and 2 helicase C-terminal domain profile.,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.,Helicase%2C C-terminal,DEAD/DEAH box helicase domain,DNA helicase%2C ATP-dependent%2C RecQ type,Helicase superfamily 1/2%2C ATP-binding domain",132,DNA metabolism / DNA replication%2C recombination%2C and repair
SYNC_RS02710,,SYNC_RS02710,sync_0565,Protein Homology,540890.0,541912.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006854757.1,LysM peptidoglycan-binding domain-containing protein,WP_041426341.1,,,,,sync_0565,540890.0,541954.0,-,CK_Syn_CC9311_00565,sync_0565,,CK_00040676,C.3,Surface polysaccharides and lipopolysaccharides,"COG0739,COG1388,bactNOG36546,cyaNOG05985","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",,,,LysM domain-containing protein,"PF01476,PS51782,IPR018392,IPR036779","LysM domain,LysM domain profile.,LysM domain,LysM domain superfamily",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
SYNC_RS02715,,SYNC_RS02715,sync_0566,Protein Homology,542018.0,543418.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011618513.1,aldehyde dehydrogenase family protein,WP_011618513.1,,,,,sync_0566,542018.0,543418.0,-,CK_Syn_CC9311_00566,ALDH,"GO:0006081,GO:0006950,GO:0008152,GO:0055114,GO:0004030,GO:0004029,GO:0016491,GO:0016620,GO:0009501,GO:0009507",CK_00000138,"D.1.7,G.4,G.6","Trace metals,Glycolysis/gluconeogenesis,Pyruvate and acetyl-CoA metabolism","COG1012,bactNOG00059,bactNOG00852,cyaNOG00369","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.2.1.3,aldehyde dehydrogenase (NAD+)%3B CoA-independent aldehyde dehydrogenase%3B m-methylbenzaldehyde dehydrogenase%3B NAD-aldehyde dehydrogenase%3B NAD-dependent 4-hydroxynonenal dehydrogenase%3B NAD-dependent aldehyde dehydrogenase%3B NAD-linked aldehyde dehydrogenase%3B propionaldehyde dehydrogenase%3B aldehyde dehydrogenase (NAD),"cellular aldehyde metabolic process,response to stress,metabolic process,oxidation-reduction process,cellular aldehyde metabolic process,response to stress,metabolic process,oxidation-reduction process,aldehyde dehydrogenase [NAD(P)+] activity,aldehyde dehydrogenase (NAD+) activity,oxidoreductase activity,oxidoreductase activity%2C acting on the aldehyde or oxo group of donors%2C NAD or NADP as acceptor,cellular aldehyde metabolic process,response to stress,metabolic process,oxidation-reduction process,aldehyde dehydrogenase [NAD(P)+] activity,aldehyde dehydrogenase (NAD+) activity,oxidoreductase activity,oxidoreductase activity%2C acting on the aldehyde or oxo group of donors%2C NAD or NADP as acceptor,amyloplast,chloroplast",aldehyde dehydrogenase (NAD+),"PF00171,PS00687,IPR015590,IPR029510,IPR016162,IPR016161,IPR016163","Aldehyde dehydrogenase family,Aldehyde dehydrogenases glutamic acid active site.,Aldehyde dehydrogenase domain,Aldehyde dehydrogenase%2C glutamic acid active site,Aldehyde dehydrogenase%2C N-terminal,Aldehyde/histidinol dehydrogenase,Aldehyde dehydrogenase%2C C-terminal","116,118","Energy metabolism / Glycolysis/gluconeogenesis,Energy metabolism / Pyruvate dehydrogenase"
