gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
SY28_RS00065,,SY28_RS00065,SY28_00065,Protein Homology,10771,11580,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015716124.1,[LysW]-aminoadipate kinase,WP_027886511.1,,,,,,SY28_00065,
SY28_RS00070,,SY28_RS00070,SY28_00070,Protein Homology,11611,13389,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014966.1,acyl-CoA dehydrogenase,WP_027886510.1,"GO:0006631,GO:0003995,GO:0050660",,"acyl-CoA dehydrogenase activity|0003995||IEA,flavin adenine dinucleotide binding|0050660||IEA",fatty acid metabolic process|0006631||IEA,,SY28_00070,1.3.8.-
SY28_RS00075,,SY28_RS00075,SY28_00075,Protein Homology,13632,15062,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014965.1,phosphodiester glycosidase family protein,WP_082039121.1,"GO:0005975,GO:0004553",,hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA,carbohydrate metabolic process|0005975||IEA,,SY28_00075,3.1.4.-
bshA,bshA,SY28_RS00080,SY28_00080,Protein Homology,15280,16545,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014961.1,N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA,WP_027886508.1,"GO:0071793,GO:0016757",,glycosyltransferase activity|0016757||IEA,bacillithiol biosynthetic process|0071793||IEA,,SY28_00080,
ilvA,ilvA,SY28_RS00085,SY28_00085,Protein Homology,16624,17856,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014959.1,threonine ammonia-lyase,WP_027886507.1,"GO:0006567,GO:0004794",,threonine deaminase activity|0004794||IEA,L-threonine catabolic process|0006567||IEA,,SY28_00085,4.3.1.19
crtI,crtI,SY28_RS00090,SY28_00090,Protein Homology,17883,19535,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013157489.1,phytoene desaturase family protein,WP_036196758.1,"GO:0016117,GO:0016166",,phytoene dehydrogenase activity|0016166||IEA,carotenoid biosynthetic process|0016117||IEA,,SY28_00090,1.-.-.-
SY28_RS00095,,SY28_RS00095,SY28_00095,Protein Homology,19620,20591,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015586686.1,NADPH:quinone oxidoreductase family protein,WP_198525948.1,"GO:0016491,GO:0016655,GO:0048038,GO:0070402",,"oxidoreductase activity|0016491||IEA,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor|0016655||IEA,quinone binding|0048038||IEA,NADPH binding|0070402||IEA",,,SY28_00095,1.-.-.-
solA,solA,SY28_RS00100,SY28_00100,Protein Homology,20588,21772,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014955.1,N-methyl-L-tryptophan oxidase,WP_027886505.1,GO:0050131,,N-methyl-L-amino-acid oxidase activity|0050131||IEA,,,SY28_00100,1.5.3.2
SY28_RS00105,,SY28_RS00105,SY28_00105,Protein Homology,21959,22810,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014954.1,alpha/beta hydrolase,WP_027886504.1,GO:0016787,,hydrolase activity|0016787||IEA,,,SY28_00105,3.-.-.-
SY28_RS00110,,SY28_RS00110,SY28_00110,Protein Homology,22990,23616,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014953.1,TapB family protein,WP_027886503.1,,,,,,SY28_00110,
SY28_RS00115,,SY28_RS00115,SY28_00115,Protein Homology,23665,24012,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014952.1,HepT-like ribonuclease domain-containing protein,WP_027886502.1,"GO:0004540,GO:0110001",toxin-antitoxin complex|0110001||IEA,RNA nuclease activity|0004540||IEA,,,SY28_00115,3.1.27.-
SY28_RS00120,,SY28_RS00120,SY28_00120,Protein Homology,24002,24289,-,,,COORDINATES: protein motif:HMM:NF014021.6,nucleotidyltransferase family protein,WP_027886501.1,"GO:0016779,GO:0046872",,"nucleotidyltransferase activity|0016779||IEA,metal ion binding|0046872||IEA",,,SY28_00120,2.7.7.-
carA,carA,SY28_RS00125,SY28_00125,Protein Homology,24546,25712,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018465828.1,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,WP_027886500.1,"GO:0006207,GO:0006541,GO:0004088",,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|0004088||IEA,"'de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA,glutamine metabolic process|0006541||IEA",,SY28_00125,6.3.5.5
SY28_RS00130,,SY28_RS00130,SY28_00130,Protein Homology,25792,26886,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014949.1,type II toxin-antitoxin system HicB family antitoxin,WP_027886499.1,,,,,,SY28_00130,
SY28_RS00135,,SY28_RS00135,SY28_00135,Protein Homology,26946,27491,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014948.1,N-acetyltransferase,WP_027886498.1,"GO:0006526,GO:0008080",,N-acetyltransferase activity|0008080||IEA,L-arginine biosynthetic process|0006526||IEA,,SY28_00135,
argH,argH,SY28_RS00140,SY28_00140,Protein Homology,27478,28914,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014947.1,argininosuccinate lyase,WP_027886497.1,"GO:0042450,GO:0004056",,argininosuccinate lyase activity|0004056||IEA,L-arginine biosynthetic process via ornithine|0042450||IEA,,SY28_00140,4.3.2.1
SY28_RS00145,,SY28_RS00145,SY28_00145,Protein Homology,28928,29425,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014946.1,GNAT family N-acetyltransferase,WP_027886496.1,"GO:0008080,GO:0016746",,"N-acetyltransferase activity|0008080||IEA,acyltransferase activity|0016746||IEA",,,SY28_00145,2.3.-.-
SY28_RS00150,,SY28_RS00150,SY28_00150,Protein Homology,29437,30630,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014945.1,argininosuccinate synthase,WP_027886495.1,"GO:0006526,GO:0004055,GO:0005524",,"argininosuccinate synthase activity|0004055||IEA,ATP binding|0005524||IEA",L-arginine biosynthetic process|0006526||IEA,,SY28_00150,6.3.4.5
SY28_RS00155,,SY28_RS00155,SY28_00155,Protein Homology,30918,31505,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014944.1,glycerol-3-phosphate acyltransferase,WP_027886494.1,"GO:0006654,GO:0008654,GO:0043772,GO:0005886",plasma membrane|0005886||IEA,acyl-phosphate glycerol-3-phosphate acyltransferase activity|0043772||IEA,"phosphatidic acid biosynthetic process|0006654||IEA,phospholipid biosynthetic process|0008654||IEA",,SY28_00155,2.3.1.-
SY28_RS15920,,SY28_RS15920,SY28_RS15920,Protein Homology,31468,32814,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014943.1,3-oxoacid CoA-transferase,WP_081698338.1,"GO:0046952,GO:0008410",,CoA-transferase activity|0008410||IEA,ketone body catabolic process|0046952||IEA,,,2.8.3.5
pcaB,pcaB,SY28_RS00165,SY28_00165,Protein Homology,32811,34172,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014942.1,3-carboxy-cis%2Ccis-muconate cycloisomerase,WP_043981883.1,"GO:0019619,GO:0047472",,3-carboxy-cis%2Ccis-muconate cycloisomerase activity|0047472||IEA,3%2C4-dihydroxybenzoate catabolic process|0019619||IEA,,SY28_00165,5.5.1.2
pcaG,pcaG,SY28_RS00170,SY28_00170,Protein Homology,34176,34727,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014941.1,protocatechuate 3%2C4-dioxygenase subunit alpha,WP_027886491.1,"GO:0046278,GO:0005506,GO:0018578",,"iron ion binding|0005506||IEA,protocatechuate 3%2C4-dioxygenase activity|0018578||IEA",3%2C4-dihydroxybenzoate metabolic process|0046278||IEA,,SY28_00170,1.13.11.3
pcaH,pcaH,SY28_RS00175,SY28_00175,Protein Homology,34727,35446,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014940.1,protocatechuate 3%2C4-dioxygenase subunit beta,WP_043981884.1,"GO:0046278,GO:0005506,GO:0018578",,"iron ion binding|0005506||IEA,protocatechuate 3%2C4-dioxygenase activity|0018578||IEA",3%2C4-dihydroxybenzoate metabolic process|0046278||IEA,,SY28_00175,1.13.11.3
pcaC,pcaC,SY28_RS00180,SY28_00180,Protein Homology,35439,35840,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014939.1,4-carboxymuconolactone decarboxylase,WP_027886489.1,GO:0047575,,4-carboxymuconolactone decarboxylase activity|0047575||IEA,,,SY28_00180,4.1.1.44
pcaD,pcaD,SY28_RS00185,SY28_00185,Protein Homology,35830,36624,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015586691.1,3-oxoadipate enol-lactonase,WP_043981885.1,"GO:0042952,GO:0047570",,3-oxoadipate enol-lactonase activity|0047570||IEA,beta-ketoadipate pathway|0042952||IEA,,SY28_00185,3.1.1.24
SY28_RS00190,,SY28_RS00190,SY28_00190,Protein Homology,36627,37430,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014937.1,IclR family transcriptional regulator,WP_043981887.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,SY28_00190,
SY28_RS00195,,SY28_RS00195,SY28_00195,Protein Homology,37604,38791,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014515710.1,ABC transporter substrate-binding protein,WP_027886487.1,,,,,,SY28_00195,
SY28_RS00200,,SY28_RS00200,SY28_00200,Protein Homology,38794,39657,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014935.1,branched-chain amino acid ABC transporter permease,WP_027886486.1,"GO:0015803,GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",branched-chain amino acid transport|0015803||IEA,,SY28_00200,
SY28_RS00205,,SY28_RS00205,SY28_00205,Protein Homology,39654,40604,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065207.1,branched-chain amino acid ABC transporter permease,WP_027886485.1,"GO:0015803,GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",branched-chain amino acid transport|0015803||IEA,,SY28_00205,
SY28_RS00210,,SY28_RS00210,SY28_00210,Protein Homology,40597,42045,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014933.1,ATP-binding cassette domain-containing protein,WP_051349777.1,GO:0005524,,ATP binding|0005524||IEA,,,SY28_00210,
SY28_RS00215,,SY28_RS00215,SY28_00215,Protein Homology,42061,43395,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014932.1,aromatic ring-hydroxylating oxygenase subunit alpha,WP_027886483.1,"GO:0005506,GO:0016705,GO:0051537",,"iron ion binding|0005506||IEA,oxidoreductase activity%2C acting on paired donors%2C with incorporation or reduction of molecular oxygen|0016705||IEA,2 iron%2C 2 sulfur cluster binding|0051537||IEA",,,SY28_00215,1.14.-.-
SY28_RS00220,,SY28_RS00220,SY28_00220,Protein Homology,43405,43917,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014931.1,aromatic-ring-hydroxylating dioxygenase subunit beta,WP_013014931.1,"GO:0008152,GO:0009056",,,"metabolic process|0008152||IEA,catabolic process|0009056||IEA",,SY28_00220,1.14.-.-
SY28_RS00225,,SY28_RS00225,SY28_00225,Protein Homology,43927,44181,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014930.1,hypothetical protein,WP_027886482.1,,,,,,SY28_00225,
SY28_RS00230,,SY28_RS00230,SY28_00230,Protein Homology,44174,45382,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014929.1,4-hydroxybenzoate 3-monooxygenase,WP_027886481.1,,,,,,SY28_00230,
SY28_RS00235,,SY28_RS00235,SY28_00235,Protein Homology,45466,46464,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014928.1,catechol 2%2C3-dioxygenase,WP_043981913.1,"GO:0009712,GO:0008198,GO:0018577",,"ferrous iron binding|0008198||IEA,catechol 2%2C3-dioxygenase activity|0018577||IEA",catechol-containing compound metabolic process|0009712||IEA,,SY28_00235,1.13.11.2
SY28_RS00240,,SY28_RS00240,SY28_00240,Protein Homology,46466,47155,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014927.1,GntR family transcriptional regulator,WP_043981889.1,"GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",,,SY28_00240,
SY28_RS00245,,SY28_RS00245,SY28_00245,Protein Homology,47152,48084,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014926.1,DUF6282 family protein,WP_013014926.1,,,,,,SY28_00245,
SY28_RS00250,,SY28_RS00250,SY28_00250,Protein Homology,48081,48794,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014925.1,PIG-L deacetylase family protein,WP_043981891.1,GO:0019213,,deacetylase activity|0019213||IEA,,,SY28_00250,3.5.1.-
SY28_RS00255,,SY28_RS00255,SY28_00255,Protein Homology,48791,49444,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018111992.1,4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase,WP_043981893.1,GO:0047443,,4-hydroxy-4-methyl-2-oxoglutarate aldolase activity|0047443||IEA,,,SY28_00255,
SY28_RS00260,,SY28_RS00260,SY28_00260,Protein Homology,49444,50241,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015717041.1,DUF1932 domain-containing protein,WP_043981895.1,,,,,,SY28_00260,
SY28_RS15445,,SY28_RS15445,SY28_RS15445,Protein Homology,50282,50455,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014922.1,hypothetical protein,WP_182482364.1,,,,,,,
pheS,pheS,SY28_RS00265,SY28_00265,Protein Homology,50687,51757,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014921.1,phenylalanine--tRNA ligase subunit alpha,WP_043981898.1,"GO:0006432,GO:0000166,GO:0004826,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,phenylalanine-tRNA ligase activity|0004826||IEA,ATP binding|0005524||IEA",phenylalanyl-tRNA aminoacylation|0006432||IEA,,SY28_00265,6.1.1.20
pheT,pheT,SY28_RS00270,SY28_00270,Protein Homology,51774,54128,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014920.1,phenylalanine--tRNA ligase subunit beta,WP_043981899.1,"GO:0006432,GO:0000287,GO:0004826,GO:0005524",,"magnesium ion binding|0000287||IEA,phenylalanine-tRNA ligase activity|0004826||IEA,ATP binding|0005524||IEA",phenylalanyl-tRNA aminoacylation|0006432||IEA,,SY28_00270,6.1.1.20
SY28_RS00275,,SY28_RS00275,SY28_00275,Protein Homology,54132,54608,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014919.1,NUDIX hydrolase,WP_027886475.1,"GO:0009132,GO:0016817,GO:0046872",,"hydrolase activity%2C acting on acid anhydrides|0016817||IEA,metal ion binding|0046872||IEA",nucleoside diphosphate metabolic process|0009132||IEA,,SY28_00275,3.6.1.-
prfA,prfA,SY28_RS00280,SY28_00280,Protein Homology,54624,55700,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014918.1,peptide chain release factor 1,WP_043981902.1,"GO:0006415,GO:0016149",,translation release factor activity%2C codon specific|0016149||IEA,translational termination|0006415||IEA,,SY28_00280,
SY28_RS00285,,SY28_RS00285,SY28_00285,Protein Homology,55766,56380,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014917.1,lysophospholipid acyltransferase family protein,WP_036196736.1,,,,,,SY28_00285,
SY28_RS00290,,SY28_RS00290,SY28_00290,Protein Homology,56425,56928,+,,,COORDINATES: protein motif:HMM:NF017015.6,DinB family protein,WP_027886472.1,GO:0046872,,metal ion binding|0046872||IEA,,,SY28_00290,
SY28_RS00295,,SY28_RS00295,SY28_00295,Protein Homology,56900,57769,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015586699.1,ion transporter,WP_027886471.1,"GO:0034220,GO:0005216,GO:0005886,GO:0034702","plasma membrane|0005886||IEA,monoatomic ion channel complex|0034702||IEA",monoatomic ion channel activity|0005216||IEA,monoatomic ion transmembrane transport|0034220||IEA,,SY28_00295,
SY28_RS00300,,SY28_RS00300,SY28_00300,Protein Homology,57831,58214,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018461906.1,HEPN domain-containing protein,WP_027886470.1,,,,,,SY28_00300,
SY28_RS00305,,SY28_RS00305,SY28_00305,Protein Homology,58211,58618,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014514600.1,nucleotidyltransferase family protein,WP_027886469.1,"GO:0016779,GO:0046872",,"nucleotidyltransferase activity|0016779||IEA,metal ion binding|0046872||IEA",,,SY28_00305,2.7.7.-
SY28_RS00310,,SY28_RS00310,SY28_00310,Protein Homology,58712,59374,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015586702.1,SDR family NAD(P)-dependent oxidoreductase,WP_027886468.1,,,,,,SY28_00310,
der,der,SY28_RS00315,SY28_00315,Protein Homology,59454,60809,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014910.1,ribosome biogenesis GTPase Der,WP_027886467.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,SY28_00315,3.6.5.-
SY28_RS00320,,SY28_RS00320,SY28_00320,Protein Homology,60832,61878,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014909.1,protease complex subunit PrcB family protein,WP_027886466.1,,,,,,SY28_00320,
SY28_RS00325,,SY28_RS00325,SY28_00325,Protein Homology,61963,63030,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011228609.1,ABC transporter permease,WP_043981905.1,"GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,SY28_00325,
nikB,nikB,SY28_RS00330,SY28_00330,Protein Homology,63023,63943,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011228608.1,nickel ABC transporter permease,WP_027886464.1,"GO:0140359,GO:0043190",ATP-binding cassette (ABC) transporter complex|0043190||IEA,ABC-type transporter activity|0140359||IEA,,,SY28_00330,
SY28_RS00335,,SY28_RS00335,SY28_00335,Protein Homology,64068,65612,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_016328768.1,glutathione ABC transporter substrate-binding protein,WP_027886463.1,,,,,,SY28_00335,
SY28_RS00340,,SY28_RS00340,SY28_00340,Protein Homology,65837,66214,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014905.1,YkvA family protein,WP_036196735.1,GO:0016020,membrane|0016020||IEA,,,,SY28_00340,
SY28_RS00345,,SY28_RS00345,SY28_00345,Protein Homology,66211,66756,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014904.1,GNAT family N-acetyltransferase,WP_027886461.1,GO:0016747,,acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,,,SY28_00345,2.3.1.-
SY28_RS00350,,SY28_RS00350,SY28_00350,Protein Homology,66762,67106,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014903.1,cupin domain-containing protein,WP_027886460.1,,,,,,SY28_00350,
SY28_RS00355,,SY28_RS00355,SY28_00355,Protein Homology,67124,67837,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014902.1,ABC transporter ATP-binding protein,WP_027886459.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,SY28_00355,
SY28_RS00360,,SY28_RS00360,SY28_00360,Protein Homology,67824,68630,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014901.1,ABC transporter ATP-binding protein,WP_027886458.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,SY28_00360,
SY28_RS00365,,SY28_RS00365,SY28_00365,Protein Homology,68627,70060,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014900.1,branched-chain amino acid ABC transporter permease,WP_027886457.1,"GO:0015803,GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",branched-chain amino acid transport|0015803||IEA,,SY28_00365,
SY28_RS00370,,SY28_RS00370,SY28_00370,Protein Homology,70057,71037,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014899.1,branched-chain amino acid ABC transporter permease,WP_027886456.1,"GO:0015803,GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",branched-chain amino acid transport|0015803||IEA,,SY28_00370,
SY28_RS00375,,SY28_RS00375,SY28_00375,Protein Homology,71481,72641,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014897.1,branched-chain amino acid ABC transporter substrate-binding protein,WP_027886455.1,"GO:0015803,GO:0055085,GO:0015658,GO:0022857,GO:0140359",,"branched-chain amino acid transmembrane transporter activity|0015658||IEA,transmembrane transporter activity|0022857||IEA,ABC-type transporter activity|0140359||IEA","branched-chain amino acid transport|0015803||IEA,transmembrane transport|0055085||IEA",,SY28_00375,
glnA,glnA,SY28_RS00380,SY28_00380,Protein Homology,73026,74387,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_003048009.1,type I glutamate--ammonia ligase,WP_027886454.1,"GO:0006542,GO:0004356",,glutamine synthetase activity|0004356||IEA,glutamine biosynthetic process|0006542||IEA,,SY28_00380,6.3.1.2
SY28_RS00385,,SY28_RS00385,SY28_00385,Protein Homology,74550,75299,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014895.1,hypothetical protein,WP_036196734.1,,,,,,SY28_00385,
SY28_RS00390,,SY28_RS00390,SY28_00390,Protein Homology,75340,76443,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014894.1,PQQ-dependent sugar dehydrogenase,WP_027886452.1,"GO:0016901,GO:0070968",,"oxidoreductase activity%2C acting on the CH-OH group of donors%2C quinone or similar compound as acceptor|0016901||IEA,pyrroloquinoline quinone binding|0070968||IEA",,,SY28_00390,1.1.5.-
SY28_RS00395,,SY28_RS00395,SY28_00395,Protein Homology,76526,77683,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013703305.1,PQQ-dependent sugar dehydrogenase,WP_036196733.1,"GO:0016901,GO:0070968",,"oxidoreductase activity%2C acting on the CH-OH group of donors%2C quinone or similar compound as acceptor|0016901||IEA,pyrroloquinoline quinone binding|0070968||IEA",,,SY28_00395,1.1.5.-
SY28_RS00400,,SY28_RS00400,SY28_00400,Protein Homology,77882,79549,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014893.1,bifunctional metallophosphatase/5'-nucleotidase,WP_027886450.1,"GO:0009166,GO:0000166,GO:0008253,GO:0042578,GO:0046872",,"nucleotide binding|0000166||IEA,5'-nucleotidase activity|0008253||IEA,phosphoric ester hydrolase activity|0042578||IEA,metal ion binding|0046872||IEA",nucleotide catabolic process|0009166||IEA,,SY28_00400,"3.1.-.-,3.1.3.5"
SY28_RS00405,,SY28_RS00405,SY28_00405,Protein Homology,79696,80946,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014892.1,DUF4127 family protein,WP_027886449.1,,,,,,SY28_00405,
