Supplementary Dataset 4: List of full set of Prochlorococcus NATL2A genes for which signficant differential expression was observed on exposure to HDPE or PVC leachate (relative to AMP1 control). Gene features are provided based on current NCBI annotation (NC_007335.2)  and cyanobase functional information (http://genome.microbedb.jp/cyanobase/). ,,,,,,,,,,,,
Gene Start,Gene End,Gene Length,NATL2A original locus tag,NATL2A locus tag (2017 NCBI),product,protein_id,COG (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,,,
1077261,1077479,219,PMN2A_2082,PMN2A_RS06020,hypothetical protein,WP_011295136.1,Not in COGs,-0.62,,,,
88233,88532,300,PMN2A_1409,PMN2A_RS00430,helix-hairpin-helix domain-containing protein,WP_011294041.1,Not in COGs,-0.60,,,,
891648,891833,186,PMN2A_1958,PMN2A_RS04675,hypothetical protein,WP_011295182.1,Not in COGs,-0.60,,,,
1389047,1389799,753,PMN2A_0883,PMN2A_RS07615,sugar transferase,WP_011295231.1,Cell wall/membrane biogenesis,-0.59,-1.82,,,
1541399,1542556,1158,PMN2A_1047,PMN2A_RS08470,branched-chain amino acid ABC transporter permease,WP_011295392.1,Amino acid transport and metabolism,-0.58,,,,
1476703,1477215,513,PMN2A_0983,PMN2A_RS08150,ATP synthase subunit B,WP_011295329.1,Energy production and conversion,-0.57,,,,
86327,86866,540,PMN2A_1407,PMN2A_RS00420,DUF4912 domain-containing protein,WP_011294039.1,Not in COGs,-0.56,,,,
692772,694193,1422,PMN2A_0141,PMN2A_RS03660,type I glutamate--ammonia ligase,WP_011293675.1,Not in COGs,-0.55,,,,
494511,495074,564,PMN2A_1833,PMN2A_RS02630,hypothetical protein,WP_011294465.1,Not in COGs,-0.54,,,,
45152,45469,318,PMN2A_1370,PMN2A_RS00225,hypothetical protein,WP_011294002.1,Not in COGs,-0.54,,,,
612073,614049,1977,PMN2A_0057,PMN2A_RS03225,acetyl-coenzyme A synthetase,WP_011293591.1,Lipid transport and metabolism,-0.53,,,,
380919,381242,324,PMN2A_1710,PMN2A_RS01985,hypothetical protein,WP_011294344.1,Not in COGs,-0.53,-1.11,,,
76871,77206,336,PMN2A_1394,PMN2A_RS00355,hypothetical protein,WP_011294026.1,Not in COGs,-0.53,,,,
1717322,1719142,1821,PMN2A_1226,PMN2A_RS09405,hypothetical protein,WP_011295570.1,Not in COGs,-0.52,-1.12,,,
532758,534335,1578,PMN2A_1874,PMN2A_RS02835,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,WP_011294506.1,Energy production and conversion,-0.52,-0.39,,,
1712094,1712840,747,PMN2A_1223,PMN2A_RS09390,hypothetical protein,WP_011295567.1,Not in COGs,-0.51,-0.55,,,
1067174,1067605,432,PMN2A_0571,PMN2A_RS05935,hypothetical protein,WP_011294665.1,Not in COGs,-0.48,,,,
1477212,1477673,462,PMN2A_0984,PMN2A_RS08155,ATP synthase subunit b',WP_011295330.1,Energy production and conversion,-0.48,,,,
31900,32322,423,PMN2A_1359,PMN2A_RS00170,hypothetical protein,WP_011293992.1,Not in COGs,-0.41,,,,
82021,82323,303,PMN2A_1401,PMN2A_RS00395,hypothetical protein,WP_011294033.1,Not in COGs,-0.40,,,,
445143,446138,996,PMN2A_1779,PMN2A_RS02360,protoheme IX farnesyltransferase,WP_011294412.1,"Posttranslational modification, protein turnover, chaperones",-0.40,,,,
750192,750713,522,,PMN2A_RS10075,hypothetical protein,WP_071813622.1,#N/A,-0.40,,,,
358358,359881,1524,PMN2A_1692,PMN2A_RS01865,photosystem II chlorophyll-binding protein CP47,WP_011294326.1,Not in COGs,-0.39,-0.31,,,
1483994,1484332,339,PMN2A_0993,PMN2A_RS08200,P-II family nitrogen regulator,WP_011295338.1,Amino acid transport and metabolism,-0.38,,,,
824530,825495,966,PMN2A_0283,PMN2A_RS04350,protein translocase subunit SecF,WP_011293817.1,Intracellular trafficking and secretion,-0.38,,,,
1547501,1549210,1710,PMN2A_1055,PMN2A_RS08510,urease subunit alpha,WP_011295400.1,Amino acid transport and metabolism,-0.38,,,,
1366737,1367624,888,PMN2A_0863,PMN2A_RS07505,indole-3-glycerol-phosphate synthase,WP_011294951.1,Amino acid transport and metabolism,-0.37,,,,
1366440,1366703,264,PMN2A_0862,PMN2A_RS07500,S26 family signal peptidase,WP_011294950.1,Not in COGs,-0.37,,,,
192078,193256,1179,PMN2A_1518,PMN2A_RS00990,mannose-1-phosphate guanyltransferase,WP_011294151.1,Cell wall/membrane biogenesis,-0.36,-0.75,,,
1304887,1305462,576,PMN2A_0801,PMN2A_RS07200,hypothetical protein,WP_011294889.1,Not in COGs,-0.36,,,,
677289,677744,456,PMN2A_0120,PMN2A_RS03550,hypothetical protein,WP_011293654.1,Not in COGs,-0.36,-0.34,,,
1226784,1232249,5466,PMN2A_0734,PMN2A_RS09975,hypothetical protein,WP_011294823.1,Not in COGs,-0.36,,,,
1729031,1729501,471,PMN2A_1231,PMN2A_RS09430,N-acetyltransferase,WP_011295575.1,Not in COGs,-0.35,,,,
421494,421685,192,,PMN2A_RS02235,hypothetical protein,WP_041710936.1,#N/A,-0.33,-0.39,,,
1628511,1629662,1152,PMN2A_1142,PMN2A_RS08965,hypothetical protein,WP_011295486.1,Coenzyme transport and metabolism,-0.33,,,,
718751,720082,1332,PMN2A_0164,PMN2A_RS03770,geranylgeranyl reductase,WP_011293698.1,Energy production and conversion,-0.31,,,,
238535,239020,486,PMN2A_1567,PMN2A_RS01230,ribonuclease H,WP_011294200.1,"Replication, recombination and repair",-0.31,,,,
358224,358319,96,PMN2A_1691,PMN2A_RS10045,photosystem II reaction center protein T,WP_011294325.1,Not in COGs,-0.31,-0.31,,,
67047,67379,333,PMN2A_1387,PMN2A_RS00315,hypothetical protein,WP_011294019.1,Not in COGs,-0.30,-0.45,,,
1544043,1544660,618,PMN2A_1049,PMN2A_RS08480,urease accessory protein UreG,WP_011295394.1,"Posttranslational modification, protein turnover, chaperones",-0.30,,,,
1442278,1442601,324,PMN2A_0947,PMN2A_RS07960,hypothetical protein,WP_011295294.1,Not in COGs,-0.30,,,,
31338,31748,411,PMN2A_1358,PMN2A_RS00165,HNH endonuclease,WP_011293991.1,Defense mechanisms,-0.29,,,,
1761003,1762358,1356,PMN2A_1255,PMN2A_RS09560,ATP-dependent Clp protease ATP-binding subunit ClpX,WP_011295599.1,"Posttranslational modification, protein turnover, chaperones",-0.28,,,,
1022216,1022608,393,PMN2A_0505,PMN2A_RS05555,hypothetical protein,WP_011294603.1,Not in COGs,-0.28,-0.31,,,
1102756,1103817,1062,PMN2A_0614,PMN2A_RS06205,amino acid ABC transporter substrate-binding protein,WP_011294703.1,Amino acid transport and metabolism,-0.27,,,,
956321,956521,201,PMN2A_0416,PMN2A_RS05080,hypothetical protein,WP_011293950.1,Not in COGs,-0.27,,,,
801361,802398,1038,PMN2A_0258,PMN2A_RS04225,anthranilate phosphoribosyltransferase,WP_011293792.1,Amino acid transport and metabolism,-0.27,,,,
444224,445150,927,PMN2A_1778,PMN2A_RS02355,cytochrome c oxidase assembly protein,WP_011294411.1,"Posttranslational modification, protein turnover, chaperones",-0.27,,,,
1637078,1638598,1521,PMN2A_1149,PMN2A_RS09005,anthranilate synthase component I,WP_011295493.1,Amino acid transport and metabolism,-0.24,-0.22,,,
14786,16177,1392,PMN2A_1339,PMN2A_RS00070,argininosuccinate lyase,WP_011293972.1,Amino acid transport and metabolism,-0.24,,,,
251452,253119,1668,PMN2A_1581,PMN2A_RS01300,sodium-independent anion transporter,WP_011294214.1,Inorganic ion transport and metabolism,-0.22,,,,
1211746,1212858,1113,PMN2A_0718,PMN2A_RS06760,divinyl chlorophyll a/b light-harvesting proteinPcbD,WP_011294807.1,Not in COGs,-0.21,,,,
1148693,1150057,1365,PMN2A_0658,PMN2A_RS06455,diaminopimelate decarboxylase,WP_011294747.1,Amino acid transport and metabolism,0.18,,,,
1552493,1552669,177,PMN2A_1060,PMN2A_RS10190,30S ribosomal protein S21,WP_011295405.1,Translation,0.20,,,,
1830358,1830633,276,PMN2A_1319,PMN2A_RS09895,hypothetical protein,WP_011295662.1,Not in COGs,0.21,,,,
582229,583803,1575,PMN2A_0030,PMN2A_RS03090,NAD(P)H-quinone oxidoreductase subunit 4,WP_011293564.1,Energy production and conversion,0.22,0.36,,,
21830,22177,348,PMN2A_1347,PMN2A_RS00110,YbaB/EbfC family nucleoid-associated protein,WP_011293980.1,Function unknown,0.24,,,,
1748852,1750618,1767,PMN2A_1246,PMN2A_RS09515,aspartate kinase,WP_011295590.1,Amino acid transport and metabolism,0.24,,,,
1419401,1419820,420,PMN2A_0915,PMN2A_RS07780,50S ribosomal protein L21,WP_011295263.1,Not in COGs,0.25,,,,
672316,673461,1146,PMN2A_0117,PMN2A_RS03535,5-(carboxyamino)imidazole ribonucleotide synthase,WP_011293651.1,Nucleotide transport and metabolism,0.26,,,,
805889,806119,231,PMN2A_0263,PMN2A_RS04250,hypothetical protein,WP_011293797.1,Not in COGs,0.27,,,,
714245,716050,1806,PMN2A_0162,PMN2A_RS03760,sulfite reductase subunit beta,WP_011293696.1,Inorganic ion transport and metabolism,0.28,,,,
424727,426043,1317,PMN2A_1758,PMN2A_RS02255,16S rRNA (cytosine(967)-C(5))-methyltransferase,WP_011294391.1,Translation,0.28,,,,
639313,640584,1272,,PMN2A_RS03370,FAD-binding oxidoreductase,WP_071813621.1,#N/A,0.29,,,,
17075,18082,1008,PMN2A_1341,PMN2A_RS00080,tRNA dihydrouridine(20/20a) synthase DusA,WP_011293974.1,Translation,0.29,,,,
286579,286776,198,PMN2A_1618,PMN2A_RS01490,photosystem II reaction center protein H,WP_011294251.1,Not in COGs,0.30,,,,
1058974,1060056,1083,PMN2A_0558,PMN2A_RS05880,photosystem II protein D1,WP_011294225.1,Not in COGs,0.30,,,,
1232579,1233661,1083,PMN2A_0735,PMN2A_RS06845,photosystem II protein D1,WP_011294225.1,Not in COGs,0.30,,,,
1601948,1602355,408,PMN2A_1102,PMN2A_RS08770,30S ribosomal protein S9,WP_011295446.1,Not in COGs,0.31,,,,
262849,263931,1083,PMN2A_1592,PMN2A_RS01355,photosystem II protein D1,WP_011294225.1,Not in COGs,0.31,,,,
995423,995719,297,PMN2A_0469,PMN2A_RS05370,hypothetical protein,WP_011294567.1,Not in COGs,0.31,,,,
411191,411799,609,PMN2A_1744,PMN2A_RS02180,30S ribosomal protein S4,WP_011294377.1,Translation,0.31,,,,
1344920,1345873,954,PMN2A_0839,PMN2A_RS07395,bifunctional riboflavin kinase/FMN adenylyltransferase,WP_011294927.1,Coenzyme transport and metabolism,0.31,,,,
1455566,1455829,264,PMN2A_0961,PMN2A_RS08045,hypothetical protein,WP_011295308.1,Not in COGs,0.31,,,,
1629795,1630637,843,PMN2A_1143,PMN2A_RS08970,TIGR00268 family protein,WP_011295487.1,General function prediction only,0.32,,,,
1810776,1812020,1245,PMN2A_1303,PMN2A_RS09810,tetracycline resistance MFS efflux pump,WP_011295647.1,Not in COGs,0.32,,,,
1834417,1837359,2943,PMN2A_1323,PMN2A_RS09915,excinuclease ABC subunit A,WP_011295666.1,"Replication, recombination and repair",0.32,,,,
1527148,1527591,444,PMN2A_1030,PMN2A_RS08390,hypothetical protein,WP_011295375.1,Not in COGs,0.33,0.26,,,
1606201,1606317,117,PMN2A_1109,PMN2A_RS10200,50S ribosomal protein L36,WP_011295453.1,Translation,0.34,,,,
1203992,1205230,1239,PMN2A_0707,PMN2A_RS06700,MFS transporter,WP_011294796.1,Not in COGs,0.34,,,,
1272325,1272423,99,PMN2A_0762,PMN2A_RS06980,cytochrome b6-f complex subunit 7,WP_011294850.1,Not in COGs,0.34,,,,
503669,504364,696,PMN2A_1846,PMN2A_RS02695,signal peptidase I,WP_011294478.1,Intracellular trafficking and secretion,0.35,,,,
1602352,1602804,453,PMN2A_1103,PMN2A_RS08775,50S ribosomal protein L13,WP_011295447.1,Not in COGs,0.36,,,,
995135,995350,216,PMN2A_0468,PMN2A_RS05365,hypothetical protein,WP_011294566.1,Not in COGs,0.36,0.49,,,
1697157,1697633,477,PMN2A_1209,PMN2A_RS09315,glutathione peroxidase,WP_011295553.1,"Posttranslational modification, protein turnover, chaperones",0.36,,,,
431051,431737,687,PMN2A_1766,PMN2A_RS02295,ABC transporter ATP-binding protein,WP_011294399.1,Defense mechanisms,0.36,,,,
1432793,1433215,423,PMN2A_0931,PMN2A_RS07865,hypothetical protein,WP_011295279.1,Not in COGs,0.36,,,,
68786,70102,1317,PMN2A_1389,PMN2A_RS09960,hypothetical protein,WP_080502538.1,Not in COGs,0.38,,,,
981133,981456,324,PMN2A_0446,PMN2A_RS05250,transcriptional regulator,WP_011294545.1,Transcription,0.38,,,,
1465499,1465999,501,PMN2A_0972,PMN2A_RS08095,30S ribosomal protein Ycf65,WP_011295318.1,Not in COGs,0.38,,,,
1524580,1525326,747,PMN2A_1027,PMN2A_RS08375,GTP cyclohydrolase I,WP_011295372.1,Coenzyme transport and metabolism,0.39,,,,
816968,818245,1278,PMN2A_0274,PMN2A_RS04305,DNA polymerase V subunit UmuC,WP_011293808.1,"Replication, recombination and repair",0.39,,,,
419666,421477,1812,PMN2A_1754,PMN2A_RS02230,elongation factor 4,WP_011294387.1,Cell wall/membrane biogenesis,0.39,,,,
152030,152956,927,PMN2A_1475,PMN2A_RS00765,6-pyruvoyl tetrahydrobiopterin synthase,WP_011294107.1,Coenzyme transport and metabolism,0.39,,,,
1040660,1041004,345,PMN2A_0536,PMN2A_RS05735,hypothetical protein,WP_011294633.1,Not in COGs,0.41,,,,
1741169,1742065,897,PMN2A_1239,PMN2A_RS09475,NAD(P)-dependent oxidoreductase,WP_011295583.1,Cell wall/membrane biogenesis,0.43,,,,
685746,686303,558,PMN2A_0131,PMN2A_RS03610,DoxX family membrane protein,WP_011293665.1,Function unknown,0.44,0.60,,,
133598,133954,357,PMN2A_1452,PMN2A_RS00650,hypothetical protein,WP_011294084.1,Not in COGs,0.45,0.58,,,
1639188,1640573,1386,PMN2A_1151,PMN2A_RS09015,sensor histidine kinase,WP_011295495.1,Signal transduction mechanisms,0.46,,,,
966651,966947,297,,PMN2A_RS05170,hypothetical protein,WP_011294532.1,#N/A,0.47,0.47,,,
666988,667974,987,PMN2A_0112,PMN2A_RS03510,quinolinate synthetase,WP_011293646.1,Not in COGs,0.54,,,,
1072599,1072706,108,PMN2A_0576,PMN2A_RS05975,high light inducible protein,WP_011125327.1,Not in COGs,0.54,0.93,,,
1181931,1182170,240,PMN2A_0685,PMN2A_RS06595,hypothetical protein,WP_011294774.1,Not in COGs,0.56,0.63,,,
1035261,1035524,264,PMN2A_0526,PMN2A_RS05675,hypothetical protein,WP_011294623.1,Not in COGs,0.59,,,,
818248,818682,435,PMN2A_0275,PMN2A_RS04310,SOS mutagenesis protein UmuD,WP_011293809.1,Transcription,0.60,,,,
44444,44680,237,PMN2A_1369,PMN2A_RS00220,hypothetical protein,WP_011294001.1,Not in COGs,0.63,0.56,,,
1027060,1027278,219,PMN2A_2026,PMN2A_RS05615,hypothetical protein,WP_011295078.1,Not in COGs,0.67,,,,
1219906,1220355,450,PMN2A_0727,PMN2A_RS06800,peroxiredoxin,WP_011294816.1,"Posttranslational modification, protein turnover, chaperones",0.68,,,,
1044989,1045201,213,PMN2A_2045,PMN2A_RS05765,hypothetical protein,WP_011295118.1,Not in COGs,0.68,0.72,,,
384308,384583,276,PMN2A_1712,PMN2A_RS02005,hypothetical protein,WP_011294346.1,Not in COGs,0.71,,,,
979990,981015,1026,PMN2A_0445,PMN2A_RS05245,type I glyceraldehyde-3-phosphate dehydrogenase,WP_011294544.1,Carbohydrate transport and metabolism,0.74,,,,
1220372,1221487,1116,PMN2A_0728,PMN2A_RS06805,deoxyribodipyrimidine photo-lyase,WP_011294817.1,"Replication, recombination and repair",0.74,,,,
1289299,1289493,195,PMN2A_2136,PMN2A_RS07090,hypothetical protein,WP_011295071.1,Not in COGs,0.76,,,,
1018577,1018846,270,PMN2A_0500,PMN2A_RS10100,hypothetical protein,WP_011294598.1,Not in COGs,0.79,,,,
996636,996956,321,PMN2A_0471,PMN2A_RS10095,hypothetical protein,WP_011294569.1,Not in COGs,0.92,,,,
1082693,1082950,258,PMN2A_0590,PMN2A_RS06065,hypothetical protein,WP_041711006.1,Not in COGs,0.97,,,,
969669,970406,738,PMN2A_0436,PMN2A_RS05195,DNA-binding response regulator,WP_011294535.1,Signal transduction mechanisms,0.99,,,,
382125,382226,102,,PMN2A_RS10050,hypothetical protein,WP_071813615.1,#N/A,1.11,,,,
1018880,1019050,171,PMN2A_0501,PMN2A_RS10105,DUF4278 domain-containing protein,WP_011294599.1,Not in COGs,1.11,,,,
423504,424502,999,PMN2A_1757,PMN2A_RS02250,porin,WP_011294390.1,Not in COGs,,-1.81,,,
1550013,1551020,1008,PMN2A_1057,PMN2A_RS08525,hypothetical protein,WP_011295402.1,Not in COGs,,-1.47,,,
1127114,1127794,681,PMN2A_0641,PMN2A_RS06370,1-acyl-sn-glycerol-3-phosphate acyltransferase,WP_011294730.1,Lipid transport and metabolism,,-0.96,,,
133156,133458,303,PMN2A_1451,PMN2A_RS00645,hypothetical protein,WP_011294083.1,Not in COGs,,-0.82,,,
1047234,1047512,279,PMN2A_0542,PMN2A_RS05790,hypothetical protein,WP_011294639.1,Not in COGs,,-0.75,,,
937384,937590,207,PMN2A_1971,PMN2A_RS04930,hypothetical protein,WP_011295134.1,Not in COGs,,-0.70,,,
619061,619267,207,PMN2A_0063,PMN2A_RS03255,hypothetical protein,WP_011293597.1,Not in COGs,,-0.65,,,
422631,423320,690,PMN2A_1756,PMN2A_RS02245,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,WP_011294389.1,Translation,,-0.65,,,
89621,91456,1836,PMN2A_1411,PMN2A_RS00440,ABC transporter ATP-binding protein,WP_011294043.1,Defense mechanisms,,-0.63,,,
918666,918899,234,PMN2A_0370,PMN2A_RS04815,hypothetical protein,WP_011293904.1,Not in COGs,,-0.61,,,
1056316,1056681,366,PMN2A_0554,PMN2A_RS10220,hypothetical protein,WP_011294649.1,Not in COGs,,-0.61,,,
983599,983874,276,PMN2A_0449,PMN2A_RS05265,hypothetical protein,WP_011294548.1,Not in COGs,,-0.55,,,
1722856,1723800,945,PMN2A_1228,PMN2A_RS09415,"GDP-mannose 4,6-dehydratase",WP_011295572.1,Cell wall/membrane biogenesis,,-0.51,,,
67493,68083,591,PMN2A_1388,PMN2A_RS00320,hypothetical protein,WP_011294020.1,Not in COGs,,-0.46,,,
1648766,1649197,432,PMN2A_1160,PMN2A_RS09065,hypothetical protein,WP_011295504.1,Not in COGs,,-0.44,,,
1051835,1052140,306,PMN2A_0547,PMN2A_RS05815,hypothetical protein,WP_011294644.1,Not in COGs,,-0.43,,,
360655,361095,441,PMN2A_1694,PMN2A_RS01875,thioesterase,WP_011294328.1,General function prediction only,,-0.34,,,
281108,281746,639,PMN2A_1609,PMN2A_RS01445,thymidylate synthase (FAD),WP_011294242.1,Nucleotide transport and metabolism,,-0.22,,,
303973,305094,1122,PMN2A_1635,PMN2A_RS01575,two-component sensor histidine kinase,WP_011294268.1,Signal transduction mechanisms,,0.24,,,
466430,467674,1245,PMN2A_1805,PMN2A_RS02480,sodium:proton antiporter,WP_011294438.1,Inorganic ion transport and metabolism,,0.26,,,
610327,611298,972,PMN2A_0055,PMN2A_RS03215,solanesyl diphosphate synthase,WP_011293589.1,Coenzyme transport and metabolism,,0.27,,,
545862,546524,663,PMN2A_1890,PMN2A_RS02915,ATP phosphoribosyltransferase,WP_011294521.1,Amino acid transport and metabolism,,0.28,,,
1189901,1191064,1164,PMN2A_0690,PMN2A_RS06620,GuaB3 family IMP dehydrogenase-related protein,WP_011294779.1,Nucleotide transport and metabolism,,0.31,,,
1181488,1181865,378,PMN2A_0684,PMN2A_RS06590,hypothetical protein,WP_011294773.1,Not in COGs,,0.34,,,
1126184,1126453,270,PMN2A_0638,PMN2A_RS06355,hypothetical protein,WP_011294727.1,Not in COGs,,0.41,,,
196521,197123,603,PMN2A_1525,PMN2A_RS01020,NADH:ubiquinone oxidoreductase subunit J,WP_011294158.1,Energy production and conversion,,0.42,,,
126634,127875,1242,PMN2A_1446,PMN2A_RS00620,3-hydroxyacyl-CoA dehydrogenase,WP_080502528.1,Energy production and conversion,,0.48,,,
992342,992761,420,PMN2A_0464,PMN2A_RS05340,MAPEG family protein,WP_011294562.1,Function unknown,,0.49,,,
197120,197776,657,PMN2A_1526,PMN2A_RS01025,NAD(P)H-quinone oxidoreductase subunit I,WP_011294159.1,Energy production and conversion,,0.51,,,
1703482,1704222,741,PMN2A_1217,PMN2A_RS09355,serine O-acetyltransferase,WP_011295561.1,Amino acid transport and metabolism,,0.52,,,
544285,544515,231,PMN2A_1887,PMN2A_RS02900,hypothetical protein,WP_011294518.1,Not in COGs,,0.54,,,
936124,937161,1038,PMN2A_0390,PMN2A_RS04925,NmrA family transcriptional regulator,WP_011293924.1,Cell wall/membrane biogenesis,,0.56,,,
207242,207970,729,PMN2A_1537,PMN2A_RS01080,DNA-binding response regulator,WP_011294170.1,Signal transduction mechanisms,,0.60,,,
1438008,1438154,147,PMN2A_0940,PMN2A_RS07910,high light inducible protein,WP_011295288.1,Not in COGs,,0.61,,,
1054654,1054935,282,PMN2A_0550,PMN2A_RS05835,hypothetical protein,WP_011294647.1,Not in COGs,,0.63,,,
956948,957067,120,PMN2A_0417,PMN2A_RS05085,high light inducible protein,WP_011293951.1,Not in COGs,,0.70,,,
1438284,1438391,108,PMN2A_0941,PMN2A_RS07920,high light inducible protein,WP_011125327.1,Not in COGs,,0.77,,,
964175,964678,504,PMN2A_0429,PMN2A_RS05155,plastoquinol terminal oxidase,WP_011294528.1,Not in COGs,,0.77,,,
1702489,1703478,990,PMN2A_1216,PMN2A_RS09350,GntR family transcriptional regulator,WP_011295560.1,Transcription,,0.93,,,
1525390,1526619,1230,PMN2A_1028,PMN2A_RS08380,hypothetical protein,WP_011295373.1,Not in COGs,,1.13,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
