Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,Unnamed: 11,NAT_homolog,locus_tag
60790,61152.0,363.0,PMT9312_0058,PMT9312_RS00285,hypothetical protein,WP_011375622.1,Not in COGs,,-0.8,-0.85,,WP_011294051.1,PMT9312_0058
67553,68899.0,1347.0,PMT9312_0062,PMT9312_RS00310,acetyl-CoA carboxylase biotin carboxylase subunit,WP_011375626.1,Lipid transport and metabolism,metabolic process (GO:0008152),-0.49,-1.06,,WP_011294055.1,PMT9312_0062
69314,69499.0,186.0,PMT9312_0064,PMT9312_RS00320,photosystem II reaction center X protein,WP_011375628.1,Not in COGs,photosynthesis (GO:0015979),,-0.51,,WP_011294057.1,PMT9312_0064
70507,70782.0,276.0,PMT9312_0066,PMT9312_RS00330,high light inducible protein,WP_011375630.1,Not in COGs,,,0.63,,WP_011294059.1,PMT9312_0066
72816,73094.0,279.0,PMT9312_0068,PMT9312_RS00340,hypothetical protein,WP_011375632.1,Not in COGs,,,0.85,,WP_011294061.1,PMT9312_0068
73142,73483.0,342.0,PMT9312_0069,PMT9312_RS00345,histidine triad nucleotide-binding protein,WP_011375633.1,Nucleotide transport and metabolism,,,0.65,,WP_011294062.1,PMT9312_0069
77350,78567.0,1218.0,PMT9312_0073,PMT9312_RS00365,ABC transporter permease,WP_011375637.1,Not in COGs,iron-sulfur cluster assembly (GO:0016226),-0.54,,,WP_011294066.1,PMT9312_0073
80915,81268.0,354.0,PMT9312_0076,PMT9312_RS00380,hypothetical protein,WP_011375640.1,Not in COGs,,,1.31,,WP_011294069.1,PMT9312_0076
85811,86467.0,657.0,PMT9312_0081,PMT9312_RS00405,4'-phosphopantetheinyl transferase,WP_011375645.1,Not in COGs,macromolecule biosynthetic process (GO:0009059),0.45,0.7,,WP_049752675.1,PMT9312_0081
86938,87621.0,684.0,PMT9312_0083,PMT9312_RS00415,transcriptional regulator,WP_011375647.1,Transcription,positive regulation of transcription (GO:0045941),,-0.79,,WP_049752676.1,PMT9312_0083
87637,88362.0,726.0,PMT9312_0084,PMT9312_RS00420,phosphoadenosine phosphosulfate reductase,WP_011375648.1,Amino acid transport and metabolism,metabolic process (GO:0008152),-0.57,-0.84,,WP_011294077.1,PMT9312_0084
88458,89651.0,1194.0,PMT9312_0085,PMT9312_RS00425,NADH dehydrogenase family protein,WP_036924436.1,Energy production and conversion,oxidation reduction (GO:0055114),,0.77,,WP_080502528.1,PMT9312_0085
92937,93641.0,705.0,PMT9312_0088,PMT9312_RS00440,potassium transporter TrkA,WP_011375652.1,Inorganic ion transport and metabolism,metabolic process (GO:0008152),,-0.56,,WP_011294081.1,PMT9312_0088
93648,93950.0,303.0,PMT9312_0089,PMT9312_RS00445,hypothetical protein,WP_011375653.1,Not in COGs,,0.68,-0.43,,WP_011294083.1,PMT9312_0089
94076,94414.0,339.0,PMT9312_0090,PMT9312_RS00450,hypothetical protein,WP_011375654.1,Not in COGs,,-0.27,-0.61,,WP_011294084.1,PMT9312_0090
99018,99317.0,300.0,PMT9312_0098,PMT9312_RS00485,hypothetical protein,WP_011375662.1,Not in COGs,,,0.84,,,PMT9312_0098
101126,102559.0,1434.0,PMT9312_0101,PMT9312_RS00500,TolC family protein,WP_011375665.1,Cell wall/membrane biogenesis,transport (GO:0006810),,0.59,,WP_011294097.1,PMT9312_0101
106576,107511.0,936.0,PMT9312_0105,PMT9312_RS00520,thioredoxin,WP_011375669.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,-0.73,,WP_011294101.1,PMT9312_0105
109140,109526.0,387.0,PMT9312_0107,PMT9312_RS00535,hypothetical protein,WP_011375672.1,Coenzyme transport and metabolism,,,0.74,,WP_011294103.1,PMT9312_0107
109588,110742.0,1155.0,PMT9312_0108,PMT9312_RS00540,hypothetical protein,WP_011375673.1,Function unknown,,,0.74,,WP_011294105.1,PMT9312_0108
113194,113904.0,711.0,PMT9312_0112,PMT9312_RS00565,hypothetical protein,WP_011375678.1,Not in COGs,,,0.51,,WP_011294110.1,PMT9312_0112
113891,114616.0,726.0,PMT9312_0113,PMT9312_RS00570,glutathione S-transferase,WP_011375679.1,"Posttranslational modification, protein turnover, chaperones",,0.76,1.13,,WP_011294111.1,PMT9312_0113
114880,115272.0,393.0,PMT9312_0115,PMT9312_RS00580,ribosome-binding factor A,WP_011375681.1,Translation,rRNA processing (GO:0006364),-0.7,0.76,,WP_011294113.1,PMT9312_0115
116049,116519.0,471.0,PMT9312_0117,PMT9312_RS00590,membrane protein,WP_011375683.1,Function unknown,,,0.52,,WP_011294116.1,PMT9312_0117
116523,117977.0,1455.0,PMT9312_0118,PMT9312_RS00595,"9,9'-di-cis-zeta-carotene desaturase",WP_036924468.1,Coenzyme transport and metabolism,carotenoid biosynthetic process (GO:0016117),0.35,0.62,,WP_011294117.1,PMT9312_0118
120322,121248.0,927.0,PMT9312_0123,PMT9312_RS00620,epimerase,WP_011375689.1,General function prediction only,cellular metabolic process (GO:0044237),0.86,1.97,,WP_011294120.1,PMT9312_0123
121385,121621.0,237.0,PMT9312_0124,PMT9312_RS00625,NAD(P)H-quinone oxidoreductase subunit O,WP_011375690.1,Not in COGs,oxidation reduction (GO:0055114),0.75,0.48,,WP_011294121.1,PMT9312_0124
123727,124401.0,675.0,PMT9312_0128,PMT9312_RS00645,ABC transporter ATP-binding protein,WP_011375694.1,Inorganic ion transport and metabolism,,-0.56,,,WP_011294126.1,PMT9312_0128
125872,126654.0,783.0,PMT9312_0130,PMT9312_RS00660,DNA-binding response regulator,WP_011375696.1,Signal transduction mechanisms,"regulation of transcription, DNA-dependent (GO:0006355)",,0.56,,WP_011294127.1,PMT9312_0130
145257,147278.0,2022.0,PMT9312_0151,PMT9312_RS00765,oxidoreductase,WP_011375717.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),0.68,0.69,,WP_011294148.1,PMT9312_0151
147400,149004.0,1605.0,PMT9312_0152,PMT9312_RS00770,NAD(P)H-quinone oxidoreductase chain 4,WP_011375718.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),,-0.53,,WP_011294149.1,PMT9312_0152
149128,149949.0,822.0,PMT9312_0153,PMT9312_RS00775,hypothetical protein,WP_011375719.1,Function unknown,,,-0.51,,WP_011294150.1,PMT9312_0153
152128,152406.0,279.0,PMT9312_0156,PMT9312_RS00790,helix-turn-helix transcriptional regulator,WP_011375722.1,Transcription,"regulation of transcription, DNA-dependent (GO:0006355)",-0.35,-0.8,,WP_011294153.1,PMT9312_0156
152369,152557.0,189.0,PMT9312_1977,PMT9312_RS09400,hypothetical protein,WP_071813294.1,Not in COGs,,0.99,,,,PMT9312_1977
152620,153117.0,498.0,PMT9312_0157,PMT9312_RS00795,hypothetical protein,WP_011375723.1,Function unknown,,,0.63,,WP_011294155.1,PMT9312_0157
154039,154359.0,321.0,PMT9312_0159,PMT9312_RS00805,NADH-quinone oxidoreductase subunit K,WP_036924418.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),,0.53,,WP_011294157.1,PMT9312_0159
154378,154977.0,600.0,PMT9312_0160,PMT9312_RS00810,NADH:ubiquinone oxidoreductase subunit J,WP_011375726.1,Energy production and conversion,oxidation reduction (GO:0055114),0.58,0.66,,WP_011294158.1,PMT9312_0160
154990,155616.0,627.0,PMT9312_0161,PMT9312_RS00815,NAD(P)H-quinone oxidoreductase subunit I,WP_011375727.1,Energy production and conversion,oxidation reduction (GO:0055114),0.82,0.77,,WP_011294159.1,PMT9312_0161
159699,160049.0,351.0,PMT9312_0165,PMT9312_RS00835,rhodanese,WP_036924463.1,Inorganic ion transport and metabolism,,,-1.23,,WP_011294163.1,PMT9312_0165
160050,161294.0,1245.0,PMT9312_0166,PMT9312_RS00840,tryptophan synthase subunit beta,WP_011375732.1,Amino acid transport and metabolism,metabolic process (GO:0008152),0.5,,,WP_011294164.1,PMT9312_0166
165611,166513.0,903.0,PMT9312_0173,PMT9312_RS00875,ribosomal RNA small subunit methyltransferase H,WP_011375739.1,Not in COGs,,,-0.67,,WP_011294172.1,PMT9312_0173
167749,168201.0,453.0,PMT9312_0175,PMT9312_RS00885,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",WP_011375741.1,General function prediction only,,0.45,0.57,,WP_011294174.1,PMT9312_0175
170373,171290.0,918.0,PMT9312_0178,PMT9312_RS00900,"2-carboxy-1,4-naphthoquinone phytyltransferase",WP_011375744.1,Coenzyme transport and metabolism,,-0.69,-0.72,,WP_011294177.1,PMT9312_0178
171392,172804.0,1413.0,PMT9312_0179,PMT9312_RS00905,isochorismate synthase,WP_011375745.1,Coenzyme transport and metabolism,biosynthetic process (GO:0009058),,-0.65,,WP_011294178.1,PMT9312_0179
176958,177683.0,726.0,PMT9312_0187,PMT9312_RS00945,MBL fold metallo-hydrolase,WP_011375753.1,General function prediction only,,0.5,,,,PMT9312_0187
177680,178789.0,1110.0,PMT9312_0188,PMT9312_RS00950,histidinol-phosphate aminotransferase,WP_011375754.1,Amino acid transport and metabolism,biosynthetic process (GO:0009058),,0.5,,WP_011294186.1,PMT9312_0188
181580,182962.0,1383.0,PMT9312_0191,PMT9312_RS00965,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,WP_011375757.1,General function prediction only,small GTPase mediated signal transduction (GO:0007264),,0.59,,WP_011294189.1,PMT9312_0191
183029,183472.0,444.0,PMT9312_0192,PMT9312_RS00970,hypothetical protein,WP_011375758.1,Function unknown,,,0.98,,WP_011294190.1,PMT9312_0192
188396,189268.0,873.0,PMT9312_0196,PMT9312_RS00990,ribosome biogenesis GTPase YlqF,WP_011375762.1,General function prediction only,,,-0.53,,WP_011294194.1,PMT9312_0196
202018,203310.0,1293.0,PMT9312_0210,PMT9312_RS01060,enolase,WP_011375776.1,Carbohydrate transport and metabolism,glycolysis (GO:0006096),,-0.85,,WP_011294208.1,PMT9312_0210
205551,206507.0,957.0,PMT9312_0213,PMT9312_RS01075,thioredoxin reductase,WP_011375779.1,"Posttranslational modification, protein turnover, chaperones",oxidation reduction (GO:0055114),-0.27,-0.63,,WP_011294211.1,PMT9312_0213
206531,206812.0,282.0,PMT9312_0214,PMT9312_RS01080,hypothetical protein,WP_011375780.1,Amino acid transport and metabolism,,-0.9,-0.82,,WP_011294212.1,PMT9312_0214
206815,207813.0,999.0,PMT9312_0215,PMT9312_RS01085,sodium-dependent bicarbonate transport family permease,WP_011375781.1,Not in COGs,,-0.98,-0.91,,WP_011294213.1,PMT9312_0215
207820,209472.0,1653.0,PMT9312_0216,PMT9312_RS01090,sodium-independent anion transporter,WP_011375782.1,Inorganic ion transport and metabolism,transmembrane transport (GO:0055085),-0.62,-0.99,,WP_011294214.1,PMT9312_0216
209697,210698.0,1002.0,PMT9312_0217,PMT9312_RS01095,porphobilinogen synthase,WP_011375783.1,Not in COGs,metabolic process (GO:0008152),-0.31,-1.16,,WP_011294216.1,PMT9312_0217
210762,211148.0,387.0,PMT9312_0218,PMT9312_RS01100,glyoxalase/bleomycin resistance/dioxygenase family protein,WP_011375784.1,Amino acid transport and metabolism,,,-0.62,,WP_011294217.1,PMT9312_0218
215280,216224.0,945.0,PMT9312_0223,PMT9312_RS01125,glutathione S-transferase,WP_011375789.1,"Posttranslational modification, protein turnover, chaperones",,,0.5,,WP_011294223.1,PMT9312_0223
217578,218660.0,1083.0,PMT9312_0225,PMT9312_RS01135,photosystem II protein D1 (PsbA),WP_011375791.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",0.8,,,WP_011294225.1,PMT9312_0225
219901,220527.0,627.0,PMT9312_0227,PMT9312_RS01145,2-keto-3-deoxy-6-phosphogluconate aldolase,WP_011375793.1,Carbohydrate transport and metabolism,metabolic process (GO:0008152),,1.62,,WP_011294227.1,PMT9312_0227
220546,222399.0,1854.0,PMT9312_0228,PMT9312_RS01150,cell division protein FtsH,WP_011375794.1,"Posttranslational modification, protein turnover, chaperones",protein catabolic process (GO:0030163),0.59,1.27,,WP_011294228.1,PMT9312_0228
222446,223621.0,1176.0,PMT9312_0229,PMT9312_RS01155,sulfate adenylyltransferase,WP_011375795.1,Not in COGs,sulfate assimilation (GO:0000103),-0.68,-0.97,,WP_041711119.1,PMT9312_0229
223696,224490.0,795.0,PMT9312_0230,PMT9312_RS01160,photosystem II manganese-stabilizing protein (PsbO),WP_011375796.1,Not in COGs,photosynthesis (GO:0015979),-0.4,-1.01,,WP_011294230.1,PMT9312_0230
226394,226594.0,201.0,PMT9312_0233,PMT9312_RS01175,hypothetical protein,WP_011375799.1,Not in COGs,,0.66,1.49,,WP_011293819.1,PMT9312_0233
226606,226947.0,342.0,PMT9312_0234,PMT9312_RS01180,hypothetical protein,WP_011375800.1,Not in COGs,,,1.44,,WP_011294232.1,PMT9312_0234
236746,237291.0,546.0,PMT9312_0244,PMT9312_RS01230,thioredoxin,WP_011375809.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,0.63,,WP_011294241.1,PMT9312_0244
237299,237931.0,633.0,PMT9312_0245,PMT9312_RS01235,thymidylate synthase (FAD),WP_011375810.1,Nucleotide transport and metabolism,dTMP biosynthetic process (GO:0006231),,-0.64,,WP_011294242.1,PMT9312_0245
237933,238526.0,594.0,PMT9312_0246,PMT9312_RS01240,deoxycytidine triphosphate deaminase,WP_011375811.1,Nucleotide transport and metabolism,dUTP biosynthetic process (GO:0006229),,-0.73,,WP_011294243.1,PMT9312_0246
238531,239112.0,582.0,PMT9312_0247,PMT9312_RS01245,cob(I)alamin adenosyltransferase,WP_011375812.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),-0.42,-1.23,,WP_011294244.1,PMT9312_0247
241734,242336.0,603.0,PMT9312_0252,PMT9312_RS01270,peptidyl-tRNA hydrolase,WP_011375817.1,Not in COGs,translation (GO:0006412),-0.58,,,WP_011294249.1,PMT9312_0252
242479,242679.0,201.0,PMT9312_0253,PMT9312_RS01275,photosystem II reaction center protein H (PsbH),WP_002805661.1,Not in COGs,protein stabilization (GO:0050821),,-0.93,,WP_011294251.1,PMT9312_0253
242760,242912.0,153.0,PMT9312_0254,PMT9312_RS01280,photosystem II reaction center protein PsbN,WP_011375818.1,Not in COGs,photosynthesis (GO:0015979),1.07,1.12,,,PMT9312_0254
243166,245097.0,1932.0,PMT9312_0256,PMT9312_RS01290,hypothetical protein,WP_011375819.1,Cell wall/membrane biogenesis,,-0.67,,,WP_011294253.1,PMT9312_0256
245098,245721.0,624.0,PMT9312_0257,PMT9312_RS01295,3-isopropylmalate dehydratase small subunit,WP_011375820.1,Amino acid transport and metabolism,leucine biosynthetic process (GO:0009098),-0.66,-1.09,,WP_011294254.1,PMT9312_0257
245718,247127.0,1410.0,PMT9312_0258,PMT9312_RS01300,3-isopropylmalate dehydratase large subunit,WP_011375821.1,Not in COGs,cellular amino acid biosynthetic process (GO:0008652),-0.5,-1.09,,WP_011294255.1,PMT9312_0258
248411,249682.0,1272.0,PMT9312_0260,PMT9312_RS01310,serine hydroxymethyltransferase,WP_011375823.1,Amino acid transport and metabolism,glycine metabolic process (GO:0006544),0.53,0.4,,WP_011294257.1,PMT9312_0260
252129,252869.0,741.0,PMT9312_0264,PMT9312_RS01335,DNA/RNA nuclease SfsA,WP_011375827.1,Not in COGs,,,0.97,,WP_011294261.1,PMT9312_0264
253049,254512.0,1464.0,PMT9312_0265,PMT9312_RS01340,ammonium transporter,WP_011375828.1,Not in COGs,transmembrane transport (GO:0055085),0.66,0.84,,WP_011294262.1,PMT9312_0265
262394,262534.0,141.0,PMT9312_0274,PMT9312_RS01385,photosystem II reaction center protein K (PsbK),WP_011375837.1,Not in COGs,photosynthesis (GO:0015979),-0.82,,,WP_011294271.1,PMT9312_0274
262560,263564.0,1005.0,PMT9312_0275,PMT9312_RS01390,gfo/Idh/MocA family oxidoreductase,WP_011375838.1,General function prediction only,metabolic process (GO:0008152),,-0.84,,WP_049752687.1,PMT9312_0275
265116,265676.0,561.0,PMT9312_0277,PMT9312_RS01405,orotate phosphoribosyltransferase,WP_011375840.1,Nucleotide transport and metabolism,pyrimidine nucleotide biosynthetic process (GO:0006221),,-0.75,,WP_041711130.1,PMT9312_0277
270054,271538.0,1485.0,PMT9312_0282,PMT9312_RS01430,retinal pigment epithelial membrane protein,WP_011375845.1,Not in COGs,,0.57,1.44,,WP_011294279.1,PMT9312_0282
271611,272216.0,606.0,PMT9312_0283,PMT9312_RS01435,imidazoleglycerol-phosphate dehydratase,WP_011375846.1,Not in COGs,histidine biosynthetic process (GO:0000105),-0.37,-0.56,,WP_011294280.1,PMT9312_0283
272237,273019.0,783.0,PMT9312_0284,PMT9312_RS01440,enoyl-[acyl-carrier-protein] reductase,WP_011375847.1,Lipid transport and metabolism,fatty acid biosynthetic process (GO:0006633),,-0.75,,WP_011294281.1,PMT9312_0284
274961,276397.0,1437.0,PMT9312_0287,PMT9312_RS01455,deoxyribodipyrimidine photo-lyase,WP_011375850.1,"Replication, recombination and repair",DNA repair (GO:0006281),,1.21,,WP_011294284.1,PMT9312_0287
276394,276957.0,564.0,PMT9312_0288,PMT9312_RS01460,NUDIX hydrolase,WP_011375851.1,"Replication, recombination and repair",,,1.15,,WP_011294285.1,PMT9312_0288
277005,277571.0,567.0,PMT9312_0289,PMT9312_RS01465,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,WP_011375852.1,Coenzyme transport and metabolism,folic acid and derivative biosynthetic process (GO:0009396),0.73,1.06,,WP_011294286.1,PMT9312_0289
283490,284224.0,735.0,PMT9312_0295,PMT9312_RS01495,NAD(P)H-quinone oxidoreductase subunit K,WP_011375858.1,Energy production and conversion,oxidation reduction (GO:0055114),,0.52,,WP_011294292.1,PMT9312_0295
284668,285096.0,429.0,PMT9312_0297,PMT9312_RS01505,rubredoxin,WP_011375860.1,Energy production and conversion,,,1.19,,WP_011294294.1,PMT9312_0297
285106,286122.0,1017.0,PMT9312_0298,PMT9312_RS01510,photosynthesis system II assembly factor Ycf48,WP_011375861.1,General function prediction only,,,0.54,,WP_011294295.1,PMT9312_0298
286258,286506.0,249.0,PMT9312_0299,PMT9312_RS01515,cytochrome b559 subunit alpha,WP_002806020.1,Not in COGs,photosynthesis (GO:0015979),-0.45,-0.6,,WP_011294296.1,PMT9312_0299
286509,286655.0,147.0,PMT9312_0300,PMT9312_RS01520,cytochrome b559 subunit beta,WP_011375863.1,Not in COGs,photosynthesis (GO:0015979),-0.51,-0.47,,,PMT9312_0300
286667,286786.0,120.0,PMT9312_0301,PMT9312_RS09410,photosystem II reaction center L (PsbL),WP_002806119.1,Not in COGs,photosynthesis (GO:0015979),,-0.57,,WP_011294297.1,PMT9312_0301
286796,286993.0,198.0,PMT9312_0302,PMT9312_RS01525,photosystem II reaction center protein J (PsbJ),WP_011375864.1,Not in COGs,photosynthesis (GO:0015979),-0.53,-0.75,,WP_011294298.1,PMT9312_0302
287941,290112.0,2172.0,PMT9312_0304,PMT9312_RS01535,"bifunctional NADH dehydrogenase FAD-containing subunit/selenide, water dikinase SelD",WP_011375866.1,Amino acid transport and metabolism,,0.36,0.51,,WP_011294300.1,PMT9312_0304
294182,294694.0,513.0,PMT9312_0307,PMT9312_RS01555,phycobilisome protein,WP_011375869.1,Not in COGs,photosynthesis (GO:0015979),,-0.78,,WP_011294304.1,PMT9312_0307
294678,295229.0,552.0,PMT9312_0308,PMT9312_RS01560,phycobiliprotein lyase,WP_011375870.1,Not in COGs,,-0.59,-0.84,,WP_011294310.1,PMT9312_0308
295204,295383.0,180.0,PMT9312_0309,PMT9312_RS01565,hypothetical protein,WP_011375871.1,Not in COGs,,,-1.18,,,PMT9312_0309
298682,300541.0,1860.0,PMT9312_0315,PMT9312_RS01590,hypothetical protein,WP_011375877.1,"Posttranslational modification, protein turnover, chaperones",biosynthetic process (GO:0009058),0.55,0.27,,,PMT9312_0315
301054,302283.0,1230.0,PMT9312_0316,PMT9312_RS01600,sugar kinase,WP_011375878.1,Carbohydrate transport and metabolism,carbohydrate metabolic process (GO:0005975),-0.41,-0.74,,WP_011294320.1,PMT9312_0316
302296,303537.0,1242.0,PMT9312_0317,PMT9312_RS01605,S-adenosylmethionine synthase,WP_011375879.1,Coenzyme transport and metabolism,one-carbon metabolic process (GO:0006730),-0.37,-0.87,,WP_011294321.1,PMT9312_0317
303668,304759.0,1092.0,PMT9312_0318,PMT9312_RS01610,30S ribosomal protein S1,WP_036924226.1,Translation,translation (GO:0006412),0.63,,,WP_011294323.1,PMT9312_0318
304868,305347.0,480.0,PMT9312_0319,PMT9312_RS01615,transcriptional regulator NrdR,WP_011375881.1,Not in COGs,,0.57,-0.28,,WP_011294324.1,PMT9312_0319
305448,305546.0,99.0,PMT9312_0320,PMT9312_RS01620,photosystem II reaction center protein T (PsbT),WP_011131951.1,Not in COGs,photosynthesis (GO:0015979),-0.71,-0.87,,WP_011294325.1,PMT9312_0320
305570,307093.0,1524.0,PMT9312_0321,PMT9312_RS01625,photosystem II chlorophyll-binding protein CP47 (PsbB),WP_011375882.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",-0.48,-0.98,,WP_011294326.1,PMT9312_0321
307318,307680.0,363.0,PMT9312_0322,PMT9312_RS01630,ferredoxin,WP_011375883.1,Energy production and conversion,,0.91,0.43,,,PMT9312_0322
307783,307935.0,153.0,PMT9312_0323,PMT9312_RS01635,photosystem II reaction center protein M (PsbM),WP_011375884.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",,-0.91,,WP_011294327.1,PMT9312_0323
307947,308816.0,870.0,PMT9312_0324,PMT9312_RS01640,"protein-(glutamine-N5) methyltransferase, release factor-specific",WP_011375885.1,Translation,methylation (GO:0032259),,-0.61,,WP_011294329.1,PMT9312_0324
322684,323565.0,882.0,PMT9312_0334,PMT9312_RS01720,formamidopyrimidine-DNA glycosylase,WP_011375895.1,"Replication, recombination and repair",base-excision repair (GO:0006284),-0.78,-1.09,,WP_011294339.1,PMT9312_0334
323570,323779.0,210.0,PMT9312_0335,PMT9312_RS01725,photosystem I reaction center subunit IV (PsaE),WP_011375896.1,Not in COGs,photosynthesis (GO:0015979),-0.31,-1.07,,WP_011294340.1,PMT9312_0335
323860,324618.0,759.0,PMT9312_0336,PMT9312_RS01730,peptidoglycan-binding protein,WP_036924183.1,Cell wall/membrane biogenesis,cell wall macromolecule catabolic process (GO:0016998),0.68,,,WP_011294342.1,PMT9312_0336
324692,326083.0,1392.0,PMT9312_0337,PMT9312_RS01735,aldehyde dehydrogenase family protein,WP_011375898.1,Energy production and conversion,cellular aldehyde metabolic process (GO:0006081),0.74,,,WP_011294343.1,PMT9312_0337
326243,327133.0,891.0,PMT9312_0338,PMT9312_RS01740,N-acetyltransferase,WP_011375899.1,Not in COGs,metabolic process (GO:0008152),,0.74,,WP_011293741.1,PMT9312_0338
328426,328860.0,435.0,PMT9312_0340,PMT9312_RS01755,hypothetical protein,WP_011375901.1,Not in COGs,,-0.41,-0.51,,WP_011295233.1,PMT9312_0340
328857,329366.0,510.0,PMT9312_0341,PMT9312_RS01760,plastoquinol terminal oxidase,WP_011375902.1,Not in COGs,oxidation reduction (GO:0055114),,0.65,,WP_011294528.1,PMT9312_0341
329943,330251.0,309.0,PMT9312_0343,PMT9312_RS01765,hypothetical protein,WP_011375904.1,Not in COGs,,0.72,,,WP_011294033.1,PMT9312_0343
331143,331346.0,204.0,PMT9312_1823,PMT9312_RS01780,hypothetical protein,WP_036924173.1,Not in COGs,,,-1.25,,WP_041711040.1,PMT9312_1823
331468,332997.0,1530.0,PMT9312_0345,PMT9312_RS01785,NAD(P)/FAD-dependent oxidoreductase,WP_011375906.1,"Secondary metabolites biosynthesis, transport and catabolism",,1.14,3.48,,WP_011294587.1,PMT9312_0345
333325,333810.0,486.0,PMT9312_0346,PMT9312_RS01790,hypothetical protein,WP_011375907.1,Not in COGs,,1.2,2.22,,WP_011294573.1,PMT9312_0346
334448,334840.0,393.0,PMT9312_0349,PMT9312_RS01805,hypothetical protein,WP_036924170.1,Not in COGs,,,-1.01,,WP_011293923.1,PMT9312_0349
334845,335135.0,291.0,PMT9312_0350,PMT9312_RS01810,protein translocase TatA,WP_011375911.1,Intracellular trafficking and secretion,protein secretion (GO:0009306),,-0.54,,,PMT9312_0350
336077,336526.0,450.0,PMT9312_0353,PMT9312_RS01820,peroxiredoxin,WP_011375914.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,1.4,,WP_011294816.1,PMT9312_0353
