Supplementary Dataset 3: List of full set of Prochlorococcus MIT9312 genes for which signficant differential expression was observed on exposure to HDPE or PVC leachate (relative to AMP1 control). Gene features are provided based on current NCBI annotation (NC007577.1)  and cyanobase functional information (http://genome.microbedb.jp/cyanobase/). ,,,,,,,,,,,,
Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,,NAT_homolog
114880,115272,393,PMT9312_0115,PMT9312_RS00580,ribosome-binding factor A,WP_011375681.1,Translation,rRNA processing (GO:0006364),-0.70,0.76,,WP_011294113.1
116049,116519,471,PMT9312_0117,PMT9312_RS00590,membrane protein,WP_011375683.1,Function unknown,,,0.52,,WP_011294116.1
116523,117977,1455,PMT9312_0118,PMT9312_RS00595,"9,9'-di-cis-zeta-carotene desaturase",WP_036924468.1,Coenzyme transport and metabolism,carotenoid biosynthetic process (GO:0016117),0.35,0.62,,WP_011294117.1
120322,121248,927,PMT9312_0123,PMT9312_RS00620,epimerase,WP_011375689.1,General function prediction only,cellular metabolic process (GO:0044237),0.86,1.97,,WP_011294120.1
121385,121621,237,PMT9312_0124,PMT9312_RS00625,NAD(P)H-quinone oxidoreductase subunit O,WP_011375690.1,Not in COGs,oxidation reduction (GO:0055114),0.75,0.48,,WP_011294121.1
123727,124401,675,PMT9312_0128,PMT9312_RS00645,ABC transporter ATP-binding protein,WP_011375694.1,Inorganic ion transport and metabolism,,-0.56,,,WP_011294126.1
125872,126654,783,PMT9312_0130,PMT9312_RS00660,DNA-binding response regulator,WP_011375696.1,Signal transduction mechanisms,"regulation of transcription, DNA-dependent (GO:0006355)",,0.56,,WP_011294127.1
145257,147278,2022,PMT9312_0151,PMT9312_RS00765,oxidoreductase,WP_011375717.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),0.68,0.69,,WP_011294148.1
147400,149004,1605,PMT9312_0152,PMT9312_RS00770,NAD(P)H-quinone oxidoreductase chain 4,WP_011375718.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),,-0.53,,WP_011294149.1
149128,149949,822,PMT9312_0153,PMT9312_RS00775,hypothetical protein,WP_011375719.1,Function unknown,,,-0.51,,WP_011294150.1
152128,152406,279,PMT9312_0156,PMT9312_RS00790,helix-turn-helix transcriptional regulator,WP_011375722.1,Transcription,"regulation of transcription, DNA-dependent (GO:0006355)",-0.35,-0.80,,WP_011294153.1
152369,152557,189,PMT9312_1977,PMT9312_RS09400,hypothetical protein,WP_071813294.1,Not in COGs,,0.99,,,
152620,153117,498,PMT9312_0157,PMT9312_RS00795,hypothetical protein,WP_011375723.1,Function unknown,,,0.63,,WP_011294155.1
154039,154359,321,PMT9312_0159,PMT9312_RS00805,NADH-quinone oxidoreductase subunit K,WP_036924418.1,Energy production and conversion,ATP synthesis coupled electron transport (GO:0042773),,0.53,,WP_011294157.1
154378,154977,600,PMT9312_0160,PMT9312_RS00810,NADH:ubiquinone oxidoreductase subunit J,WP_011375726.1,Energy production and conversion,oxidation reduction (GO:0055114),0.58,0.66,,WP_011294158.1
154990,155616,627,PMT9312_0161,PMT9312_RS00815,NAD(P)H-quinone oxidoreductase subunit I,WP_011375727.1,Energy production and conversion,oxidation reduction (GO:0055114),0.82,0.77,,WP_011294159.1
159699,160049,351,PMT9312_0165,PMT9312_RS00835,rhodanese,WP_036924463.1,Inorganic ion transport and metabolism,,,-1.23,,WP_011294163.1
160050,161294,1245,PMT9312_0166,PMT9312_RS00840,tryptophan synthase subunit beta,WP_011375732.1,Amino acid transport and metabolism,metabolic process (GO:0008152),0.50,,,WP_011294164.1
165611,166513,903,PMT9312_0173,PMT9312_RS00875,ribosomal RNA small subunit methyltransferase H,WP_011375739.1,Not in COGs,,,-0.67,,WP_011294172.1
167749,168201,453,PMT9312_0175,PMT9312_RS00885,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",WP_011375741.1,General function prediction only,,0.45,0.57,,WP_011294174.1
170373,171290,918,PMT9312_0178,PMT9312_RS00900,"2-carboxy-1,4-naphthoquinone phytyltransferase",WP_011375744.1,Coenzyme transport and metabolism,,-0.69,-0.72,,WP_011294177.1
171392,172804,1413,PMT9312_0179,PMT9312_RS00905,isochorismate synthase,WP_011375745.1,Coenzyme transport and metabolism,biosynthetic process (GO:0009058),,-0.65,,WP_011294178.1
176958,177683,726,PMT9312_0187,PMT9312_RS00945,MBL fold metallo-hydrolase,WP_011375753.1,General function prediction only,,0.50,,,
177680,178789,1110,PMT9312_0188,PMT9312_RS00950,histidinol-phosphate aminotransferase,WP_011375754.1,Amino acid transport and metabolism,biosynthetic process (GO:0009058),,0.50,,WP_011294186.1
181580,182962,1383,PMT9312_0191,PMT9312_RS00965,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,WP_011375757.1,General function prediction only,small GTPase mediated signal transduction (GO:0007264),,0.59,,WP_011294189.1
183029,183472,444,PMT9312_0192,PMT9312_RS00970,hypothetical protein,WP_011375758.1,Function unknown,,,0.98,,WP_011294190.1
188396,189268,873,PMT9312_0196,PMT9312_RS00990,ribosome biogenesis GTPase YlqF,WP_011375762.1,General function prediction only,,,-0.53,,WP_011294194.1
202018,203310,1293,PMT9312_0210,PMT9312_RS01060,enolase,WP_011375776.1,Carbohydrate transport and metabolism,glycolysis (GO:0006096),,-0.85,,WP_011294208.1
205551,206507,957,PMT9312_0213,PMT9312_RS01075,thioredoxin reductase,WP_011375779.1,"Posttranslational modification, protein turnover, chaperones",oxidation reduction (GO:0055114),-0.27,-0.63,,WP_011294211.1
206531,206812,282,PMT9312_0214,PMT9312_RS01080,hypothetical protein,WP_011375780.1,Amino acid transport and metabolism,,-0.90,-0.82,,WP_011294212.1
206815,207813,999,PMT9312_0215,PMT9312_RS01085,sodium-dependent bicarbonate transport family permease,WP_011375781.1,Not in COGs,,-0.98,-0.91,,WP_011294213.1
207820,209472,1653,PMT9312_0216,PMT9312_RS01090,sodium-independent anion transporter,WP_011375782.1,Inorganic ion transport and metabolism,transmembrane transport (GO:0055085),-0.62,-0.99,,WP_011294214.1
209697,210698,1002,PMT9312_0217,PMT9312_RS01095,porphobilinogen synthase,WP_011375783.1,Not in COGs,metabolic process (GO:0008152),-0.31,-1.16,,WP_011294216.1
210762,211148,387,PMT9312_0218,PMT9312_RS01100,glyoxalase/bleomycin resistance/dioxygenase family protein,WP_011375784.1,Amino acid transport and metabolism,,,-0.62,,WP_011294217.1
215280,216224,945,PMT9312_0223,PMT9312_RS01125,glutathione S-transferase,WP_011375789.1,"Posttranslational modification, protein turnover, chaperones",,,0.50,,WP_011294223.1
217578,218660,1083,PMT9312_0225,PMT9312_RS01135,photosystem II protein D1 (PsbA),WP_011375791.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",0.80,,,WP_011294225.1
219901,220527,627,PMT9312_0227,PMT9312_RS01145,2-keto-3-deoxy-6-phosphogluconate aldolase,WP_011375793.1,Carbohydrate transport and metabolism,metabolic process (GO:0008152),,1.62,,WP_011294227.1
220546,222399,1854,PMT9312_0228,PMT9312_RS01150,cell division protein FtsH,WP_011375794.1,"Posttranslational modification, protein turnover, chaperones",protein catabolic process (GO:0030163),0.59,1.27,,WP_011294228.1
222446,223621,1176,PMT9312_0229,PMT9312_RS01155,sulfate adenylyltransferase,WP_011375795.1,Not in COGs,sulfate assimilation (GO:0000103),-0.68,-0.97,,WP_041711119.1
223696,224490,795,PMT9312_0230,PMT9312_RS01160,photosystem II manganese-stabilizing protein (PsbO),WP_011375796.1,Not in COGs,photosynthesis (GO:0015979),-0.40,-1.01,,WP_011294230.1
226394,226594,201,PMT9312_0233,PMT9312_RS01175,hypothetical protein,WP_011375799.1,Not in COGs,,0.66,1.49,,WP_011293819.1
226606,226947,342,PMT9312_0234,PMT9312_RS01180,hypothetical protein,WP_011375800.1,Not in COGs,,,1.44,,WP_011294232.1
236746,237291,546,PMT9312_0244,PMT9312_RS01230,thioredoxin,WP_011375809.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,0.63,,WP_011294241.1
237299,237931,633,PMT9312_0245,PMT9312_RS01235,thymidylate synthase (FAD),WP_011375810.1,Nucleotide transport and metabolism,dTMP biosynthetic process (GO:0006231),,-0.64,,WP_011294242.1
237933,238526,594,PMT9312_0246,PMT9312_RS01240,deoxycytidine triphosphate deaminase,WP_011375811.1,Nucleotide transport and metabolism,dUTP biosynthetic process (GO:0006229),,-0.73,,WP_011294243.1
238531,239112,582,PMT9312_0247,PMT9312_RS01245,cob(I)alamin adenosyltransferase,WP_011375812.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),-0.42,-1.23,,WP_011294244.1
241734,242336,603,PMT9312_0252,PMT9312_RS01270,peptidyl-tRNA hydrolase,WP_011375817.1,Not in COGs,translation (GO:0006412),-0.58,,,WP_011294249.1
242479,242679,201,PMT9312_0253,PMT9312_RS01275,photosystem II reaction center protein H (PsbH),WP_002805661.1,Not in COGs,protein stabilization (GO:0050821),,-0.93,,WP_011294251.1
242760,242912,153,PMT9312_0254,PMT9312_RS01280,photosystem II reaction center protein PsbN,WP_011375818.1,Not in COGs,photosynthesis (GO:0015979),1.07,1.12,,
243166,245097,1932,PMT9312_0256,PMT9312_RS01290,hypothetical protein,WP_011375819.1,Cell wall/membrane biogenesis,,-0.67,,,WP_011294253.1
245098,245721,624,PMT9312_0257,PMT9312_RS01295,3-isopropylmalate dehydratase small subunit,WP_011375820.1,Amino acid transport and metabolism,leucine biosynthetic process (GO:0009098),-0.66,-1.09,,WP_011294254.1
245718,247127,1410,PMT9312_0258,PMT9312_RS01300,3-isopropylmalate dehydratase large subunit,WP_011375821.1,Not in COGs,cellular amino acid biosynthetic process (GO:0008652),-0.50,-1.09,,WP_011294255.1
248411,249682,1272,PMT9312_0260,PMT9312_RS01310,serine hydroxymethyltransferase,WP_011375823.1,Amino acid transport and metabolism,glycine metabolic process (GO:0006544),0.53,0.40,,WP_011294257.1
252129,252869,741,PMT9312_0264,PMT9312_RS01335,DNA/RNA nuclease SfsA,WP_011375827.1,Not in COGs,,,0.97,,WP_011294261.1
253049,254512,1464,PMT9312_0265,PMT9312_RS01340,ammonium transporter,WP_011375828.1,Not in COGs,transmembrane transport (GO:0055085),0.66,0.84,,WP_011294262.1
262394,262534,141,PMT9312_0274,PMT9312_RS01385,photosystem II reaction center protein K (PsbK),WP_011375837.1,Not in COGs,photosynthesis (GO:0015979),-0.82,,,WP_011294271.1
262560,263564,1005,PMT9312_0275,PMT9312_RS01390,gfo/Idh/MocA family oxidoreductase,WP_011375838.1,General function prediction only,metabolic process (GO:0008152),,-0.84,,WP_049752687.1
265116,265676,561,PMT9312_0277,PMT9312_RS01405,orotate phosphoribosyltransferase,WP_011375840.1,Nucleotide transport and metabolism,pyrimidine nucleotide biosynthetic process (GO:0006221),,-0.75,,WP_041711130.1
270054,271538,1485,PMT9312_0282,PMT9312_RS01430,retinal pigment epithelial membrane protein,WP_011375845.1,Not in COGs,,0.57,1.44,,WP_011294279.1
271611,272216,606,PMT9312_0283,PMT9312_RS01435,imidazoleglycerol-phosphate dehydratase,WP_011375846.1,Not in COGs,histidine biosynthetic process (GO:0000105),-0.37,-0.56,,WP_011294280.1
272237,273019,783,PMT9312_0284,PMT9312_RS01440,enoyl-[acyl-carrier-protein] reductase,WP_011375847.1,Lipid transport and metabolism,fatty acid biosynthetic process (GO:0006633),,-0.75,,WP_011294281.1
274961,276397,1437,PMT9312_0287,PMT9312_RS01455,deoxyribodipyrimidine photo-lyase,WP_011375850.1,"Replication, recombination and repair",DNA repair (GO:0006281),,1.21,,WP_011294284.1
276394,276957,564,PMT9312_0288,PMT9312_RS01460,NUDIX hydrolase,WP_011375851.1,"Replication, recombination and repair",,,1.15,,WP_011294285.1
277005,277571,567,PMT9312_0289,PMT9312_RS01465,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,WP_011375852.1,Coenzyme transport and metabolism,folic acid and derivative biosynthetic process (GO:0009396),0.73,1.06,,WP_011294286.1
283490,284224,735,PMT9312_0295,PMT9312_RS01495,NAD(P)H-quinone oxidoreductase subunit K,WP_011375858.1,Energy production and conversion,oxidation reduction (GO:0055114),,0.52,,WP_011294292.1
284668,285096,429,PMT9312_0297,PMT9312_RS01505,rubredoxin,WP_011375860.1,Energy production and conversion,,,1.19,,WP_011294294.1
285106,286122,1017,PMT9312_0298,PMT9312_RS01510,photosynthesis system II assembly factor Ycf48,WP_011375861.1,General function prediction only,,,0.54,,WP_011294295.1
286258,286506,249,PMT9312_0299,PMT9312_RS01515,cytochrome b559 subunit alpha,WP_002806020.1,Not in COGs,photosynthesis (GO:0015979),-0.45,-0.60,,WP_011294296.1
286509,286655,147,PMT9312_0300,PMT9312_RS01520,cytochrome b559 subunit beta,WP_011375863.1,Not in COGs,photosynthesis (GO:0015979),-0.51,-0.47,,
286667,286786,120,PMT9312_0301,PMT9312_RS09410,photosystem II reaction center L (PsbL),WP_002806119.1,Not in COGs,photosynthesis (GO:0015979),,-0.57,,WP_011294297.1
286796,286993,198,PMT9312_0302,PMT9312_RS01525,photosystem II reaction center protein J (PsbJ),WP_011375864.1,Not in COGs,photosynthesis (GO:0015979),-0.53,-0.75,,WP_011294298.1
287941,290112,2172,PMT9312_0304,PMT9312_RS01535,"bifunctional NADH dehydrogenase FAD-containing subunit/selenide, water dikinase SelD",WP_011375866.1,Amino acid transport and metabolism,,0.36,0.51,,WP_011294300.1
294182,294694,513,PMT9312_0307,PMT9312_RS01555,phycobilisome protein,WP_011375869.1,Not in COGs,photosynthesis (GO:0015979),,-0.78,,WP_011294304.1
294678,295229,552,PMT9312_0308,PMT9312_RS01560,phycobiliprotein lyase,WP_011375870.1,Not in COGs,,-0.59,-0.84,,WP_011294310.1
295204,295383,180,PMT9312_0309,PMT9312_RS01565,hypothetical protein,WP_011375871.1,Not in COGs,,,-1.18,,
298682,300541,1860,PMT9312_0315,PMT9312_RS01590,hypothetical protein,WP_011375877.1,"Posttranslational modification, protein turnover, chaperones",biosynthetic process (GO:0009058),0.55,0.27,,
301054,302283,1230,PMT9312_0316,PMT9312_RS01600,sugar kinase,WP_011375878.1,Carbohydrate transport and metabolism,carbohydrate metabolic process (GO:0005975),-0.41,-0.74,,WP_011294320.1
302296,303537,1242,PMT9312_0317,PMT9312_RS01605,S-adenosylmethionine synthase,WP_011375879.1,Coenzyme transport and metabolism,one-carbon metabolic process (GO:0006730),-0.37,-0.87,,WP_011294321.1
303668,304759,1092,PMT9312_0318,PMT9312_RS01610,30S ribosomal protein S1,WP_036924226.1,Translation,translation (GO:0006412),0.63,,,WP_011294323.1
304868,305347,480,PMT9312_0319,PMT9312_RS01615,transcriptional regulator NrdR,WP_011375881.1,Not in COGs,,0.57,-0.28,,WP_011294324.1
305448,305546,99,PMT9312_0320,PMT9312_RS01620,photosystem II reaction center protein T (PsbT),WP_011131951.1,Not in COGs,photosynthesis (GO:0015979),-0.71,-0.87,,WP_011294325.1
305570,307093,1524,PMT9312_0321,PMT9312_RS01625,photosystem II chlorophyll-binding protein CP47 (PsbB),WP_011375882.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",-0.48,-0.98,,WP_011294326.1
307318,307680,363,PMT9312_0322,PMT9312_RS01630,ferredoxin,WP_011375883.1,Energy production and conversion,,0.91,0.43,,
307783,307935,153,PMT9312_0323,PMT9312_RS01635,photosystem II reaction center protein M (PsbM),WP_011375884.1,Not in COGs,"photosynthesis, light reaction (GO:0019684)",,-0.91,,WP_011294327.1
307947,308816,870,PMT9312_0324,PMT9312_RS01640,"protein-(glutamine-N5) methyltransferase, release factor-specific",WP_011375885.1,Translation,methylation (GO:0032259),,-0.61,,WP_011294329.1
322684,323565,882,PMT9312_0334,PMT9312_RS01720,formamidopyrimidine-DNA glycosylase,WP_011375895.1,"Replication, recombination and repair",base-excision repair (GO:0006284),-0.78,-1.09,,WP_011294339.1
323570,323779,210,PMT9312_0335,PMT9312_RS01725,photosystem I reaction center subunit IV (PsaE),WP_011375896.1,Not in COGs,photosynthesis (GO:0015979),-0.31,-1.07,,WP_011294340.1
323860,324618,759,PMT9312_0336,PMT9312_RS01730,peptidoglycan-binding protein,WP_036924183.1,Cell wall/membrane biogenesis,cell wall macromolecule catabolic process (GO:0016998),0.68,,,WP_011294342.1
324692,326083,1392,PMT9312_0337,PMT9312_RS01735,aldehyde dehydrogenase family protein,WP_011375898.1,Energy production and conversion,cellular aldehyde metabolic process (GO:0006081),0.74,,,WP_011294343.1
326243,327133,891,PMT9312_0338,PMT9312_RS01740,N-acetyltransferase,WP_011375899.1,Not in COGs,metabolic process (GO:0008152),,0.74,,WP_011293741.1
328426,328860,435,PMT9312_0340,PMT9312_RS01755,hypothetical protein,WP_011375901.1,Not in COGs,,-0.41,-0.51,,WP_011295233.1
328857,329366,510,PMT9312_0341,PMT9312_RS01760,plastoquinol terminal oxidase,WP_011375902.1,Not in COGs,oxidation reduction (GO:0055114),,0.65,,WP_011294528.1
329943,330251,309,PMT9312_0343,PMT9312_RS01765,hypothetical protein,WP_011375904.1,Not in COGs,,0.72,,,WP_011294033.1
331143,331346,204,PMT9312_1823,PMT9312_RS01780,hypothetical protein,WP_036924173.1,Not in COGs,,,-1.25,,WP_041711040.1
331468,332997,1530,PMT9312_0345,PMT9312_RS01785,NAD(P)/FAD-dependent oxidoreductase,WP_011375906.1,"Secondary metabolites biosynthesis, transport and catabolism",,1.14,3.48,,WP_011294587.1
333325,333810,486,PMT9312_0346,PMT9312_RS01790,hypothetical protein,WP_011375907.1,Not in COGs,,1.20,2.22,,WP_011294573.1
334448,334840,393,PMT9312_0349,PMT9312_RS01805,hypothetical protein,WP_036924170.1,Not in COGs,,,-1.01,,WP_011293923.1
334845,335135,291,PMT9312_0350,PMT9312_RS01810,protein translocase TatA,WP_011375911.1,Intracellular trafficking and secretion,protein secretion (GO:0009306),,-0.54,,
336077,336526,450,PMT9312_0353,PMT9312_RS01820,peroxiredoxin,WP_011375914.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,1.40,,WP_011294816.1
336995,337294,300,PMT9312_0355,PMT9312_RS01830,hypothetical protein,WP_011375916.1,Not in COGs,,1.24,1.67,,WP_011294633.1
337522,337758,237,PMT9312_0356,PMT9312_RS01835,hypothetical protein,WP_011375917.1,Not in COGs,,1.38,1.16,,WP_011294565.1
337963,338391,429,PMT9312_0357,PMT9312_RS01840,aminoacyl-tRNA hydrolase,WP_011375918.1,Translation,translational termination (GO:0006415),,0.80,,WP_011294651.1
338972,339832,861,PMT9312_0359,PMT9312_RS01850,CPBP family intramembrane metalloprotease,WP_011375920.1,Not in COGs,,,0.99,,WP_011295409.1
341259,342209,951,PMT9312_0360,PMT9312_RS01860,prolyl aminopeptidase,WP_011375921.1,General function prediction only,proteolysis (GO:0006508),0.69,,,WP_011294620.1
344297,344482,186,PMT9312_0363,PMT9312_RS01875,hypothetical protein,WP_032515599.1,Not in COGs,,0.74,,,
345431,345808,378,PMT9312_0365,PMT9312_RS01885,hypothetical protein,WP_011375926.1,Not in COGs,,,0.52,,
349115,349897,783,PMT9312_0370,PMT9312_RS01915,SIMPL domain-containing protein,WP_011375931.1,Function unknown,,0.72,0.88,,
350503,350919,417,PMT9312_0372,PMT9312_RS01925,very short patch repair endonuclease,WP_011375933.1,Not in COGs,mismatch repair (GO:0006298),,0.69,,
350974,353700,2727,PMT9312_0373,PMT9312_RS01930,endonuclease,WP_011375934.1,Not in COGs,,0.68,,,
358468,360528,2061,PMT9312_0378,PMT9312_RS01955,DNA cytosine methyltransferase,WP_011375939.1,"Replication, recombination and repair",DNA methylation (GO:0006306),-0.56,-1.14,,
360525,361238,714,PMT9312_0379,PMT9312_RS01960,hypothetical protein,WP_011375940.1,Not in COGs,,-0.55,-1.15,,
361235,362266,1032,PMT9312_0380,PMT9312_RS01965,hypothetical protein,WP_011375941.1,Not in COGs,,,-1.14,,
362269,364233,1965,PMT9312_0381,PMT9312_RS01970,hypothetical protein,WP_011375942.1,Not in COGs,,-0.38,-1.31,,
366841,367596,756,PMT9312_0385,PMT9312_RS02000,precorrin-2 C(20)-methyltransferase,WP_011375946.1,Coenzyme transport and metabolism,cobalamin biosynthetic process (GO:0009236),-0.83,-0.72,,WP_011294356.1
371518,372093,576,PMT9312_0391,PMT9312_RS02030,cell division protein SepF,WP_011375952.1,Function unknown,barrier septum formation (GO:0000917),,-0.60,,WP_011294363.1
374947,375606,660,PMT9312_0395,PMT9312_RS02050,deoxyribose-phosphate aldolase,WP_011375956.1,Nucleotide transport and metabolism,metabolic process (GO:0008152),-1.03,-0.73,,WP_011294367.1
375619,376203,585,PMT9312_0396,PMT9312_RS02055,ribosome-associated inhibitor A/sigma 54 modulation protein,WP_011375957.1,Translation,primary metabolic process (GO:0044238),,-1.14,,WP_011294368.1
376926,378869,1944,PMT9312_0398,PMT9312_RS02065,long-chain fatty acid--CoA ligase,WP_011375959.1,Lipid transport and metabolism,metabolic process (GO:0008152),,-0.57,,WP_011294370.1
