GeneID,logFC,logCPM,PValue,FDR,GeneName,Chr,Start,End,locus_tag,Product,KEGG,GO_Biological_Process,GO_Cellular_Component,GO_Molecular_Function,COG,resolved_locus_tag,resolution_method
gene-NATL1_01541,1.230978944,5.663784128,6.21e-11,9.27e-09,NATL1_01541,CP000553.1,151422,151778,NATL1_01541,conserved hypothetical protein,-,-,-,-,-,NATL1_01541,tier1:GeneID
gene-NATL1_00991,1.20737163,5.993763647,8.67e-11,1.2e-08,NATL1_00991,CP000553.1,98882,99154,NATL1_00991,Hypothetical protein,-,-,-,-,-,NATL1_00991,tier1:GeneID
gene-NATL1_00521,1.273934208,5.375199576,9.08e-11,1.2e-08,NATL1_00521,CP000553.1,54398,55009,NATL1_00521,conserved hypothetical protein,-,-,-,-,-,NATL1_00521,tier1:GeneID
gene-NATL1_08371,-1.266808418,6.906740055,1.04e-10,1.3e-08,NATL1_08371,CP000553.1,769589,770512,NATL1_08371,possible mRNA binding protein,-,-,-,-,"gnl|CDD|223528;COG0451, WcaG, Nucleoside-diphosphate-sugar epimerases [Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism].",NATL1_08371,tier1:GeneID
gene-NATL1_14171,1.387478008,6.242007313,1.48e-10,1.75e-08,NATL1_14171,CP000553.1,1149410,1149703,NATL1_14171,Hypothetical protein,-,-,-,-,-,NATL1_14171,tier1:GeneID
gene-NATL1_00911,1.398194484,5.369756708,2.16e-10,2.41e-08,NATL1_00911,CP000553.1,93549,93695,NATL1_00911,Hypothetical protein,-,-,-,-,-,NATL1_00911,tier1:GeneID
gene-NATL1_19071,1.232720596,9.021106825,2.96e-10,3.15e-08,NATL1_19071,CP000553.1,1569055,1570437,NATL1_19071,Cobalamin synthesis protein/P47K,-,-,-,-,"gnl|CDD|223597;COG0523, COG0523, Putative GTPases (G3E family) [General function prediction only].",NATL1_19071,tier1:GeneID
gene-NATL1_20301,1.224956459,4.775099702,5.96e-10,6.06e-08,NATL1_20301,CP000553.1,1675910,1676467,NATL1_20301,conserved hypothetical protein,-,-,-,-,-,NATL1_20301,tier1:GeneID
gene-NATL1_12331,1.35676263,5.25255154,6.58e-10,6.4e-08,NATL1_12331,CP000553.1,1074158,1074550,NATL1_12331,Hypothetical protein,-,-,-,-,-,NATL1_12331,tier1:GeneID
gene-NATL1_18391,-1.089007353,8.42011622,8.31e-10,7.76e-08,atpC,CP000553.1,1501644,1502051,NATL1_18391,ATP synthase%2C Epsilon subunit,K02114,GO:0015986:ATP synthesis coupled proton transport,"GO:0045261:proton-transporting ATP synthase complex, catalytic core F(1);GO:0042651:thylakoid membrane","GO:0005524:ATP binding;GO:0046933:proton-transporting ATP synthase activity, rotational mechanism","gnl|CDD|223432;COG0355, AtpC, F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit) [Energy production and conversion].",NATL1_18391,tier1:GeneID
gene-NATL1_04491,-1.190557779,5.310904364,1.95e-09,1.75e-07,NATL1_04491,CP000553.1,410307,411581,NATL1_04491,possible Glycosyl transferase%2C group 1,K00286,-,-,-,"gnl|CDD|223515;COG0438, RfaG, Glycosyltransferase [Cell envelope biogenesis, outer membrane].",NATL1_04491,tier1:GeneID
gene-NATL1_16181,1.208144673,6.252306096,2.54e-09,2.18e-07,afuA,CP000553.1,1322162,1323187,NATL1_16181,putative iron ABC transporter%2C substrate binding protein,K02012,-,-,-,"gnl|CDD|224753;COG1840, AfuA, ABC-type Fe3+ transport system, periplasmic component [Inorganic ion transport and metabolism].",NATL1_16181,tier1:GeneID
gene-NATL1_08641,1.70460651,3.294841301,9.32e-09,7.73e-07,wecC,CP000553.1,795754,796965,NATL1_08641,UDP-glucose 6-dehydrogenase,-,-,-,-,"gnl|CDD|223749;COG0677, WecC, UDP-N-acetyl-D-mannosaminuronate dehydrogenase [Cell envelope biogenesis, outer membrane].",NATL1_08641,tier1:GeneID
gene-NATL1_05761,1.024332946,10.58474942,1.44e-08,1.15e-06,tal,CP000553.1,522100,523098,NATL1_05761,Transaldolase,K00616,GO:0005975:carbohydrate metabolic process;GO:0006098:pentose-phosphate shunt,GO:0005737:cytoplasm,GO:0004801:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,"gnl|CDD|223254;COG0176, MipB, Transaldolase [Carbohydrate transport and metabolism].",NATL1_05761,tier1:GeneID
gene-NATL1_18181,1.365036007,4.810822302,2.08e-08,1.61e-06,NATL1_18181,CP000553.1,1482349,1482501,NATL1_18181,Hypothetical protein,-,-,-,-,-,NATL1_18181,tier1:GeneID
gene-NATL1_03491,1.012448133,4.895792713,3.68e-08,2.74e-06,cobS,CP000553.1,322880,323461,NATL1_03491,Cobalamin-5-phosphate synthase CobS,K02233,-,-,-,"gnl|CDD|223445;COG0368, CobS, Cobalamin-5-phosphate synthase [Coenzyme metabolism].",NATL1_03491,tier1:GeneID
gene-NATL1_11331,1.448025069,4.155327887,4.23e-08,3.05e-06,NATL1_11331,CP000553.1,1017816,1018085,NATL1_11331,Hypothetical protein,-,-,-,-,-,NATL1_11331,tier1:GeneID
gene-NATL1_19061,1.014113255,4.846267629,6.79e-08,4.75e-06,NATL1_19061,CP000553.1,1568728,1569045,NATL1_19061,Hypothetical protein,-,-,-,-,-,NATL1_19061,tier1:GeneID
gene-NATL1_21781,1.047847166,10.48769308,7.48e-08,5.08e-06,NATL1_21781,CP000553.1,1836223,1837245,NATL1_21781,Type II alternative RNA polymerase sigma factor%2C sigma-70 family,-,"GO:0006352:DNA-templated transcription, initiation",GO:0005737:cytoplasm,GO:0003677:DNA binding;GO:0003700:DNA-binding transcription factor activity;GO:0016987:sigma factor activity,"gnl|CDD|223642;COG0568, RpoD, DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32) [Transcription].",NATL1_21781,tier1:GeneID
gene-NATL1_10721,-0.923089569,7.763348869,7.75e-08,5.09e-06,NATL1_10721,CP000553.1,988531,988755,NATL1_10721,Hypothetical protein,-,-,-,-,-,NATL1_10721,tier1:GeneID
gene-NATL1_08811,1.962540528,2.813533031,7.96e-08,5.09e-06,NATL1_08811,CP000553.1,821041,821208,NATL1_08811,Hypothetical protein,-,-,-,-,-,NATL1_08811,tier1:GeneID
gene-NATL1_01091,1.100231607,4.652748661,1.32e-07,8.23e-06,NATL1_01091,CP000553.1,105959,106630,NATL1_01091,Hypothetical protein,-,-,-,-,"gnl|CDD|224113;COG1192, Soj, ATPases involved in chromosome partitioning [Cell division and chromosome partitioning].",NATL1_01091,tier1:GeneID
gene-NATL1_21631,0.886917816,6.350198304,1.75e-07,1.06e-05,pyrG,CP000553.1,1820216,1821883,NATL1_21631,Glutamine amidotransferase class-I:CTP synthase,K01937,GO:0044210:'de novo' CTP biosynthetic process;GO:0006541:glutamine metabolic process,-,GO:0005524:ATP binding;GO:0003883:CTP synthase activity;GO:0046872:metal ion binding,"gnl|CDD|223578;COG0504, PyrG, CTP synthase (UTP-ammonia lyase) [Nucleotide transport and metabolism].",NATL1_21631,tier1:GeneID
gene-NATL1_11931,1.394642546,5.022367382,2.07e-07,1.22e-05,NATL1_11931,CP000553.1,1051178,1051351,NATL1_11931,Hypothetical protein,-,-,-,-,-,NATL1_11931,tier1:GeneID
gene-NATL1_08711,1.132420226,4.418386687,2.76e-07,1.58e-05,NATL1_08711,CP000553.1,807555,808775,NATL1_08711,Hypothetical protein,-,-,-,-,-,NATL1_08711,tier1:GeneID
gene-NATL1_04991,0.897332011,6.980681775,4.72e-07,2.64e-05,cyoB,CP000553.1,453952,455592,NATL1_04991,Cytochrome c oxidase%2C subunit I,K02274,GO:0009060:aerobic respiration;GO:0015990:electron transport coupled proton transport;GO:0006119:oxidative phosphorylation,GO:0016021:integral component of membrane;GO:0005886:plasma membrane;GO:0070469:respiratory chain,GO:0004129:cytochrome-c oxidase activity;GO:0020037:heme binding;GO:0046872:metal ion binding,"gnl|CDD|223913;COG0843, CyoB, Heme/copper-type cytochrome/quinol oxidases, subunit 1 [Energy production and conversion].",NATL1_04991,tier1:GeneID
gene-NATL1_20071,0.892962197,8.076435854,5.37e-07,2.93e-05,recA,CP000553.1,1650618,1651751,NATL1_20071,RecA bacterial DNA recombination protein,K03553,GO:0006310:DNA recombination;GO:0006281:DNA repair;GO:0009432:SOS response,GO:0005737:cytoplasm,GO:0005524:ATP binding;GO:0003684:damaged DNA binding;GO:0008094:DNA-dependent ATPase activity;GO:0003697:single-stranded DNA binding,"gnl|CDD|223544;COG0468, RecA, RecA/RadA recombinase [DNA replication, recombination, and repair].",NATL1_20071,tier1:GeneID
gene-NATL1_10461,-0.870489658,6.403061974,6.35e-07,3.38e-05,tldD,CP000553.1,963463,964872,NATL1_10461,putative modulator of DNA gyrase%3B TldD,-,-,GO:0005829:cytosol,GO:0008237:metallopeptidase activity,"gnl|CDD|223389;COG0312, TldD, Predicted Zn-dependent proteases and their inactivated homologs [General function prediction only].",NATL1_10461,tier1:GeneID
gene-NATL1_06981,1.045836709,4.430879071,6.49e-07,3.38e-05,mscS,CP000553.1,641148,642164,NATL1_06981,small mechanosensitive ion channel%2C MscS family,-,-,-,-,"gnl|CDD|223740;COG0668, MscS, Small-conductance mechanosensitive channel [Cell envelope biogenesis, outer membrane].",NATL1_06981,tier1:GeneID
gene-NATL1_17971,1.904771774,3.576551091,7.14e-07,3.59e-05,NATL1_17971,CP000553.1,1472113,1472307,NATL1_17971,Hypothetical protein,-,-,-,-,-,NATL1_17971,tier1:GeneID
gene-NATL1_12231,1.338892804,3.956627912,7.21e-07,3.59e-05,NATL1_12231,CP000553.1,1068309,1068458,NATL1_12231,Hypothetical protein,-,-,-,-,-,NATL1_12231,tier1:GeneID
gene-NATL1_21211,0.82618732,6.035004748,7.47e-07,3.64e-05,dapA,CP000553.1,1778538,1779485,NATL1_21211,Dihydrodipicolinate synthetase,K01714,GO:0019877:diaminopimelate biosynthetic process;GO:0009089:lysine biosynthetic process via diaminopimelate,GO:0005737:cytoplasm,GO:0008840:4-hydroxy-tetrahydrodipicolinate synthase,"gnl|CDD|223406;COG0329, DapA, Dihydrodipicolinate synthase/N-acetylneuraminate lyase [Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane].",NATL1_21211,tier1:GeneID
gene-NATL1_06671,0.912646068,6.168891462,8.37e-07,3.99e-05,NATL1_06671,CP000553.1,613876,615215,NATL1_06671,-,K04042,GO:0000902:cell morphogenesis;GO:0071555:cell wall organization;GO:0009245:lipid A biosynthetic process;GO:0009103:lipopolysaccharide biosynthetic process;GO:0009252:peptidoglycan biosynthetic process;GO:0008360:regulation of cell shape;GO:0006048:UDP-N-acetylglucosamine biosynthetic process,GO:0005737:cytoplasm,GO:0019134:glucosamine-1-phosphate N-acetyltransferase activity;GO:0000287:magnesium ion binding;GO:0003977:UDP-N-acetylglucosamine diphosphorylase activity,"gnl|CDD|224128;COG1207, GlmU, N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains) [Cell envelope biogenesis, outer membrane].",,unresolved
gene-NATL1_06311,0.910889149,5.346527274,8.78e-07,4.1e-05,NATL1_06311,CP000553.1,572231,572596,NATL1_06311,conserved hypothetical protein,-,-,-,-,"gnl|CDD|225876;COG3339, COG3339, Uncharacterized conserved protein [Function unknown].",NATL1_06311,tier1:GeneID
gene-NATL1_20131,0.824952672,7.875093826,1.23e-06,5.64e-05,NATL1_20131,CP000553.1,1656908,1657270,NATL1_20131,conserved hypothetical protein,-,-,-,-,-,NATL1_20131,tier1:GeneID
gene-NATL1_21311,-0.883281411,5.296149007,1.45e-06,6.49e-05,rplT,CP000553.1,1789338,1789685,NATL1_21311,50S ribosomal protein L20,K02887,GO:0000027:ribosomal large subunit assembly;GO:0006412:translation,GO:0005840:ribosome,GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome,"gnl|CDD|223369;COG0292, RplT, Ribosomal protein L20 [Translation, ribosomal structure and biogenesis].",NATL1_21311,tier1:GeneID
gene-NATL1_19031,0.853272174,7.306493125,1.88e-06,8.23e-05,NATL1_19031,CP000553.1,1565931,1566335,NATL1_19031,Ferric uptake regulator family,-,-,-,-,"gnl|CDD|223806;COG0735, Fur, Fe2+/Zn2+ uptake regulation proteins [Inorganic ion transport and metabolism].",NATL1_19031,tier1:GeneID
gene-NATL1_15961,0.881980306,9.04441847,2.27e-06,9.76e-05,NATL1_15961,CP000553.1,1306535,1307113,NATL1_15961,possible EF-1 guanine nucleotide exchange doma,-,-,-,-,-,NATL1_15961,tier1:GeneID
gene-NATL1_09701,1.135120382,4.856708778,2.46e-06,0.000104048,NATL1_09701,CP000553.1,890312,890818,NATL1_09701,Predicted transcriptional regulator containing the HTH domain,-,-,-,-,"gnl|CDD|224304;COG1386, scpB, Chromosome segregation and condensation protein B [DNA replication, recombination and repair].",NATL1_09701,tier1:GeneID
gene-NATL1_13731,-1.479744412,2.830038707,2.66e-06,0.000110262,NATL1_13731,CP000553.1,1132801,1133403,NATL1_13731,Hypothetical protein,-,-,-,-,"gnl|CDD|223767;COG0695, GrxC, Glutaredoxin and related proteins [Posttranslational modification, protein turnover, chaperones].",NATL1_13731,tier1:GeneID
gene-NATL1_07981,-1.325683195,3.464063267,2.73e-06,0.000111301,typA,CP000553.1,733452,735248,NATL1_07981,tyrosine binding protein,-,GO:0006412:translation,GO:0005829:cytosol;GO:1990904:ribonucleoprotein complex,GO:0005525:GTP binding;GO:0003924:GTPase activity,"gnl|CDD|224138;COG1217, TypA, Predicted membrane GTPase involved in stress response [Signal transduction mechanisms].",NATL1_07981,tier1:GeneID
gene-NATL1_21421,0.822352847,6.391792968,3.07e-06,0.000122932,ole1,CP000553.1,1799954,1800733,NATL1_21421,Fatty acid desaturase%2C type 1,K00507,-,-,-,"gnl|CDD|224316;COG1398, OLE1, Fatty-acid desaturase [Lipid metabolism].",NATL1_21421,tier1:GeneID
gene-NATL1_05601,0.922255151,8.980223687,3.47e-06,0.000136289,NATL1_05601,CP000553.1,507692,508129,NATL1_05601,Single-stranded DNA-binding protein,-,-,-,-,"gnl|CDD|223702;COG0629, Ssb, Single-stranded DNA-binding protein [DNA replication, recombination, and repair].",NATL1_05601,tier1:GeneID
gene-NATL1_01891,0.788423077,8.144610115,3.56e-06,0.00013762,crtQ,CP000553.1,176722,178182,NATL1_01891,zeta-carotene desaturase,K00514,GO:0016117:carotenoid biosynthetic process,-,"GO:0052887:7,9,9'-tricis-neurosporene:quinone oxidoreductase activity;GO:0052886:9,9'-dicis-carotene:quinone oxidoreductase activity;GO:0016719:carotene 7,8-desaturase activity","gnl|CDD|225885;COG3349, COG3349, Uncharacterized conserved protein [Function unknown].",NATL1_01891,tier1:GeneID
gene-NATL1_02971,1.412234832,2.979543277,3.67e-06,0.000139364,NATL1_02971,CP000553.1,277073,277255,NATL1_02971,conserved hypothetical,-,-,-,-,-,NATL1_02971,tier1:GeneID
gene-NATL1_19731,0.865631398,5.977420831,4e-06,0.000149211,alr,CP000553.1,1629295,1630578,NATL1_19731,putative Alanine racemase,K01775,GO:0030632:D-alanine biosynthetic process,-,GO:0008784:alanine racemase activity;GO:0030170:pyridoxal phosphate binding,"gnl|CDD|223858;COG0787, Alr, Alanine racemase [Cell envelope biogenesis, outer membrane].",NATL1_19731,tier1:GeneID
gene-NATL1_12791,1.046958638,4.821490166,5.08e-06,0.000186432,NATL1_12791,CP000553.1,1091462,1092058,NATL1_12791,Hypothetical protein,-,-,-,-,-,NATL1_12791,tier1:GeneID
gene-NATL1_10471,-0.960569115,4.570949733,6.08e-06,0.000219484,pmbA,CP000553.1,964874,966262,NATL1_10471,possible modulator of DNA gyrase,-,-,-,-,"gnl|CDD|223389;COG0312, TldD, Predicted Zn-dependent proteases and their inactivated homologs [General function prediction only].",NATL1_10471,tier1:GeneID
gene-NATL1_17081,0.979344574,6.407829696,6.64e-06,0.000233316,acoA,CP000553.1,1393083,1394177,NATL1_17081,Pyruvate dehydrogenase E1 alpha subunit,K00161,GO:0006086:acetyl-CoA biosynthetic process from pyruvate;GO:0006096:glycolytic process,GO:0009507:chloroplast;GO:0009941:chloroplast envelope;GO:0009570:chloroplast stroma,GO:0004739:pyruvate dehydrogenase (acetyl-transferring) activity,"gnl|CDD|223997;COG1071, AcoA, Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit [Energy production and conversion].",NATL1_17081,tier1:GeneID
gene-NATL1_11851,1.3671265,6.553029089,6.67e-06,0.000233316,NATL1_11851,CP000553.1,1046135,1046422,NATL1_11851,Hypothetical protein,-,-,-,-,-,NATL1_11851,tier1:GeneID
gene-NATL1_18931,-0.770893519,5.686941361,7.03e-06,0.000242287,nusA,CP000553.1,1555126,1556619,NATL1_18931,N utilization substance protein A,-,-,-,-,"gnl|CDD|223273;COG0195, NusA, Transcription elongation factor [Transcription].",NATL1_18931,tier1:GeneID
gene-NATL1_07901,-0.821640557,5.823452767,7.48e-06,0.000253673,tsf,CP000553.1,721457,722113,NATL1_07901,putative Elongation factor Ts,-,-,GO:0005737:cytoplasm,GO:0003746:translation elongation factor activity,"gnl|CDD|223342;COG0264, Tsf, Translation elongation factor Ts [Translation, ribosomal structure and biogenesis].",NATL1_07901,tier1:GeneID
gene-NATL1_06871,0.903731112,4.872675401,8.19e-06,0.000270432,NATL1_06871,CP000553.1,632440,632574,NATL1_06871,Hypothetical protein,-,-,-,-,-,NATL1_06871,tier1:GeneID
gene-NATL1_00221,-0.782969174,8.347704071,8.21e-06,0.000270432,gap2,CP000553.1,24726,25748,NATL1_00221,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),K00150,GO:0006006:glucose metabolic process;GO:0006096:glycolytic process,GO:0005737:cytoplasm,GO:0004365:glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity;GO:0051287:NAD binding;GO:0050661:NADP binding,"gnl|CDD|223135;COG0057, GapA, Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase [Carbohydrate transport and metabolism].",NATL1_00221,tier1:GeneID
gene-NATL1_02671,0.760090317,5.873603887,8.9e-06,0.00028867,spoT,CP000553.1,244655,246991,NATL1_02671,guanosine-3'%2C5'-bis(diphosphate) 3'-diphosphatase%2C (ppGpp)ase,-,GO:0015970:guanosine tetraphosphate biosynthetic process,-,"GO:0008893:guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity","gnl|CDD|223394;COG0317, SpoT, Guanosine polyphosphate pyrophosphohydrolases/synthetases [Signal transduction mechanisms / Transcription].",NATL1_02671,tier1:GeneID
gene-NATL1_06461,-1.018008777,4.190099824,9.32e-06,0.000298256,proA,CP000553.1,590149,591465,NATL1_06461,Gamma-glutamyl phosphate reductase,K00147,GO:0055129:L-proline biosynthetic process,GO:0005737:cytoplasm,GO:0004350:glutamate-5-semialdehyde dehydrogenase activity;GO:0050661:NADP binding,"gnl|CDD|223093;COG0014, ProA, Gamma-glutamyl phosphate reductase [Amino acid transport and metabolism].",NATL1_06461,tier1:GeneID
gene-NATL1_19081,0.999337789,5.526575969,1.15e-05,0.00036124,NATL1_19081,CP000553.1,1570425,1571501,NATL1_19081,G-protein beta WD-40 repeats,-,-,-,-,"gnl|CDD|225201;COG2319, COG2319, FOG: WD40 repeat [General function prediction only].",NATL1_19081,tier1:GeneID
gene-NATL1_19811,-0.937507563,7.367551778,1.26e-05,0.000392108,rpoA,CP000553.1,1634849,1635787,NATL1_19811,Bacterial RNA polymerase%2C alpha chain,K03040,"GO:0006351:transcription, DNA-templated",-,GO:0003677:DNA binding;GO:0003899:DNA-directed 5'-3' RNA polymerase activity;GO:0046983:protein dimerization activity,"gnl|CDD|223280;COG0202, RpoA, DNA-directed RNA polymerase, alpha subunit/40 kD subunit [Transcription].",NATL1_19811,tier1:GeneID
gene-NATL1_14411,-1.378033293,3.580977163,1.38e-05,0.000423593,NATL1_14411,CP000553.1,1161594,1161941,NATL1_14411,Hypothetical protein,-,-,-,-,-,NATL1_14411,tier1:GeneID
gene-NATL1_12981,1.539204228,4.376578258,1.4e-05,0.000423593,NATL1_12981,CP000553.1,1099262,1099423,NATL1_12981,Hypothetical protein,-,-,-,-,-,NATL1_12981,tier1:GeneID
gene-NATL1_20761,-1.012487342,4.294975381,1.59e-05,0.000474615,dedA,CP000553.1,1719229,1719885,NATL1_20761,DedA family%3B putative alkaline phosphatase-like protein,-,-,-,-,"gnl|CDD|223659;COG0586, DedA, Uncharacterized membrane-associated protein [Function unknown].",NATL1_20761,tier1:GeneID
gene-NATL1_17141,0.776501508,10.50695339,1.87e-05,0.000545745,NATL1_17141,CP000553.1,1400368,1400859,NATL1_17141,putative nickel-containing superoxide dismutase precursor (NISOD),-,-,-,-,-,NATL1_17141,tier1:GeneID
gene-NATL1_04831,0.84254916,4.660538226,1.88e-05,0.000545745,hisF,CP000553.1,439725,440495,NATL1_04831,Imidazole glycerol phosphate synthase subunit HisF (cyclase),K02500,GO:0000105:histidine biosynthetic process,GO:0005737:cytoplasm,GO:0000107:imidazoleglycerol-phosphate synthase activity;GO:0016829:lyase activity,"gnl|CDD|223185;COG0107, HisF, Imidazoleglycerol-phosphate synthase [Amino acid transport and metabolism].",NATL1_04831,tier1:GeneID
gene-NATL1_07171,0.942994363,5.2307875,1.99e-05,0.000569801,NATL1_07171,CP000553.1,660299,660580,NATL1_07171,possible RNA recognition motif,-,-,-,-,-,NATL1_07171,tier1:GeneID
gene-NATL1_02241,0.945578002,5.339604755,2.3e-05,0.000652656,NATL1_02241,CP000553.1,209881,211059,NATL1_02241,Putative sugar-phosphate nucleotidyl transferase,K00966,GO:0009058:biosynthetic process;GO:0006011:UDP-glucose metabolic process,-,GO:0000287:magnesium ion binding;GO:0002134:UTP binding;GO:0003983:UTP:glucose-1-phosphate uridylyltransferase activity,"gnl|CDD|224129;COG1208, GCD1, Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon) [Cell envelope biogenesis, outer membrane / Translation, ribosomal structure and biogenesis].",NATL1_02241,tier1:GeneID
gene-NATL1_20011,-0.791227264,5.756369542,2.5e-05,0.000701056,rplW,CP000553.1,1645993,1646304,NATL1_20011,50S ribosomal protein L23,K02892,GO:0006412:translation,GO:0005840:ribosome,GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome,"gnl|CDD|223167;COG0089, RplW, Ribosomal protein L23 [Translation, ribosomal structure and biogenesis].",NATL1_20011,tier1:GeneID
gene-NATL1_00111,0.823685511,5.170624826,2.94e-05,0.000812795,argH,CP000553.1,14783,16174,NATL1_00111,Fumarate lyase:Delta crystallin,K01755,GO:0042450:arginine biosynthetic process via ornithine,GO:0005737:cytoplasm,GO:0004056:argininosuccinate lyase activity,"gnl|CDD|223243;COG0165, ArgH, Argininosuccinate lyase [Amino acid transport and metabolism].",NATL1_00111,tier1:GeneID
