GeneID,logFC,logCPM,PValue,FDR,GeneName,Chr,Start,End,locus_tag,Product,KEGG,GO_Biological_Process,GO_Cellular_Component,GO_Molecular_Function,COG,resolved_locus_tag,resolution_method
gene-PMM1507,0.844786214,9.04481882,0.000105765,0.006966869,rpsJ%2Crps10,BX548174.1,1446000,1446320,PMM0223,30S ribosomal protein S10,K02946,GO:0006412:translation,GO:0005840:ribosome,GO:0003735:structural constituent of ribosome;GO:0000049:tRNA binding,"gnl|CDD|223129;COG0051, RpsJ, Ribosomal protein S10 [Translation, ribosomal structure and biogenesis].",PMM1507,tier1:GeneID
gene-PMM1429,1.067895199,5.84115005,0.00011075,0.007067223,PMM1429,BX548174.1,1368154,1368405,PMM0226,conserved hypothetical protein,-,-,-,-,-,PMM1429,tier1:GeneID
gene-PMM0208,0.688715388,7.919385244,0.000134323,0.008311753,eno,BX548174.1,201456,202748,PMM0227,Enolase,K01689,GO:0006096:glycolytic process,GO:0009986:cell surface;GO:0005576:extracellular region;GO:0000015:phosphopyruvate hydratase complex,GO:0000287:magnesium ion binding;GO:0004634:phosphopyruvate hydratase activity,"gnl|CDD|223226;COG0148, Eno, Enolase [Carbohydrate transport and metabolism].",PMM0208,tier1:GeneID
gene-PMM0731,-3.506883476,0.850689778,0.000141251,0.008483396,PMM0731,BX548174.1,695582,695992,PMM0233,possible COMC family,-,-,-,-,-,PMM0731,tier1:GeneID
gene-PMM1894,-1.520350759,2.518646824,0.000157677,0.009199341,PMM1894,BX548174.1,771996,772190,PMM0234,Conserved hypothetical protein,-,-,-,-,-,PMM1894,tier1:GeneID
gene-PMM1224,-0.909487812,4.905274018,0.000171918,0.009751589,gumB,BX548174.1,1174288,1175343,PMM0238,putative polysaccharide export protein,K01991,-,-,-,"gnl|CDD|224512;COG1596, Wza, Periplasmic protein involved in polysaccharide export, contains    SLBB domain of b-grasp fold [Cell wall/membrane/envelope biogenesis].",PMM1224,tier1:GeneID
gene-PMM1666,0.740707253,7.141263573,0.000194769,0.010749124,sqdX,BX548174.1,1597831,1598964,PMM0244,SqdX,-,-,-,-,"gnl|CDD|223515;COG0438, RfaG, Glycosyltransferase [Cell envelope biogenesis, outer membrane].",PMM1666,tier1:GeneID
gene-PMM1054,-1.178702289,3.127049836,0.000203839,0.010953671,ruvC,BX548174.1,995971,996444,PMM0252,Crossover junction endodeoxyribonuclease RuvC,K01159,GO:0006310:DNA recombination;GO:0006281:DNA repair,-,GO:0008821:crossover junction endodeoxyribonuclease activity;GO:0000287:magnesium ion binding;GO:0003676:nucleic acid binding,"gnl|CDD|223887;COG0817, RuvC, Holliday junction resolvasome, endonuclease subunit [DNA replication, recombination, and repair].",PMM1054,tier1:GeneID
gene-PMM0536,-0.668934926,6.759931762,0.000214498,0.011230871,folE,BX548174.1,507372,508112,PMM0256,putative GTP cyclohydrolase I,K01495,-,-,-,"gnl|CDD|223379;COG0302, FolE, GTP cyclohydrolase I [Coenzyme metabolism].",PMM0536,tier1:GeneID
gene-PMM1467,0.911164539,6.146947018,0.000339336,0.017256926,PMM1467,BX548174.1,1400415,1403141,PMM0273,putative DNA helicase,-,-,-,-,"gnl|CDD|226947;COG4581, COG4581, Superfamily II RNA helicase [DNA replication, recombination, and repair].",PMM1467,tier1:GeneID
gene-RNA_18,-1.990326115,2.050234837,0.000346491,0.017256926,tRNA-Gly1,BX548174.1,1570753,1570824,PMM0280,tRNA-Gly,K14225,-,-,-,-,PMM0236,tier1:GeneID
gene-PMM1305,-0.805146419,5.214381534,0.000413458,0.019889349,PMM1305,BX548174.1,1258409,1259803,PMM0281,conserved hypothetical protein,-,GO:0006400:tRNA modification,GO:0005737:cytoplasm,"GO:0051539:4 iron, 4 sulfur cluster binding;GO:0046872:metal ion binding;GO:0016740:transferase activity","gnl|CDD|223694;COG0621, MiaB, 2-methylthioadenine synthetase [Translation, ribosomal structure and biogenesis].",PMM1305,tier1:GeneID
gene-PMM1123,-0.580052272,11.21011163,0.000418826,0.019889349,hupE,BX548174.1,1071671,1072375,PMM0283,putative hydrogenase accessory protein,-,-,-,-,"gnl|CDD|225245;COG2370, HupE, Hydrogenase/urease accessory protein [Posttranslational modification, protein turnover, chaperones].",PMM1123,tier1:GeneID
gene-PMM0814,1.927728092,1.856913658,0.0004461,0.020703105,PMM0814,BX548174.1,771463,771708,PMM0289,possible Cytochrome oxidase c subunit VIb,-,-,-,-,-,PMM0814,tier1:GeneID
gene-PMED4_ncRNA_Yfr11,-1.335903049,6.121610271,0.000466651,0.021175563,PMED4_ncRNA_Yfr11,BX548174.1,358606,358754,PMM0308,-,-,-,-,-,-,,unresolved
gene-PMM1566,-0.721281986,5.503409142,0.000486129,0.021241421,PMM1566,BX548174.1,1494234,1495739,PMM0312,conserved hypothetical protein,-,-,-,-,"gnl|CDD|224154;COG1233, COG1233, Phytoene dehydrogenase and related proteins [Secondary metabolites biosynthesis, transport, and catabolism].",PMM1566,tier1:GeneID
gene-PMM1378,-1.062181228,3.62580829,0.000496141,0.021241421,des%2CyocE,BX548174.1,1325388,1326494,PMM0315,Fatty acid desaturase%2C type 2,K10255,-,-,-,"gnl|CDD|225779;COG3239, DesA, Fatty acid desaturase [Lipid metabolism].",PMM1378,tier1:GeneID
gene-PMM0464,-0.82288013,4.887354359,0.000504137,0.021241421,PMM0464,BX548174.1,441721,442479,PMM0316,protein secretion component%2C Tat family,K03118,-,-,-,"gnl|CDD|223876;COG0805, TatC, Sec-independent protein secretion pathway component TatC [Intracellular trafficking and secretion].",PMM0464,tier1:GeneID
gene-PMM0861,0.928154579,5.110309487,0.000509711,0.021241421,PMM0861,BX548174.1,819133,819372,PMM0317,possible Virion host shutoff protein,-,-,-,-,-,PMM0861,tier1:GeneID
gene-PMM1315,0.670785869,6.338106669,0.00052136,0.021292337,ilvC,BX548174.1,1268128,1269117,PMM0324,Ketol-acid reductoisomerase,K00053,GO:0009097:isoleucine biosynthetic process;GO:0009099:valine biosynthetic process,-,GO:0004455:ketol-acid reductoisomerase activity;GO:0000287:magnesium ion binding;GO:0050661:NADP binding,"gnl|CDD|223137;COG0059, IlvC, Ketol-acid reductoisomerase [Amino acid transport and metabolism / Coenzyme metabolism].",PMM1315,tier1:GeneID
gene-PMM1961,-2.139395623,1.567167147,0.000575739,0.022621216,PMM1961,BX548174.1,1084749,1084931,PMM0345,Conserved hypothetical protein,-,-,-,-,-,PMM1961,tier1:GeneID
gene-PMM0345,-0.966968142,3.828023729,0.000576054,0.022621216,PMM0345,BX548174.1,332317,332766,PMM0348,putative bacterioferritin comigratory protein,-,-,-,-,"gnl|CDD|224146;COG1225, Bcp, Peroxiredoxin [Posttranslational modification, protein turnover, chaperones].",PMM0345,tier1:GeneID
gene-PMM1854,-1.58476781,2.348721605,0.000589035,0.022694534,PMM1854,BX548174.1,623818,624018,PMM0355,Conserved hypothetical protein,-,-,-,-,-,PMM1854,tier1:GeneID
gene-PMM1537,1.7746369,6.527664267,0.000634429,0.023990832,rps13%2C rpsM,BX548174.1,1476489,1476854,PMM0366,30S ribosomal protein S13,K02952,GO:0006412:translation,GO:0005840:ribosome,GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome;GO:0000049:tRNA binding,"gnl|CDD|223177;COG0099, RpsM, Ribosomal protein S13 [Translation, ribosomal structure and biogenesis].",PMM1537,tier1:GeneID
gene-PMM0594,-0.663765053,8.031789948,0.000647206,0.024028993,ndhD,BX548174.1,562568,564052,PMM0367,putative NADH Dehydrogenase (complex I) subunit (chain 4),K05575,GO:0042773:ATP synthesis coupled electron transport,GO:0016021:integral component of membrane;GO:0042651:thylakoid membrane,GO:0008137:NADH dehydrogenase (ubiquinone) activity;GO:0048038:quinone binding,"gnl|CDD|223940;COG1008, NuoM, NADH:ubiquinone oxidoreductase subunit 4 (chain M) [Energy production and conversion].",PMM0594,tier1:GeneID
gene-PMM0200,1.032504983,3.991011026,0.000784119,0.028592355,rnhA,BX548174.1,194249,194971,PMM0377,possible ribonuclease HI,K03469,GO:0006401:RNA catabolic process,GO:0005737:cytoplasm,GO:0000287:magnesium ion binding;GO:0003676:nucleic acid binding;GO:0004523:RNA-DNA hybrid ribonuclease activity,"gnl|CDD|223405;COG0328, RnhA, Ribonuclease HI [DNA replication, recombination, and repair].",PMM0200,tier1:GeneID
gene-PMM0252,-0.919906284,4.145390649,0.000861581,0.030865757,psbN,BX548174.1,242197,242373,PMM0378,Photosystem II reaction centre N protein (psbN),-,GO:0015979:photosynthesis,GO:0016021:integral component of membrane;GO:0009539:photosystem II reaction center;GO:0042651:thylakoid membrane,-,-,PMM0252,tier1:GeneID
gene-PMM0420,-0.829476293,4.544595877,0.001058702,0.037273605,lepA,BX548174.1,398179,399987,PMM0382,GTP-binding protein LepA,K03596,GO:0006412:translation,GO:0005886:plasma membrane,GO:0005525:GTP binding;GO:0003924:GTPase activity,"gnl|CDD|223557;COG0481, LepA, Membrane GTPase LepA [Cell envelope biogenesis, outer membrane].",PMM0420,tier1:GeneID
gene-PMM1483,0.629541392,9.535720841,0.001119268,0.038142978,rpoC2,BX548174.1,1413943,1418043,PMM0383,RNA polymerase beta prime subunit,K03046,"GO:0006351:transcription, DNA-templated",-,GO:0003677:DNA binding;GO:0003899:DNA-directed 5'-3' RNA polymerase activity,"gnl|CDD|223164;COG0086, RpoC, DNA-directed RNA polymerase, beta' subunit/160 kD subunit [Transcription].",PMM1483,tier1:GeneID
gene-PMM0051,0.573142416,10.27580796,0.001127917,0.038142978,PMM0051,BX548174.1,54244,54915,PMM0409,conserved hypothetical protein,-,-,-,-,"gnl|CDD|224113;COG1192, Soj, ATPases involved in chromosome partitioning [Cell division and chromosome partitioning].",PMM0051,tier1:GeneID
gene-PMM2013,1.206591781,4.413715904,0.001142296,0.038142978,PMM2013,BX548174.1,1360010,1360168,PMM0419,Hypothetical protein,-,-,-,-,-,PMM2013,tier1:GeneID
gene-PMM0226,-0.578502925,9.370934502,0.001158112,0.038142978,ftsH2,BX548174.1,219760,221616,PMM0420,cell division protein FtsH2,-,GO:0010205:photoinhibition;GO:0010206:photosystem II repair;GO:0006508:proteolysis;GO:0010304:PSII associated light-harvesting complex II catabolic process;GO:0010027:thylakoid membrane organization,GO:0009941:chloroplast envelope;GO:0009535:chloroplast thylakoid membrane;GO:0016021:integral component of membrane,GO:0005524:ATP binding;GO:0004176:ATP-dependent peptidase activity;GO:0004222:metalloendopeptidase activity;GO:0008270:zinc ion binding,"gnl|CDD|223541;COG0465, HflB, ATP-dependent Zn proteases [Posttranslational modification, protein turnover, chaperones].",PMM0226,tier1:GeneID
gene-PMM1246,-0.676452051,5.536845723,0.001205061,0.038735441,PMM1246,BX548174.1,1196890,1198722,PMM0441,Carbamoyltransferase,-,GO:0009058:biosynthetic process,-,GO:0016740:transferase activity,"gnl|CDD|225103;COG2192, COG2192, Predicted carbamoyl transferase, NodU family [Posttranslational modification, protein turnover, chaperones].",PMM1246,tier1:GeneID
gene-PMM1101,0.830611214,4.399763633,0.001222905,0.038735441,PMM1101,BX548174.1,1045073,1046851,PMM0453,putative ATP-dependent RNA helicase,K05592,-,-,-,"gnl|CDD|223587;COG0513, SrmB, Superfamily II DNA and RNA helicases [DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis].",PMM1101,tier1:GeneID
gene-PMM1545,0.599033799,7.02375549,0.001233009,0.038735441,rps8%2C rpsH,BX548174.1,1480993,1481394,PMM0456,30S ribosomal protein S8,K02994,GO:0006412:translation,GO:0005840:ribosome,GO:0019843:rRNA binding;GO:0003735:structural constituent of ribosome,"gnl|CDD|223174;COG0096, RpsH, Ribosomal protein S8 [Translation, ribosomal structure and biogenesis].",PMM1545,tier1:GeneID
gene-PMM1028,-1.318602146,4.183234874,0.001346337,0.041654865,PMM1028,BX548174.1,972906,973154,PMM0457,conserved hypothetical,-,-,-,-,-,PMM1028,tier1:GeneID
gene-PMM0281,0.622041219,6.452086609,0.001406183,0.042507658,hisB,BX548174.1,271159,271764,PMM0461,Imidazoleglycerol-phosphate dehydratase,K01693,GO:0000105:histidine biosynthetic process,GO:0005737:cytoplasm,GO:0004424:imidazoleglycerol-phosphate dehydratase activity,"gnl|CDD|223209;COG0131, HisB, Imidazoleglycerol-phosphate dehydratase [Amino acid transport and metabolism].",PMM0281,tier1:GeneID
gene-PMM1992,-0.672756187,7.060139549,0.001415534,0.042507658,PMM1992,BX548174.1,1328782,1328928,PMM0464,Conserved hypothetical protein,-,-,-,-,-,PMM1992,tier1:GeneID
gene-PMM0949,0.693667935,5.800143952,0.001443963,0.042732925,PMM0949,BX548174.1,908496,908888,PMM0465,conserved hypothetical protein,-,-,-,-,"gnl|CDD|224850;COG1939, COG1939, Ribonuclease III family protein [Replication, recombination, and    repair].",PMM0949,tier1:GeneID
gene-PMM0596,1.039762244,3.148944997,0.001501344,0.043683367,PMM0596,BX548174.1,565152,566189,PMM0478,Putative glucokinase,K00845,-,-,-,"gnl|CDD|223907;COG0837, Glk, Glucokinase [Carbohydrate transport and metabolism].",PMM0596,tier1:GeneID
gene-PMM0147,0.603908607,5.80388528,0.001518863,0.043683367,rbcR,BX548174.1,142916,143869,PMM0482,putative Rubisco transcriptional regulator,-,-,-,GO:0003677:DNA binding;GO:0003700:DNA-binding transcription factor activity,"gnl|CDD|223656;COG0583, LysR, Transcriptional regulator [Transcription].",PMM0147,tier1:GeneID
gene-PMM0020,0.714326982,6.726420172,0.001546371,0.043856786,PMM0020,BX548174.1,21261,21611,PMM0504,conserved hypothetical protein,-,-,GO:0043590:bacterial nucleoid;GO:0005737:cytoplasm,GO:0003677:DNA binding,"gnl|CDD|223790;COG0718, COG0718, Uncharacterized protein conserved in bacteria [Function unknown].",PMM0020,tier1:GeneID
gene-PMM0482,-0.526499763,9.798033764,0.001602944,0.044838505,phb,BX548174.1,455827,456633,PMM0536,Band 7 protein,-,-,-,-,"gnl|CDD|223407;COG0330, HflC, Membrane protease subunits, stomatin/prohibitin homologs [Posttranslational modification, protein turnover, chaperones].",PMM0482,tier1:GeneID
gene-PMM1534,0.697275031,5.851776888,0.001911764,0.052754353,rpl17%2C rplQ,BX548174.1,1474697,1475047,PMM0544,50S ribosomal protein L17,K02879,GO:0006412:translation,GO:0005840:ribosome,GO:0003735:structural constituent of ribosome,"gnl|CDD|223281;COG0203, RplQ, Ribosomal protein L17 [Translation, ribosomal structure and biogenesis].",PMM1534,tier1:GeneID
gene-PMM0409,0.592743289,6.702562825,0.001945791,0.052977414,metB,BX548174.1,388715,389878,PMM0546,putative Cystathionine gamma-synthase,K01739,-,-,-,"gnl|CDD|223699;COG0626, MetC, Cystathionine beta-lyases/cystathionine gamma-synthases [Amino acid transport and metabolism].",PMM0409,tier1:GeneID
gene-PMM0312,0.560340005,8.542669487,0.002129646,0.057186268,rps1a%2C rpsA1,BX548174.1,299159,300250,PMM0561,30S ribosomal protein S1%2C homolog A,K02945,-,GO:0005840:ribosome,GO:0003723:RNA binding,"gnl|CDD|223613;COG0539, RpsA, Ribosomal protein S1 [Translation, ribosomal structure and biogenesis].",PMM0312,tier1:GeneID
gene-PMM1688,0.952987315,3.976293037,0.002156387,0.057186268,aspS,BX548174.1,1621326,1623122,PMM0580,Aspartyl-tRNA synthetase,K01876,GO:0006422:aspartyl-tRNA aminoacylation,GO:0005737:cytoplasm,GO:0004815:aspartate-tRNA ligase activity;GO:0050560:aspartate-tRNA(Asn) ligase activity;GO:0005524:ATP binding;GO:0003676:nucleic acid binding,"gnl|CDD|223251;COG0173, AspS, Aspartyl-tRNA synthetase [Translation, ribosomal structure and biogenesis].",PMM1688,tier1:GeneID
gene-PMM0546,0.552245521,9.964556435,0.002258488,0.058901024,PMM0546,BX548174.1,516550,516918,PMM0583,conserved hypothetical,-,-,-,-,-,PMM0546,tier1:GeneID
gene-PMM0872,-0.786329664,8.173722427,0.00230045,0.058901024,PMM0872,BX548174.1,828956,829204,PMM0593,possible Carboxylesterase,-,-,-,-,-,PMM0872,tier1:GeneID
gene-PMM0202,0.507151675,11.45100845,0.002307582,0.058901024,rpl10%2C rplJ,BX548174.1,195441,195968,PMM0594,50S ribosomal protein L10,K02864,GO:0042254:ribosome biogenesis;GO:0006412:translation,GO:0005840:ribosome,GO:0070180:large ribosomal subunit rRNA binding,"gnl|CDD|223322;COG0244, RplJ, Ribosomal protein L10 [Translation, ribosomal structure and biogenesis].",PMM0202,tier1:GeneID
gene-PMM1113,-0.635260697,11.41781856,0.002367345,0.059680479,PMM1113,BX548174.1,1059346,1060083,PMM0596,two-component response regulator,-,-,-,-,"gnl|CDD|223816;COG0745, OmpR, Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain [Signal transduction mechanisms / Transcription].",PMM1113,tier1:GeneID
gene-PMM1707,0.596740031,5.677271161,0.002512908,0.062577527,argG,BX548174.1,1644933,1646147,PMM0597,Argininosuccinate synthase,K01940,GO:0006526:arginine biosynthetic process,GO:0005737:cytoplasm,GO:0004055:argininosuccinate synthase activity;GO:0005524:ATP binding,"gnl|CDD|223215;COG0137, ArgG, Argininosuccinate synthase [Amino acid transport and metabolism].",PMM1707,tier1:GeneID
gene-PMM1808,2.41819252,1.179258506,0.00257936,0.06270471,PMM1808,BX548174.1,304928,305092,PMM0604,Conserved hypothetical protein,-,-,-,-,-,PMM1808,tier1:GeneID
gene-PMM0366,-0.960603716,3.915948859,0.002584212,0.06270471,PMM0366,BX548174.1,348223,348627,PMM0611,Type-1 copper (blue) domain,-,-,-,-,"gnl|CDD|226317;COG3794, PetE, Plastocyanin [Energy production and conversion].",PMM0366,tier1:GeneID
gene-PMM1296,-0.603229134,7.250198844,0.002610137,0.06270471,PMM1296,BX548174.1,1246993,1247661,PMM0613,marine cyanobacterial conserved hypothetical,-,-,-,-,-,PMM1296,tier1:GeneID
gene-PMM1651,1.675390647,1.486123799,0.002642686,0.062748421,PMM1651,BX548174.1,1580957,1581967,PMM0627,conserved hypothetical protein,-,GO:0006400:tRNA modification,GO:0005737:cytoplasm,"GO:0005524:ATP binding;GO:0016879:ligase activity, forming carbon-nitrogen bonds","gnl|CDD|223115;COG0037, MesJ, tRNA(Ile)-lysidine synthase MesJ [Cell cycle control, cell division, chromosome partitioning].",PMM1651,tier1:GeneID
gene-RNA_34,-0.929384858,3.723380212,0.002847332,0.066830477,tRNA-Phe1,BX548174.1,296377,296452,PMM0631,tRNA-Phe,K14231,-,-,-,-,PMM0236,tier1:GeneID
gene-PMM0635,0.632910167,5.581984165,0.003047955,0.070726413,PMM0635,BX548174.1,603999,605030,PMM0635,small mechanosensitive ion channel%2C MscS family,-,-,-,-,"gnl|CDD|223740;COG0668, MscS, Small-conductance mechanosensitive channel [Cell envelope biogenesis, outer membrane].",PMM0635,tier1:GeneID
gene-PMED4_asRNA_18171,1.580150511,1.9044383,0.003323556,0.076255074,PMED4_asRNA_18171,BX548174.1,1537773,1537988,PMM0639,-,K02691,GO:0009773:photosynthetic electron transport in photosystem I,GO:0009522:photosystem I;GO:0042651:thylakoid membrane,"GO:0051539:4 iron, 4 sulfur cluster binding;GO:0009055:electron transfer activity;GO:0046872:metal ion binding","gnl|CDD|224066;COG1143, NuoI, Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) [Energy production and conversion].",,unresolved
