gene_id,cluster
PMM0090,5
PMM0964,5
PMM0911,5
PMM0012,5
PMM1157,5
PMM0380,5
PMM0719,5
PMM0945,5
PMM0169,5
PMM0733,5
PMM1272,5
PMM0908,5
PMM0737,5
PMM0635,5
PMM1121,5
PMM0445,5
PMM0727,5
PMM0969,5
PMM0360,5
PMM0463,5
PMM0656,5
PMM0033,5
PMM1429,5
PMM1349,5
PMM0444,5
PMM0443,5
PMM1374,5
PMM0395,5
PMM0378,5
PMM1363,5
PMM1119,5
PMM1677,5
PMM0432,5
PMM0480,5
PMM1289,5
PMM0777,5
PMM0482,5
PMM0732,5
PMM1687,5
PMM0491,5
PMM0626,5
PMM0263,5
PMM0509,5
PMM0321,5
PMM0660,5
PMM1075,5
PMM0340,5
PMM1309,5
PMM1584,5
PMM1611,5
PMM1461,5
PMM1490,5
PMM1596,5
PMM1106,5
PMM0770,5
PMM0980,5
PMM1296,5
PMM0637,5
PMM0075,5
PMM0918,5
PMM0544,5
PMM0638,5
PMM0699,5
PMM0647,5
PMM0961,5
PMM1146,5
PMM0015,5
PMM1073,5
PMM1595,5
PMM1697,5
PMM1331,5
PMM1142,6
PMM1182,6
PMM1664,6
PMM0584,6
PMM1264,6
PMM1482,6
PMM0747,6
PMM0215,6
PMM1335,6
PMM1345,6
PMM0536,6
PMM0251,6
PMM0273,6
PMM0283,6
PMM1070,6
PMM0642,6
PMM0060,6
PMM1524,6
PMM1336,6
PMM1150,6
PMM0346,6
PMM0553,6
PMM0265,6
PMM0027,6
PMM0428,6
PMM0056,6
PMM1483,6
PMM0753,6
PMM0134,6
PMM1661,6
PMM1509,6
PMM0500,6
PMM0288,6
PMM1511,6
PMM0203,6
PMM0298,6
PMM1489,6
PMM0829,6
PMM0046,6
PMM1183,6
PMM0844,6
PMM1229,6
PMM1251,6
PMM0510,6
PMM0494,6
PMM0295,6
PMM0619,6
PMM0605,6
PMM0206,6
PMM1532,6
PMM1109,6
PMM0483,6
PMM0609,6
PMM1546,6
PMM0213,6
PMM0907,6
PMM1644,6
PMM0580,6
PMM1440,6
PMM1055,6
PMM1191,6
PMM0429,6
PMM1510,6
PMM0784,6
PMM0200,6
PMM0769,6
PMM0026,6
PMM1643,6
PMM0253,6
PMM1437,6
PMM0902,6
PMM1662,6
PMM1543,6
PMM0204,6
PMM1607,6
PMM0299,6
PMM0869,6
PMM0930,6
PMM0296,6
PMM1547,6
PMM1522,6
PMM0622,6
PMM1506,6
PMM1600,6
PMM1542,6
PMM0137,6
PMM1079,6
PMM0751,6
PMM1485,6
PMM0511,6
PMM1663,6
PMM1617,6
PMM0987,6
PMM0929,6
PMM1011,6
PMM0017,6
PMM0599,6
PMM1608,6
PMM1247,6
PMM0754,6
PMM1534,6
PMM0741,6
PMM0870,6
PMM1530,6
PMM1618,6
PMM0474,6
PMM0560,6
PMM0700,6
PMM0312,6
PMM0142,6
PMM0347,6
PMM0348,6
PMM0016,6
PMM1375,6
PMM0135,6
PMM0864,6
PMM1060,6
PMM1544,6
PMM1585,6
PMM1548,6
PMM0924,6
PMM0356,6
PMM0876,6
PMM0297,6
PMM1553,7
PMM1610,7
PMM0202,7
PMM1537,7
PMM1655,7
PMM1557,7
PMM1706,7
PMM0583,7
PMM1550,7
PMM1545,7
PMM0781,7
PMM1298,7
PMM1536,7
PMM1556,7
PMM0552,7
PMM1549,7
PMM0528,7
PMM1028,7
PMM1629,7
PMM1558,7
PMM1540,7
PMM0673,7
PMM1609,7
PMM1456,7
PMM1555,7
PMM1297,7
PMM1539,7
PMM1457,7
PMM1551,7
PMM1552,7
PMM1554,7
PMM1402,7
PMM0201,7
PMM1538,7
PMM0041,7
PMM0541,7
PMM0023,7
PMM1541,7
PMM0410,7
PMM1507,7
PMM1285,7
PMM1439,7
PMM0766,8
PMM0214,8
PMM1350,8
PMM0540,8
PMM1508,8
PMM0785,8
PMM0468,8
PMM0314,8
PMM1436,8
PMM0549,8
PMM1520,8
PMM0627,8
PMM1379,8
PMM1578,8
PMM0452,8
PMM1519,8
PMM0710,8
PMM0453,8
PMM0469,8
PMM1184,8
PMM0906,8
PMM0307,8
PMM0797,8
PMM0901,8
PMM1704,8
PMM1400,8
PMM0228,8
PMM0409,8
PMM1592,8
PMM1523,8
PMM0272,8
PMM0306,8
PMM0767,8
PMM1438,8
PMM0691,8
PMM0329,8
PMM0315,8
PMM1451,9
PMM1455,9
PMM1453,9
PMM1452,9
PMM0550,9
PMM1450,9
PMM1454,9
PMM0551,9
