GENE,t=0h,t=3h,t=6h,t=12h,t=24h,t=48h,Cyanate,Urea,ANNOTATION,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,locus_tag
PMM0107,-0.169010349,0.061274221,-0.262950954,-1.643487242,-0.202370687,-0.863398324,0.393307308,0.06116084,aroK Shikimate kinase,,,,,,,,,PMM0107
PMM0108,-0.304282374,-0.195406272,-0.213930735,-0.358049362,-0.167195298,-0.840057622,0.986669582,0.83925089,conserved hypothetical protein,,,,,,,,,PMM0108
PMM0109,-0.663156814,-0.19973999,0.196579529,-0.608869415,-0.709010233,-0.863120925,-0.227667534,-0.079636754,possible POLO box duplicated region.,,,,,,,,,PMM0109
PMM0110,-0.661668395,0.204353315,0.577043524,0.94562492,-0.465486587,0.204075977,0.518378317,0.239905403,putative glutathione S-transferase,,,,,,,,,PMM0110
PMM0111,-0.717817314,-0.610275487,0.185733945,0.232206342,0.400638147,0.190517719,1.345585989,1.187967114,conserved hypothetical protein,,,,,,,,,PMM0111
PMM0112,-0.803508545,-0.822090974,-0.215922014,-0.696818632,0.354313204,0.445266798,0.209300966,-0.029244164,rbfA Ribosome-binding factor A,,,,,,,,,PMM0112
PMM0113,-0.650978978,-0.845865445,-0.282348061,-1.015009775,-0.446740774,-0.804830722,0.959606611,0.574885164,hemD putative uroporphyrinogen III synthase,,,,,,,,,PMM0113
PMM0114,-0.418001013,0.111717952,-0.074583458,0.068999961,0.191902269,0.727186488,0.378516826,0.092214516,conserved hypothetical protein,,,,,,,,,PMM0114
PMM0115,-0.330115619,0.075865903,0.59593429,0.406299106,0.378763371,0.638170829,0.254808768,0.089604829,crtQ zeta-carotene desaturase,,,,,,,,,PMM0115
PMM0116,0.246621823,0.088203247,0.704195823,1.019129767,*1.11519532571520,1.303131983,0.129226814,-0.073126578,conserved hypothetical protein,,,,,,,,,PMM0116
PMM0117,-0.273658611,0.506787955,0.069732866,0.566618561,0.165474704,0.53683968,0.122923139,-0.262892577,conserved hypothetical protein,,,,,,,,,PMM0117
PMM0118,-1.117082817,-0.280738937,-0.128744785,-0.805973458,-0.359187664,-2.358600307,-0.280023389,-1.045519076,conserved hypothetical protein,,,,,,,,,PMM0118
PMM0119,0.004823979,-0.447571294,-0.527344959,-0.599169787,-0.183667505,0.205599618,-0.08575394,0.554844962,conserved hypothetical protein,,,,,,,,,PMM0119
PMM0120,0.371250572,0.483840804,**1.26438374099210,**1.70982410151631,0.732444186,0.931709847,0.044470859,0.168477549,putative cell division inhibitor,,,,,,,,,PMM0120
PMM0121,0.484798187,0.425182422,0.055547191,0.950134306,0.800552079,1.34854689,-0.105701876,0.031961813,conserved hypothetical protein,,,,,,,,,PMM0121
PMM0122,0.130585513,-0.190741621,0.054179043,0.003639782,0.131491592,-0.176895886,0.907990731,0.493122458,possible heat shock protein DnaJ,,,,,,,,,PMM0122
PMM0123,-0.065905256,0.125148234,0.300187744,0.84792427,0.844278907,0.790977623,0.304887496,0.056231738,cysK2 O-acetylserine (thiol)-lyase A,,,,,,,,,PMM0123
PMM0124,-0.048517901,0.237205708,0.149326612,0.35709294,0.06448871,0.666274243,-0.375550511,0.011747426,conserved hypothetical protein in cyanobacteria,,,,,,,,,PMM0124
PMM0125,-0.382734523,-0.382178111,-0.373428694,-0.318560515,0.116093718,-0.449553316,0.107511826,-0.132224932,"possible ABC transporter, ATP-binding component",,,,,,,,,PMM0125
PMM0126,0.07796002,0.263244405,-0.232681271,0.137039218,-0.096609409,-0.093983868,-0.240873945,0.289712407,possible Herpesvirus UL6 like,,,,,,,,,PMM0126
PMM0127,-0.386581953,0.050475013,0.717989521,0.836479488,-0.388324017,-0.90856706,-0.149655276,0.152393971,possible Signal peptide binding domain,,,,,,,,,PMM0127
PMM0128,-0.042380763,0.222694498,0.285280933,0.147753491,-0.153569225,0.340061036,0.193330538,0.180840852,rpaA two-component response regulator,,,,,,,,,PMM0128
PMM0129,-1.906419884,-0.414296644,-0.047289984,-1.190234777,-0.62735116,-0.461939549,1.506581984,0.805568095,"holB DNA polymerase III, delta prime subunit",,,,,,,,,PMM0129
PMM0130,-0.851157742,0.358744376,0.594234065,-0.025719908,0.428809763,-1.967242754,1.293463261,0.940838123,Thymidylate kinase,,,,,,,,,PMM0130
PMM0131,-0.019311411,-0.24978756,0.119174176,0.386616972,0.244670024,0.356157094,0.010005262,-0.202673613,putative P-type ATPase transporter for copper,,,,,,,,,PMM0131
PMM0132,-0.168131125,-0.245478569,0.160595139,0.502420935,-0.071689946,0.655277597,0.306150535,-0.078081988,cyanobacterial conserved hypothetical,,,,,,,,,PMM0132
PMM0133,-0.019309465,0.028465348,0.60451013,0.974430803,0.441752901,-0.365056427,1.002181599,0.589272724,radA putative DNA repair protein RadA,,,,,,,,,PMM0133
PMM0134,-0.303111174,-0.728725846,**-1.48361374117009,**-1.8575053484769,**-1.19725245715294,-1.14689788,-0.159935797,-0.130586172,rpaB two-component response regulator,,,,,,,,,PMM0134
PMM0135,-0.353306797,-0.679949304,**-1.25787626026618,**-1.61598466751164,-0.690075714,-1.081731734,-0.160534104,-0.297316503,plsX fatty acid/phospholipid synthesis protein PlsX,,,,,,,,,PMM0135
PMM0136,-0.700957573,-0.395862241,-0.694201061,-0.273701982,-0.439697915,-0.968273843,-0.10477069,-0.281839396,fabH 3-oxoacyl-[acyl-carrier-protein] synthase III,,,,,,,,,PMM0136
PMM0137,*-1.28030092092443,-0.47562286,*-1.22115138530829,-0.822271876,-0.49367889,-0.931995115,-0.491772311,-0.591836724,fabD Malonyl coenzyme A-acyl carrier proteintransacylase,,,,,,,,,PMM0137
PMM0138,-0.742591252,-0.622399824,-0.331230343,-0.611306872,-0.471140086,-0.319141397,0.292479934,-0.422732865,plsC putative 1-acyl-sn-glycerol-3-phosphateacyltransferase,,,,,,,,,PMM0138
PMM0139,-0.10642411,-0.78064321,0.025734631,-1.082797172,-0.516729864,-2.435833353,0.455994862,0.461815029,conserved hypothetical protein,,,,,,,,,PMM0139
PMM0140,-0.049449982,0.114542999,-0.214685952,-0.193109607,-0.390294278,-0.559394358,0.182576899,0.263747278,ycf34 putative Ycf34,,,,,,,,,PMM0140
PMM0141,-1.033411351,-0.192050361,-2.337678717,0.022395654,-0.996988605,-2.948302035,0.697516244,-1.618568961,Poly A polymerase family,,,,,,,,,PMM0141
PMM0142,-0.280797804,-0.34494313,-0.788931091,*-1.093795685518,*-1.12394712523125,-0.757722685,*-0.844894624805942,*-0.720124838346337,RNA-binding region RNP-1 (RNA recognition motif),,,,,,,,,PMM0142
PMM0143,0.318724925,0.0629033,0.069213715,0.307849945,0.719919365,0.698274514,-0.014793687,-0.077041855,"crtB,pys Squalene and phytoene synthases",,,,,,,,,PMM0143
PMM0144,-0.222303998,0.407881844,0.331416918,0.623535327,0.719759432,0.785915561,0.221745587,0.026154049,"pds,crtD phytoene desaturase",,,,,,,,,PMM0144
PMM0145,0.152737613,0.717369802,*0.90140165494754,*1.02578305511637,*1.27026167845213,1.237294986,0.152092509,0.316566552,conserved hypothetical protein,,,,,,,,,PMM0145
PMM0146,-0.535179873,0.280886126,0.206553716,0.190401746,0.164429652,0.533789583,-0.220940551,-0.329564559,conserved hypothetical protein,,,,,,,,,PMM0146
PMM0147,-0.175393752,-0.184526218,-0.3725733,-0.189846364,0.023646211,-0.178742114,0.167476454,0.323380205,rbcR putative Rubisco transcriptional regulator,,,,,,,,,PMM0147
PMM0148,-0.418029778,0.004509278,-0.392065907,-0.369406915,-0.315255823,-0.513545788,0.155082368,0.281190434,conserved hypothetical protein,,,,,,,,,PMM0148
PMM0149,0.165154844,0.258996897,0.098668338,-0.255307534,0.177326201,0.430207166,-0.249941878,-0.054799537,ndhF putative NADH Dehydrogenase (complex I) subunit(chain 5),,,,,,,,,PMM0149
PMM0150,-0.152166936,0.443020818,**1.13004277621346,**1.4739002360024,**1.50482973865496,*1.92367721668459,-0.126033991,-0.107956307,ndhD putative NADH dehydrogenase subunit (chain 4),,,,,,,,,PMM0150
PMM0151,-0.442739941,0.095556227,-0.182834672,0.027802061,-0.286744844,-2.948840979,0.498580342,-0.102062952,conserved hypothetical protein,,,,,,,,,PMM0151
PMM0152,-0.298867817,-0.208046717,-0.581709886,-1.039375476,-0.386518889,-0.863888898,0.147157359,0.151559747,Putative sugar-phosphate nucleotidyl transferase,,,,,,,,,PMM0152
PMM0153,-0.649663673,-0.235734089,-0.88958791,-1.006420102,-0.675385325,-0.635259629,-0.328636737,-0.0883464,conserved hypothetical protein,,,,,,,,,PMM0153
