gene_id,cluster,resolved_locus_tag,resolution_method
PMT0501,3,PMT0501,locus_tag:gene_id
PMT0683,3,PMT0683,locus_tag:gene_id
PMT1542,3,PMT1542,locus_tag:gene_id
PMT1340,3,PMT1340,locus_tag:gene_id
PMT0387,3,PMT0387,locus_tag:gene_id
PMT1102,3,PMT1102,locus_tag:gene_id
PMT2256,3,PMT2256,locus_tag:gene_id
PMT1838,3,PMT1838,locus_tag:gene_id
PMT1446,3,PMT1446,locus_tag:gene_id
PMT1462,3,PMT1462,locus_tag:gene_id
PMT2180,3,PMT2180,locus_tag:gene_id
PMT2235,3,PMT2235,locus_tag:gene_id
PMT1600,3,PMT1600,locus_tag:gene_id
PMT0038,3,PMT0038,locus_tag:gene_id
PMT2217,3,PMT2217,locus_tag:gene_id
PMT1817,3,PMT1817,locus_tag:gene_id
PMT0911,3,PMT0911,locus_tag:gene_id
PMT0128,3,PMT0128,locus_tag:gene_id
PMT1009,3,PMT1009,locus_tag:gene_id
PMT1539,3,PMT1539,locus_tag:gene_id
PMT0677,3,PMT0677,locus_tag:gene_id
PMT2271,3,PMT2271,locus_tag:gene_id
PMT2173,3,PMT2173,locus_tag:gene_id
PMT2000,3,PMT2000,locus_tag:gene_id
PMT2156,3,PMT_2156,tier1:gene_id
PMT0957,3,PMT0957,locus_tag:gene_id
PMT1432,3,PMT1432,locus_tag:gene_id
PMT0811,3,PMT0811,locus_tag:gene_id
PMT0361,3,PMT0361,locus_tag:gene_id
PMT0994,3,PMT0994,locus_tag:gene_id
PMT1265,3,PMT1265,locus_tag:gene_id
PMT2168,3,PMT2168,locus_tag:gene_id
PMT1564,3,PMT1564,locus_tag:gene_id
PMT0910,3,PMT0910,locus_tag:gene_id
PMT0697,3,PMT0697,locus_tag:gene_id
PMT0912,3,PMT0912,locus_tag:gene_id
PMT1676,3,,unresolved
PMT0823,3,PMT0823,locus_tag:gene_id
PMT1584,3,PMT1584,locus_tag:gene_id
PMT0457,3,PMT0457,locus_tag:gene_id
PMT1075,3,PMT1075,locus_tag:gene_id
PMT1129,3,PMT1129,locus_tag:gene_id
PMT1286,3,PMT1286,locus_tag:gene_id
PMT1172,3,PMT1172,locus_tag:gene_id
PMT2265,3,PMT2265,locus_tag:gene_id
PMT0352,3,PMT0352,locus_tag:gene_id
PMT1296,3,PMT1296,locus_tag:gene_id
PMT1565,3,PMT1565,locus_tag:gene_id
PMT0685,3,PMT0685,locus_tag:gene_id
PMT0441,3,PMT0441,locus_tag:gene_id
PMT1667,3,PMT1667,locus_tag:gene_id
PMT1274,3,PMT1274,locus_tag:gene_id
PMT0127,3,PMT0127,locus_tag:gene_id
PMT0732,3,PMT0732,locus_tag:gene_id
PMT2075,3,PMT2075,locus_tag:gene_id
PMT1447,3,PMT1447,locus_tag:gene_id
PMT1636,3,PMT1636,locus_tag:gene_id
PMT0192,3,PMT0192,locus_tag:gene_id
PMT1422,3,PMT1422,locus_tag:gene_id
PMT1017,3,PMT1017,locus_tag:gene_id
PMT2183,3,PMT2183,locus_tag:gene_id
PMT0449,3,PMT0449,locus_tag:gene_id
PMT1798,3,PMT1798,locus_tag:gene_id
PMT1121,3,PMT1121,locus_tag:gene_id
PMT1068,3,PMT1068,locus_tag:gene_id
PMT0388,3,PMT0388,locus_tag:gene_id
PMT1975,3,PMT1975,locus_tag:gene_id
PMT1215,3,PMT1215,locus_tag:gene_id
PMT0369,3,PMT0369,locus_tag:gene_id
PMT1299,3,PMT1299,locus_tag:gene_id
PMT1054,3,PMT1054,locus_tag:gene_id
PMT1483,3,PMT1483,locus_tag:gene_id
PMT1833,3,PMT1833,locus_tag:gene_id
PMT2014,3,PMT2014,locus_tag:gene_id
PMT1632,3,PMT1632,locus_tag:gene_id
PMT0173,3,PMT0173,locus_tag:gene_id
PMT1688,3,PMT1688,locus_tag:gene_id
PMT0035,3,PMT0035,locus_tag:gene_id
PMT2242,3,PMT2242,locus_tag:gene_id
PMT0969,3,PMT0969,locus_tag:gene_id
PMT1969,3,PMT1969,locus_tag:gene_id
PMT2028,3,PMT2028,locus_tag:gene_id
PMT2175,3,PMT2175,locus_tag:gene_id
PMT0559,3,PMT0559,locus_tag:gene_id
PMT1664,3,PMT1664,locus_tag:gene_id
PMT1298,3,PMT1298,locus_tag:gene_id
PMT1536,3,PMT1536,locus_tag:gene_id
PMT1543,3,PMT1543,locus_tag:gene_id
PMT2166,3,PMT_2166,tier1:gene_id
PMT0986,3,PMT0986,locus_tag:gene_id
PMT0983,3,PMT0983,locus_tag:gene_id
PMT0125,3,PMT0125,locus_tag:gene_id
PMT1826,3,PMT1826,locus_tag:gene_id
PMT1423,3,PMT1423,locus_tag:gene_id
PMT1595,3,PMT1595,locus_tag:gene_id
PMT0329,3,PMT0329,locus_tag:gene_id
PMT1645,3,PMT1645,locus_tag:gene_id
PMT0804,3,PMT0804,locus_tag:gene_id
PMT0458,3,PMT0458,locus_tag:gene_id
PMT1342,3,PMT1342,locus_tag:gene_id
PMT1430,3,PMT1430,locus_tag:gene_id
PMT0194,3,PMT0194,locus_tag:gene_id
PMT0124,3,PMT0124,locus_tag:gene_id
PMT2234,3,PMT2234,locus_tag:gene_id
PMT0734,3,PMT0734,locus_tag:gene_id
PMT1131,3,PMT1131,locus_tag:gene_id
PMT0609,3,PMT0609,locus_tag:gene_id
PMT1248,3,PMT1248,locus_tag:gene_id
PMT0880,3,PMT0880,locus_tag:gene_id
PMT0338,3,PMT0338,locus_tag:gene_id
PMT0747,3,PMT0747,locus_tag:gene_id
PMT1343,3,PMT1343,locus_tag:gene_id
PMT0955,3,PMT0955,locus_tag:gene_id
PMT1209,3,PMT1209,locus_tag:gene_id
PMT0316,3,PMT0316,locus_tag:gene_id
PMT1721,3,PMT1721,locus_tag:gene_id
PMT0348,3,PMT0348,locus_tag:gene_id
PMT1597,3,PMT1597,locus_tag:gene_id
PMT0378,3,PMT0378,locus_tag:gene_id
PMT1276,3,PMT1276,locus_tag:gene_id
PMT0339,3,PMT0339,locus_tag:gene_id
PMT0885,3,PMT_0885,tier1:gene_id
PMT2010,3,PMT2010,locus_tag:gene_id
PMT0315,3,PMT0315,locus_tag:gene_id
PMT0119,3,PMT0119,locus_tag:gene_id
PMT1014,3,PMT1014,locus_tag:gene_id
PMT0943,4,PMT0943,locus_tag:gene_id
PMT0411,4,PMT0411,locus_tag:gene_id
PMT0493,4,PMT0493,locus_tag:gene_id
PMT2123,4,PMT2123,locus_tag:gene_id
PMT1355,4,PMT1355,locus_tag:gene_id
PMT1454,4,PMT1454,locus_tag:gene_id
PMT1566,4,PMT1566,locus_tag:gene_id
PMT1203,4,PMT1203,locus_tag:gene_id
PMT1275,4,PMT1275,locus_tag:gene_id
PMT1781,4,PMT1781,locus_tag:gene_id
PMT2130,4,PMT2130,locus_tag:gene_id
PMT1333,4,PMT1333,locus_tag:gene_id
PMT0453,4,PMT0453,locus_tag:gene_id
PMT0613,4,PMT_0613,tier1:gene_id
PMT2132,4,PMT2132,locus_tag:gene_id
PMT0902,4,PMT0902,locus_tag:gene_id
PMT0498,4,PMT0498,locus_tag:gene_id
PMT1204,4,PMT1204,locus_tag:gene_id
PMT2149,4,PMT2149,locus_tag:gene_id
PMT0456,4,PMT0456,locus_tag:gene_id
PMT0256,4,PMT0256,locus_tag:gene_id
PMT2124,4,PMT2124,locus_tag:gene_id
PMT1237,4,PMT1237,locus_tag:gene_id
PMT0926,4,PMT0926,locus_tag:gene_id
PMT1100,4,PMT1100,locus_tag:gene_id
PMT0757,4,PMT_0757,tier1:gene_id
PMT0922,4,PMT_0922,tier1:gene_id
PMT0239,4,PMT0239,locus_tag:gene_id
PMT1380,4,PMT1380,locus_tag:gene_id
PMT1509,4,PMT1509,locus_tag:gene_id
PMT0395,4,PMT0395,locus_tag:gene_id
PMT0246,4,PMT0246,locus_tag:gene_id
PMT1935,4,PMT1935,locus_tag:gene_id
PMT1206,4,PMT1206,locus_tag:gene_id
PMT0849,4,PMT0849,locus_tag:gene_id
PMT2121,4,PMT2121,locus_tag:gene_id
PMT0730,4,PMT0730,locus_tag:gene_id
PMT1947,4,PMT1947,locus_tag:gene_id
PMT1376,4,PMT1376,locus_tag:gene_id
PMT0748,4,PMT0748,locus_tag:gene_id
PMT1481,4,PMT1481,locus_tag:gene_id
PMT2249,4,PMT2249,locus_tag:gene_id
PMT2134,4,PMT_2134,tier1:gene_id
PMT2046,4,PMT2046,locus_tag:gene_id
PMT1368,4,PMT_1368,tier1:gene_id
PMT0897,4,PMT0897,locus_tag:gene_id
PMT0836,4,PMT0836,locus_tag:gene_id
PMT2250,4,PMT2250,locus_tag:gene_id
PMT0874,4,PMT0874,locus_tag:gene_id
PMT0247,4,PMT_0247,tier1:gene_id
PMT1944,4,PMT1944,locus_tag:gene_id
PMT0421,4,PMT0421,locus_tag:gene_id
PMT1186,4,PMT1186,locus_tag:gene_id
PMT0724,4,PMT0724,locus_tag:gene_id
PMT0115,4,PMT0115,locus_tag:gene_id
PMT1892,4,PMT1892,locus_tag:gene_id
PMT1031,4,PMT1031,locus_tag:gene_id
PMT0593,4,PMT0593,locus_tag:gene_id
PMT1998,4,PMT1998,locus_tag:gene_id
PMT0645,4,PMT0645,locus_tag:gene_id
PMT0927,4,PMT0927,locus_tag:gene_id
PMT1205,4,PMT1205,locus_tag:gene_id
PMT1231,4,PMT1231,locus_tag:gene_id
PMT0539,4,PMT0539,locus_tag:gene_id
PMT0555,4,PMT0555,locus_tag:gene_id
PMT0499,4,PMT0499,locus_tag:gene_id
PMT0187,4,PMT0187,locus_tag:gene_id
PMT1815,4,PMT1815,locus_tag:gene_id
PMT2148,4,PMT2148,locus_tag:gene_id
PMT1223,4,PMT1223,locus_tag:gene_id
PMT2117,4,PMT2117,locus_tag:gene_id
PMT2086,4,PMT2086,locus_tag:gene_id
PMT2024,4,PMT2024,locus_tag:gene_id
PMT0242,4,PMT_0242,tier1:gene_id
PMT1113,4,PMT1113,locus_tag:gene_id
PMT1243,4,PMT1243,locus_tag:gene_id
PMT0069,4,PMT0069,locus_tag:gene_id
PMT0008,4,PMT0008,locus_tag:gene_id
PMT2228,4,PMT2228,locus_tag:gene_id
PMT0752,4,PMT0752,locus_tag:gene_id
PMT1106,4,PMT1106,locus_tag:gene_id
PMT1940,4,PMT1940,locus_tag:gene_id
PMT0631,4,PMT0631,locus_tag:gene_id
PMT1827,4,PMT1827,locus_tag:gene_id
PMT0895,4,PMT0895,locus_tag:gene_id
PMT1925,4,PMT1925,locus_tag:gene_id
PMT0560,4,PMT0560,locus_tag:gene_id
PMT1095,4,PMT1095,locus_tag:gene_id
PMT0243,4,PMT0243,locus_tag:gene_id
PMT1093,4,PMT1093,locus_tag:gene_id
PMT0207,4,PMT0207,locus_tag:gene_id
PMT2196,4,PMT2196,locus_tag:gene_id
PMT0904,4,PMT0904,locus_tag:gene_id
PMT0923,4,PMT0923,locus_tag:gene_id
PMT1202,4,PMT1202,locus_tag:gene_id
PMT2077,4,PMT2077,locus_tag:gene_id
PMT0016,4,PMT0016,locus_tag:gene_id
PMT0245,4,PMT_0245,tier1:gene_id
PMT0629,4,PMT0629,locus_tag:gene_id
PMT0557,4,PMT0557,locus_tag:gene_id
PMT0820,4,PMT0820,locus_tag:gene_id
PMT1941,4,PMT1941,locus_tag:gene_id
PMT0483,4,PMT0483,locus_tag:gene_id
PMT0517,4,PMT0517,locus_tag:gene_id
PMT1217,4,PMT1217,locus_tag:gene_id
PMT1610,4,PMT1610,locus_tag:gene_id
PMT0321,4,PMT0321,locus_tag:gene_id
PMT1015,4,PMT1015,locus_tag:gene_id
PMT1043,4,PMT1043,locus_tag:gene_id
PMT1986,4,PMT1986,locus_tag:gene_id
PMT1523,4,PMT1523,locus_tag:gene_id
PMT2019,4,PMT2019,locus_tag:gene_id
PMT1863,4,PMT1863,locus_tag:gene_id
PMT0929,4,PMT_0929,tier1:gene_id
PMT0925,4,PMT0925,locus_tag:gene_id
PMT0221,4,PMT0221,locus_tag:gene_id
PMT1695,4,PMT1695,locus_tag:gene_id
PMT1570,4,PMT1570,locus_tag:gene_id
PMT2129,4,PMT_2129,tier1:gene_id
PMT0043,4,PMT0043,locus_tag:gene_id
PMT2118,4,PMT2118,locus_tag:gene_id
PMT0193,4,PMT0193,locus_tag:gene_id
PMT1782,4,PMT1782,locus_tag:gene_id
PMT0285,4,PMT0285,locus_tag:gene_id
PMT2194,4,PMT2194,locus_tag:gene_id
PMT2137,4,PMT2137,locus_tag:gene_id
PMT1289,4,PMT1289,locus_tag:gene_id
PMT1896,4,PMT1896,locus_tag:gene_id
PMT1850,4,PMT1850,locus_tag:gene_id
PMT0829,4,PMT_0829,tier1:gene_id
PMT0532,4,PMT0532,locus_tag:gene_id
PMT2125,4,PMT2125,locus_tag:gene_id
PMT0579,4,PMT0579,locus_tag:gene_id
PMT0278,4,PMT0278,locus_tag:gene_id
PMT1135,4,PMT1135,locus_tag:gene_id
PMT0464,4,PMT0464,locus_tag:gene_id
PMT0443,4,PMT0443,locus_tag:gene_id
PMT1577,4,PMT1577,locus_tag:gene_id
PMT2081,4,PMT2081,locus_tag:gene_id
PMT1219,5,PMT1219,locus_tag:gene_id
PMT0081,5,PMT0081,locus_tag:gene_id
PMT1323,5,PMT1323,locus_tag:gene_id
PMT1272,5,PMT1272,locus_tag:gene_id
PMT0568,5,PMT0568,locus_tag:gene_id
PMT1750,5,PMT1750,locus_tag:gene_id
PMT2172,5,PMT2172,locus_tag:gene_id
PMT1897,5,PMT_1897,tier1:gene_id
PMT2119,5,PMT_2119,tier1:gene_id
PMT1124,5,PMT1124,locus_tag:gene_id
PMT1507,5,PMT1507,locus_tag:gene_id
PMT1063,5,PMT1063,locus_tag:gene_id
PMT1505,5,PMT1505,locus_tag:gene_id
PMT0817,5,PMT0817,locus_tag:gene_id
PMT1450,5,PMT1450,locus_tag:gene_id
PMT0606,5,PMT0606,locus_tag:gene_id
PMT0754,5,PMT0754,locus_tag:gene_id
PMT0616,5,PMT0616,locus_tag:gene_id
PMT1504,5,PMT1504,locus_tag:gene_id
PMT1730,5,PMT1730,locus_tag:gene_id
PMT1306,5,PMT1306,locus_tag:gene_id
PMT1668,5,PMT1668,locus_tag:gene_id
PMT2091,5,PMT2091,locus_tag:gene_id
PMT0032,5,PMT0032,locus_tag:gene_id
PMT1449,5,PMT1449,locus_tag:gene_id
PMT0628,5,PMT0628,locus_tag:gene_id
PMT1859,5,PMT1859,locus_tag:gene_id
PMT0162,5,PMT0162,locus_tag:gene_id
PMT1760,5,PMT1760,locus_tag:gene_id
PMT0445,5,PMT0445,locus_tag:gene_id
PMT0055,5,PMT0055,locus_tag:gene_id
PMT2162,5,PMT2162,locus_tag:gene_id
PMT1915,5,PMT1915,locus_tag:gene_id
PMT1816,5,PMT1816,locus_tag:gene_id
PMT1307,5,PMT1307,locus_tag:gene_id
PMT1754,5,PMT1754,locus_tag:gene_id
PMT2088,5,PMT2088,locus_tag:gene_id
PMT1777,5,PMT1777,locus_tag:gene_id
PMT0276,5,PMT0276,locus_tag:gene_id
PMT1780,5,PMT1780,locus_tag:gene_id
PMT1854,5,PMT1854,locus_tag:gene_id
PMT1533,5,PMT1533,locus_tag:gene_id
PMT1180,5,PMT1180,locus_tag:gene_id
PMT0350,5,PMT0350,locus_tag:gene_id
PMT0050,5,PMT0050,locus_tag:gene_id
PMT1955,5,PMT1955,locus_tag:gene_id
PMT2100,5,PMT2100,locus_tag:gene_id
PMT1022,5,PMT_1022,tier1:gene_id
PMT0793,5,PMT0793,locus_tag:gene_id
PMT0367,5,PMT0367,locus_tag:gene_id
PMT2003,5,PMT2003,locus_tag:gene_id
PMT1395,5,PMT1395,locus_tag:gene_id
PMT1107,5,PMT1107,locus_tag:gene_id
PMT1914,5,PMT1914,locus_tag:gene_id
PMT1836,5,PMT1836,locus_tag:gene_id
PMT1262,5,PMT1262,locus_tag:gene_id
PMT1498,5,PMT1498,locus_tag:gene_id
PMT1322,5,PMT1322,locus_tag:gene_id
PMT1926,5,PMT1926,locus_tag:gene_id
PMT0675,5,PMT0675,locus_tag:gene_id
PMT1749,5,PMT1749,locus_tag:gene_id
PMT1590,5,PMT1590,locus_tag:gene_id
PMT0848,5,PMT0848,locus_tag:gene_id
PMT1752,5,PMT_1752,tier1:gene_id
PMT0061,5,PMT0061,locus_tag:gene_id
PMT0122,5,PMT0122,locus_tag:gene_id
PMT0584,5,PMT0584,locus_tag:gene_id
PMT0739,5,PMT_0739,tier1:gene_id
PMT0859,5,PMT0859,locus_tag:gene_id
PMT0924,5,PMT0924,locus_tag:gene_id
PMT1213,5,PMT1213,locus_tag:gene_id
PMT0977,5,PMT0977,locus_tag:gene_id
PMT0497,5,PMT0497,locus_tag:gene_id
PMT2122,5,PMT_2122,tier1:gene_id
PMT2004,5,PMT2004,locus_tag:gene_id
PMT1345,5,PMT1345,locus_tag:gene_id
PMT2013,5,PMT2013,locus_tag:gene_id
PMT1197,5,PMT1197,locus_tag:gene_id
PMT0146,5,PMT0146,locus_tag:gene_id
PMT1898,5,PMT_1898,tier1:gene_id
PMT2259,5,PMT2259,locus_tag:gene_id
PMT0227,5,PMT0227,locus_tag:gene_id
PMT0600,5,PMT0600,locus_tag:gene_id
PMT0552,5,PMT0552,locus_tag:gene_id
PMT1452,5,PMT1452,locus_tag:gene_id
PMT2083,5,PMT2083,locus_tag:gene_id
PMT1755,5,PMT1755,locus_tag:gene_id
PMT1004,5,PMT1004,locus_tag:gene_id
PMT1899,5,PMT_1899,tier1:gene_id
PMT1451,5,PMT1451,locus_tag:gene_id
PMT1783,5,PMT1783,locus_tag:gene_id
PMT1588,5,PMT1588,locus_tag:gene_id
PMT2261,5,PMT2261,locus_tag:gene_id
PMT1199,5,PMT_1199,tier1:gene_id
PMT1177,5,PMT1177,locus_tag:gene_id
PMT0142,5,PMT0142,locus_tag:gene_id
PMT1369,5,PMT1369,locus_tag:gene_id
PMT0272,5,PMT0272,locus_tag:gene_id
PMT1751,5,PMT1751,locus_tag:gene_id
PMT1840,5,PMT_1840,tier1:gene_id
PMT0577,5,PMT0577,locus_tag:gene_id
PMT2002,5,PMT2002,locus_tag:gene_id
PMT0389,5,PMT0389,locus_tag:gene_id
PMT1856,5,PMT1856,locus_tag:gene_id
PMT0138,5,PMT0138,locus_tag:gene_id
PMT1200,5,PMT1200,locus_tag:gene_id
PMT1515,5,PMT1515,locus_tag:gene_id
PMT0906,5,PMT0906,locus_tag:gene_id
PMT1094,5,PMT1094,locus_tag:gene_id
PMT1779,5,PMT1779,locus_tag:gene_id
PMT0014,5,PMT0014,locus_tag:gene_id
PMT1384,5,PMT1384,locus_tag:gene_id
PMT1442,5,PMT1442,locus_tag:gene_id
PMT0989,6,PMT0989,locus_tag:gene_id
PMT1768,6,PMT1768,locus_tag:gene_id
PMT1957,6,PMT1957,locus_tag:gene_id
PMT0657,6,PMT0657,locus_tag:gene_id
PMT1414,6,PMT1414,locus_tag:gene_id
PMT1126,6,PMT1126,locus_tag:gene_id
PMT1234,6,PMT1234,locus_tag:gene_id
PMT1547,6,PMT1547,locus_tag:gene_id
PMT1708,6,PMT1708,locus_tag:gene_id
PMT1176,6,PMT1176,locus_tag:gene_id
PMT2138,6,PMT2138,locus_tag:gene_id
PMT1567,6,PMT1567,locus_tag:gene_id
PMT0080,6,PMT0080,locus_tag:gene_id
PMT0249,6,PMT0249,locus_tag:gene_id
PMT0687,6,PMT0687,locus_tag:gene_id
PMT0095,6,PMT0095,locus_tag:gene_id
PMT1665,6,PMT1665,locus_tag:gene_id
PMT1220,6,PMT1220,locus_tag:gene_id
PMT1045,6,PMT1045,locus_tag:gene_id
PMT1907,6,PMT1907,locus_tag:gene_id
PMT0031,6,PMT0031,locus_tag:gene_id
PMT0277,6,PMT0277,locus_tag:gene_id
PMT1770,6,PMT1770,locus_tag:gene_id
PMT0426,6,PMT0426,locus_tag:gene_id
PMT2191,6,PMT2191,locus_tag:gene_id
PMT0916,6,PMT0916,locus_tag:gene_id
PMT0110,6,PMT0110,locus_tag:gene_id
PMT0260,6,PMT_0260,tier1:gene_id
PMT0774,6,PMT0774,locus_tag:gene_id
PMT0258,6,PMT0258,locus_tag:gene_id
PMT0088,6,PMT0088,locus_tag:gene_id
PMT1317,6,PMT_1317,tier1:gene_id
PMT1710,6,PMT1710,locus_tag:gene_id
PMT0915,6,PMT_0915,tier1:gene_id
PMT0241,6,PMT_0241,tier1:gene_id
PMT0630,6,PMT0630,locus_tag:gene_id
PMT1663,6,PMT_1663,tier1:gene_id
PMT0725,6,PMT0725,locus_tag:gene_id
PMT1047,6,PMT1047,locus_tag:gene_id
PMT1954,6,PMT1954,locus_tag:gene_id
PMT1427,6,PMT1427,locus_tag:gene_id
PMT1273,6,PMT1273,locus_tag:gene_id
PMT1800,6,PMT1800,locus_tag:gene_id
PMT1697,6,PMT1697,locus_tag:gene_id
PMT1905,6,PMT1905,locus_tag:gene_id
PMT1212,6,PMT1212,locus_tag:gene_id
PMT0700,6,PMT0700,locus_tag:gene_id
PMT0832,6,PMT0832,locus_tag:gene_id
PMT1791,6,PMT1791,locus_tag:gene_id
PMT0688,6,PMT0688,locus_tag:gene_id
PMT0840,6,PMT0840,locus_tag:gene_id
PMT0140,6,PMT0140,locus_tag:gene_id
PMT1040,6,PMT1040,locus_tag:gene_id
PMT1767,6,PMT1767,locus_tag:gene_id
PMT0642,6,PMT0642,locus_tag:gene_id
PMT1576,6,PMT1576,locus_tag:gene_id
PMT0534,6,PMT0534,locus_tag:gene_id
PMT0495,6,PMT0495,locus_tag:gene_id
PMT1244,6,PMT1244,locus_tag:gene_id
PMT1316,6,PMT1316,locus_tag:gene_id
PMT0850,6,PMT0850,locus_tag:gene_id
PMT1571,6,PMT1571,locus_tag:gene_id
PMT0917,6,PMT0917,locus_tag:gene_id
PMT1035,6,PMT1035,locus_tag:gene_id
PMT0740,6,PMT0740,locus_tag:gene_id
PMT2089,6,PMT2089,locus_tag:gene_id
PMT0107,6,PMT_0107,tier1:gene_id
PMT0785,6,PMT0785,locus_tag:gene_id
PMT0856,6,PMT0856,locus_tag:gene_id
PMT0509,6,PMT0509,locus_tag:gene_id
PMT1683,6,PMT1683,locus_tag:gene_id
PMT0484,6,PMT0484,locus_tag:gene_id
PMT1046,6,PMT1046,locus_tag:gene_id
PMT0633,6,PMT0633,locus_tag:gene_id
PMT2063,6,PMT2063,locus_tag:gene_id
PMT1666,6,PMT1666,locus_tag:gene_id
PMT1769,6,PMT1769,locus_tag:gene_id
PMT0478,6,PMT0478,locus_tag:gene_id
PMT0485,6,PMT0485,locus_tag:gene_id
PMT0718,6,PMT_0718,tier1:gene_id
PMT0168,6,PMT0168,locus_tag:gene_id
PMT0907,7,RG24_RS04770,tier1:gene_id
PMT1574,7,PMT1574,locus_tag:gene_id
PMT1761,7,PMT1761,locus_tag:gene_id
PMT1748,7,PMT1748,locus_tag:gene_id
PMT1734,7,PMT1734,locus_tag:gene_id
PMT1736,7,PMT_1736,tier1:gene_id
PMT1747,7,PMT1747,locus_tag:gene_id
PMT1733,7,PMT1733,locus_tag:gene_id
PMT1081,7,PMT1081,locus_tag:gene_id
PMT1572,7,PMT1572,locus_tag:gene_id
PMT2090,7,PMT2090,locus_tag:gene_id
PMT1759,7,PMT1759,locus_tag:gene_id
PMT1573,7,PMT1573,locus_tag:gene_id
PMT1758,7,PMT1758,locus_tag:gene_id
PMT1737,7,PMT1737,locus_tag:gene_id
PMT1470,7,PMT1470,locus_tag:gene_id
PMT1956,7,PMT1956,locus_tag:gene_id
PMT0169,7,PMT0169,locus_tag:gene_id
PMT1479,7,PMT_1479,tier1:gene_id
PMT1471,7,PMT1471,locus_tag:gene_id
PMT0551,7,PMT0551,locus_tag:gene_id
PMT1741,7,PMT1741,locus_tag:gene_id
PMT1732,7,PMT1732,locus_tag:gene_id
PMT1756,7,PMT1756,locus_tag:gene_id
PMT1472,7,PMT1472,locus_tag:gene_id
PMT1083,7,PMT1083,locus_tag:gene_id
PMT1739,7,PMT1739,locus_tag:gene_id
PMT0582,7,PMT0582,locus_tag:gene_id
PMT1468,7,PMT1468,locus_tag:gene_id
PMT1742,7,PMT1742,locus_tag:gene_id
PMT1469,7,PMT1469,locus_tag:gene_id
PMT0535,7,PMT0535,locus_tag:gene_id
PMT1473,7,PMT_1473,tier1:gene_id
PMT1740,7,PMT1740,locus_tag:gene_id
PMT0583,7,PMT0583,locus_tag:gene_id
PMT1743,7,PMT1743,locus_tag:gene_id
PMT1904,7,PMT1904,locus_tag:gene_id
PMT1746,7,PMT1746,locus_tag:gene_id
PMT1527,7,PMT1527,locus_tag:gene_id
PMT1789,7,PMT1789,locus_tag:gene_id
PMT1745,7,PMT1745,locus_tag:gene_id
PMT1738,7,PMT1738,locus_tag:gene_id
PMT1467,7,PMT1467,locus_tag:gene_id
PMT1506,7,PMT1506,locus_tag:gene_id
PMT1466,7,PMT1466,locus_tag:gene_id
PMT1735,7,PMT1735,locus_tag:gene_id
PMT1744,7,PMT1744,locus_tag:gene_id
PMT1377,7,PMT1377,locus_tag:gene_id
PMT2158,7,PMT2158,locus_tag:gene_id
PMT1753,7,PMT1753,locus_tag:gene_id
PMT0177,7,PMT0177,locus_tag:gene_id
