gene_id,cluster,resolved_locus_tag,resolution_method
PMM1157,5,PMM1157,locus_tag:gene_id
PMM0380,5,PMM0380,locus_tag:gene_id
PMM0719,5,PMM0719,locus_tag:gene_id
PMM0945,5,PMM0945,locus_tag:gene_id
PMM0169,5,PMM0169,locus_tag:gene_id
PMM0733,5,PMM0733,locus_tag:gene_id
PMM1272,5,PMM1272,locus_tag:gene_id
PMM0908,5,PMM0908,locus_tag:gene_id
PMM0737,5,PMM0737,locus_tag:gene_id
PMM0635,5,PMM0635,locus_tag:gene_id
PMM1121,5,PMM1121,locus_tag:gene_id
PMM0445,5,PMM0445,locus_tag:gene_id
PMM0727,5,PMM0727,locus_tag:gene_id
PMM0969,5,PMM0969,locus_tag:gene_id
PMM0360,5,PMM0360,locus_tag:gene_id
PMM0463,5,PMM0463,locus_tag:gene_id
PMM0656,5,PMM0656,locus_tag:gene_id
PMM0033,5,PMM0033,locus_tag:gene_id
PMM1429,5,PMM1429,locus_tag:gene_id
PMM1349,5,PMM1349,locus_tag:gene_id
PMM0444,5,PMM0444,locus_tag:gene_id
PMM0443,5,PMM0443,locus_tag:gene_id
PMM1374,5,PMM1374,locus_tag:gene_id
PMM0395,5,PMM0395,locus_tag:gene_id
PMM0378,5,PMM0378,locus_tag:gene_id
PMM1363,5,PMM1363,locus_tag:gene_id
PMM1119,5,PMM1119,locus_tag:gene_id
PMM1677,5,PMM1677,locus_tag:gene_id
PMM0432,5,PMM0432,locus_tag:gene_id
PMM0480,5,PMM0480,locus_tag:gene_id
PMM1289,5,PMM1289,locus_tag:gene_id
PMM0777,5,PMM0777,locus_tag:gene_id
PMM0482,5,PMM0482,locus_tag:gene_id
PMM0732,5,PMM0732,locus_tag:gene_id
PMM1687,5,PMM1687,locus_tag:gene_id
PMM0491,5,PMM0491,locus_tag:gene_id
PMM0626,5,PMM0626,locus_tag:gene_id
PMM0263,5,PMM0263,locus_tag:gene_id
PMM0509,5,PMM0509,locus_tag:gene_id
PMM0321,5,PMM0321,locus_tag:gene_id
PMM0660,5,PMM0660,locus_tag:gene_id
PMM1075,5,PMM1075,locus_tag:gene_id
PMM0340,5,PMM0340,locus_tag:gene_id
PMM1309,5,PMM1309,locus_tag:gene_id
PMM1584,5,PMM1584,locus_tag:gene_id
PMM1611,5,PMM1611,locus_tag:gene_id
PMM1461,5,PMM1461,locus_tag:gene_id
PMM1490,5,PMM1490,locus_tag:gene_id
PMM1596,5,PMM1596,locus_tag:gene_id
PMM1106,5,PMM1106,locus_tag:gene_id
PMM0770,5,PMM0770,locus_tag:gene_id
PMM0980,5,PMM0980,locus_tag:gene_id
PMM1296,5,PMM1296,locus_tag:gene_id
PMM0637,5,PMM0637,locus_tag:gene_id
PMM0075,5,PMM0075,locus_tag:gene_id
PMM0918,5,PMM0918,locus_tag:gene_id
PMM0544,5,PMM0544,locus_tag:gene_id
PMM0638,5,PMM0638,locus_tag:gene_id
PMM0699,5,PMM0699,locus_tag:gene_id
PMM0647,5,PMM0647,locus_tag:gene_id
PMM0961,5,PMM0961,locus_tag:gene_id
PMM1146,5,PMM1146,locus_tag:gene_id
PMM0015,5,PMM0015,locus_tag:gene_id
PMM1073,5,PMM1073,locus_tag:gene_id
PMM1595,5,PMM1595,locus_tag:gene_id
PMM1697,5,PMM1697,locus_tag:gene_id
PMM1331,5,PMM1331,locus_tag:gene_id
PMM1142,6,PMM1142,locus_tag:gene_id
PMM1182,6,PMM1182,locus_tag:gene_id
PMM1664,6,PMM1664,locus_tag:gene_id
PMM0584,6,PMM0584,locus_tag:gene_id
PMM1264,6,PMM1264,locus_tag:gene_id
PMM1482,6,PMM1482,locus_tag:gene_id
PMM0747,6,PMM0747,locus_tag:gene_id
PMM0215,6,PMM0215,locus_tag:gene_id
PMM1335,6,PMM1335,locus_tag:gene_id
PMM1345,6,PMM1345,locus_tag:gene_id
PMM0536,6,PMM0536,locus_tag:gene_id
PMM0251,6,PMM0251,locus_tag:gene_id
PMM0273,6,PMM0273,locus_tag:gene_id
PMM0283,6,PMM0283,locus_tag:gene_id
PMM1070,6,PMM1070,locus_tag:gene_id
PMM0642,6,PMM0642,locus_tag:gene_id
PMM0060,6,PMM0060,locus_tag:gene_id
PMM1524,6,PMM1524,locus_tag:gene_id
PMM1336,6,PMM1336,locus_tag:gene_id
PMM1150,6,PMM1150,locus_tag:gene_id
PMM0346,6,PMM0346,locus_tag:gene_id
PMM0553,6,PMM0553,locus_tag:gene_id
PMM0265,6,PMM0265,locus_tag:gene_id
PMM0027,6,PMM0027,locus_tag:gene_id
PMM0428,6,PMM0428,locus_tag:gene_id
PMM0056,6,PMM0056,locus_tag:gene_id
PMM1483,6,PMM1483,locus_tag:gene_id
PMM0753,6,PMM0753,locus_tag:gene_id
PMM0134,6,PMM0134,locus_tag:gene_id
PMM1661,6,PMM1661,locus_tag:gene_id
PMM1509,6,PMM1509,locus_tag:gene_id
PMM0500,6,PMM0500,locus_tag:gene_id
PMM0288,6,PMM0288,locus_tag:gene_id
PMM1511,6,PMM1511,locus_tag:gene_id
PMM0203,6,PMM0203,locus_tag:gene_id
PMM0298,6,PMM0298,locus_tag:gene_id
PMM1489,6,PMM1489,locus_tag:gene_id
PMM0829,6,PMM0829,locus_tag:gene_id
PMM0046,6,PMM0046,locus_tag:gene_id
PMM1183,6,PMM1183,locus_tag:gene_id
PMM0844,6,PMM0844,locus_tag:gene_id
PMM1229,6,PMM1229,locus_tag:gene_id
PMM1251,6,PMM1251,locus_tag:gene_id
PMM0510,6,PMM0510,locus_tag:gene_id
PMM0494,6,PMM0494,locus_tag:gene_id
PMM0295,6,PMM0295,locus_tag:gene_id
PMM0619,6,PMM0619,locus_tag:gene_id
PMM0605,6,PMM0605,locus_tag:gene_id
PMM0206,6,PMM0206,locus_tag:gene_id
PMM1532,6,PMM1532,locus_tag:gene_id
PMM1109,6,PMM1109,locus_tag:gene_id
PMM0483,6,PMM0483,locus_tag:gene_id
PMM0609,6,PMM0609,locus_tag:gene_id
PMM1546,6,PMM1546,locus_tag:gene_id
PMM0213,6,PMM0213,locus_tag:gene_id
PMM0907,6,PMM0907,locus_tag:gene_id
PMM1644,6,PMM1644,locus_tag:gene_id
PMM0580,6,PMM0580,locus_tag:gene_id
PMM1440,6,PMM1440,locus_tag:gene_id
PMM1055,6,PMM1055,locus_tag:gene_id
PMM1191,6,PMM1191,locus_tag:gene_id
PMM0429,6,PMM0429,locus_tag:gene_id
PMM1510,6,PMM1510,locus_tag:gene_id
PMM0784,6,PMM0784,locus_tag:gene_id
PMM0200,6,PMM0200,locus_tag:gene_id
PMM0769,6,PMM0769,locus_tag:gene_id
PMM0026,6,PMM0026,locus_tag:gene_id
PMM1643,6,PMM1643,locus_tag:gene_id
PMM0253,6,PMM0253,locus_tag:gene_id
PMM1437,6,PMM1437,locus_tag:gene_id
PMM0902,6,PMM0902,locus_tag:gene_id
PMM1662,6,PMM1662,locus_tag:gene_id
PMM1543,6,PMM1543,locus_tag:gene_id
PMM0204,6,PMM0204,locus_tag:gene_id
PMM1607,6,PMM1607,locus_tag:gene_id
PMM0299,6,PMM0299,locus_tag:gene_id
PMM0869,6,PMM0869,locus_tag:gene_id
PMM0930,6,PMM0930,locus_tag:gene_id
PMM0296,6,PMM0296,locus_tag:gene_id
PMM1547,6,PMM1547,locus_tag:gene_id
PMM1522,6,PMM1522,locus_tag:gene_id
PMM0622,6,PMM0622,locus_tag:gene_id
PMM1506,6,PMM1506,locus_tag:gene_id
PMM1600,6,PMM1600,locus_tag:gene_id
PMM1542,6,PMM1542,locus_tag:gene_id
PMM0137,6,PMM0137,locus_tag:gene_id
PMM1079,6,PMM1079,locus_tag:gene_id
PMM0751,6,PMM0751,locus_tag:gene_id
PMM1485,6,PMM1485,locus_tag:gene_id
PMM0511,6,PMM0511,locus_tag:gene_id
PMM1663,6,PMM1663,locus_tag:gene_id
PMM1617,6,PMM1617,locus_tag:gene_id
PMM0987,6,PMM0987,locus_tag:gene_id
PMM0929,6,PMM0929,locus_tag:gene_id
PMM1011,6,PMM1011,locus_tag:gene_id
PMM0017,6,PMM0017,locus_tag:gene_id
PMM0599,6,PMM0599,locus_tag:gene_id
PMM1608,6,PMM1608,locus_tag:gene_id
PMM1247,6,PMM1247,locus_tag:gene_id
PMM0754,6,PMM0754,locus_tag:gene_id
PMM1534,6,PMM1534,locus_tag:gene_id
PMM0741,6,PMM0741,locus_tag:gene_id
PMM0870,6,PMM0870,locus_tag:gene_id
PMM1530,6,PMM1530,locus_tag:gene_id
PMM1618,6,PMM1618,locus_tag:gene_id
PMM0474,6,PMM0474,locus_tag:gene_id
PMM0560,6,PMM0560,locus_tag:gene_id
PMM0700,6,PMM0700,locus_tag:gene_id
PMM0312,6,PMM0312,locus_tag:gene_id
PMM0142,6,PMM0142,locus_tag:gene_id
PMM0347,6,PMM0347,locus_tag:gene_id
PMM0348,6,PMM0348,locus_tag:gene_id
PMM0016,6,PMM0016,locus_tag:gene_id
PMM1375,6,PMM1375,locus_tag:gene_id
PMM0135,6,PMM0135,locus_tag:gene_id
PMM0864,6,PMM0864,locus_tag:gene_id
PMM1060,6,PMM1060,locus_tag:gene_id
PMM1544,6,PMM1544,locus_tag:gene_id
PMM1585,6,PMM1585,locus_tag:gene_id
PMM1548,6,PMM1548,locus_tag:gene_id
PMM0924,6,PMM0924,locus_tag:gene_id
PMM0356,6,PMM0356,locus_tag:gene_id
PMM0876,6,PMM0876,locus_tag:gene_id
PMM0297,6,PMM0297,locus_tag:gene_id
PMM1553,7,PMM1553,locus_tag:gene_id
PMM1610,7,PMM1610,locus_tag:gene_id
PMM0202,7,PMM0202,locus_tag:gene_id
PMM1537,7,PMM1537,locus_tag:gene_id
PMM1655,7,PMM1655,locus_tag:gene_id
PMM1557,7,PMM1557,locus_tag:gene_id
PMM1706,7,PMM1706,locus_tag:gene_id
PMM0583,7,PMM0583,locus_tag:gene_id
PMM1550,7,PMM1550,locus_tag:gene_id
PMM1545,7,PMM1545,locus_tag:gene_id
PMM0781,7,PMM0781,locus_tag:gene_id
PMM1298,7,PMM1298,locus_tag:gene_id
PMM1536,7,PMM1536,locus_tag:gene_id
PMM1556,7,PMM1556,locus_tag:gene_id
PMM0552,7,PMM0552,locus_tag:gene_id
PMM1549,7,PMM1549,locus_tag:gene_id
PMM0528,7,PMM0528,locus_tag:gene_id
PMM1028,7,PMM1028,locus_tag:gene_id
PMM1629,7,PMM1629,locus_tag:gene_id
PMM1558,7,PMM1558,locus_tag:gene_id
PMM1540,7,PMM1540,locus_tag:gene_id
PMM0673,7,PMM0673,locus_tag:gene_id
PMM1609,7,PMM1609,locus_tag:gene_id
PMM1456,7,PMM1456,locus_tag:gene_id
PMM1555,7,PMM1555,locus_tag:gene_id
PMM1297,7,PMM1297,locus_tag:gene_id
PMM1539,7,PMM1539,locus_tag:gene_id
PMM1457,7,PMM1457,locus_tag:gene_id
PMM1551,7,PMM1551,locus_tag:gene_id
PMM1552,7,PMM1552,locus_tag:gene_id
PMM1554,7,PMM1554,locus_tag:gene_id
PMM1402,7,PMM1402,locus_tag:gene_id
PMM0201,7,PMM0201,locus_tag:gene_id
PMM1538,7,PMM1538,locus_tag:gene_id
PMM0041,7,PMM0041,locus_tag:gene_id
PMM0541,7,PMM0541,locus_tag:gene_id
PMM0023,7,PMM0023,locus_tag:gene_id
PMM1541,7,PMM1541,locus_tag:gene_id
PMM0410,7,PMM0410,locus_tag:gene_id
PMM1507,7,PMM1507,locus_tag:gene_id
PMM1285,7,PMM1285,locus_tag:gene_id
PMM1439,7,PMM1439,locus_tag:gene_id
PMM0766,8,PMM0766,locus_tag:gene_id
PMM0214,8,PMM0214,locus_tag:gene_id
PMM1350,8,PMM1350,locus_tag:gene_id
PMM0540,8,PMM0540,locus_tag:gene_id
PMM1508,8,PMM1508,locus_tag:gene_id
PMM0785,8,PMM0785,locus_tag:gene_id
PMM0468,8,PMM0468,locus_tag:gene_id
PMM0314,8,PMM0314,locus_tag:gene_id
PMM1436,8,PMM1436,locus_tag:gene_id
PMM0549,8,PMM0549,locus_tag:gene_id
PMM1520,8,PMM1520,locus_tag:gene_id
PMM0627,8,PMM0627,locus_tag:gene_id
PMM1379,8,PMM1379,locus_tag:gene_id
PMM1578,8,PMM1578,locus_tag:gene_id
PMM0452,8,PMM0452,locus_tag:gene_id
PMM1519,8,PMM1519,locus_tag:gene_id
PMM0710,8,PMM0710,locus_tag:gene_id
PMM0453,8,PMM0453,locus_tag:gene_id
PMM0469,8,PMM0469,locus_tag:gene_id
PMM1184,8,PMM1184,locus_tag:gene_id
PMM0906,8,PMM0906,locus_tag:gene_id
PMM0307,8,PMM0307,locus_tag:gene_id
PMM0797,8,PMM0797,locus_tag:gene_id
PMM0901,8,PMM0901,locus_tag:gene_id
PMM1704,8,PMM1704,locus_tag:gene_id
PMM1400,8,PMM1400,locus_tag:gene_id
PMM0228,8,PMM0228,locus_tag:gene_id
PMM0409,8,PMM0409,locus_tag:gene_id
PMM1592,8,PMM1592,locus_tag:gene_id
PMM1523,8,PMM1523,locus_tag:gene_id
PMM0272,8,PMM0272,locus_tag:gene_id
PMM0306,8,PMM0306,locus_tag:gene_id
PMM0767,8,PMM0767,locus_tag:gene_id
PMM1438,8,PMM1438,locus_tag:gene_id
PMM0691,8,PMM0691,locus_tag:gene_id
PMM0329,8,PMM0329,locus_tag:gene_id
PMM0315,8,PMM0315,locus_tag:gene_id
PMM1451,9,PMM1451,locus_tag:gene_id
PMM1455,9,PMM1455,locus_tag:gene_id
PMM1453,9,PMM1453,locus_tag:gene_id
PMM1452,9,PMM1452,locus_tag:gene_id
PMM0550,9,PMM0550,locus_tag:gene_id
PMM1450,9,PMM1450,locus_tag:gene_id
PMM1454,9,PMM1454,locus_tag:gene_id
PMM0551,9,PMM0551,locus_tag:gene_id
