Group,response_group,Gene Function,Gene NO.,Gene Locus,logFC-15min_vs_CT30m,logFC-1h_vs_CT30m,logFC-3h_vs_CT30m,logFC-5h_vs_CT30m,logFC-7h_vs_CT30m,Pvalue-15min_vs_CT30m,Pvalue-1h_vs_CT30m,Pvalue-3h_vs_CT30m,Pvalue-5h_vs_CT30m,Pvalue-7h_vs_CT30m,resolved_locus_tag,resolution_method
Group 1b,1b,50S ribosomal protein L7/L12,gene2363,SYNWH7803_RS11725,0.86774158901183,2.95680131994925,2.29660409667644,1.71491163197067,1.01889747324138,0.188395652228925,2.63544904475256e-05,0.0008081934793516,0.0108063819093689,0.124214304994202,SynWH7803_2371,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L24,gene419,SYNWH7803_RS02090,1.8697754791322,2.83241219387903,2.57264454288036,1.95833404981929,0.926371266020115,0.0072795610204898,8.28998981691837e-05,0.0002972456584312,0.0055208940439185,0.196490395124473,SynWH7803_0423,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L22,gene425,SYNWH7803_RS02120,2.41297196662433,2.88130403640377,2.80753919872735,1.57618893924211,0.883939321039894,0.0005702289839122,5.50755140840221e-05,7.92461857220957e-05,0.0228914043018485,0.205509675200831,SynWH7803_0429,tier1:Gene Locus
Group 1b,1b,30S ribosomal protein S5,gene414,SYNWH7803_RS02065,1.15312696370198,2.59192258186898,2.46263130705685,1.82772094054658,0.833927504968768,0.0866494139336628,0.0002261165072083,0.000415722101986,0.0078666198540566,0.221673594145517,SynWH7803_0418,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L6,gene416,SYNWH7803_RS02075,1.78043442004031,2.81212362835258,2.82388340945498,1.8063677086348,0.828974138831396,0.0092717589939694,7.05554998796028e-05,6.55719563153308e-05,0.008680716084854,0.232079210767802,SynWH7803_0420,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L16,gene423,SYNWH7803_RS02110,1.40346832307651,2.39202439477628,2.28249919427265,1.67029642663908,0.75107906095945,0.0378752300632873,0.0006265125231527,0.0010215867565638,0.0146002380309071,0.273097482876911,SynWH7803_0427,tier1:Gene Locus
Group 1b,1b,30S ribosomal protein S8,gene417,SYNWH7803_RS02080,1.52166079587753,2.80077268958925,2.59380012691336,2.04682689937729,0.697655028383291,0.0278524154703819,0.000101785933992,0.0002933338815214,0.0039547839667499,0.338087927054968,SynWH7803_0421,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L5,gene418,SYNWH7803_RS02085,1.70119753618936,2.96840962529635,2.83159591938563,1.87447674657031,0.544453703839696,0.0124858698623919,3.07319095998567e-05,6.40828634179124e-05,0.006461573712749,0.431264165017731,SynWH7803_0422,tier1:Gene Locus
Group 1b,1b,30S ribosomal protein S3,gene424,SYNWH7803_RS02115,1.66757503530891,2.79831226706784,2.51320881749188,1.52029816751627,0.409152605837943,0.0136158167336633,6.95477440734793e-05,0.0003022041930992,0.0244534945097908,0.549210946226106,SynWH7803_0428,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L14,gene420,SYNWH7803_RS02095,1.86706024788874,2.8532709274607,2.48333510451973,1.60840804364957,0.2211704926482,0.0073393476077784,7.55557960464082e-05,0.0005104255867918,0.0226515516636425,0.791891540724666,SynWH7803_0424,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L18,gene415,SYNWH7803_RS02070,1.30014599419978,2.49707966937691,2.67587144368351,1.45946555249923,1.02890312941431,0.0626913469274554,0.0005390766626108,0.0001958913006878,0.0390202598583361,0.159556104016493,SynWH7803_0419,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L4,gene429,SYNWH7803_RS02140,2.4542159558636,2.70304964934595,2.47214941478048,1.44994435415158,0.724928659057913,0.0004009119844116,0.0001142381098039,0.0003775166240255,0.0321485289244807,0.284880128172355,SynWH7803_0433,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L2,gene427,SYNWH7803_RS02130,2.14886403902973,2.74926834579125,2.5618088577062,1.41794158841896,0.451695263083399,0.0016852014491648,8.73705402429739e-05,0.0002277448327809,0.0349177334969365,0.501498366438006,SynWH7803_0431,tier1:Gene Locus
Group 1b,1b,30S ribosomal protein S17,gene421,SYNWH7803_RS02100,1.80648863253499,2.68131379558283,2.41566919476693,1.35230851256311,-0.106395730007312,0.0148059900810096,0.0004560975970192,0.0012157046642722,0.0883561274388733,1.0,SynWH7803_0425,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L15,gene413,SYNWH7803_RS02060,1.09856987697336,2.46757009993178,2.29739611598913,1.31239196575929,0.603894666540035,0.101516594900916,0.0004166841280299,0.0009271318879986,0.0527537897484544,0.376262660701391,SynWH7803_0417,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L1,gene2365,SYNWH7803_RS11735,1.59822638761983,2.36651940443731,2.6266758365064,1.28521071799227,0.318806879963376,0.01798247940401,0.000657137203878,0.0001725532400509,0.05714242275966,0.642794459082242,SynWH7803_2373,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L3,gene430,SYNWH7803_RS02145,1.87273408577941,2.47201298174056,2.15385918719075,1.26669632419613,0.252416800621886,0.0056491931743256,0.0003525195912542,0.0016334873022083,0.0576646263293567,0.704568239411575,SynWH7803_0434,tier1:Gene Locus
Group 1b,1b,30S ribosomal protein S4,gene599,SYNWH7803_RS02995,1.42341068933664,2.22984347168394,2.45917833054427,1.24930115505576,0.308214694551109,0.0334640552555129,0.0011662790166072,0.0003800732809929,0.0619234197403358,0.644362711176829,SynWH7803_0591,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L23,gene428,SYNWH7803_RS02135,1.83105766282564,2.21635658961872,2.26724293666383,0.897785683507964,0.0511685969133688,0.0101378340302322,0.0023807365705641,0.0016692092395176,0.221818167538573,1.0,SynWH7803_0432,tier1:Gene Locus
Group 2,2,hypothetical protein,gene166,SYNWH7803_RS00835,-0.917918629401601,0.153811104767311,0.166768016527996,1.73318345753736,2.6556846160568,0.315146323848474,0.913871392828406,0.92510758526498,0.0320826034801987,0.001042880892247,SynWH7803_0174,tier1:Gene Locus
Group 2,2,nucleotidyltransferase,gene1065,SYNWH7803_RS05320,-1.64839582881742,-0.331727212969569,0.394162213826298,1.6627153870765,2.61503034905482,0.0353345781472447,0.742424992969694,0.624344127350401,0.0246279722171508,0.0004437984237693,SynWH7803_1080,tier1:Gene Locus
Group 2,2,SOS-regulated protein,gene1066,SYNWH7803_RS05325,-0.356382118549481,-0.142922250471264,0.575939650841497,1.9033746754612,2.23062992911365,0.779000846257148,1.0,0.545915011108221,0.0380057354751021,0.0196149576707273,SynWH7803_1081,tier1:Gene Locus
