Group,Gene Function,Gene NO.,Gene Locus,logFC-15min_vs_CT30m,logFC-1h_vs_CT30m,logFC-3h_vs_CT30m,logFC-5h_vs_CT30m,logFC-7h_vs_CT30m,Pvalue-15min_vs_CT30m,Pvalue-1h_vs_CT30m,Pvalue-3h_vs_CT30m,Pvalue-5h_vs_CT30m,Pvalue-7h_vs_CT30m,resolved_locus_tag,resolution_method
Group 1b,50S ribosomal protein L15,gene413,SYNWH7803_RS02060,1.09856987697336,2.46757009993178,2.29739611598913,1.31239196575929,0.603894666540035,0.101516594900916,0.0004166841280299,0.0009271318879986,0.0527537897484544,0.376262660701391,SynWH7803_0417,tier1:Gene Locus
Group 1b,50S ribosomal protein L1,gene2365,SYNWH7803_RS11735,1.59822638761983,2.36651940443731,2.6266758365064,1.28521071799227,0.318806879963376,0.01798247940401,0.000657137203878,0.0001725532400509,0.05714242275966,0.642794459082242,SynWH7803_2373,tier1:Gene Locus
Group 1b,50S ribosomal protein L3,gene430,SYNWH7803_RS02145,1.87273408577941,2.47201298174056,2.15385918719075,1.26669632419613,0.252416800621886,0.0056491931743256,0.0003525195912542,0.0016334873022083,0.0576646263293567,0.704568239411575,SynWH7803_0434,tier1:Gene Locus
Group 1b,30S ribosomal protein S4,gene599,SYNWH7803_RS02995,1.42341068933664,2.22984347168394,2.45917833054427,1.24930115505576,0.308214694551109,0.0334640552555129,0.0011662790166072,0.0003800732809929,0.0619234197403358,0.644362711176829,SynWH7803_0591,tier1:Gene Locus
Group 1b,50S ribosomal protein L23,gene428,SYNWH7803_RS02135,1.83105766282564,2.21635658961872,2.26724293666383,0.897785683507964,0.0511685969133688,0.0101378340302322,0.0023807365705641,0.0016692092395176,0.221818167538573,1.0,SynWH7803_0432,tier1:Gene Locus
Group 2,hypothetical protein,gene166,SYNWH7803_RS00835,-0.917918629401601,0.153811104767311,0.166768016527996,1.73318345753736,2.6556846160568,0.315146323848474,0.913871392828406,0.92510758526498,0.0320826034801987,0.001042880892247,SynWH7803_0174,tier1:Gene Locus
Group 2,nucleotidyltransferase,gene1065,SYNWH7803_RS05320,-1.64839582881742,-0.331727212969569,0.394162213826298,1.6627153870765,2.61503034905482,0.0353345781472447,0.742424992969694,0.624344127350401,0.0246279722171508,0.0004437984237693,SynWH7803_1080,tier1:Gene Locus
Group 2,SOS-regulated protein,gene1066,SYNWH7803_RS05325,-0.356382118549481,-0.142922250471264,0.575939650841497,1.9033746754612,2.23062992911365,0.779000846257148,1.0,0.545915011108221,0.0380057354751021,0.0196149576707273,SynWH7803_1081,tier1:Gene Locus
Group 3,high light inducible protein,gene2047,SYNWH7803_RS10170,1.79276710114497,1.80841606082857,2.56943339201769,1.60249625101488,1.39119473037221,0.0781883389190801,0.115459619797773,0.0112943168087902,0.187025841917751,0.33368077865829,SynWH7803_2059,tier1:Gene Locus
Group 3,30S ribosomal protein S19,gene426,SYNWH7803_RS02125,1.17511258219848,2.1882585513213,1.88596383018395,1.23595367031389,0.358586771771184,0.0877557901402184,0.0019879198310212,0.007010112128653,0.0776475032340176,0.629284170957824,SynWH7803_0430,tier1:Gene Locus
Group 3,"endo-1,4-beta-glucanase",gene2337,SYNWH7803_RS11595,0.495485941242365,2.1577278255455,1.66584222001194,1.01882708324105,0.756715634142028,0.457121832881663,0.0017097245608019,0.0139642435738357,0.128926271660319,0.262729461079595,SynWH7803_2345,tier1:Gene Locus
Group 3,co-chaperone GroES,gene1987,SYNWH7803_RS09870,0.984887017298146,0.820040311160547,2.11946422765716,0.761405403931946,0.163987422060525,0.137706506771828,0.218492801312717,0.0019349125261983,0.250693241807876,0.808152945942277,SynWH7803_1999,tier1:Gene Locus
Group 3,NAD(P) transhydrogenase subunit alpha,gene1614,SYNWH7803_RS08025,1.55768633308424,1.49139803431493,2.2158574735917,0.467946134855245,0.493346807019215,0.043613955150776,0.0705428767917933,0.0043717702073348,0.622031306430936,0.619280527630828,SynWH7803_1628,tier1:Gene Locus
Group 3,Zn-ribbon protein,gene1167,SYNWH7803_RS05820,0.949661764417579,1.73939805722256,1.06171652070846,1.92344508116394,2.20324792130415,0.263938526410714,0.0323867627071913,0.202301582863787,0.0224924163980347,0.0076807271938059,SynWH7803_1180,tier1:Gene Locus
Group 3,hypothetical protein,gene899,SYNWH7803_RS04485,2.80805126354909,3.52471971341155,0.0,4.41915345457163,6.70179692505864,1.0,1.0,1.0,0.523809523809524,0.0092239594488469,SynWH7803_0907,tier1:Gene Locus
Group 3,tRNA-Met,gene1106,SYNWH7803_RS05520,0.453769802967795,0.996818444098404,1.14200894785709,1.59539721807215,3.17345143732593,0.840165938536108,0.585507246376812,0.497905885766794,0.189983809938349,0.004550577327918,,unresolved
Group 3,hypothetical protein,gene2484,SYNWH7803_RS12325,-0.863045488169446,-0.743193352734331,-1.66831239639713,1.61822928081192,2.11558240048381,0.395441412739766,0.542974480501684,0.189983809938349,0.081703233463125,0.0199098304259444,SYNWH7803_RS12325,locus_tag:Gene Locus
Group 3,hypothetical protein,gene1457,SYNWH7803_RS07250,0.287159252604473,0.828723117567068,0.296041138061945,1.2714524019944,2.08950343836178,0.716287984826051,0.303816673211793,0.728198654905901,0.0870805693317121,0.0065505518062242,SynWH7803_1469,tier1:Gene Locus
Group 3,high light inducible protein,gene922,SYNWH7803_RS04600,0.288208424548724,0.472696974742406,1.28330603180292,0.629713281222319,2.16934319224157,0.701744130236844,0.567966996336855,0.0822882149473028,0.4179297716828,0.0034909417160299,SynWH7803_0931,tier1:Gene Locus
Group 3,ferredoxin--nitrite reductase,gene2485,SYNWH7803_RS12330,-1.48411585337066,-1.71546106380887,-2.22564068032566,-0.354786135635895,2.07643125691895,0.0286631710905171,0.0145033967254333,0.0017793522500532,0.603940925538602,0.0025364863689095,SynWH7803_2492,tier1:Gene Locus
Group 3,hypothetical protein,gene957,SYNWH7803_RS04775,0.577506167681522,-1.22117311022536,-0.238569691970735,-1.2872146212287,2.5398846488766,0.700311134755203,0.658385093167702,1.0,0.658385093167702,0.0295884315906562,SynWH7803_0969,tier1:Gene Locus
Group 3,tRNA-Leu,gene332,SYNWH7803_RS01660,-5.1254824061038706e-15,3.52471971341155,4.72687084287243,4.41915345457163,4.92868006039805,1.0,1.0,0.285714285714286,0.523809523809524,0.285714285714286,,unresolved
Group 3,hypothetical protein,gene1040,SYNWH7803_RS05195,6.06688943469539,-2.56274120305193e-15,0.0,3.48505859943055,3.97528800182922,0.0219001610305958,1.0,1.0,1.0,1.0,SynWH7803_1055,tier1:Gene Locus
Group 3,hypothetical protein,gene855,SYNWH7803_RS04270,-0.39360066432684,1.2249143370977,-4.010894165744,2.99820607043691,1.91487585973063,1.0,0.43064182194617,0.523809523809524,0.0141458840472237,0.43064182194617,SynWH7803_0855,tier1:Gene Locus
Group 3,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,gene1767,SYNWH7803_RS08785,1.38856732966127,1.56468587679051,1.61661919102907,1.67799334241039,1.7300602120397,0.100074408865289,0.0706332006394925,0.0528176087010682,0.0459805938800235,0.0741359843367163,SynWH7803_1782,tier1:Gene Locus
Group 3,hypothetical protein,gene1159,SYNWH7803_RS05785,0.453769802967795,0.681610427527709,-0.796545700896761,1.91382689907951,1.38339972507587,0.840165938536108,0.769726247987118,0.726708074534161,0.109379181377053,0.372946859903382,SynWH7803_1172,tier1:Gene Locus
Group 3,hypothetical protein,gene1937,SYNWH7803_RS09620,1.78161675391179,1.87175212385464,1.70933377997373,2.16092596516574,1.37061460154115,0.148066420146509,0.137873920182766,0.251568225104038,0.0729734211235395,0.521739130434783,SynWH7803_1950,tier1:Gene Locus
Group 3,DUF3188 domain-containing protein,gene180,SYNWH7803_RS00905,-0.890890032887132,0.625921800743007,-3.09771844588789,2.46248923792099,1.27676125419632,1.0,1.0,1.0,0.282608695652174,1.0,SynWH7803_0188,tier1:Gene Locus
Group 3,DNA-binding response regulator,gene2058,SYNWH7803_RS10225,0.19842809792408,1.01489173721494,1.06535890620852,1.51357596034401,1.17836543550755,0.784188829365818,0.14080424174772,0.122870280367682,0.0285483191368776,0.0932930560205112,SynWH7803_2070,tier1:Gene Locus
Group 3,DUF861 domain-containing protein,gene819,SYNWH7803_RS04095,0.914250911600585,1.27439611461622,1.22566289440732,1.54968016415984,0.910536967712804,0.196832327818577,0.0757406410020325,0.0862046837730757,0.0313764554299167,0.232658788148201,SynWH7803_0813,tier1:Gene Locus
Group 3,tRNA-Phe,gene508,SYNWH7803_RS02535,-5.1254824061038706e-15,3.52471971341155,0.0,5.38503637801055,2.56274120305193e-15,1.0,1.0,1.0,0.0942028985507246,1.0,,unresolved
Group 3,photosystem II protein D1 1,gene2072,SYNWH7803_RS10295,4.24869713449166,-2.56274120305193e-15,4.1688948339464,4.41915345457163,2.56274120305193e-15,0.523809523809524,1.0,0.523809523809524,0.523809523809524,1.0,SynWH7803_2084,tier1:Gene Locus
Group 3,hypothetical protein,gene2001,SYNWH7803_RS09940,2.80805126354909,3.52471971341155,4.72687084287243,3.48505859943055,2.56274120305193e-15,1.0,1.0,0.285714285714286,1.0,1.0,SynWH7803_2013,tier1:Gene Locus
Group 3,hypothetical protein,gene1758,SYNWH7803_RS08745,0.579457477021724,1.16339230339653,-1.10920866002012,1.73872551801022,-0.855420351637704,0.612093840985847,0.390133159226838,0.521739130434783,0.146764610526278,1.0,SynWH7803_1773,tier1:Gene Locus
Group 3,carbohydrate kinase family protein,gene159,SYNWH7803_RS00800,0.674069744757851,0.554705859572997,1.09265678778826,1.48053121793043,1.41554585228844,0.385935621101575,0.526087137053861,0.183242364079848,0.0682261754981392,0.0898964853828303,SynWH7803_0167,tier1:Gene Locus
Group 3,precorrin-8X methylmutase,gene81,SYNWH7803_RS00430,-0.0587563424763792,0.437022461324457,1.2786750782702,1.43321826426147,1.08055139462044,1.0,0.676811009904115,0.105289887999423,0.0663128738760282,0.202301582863787,SynWH7803_0083,tier1:Gene Locus
Group 3,hypothetical protein,gene1178,SYNWH7803_RS05875,1.30654925939207,0.277703963014831,0.476437257369136,1.40524582346831,0.976366580630673,0.266750176205126,1.0,1.0,0.251568225104038,0.521739130434783,SynWH7803_1191,tier1:Gene Locus
Group 3,hypothetical protein,gene1059,SYNWH7803_RS05290,0.141811026537665,-0.438291905435714,0.65862466345865,1.39766384901111,1.97487679594369,0.860242918172247,0.581377515887094,0.35666741942682,0.0491865431337731,0.0060477022305921,SynWH7803_1074,tier1:Gene Locus
Group 3,hypothetical protein,gene1441,SYNWH7803_RS07165,-0.340897249964774,-0.102515345428639,-0.0534983048229308,1.38997429312625,1.40021994722822,0.866239255512361,1.0,1.0,0.148066420146509,0.238790282278216,SynWH7803_1452,tier1:Gene Locus
Group 3,EamA/RhaT family transporter,gene1057,SYNWH7803_RS05280,-0.351312389217169,-0.122107589389283,0.441674889158399,1.37567506296906,1.71413371566274,0.628295717721414,0.898150144746383,0.545115436572632,0.051114532213095,0.0175370192180302,SynWH7803_1072,tier1:Gene Locus
Group 3,gamma carbonic anhydrase family protein,gene1369,SYNWH7803_RS06800,1.7466874454481,1.84556066280358,1.71849852022787,1.36115056887176,1.33211159465678,0.0219886105098504,0.0244309328706846,0.0305514980955044,0.0939795700239636,0.111592322086933,SynWH7803_1384,tier1:Gene Locus
Group 3,bifunctional riboflavin kinase/FMN adenylyltransferase,gene1697,SYNWH7803_RS08440,0.365989970206846,0.438369416851318,0.996177871239603,1.34998424395833,1.09214188628962,0.616397709212067,0.56731974037613,0.164112453007079,0.0609968342761652,0.139093879032248,SynWH7803_1715,tier1:Gene Locus
Group 3,exodeoxyribonuclease VII small subunit,gene2179,SYNWH7803_RS10815,0.0024023508285358,1.67712205136501,0.164441993966396,1.34657030525648,1.39644415640889,1.0,0.091098217238373,1.0,0.283652797257285,0.251568225104038,SynWH7803_2194,tier1:Gene Locus
Group 3,DUF924 domain-containing protein,gene947,SYNWH7803_RS04720,0.556564682050886,0.857077874989046,1.11875217248409,1.34370262890746,0.501278616137816,0.480463204685663,0.330406024364968,0.176109953984148,0.103177554894292,0.683326794010689,SynWH7803_0957,tier1:Gene Locus
Group 3,ferredoxin,gene1230,SYNWH7803_RS06110,1.25683251293543,0.955824075572354,0.777092907716786,1.34064109650928,1.10749582350641,0.0849655428593943,0.218309246681841,0.310596564847627,0.0763532741665068,0.142227038851729,SynWH7803_1242,tier1:Gene Locus
Group 3,MoaD/ThiS family protein,gene2480,SYNWH7803_RS12305,-1.33237625218593,0.59022448978277,-2.57053398409605,1.33837591091022,0.60953841090031,0.148529576267714,0.619280527630828,0.0396962808918121,0.128892330485785,0.545915011108221,SynWH7803_2487,tier1:Gene Locus
Group 3,3-phosphoshikimate 1-carboxyvinyltransferase,gene1016,SYNWH7803_RS05070,0.903195472609125,1.05451639500392,1.26318021835923,1.3302102611765,1.62599526096823,0.189534960828481,0.135682367349303,0.0724418231325623,0.0574904324362978,0.0230835922615691,SynWH7803_1032,tier1:Gene Locus
Group 3,QacE family quaternary ammonium compound efflux SMR transporter,gene611,SYNWH7803_RS03055,-0.295414150941236,0.866123886732179,0.33531770405242,1.32383904113905,1.32042431988111,0.786774223084326,0.307713443710463,0.757100121173121,0.129866744964837,0.127301043405174,SynWH7803_0604,tier1:Gene Locus
Group 3,endolysin,gene786,SYNWH7803_RS03930,0.690572565925655,1.21446850149662,1.15092800264524,1.31799723089085,1.05378684342242,0.339315290494167,0.0938964415331972,0.107150171846267,0.0684348146220484,0.158037227983698,SynWH7803_0779,tier1:Gene Locus
Group 3,nucleoside triphosphate pyrophosphohydrolase,gene2442,SYNWH7803_RS12120,0.910531962920091,1.11388781923065,0.875728629873425,1.31116928913151,1.28116403035125,0.212838498376882,0.150371816102782,0.249306727713389,0.0773866656861712,0.111199080131312,SynWH7803_2449,tier1:Gene Locus
Group 3,DUF309 domain-containing protein,gene1300,SYNWH7803_RS06455,0.452018388981259,1.93984881400931,1.66601463650048,1.30533135853817,-0.0239668529733596,0.574437796312453,0.00967681654955,0.0243599105176167,0.092113758514883,1.0,SynWH7803_1313,tier1:Gene Locus
Group 3,DUF3067 domain-containing protein,gene1835,SYNWH7803_RS09120,0.316338830582158,0.772264862598542,-0.258596460265582,1.29706776617747,1.52587026043124,0.666715498562032,0.303973934218895,0.775121548363556,0.0786554538169213,0.0444451844650972,SynWH7803_1849,tier1:Gene Locus
Group 3,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,gene1845,SYNWH7803_RS09170,0.0990753894467339,0.70010358858617,0.318816469945331,1.29097205860842,1.41878443439739,0.908721162293809,0.362943879456737,0.71700085572533,0.0860563152149567,0.0599092095070414,SynWH7803_1858,tier1:Gene Locus
Group 3,tRNA-Leu,gene2112,SYNWH7803_RS10480,0.0023957852128495,1.52165635192846,0.163774298245774,1.28406657000752,0.0979717069311242,1.0,0.238790282278216,1.0,0.305221314074146,1.0,,unresolved
Group 3,ribosomal RNA small subunit methyltransferase H,gene2305,SYNWH7803_RS11440,0.155470002192536,0.20155631577032,0.216315515216573,1.27919624263106,1.05487008700844,0.846609331539071,0.803433846779025,0.78334628429934,0.0717534833573515,0.153697647714477,SynWH7803_2313,tier1:Gene Locus
Group 3,DUF429 domain-containing protein,gene891,SYNWH7803_RS04450,-0.189155096246624,-1.27748977133513,0.0741571186595527,1.26747234064197,1.11497322679798,0.86528368717308,0.22815758642039,1.0,0.14581152060297,0.199928990393375,SynWH7803_0896,tier1:Gene Locus
Group 3,sulfite exporter TauE/SafE family protein,gene910,SYNWH7803_RS04540,-0.333295334977306,-0.556162222893243,-1.40395000229212,1.25080828867007,1.15429509700127,0.705765643115541,0.587190652215211,0.14786614280431,0.110359518645503,0.162194339527866,SYNWH7803_RS04540,locus_tag:Gene Locus
Group 3,hypothetical protein,gene1469,SYNWH7803_RS07310,-0.547188894531216,0.3586544245216,-0.13988469397782,1.2506496472597,1.42018445050915,0.460676615594046,0.665889046929355,0.898150144746383,0.0802981633758815,0.0532185628151757,SynWH7803_1482,tier1:Gene Locus
Group 3,hypothetical protein,gene296,SYNWH7803_RS01480,1.63511257502064,1.50468482957651,1.44366875791297,1.24599211418829,1.19567619564528,0.0244717547521681,0.0532011708576519,0.0524838567546468,0.104398786648896,0.158170437092508,SynWH7803_0302,tier1:Gene Locus
Group 3,imidazole glycerol phosphate synthase subunit HisF,gene1759,SYNWH7803_RS08750,0.882342841506163,0.878146802236161,0.750790539081022,1.23833695216962,1.45643242546033,0.223474281465442,0.253916073426188,0.32987416078553,0.0923299490009975,0.0589718908434737,SynWH7803_1774,tier1:Gene Locus
Group 3,TIGR00299 family protein,gene1798,SYNWH7803_RS08935,0.650536055460066,1.09833349479361,0.991680310350968,1.23539754863223,1.63229995710316,0.374220343137934,0.131473688017623,0.164826020819068,0.091614150730963,0.0280426599205075,SynWH7803_1814,tier1:Gene Locus
Group 3,ribosome biogenesis GTPase YlqF,gene2341,SYNWH7803_RS11615,0.660592646641488,1.14121781280867,1.24751695099333,1.23065145372144,0.775127715589357,0.404264004551996,0.143001877797522,0.0978396837375156,0.120781243853794,0.37240770228347,SynWH7803_2349,tier1:Gene Locus
Group 3,multidrug ABC transporter permease,gene2430,SYNWH7803_RS12060,0.0465908124710549,1.08743211560131,0.412826700637419,1.20881351167814,0.875327354023145,1.0,0.212030359129101,0.686851565042434,0.163785631322321,0.366587696800822,SynWH7803_2438,tier1:Gene Locus
Group 3,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,gene2046,SYNWH7803_RS10165,0.25499437036389,0.539474757504044,1.03849850085248,1.20497738428444,1.13402249443535,0.714037608597912,0.438889542613603,0.136645381347824,0.0822304165042345,0.110901211136898,SynWH7803_2058,tier1:Gene Locus
Group 3,translation initiation factor,gene2293,SYNWH7803_RS11380,0.0024306608946291,0.333603116962384,-0.024698773239788,1.1892444422673,1.2269432359531,1.0,0.696415984036731,1.0,0.111163271065623,0.113941030069542,SynWH7803_2301,tier1:Gene Locus
Group 3,hypothetical protein,gene2384,SYNWH7803_RS11830,-1.23755995648783,-0.12694531442289,-1.6494111535949,1.18236531228287,0.879035927572957,0.120281121427247,0.938413094232316,0.0740011409734814,0.114504803734337,0.287651340752703,SYNWH7803_RS11830,locus_tag:Gene Locus
Group 3,Hsp20/alpha crystallin family protein,gene2395,SYNWH7803_RS11885,0.541527488143836,1.02760880057997,0.982550051624829,1.16682796356706,1.89166322827498,0.409682822898318,0.120476310660997,0.137161516752632,0.0786406811124857,0.0051620533374248,SynWH7803_2403,tier1:Gene Locus
Group 3,hypothetical protein,gene824,SYNWH7803_RS04120,0.422293929131766,0.553352190755499,0.63773486538553,1.16534684914739,0.988513636338707,0.581337539225773,0.480463204685663,0.398231607648811,0.131459294878787,0.206387793063181,SynWH7803_0818,tier1:Gene Locus
Group 3,TVP38/TMEM64 family protein,gene2423,SYNWH7803_RS12025,1.03210613667078,0.257805981128695,1.00831892351273,1.15530192877129,1.41851712340485,0.1592231463327,0.795723986551597,0.174324068247184,0.123237005144847,0.0681636628945485,SynWH7803_2431,tier1:Gene Locus
Group 3,uracil-DNA glycosylase,gene1462,SYNWH7803_RS07275,-0.510676163759376,0.0324938837094703,-0.316226183418519,1.14275385421854,0.814390146485481,0.501238388893273,1.0,0.749698787584313,0.131497810742173,0.318503454568132,SynWH7803_1474,tier1:Gene Locus
Group 3,hypothetical protein,gene2092,SYNWH7803_RS10395,-0.653150117747317,0.5793291495592,0.770062702651333,1.13742062395171,1.1227523227858,0.331924209930355,0.391324277522674,0.251796804689218,0.0906787765191194,0.0981660413095536,SYNWH7803_RS10395,locus_tag:Gene Locus
Group 3,apolipoprotein N-acyltransferase,gene1718,SYNWH7803_RS08555,0.151125642954296,0.426025395604481,-0.05790422028965,1.13605807986469,1.65207725487874,0.853781570741906,0.558984540175118,0.974403642446357,0.106580073729153,0.0206529095027391,SynWH7803_1739,tier1:Gene Locus
Group 3,class I SAM-dependent methyltransferase,gene1957,SYNWH7803_RS09720,0.835276208598178,1.40472512869888,1.30005199832738,1.12782657621878,1.25402259718209,0.251014352656967,0.0564254375134976,0.0691733491150351,0.125095094437171,0.0893468739667187,SynWH7803_1970,tier1:Gene Locus
Group 3,YebC/PmpR family DNA-binding transcriptional regulator,gene1959,SYNWH7803_RS09730,0.658417605591441,1.05796763040902,0.466074116793702,1.12452111036941,0.992577255587679,0.380799155125958,0.157209220041798,0.554174074342543,0.13149728603303,0.190765848939103,SynWH7803_1972,tier1:Gene Locus
Group 3,hypothetical protein,gene1677,SYNWH7803_RS08340,0.586142972853888,0.869256441929791,1.8914351941992,1.11976305973998,1.11936097889963,0.449713817925705,0.264149533205974,0.0104184776330207,0.131459294878787,0.155982679824079,SynWH7803_1694,tier1:Gene Locus
